headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
拡大実施3年を迎えた韓国の映像裁判、地下鉄車内や運転中の車から登場する弁護士たちに呆れ声（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/c4d472d7cccae7f9a51ac7b939e50a8e314a134e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241105-00080164-chosun-000-12-view.jpg?exp=10800,2024-11-08T16:35:00+09:00,2024-11-08T16:35:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,975,\n(写真：朝鮮日報日本語版) ▲イラスト＝UTOIMAGE\n最近ソウル東部地裁のある民事法廷の映像裁判で弁護士が運転しながら弁論を行ったことが議論を呼んだ。ハンドルを握る弁護士の横顔の後ろに車外の風景が法廷の画面にそのまま映し出されたのだ。裁判所関係者は「百歩譲って他人が運転している車に乗っているのかと思ったが、弁護士が直接ハンドルを操作すると、法廷が凍りついた」と話した。\n11月で映像裁判が拡大実施されてから3年を迎える。映像裁判を乱用する弁護士はますます増えているという。映像裁判は訴訟関係者が実際に法廷に出席せず、コンピューターなどを利用し、映像を通じて裁判を進める制度だ。コロナを契機に2021年11月に全面的に拡大された。民事・刑事・家事・行政事件で利用できるが、主に民事裁判に多い。当初は地方居住者、刑務所収監などで出廷が困難な人のために、裁判遅延を防ぐために導入された。\n\n ソウル東部地裁のある民事裁判では今年5月、原告側弁護人が「ノートパソコンが故障し、顔はノートパソコンのカメラで映し、音声は電話で弁論する」と話した。法廷では録音のためにスピーカーフォンで弁護士と電話をつないだが、音がよく聞こえずに裁判は結局延期された。判事は「特別な事情がない限り、映像裁判申請を全て受け入れたが、それを契機に原則を変えた」と話した。ソウル中央地裁の裁判では、地下鉄駅内で弁護士が映像をつないだため、法廷に地下鉄の構内放送がそのまま流れた。\n\n ソウル中央地裁の判事は「裁判所に近い瑞草洞に事務室を置いている弁護士が『交通が不便だ』という理由で映像裁判を申請したのは一度や二度ではない。1キロ余りの距離にどんな不便があるのかあきれるばかりだ」と話した。\n\n こうした事態は、現行法には映像による裁判出廷に関連した規定がないことに起因する。法曹界関係者は「大学のオンライン授業も静かな場所、端正な服装など最小限の規定があるのに、裁判所の裁判に関連規定がないというのはおかしい。弁護依頼人への被害を防ぐためにも制度改善が必要だ」と話した。\n\n 映像裁判の利用件数は2021年11月以後増え続け、直近1カ月だけで過去最多の7157件に達した。年初来9月まで実施された映像裁判は7万8796件を数えた。\n\nパク・ヘヨン記者,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241105-00080164-chosun-000-12-view.jpg?pri=l&w=640&h=452&exp=10800'],['https://news.yahoo.co.jp/articles/c4d472d7cccae7f9a51ac7b939e50a8e314a134e/images/000']
イ・イルファ、本当に53歳？　大胆デザインの衣装で完璧ボディ披露（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/e69921fca12e46d76c66690ce39e6d62e00e2861,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080201-chosun-000-8-view.jpg?exp=10800,2024-11-08T17:45:00+09:00,2024-11-08T17:45:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,475,\n(写真：朝鮮日報日本語版)\n【Pickcon】女優イ・イルファ（1971年1月29日生まれ）が大胆なファッションを披露した。\n【写真】 白ワンピ姿のイ・イルファ\nイ・イルファは8日、ソーシャル・ネットワーキング・サービス（SNS）に「bカット＆撮影現場。皆さん、ありがとうございます」という書き込みとともに、写真でつくった映像を掲載した。\n公開された写真を見ると、イ・イルファのグラビアのBカット（グラビアなどに採用されなかった写真）が収められている。イ・イルファは胸の下から背中にかけてぱっくり開いたデザインのワンピースを着て、ぜい肉一つない美ボディを誇っている。みぞおち部分まで開いており、胸の谷間まであらわになった衣装を着たイ・イルファは、53歳とは思えない見事なボディラインを誇っており、目を引く。\n\n なお、イ・イルファは最近、ドラマ『美女と純情男』（KBS第2）、『損するのは嫌だから』（tvN）を終え、動画配信サービス「Coupang Play」オリジナル・シリーズ『愛のあとにくるもの』ではイ・セヨンの母親役を演じた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080201-chosun-000-8-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/e69921fca12e46d76c66690ce39e6d62e00e2861/images/000', 'https://ekr.chosunonline.com/site/data/html_dir/2016/02/16/2016021601950.html']"
56歳チェ・シラ、舞踏家デビュー…そっくりの娘と美しい韓服姿で上品な魅力アピール（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/b0905ea51c58c0e49972763b3eec78ec6e9850de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080203-chosun-000-9-view.jpg?exp=10800,2024-11-08T21:10:00+09:00,2024-11-08T21:10:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,723,\n(写真：朝鮮日報日本語版)\n【NEWSIS】女優チェ・シラ（56）が娘のキム・チェニさんと一緒に美しい姿を披露した。\n【写真】 チェ・シラ、そっくりの23歳娘と初めて一緒にグラビア撮影\nチェ・シラは8日、写真共有ソーシャル・ネットワーキング・サービス（SNS）「インスタグラム」に「娘と同じ時間、同じ舞台を共にしたという、大きな意味のある日」とつづった。\nそして「わたしの舞踏家デビューを祝うためにやって来た大切な知人たちと、次は娘と一緒に舞台に立つ日を約束して」と書き込み、写真を数枚掲載した。\n\n 公開された写真を見ると、チェ・シラはキム・チェニさんと一緒に美しい韓服を着飾っている。二人は上品な魅力を振りまいており、目を引いた。キム・チェニさんは大学で韓国舞踊を専攻している。チェ・シラとそっくりの顔立ちに注目が集まっている。\n\n 今年45回目を迎えたソウル舞踊祭は、「境界を崩す！」をテーマに開催された。チェ・シラは今回の舞踏祭に広報大使として参加し、韓国の舞踊名作を紹介する「名作舞劇場」プログラムの一つで舞台に立った。\n先月10日に行われた第45回ソウル舞踏祭記者懇談会で、チェ・シラは「女優を夢見ていたのではなく、舞踏家になるのが夢だった。わたしの体の中にはそれなりに舞踏家の血が流れていると思いながら生きてきた」と語った。\n\n さらに「心の中では舞踏家にあこがれ、尊敬していた」とした上で「短いけれど、少しだけお見せする機会をいただき、とても感謝しているし、あの瞬間だけは舞踏家だったと思いたい」とコメントした。\n\n なお、チェ・シラは2000年に歌手キム・テウクと結婚し、息子が一人、娘が一人いる。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080203-chosun-000-9-view.jpg?pri=l&w=512&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/b0905ea51c58c0e49972763b3eec78ec6e9850de/images/000', 'https://ekr.chosunonline.com/site/data/html_dir/2024/10/28/2024102880213.html']"
パク・ウィ＆ソン・ジウン、愛情を誇示する新婚夫婦…結婚指輪を公開（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/ac3c3261601307dac168d26d453d4b91ef52c3a0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080158-chosun-000-7-view.jpg?exp=10800,2024-11-08T16:01:16+09:00,2024-11-08T16:01:16+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,389,\n(写真：朝鮮日報日本語版)\n【NEWSIS】ガールズグループSecret出身のソン・ジウン（34）が、夫でユーチューバーのパク・ウィ（37）の近況を明かした。\n【写真】 パク・ウィ＆ソン・ジウン、この世で最も完璧なカップル…甘い眼差し\nソン・ジウンは7日、写真共有ソーシャル・ネットワーキング・サービス（SNS）「インスタグラム」に、「わたしたちの家に笑いが絶えない理由は、ソン・ジウンを笑わせるのが趣味の人と一緒に暮らしているから」と書き込み、写真を2枚掲載した。\n写真には、ソン・ジウンとパク・ウィが手を取り合っている様子が収められている。二人の左手薬指に嵌った結婚指輪が視線を引き付ける。別の写真には、明るく笑うパク・ウィの姿が収められている。新婚の幸せが感じられて、心が温まるショットだ。\n\n なお、ソン・ジウンとパク・ウィは10月9日に結婚式を挙げた。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080158-chosun-000-7-view.jpg?pri=l&w=640&h=426&exp=10800'],"['https://news.yahoo.co.jp/articles/ac3c3261601307dac168d26d453d4b91ef52c3a0/images/000', 'https://ekr.chosunonline.com/site/data/html_dir/2024/08/24/2024082480035.html']"
ソユル、夫ムン・ヒジュンとの不和説に「楽しく元気に暮らしてます」（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/115cef82162d4f6b996e12895f29ba423d83a49c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080174-chosun-000-9-view.jpg?exp=10800,2024-11-08T16:33:24+09:00,2024-11-08T16:33:24+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,536,\n(写真：朝鮮日報日本語版)\n【NEWSIS】ガールズグループCRAYON POP出身の歌手ソユルが、夫ムン・ヒジュンを意識しつつ遠回しに不満を示したとされる「狙い撃ち」疑惑について、自ら釈明した。\n【写真】 ムン・ヒジュン＆ソユル、挙式前に会見\n所属事務所TNエンターテインメントが8日に明らかにしたところによると、ソユルは前日、写真共有ソーシャル・ネットワーキング・サービス（SNS）「インスタグラム」のストーリー機能を利用し、ファンとコミュニケーションを取るひとときを持った。\nソユルは「一度きりの人生で、結婚と育児をするのはすごくいいと思う」「結婚することになっても学ぶことも多く、愛する人が私の保護者でいて、育児も大変だけどすごく美しくて、親としてやるべきことだからまた新たな感覚がある」と語った。\n\n その上で「あまり心配せず、怖がらず、人生の第2幕のスタートだと考えて、楽しく暮らしてみようと思いながら元気に生きていれば、つらくても乗り越えて良いこともたくさん生じるはず」と応援した。\n\n それでも不仲説が鎮まらなかったことから、ソユルはこの日、「楽しく暮らしています。本当に本当に本当に！ みなさんお幸せに」とコメントして疑惑を払拭した。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080174-chosun-000-9-view.jpg?pri=l&w=455&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/115cef82162d4f6b996e12895f29ba423d83a49c/images/000', 'https://ekr.chosunonline.com/site/data/html_dir/2017/02/12/2017021201733.html']"
イ・ホンギ、風俗通い疑惑浮上のチェ・ミンファンとの縁切り？　FTISLAND2人のポスター公開（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/ba2a512ae4dfaca032b73b3884dd7181e39dfd21,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080140-chosun-000-7-view.jpg?exp=10800,2024-11-08T15:06:58+09:00,2024-11-08T15:06:58+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,568,\n(写真：朝鮮日報日本語版)\n【NEWSIS】人気バンドFTISLANDメンバーのイ・ホンギが、私生活をめぐり物議をかもし活動を休止しているチェ・ミンファンが抜けた公演のポスターを公開し、2人組での活動を公式化した。\n【写真】 FTISLAND「デビュー15年目？ 終わりを考えたことがない」\nイ・ホンギは7日、ソーシャル・ネットワーキング・サービス（SNS）にイ・ジェジンと二人でのFTISLANDの公演ポスターを投稿した。\nイ・ホンギは、24日にソウル市竜山区のブルースクエア・マスターカード・ホールで開催するコンサート「LOVE IN SEOUL 2024」をPRした。メンバーのチェ・ミンファンが抜けたポスターをイ・ホンギがSNSに掲載したのは、今回が初めてだ。\n\n これに先立ち、イ・ホンギはチェ・ミンファンを擁護するような発言をして波紋を呼び、心境を告白した。今月2日、ソウル市松坡区のオリンピック公園で開催された「GRAND MINT FESTIVAL 2024」で、イ・ホンギはイ・ジェジンとステージに立ち、公演を繰り広げた。\n\n アンコール公演まで終えた後、イ・ホンギは「実は（最近）憂うつだった。世の中が無理やり非難しているような気分だったけれど、ありがとう。死ぬまで音楽をするよ」とコメントした。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080140-chosun-000-7-view.jpg?exp=10800'],"['https://news.yahoo.co.jp/articles/ba2a512ae4dfaca032b73b3884dd7181e39dfd21/images/000', 'https://ekr.chosunonline.com/site/data/html_dir/2022/01/28/2022012880056.html']"
警察なのか泥棒なのか…韓国警察、押収した現金の管理がずさん過ぎて横領事件が相次いでいた（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/8fdb78eb41b3586550779f1187c00d5b098d89dc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080072-chosun-000-14-view.jpg?exp=10800,2024-11-08T15:05:00+09:00,2024-11-08T15:05:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,1171,\n(写真：朝鮮日報日本語版) ▲ソウル市西大門区渼芹洞の警察庁本部で執り行われた第79回警察の日記念式典で式辞を述べる韓国警察庁の趙志浩（チョ・ジホ）庁長。10月21日午前撮影。／ニュース1\n韓国で現場の警察官らが犯罪捜査の際に押収した現金を別の警察官らが横領する事件が最近になって次々と発覚している。一連の事態を受け韓国警察庁が実態の把握を進めたところ、押収物の管理があまりにずさんだったことが7日までに分かった。\n【写真】盗まれた「置き配」荷物、監視カメラに写った犯人の正体に驚がく\n韓国警察庁が10月18－25日に全国の地方警察を対象に押収物管理の実態を調査したところ、物品を押収しながら刑事司法情報システム（KICS）に7日以上登録しなかった事例が3万2300件（全8万3850件の38.5％）に達していた。警察関係者は「この期間は押収物が事実上の主人なし状態で放置され、何の制止もなく横領できる状態だった」と説明した。\n\n 犯罪容疑者が使用した商品券を押収しながらこれを紛失したケースや、押収物リストと実際の押収物の数が一致しない管理不十分のケースも5件あった。その中には押収した現金の額が実際と異なって記載された事例もあったという。一連の問題が発生した理由について現場担当者らは「紙幣計数機がなく手で現金を数えたため発生したミス」と説明しているという。\n\n 今回の調査で明らかになった幾つかの事例を確認したところ、押収物に接近できる警察官とこれを管理する警察官の「総体的モラルハザード」があまりにひどいとの指摘も相次いでいる。まず押収物保管室のパスワードを複数の警察官が把握している事例があった。今年5月に不法賭博現場から押収した3400万ウォン（約380万円）相当の現金を全羅南道警察庁莞島警察署所属の警衛（警部補に相当）が横領したが、この警衛は証拠物保管室のパスワードを同僚の警察官から簡単に聞き出すことができたという。その後現金を横領するため偽札を押収物封筒に入れ、規則に反した形で封印したという。ソウル竜山警察署では10月16日、押収した現金を横領しようとした刑事と所属する警衛が摘発された。彼らも現金を横領した後に通常のコピー用紙を紙幣のサイズに切って封筒に入れようとしたところ摘発された。\n\n デジタル・ドア・ロックが設置されていない場所では通常の鍵や錠前のかかった部屋で現金が保管されるが、その鍵などの管理もあまりにずさんだった。ソウル江南警察署では、過去に押収物管理担当として勤務していた犯罪予防対応課所属の警察官が先月14日に押収した現金を横領した。この警察官は別の部署に異動になっていたが、押収物担当だったときに知った鍵の保管場所から鍵を持ち出して現金を盗み出していた。\n\nク・アモ記者,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080072-chosun-000-14-view.jpg?pri=l&w=640&h=422&exp=10800'],"['https://news.yahoo.co.jp/articles/8fdb78eb41b3586550779f1187c00d5b098d89dc/images/000', 'https://www.chosunonline.com/site/data/html_dir/2024/09/25/2024092580019.html']"
原発輸出をダンピングと批判する共に民主党、今度は防衛装備品の輸出まで妨害するだなんて【11月8日付社説】（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/38d13733af49401b9d377bb7bb83f1a9f32e84dc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080071-chosun-000-10-view.jpg?exp=10800,2024-11-08T14:35:00+09:00,2024-11-08T14:35:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,1116,\n(写真：朝鮮日報日本語版) ▲韓国陸軍第2作戦司令部で開催された国会国防委員会による国政監査で質問する韓国野党・共に民主党の金秉柱（キム・ビョンジュ）議員。10月22日撮影。／聯合ニュース\n韓国が防衛装備品を輸出する際に国会の同意を義務づける法案の成立を韓国野党・共に民主党が党として目指すという。「安全保障条約を締結する国や韓国軍が派兵される国は除外」とするようだが、現状で韓国が安全保障条約を締結している国は米国だけだ。「K防産を輸出する際には今後共に民主党の許可を受けよ」という意味だ。\n【写真】「国軍の日」記念式典に登場したK9自走砲・天弓II・ロボット犬\n防衛装備品の輸出は経済面での効果と同時に国際社会における存在感や影響力を示す一つの尺度になる。世界の武器輸出で上位の国はどこも強大国あるいは高い技術力を持つ欧州の国という事実がこれを物語っている。韓国もすでに輸出する側になっているが、この事実は韓国の技術者たちが数十年にわたり血と汗を流して成し遂げた奇跡だ。K防産輸出は昨年だけで140億ドル（約2兆2000億円）を記録し、今年は200億ドル（約3兆1000億円）も期待されている。2022年に4カ国だった輸出先も昨年は12カ国に増え、その内容も戦闘機、艦艇、潜水艦、自走砲、戦車、対空ミサイル、地対地ミサイルなどあらゆる分野にわたっている。\n\n 共に民主党が韓国の防衛装備品輸出にブレーキをかける理由は、ウクライナに対する防衛面での支援を韓国政府ができないようにするためだ。政府がウクライナ支援を検討する理由は、ロシアが北朝鮮に対して派兵の見返りに大陸間弾道ミサイルや原子力潜水艦関連技術に加え、新型戦闘機や対空ミサイルシステムなどの支援を進めているためだ。これは韓国の安全保障にとって直接の脅威となり、このまま韓国が何もしなければロシアと北朝鮮は韓国の安全保障体制をじゅうりんするだろう。共に民主党はそれを望んでいるのだろうか。\n\n 北朝鮮はウクライナ戦争に兵士を送り込んでいるが、そのウクライナに韓国政府が視察団の派遣を進めたところ、共に民主党の李在明（イ・ジェミョン）代表は「拷問技術を輸出するのか」と問題発言を行った。今韓国社会のどこで拷問が行われているのか。北朝鮮による派兵の現状を韓国政府として監視し、これを把握しなければ政府としての仕事をしないことになる。共に民主党は脱原発という国の自害行為とも言える政策を行い、さらに原発輸出を批判したかと思えば、今度はK防産の輸出まで妨害しようとしている。事あるごとに共に民主党はなぜここまで度を過ごした行動を取るのか、全くもって理解できない。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080071-chosun-000-10-view.jpg?pri=l&w=640&h=476&exp=10800'],"['https://news.yahoo.co.jp/articles/38d13733af49401b9d377bb7bb83f1a9f32e84dc/images/000', 'https://www.chosunonline.com/svc/view.html?contid=2024100280047&no=1']"
国会施政演説を欠席した尹大統領が野党に注文「その瞬間だけはお互いに礼儀を守らなければならない」（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/a2b4b5435aad1c9edd8e1f8b135f74ee2272a517,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080035-chosun-000-8-view.jpg?exp=10800,2024-11-08T14:05:00+09:00,2024-11-08T14:05:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,1236,\n(写真：朝鮮日報日本語版) ▲4日午前、韓国政府の施政演説前に「尹錫悦（ユン・ソンニョル）政権糾弾パフォーマンス」をする最大野党・共に民主党の国会議員たち。\n尹錫悦（ユン・ソンニョル）大統領は7日、今年の韓国国会予算案の施政演説などに出席しなかったことについて、最大野党・共に民主党が金建希（キム・ゴンヒ）夫人に対する特別検察官法案を発議し続け、政府関係者に対する弾劾訴追案の発議を乱発していることを指摘し、「私は国会にとても行きたいと思っている人間だ。来年はぜひ行きたい」「野党も（大統領に対する）礼儀を守らなければならない」と述べた。\n【写真】尹大統領「これはちょっと違うと思う」 2022年と2023年の施政演説の様子\nこれは、尹大統領が同日の記者会見で、今年9月に行われた第22代国会開会式と今月4日の国会施政演説に出席しなかった理由を記者に問われて答えたものだ。尹大統領は「就任初年度に施政演説をしに行ったが、国会で（与党より）さらに多くの議席を持つ政党がプラカード・デモをして、本会議場に入ってこなかった。『これはちょっと違うのではないか』と思った」と言った。そして、「2回目は（一部の野党議員が）後ろ向きに座っており、握手も拒否して揶揄（やゆ）した。『大統領をやめればいいのに、なんで来たんですか？』と言う人からして、これはちょっと違うと思う」と述べた。尹大統領は就任1年目の2022年と2023年は国会を訪れて施政演説をしたが、この時、共に民主党所属議員たちが尹大統領に向かってプラカード・デモを行い、本会議場で抗議したことに言及したものだ。\n\n 尹大統領はさらに、「大統領が国会に行くのは、いくら政界では対立しているとしても、その日一日だけは基本プロトコルを行う姿を国民に示そうということだ」「しかし、騒ぎの場になっているあのような姿を見ると、大統領が（国会に）行くのを国民に示すことが国会の役に立つのかどうか分からない」「そのような面で（今回の施政演説への不参加は）国会も考えてのことだ」と説明した。その上で、「今年もご覧なさい。（金建希〈キム・ゴンヒ〉夫人に対する）特別検察官（法）の件や、大統領が任命した公職者に対して、非常に重い犯罪に該当する人々にするべき弾劾訴追をした」「その上、同行命令権を乱発した。これは国会に来るなということだ。だから行かなかった」と言った。\n\n 尹大統領は「（これまでの2回の）施政演説の内容には、野党を刺激したり、野党が不快に思ったりするような話は一つも入れずに、感謝するという話を入れた」「その瞬間だけはお互いに礼儀を守らなければならない」「（今後の）施政演説で野党を尊重する話をするだろう」「野党も、いくら政治的に私のことが憎くて、昨日までは退陣運動をしていたとしても、本当にその時（施政演説の）間だけでも見守ってくれるなら、10回でも（国会に）行きたい」と述べた。\n\nキム・ジョンファン記者,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080035-chosun-000-8-view.jpg?pri=l&w=640&h=425&exp=10800'],"['https://news.yahoo.co.jp/articles/a2b4b5435aad1c9edd8e1f8b135f74ee2272a517/images/000', 'https://www.chosunonline.com/svc/view.html?contid=2024110880035&no=1']"
ハン・ソヒ、一足早い冬コーデ…人並みならぬオーラ（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/37057c32f281b04c5eeec89ad046e912fbebdfc0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080122-chosun-000-5-view.jpg?exp=10800,2024-11-08T14:18:29+09:00,2024-11-08T14:18:29+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,516,\n(写真：朝鮮日報日本語版)\n【Pickcon】女優ハン・ソヒが、イメージキャラクターとして活動しているファッション・ブランドのカタログ写真を公開した。\n【写真】 ハン・ソヒ、致命的なオールブラックコーデを完成\nハン・ソヒは7日、ソーシャル・ネットワーキング・サービス（SNS）に「@giordanokr」と書き込み、写真を数枚掲載した。特に最近、このブランドのイメージキャラクターに俳優ピョン・ウソクが抜てきされたことが伝えられ、話題を呼んだ。\n公開された写真を見ると、ハン・ソヒはシンプルなノースリーブのインナーにジーンズを合わせ、オーバーサイズのアウターを羽織り、人並みならぬオーラを漂わせている。また別の写真では、ブラウンのレザーダウンジャケットにフード付きのジップアップパーカーを合わせ、冬のファッションを披露した。\n\n なお、1994年生まれだと知られていたハン・ソヒは実は1993年生まれだことが明らかになり、年齢をめぐって物議をかもしたが、自ら釈明した。所属事務所は、ハン・ソヒが小学校在学中、母親の詐欺容疑の影響でまともに登校できなくなり、1年たってから再入学し、学業を続けることができたと説明した。,['https://newsatcl-pctr.c.yimg.jp/t/amd-img/20241108-00080122-chosun-000-5-view.jpg?pri=l&w=635&h=640&exp=10800'],"['https://news.yahoo.co.jp/articles/37057c32f281b04c5eeec89ad046e912fbebdfc0/images/000', 'https://ekr.chosunonline.com/site/data/html_dir/2024/05/31/2024053180089.html']"
