headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
会員ら滑り楽しむ　南郷スキー愛好会　今季の活動開始　平均年齢７３歳　福島県南会津町（福島民報）,https://news.yahoo.co.jp/articles/89f50aaf64d31618c331868870b9374efea03246,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250105-00000011-fminpo-000-1-view.jpg?exp=10800,2025-01-05T18:23:21+09:00,2025-01-05T18:23:21+09:00,福島民報,fminpo,福島民報,265,"今季の初滑りを満喫した会員
福島県南会津町の南郷スキー愛好会が今季の活動を開始した。平均年齢７３歳で、最高齢９３歳の馬場一郎さんらが元気にスキーを楽しんでいる。

　会員は南郷地域の５０歳以上の男性と年齢制限なしの女性で３３人。オーストラリアや郡山市などの特別会員もいる。

　活動初日は会津高原南郷スキー場に１５人が集まり、活動予定を協議した。８０歳以上の会員５人に南郷スキー場のシーズン券が贈られた。会員は青空の下でゲレンデを滑走し、久しぶりの雪の感触を楽しんだ。

　愛好会は会員を募集している。問い合わせは近藤甚悦会長へ。",[],[]
＜速報＞福島県代表　郡山北工、郡山女大付は初戦敗退　春高バレー（福島民報）,https://news.yahoo.co.jp/articles/a94e987b7ccaca9712a51306a578d991d36a042e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250105-00000010-fminpo-000-1-view.jpg?exp=10800,2025-01-05T18:21:22+09:00,2025-01-05T18:21:22+09:00,福島民報,fminpo,福島民報,139,"（写真：福島民報）
第７７回全日本バレーボール高校選手権大会（春高バレー）は５日、東京都渋谷区の東京体育館で開幕し、男女の１回戦計４０試合を行った。福島県の男子代表・郡山北工は金光学園（岡山）に０―２、女子代表・郡山女大付は東京都市大塩尻（長野）に０―２で、ともに初戦敗退した。",[],[]
福島県双葉町の双葉駅東口にコーヒー店　２月２３日オープン　東日本大震災発生後で初（福島民報）,https://news.yahoo.co.jp/articles/1c0c345ac2d8e185c126f469e530070015cdfa9a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250105-00000009-fminpo-000-1-view.jpg?exp=10800,2025-01-05T11:11:22+09:00,2025-01-05T11:11:22+09:00,福島民報,fminpo,福島民報,810,"ＪＲ双葉駅東口に構える店舗前で、浜通りを盛り上げる決意を新たにする深沢さん
福島県双葉町のＪＲ双葉駅東口にテイクアウト専門のコーヒー店が誕生する。大熊町の深沢諒さん（２８）が経営し、２月２３日の開店に向けて準備を進めている。東日本大震災と東京電力福島第１原発事故発生後、双葉駅前に飲み物を提供する店ができるのは初めて。

　秋田市生まれ。秋田県立大卒業後、企業への就職が決まっていたが、コロナ禍で入社直前に内定が取り消しとなり、２０２０（令和２）年、三島町地域おこし協力隊となった。

　隊員となった直後に三島町のコーヒー焙煎士の男性と出会い、人生が変わった。生豆の状態から煎（い）って仕上げた自家製コーヒーを口にし、深みのある味わいに衝撃を受けた。「焙煎技術を教えてほしい」。隊員として活動しながら、頻繁に男性の元へと通った。

　豆への火入れの方法や温度調整の方法を学んだ。いつしか、「コーヒーで多くの人を笑顔にしたい」と考えるようになった。焙煎コーヒーを提供する自らの店を出すと決め、２０２２年に隊員を辞めた。
友人の紹介で楢葉町のシェアハウスに住み込みで働いた。自分で焙煎したコーヒーを食堂で提供し、好評を得た。浜通りを中心に各地のイベントにも参加。約２年半で８０回ほどブースを出した。大熊町に移住し、各地を巡る中、双葉郡はコーヒーをゆっくりと飲める場所が特に少ないと感じるようになった。「自分が出店し、地域ににぎわいを生み出したい」と思い立つと、双葉駅東口にある空き物件の紹介を受けた。

　双葉町では、店でコーヒーが飲める場所は駅から約２キロ離れた中野地区に限られる。店の前には住民らがコーヒーを飲みながら親睦を深められるようベンチを置く。将来的には焙煎体験やオリジナルコーヒー作りができる環境を整える計画だ。「地域に開かれた場所を目指す。町を訪れるきっかけとなるコーヒーを作っていきたい」との思いを語った。",[],[]
少子化を生きる　ふくしまの未来　第１部「双葉郡のいま」（３）　教育移住　「ゆめの森」に集う　特色ある学び共感呼ぶ（福島民報）,https://news.yahoo.co.jp/articles/0fc2e708dd10fa2d8ed44d2a57624a7de0f761e2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250105-00000008-fminpo-000-1-view.jpg?exp=10800,2025-01-05T11:09:25+09:00,2025-01-05T11:09:25+09:00,福島民報,fminpo,福島民報,1015,"授業に顔を出して子どもと交流する南郷校長。町内外から注目を集め、児童生徒は徐々に増えている
福島県大熊町大川原地区の町営住宅に２０２１（令和３）年から暮らしている横山純一さん（７３）の表情は明るい。「散歩中に子どもとすれ違うし、学校から元気な声が聞こえてくる。将来を担う世代が身近にいるのはいいね」と、地域に活気をもたらす存在を歓迎している。

　子どもを増やすために充実した教育環境は欠かせない。その実例が２０２３年夏に地区内の一角に完成した義務教育施設「学び舎（や）　ゆめの森」だ。東京電力福島第１原発事故に伴い、会津若松市に移転していた大野小と熊町小、大熊中の３校を統合し、認定こども園も設置した。通う子どもたちの数を増やしている。

　大熊町の人口は東日本大震災と原発事故まで増加傾向にあった。福島第１原発の立地に伴う固定資産税や交付金で得られる潤沢な財政を背景に、子育て支援も充実していた。２０１０（平成２２）年の国勢調査によると、年少人口（１４歳以下）は１８４８人、人口に占める割合は１６・１％と全５９市町村で最も多く、２００８～２０１２年の合計特殊出生率は「１・７７」で、県内トップだった。
町立幼稚園に長年勤めてきた「ゆめの森」こども園の松本恵子教諭（６０）は「原発関連の職場に勤める親や、共働きの家庭が多かった。当時は意識していなかったが、今にして思えば町の規模の割に子どもが多かった」と振り返る。

　しかし、「ゆめの森」の整備計画が動き出した２０１９年度、避難中の小中学校３校に通う児童生徒数は２４人まで減っていた。校舎の新設には慎重論もあった。開設準備に当たった木村政文元町教育長（６５）＝現鹿児島県肝付町教育長＝は「既存校舎の活用では魅力ある教育をアピールできない。将来の町を担う子どもの帰還を促すためには、どうしても新たな特色を備えた拠点が必要だった」と開設に込めた思いを述懐する。

　「ゆめの森」の昨年１２月現在の児童生徒数は６８人となった。震災前の約１３００人には遠く及ばないものの、現校舎を使い始めてからの約１年４カ月間で２・６倍に増えた。

　真新しい校舎に始業・終業のチャイムは鳴らない。授業の進め方も教員と子どもが話し合って決める。自主性や個性を重んじる教育は関心を集め、郡内をはじめ県内、首都圏など県外からの入学や転入の問い合わせが相次ぐ。６８人の約６割は町外からの移住世帯の子どもだ。",[],[]
【ふくしま創生　挑戦者の流儀】古川プラスチック（福島県会津若松市）社長・古川孝治（上）　玩具パーツ受注で成長（福島民報）,https://news.yahoo.co.jp/articles/add4c88e6149f9fecd7655399f0411839244329b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250105-00000007-fminpo-000-1-view.jpg?exp=10800,2025-01-05T11:09:21+09:00,2025-01-05T11:09:21+09:00,福島民報,fminpo,福島民報,952,"８０坪の工場で多様なプラスチック製品を生み出している古川社長
福島県会津若松市河東町の田んぼに面した８０坪の町工場。小気味よい機械の音とともにプラスチック製の食器類などが次々と形作られる。成型加工を専門とする古川プラスチックは日用雑貨を中心に玩具や電子製品など多様な部品を大手メーカーなどに供給してきた。「わが社の製品は誰もが一度は手にしているかもしれない」。社長の古川孝治（６０）は最終製品を並べたショーケースを見つめる。かつて子どもたちが手に汗握って熱中したあの家庭用ゲーム機のコントローラーもここで作られた。

　父の孝吉（故人）が１９７９（昭和５４）年７月に創業した。市内河東町の国道４９号脇にあった倉庫の一部を間借りしての出発だった。最初の受注は乗り物がロボットに変形する玩具の下半身パーツ。いわき市に当時、大手玩具メーカー関連の組立工場があり、そこから声がかかった。創業時、古川は中学３年生。学校帰りには必ず工場に立ち寄り、父の仕事を手伝うのが日課となった。喜多方工高機械科を卒業後、いったんは地元の別の製造業に就職し、２０歳で家業に入った。
「取りあえずやってみる」「断らない」―。新たなものづくりを積極的に取り入れるのが先代からの教えだ。小規模な「家内工業」ながら確実な納期と柔軟な受注対応を心がけてきた。信頼を積み重ね、引き合いに切れ目がない。

　社業を大きく軌道に乗せたのは人気テレビゲーム機の登場だった。「月産１００万個をお願いしたい」。大手と取引のある中間業者からコントローラーのフレーム受注が舞い込んだ。１００万個…。工場の規模と人員から見て現実的な数字ではなかった。ただ、断るという選択肢はなかった。要望に応えるため、家族総出で納期に立ち向かった。年に２度の厳しい監査にも対応した。

　２０００年代に差しかかろうとするころ、一つの転機がやってきた。新たなゲーム機種の台頭で既存品の受注量に陰りが見え始めた。別に取引のあった日用製品も量販メーカーが中国に生産拠点を移してしまった。同じ境遇の同業者がバタバタと倒れていくのを目の当たりにした。「（取引先の）一本足では駄目だ…」。悩む古川は引き合いが次第に増えつつあった地元の伝統工芸である会津漆器向けの受注に軸足を移し始めた。",[],[]
福島県郡山市の歩み、すごろくで　１００年前制作　電子版で復元、授業での活用視野に（福島民報）,https://news.yahoo.co.jp/articles/6f908a756bed9551560385fe6191eeaacb827955,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-05T11:07:22+09:00,2025-01-05T11:07:22+09:00,福島民報,fminpo,福島民報,887,"福島県郡山市の近代化の歩みをまとめた１００年前のすごろくが電子版で復元され、専用サイトで公開が始まった。市制施行を記念し、翌年の１９２５（大正１４）年に地元出版社が作った。安積開拓や鉄道開通など明治―大正時代の地域の出来事が描かれている。和風のタッチで表情豊かな人々の様子を表現している。市の担当者は「一家だんらんの正月に、子どもから大人まで、楽しみながら郡山の歴史を学んでほしい」と期待する。郷土愛を育むため、将来的に小学校の授業での活用も視野に入れている。

　市文化振興課総務管理係主任の岩淵成公（しげとも）さん（４４）が２０２１（令和３）年１１月、実家の建て替え工事に伴い資料を整理していた際に見つけた。未開封の状態で、細部の絵柄や文言が鮮明に確認できる。市が確認したところ、当時発行されたすごろくが保存されているのは、県立図書館（福島市）と国立歴史民俗博物館（千葉県）の２カ所だけだった。
見つかったタイミングが昨年の同市市制施行１００周年の間近だったこともあり、多くの人に触れる機会にしたいと考えた。「貴重なすごろくを広め、昔遊びに触れてこなかった子どもたちにも楽しんでもらいたい」。岩淵さんと同課総務管理係長の遠藤敦さん（４９）が中心となって試行錯誤し、画面上で遊べるすごろくゲームを考案した。

　発見されたすごろくのタイトルは「郡山発達史須語録」で、盤面は縦５４センチ、横７８センチ。戊辰戦争で焦土と化した町の様子からスタートする。市発展の礎となった開成社による開墾着手（明治６年）、既に解体された安積郡役所の新築（明治１９年）、現在も同市のシンボルの一つである公会堂の落成（大正１３年）など１８６８（明治元）年から１９２５（大正１４）年までの市の歴史が３２マスに描かれている。開通した線路を走行する蒸気機関車に手を振る子どもなど、人々の営みを生き生きと表現している。

　発行元の出版社は現在は存在しない。発行から７０年以上が経過し、著作権の保護期間が過ぎていることなどから、市は公開に問題ないと判断した。市デジタルアーカイブの専用サイトから参加できる。",[],[]
妙技披露　はしご乗り奉納し無火災願う　福島県南相馬市の相馬小高神社（福島民報）,https://news.yahoo.co.jp/articles/57b288f43b2f06822e9259a287de50869111c60b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250105-00000005-fminpo-000-1-view.jpg?exp=10800,2025-01-05T11:05:24+09:00,2025-01-05T11:05:24+09:00,福島民報,fminpo,福島民報,251,"観客の前ではしご乗りの妙技を披露するとび職人
福島県南相馬市小高区の相馬小高神社で４日、新春恒例のはしご乗りが奉納された。法被姿の若手鳶（とび）職人が空中の離れ業を披露し、地域の無火災や住民の無病息災を願った。

　県鳶土木工業連合会相双支部が催している。５人の太夫（たゆう）が長さ約６・５メートルのはしごに次々と登り、「背亀」や「鯱（しゃち）」、「両膝八艘（そう）」などの妙技を繰り出した。

　纏（まとい）振りの奉納や投げ餅も行われ、集まった人々が新春の風情を楽しみ、この一年の幸福や健康を祈った。",[],[]
テレビプロデューサー佐久間宣行さん講演　２月１日に古里の福島県いわき市で（福島民報）,https://news.yahoo.co.jp/articles/ed7a1e2d34340e62c7d5cbaa0c153d433aef48ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250105-00000004-fminpo-000-1-view.jpg?exp=10800,2025-01-05T11:01:26+09:00,2025-01-05T11:01:26+09:00,福島民報,fminpo,福島民報,507,"1
/
2
佐久間宣行さん
講演会の応募フォームにつながるＱＲコード
いわき商工会議所青年部（ＹＥＧ）の創立４０周年記念講演会は２月１日午後１時３０分から、福島県いわき市のいわきワシントンホテル椿山荘で開かれる。同市出身でテレビ番組「ゴッドタン」「あちこちオードリー」などのプロデューサーを務める佐久間宣行さん＝写真＝が講演する。聴講希望者を募っている。

　県商工会議所青年部連合会の若手後継者等育成事業の一環。佐久間さんは１９９９年（平成１１）年にテレビ東京に入社し、人気バラエティー番組の制作を手掛けた。現在はフリーとして活躍し、テレビ番組のＭＣやラジオ番組「オールナイトニッポン０（ゼロ）」のパーソナリティーなどを務めている。当日は「誰もが自分らしく働けるチームマネジメント」の演題で、番組制作スタッフや出演者との信頼の築き方、リーダーシップなどについて語る。

　聴講は無料だが事前の申し込みが必要。希望者はＱＲコードを読み取り、応募フォームに必要事項を記入して申し込む。複数人での参加希望の場合は、人数分の申し込みが必要。定員になり次第、締め切る。問い合わせは同ＹＥＧ事務局（平日午前９時～午後５時）。",[],[]
感謝込めて引退公演　多くのファンが別れ惜しむ　ハワイアンズのフラガールキャプテン・マーラエ穂里さん（福島民報）,https://news.yahoo.co.jp/articles/a35dcdb5b3f11026a97373220c27f736b8e22730,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250105-00000003-fminpo-000-1-view.jpg?exp=10800,2025-01-05T11:01:22+09:00,2025-01-05T11:01:22+09:00,福島民報,fminpo,福島民報,281,"１０年間の感謝を込めて踊るマーラエさん
福島県いわき市のスパリゾートハワイアンズでフラガールのキャプテンを務め、ソロダンサーとして活躍してきたマーラエ穂里（みのり）さんの引退公演は同施設で行われた。

　「マーラエ穂里ｐｒｅｓｅｎｔｓ引退記念特別ショー」として、自身で選曲した５曲を披露した。マーラエさんは舞台上で「１０年間は濃く、あっという間だった。今までの感謝を伝えるため心のこもった踊りを見せる」とあいさつ。２０１４（平成２６）年にデビューした際の曲や自身の強みを引き出せた曲など、それぞれに思いを込めて踊った。会場には多くのファンが訪れ、別れを惜しんだ。",[],[]
放送一〇〇年（１月５日）（福島民報）,https://news.yahoo.co.jp/articles/d03fc353dc1527c5d3932e3b5a2d37c2bfa90262,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-05T09:43:24+09:00,2025-01-05T09:43:24+09:00,福島民報,fminpo,福島民報,1179,"一九二五年に東京放送局（現ＮＨＫ）がラジオ放送を開始し、今年一〇〇周年を迎える。その２年前に発生した関東大震災の際に、不正確な情報や流言、デマが飛び交ったことから“正確な情報を速やかに広く伝えること”への期待がそれを後押ししたという。

　その後程なくして“大本営発表”の宣伝機関に変節したことは皮肉だが、この節目の年に放送そして既存マスメディアの危機が叫ばれているのは非常に示唆的だ。

　昨年は「マスメディアは信用できないからネット情報を信じる」という（新聞を読む世代からすれば）冗談のような現実に直面した。隔世の感を禁じ得ない。

　メディアと情報の信ぴょう性について、元々は“やらせ／捏造”などマスメディアの問題だったものが、“フェイク／偽サイト”などインターネットへと移り、質的に変化し拡大してきていたが、ネットが日本でも直接政治的ムーブメントに影響を与えるに至り、一つ別の段階に移ったと言える。
極端に振れた風潮は揺り戻しが来るのが道理だが、信頼を取り戻すことだけが既存メディアの課題ではない。そもそも“テレビ離れ”が話題となり、この１０年で２千億円ほど民間放送局の広告費は漸減している。さらに新聞は１０年で４割以上も発行部数を減らした。既存メディアは、多様な受け手の批判が無関心に変わる前に「不特定多数への情報発信」という前提の終焉を認識すべきだ。併せて、同じコンテンツでも新聞記事とネットに転載されたものは別物であることにも留意する必要がある。

　例えば『日曜論壇』の拙稿は、県内の購読者を想定した一覧性が高い紙媒体の縦書き文章だ。しかし、ネットでは“ある傾向／分野のタイトル”が検索に引っかかり、その記事だけがフリーライダーの読者にスクロールされながら消費され、時にプチ炎上する。そもそもコミュニケーションは相互行為だから受け手や読み方等が違えば、別物になるのは当然である。

　ネットには私的な鬱憤のつぶやきや、利用者の趣味嗜好に合致したフィッシングなど多様で不確実なコミュニケーションも存在しているが、一方マスメディアも「誰と／何を／どの手段で／コミュニケーションするのか」という課題に向き合う必要があるだろう。
ただ、多様性の時代だからこそ「便器」や「凶器」も混在するネット界隈に対する「社会の公器」としてのマスメディア／コミュニケーションの存在意義は大きい。

　時代の変化や様々な課題も山積しているが、マスコミュニケーションが衰退して私化、両極化、分断が進めば、政治の劣化さらには民主主義の機能不全は必至だ。

　近年地域のコミュニケーションの核として米国の民主主義を支えてきた地方メディアが衰退し「ニュース砂漠」が問題になっているという。今こそ、地方メディアが果たすべき使命に期待したい。

（福迫昌之　東日本国際大学副学長）",[],[]
