headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「タクシーを奪うために運転手を刺した」タクシー運転手切りつけ事件　強盗殺人未遂容疑で逮捕された男　容疑認める　広島（RCC中国放送）,https://news.yahoo.co.jp/articles/516258d5e77152166e3db5cb482bf1fe6c20ef58,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666708-rccv-000-3-view.jpg?exp=10800,2025-01-14T21:36:58+09:00,2025-01-14T21:54:54+09:00,RCC中国放送,rccv,RCC中国放送,688,"中国放送
広島県坂町で、タクシーの運転手が刃物で切りつけられた事件で、広島県警は14日、広島市西区己斐本町に住む無職・平田瞬介容疑者（40）を強盗殺人未遂の疑いで逮捕しました。
【画像を見る】事件現場となった坂町横浜中央の路上
警察によりますと、乗客を装ってタクシーに乗車した平田容疑者は1月8日午前3時15分ごろ、坂町横浜中央の路上まで移動させたうえで、タクシー運転手の男性（74）に、持っていた刃物のようなもので、左の首などを数回切りつけるなどしてけがをさせ、タクシーと車内の金品を奪おうとした疑いがもたれています。

運転手の男性は、左の首や耳を切るなどのけがをし、一時入院していましたが、現在は退院しているということです。

警察の調べに対し、平田容疑者は「タクシーを奪うために運転手を刺したことに間違いない」と容疑を認めているということです。

警察によりますと、平田容疑者は、事件の約1時間前に、広島市中区の中央通りでタクシーに乗車。行き先を変えながら現場までタクシーを移動させ、停車した際に無言で運転手の男性を切りつけたということです。タクシーの運転席には、防護用のアクリル板は設置されていませんでした。

平田容疑者はタクシーを現場から動かして逃走しようとしたものの、動かすことができず、その場から徒歩で逃走していたということです。運転手の男性の話などから、車内にあった金品も盗られていないとみられています。

タクシーのドライブレコーダーや防犯カメラの映像、聞き込みなどから平田容疑者の関与が浮上しました。警察は事件の詳しいいきさつを調べています。
中国放送",[],[]
発生当初マグニチュード6.4 → 6.9 で検討対象に 「南海トラフ地震臨時情報」とは?2回目の発表は “調査終了”   前回の「巨大地震注意」との違いは（RCC中国放送）,https://news.yahoo.co.jp/articles/fe5394c177a257164fed2422d6a33071072eb083,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666681-rccv-000-4-view.jpg?exp=10800,2025-01-14T21:29:27+09:00,2025-01-14T21:44:31+09:00,RCC中国放送,rccv,RCC中国放送,1803,"中国放送
去年8月の地震に続いて、昨夜、発表された「南海トラフ地震臨時情報」に驚いた人も多いと思います。この臨時情報とは、いったいどういうものなのか、あらためておさらいしたいと思います。
【写真を見る】発生当初マグニチュード6.4 → 6.9 で検討対象に 「南海トラフ地震臨時情報」とは?2回目の発表は “調査終了”   前回の「巨大地震注意」との違いは
■発生当初M6.4 → M6.9で臨時情報の検討開始

13日午後9時19分ごろ、宮崎県で最大震度5弱を観測した地震では、広島県でも広島市南区や呉市、大竹市などで震度3を観測。県内の広い範囲で震度2から1の揺れを観測ました。

この地震について気象庁は、午後10時前に南海トラフ地震臨時情報「調査中」を発表し、南海トラフ巨大地震との関連を調査しました。

その結果、「巨大地震注意」の発表基準には満たないことがわかったため、気象庁は「新たな巨大地震が起きる可能性が、平常時より高まっていると考えられる現象ではなかった」として、午前0時ごろ調査を終了しました。

街の人は（佐伯区の男性）
「けっこう横揺れがゆっくりきましたね」
「普段から地震の、なんか防災用品を準備したり、家具が倒れないようにしたりをしてるので」
街の人は（佐伯区の女性）
「外にいてベンチに座ってたんですけど、少し横揺れした感じ」
「まだ準備とかできてないから非常用具とか準備しといた方がいいなと思います」

南海トラフ地震評価検討会は、「地震はいつ起きても不思議ではない。引き続き備えは続けてほしい」と呼びかけています。

街の人は
「（臨時情報の中身や聞いたことありますか?）
「あんまり聞いたことないです」
「大きな地震がくるんだろうな…くらいの」

■「臨時情報」ってわかりますか?2回目の発表でも「よくわからない」の声

まだよくわからないという声もありましたが、南海トラフ臨時情報についてあらためて確認します。この臨時情報が発表される前提は、起こった地震が次の巨大地震につながるおそれが平時に比べて高まっているかどうか、「時間差で起こる巨大地震に備えるための情報」です。

過去の歴史で南海トラフでは、巨大地震が起こる前に“3つのタイプの異変”がみられることがあることが知られています。
▼「半割れ」…想定震源域の半分くらいが大きく割れたケース
▼「一部割れ」…想定震源域のごく一部で大きめの地震が起きたケース
▼「ゆっくりすべり」…揺れはないが震源域の地盤に異常がみられるケース

このうち13日夜の日向灘の地震では、3つのタイプのうち「一部割れ」のケースに当たるかどうかが検討されました。

臨時情報が発表される流れです。
・想定震源域内で、M6.8以上の地震が発生　または　震源域の地盤に異常な動きが確認される
・その地震が次の巨大地震につながる可能性があるか地震の研究者らが集まって検討する
この検討が開始された合図が「臨時情報（調査中）」となります。そして検討した結果、
・起きた地震がM7以上と認定されると、「関連あり」と判断されて「巨大地震注意」が発表となるのです。

前回、2024年8月に起きた地震では、地震の規模がM7.1と解析されて基準を満たしたので「巨大地震注意」が発表となりました。
一方、今回は最終的にM6.6と判断されて発表基準（M7）に満たなかったので「調査終了」となりました。

■「巨大地震注意」発表で平時より発生の可能性は高まるも…

もし「巨大地震注意」が発表されると、過去の統計的には「巨大地震」の発生確率が平時よりも5倍程度高まるとされています。ただそれでも確率的には約0.5％と非常に小さな値です。ですので仮に「巨大地震注意」が発表されても急に慌てて何か特別な備えをするものではありません。

国も「巨大地震注意」が発表されたとしても、何か特別な対策を求めるわけではありません。ガイドラインにあるのは「日頃からの地震の備えを再確認して」という程度です。

日向灘をはじめ九州のすぐ東側では、ここ数年の間でも、何回も大きめの地震が発生しています。この臨時情報が出る・出ないに関わらず日頃からの地震への備えは必須だということです。これをきっかけにあらためてご自身の地震への備えを見つめ直してみてはいかがでしょうか。
中国放送",[],[]
目指すは3連覇　サンフレッチェ広島レジーナ　DF・嶋田華（22） ＆ GK・石田ひなは（18）入団（RCC中国放送）,https://news.yahoo.co.jp/articles/0211101479b20b862aa57940ee0777fdacd95b77,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666631-rccv-000-1-view.jpg?exp=10800,2025-01-14T19:51:41+09:00,2025-01-14T19:51:41+09:00,RCC中国放送,rccv,RCC中国放送,933,"中国放送
カップ戦2連覇を達成したサンフレッチェ広島レジーナが、リーグ後半戦に向け、新たに2人の仲間を迎えました。
【写真を見る】目指すは3連覇　サンフレッチェ広島レジーナ　DF・嶋田華（22） ＆ GK・石田ひなは（18）入団
14日、エディオンピースウイング広島で新加入選手2人の記者会見が開かれました。

山梨学院大学からは、岡山県出身の 嶋田華（22）が加入。大学サッカー界屈指のディフェンダーでありながら、そのほかのどのポジションでも高いレベルでプレーできるのが魅力の選手です。

DF　嶋田華 選手
170cm　62kg　岡山県出身
大学3年時に山梨学院大のインカレ初優勝に貢献　MVP受賞
「イメージしたことを実際にプレーできるような選手になりたいです」

入団にあたっては、同じ高校の一学年先輩・古賀花野 とも連絡をとったそうです。

嶋田華 選手
「優しくいろいろ教えてくれて、『レジーナ、いいチームだよ』っていうのを教えてくれました。チームの勝利に貢献できるようにがんばるので、ぜひスタジアムに観に来てほしいです」

そして、ゴールキーパーとして加入するのは、作陽学園高校の 石田ひなは（18）。将来は日本代表や海外でプレーできる選手にレベルアップしたいと意気込みます。

GK　石田ひなは 選手
171cm　61kg　愛知県出身　アスリート能力が高い万能型
「とても質の高い中でサッカーをすることができて、とても楽しい気持ちと、これからワクワクした気持ちでいっぱいです。（練習参加で）ほとんど、いろんな選手のシュートを受けたんですけど、まだ吉田監督のシュートを受けていないので、受けてみたいなと思います。ビッグセーブしたいです」

リーグ前半戦を終え、現在、4位のレジーナ。今後は新たな戦力を加えた29人で3月以降のリーグ後半戦に挑みます。

　　◇　　◇　　◇

坂上俊次 アナウンサー
リーグは一般的にゴールキーパー3人から4人のチームが多いんですが、これでレジーナは5人になりました。競争して、いっきにレベルアップを図るぞということで守備を固め、3連覇に進んでいくことと思います。
（RCC「イマナマ!」カーチカチ!テレビより）
中国放送",[],[]
日本一の富士山に誓う　菊池涼介＆矢野雅哉　自主トレ公開　広島カープ “鉄壁の師弟コンビ”（RCC中国放送）,https://news.yahoo.co.jp/articles/d5139203e2bab8381223b3ae07e739468f782a2b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666559-rccv-000-1-view.jpg?exp=10800,2025-01-14T19:19:29+09:00,2025-01-14T19:19:29+09:00,RCC中国放送,rccv,RCC中国放送,1257,"中国放送
菊池涼介 ＆ 矢野雅哉 。広島カープが誇る “鉄壁の師弟コンビ” が、静岡での自主トレを公開しました。
【写真を見る】日本一の富士山に誓う　菊池涼介＆矢野雅哉　自主トレ公開　広島カープ “鉄壁の師弟コンビ”
毎年恒例、静岡での自主トレを公開した菊池涼介。昨シーズン、ゴールデングラブ賞を受賞した矢野雅哉は、4年連続で師匠・菊池の自主トレに参加。

また、昨シーズン、育成から支配下登録を勝ち取った 佐藤啓介 も新たに参加しました。

ことしで35歳、ベテランの域に差し掛かってきた菊池は、名人芸の守備での指導はもちろん、バッティング練習でも後輩へ熱心にアドバイスを送ります。

広島カープ　佐藤啓介 選手
「なにもなく本当にゼロから。守備の考え方やキャッチボールから、本当にゼロから学びたいと思って、ここにきているので」

広島カープ　菊池涼介 選手
「若い子たちに『ピッチャーのところに行ってくれ』とか、少し任せていたというか、なかなか言えなかったりということもたくさんあったので、（ことしは若手に）どんどん言っていきたいというふうに思っているので。言うってことは、自分がまずやらなきゃいけないというふうに思っているので、よりいっそう覚悟をもってやっていきたいなと思っています」

また、昨シーズン、自己最多の112安打を放つなど、課題だったバッティングを大きく伸ばした矢野は、“師匠”・菊池の指導の下、攻守両面のさらなるレベルアップを図ります。

広島カープ　矢野雅哉 選手
昨季の成績　137試合　打率.260　2本塁打　38打点
「昨年、守備の安定さというものが自分に足りないなというふうに感じましたし、さらにバッティングの方もまだまだ打たないといけないというふうに感じたので、基本的には全てレベルアップの中で」

頼もしい後輩とともにことしも汗を流した菊池。決意も新たに、プロ14年目のシーズンに臨みます。

菊池涼介 選手
「監督も『年齢がある』とかいろいろ言われて、気をつかっていただいているところもありますし、まずは “143”（全試合）出られる体は持っておかないと出られないと思いますし、『（全試合）出てやるぞ』という気持ちでことし、しっかり取り組んでいきたいと思っています」
◇　　◇　　◇

坂上俊次 アナウンサー
さて、この自主トレの地『ちゅ～る スタジアム清水』なんですが、左がきょう14日の写真で、右が去年のシーズン中のものです。新球団『くふうハヤテ』の本拠地になっているんです。なんで新球団の本拠地がこの球場になったかというと、あの菊池涼介さんが自主トレを張るぐらいだから、守備にこだわっている第一人者がやっている球場なのでグラウンドの状態がいいだろうということで本拠地になったと。

青山高治 キャスター
へえー。

坂上俊次 アナウンサー
地方創生どころかブランディングにも一役買っているということなんですね。

（RCC「イマナマ!」カーチカチ!テレビより）
中国放送",[],[]
「タクシーを奪うために運転手を刺した」と供述　タクシー運転手切りつけか　無職の男（40）を強盗殺人未遂の容疑で逮捕　広島（RCC中国放送）,https://news.yahoo.co.jp/articles/acd2068b78ce7dc3e9f8944291f2d10ed9a683bc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666501-rccv-000-3-view.jpg?exp=10800,2025-01-14T19:04:26+09:00,2025-01-14T20:22:05+09:00,RCC中国放送,rccv,RCC中国放送,286,"中国放送
広島県坂町で、タクシーの運転手が刃物で切りつけられた事件で、警察は、任意で事情を聞いていた40歳の男を、強盗殺人未遂の疑いで逮捕しました。

この事件は今月8日の未明、坂町平成ヶ浜の路上で、男がタクシーの車内で、運転手の男性を無言で刃物で切りつけて、運賃を払わず逃走したものです。

警察は強盗殺人未遂事件として逃げた男の行方を追っていました。

捜査関係者によりますと、警察は14日、事件に関与しているとみられ、任意で事情を聞いていた40歳の男を強盗殺人未遂の疑いで逮捕したということです。男は、容疑について認める趣旨の発言をしているということです。
中国放送",[],[]
瀬戸内海の景勝地「筆影山」で山火事　一部は国立公園に指定　“ゆっくりと延焼”で消火活動続く　広島・三原市（RCC中国放送）,https://news.yahoo.co.jp/articles/ff2ebec24db6cec56ca6cf39548f459eec458e3e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666495-rccv-000-1-view.jpg?exp=10800,2025-01-14T19:01:39+09:00,2025-01-14T19:01:39+09:00,RCC中国放送,rccv,RCC中国放送,235,"中国放送
14日午後、広島県三原市の筆影山で山火事が発生し、消防が消火にあたっています。

14日午後3時20分ごろ、三原市にある筆影山で「山から煙りが見える」と通報がありました。

消防車7台が出て消火にあたっています。

消防によりますと、火は山の中腹付近で、ゆっくりと燃え広がっていますが、周囲には民家はなく、けが人の情報も入っていないということです。

筆影山は、山頂から多島美を眺めることができることで知られていて、一部は国立公園に指定されています。
中国放送",[],[]
【あす1/15（水） 広島天気】冬型で真冬の寒さ戻る　北部を中心に雪が降る時間も（RCC中国放送）,https://news.yahoo.co.jp/articles/083cb0d224beeeee721cf382eb9b1e03805fe222,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666276-rccv-000-1-thumb.jpg?exp=10800,2025-01-14T18:57:52+09:00,2025-01-14T18:57:52+09:00,RCC中国放送,rccv,RCC中国放送,565,"中国放送
きょう14日（火）の広島県内は、沿岸部を中心に各地で日中の気温が10℃を超えました。広島市中区の最高気温は11.2℃でした。ただ風が冷たい一日になりました。
【さらにピンポイントで詳しく】県内24地点3時間ごとの天気や風・波予想をみる
■15日（水）冬型で真冬の寒さ戻る　北部を中心に雪が降る時間も

あすは冬型の気圧配置で、一日変わりやすい天気になるでしょう。南部では日差しが届く時間もありますが、寒気の影響で雲が広がりやすい予想です。北部を中心に朝までは雨、日中は雪が降る所があるでしょう。

朝の冷え込みは各地で緩み、沿岸部を中心にきょうよりも4℃～5℃ほど高くなるでしょう。ただ日中は気温があまり上がらず、日中の気温は平年を下回り真冬の寒さが戻る予想です。朝あまり寒さを感じなくても、夜にかけて冷えるので重ね着しやすい服装でお出かけください。

金曜日ごろにかけて上空に寒気が入ります。平地で雪を降らせる目安の寒気があさってにかけて四国付近まで南下する予想です。寒気の影響で、北部を中心に雨や雪が降るところもあるでしょう。今週末は冬型が緩み、日中の気温は各地で平年よりも高くなり、沿岸部では10℃を超えてくる予想です。ただ、朝晩の冷え込みがかなり厳しくなるので、路面や水道管の凍結に十分ご注意ください。
中国放送",[],[]
JR広島駅の北口に新駐車場　改札と直結で400台収容　15日にオープン（RCC中国放送）,https://news.yahoo.co.jp/articles/6e382470acfccd72b486e775304e2910de4183a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666442-rccv-000-1-thumb.jpg?exp=10800,2025-01-14T18:46:48+09:00,2025-01-14T18:46:48+09:00,RCC中国放送,rccv,RCC中国放送,474,"中国放送
3月の新広島駅ビルの開業に先駆けて、15日オープンする駅北口の新しい駐車場が報道陣に公開されました。
【写真を見る】JR広島駅の北口に新駐車場　改札と直結で400台収容　15日にオープン
新しい駐車場は広島駅の北西の6階建てで延べ床面積は1万6667㎡、400台が収容できます。これまで新幹線の駅舎の上に設置されていた屋上駐車場とつながり、収容台数は合わせて752台となります。

2階部分では駅の改札口とも連結しているほか、EV充電器が2機設置され、利便性も兼ね備えています。

また、駐車場に出入りする導線も大きく変わります。これまでは、ホテルグランヴィアのロータリー前を通っていましたが、新幹線口交差点から高架脇の側道を通って入場することになります。

JR西日本担当者「大通りからだけでなく様々な方向からクルマが入っていただけるようにして駅前の大通りの渋滞緩和になるように」

駅北口駐車場は基本料金は30分330円で15日にオープン。3月開業予定の駅ビル直結、南側駐車場と合わせると1300台の駐車スペースとなります。
中国放送",[],[]
高校バレーの青春　人気アニメ「ハイキュー!!」10周年記念展　来場者が1万人（RCC中国放送）,https://news.yahoo.co.jp/articles/170946dde663fc08648a2dcabb0671fa1df04224,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666429-rccv-000-1-thumb.jpg?exp=10800,2025-01-14T18:36:55+09:00,2025-01-14T18:36:55+09:00,RCC中国放送,rccv,RCC中国放送,419,"中国放送
広島市で開催されている高校バレーを描いた人気アニメ、「ハイキュー!!」10周年記念展の入場者が、1万人を超えました。
【写真を見る】高校バレーの青春　人気アニメ「ハイキュー!!」10周年記念展　来場者が1万人
1万人目の入場者は広島市東区の会社員・山本愛果さんです。

山本さんには記念展のオリジナルグッズなどが贈られました。

山本さん「めっちゃかっこいいです」

山本さんはアニメに先だって始まった漫画の連載時からのファンだということです。

山本さん「（アニメは）漫画以上に動きがかっこよく描かれている」

2014年にスタートしたアニメ「ハイキュー!!」は、バレーボールで全国制覇を目指す高校生の青春を描いています。

会場では躍動するキャラクターのパネル展示で作品の世界に入り込んだような臨場感を味わうことができます。

「ハイキュー!!アニメ10周年記念展」は20日までNTTクレドホールで開かれています。
中国放送",[],[]
離島でもスマホで呼んでいきたい場所へ…可能性を探る　自動航行の「海上スマートバス」を試験運航　広島（RCC中国放送）,https://news.yahoo.co.jp/articles/cd162af1579a2d61e853523e91ead0b79c40e459,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250114-21666378-rccv-000-1-thumb.jpg?exp=10800,2025-01-14T18:28:32+09:00,2025-01-14T18:28:32+09:00,RCC中国放送,rccv,RCC中国放送,833,"中国放送
広島県大崎上島町で、自動航行システムを搭載した船を使って、離島に荷物を運ぶ試験運航が始まりました。
【写真を見る】離島でもスマホで呼んでいきたい場所へ…可能性を探る　自動航行の「海上スマートバス」を試験運航　広島
試験運航が始まったのは、竹原港と大崎上島町の3つ港を結ぶ航路です。このうち、住民が注文した荷物を離島の生野島に運ぶ航路が公開されました。

試験運航は、将来的にコスト抑制や人手不足の解消につなげようと、大崎上島町と、自立航行システムを開発する「エイトノット」が実施しました。

使用するのは、民間の船に自動航行システムを搭載した「スマート海上バスゆき姫」です。4台のカメラで周囲360度を監視し障害物や他船を回避しながら、目的地まで自動航行します。

エイトノット　木村裕人代表取締役「周辺の情報を検出するためのセンサー取り付けられていてそれらの情報を全てコンピューターの方で処理をして正確に、例えば周りに船がいれば避ける」

竹原港を出発しておよそ30分ほどで、生野島に到着しました。島には現在、5世帯8人が暮らしています。スーパーも自動販売機もないため、普段は買い物のたびに、船で大崎上島に渡っています。

荷物を受け取った住民たちは、担当者から中身の確認方法などの説明を受けました。

住民「こういう生協さんが船と合わせて運んでもらえるいうことはすごく楽です」住民「（3月まで）毎週来るって分かったらね計画を立ててあちらに買い物に行かなくてもいいようにねやりたいなと思いますね」

エイトノット　木村裕人代表取締役「船自体が移動の制約になってはいけないと思ってますので我々のシステムがそういったところをサポートして将来的には無人航行というものをいつかは実現したいと思っております」

「エイトノット」は、将来、離島からでもスマホひとつでタクシーを呼ぶような感覚で船を呼んで、行きたい所に移動できるシステム開発を目指しています。
中国放送",[],[]
