headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「どんだけおいしいんだろ」子ども大満足！“800種類以上”の『牛乳＆チーズ＆スイーツ』大集合＿人気イベント始まる 食べ比べも好評 北海道札幌市（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/a091ad7b643e8ebb5c0de8d441750f520669d460,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047939-hokkaibunv-000-1-thumb.jpg?exp=10800,2025-01-15T21:30:03+09:00,2025-01-15T21:30:03+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,282,"UHB 北海道文化放送
北海道内各地で生産されている牛乳や乳製品を一堂に集めたイベントが1月15日、札幌で始まりました。

　39回目を迎えた「ミルク＆ナチュラルチーズフェア2025」。

　北海道産の牛乳・乳製品ファンの拡大を目指すイベントで、76社が手がけた牛乳や、チーズ、スイーツなど800種類以上が勢ぞろいしています。

　風味豊かなソフトクリームの食べ比べも人気を呼びました。

　「どんだけおいしいんだろ。1億個は売れるかも！」（ソフトクリームを食べた子ども）

　このイベントは丸井今井札幌本店で1月20日まで開かれています。
UHB 北海道文化放送",[],[]
“ホタテの街”北海道豊浦町にホタテの釣り堀オープン！1000円で3分間“釣り放題”！最高記録「15枚」を超えられるか―釣ってその場で食べることもでき盛り上がり（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/ca59f0a5c06daad8895fccacc24535c01b0f5801,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047928-hokkaibunv-000-1-thumb.jpg?exp=10800,2025-01-15T21:17:02+09:00,2025-01-15T21:17:02+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,545,"UHB 北海道文化放送
ホタテの街に新たな体験施設の完成です。

　北海道南部の豊浦町でホタテの釣り堀がオープンしました。

　豊浦町は年間約4000トンのホタテが水揚げされるホタテの街。

　町では毎年3月には世界ホタテ釣り選手権大会が開かれてきました。

　水産や観光に貢献をしているこのホタテ釣りを体験してもらおうと、特産品販売施設「すいしゃ」に常設のホタテ釣り堀を作り、1月15日、オープンしました。
常設のホタテ釣り堀
1000円で3分間、ホタテを釣ることができ、釣れる数に制限はありません。

　これまで選手権大会では15枚釣ったのが最高記録でした。

　挑戦した人は、記録を塗り替えようと真剣です。
選手権大会の最高記録は15枚
「4枚釣れました。楽しかった、初めてやった」（体験した人）

　「6枚釣れました。思ったより難しかった。でも楽しい」（体験した人）
思ったより難しい、でも楽しい
ホタテは釣れなくても3枚はもらえて、持ち帰ったりその場で食べることもでき、産地ならではの体験です。

　「一般の方にも気軽に楽しんでもらって、おいしいホタテも食べていただきたい」（担当者）

　このホタテ釣りは3月29日まで、毎週水曜日と土曜日に体験できます。
UHB 北海道文化放送",[],[]
＜ススキノ首切断事件＞父親・田村修被告2回目の裁判員裁判 瑠奈被告が撮った”ビデオ映像”をもとに検察側は”事件当時”を再現 会話の直後に「首を2秒間で9回刺した」 次回公判は1月21日（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/f7bb85203327ef50c48536d669f145029460fadb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047933-hokkaibunv-000-1-thumb.jpg?exp=10800,2025-01-15T21:11:02+09:00,2025-01-15T21:11:02+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,947,"UHB 北海道文化放送
札幌・ススキノのホテルで男性が殺害され頭部が切断された事件で、起訴された親子のうち、父親の2回目の裁判が1月15日行われました。
【画像】ススキノ首切断｜裁判で明かされる“猟奇的な世界”…親子3人の写真を見る
検察側は、殺害の状況などを明らかにしています。

　父親・田村修被告（61）の2回目の裁判員裁判。

　修被告は黒のスーツ姿で、軽く会釈をして入廷しました。
黒のスーツ姿で入廷
検察側は、瑠奈被告の犯行の状況を読み上げました。

　「瑠奈被告は、ナイフで被害男性の首を2秒間に9回刺した」（検察）

　事件があったホテルの浴室で、当時62歳の被害男性は後ろ手に結束バンドで縛られ、浴槽のふちに座っていました。

　瑠奈被告はハンディカメラを設置し、このときの様子を録画していました。
ハンディカメラを設置し殺害の様子を録画
検察側はこの動画をもとに、瑠奈被告と被害男性の二役にわかれ、そのときの会話を明らかにしました。

　「人生で一番反省したことは私を裏切ったことでしょ？」（瑠奈被告）
 
　「ああそうね、だってあんなに怒られたことない」（被害男性）
 
　「人生で？」（瑠奈被告）

　「うん」（被害男性）
 
　「なかった？」（瑠奈被告） 

　「過去にはなかった」（被害男性）

　この直後、瑠奈被告は持っていたナイフを男性に刺しました。  
 
　「ごめんなさい、ごめんなさい」（被害男性）

　2023年7月、札幌・ススキノのホテルで頭部を切断された男性の遺体が見つかった事件。

　瑠奈被告が殺人などの罪に、父親の修被告が殺人ほう助など、母親の浩子被告が死体遺棄ほう助などの罪に問われています。
修被告は無罪を主張
起訴状によりますと、修被告は瑠奈被告と一緒にのこぎりを購入するなど殺人を手伝ったほか、自宅に頭部を隠すことを容認し、瑠奈被告が頭部を損壊する様子をビデオで撮影したなどとされています。

　1月14日の初公判で修被告は…

　「事実と違うなというところが何点かある。私は事件が起きて娘の犯行を知った」（修被告）

　すべての罪について無罪を主張しています。

　修被告の次回の裁判は、1月21日の予定です。
UHB 北海道文化放送",[],[]
【大学生集団暴行死】少年ら4人起訴…共謀の主犯格の女「亡くなったとニュースで出ていて『えっ』と驚いた。男たちと繋がったSNSでグループ通話しても、みんなヘラヘラ」接見で明かした当時の状況―北海道江別市（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/e638e0f03c9dd019abfe29cef06df17ef896a933,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047935-hokkaibunv-000-1-thumb.jpg?exp=10800,2025-01-15T21:00:04+09:00,2025-01-15T21:00:04+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,933,"UHB 北海道文化放送
北海道江別市の公園で2024年10月に男子大学生が集団で暴行を受けて死亡した事件。
【画像】“恋人”“友人”そして“少年たち”…相関図と素顔（写真多数）
札幌地検は16歳から18歳の少年ら4人を強盗致死などの罪で1月15日、起訴しました。

　強盗致死や詐欺などの罪で起訴されたのは、川口侑斗被告（18）と滝沢海裕被告（18）、16歳と17歳のアルバイト従業員の少年です。
少年ら4人を強盗致死などの罪で起訴
起訴状などによりますと、4人は2024年10月に江別市の公園で大学生の長谷知哉さん（20）に暴行を加えて死亡させ、キャッシュカードを奪い現金を盗み出したなどの罪に問われています。

　この事件では、長谷さんと交際していた八木原亜麻被告（20）、友人の川村葉音被告（20）もすでに起訴されています。

　これまでの調べで、4人のうち3人は長谷さんと面識がありませんでした。
事件の相関図
この中で川口被告が率先して暴行を加えるなどした主犯格で、残る5人も共謀して無抵抗の長谷さんを死亡させたとみられています。

　執拗な暴行と金品も奪い取る凶悪な事件に発展したきっかけは何だったのでしょうか。

　川村被告が再びUHBの取材に答えました。

　「男が『弁償しろ』と言い始めた。服に被害者の血痕がついたとか、そういうことだと思う」（川村被告）
男が『弁償しろ』と言ったことが暴行のきっかけか…
カードを長谷さんから奪い取り、暴行の最中に暗証番号も聞き出したとされる6人。

　現場から逃走したあとの様子については。

　「被害者が亡くなったとニュースで出ていて『えっ』と驚いた。その後すぐに男たちと繋がったSNSでグループ通話しても、みんなヘラヘラしていた」（川村被告）
逃走後の会話でも「みんなヘラヘラしていた」と言う
札幌地検は、八木原被告・川村被告に加え、15日に起訴された4人の認否を明らかにしていません。

　UHBでは起訴された特定少年について、個別の事件ごとに実名か匿名かを判断しています。今回の事件では結果の重大性や地域に与える社会的影響などを総合的に検討した結果、実名で報道することにしました。
UHB 北海道文化放送",[],[]
超高級いちご＆限定スイーツも！1月15日＝「いちごの日」に合わせて大丸札幌店で「ほっぺタウンのいちご狩り」開催―いちごの甘酸っぱさでホッコリ（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/6f3bd82749a4446ccefd5d433d6893f10e498e98,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047927-hokkaibunv-000-1-thumb.jpg?exp=10800,2025-01-15T21:00:04+09:00,2025-01-15T21:00:04+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,1396,"UHB 北海道文化放送
1月15日は語呂合わせで「いちごの日」です。

　札幌市のデパート、大丸札幌店で「いちご狩り」が始まりました。

　もりもりに盛られた真っ赤ないちご。

　思わずガブリとかじりつきたくなります。

　「いちご狩りに来ました。私スイーツ男子で食べるのも作るのも大好きなんです。一体どんなものがあるのか楽しみです」（狐野彩人 アナウンサー）

　大丸札幌店では1月15日から始まった「ほっぺタウンのいちご狩り」。

　地下1階の食品売り場で約20の参加店がいちごスイーツを展開しています。
ほっぺタウンのいちご狩り
「こちらはロールケーキでおなじみ『堂島ロール』いちごが登場しています。まるっといちごが入ってかわいいです」（狐野アナウンサー）

　大阪発のスイーツ「堂島ロール」の季節限定バージョン。
大阪発「堂島ロール」
中にいちごがゴロゴロと入っています。

　「いちごの甘酸っぱさ、みずみずしさをが感じます。スポンジもふわふわでおいしいです」（試食者）

　デパートのいちご狩り、どんどんいきましょう！

　味わうのはスイーツだけではありません。

　「これはいちご食べ比べセット。2種類入っています。いちご好きにはたまらないですね」（狐野アナウンサー）
いちご食べ比べセット
バイヤーがぜひ食べ比べてほしいと選んだ10種類のいちごから2種類をセットで特別販売しています。

　15日は長崎県産と香川県産です。

　「まずは長崎県産のゆめのかを食べたいと思います。ジューシーでシャキッとした食感が、ゆめのかの味ですね」（狐野アナウンサー）

　「次に香川県産のさぬきひめいただきます。こちらの方が柔らかい食感です。どちらも魅力的でおいしいです」（狐野アナウンサー）

　さらに！

　「こちらの白いいちご、5990円。この距離からでもすごく甘い香りがします。さらにその上、1万円台。入社1年目の私には手が届かないです」（狐野アナウンサー）
1箱1万円を超えるいちごも
なんと、1箱1万円を超える超高級いちごもありました。

　この「いちご狩り」。

　お客さんたちのイチゴ愛によって実現しました。

　8階レストランで提供しているメニュー「アフタヌーンティーセット」。

　スイーツや軽食などのセットですが、2024年11月にスイーツをいちごメニューに変えたところ、売り上げが2倍以上に跳ね上がりました。
アフタヌーンティーセット
いちごが人を惹きつけるパワーをまざまざと見せつけられ、今回の開催となったのです

　また、いちご狩りのほかにも大丸ではこんな店も。

　「こちらすごい行列です。『オードリー期間限定ショップ』と書いてあります」（狐野アナウンサー）

　15日から1階に期間限定で出店の「オードリー」です。

　東京土産として人気の店で、多くの客が求める商品が。

　「いちごの山ですって。羊蹄山みたいですね」（狐野アナウンサー）

　バターサブレにクリームをのせ、チョコレートでコーティング。

　てっぺんにはホワイトチョコとフリーズドライのいちごがトッピングした、大丸札幌店限定の商品です。
ほっぺタウンのいちご狩り 1月28日まで
凍える冬…

　初恋を思い出す、甘酸っぱさのいちごに囲まれて温かい気持ちになっちゃいました。
UHB 北海道文化放送",[],[]
【芥川賞・直木賞】受賞作発表！ノミネートの“道産子作家2作品”は残念ながら選ばれず…「芥川賞」は安堂ホセさんと鈴木結生さん＿「直木賞」は伊予原新さん（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/4f29237a0719d37f0fc5aecc12f7c0ce1d3c0dce,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047936-hokkaibunv-000-1-thumb.jpg?exp=10800,2025-01-15T20:45:02+09:00,2025-01-15T20:45:02+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,258,"UHB 北海道文化放送
第172回芥川賞・直木賞が1月15日、発表されました。

　純文学の中・短編作品に贈られる文学賞「芥川賞」に、安堂ホセさんの「DTOPIA」と、鈴木結生さんの「ゲーテはすべてを言った」の2作品が選ばれました。

　ノミネートされていた江別市出身・乗代雄介さんの「二十四五」は、残念ながら選ばれませんでした。

　なお、直木賞は伊予原新さんの「藍を継ぐ海」が選ばれました。

　ノミネートされていた札幌市在住・朝倉かすみさんの「よむよむかたる」の受賞はなりませんでした。
UHB 北海道文化放送",[],[]
＜3学期がスタート＞学校に元気な声が戻る…通学路は“ツルツル路面”で危険がいっぱい 「横断歩道の白い部分が滑る」「いつもヒヤヒヤ」 子どもたちをケガから守る“雪道3点セット”―北海道札幌市（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/711617ca9434c6e82fbb3dfcf2f48e35fa702b0c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047929-hokkaibunv-000-1-thumb.jpg?exp=10800,2025-01-15T20:45:02+09:00,2025-01-15T20:45:02+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,1489,"UHB 北海道文化放送
北海道札幌市の小・中学校では始業式が行われ、3学期が始まりました。

　子どもたちの笑顔があふれた通学路ですが、路面凍結や交通事故などの危険が潜んでいます。

　親子で確認したい安全対策のポイントとは。

　1月15日、札幌市立の小・中学校など293校で始業式が行われました。

　市内の小学校では夏休みを暑さ対策で延長した分、冬休みが5日間短縮されましたが子どもたちは満喫した様子でした。
5日間短縮された冬休みが終了
「冬休みに楽しかったことは、露天風呂に行ったことです」
  
　「お正月にみんなでご飯を食べに行ったことです」 （いずれも小学1年生） 

　札幌市西区の琴似中学校では、約730人が始業式に臨みました。
中学校でも始業式
「今まで以上に勉強や生活態度を、気を引き締めて頑張っていけたらと思います」（中学2年 川崎 有里紗さん）  

　厳しい冬と重なる3学期で心配なのが登下校の道です。  

　「狭い所で滑って車にぶつかってしまわないか、いつもヒヤヒヤします」
  
　「雪は少ないですが、横断歩道などの白い部分が滑るので怖いなと思います」（いずれも小学生の保護者）  

　この冬、札幌市では雪が少なく積雪は平年の半分ほど。

　通学路にも、子どもたちの視界をさえぎるような雪山はほとんど見られません。

　しかし、安心はできません。

　冬の事故対策に詳しい専門家は。  

　「雪山は見えないが、“ツルツル路面”に気をつけてほしい」  （ウインターライフ推進協議会 冨田 真未さん）
“ツルツル路面”に注意
日中は気温が上がり、朝晩は氷点下まで冷え込んだ日が続いたため“ツルツル路面”に。

　注意が必要なのが車のスリップ事故です。  

　ドライブレコーダーの映像です。

　登校中の子どもたちが、青信号にかわり横断歩道を渡り始めます。

　そこへ止まり切れなかった車が突っ込み、子どもをはねてしまいます。

　当時、路面は凍結。

　このような事故に巻き込まれないためには。  

　「車道の近くで待っていると車が突っ込んでくるかもしれない。いつもより離れて待つようにすると、車が来ているのも確認できる。車は急に止まれないので、信号が青になってもすぐに渡らないように。子どもには『車が止まったのを確認してから渡って』と言ってもらいたい」 （ウインターライフ推進協議会 冨田 真未さん） 

　“ツルツル路面”での転倒にも注意が必要です。

　転びにくい「ペンギン歩き」を覚えましょう。  

　「一歩一歩、歩幅を小さく足を地面にくっつけるような感じで歩きましょう。地面との接着面が小さくなってしまうので、かかとからついて蹴るという動きより、すり足の方が安定した形で転びにくい」（冨田さん）  

　万が一、転んでしまった際にケガを防ぐための「冬道3点セット」も身を守る助けになるといいます。
ケガを防ぐための「冬道3点セット」
「ひとつは手袋。もうひとつは帽子。3つ目は両手があくようにリュックサックなどに荷物をまとめることをすすめています。荷物が多くなると、冬道では特に足元が見えにくくなりがち。冬休みで持ち帰ったものをいっぱい持っていくことになるので、できるだけコンパクトにまとめて学校に行くようにしましょう」（冨田さん）  

　リュックを背負うことで、転んだ際に頭や背中を打つのを防ぐこともできるといいます。

　この機会に冬道で安全に通学するためのポイントを、親子で確認してみましょう。
UHB 北海道文化放送",[],[]
【ガソリン補助金縮小】「家計にも響く。高すぎる」ドライバーからは悲鳴の声が…値上げを前に“駆け込み給油”加速…北海道では生活に大きな影響も（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/feed540d4ffafa546e2ebc17c184dd78467cec48,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047930-hokkaibunv-000-2-thumb.jpg?exp=10800,2025-01-15T20:30:03+09:00,2025-01-15T21:17:02+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,779,"UHB 北海道文化放送
1月16日、政府のガソリン補助金が12月に続き、縮小されます。

　ガソリンの急激な値上げが予想され、ドライバーからは悲鳴の声があがっています。

　「補助金縮小が16日に迫り、こちらのガソリンスタンドでは朝から多くの人が給油に訪れています」（水上孝一郎記者）

　石油情報センターが発表した14日時点の北海道のレギュラーガソリンの平均価格は178.9円。

　2024年12月19日に政府の補助金が５円縮小されたことで、この1カ月で4円程上昇していますが、1月16日から更に5円程度の値上げが見込まれています。
平均価格が上昇
12月中旬の補助金縮小で、この1カ月で4円程上昇していますが、16日からさらに5円程度の値上げが見込まれています。

　駆け込み給油をするドライバーたちは…

 「いい加減にしてほしい。冬になったら車の燃費を落ちるので、そんな時にガソリン代が上がるのは正直きつい」
5円程度値上げの予想
「家計にも響く。高い！高過ぎる！（ガソリンを）入れないわけにはいかない」（いずれも給油に来た人）

　北海道は生活に車が欠かせない地域も多く、暮らしに大きな影響を及ぼしそうです。
北海道内の2023年1月からのレギュラーガソリン価格の推移です。

　政府の補助金で、2023年9月以降は175円前後を推移していましたが、2024年12月19日に補助金が5円縮小され価格は上昇。

　1月16日には、更に５円補助金が縮小される事で、ガソリンは183円を超えてくる見通しです。

　また、灯油も同じように政府の補助金が5円縮小され、1月14日時点で配達1リットルあたり126.7円に。更に1月16日以降は131円を超える見通しです。北海道の灯油価格が130円を超えると、2008年以来となります。
UHB 北海道文化放送",[],[]
「出禁にしている男が来店している」計12980円“ジーンズ2本”をリュックに隠し立ち去った86歳男…警察官の所持品検査で精算していないジーンズ見つかり逮捕「お金がなくて」北海道札幌市（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/3e5b1e9e7fa877596908e0a1cce4a8ecf345961b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047938-hokkaibunv-000-2-view.jpg?exp=10800,2025-01-15T20:10:02+09:00,2025-01-15T22:12:01+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,451,"■計12980円“ジーンズ2本”をリュックに隠し立ち去った86歳男
窃盗の疑いで86歳の男を逮捕した北海道警中央署（札幌市）
ショッピングモールでジーンズ2本を万引したとして、北海道札幌市中央区に住む無職の男（86）が窃盗の疑いで逮捕されました。

　男は2025年1月15日、札幌市中央区北8条西14丁目にあるショッピングモールの衣料品エリアでジーンズ2本（販売価格 計12980円）を万引した疑いがもたれています。

　男は持参したリュックサックにジーンズを隠し、その場を立ち去っていました。

　その後、男を見かけた店員が「出入り禁止にしている男が来店している」と警察に通報。

　駆け付けた警察官が店舗内の別のエリアで男を発見しました。

　警察が所持品を検査すると、精算していないジーンズが見つかったほか、防犯カメラの映像に男が盗む様子が映っていたことから逮捕されました。

　男は調べに「お金がなくて万引しました」と話していて、警察が当時の詳しい状況を調べています。
UHB 北海道文化放送",[],[]
「北海道に帰る際の飛行機代として現金20万円を貸して欲しい」知人から“LINEでメッセージ”→20代女性が現金だまし取られる→約1年後に23歳女逮捕「被害者から20万円をだまし取りました」北海道（北海道ニュースUHB）,https://news.yahoo.co.jp/articles/3b1bc4ebc391c06a8cdfdd5aba166aae7f4ec727,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250115-90047937-hokkaibunv-000-1-view.jpg?exp=10800,2025-01-15T19:52:02+09:00,2025-01-15T19:52:02+09:00,北海道ニュースUHB,hokkaibun,北海道ニュースUHB,617,"■知人の女性に「北海道に帰る際の飛行機の利用代金として現金20万円を貸して欲しい」などとLINEでメッセージ
窃盗の疑いで86歳男を逮捕した北海道警中央署（札幌市）
北海道で2024年1月、知人の女性に「北海道に帰る際の飛行機の利用代金として現金20万円を貸して欲しい」などと無料通信アプリLINEでメッセージを送り、現金20万円をだまし取ったとして住所不定・無職の23歳の女が詐欺の疑いで逮捕されました。

　警察によりますと、女は知人の20代女性に「口座が凍結されて預金の払い戻しができない」「北海道から大分県に行き、大分県のホテルに滞在している」などとLINEでうそのメッセージを送信。

　その後、2024年1月20日にもLINEで「大分県のホテル代と北海道に帰る際の飛行機の利用代金として現金20万円を貸して欲しい」などと女性にうそのメッセージを送信すると、女性は女名義の口座にネットバンキングを通じ20万円を振り込みました。

　その後、女性は女と連絡が取れなくなり、不審に思った女性が警察に相談し事件が発覚。警察の捜査で女の関与が浮上し、事件から約1年後の2025年1月15日に逮捕しました。

　女は調べに「被害者から20万円をだまし取りました」と容疑を認めているということです。

　警察によりますと、女は同様の手口で女性からほかにも現金をだまし取っているとみられ、警察が詳しく調べています。
UHB 北海道文化放送",[],[]
