headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
芦屋市の路上で強盗殺人未遂事件 マレーシア国籍の男2人を逮捕／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/a413ee383615743290189c1f7cc5e1aa59fa3977,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010009-suntvv-000-1-view.jpg?exp=10800,2025-01-16T20:55:35+09:00,2025-01-16T20:55:35+09:00,サンテレビ,suntvv,サンテレビ,375,"1月16日午前、兵庫県芦屋市の路上で男性の腹部を刃物で刺し、スマートフォンを奪ったなどとしてマレーシア国籍の男2人を強盗殺人未遂の疑いで逮捕しました。

強盗殺人未遂の疑いで逮捕されたのは、マレーシア国籍の58歳の男2人です。
マレーシア国籍の男2人を強盗殺人未遂の疑いで逮捕
警察によりますと2人は、1月16日午前10時16分ごろ兵庫県芦屋市涼風町の路上で、鈍器のようなもので、神戸市須磨区の男性（35）を殴った後、腹部と右太ももなどを刃物で刺し、スマートフォン1台を奪った疑いが持たれています。

男性は病院に搬送され意識はあるものの、重傷だということです。

調べに対し、男の一人は「今は答えたくありません」と話している他、もう一人は「男性を殴ったことに間違いありません。
殺すつもりはありませんでした」と容疑を一部否認しているということです。",[],[]
震災当日に生まれた男性の歩みを描いた絵本が完成 子どもたちが久元市長に届ける／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/8c507490ebb29057e0d53ed0244cce07dcfc5b46,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010008-suntvv-000-1-view.jpg?exp=10800,2025-01-16T20:55:00+09:00,2025-01-16T20:55:00+09:00,サンテレビ,suntvv,サンテレビ,337,"兵庫県神戸市東灘区の造形絵画教室に通う子どもたちが阪神淡路大震災当日に生まれた神戸市の男性の歩みを描いた絵本を完成させ、久元市長に届けました。
中村翼さんの歩みを描いた物語の絵本が完成
久元市長に絵本を届けたのは、兵庫県神戸市東灘区の造形絵画教室「アトリエ太陽の子」に通う子どもたちです。
「アトリエ太陽の子」に通う子どもたちから久元市長に絵本を届けられた
絵本「ぼくのたんじょうび」は阪神淡路大震災の当日に神戸市で生まれた中村翼さんの歩みを描いた物語で、219人の教室生で完成させました。

震災当日の混乱の中、多くの人の支えと奇跡が重なり、誕生した命がづづられています。

この絵本は県内5店舗のジュンク堂で販売され売り上げは、全て被災地などに寄付されるということです。",[],[]
障害児の通所施設などで約3800万円を不正受給 尼崎市内4つ事業所を行政処分／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/a6a553ab59385b66726b5e9209e489e1c7ece4b0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010007-suntvv-000-1-view.jpg?exp=10800,2025-01-16T20:04:36+09:00,2025-01-16T20:04:36+09:00,サンテレビ,suntvv,サンテレビ,450,"兵庫県尼崎市は、障害児の通所施設で勤務時間の改ざんなどを行いおよそ3800万円を不正に受給していたとして市内にある事業所に対して新規利用者の受け入れを一定期間停止とする行政処分としました。
行政処分された施設
行政処分を受けたのは、兵庫県伊丹市の「アビリティ」と兵庫県尼崎市の「ヴォーチェ」が運営する尼崎市の4つの事業所です。
尼崎市の会見
尼崎市によりますと、このうち、「おりーぶ武庫之荘」では、専門的な職員がいないのにも関わらず不正に報酬を請求したり、保育士2人の勤務時間を実際よりも長く勤務していたかのように記録を改ざん。

4つの事業所で、合わせておよそ3800万円の給付金を不正に受け取っていたということです。

2022年の5月に情報提供を受けて市が調査し、事案が発覚。

尼崎市では、2月から各事業所での新規利用者の受け入れを半年間から1年間停止する行政処分とした他、運営する2つの会社に対しては、不正に受け取った給付金に4割の加算額を上乗せしたおよそ5300万円の返還を求めています。",[],[]
人工知能AIをはじめとする先端技術を活用し防災・減災分野の課題解決を考える会議／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/d726ff018bb7de4584a134b7441a385e51e42e91,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010006-suntvv-000-1-view.jpg?exp=10800,2025-01-16T20:03:48+09:00,2025-01-16T20:03:48+09:00,サンテレビ,suntvv,サンテレビ,393,"人工知能AIエーアイをはじめとする先端技術を活用し防災・減災分野の課題解決について考えるシンポジウムが兵庫県神戸市で開かれました。
神戸市内で開催されたシンポジウム
このシンポジウムは「もし今、阪神・淡路クラスの地震が起きたら、人工知能AIで何ができるのか？」をテーマに開かれたもので産官学の有識者が、それぞれの取り組みを発表しました。
産官学の有識者が取り組みを発表
このうち、遠隔地医療支援を行う会社は災害時、ITインフラを活用し、被災地では対応しきれない初期医療の相談窓口を、遠隔地からサポートする取り組みを紹介。


また医療分野の画像解析技術を活用することで、人海戦術で行われている家屋の被害認定調査を迅速化する取り組みも発表されました。

発表後に行われたパネルディスカッションでは、AIを活用する重要性の他、人間が災害現場で経験を積むことの大切さなども議論されていました。",[],[]
震災犠牲者らを追悼する神戸の「慰霊と復興のモニュメント」に銘板追加／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/530a4357f194cbac695b03b64fec875c31ed504b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010005-suntvv-000-1-view.jpg?exp=10800,2025-01-16T20:03:11+09:00,2025-01-16T20:03:11+09:00,サンテレビ,suntvv,サンテレビ,422,"阪神淡路大震災の犠牲者らを追悼する東遊園地の「慰霊と復興のモニュメント」に新たに、2人の名前が刻まれた銘板が追加されました。
「慰霊と復興のモニュメント」に銘板追加
兵庫県神戸市中央区の東遊園地にある「慰霊と復興のモニュメント」は、1995年の阪神淡路大震災の記憶を後世に伝えようと2000年1月に建てられ、地下の「瞑想空間」には犠牲者の他、関連死や遠因死で亡くなった人、復興に携わった人たちの名前が刻まれています。
亡き家族への思いを胸に祈りを捧げる遺族
1月17日に震災から30年となるのを前に、自宅が崩れ犠牲となった女性と、被災後の環境や疲労に耐えきれず亡くなった女性の2人の名前が加えられ、遺族は、亡き家族への思いを胸に銘板を貼り付け、祈りを捧げました。

慰霊と復興のモニュメントに名前が掲示された人は、これで5070人となりました。

東遊園地では1月17日、阪神淡路大震災が発生した早朝に追悼行事「1・17のつどい」が営まれます。",[],[]
天皇・皇后両陛下が阪神淡路大震災30年の追悼式典に出席するため神戸市へ／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/534eb1e9b4f71fb537b04768779a3686e1c8b8e6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010004-suntvv-000-1-view.jpg?exp=10800,2025-01-16T20:01:05+09:00,2025-01-16T20:01:05+09:00,サンテレビ,suntvv,サンテレビ,376,"天皇・皇后両陛下は1月16日阪神淡路大震災30年の追悼式典に出席するため羽田空港から特別機で出発し神戸市に入られました。
追悼式典に出席するため神戸空港に到着された天皇・皇后両陛下
天皇、皇后両陛下は2025年1月17日、発生から30年の節目を迎える阪神淡路大震災の追悼式典に出席するため1月16日午前、兵庫県の神戸空港に到着し、出迎えた斎藤知事とあいさつを交わされました。
兵庫津ミュージアムを訪問された天皇・皇后両陛下
その後、両陛下は神戸市内のホテルに移動され、斎藤知事から復興状況などの説明を受けられた他、県立兵庫津ミュージアムを訪問し、被災の記録を伝える特別展を視察されました。

阪神淡路大震災の追悼式典は1月17日、神戸市中央区の県公館で行われ、天皇陛下があいさつされます。

両陛下が式典に参列されるのは皇太子時代の2010年以来です。",[],[]
芦屋市で男性刺される 現場から逃走した男2人の身柄確保／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/c9565dd5f8408c813469becbbf2920bd326e2d47,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010003-suntvv-000-1-view.jpg?exp=10800,2025-01-16T15:19:01+09:00,2025-01-16T15:19:01+09:00,サンテレビ,suntvv,サンテレビ,384,"16日午前、兵庫県芦屋市の路上で男性が刃物のようなもので刺され、病院に搬送されました。
芦屋市の路上で男性が刃物のようなもので刺される
警察は現場から逃走したとみられる男2人を関西空港付近で見つけ、任意で事情を聴いています。

16日午前10時20分ごろ芦屋市涼風町の路上で「男性が刺されている」と119番通報がありました。

警察によりますと30代くらいの男性が腹などを刃物のようなもので刺され、重傷のもようです。

男性は病院に搬送される際は意識があったということです。

男性を刺したのは30代から40代くらいの男2人とみられ、現場から車に乗って逃走しましたが、その後、大阪府警の捜査員が関西空港付近で発見し、身柄を確保しました。

警察は2人に任意で事情を聴いていて、容疑が固まり次第逮捕する方針です。

現場はJR芦屋駅から南東に3キロほど離れた住宅街です。",[],[]
阪神淡路大震災から30年　長田区で震災後を描いた企画展／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/39291ae5494f43685e1edf1f2a23c50157796169,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010002-suntvv-000-1-view.jpg?exp=10800,2025-01-16T12:59:52+09:00,2025-01-16T12:59:52+09:00,サンテレビ,suntvv,サンテレビ,376,"17日で阪神淡路大震災から30年となります。
アート展「情景／場景の間」
震災で大きな被害を受けた兵庫県神戸市長田区の震災後を描いた企画展が開かれています。
震災直後の長田の情景
阪神淡路大震災直後の長田の情景。
瞳の中に映る鉄人28号のモニュメント
想像を絶する状況への恐怖や憤りを描写し、当時の様子を後世に残したいという思いで描かれました。

神戸市長田区が実施する「長田区震災30年事業」の一環として開かれているアート展「情景／場景の間」では、神戸ゆかりのアーティスト8人がそれぞれの視点で見た長田の過去から現在の情景を作品化し、まちの変遷をたどっています。

大きな瞳の中に映っているのは長田の象徴、鉄人28号のモニュメントです。

この企画展は19日まで長田区役所で開かれていて、最終日には出展アーティストを招いたトークイベントも行われます。",[],[]
旧優生保護法全国一斉電話相談会／兵庫県（サンテレビ）,https://news.yahoo.co.jp/articles/b79a2f44008f1be5854c99f5ec0ac52039dfa7f5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010001-suntvv-000-1-view.jpg?exp=10800,2025-01-16T12:58:50+09:00,2025-01-16T12:58:50+09:00,サンテレビ,suntvv,サンテレビ,448,"旧優生保護法のもとで不妊手術などを強制された被害者本人などへの新たな補償が17日から始まるのを前に全国で一斉に電話の相談会が行われています。
旧優生保護法全国一斉電話相談会
このうち神戸市中央区では兵庫県弁護士会の弁護士が相談に応じます。

1948年から1996年まで、障害や精神疾患がある人への不妊手術や中絶手術を強制した旧優生保護法を巡っては、2024年7月に最高裁が国の賠償責任を認める統一判断を示しました。

17日から施行される新たな補償法は不妊手術を強制された被害者本人に1500万円、配偶者に500万円を支給する他、対象を中絶の被害者にまで拡充しています。

また、申請の手続きを無償でサポートするサポート弁護士制度も17日から始まるということで、「優生保護法被害兵庫弁護団」は補償法の施行と合わせて被害者への周知を図りたいとしています。

この全国一斉相談は16日午後4時までですが、17日以降は兵庫県でも専用の窓口（078-362-3439）を設置して相談を受け付けています。",[],[]
「待ってろ！全国」兵庫代表4校がスタジオ集結（サンテレビ）,https://news.yahoo.co.jp/articles/b5530b261015569a46dfc7740c49762536e001b1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-00010000-suntvv-000-1-view.jpg?exp=10800,2025-01-16T11:38:22+09:00,2025-01-16T11:38:22+09:00,サンテレビ,suntvv,サンテレビ,2706,"■高校スポーツを応援
特番『待ってろ！全国』の収録 /昨年12月 サンテレビ（神戸市中央区）
年末年始は高校スポーツの季節でもある。

サンテレビでは昨年12月22日、全国大会を直前に控えた兵庫県代表4チームを初めてスタジオに招き、特番『待ってろ！全国』を放送した。

県大会優勝の瞬間をサンテレビで中継した高校女子バスケットボール・三田松聖、男子バスケットボール・報徳学園、男子ラグビー・報徳学園、男子サッカー・滝川第二の4チームが、優勝旗を手にスタジオに登場。

練習風景や決勝戦を映像で紹介しながら、サンテレビ湯浅明彦アナウンサーの進行で各校のキャプテン・選手がそれぞれ決意を語った。

番組の一部を紹介する。
■三田松聖/女子バスケ
三田松聖/女子バスケットボール
（5年連続で全国選手権ウインターカップ出場。スローガンは「感動 感謝 一体感」）

渡部陽美（みなみ）キャプテン：
「（スタジオの選手が）皆さん大きくてびっくりしています（笑）。
白箸（しらはし）がケガをしていたんですけど、決勝戦に間に合って良かったです」

白箸空知（そら）選手：
「（24年）1月に左ヒザの前十字靭帯を損傷しました。
兵庫県決勝で復帰するとゴールを決めて、リハビリの先生と一緒にリハビリを頑張ってきました。決勝に間に合って復帰できたので嬉しかったです」

東（ひがし）奈那選手：
「ずっと強い気持ちで三田松聖らしいバスケットができたから優勝できたと思っています」

渡部キャプテン：
「（ウインターカップでは）自分たちの最大値を出せるように頑張っていきたいと思います」

（……三田松聖はウインターカップ3回戦に進出。兵庫県勢女子28年ぶりのベスト16に入った。大会で計47得点した渡部キャプテンは、「Wリーグ」1部の名門・シャンソン化粧品にアーリーエントリー選手として入団した）
■報徳学園/男子バスケ
報徳学園/男子バスケットボール
（前年の決勝は1点差で育英に敗れたが、24年は2点差で雪辱し全国へ。スローガンは「百折不撓（ひゃくせつふとう）」）

宮薗 遼キャプテン：
「去年（23年）ほんとに悔しい負け方をしたので、二度と同じ景色を見ないように、みんなでリベンジしようと練習に取り組んできた。
OBの方や保護者の方に恩返しできて良かったです」

久保晴熙（はるく）選手：
「この試合に勝つために毎日練習してきて、自信を持ってプレイしたので、この結果が出せて良かったです」

北村優光（ゆうひ）選手：
（決勝戦の終了まぎわ、貴重な3ポイントシュートを決め、両手をクロスさせて腕をさわるポーズ）
「（ポーズは）とっさに出た。もうちょっと違うポーズがしたかった（スタジオ笑い）」

宮薗キャプテン：
「（ウインターカップでは）報徳らしく、しっかりディフェンスで固く守って 得点を重ねていきたいです」

（……報徳学園は3回戦に進出し、5度目のベスト16入りを果たした）
■報徳学園/男子ラグビー
報徳学園/男子ラグビー
（9年連続50回目の花園出場。前々回は全国準優勝。スローガンは「タフチョイス」）

西本龍太（りょうた）キャプテン：
（決勝ではラインアウトからボールを受けトライ）
「僕自身が（トライを）取ってやろうと思った。チームに勢いが付けれたので、良かったかなと思います」

野村怜央選手：
（大学受験のため決勝を欠場）
「（チームに）申し訳ない気持ちもあったんですけど、そのチームが頑張ってくれるので、それに対して応援しようという気持ちでした」

タウファテビタ悦幸選手：
「しっかり集中してたんで、試合中はあんまり野村のことを考えずに、試合終わったら、あ、野村出てなかったなという感じです（スタジオ笑い）。
（花園では）1つ勝てば目黒学院が待っているが、自分たちらしさを出すことができたら、しっかり勝てると思います」

野村選手：
「（勝ち上がれば前回敗れた東海大大阪仰星と当たる可能性があるが）東海大大阪仰星さんとはいろんな縁がある。今度こそは絶対勝ち切りたい」

（……報徳学園は2回戦で目黒学院を破ったが、3回戦で東海大大阪仰星に敗れた。3大会連続のベスト16入り）
■滝川第二/男子サッカー
滝川第二/男子サッカー
（PK戦でAIE国際を破り3年ぶり22回目の全国へ。2010年度に全国優勝。スローガンは「怯（ひる）まず驕（おご）らず溌溂と」）

三宅蔵ノ助キャプテン：
「（決勝は開始11分で1人が退場となり）10人になってしまったんですけど、その際に全員でしっかり集まって一団結して10人で11人分走るという熱い話をしたので勝てたと思ってます」

竹本 航選手（GK）
「（PK戦の前に三宅キャプテンからキャプテンマークを渡され）キャプテンの熱い思いや責任感が伝わってきて、絶対に止めてやろうとより一層思いましたた。
普段はすごく仲がいいんですけど、みんないざ練習とか紅白戦になるとバチバチでやり合う」

鬼追（きおい）元汰選手
「（PK戦1人目のキッカーだったが）緊張はあんまりしなかった。外しても竹本が止めてくれるやろという気持ちで…」

三宅キャプテン：
「（全国大会1回戦の）山梨学院さんも優勝経験を持つ伝統校なので非常に強いと思うんですけど、 しっかり自分たちは一戦必勝で全国制覇を目指して頑張っていきたいと思います」

（……滝川第二は1回戦・山梨学院戦は1-1から三宅キャプテンが決勝PKを決めて勝利したが、2回戦で東北学院に0-1で惜敗した）
■ユニホーム交換も
サンテレビ特番『待ってろ！全国』
番組の最後に選手たちは「すごく楽しかった」、「兵庫県を代表する仲間と話し合えて、いい刺激がもらえた」などと感想を語った。

番組を企画したサンテレビ・スポーツ部の上恐輝（じょうきょう・ひかる）ディレクターは、
「収録後に、仲良くなった他校の選手たちが意見交換をしたり、ユニホーム交換をして写真撮影をしている光景を見て、やって良かったと思いました。試合以外は明るくて爽やかな普通の高校生ですが、言葉や雰囲気はどこか堂々としていて『自分たちは兵庫の代表としてこれから戦いに行くんだ』と、自信も感じとれました」と話していた。

＜このほかの高校兵庫県勢の全国大会成績＞
◆駅伝男子・西脇工業：13位、須磨学園：16位
◆駅伝女子・須磨学園：23位
◆女子サッカー・神戸弘陵学園：ベスト8
◆バレーボール男子・市立尼崎：ベスト4
◆バレーボール女子・須磨ノ浦：初戦敗退
（浮田信明）",[],[]
