headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
おしゃれカフェの「バスチーセット」で素敵なひとときを　椅子や机は中国でフルオーダー（テレビ新広島）,https://news.yahoo.co.jp/articles/f26343ff6865b2df6b47718795dc65a64b14b2a8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027145-tssv-000-1-thumb.jpg?exp=10800,2025-01-16T20:00:02+09:00,2025-01-16T20:00:02+09:00,テレビ新広島,tssv,テレビ新広島,680,"広島ニュースTSS
「ひろしま満点ママ・行きたくナル食堂」がオススメするとっておきグルメをご紹介するコーナー。おしゃれなカフェで素敵なひとときを楽しみます。

【梶谷アナ】
「広島駅からカープロードを歩いて南区荒神町に来ています」

「かわいい店内！」ということで、今回は、目線カメラでお届けします！
早速行ってみましょう！

【店主・鈴木 綾さん】
「中国に行ってフルオーダーしました」

「アパホテル広島駅前スタジアム口」１階にオープンした「Ｇｒｉｌｌ＆ＣａｆｅＦＯＲ ＳＥＡＳＯＮ」。
店主が中国へ出向き、フルオーダーした机や椅子が並ぶこだわり溢れる店内。
しかも、秘密のお部屋もあるらしく…

《完全予約制の個室》

様々なシチュエーションで楽しむことができるこちらのお店で大人気のメニューとは？

《アボガドディップバーガー：１３００円》

美味しさの秘密はバンズにも！？
ガッツリとハンバーガーを頬張った後は、デザート…タイム？

《バスクチーズケーキ（プレーン）：６５０円》

デザートには、お店で手作りしているバスクチーズケーキ！
粉砂糖で書かれた店名もオシャレで可愛いですね！

そう！なんとハンバーガーとセットでいただくバスチーセットもあるんです！
《バスチーセット（プレーン）＋２８０円》
これは嬉しい！！

その他、イベントに合わせて限定メニューもあるそうです。
ゆっくりとくつろげる「おしゃれカフェ」。
どうです？行きたくナリましたか？

（参考）
『Ｇｒｉｌｌ＆Ｃａｆｅ ＦＯＲ ＳＥＡＳＯＮ』
広島市南区荒神町
広島ニュースTSS",[],[]
「農福連携」で障がい者の社会進出を後押し　農業分野の担い手確保にも期待　広島県、竹原市などが協定締結（テレビ新広島）,https://news.yahoo.co.jp/articles/ef6679e9dfece3781c6505576998663a425165ce,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027153-tssv-000-2-thumb.jpg?exp=10800,2025-01-16T19:01:02+09:00,2025-01-16T19:12:02+09:00,テレビ新広島,tssv,テレビ新広島,519,"広島ニュースTSS
障がいのある人たちが農業分野で活躍することで、障がいのある人の社会進出と農業の担い手不足解消を目指します。

１６日、県庁で行われた協定締結式には、広島県の湯崎英彦知事や竹原市、三原市、東広島市の市長と官民組織、「農福コンソーシアムひろしま」の代表が出席しました。

この協定は障がいのある人やひきこもり状態にあり地域で生きづらさを抱えている人などが、農業分野で活躍することを後押しする「農福連携」を推進するため結ばれたものです。

協定では、障がいのある人などが生きがいを持って働ける環境の整備などに協力して取り組むとしています。
こうした取り組みで、担い手不足や高齢化が進む農業分野においても新たな働き手の確保も期待されています。

【広島県・湯崎英彦知事】
「農業において人手不足もあるので、その解消によって広島県の農業の発展にも寄与してもらえる。皆さんが連携して進めることで一歩二歩大きく進んでいくことを期待したい」

【農福コンソーシアムひろしま・伊藤大悟代表】
「農業の担い手以外にも様々な産業の担い手にも結びついていく中の一歩として農福連携を使ってもらい、社会と繋がってもらえればと」
広島ニュースTSS",[],[]
「青山クラブ」は一部保存、跡地に市立美術館を新築　呉市幸町地区の整備案　有識者会議が示す（テレビ新広島）,https://news.yahoo.co.jp/articles/320c992b802deb869c9a2d62d4b523409f5b0202,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027149-tssv-000-2-thumb.jpg?exp=10800,2025-01-16T19:00:03+09:00,2025-01-16T19:12:02+09:00,テレビ新広島,tssv,テレビ新広島,505,"広島ニュースTSS
青山クラブや入船山記念館など旧海軍ゆかりの施設が多く立地する呉市幸町地区の総合整備案が有識者会議で示されました。

１５日夜、開かれた有識者会議の最終回では、これまでの議論を取りまとめた幸町地区のエリアデザイン案が市長に手渡されました。

幸町地区を巡っては、旧海軍の施設として利用されていた青山クラブや桜松館、また、市立美術館などが老朽化のため対策が必要なことから、２０２３年５月に有識者会議を立ち上げ地域一体での整備を議論してきました。

今回示されたエリアデザインの第一案では、青山クラブの一部を耐震補強して保存し、残りの大部分を解体した跡地に新しい市立美術館を新築する方針が示されました。
保存する青山クラブの一部にはカフェや物販施設を整備します。

また桜松館の建物は解体し、オープンスペースの中庭にするなど市民に開かれたエリアづくりを目指す方針です。

【呉市・新原芳明市長】
「（呉市が）持っているポテンシャルを十分に活かしていくことで、市民が誇りに思える街にさらになっていけると思う」

呉市は今回の案を踏まえて来年度に整備の基本計画を策定する方針です。
広島ニュースTSS",[],[]
岩国基地で防災訓練　南海トラフ地震を想定　自衛隊とアメリカ軍が救援活動で連携（テレビ新広島）,https://news.yahoo.co.jp/articles/2e5ba93635b4b0e943aa50b1d5eab0e68fba3e63,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027157-tssv-000-2-thumb.jpg?exp=10800,2025-01-16T18:46:02+09:00,2025-01-16T19:12:02+09:00,テレビ新広島,tssv,テレビ新広島,518,"広島ニュースTSS
政府の地震調査委員会は１５日、南海トラフ地震の３０年以内の発生確率を「８０％程度」まで引き上げました。そんな中、南海トラフ地震を想定しアメリカ軍と自衛隊が連携した大規模な防災訓練が行われました。

この訓練は南海トラフ地震の発生を想定して行われ、アメリカ軍と自衛隊は連携して、食料や生活用品などの救援物資を運びました。

【高橋徹記者】
「オスプレイに救援物資を積み込む作業が行われています」

オスプレイは物資を運ぶため、海上自衛隊の徳島航空基地へ飛び立ちました。
南海トラフ地震が発生した際、徳島県は物資を陸路で運べない島が多く、空から届ける必要があるということです。

一方、米軍の住宅がある岩国市愛宕町では多国籍の住民に対応できる避難所が設置され、アメリカ軍と自衛隊は救護活動を連携して行いました。
また、避難した住民にはおよそ３５０床の簡易ベッドが用意されました。

【陸上自衛隊第１３旅団・今村武 旅団長】
「東日本大震災の際トモダチ作戦を米軍がやった。米軍が持っている大きな力は災害対応で有意義なもの」

アメリカ軍と自衛隊が今回のような大規模な訓練を岩国基地で行うのは初めてです。
広島ニュースTSS",[],[]
広島都市圏の４病院統合計画　ＪＲ広島病院の建物残す案を検討　建設資材高騰を受け（テレビ新広島）,https://news.yahoo.co.jp/articles/539dd589ddfd69a01e6f258260f2e03a166efb11,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027154-tssv-000-3-thumb.jpg?exp=10800,2025-01-16T18:38:01+09:00,2025-01-16T19:12:02+09:00,テレビ新広島,tssv,テレビ新広島,476,"広島ニュースTSS
県立広島病院など４つの医療機関を統合して広島駅北口に建設予定の新病院を巡り、立体駐車場に改修予定のＪＲ広島病院について、県は建物を引き続き医療関連施設として活用する案を検討しています。

広島県は、県立広島病院やＪＲ広島病院など４つの医療機関を統合し、ＪＲ広島駅北側に新しい病院を整備する計画を進めています。

整備計画ではＪＲ広島病院の建物について骨組みを残して解体し、立体駐車場に改修する予定ですが、建設資材の価格高騰の影響を受け、改修費が想定よりかかると予想されています。

このため県では、建物を引き続き医療関連施設として活用する案を検討しているということです。

新病院の総事業費はおよそ１３００億円から１４００億円を見込んでいて、県は、今後も整備にかかる費用を抑えるため、様々な案を検討していく方針です。


※病院統合計画…県立広島病院、ＪＲ広島病院、中電病院、広島がん高精度放射線医療センターの4つの病院を統合し、広島市東区二葉の里に新病院を建設し、全国トップレベルの医療の提供を目指すというもの
広島ニュースTSS",[],[]
クロネコヤマト「貨物専用」飛行機での実証実験始まる　物流の２０２４年問題解決へ　広島空港（テレビ新広島）,https://news.yahoo.co.jp/articles/98f47934eab66354679801ff8af445d11048759d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027151-tssv-000-2-thumb.jpg?exp=10800,2025-01-16T18:32:01+09:00,2025-01-16T19:12:02+09:00,テレビ新広島,tssv,テレビ新広島,767,"広島ニュースTSS
トラックドライバーの不足が懸念されるいわゆる物流の２０２４年問題の解決策の１つとして、貨物専用の飛行機を活用する実証実験が始まりました。

この取り組みは県の実証実験として、物流大手のヤマトホールディングスが去年から導入している貨物専用の飛行機を活用するものです。

北九州空港から成田空港を結んでいる定期路線の経由地に広島空港を組み入れ、初日は工業製品や生鮮食品などおよそ５００キロ分が積み込まれました。
物流量が増加を続ける中、専用機を導入するきっかけとなったのはいわゆる物流の２０２４年問題です。

【ヤマト運輸 貨物航空輸送オペレーション設計部・鈴木達也部長】
「（トラック）ドライバーの数が減ってくる中でこれからさらに厳しくなってる。安定的な輸送手段としてのフレイター（貨物専用機）だけではなく、いろんな輸送モードを確保することが大事」

専用機ではスペースが広がることでサイズの大きな貨物にも対応できるということです。

【広島県空港振興課・栗根麻衣子課長】
「県内はものづくりは盛んなので、工業製品といったところの輸送に強みがあるのではないか」

実証実験は県が運航経費の一部を助成して今年度末までに数回実施され、採算性などを検証する計画です。

《スタジオ》
取材した青坂記者によりますと、今なぜ専用機なのか…

【記者の目：青坂匠記者】
これまでは旅客機の床下にある貨物スペースを活用。
ところがＬＣＣ＝格安航空のニーズが高まる中、格安航空は使用される機体が比較的小さいために一度に運べる荷物も少なくなってしまう。
そこでヤマトホールディングスは専用機の導入に踏み切ったという経緯。
専用機は自社所有のもので、元々は海外で旅客機として使われていたものを改良したということです。
広島ニュースTSS",[],[]
インフルエンザ依然猛威　感染者数は警報レベルで推移　感染対策の徹底を　広島県（テレビ新広島）,https://news.yahoo.co.jp/articles/41e6984bdc7f835ac6ecb5738316f8e956c7ef7c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027158-tssv-000-2-thumb.jpg?exp=10800,2025-01-16T18:27:01+09:00,2025-01-16T19:12:02+09:00,テレビ新広島,tssv,テレビ新広島,267,"広島ニュースTSS
県内で、インフルエンザに感染した患者の数は減少傾向にありますが、依然として警報レベルを超えています。

県によりますと今月１２日までの１週間でインフルエンザに新たに感染した人は１医療機関あたり３２．１９人となりました。
過去最多の感染者数となった先月末に比べると減少傾向にありますが、依然として警報レベルを超えています。

県は、今後も感染が拡大する可能性があるとして、先月２６日から県内全域に「インフルエンザ警報」を発令していて、引き続き手洗いなどの基本的な感染対策の徹底を呼びかけています。
広島ニュースTSS",[],[]
阪神淡路大震災から３０年　大学生の息子亡くした女性　神戸の「希望の灯り」を分灯し広島へ（テレビ新広島）,https://news.yahoo.co.jp/articles/fc6c7ad791232737ffebda65f3ed9f344833fb87,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027159-tssv-000-2-thumb.jpg?exp=10800,2025-01-16T18:22:02+09:00,2025-01-16T19:12:02+09:00,テレビ新広島,tssv,テレビ新広島,584,"広島ニュースTSS
６４３４人の犠牲者を出した「阪神淡路大震災」から１７日で３０年。

【山北陸斗記者】
「兵庫県神戸市の中心地三宮エリアに来ています。当時、大学生の息子を亡くした広島市内に住む女性がこの被災地を訪れます」

【新神戸駅に到着した加藤りつこさん（７６）】
「こんにちは！お久しぶりです…」

新神戸駅に降り立ったのは、広島市安佐北区に住む加藤りつこさん。
震災で、当時、神戸大学法学部の２年生だった息子の貴光さんを亡くしました。
加藤さんは、１６日、震災の犠牲者を追悼するモニュメントがある「東遊園地」を訪問。
ここで、震災の犠牲者と生きのびた人たちの思いをむすぶ証し、「希望の灯り」の分灯に臨みました。

【広島市安佐北区在住 加藤りつこさん（７６）】
「１・１７の希望の灯りを、まちとまちのついながり、人と人とのつながりを感じながら分灯した。２０年たっても３０ねんたっても気持ち的には変わらないし、数字の上で節目であって、私の気持ちとしたら、まったく節目なんかない。ここにくるとあたたかい。知らない人であっても、これが寄り添うということかな。ここに来るといつも思う」

火は、阪神淡路大震災からちょうど３０年の１７日、広島市の原爆ドームで行われる追悼行事で灯され、地震の発生時刻、午前５時４６分に合わせて犠牲者に祈りを捧げます。
広島ニュースTSS",[],[]
家事・育児　妻の負担は夫の４倍　「見える化」で意識改革　広島県がキャンペーン（テレビ新広島）,https://news.yahoo.co.jp/articles/9566de779a81848b5b8b16173ef09b7a08f87ef1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027146-tssv-000-2-thumb.jpg?exp=10800,2025-01-16T18:08:02+09:00,2025-01-16T19:04:01+09:00,テレビ新広島,tssv,テレビ新広島,661,"広島ニュースTSS
育児の話題をお伝えするコーナ―。１７日から始まるある「キャンペーン」に注目します。

【広島県・湯崎英彦知事】
「パートナー同士が協力しあって家事や育児に取り組む「共育て」を推進するため、１月１７日金曜日から『家事育児見える化キャンペーン』を実施いたします」

県が、１７日から始めるキャンペーンでは、パートナーがいる県民を対象に家庭内の家事や育児についてウェブを使ったアンケートを行い、「見える化」しようというものです。
なぜ、このような取り組みをするのでしょうか？

【広島県・湯崎英彦知事】
「共働き世帯が増加する中で、依然として女性に家事・育児の負担が偏っているという傾向」

広島県の男性の育児休業の取得率は、「令和」以降、大きく伸び、全国平均を上回る４６．２％となりました。

一方で、１日のうち家事や育児に費やす時間を妻と夫で比較すると、圧倒的に妻が多いままで、夫のおよそ４倍というのが実情です。

たとえば「ごみ捨て」。
夫は用意されたごみを捨てに行き、自分がやったと思いがちですが、「ごみを集める」、「ごみ袋を新しく替える」などの仕事を妻がしていることを見落としがちなのだとか。

県は、こうした妻と夫の負担の違いが少子化の要因の一つとみて、「広島共育て大調査」を実施することにしたのです。

【広島県・湯崎英彦知事】
「（アンケート結果は）今後男女が共に家事・育児に主体的に参加する共育ての定着を図るため、より効果的な施策の検討に生かしていきたいと考えています」
広島ニュースTSS",[],[]
カープ球団　オリックス移籍 九里投手の補償は「金銭補償」　支配下登録選手が上限に迫る（テレビ新広島）,https://news.yahoo.co.jp/articles/b4cdfada491516447568bca57da5ff4b2d586f20,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250116-90027160-tssv-000-2-view.jpg?exp=10800,2025-01-16T18:04:01+09:00,2025-01-16T19:33:01+09:00,テレビ新広島,tssv,テレビ新広島,161,"TSSテレビ新広島
カープの話題です。
先月１６日にＦＡ権を行使し、オリックスに移籍した九里投手の「補償」についてカープ球団は、先程、「人的補償」ではなく「金銭補償」を選択したと発表しました。
カープは、現在、支配下登録選手が上限の７０人に迫る６８人となっていて、金銭でのの選択に至ったと考えられます。
広島ニュースTSS",[],[]
