headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
HANAメンバーの自撮り＆『シューイチ』感想公開！『No No Girls（ノーノーガールズ）』から今春デビュー（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/7b542fcf65ea79cb4cf4dfd877a99d7a320b6f6c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-19T22:52:49+09:00,2025-01-19T22:52:49+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,1293,"『No No Girls（ノーノーガールズ）』から誕生した、今春デビュー予定のHANA（ハナ）が同オーディションでプロデューサーをつとめたちゃんみなとともに『シューイチ』に出演。集合ショットとともに、各々の気持ちを綴った自撮りショットを公開した。
写真＆動画：HANA＆ちゃんみなの記念ショット。各メンバーの自撮りショットも！（全9投稿）
■HANAとして初のパフォーマンス！「Drop」を披露

CHIKA、NAOKO、JISOO、YURI、MOMOKA、KOHARU、MAHINAの7人からなるHANAが、日本テレビ系『シューイチ』にちゃんみなとともに出演。1月11日、神奈川・Kアリーナ横浜にて約2万人の超満員の中で開催された最終審査『No No Girls THE FINAL』でも披露した、グループパフォーマンス曲「Drop」をHANAとして初披露した。

なお、JISOOは日本での音楽活動を行うための準備期間中であったことから、韓国からのリモートで一部出演となった。そのため、JISOOのパネルを持ってHANAメンバーが記念ショットを撮影している。

-----

■放送終了後には自撮りショットを公開

HANAとして、初めてパフォーマンスを行った7人のメンバーはそれぞれ自撮りショットとともに感想をInstagramにて投稿している。

◎CHIKA
CHIKAは残念ながらリアルで一緒にパフォーマンスできなかったJISOOを気遣い「7人でのパフォーマンスお楽しみに！」とここからはじまるHANAへの期待感を煽った。

◎NAOKO
“実力の暴力”とちゃんみなを言わしめた努力家・NAOKOは「初めてのテレビ、、！！やっぱり緊張していましたが、本当に楽しかったです！！」とフレッシュなグループらしい一面をのぞかせている。

◎JISOO
残念ながら、今回は韓国からのリモート出演となったJISOOも自撮りショットとともに「シューイチ出演ができて嬉しかったです。ありがとうございました！」と少しでもメンバーと一緒に出演できたことを喜んだ。

◎YURI
彼女たちの思いが詰まった「Drop」を披露したことをうけ、YURIは「朝『Drop』はパンチ強めで最高でした。初の生放送でしたが皆さんのパワーでやり切れました！」と手応えを感じたようだ。

◎MOMOKA
MOMOKAは『シューイチ』を表すポーズをとりながらの自撮りショットを公開し、「皆さんありがとうございました！次はオンニと7人で！！！」と7人完全体でのパフォーマンスへ意気込んだ。

◎KOHARU
優しい微笑みを見せる自撮りショットとともに、KOHARUは「いつどんなときでも皆さんに元気を与えられるグループになります！　また会いましょ」と次なる約束をファンと交わした。

◎MAHINA
最年少メンバーのMAHINAは「シューイチをご覧いただきありがとうございました！　これからも成長した姿をお見せできるように頑張ります！」と気合充分な頼もしいメッセージを綴っている。
THE FIRST TIMES編集部",[],[]
佐野勇斗が鮮烈どピンク髪でイメチェン！新ヘアスタイルを公開「犬のさくちゃんもドン引いてます」（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/2fef33f8a536964fa623957adc8c3bcebc047cdf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-01-19T22:15:07+09:00,2025-01-19T22:15:07+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,584,"M!LKのメンバーであり、俳優としても活躍する佐野勇斗が自身のInstagramにて、鮮烈な“どピンク”に染めた新ヘアスタイルを公開した。
写真：佐野勇斗が公開した、どピンクな新ヘアスタイル！2024年～現在までの佐野勇斗の髪型遍歴も（全5投稿）
■息子LOVEな佐野勇斗実家（やば実家）にも注目

佐野は「なかなかやばい写真ですね。髪の毛はもちろんですが、後ろにあるグッズの量。やば実家です。犬のさくちゃんもドン引いてます」というメッセージとともに、写真を公開。

公開されたのは、様々なグッズが飾られた“佐野勇斗”神棚をバックに、愛犬さくちゃんと撮影した2ショット。本人が驚くほどの実家の推し活っぷりは、それだけ息子がかわいい証拠なのだろう。

そして、もうひとつの注目ポイントである佐野のどピンク髪。根本から毛先まで鮮やかに染まったピンク髪はなかなかのイメチェンとなっている。

-----

■リリース情報

2025.03.21 ON SALE
『佐野勇斗カレンダー2025.4-2026.3』
2,530円（税込）
※表紙3種（通常版／+KIRARI会員限定版／イベント限定版）

A5判（縦210mm×横148mm）リング式卓上タイプ
ページ数：14ページ
ISBN：978-4-910528-60-1
発行：SDP
THE FIRST TIMES編集部",[],[]
香取慎吾、“規格外”のモテエピソードに困惑！似顔絵をタトゥーに「ヤバいじゃん…」【ななにー】（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/326977c00586d37691f61349f6d77336c931bde1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250119-00012146-mnet-000-1-view.jpg?exp=10800,2025-01-19T21:00:48+09:00,2025-01-19T21:00:48+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,1447,"掲載：THE FIRST TIMES
■稲垣吾郎は蛙化エピソードに「ちゃんと好きになっていないから蛙化しちゃうんじゃない？」と指摘
【画像】蛙化エピソードに指摘する稲垣吾郎
稲垣吾郎、草なぎ剛（「なぎ」は、弓へんに旧字体の前＋刀が正式表記）、香取慎吾が出演する番組『ななにー 地下ABEMA』の
#56が
、1月19日に放送された。
#56では
、「SNSで話題沸騰 かっこよすぎる男性＆かわいすぎる女性が大集合！両親登場＆意外な素顔を大公開SP前編」と題し、TikTokの再生回数が500万回を超え、かわいすぎると話題のダンプトラックドライバーや、韓国の人気アイドルグループBTSのメンバーに似ていると話題になったことでTikTok再生回数380万回を突破し、経営する店に行列ができる話題のカフェオーナーなど、今SNSで注目を集める男性・女性の職業や知られざる私生活、モテエピソードに迫った。

スタジオには、“かわいすぎるラーメン店オーナー”として話題の淵田由衣さんが登場。大阪で3店舗のラーメン店を経営する淵田さんに密着した動画は、SNSで驚異の1,450万回再生を記録。今回、ななにーメンバーがSNSでの反響について尋ねると、イギリスやドバイなど世界各国から婚約届を持参するお客さんがいることを明かし、スタジオは驚きに包まれる。

さらに、彼女の似顔絵をタトゥーにするファンまで現れるなど、“規格外”のエピソードが次々と披露され、香取も「ヤバいじゃん…」と困惑する様子を見せた。

その後、みちょぱが「ぶっちゃけ、どれくらいの方（人数）とお付き合いされていたんですか？」と質問すると、淵田さんは「2～30人くらい」と回答。香取が思わず「なぜ別れる？　何があるの？」とツッコミを入れるシーンも。

また、稲垣が「毎回向こうから告白されるの？」と聞くと、淵田さんは「そうですね。自分からは言えなくないですか？」と返答。これに対し、みちょぱは「私、自分からの片思いじゃないと始まれないタイプなので、（相手から）来られると『キモっ』ってなっちゃう」と語り、スタジオを盛り上げた。

なお、淵田さんは自身のタイプについて「細身で体毛の薄い人が好き」と語り、「デート中、男性が腕をまくったときに体毛が見えて『あっ、毛が！』って思った瞬間、『用事がある』と言って帰ったことがある」「蛙化（現象）みたいな…」と、過去のエピソードを披露した。

これを聞いた稲垣は「ちゃんと好きになっていないから蛙化しちゃうんじゃない？」と指摘し、ななにーメンバーは「吾郎さん、名言！」と絶賛。草なぎも「モテすぎるのもちょっと問題かもしれないね…」とコメントし、スタジオは笑いに包まれた。

他にも、TikTokフォロワー10万人超を誇るかわいすぎるダンプトラックドライバーの素顔や、韓国の人気アイドルグループBTSのテテに似ていることでTikTok再生数が380万回を超えたというイケメンカフェオーナーのモテエピソードに迫った『ななにー 地下ABEMA』
#56は
、現在ABEMAにて配信中。

(C)AbemaTV, Inc.

配信情報
ABEMA『ななにー 地下ABEMA』
#56
01/19（日）20:00〜
出演：稲垣吾郎、草なぎ剛、香取慎吾 他

ABEMA『ななにー 地下ABEMA』
#57
01/26（日）20:00〜
出演：稲垣吾郎、草なぎ剛、香取慎吾 他
THE FIRST TIMES編集部",[],[]
Travis Japan初のCDシングル「Say I do / Tokyo Crazy Night」全形態収録曲＆特典ディスク内容発表（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/5e236fb3293f94085935f622e67b233e12cc0407,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250119-00012145-mnet-000-1-view.jpg?exp=10800,2025-01-19T20:00:37+09:00,2025-01-19T20:00:37+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,1413,"掲載：THE FIRST TIMES
■UNIVERSAL MUSIC STORE盤は、ワールドツアー映像、ドキュメンタリー、フォトブックレット封入の超豪華盤！
【動画】Travis Japan「BO$$Y」MV
Travis Japan初のCDシングル「Say I do / Tokyo Crazy Night」（3月5日リリース）の、収録詳細が発表された。

今作は、宮近海斗が葵わかなとW主演を務めるテレビ朝日オシドラサタデー『ホンノウスイッチ』の主題歌「Say I do」と、松倉海斗が主演を務めるABCテレビ1月期L連続ドラマ『トーキョーカモフラージュアワー』の主題歌「Tokyo Crazy Night」の、ダブルAサイドシングルとなる。

形態は、全部で4種類。全3曲収録の初回T盤、初回J盤、そして全2曲収録のUNIVERSAL MUSIC STORE盤には、それぞれ特典ディスクのBlu-rayまたはDVDが付いてくる。

そして、通常盤とワールドツアーの映像が収録されるUNIVERSAL MUSIC STORE盤は、全4曲収録となる。

初回T盤は、表題曲の2曲に新曲「Be Your Shadow」を加えた計3曲がDisc1（CD）に収録。特典ディスク（Blu-ray/DVD）には、「Say I do」のMV＆メイキング映像と、2024年9月に出演した『テレビ朝日 ドリームフェスティバル2024 -Live Performance-』が収録される。さらに、スリーブケースやステッカーシート、トレーディングカード3種セットが付いてくる。

初回J盤は、表題曲の2曲と新曲「My Own Night」の計3曲をDisc1（CD）に収録。特典ディスク（Blu-ray/DVD）には「Tokyo Crazy Night」のMV＆メイキングと、『密着！TJプライベートクイズ！ ～メンバーのオフにお邪魔してきました～』と題したバラエティコンテンツが収録される。さらに、初回T盤とは絵柄違いのスリーブケースやステッカーシート、トレーディングカード3種セットが付いてくる。

通常盤には、表題曲2曲の他に、新曲「Backup Plan」と「O-Shan-Tee」の2曲を加えた計4曲を収録。初回プレスには、三方背スリーブケースが付いてくる。

UNIVERSAL MUSIC STORE盤では、Disc1（CD）に表題曲「Say I do /Tokyo Crazy Night」の計2曲を収録。特典ディスクには、『World Tour 2024 Road to A -Live in Los Angeles & Tour Documentary-』と題し、2024年の9月と10月に、台北、香港、バンコク、シアトル、ロサンゼルス、ニューヨークの6都市で開催した『World Tour 2024 Road to A』のライブ映像はもちろん、メンバーが各地で楽しむ様子やライブの準備をする様子などを収めたドキュメンタリーも含め、計約90分収録される。また、40ページの各地のライブ写真を収めたフォトブックレットも封入されるなど、超豪華盤となっている。

リリース情報
2025.03.05 ON SALE
SINGLE「Say I do / Tokyo Crazy Night」
THE FIRST TIMES編集部",[],[]
JO1與那城奨＆河野純喜、全英語詞楽曲をカバー！仲睦まじい関係が映し出された映像公開（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/24c388f7e6bd290943dd2fe3fffda7cbbd868cdd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250119-00012147-mnet-000-2-view.jpg?exp=10800,2025-01-19T19:34:47+09:00,2025-01-19T21:38:34+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,828,"掲載：THE FIRST TIMES
■「個人的にものすごく大好きな楽曲で、こうやって歌うことが出来ることを嬉しく思います」（JO1・與那城奨）
【動画】JO1與那城奨＆河野純喜の仲睦まじい関係が映し出された映像公開
JO1の與那城奨と河野純喜が、公式YouTubeチャンネルのメンバーセルフ企画「PLANJ（読み：プラント）」の第10弾として、イギリス出身の3人組・New Hope Club「Just Don‘t Know It Yet」のカバー映像を公開した。

「PLANJ」は、JO1メンバー自身が表現したいものが見られる貴重なコンテンツ。JO1が個々のスキルアップとそれをグループに還元することを目標に、音楽に限らずグループやメンバーの個性を自由に表現し発信している。

公開されたMVは、キッチンで戯れあったり、アートを彩ったり、スタジオでレコーディングするシーンなど、與那城と河野の仲睦まじい関係が、ノスタルジックな世界観で映し出された作品となっている。

■與那城奨 コメント
やっとこの楽曲をcoverできる時が来ました！　個人的にものすごく大好きな楽曲で、こうやって歌うことが出来ることを嬉しく思います。純喜も好きなこの曲を一緒に歌えて最高です。是非沢山の方に聴いてほしいです！

■河野純喜 コメント
以前、New Hope Clubさんのライブに奨くんと行ったことをきっかけにこの楽曲を知り、二人でいつかカバーしたいね、という話をずっとしていました。この楽曲の温かい歌詞が大好きで、デビューから5周年を迎えるJO1のことが思い浮かびます。奨くんと歌えてとても嬉しいです。ぜひ沢山聴いてください。

リリース情報
2025.03.04 ON SALE
DIGITAL SINGLE「無限大（INFINITY）2025」

2025.04.02 ON SALE
ALBUM『BE CLASSIC』
THE FIRST TIMES編集部",[],[]
BE:FIRST新曲「Spacecraft」先行配信決定！MVティザー映像公開（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/0a530491122298f7e4666da387f530e92cd16f5e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250119-00012144-mnet-000-1-view.jpg?exp=10800,2025-01-19T19:00:06+09:00,2025-01-19T19:00:06+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,708,"掲載：THE FIRST TIMES
■「Spacecraft」は、BE:FIRSTの真骨頂と言える神秘的でアグレッシブなダンスチューン
【動画】BE:FIRST新曲「Spacecraft」MVティザー映像
BE:FIRSTの最新曲「Spacecraft」が、2月3日に先行配信されることが決定。併せて、MVのティザー映像も公開された。

「Spacecraft」は、2024年12月21日より開催中の、東名阪福計9公演を回る『BE:FIRST DOME TOUR 2024-2025 “2:BE”』のために書き下ろされた新曲。

BE:FIRSTの楽曲制作を熱望し初参加のプロデューサーSAS （INIMI）、BE:FIRST楽曲には欠かせないソングライターLOAR （INIMI）とSKY-HIがコライトで制作。

BE:FIRSTの活動の勢いそのままに、「この地球ごと全部ひっくり返す」奇想天外、予想不能な展開が襲いかかるスペイシーでアブストラクトなトラックと、さらに磨きのかかった唯一無二の声の存在感で創り上げた、BE:FIRSTの真骨頂と言える神秘的でアグレッシブなダンスチューンとなっている。

ドームツアーで披露されると、「異質なダンスがヤバい！」「初見の衝撃すごすぎる…」と話題を呼んでいる「Spacecraft」。公開されたMVのティザー映像にも注目だ。

リリース情報
2025.02.03 ON SALE
DIGITAL SINGLE「Spacecraft」

2025.02.05 ON SALE
SINGLE「Spacecraft / Sailing」
THE FIRST TIMES編集部",[],[]
佐々木久美1st写真集発売記念YouTube生配信開催決定！純白ワンピースを纏った特典ポスター絵柄公開（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/526ce6480aff8b4e835c81775f0bd7becc62e5fe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250119-00012143-mnet-000-1-view.jpg?exp=10800,2025-01-19T16:39:32+09:00,2025-01-19T16:39:32+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,621,"掲載：THE FIRST TIMES
■特典ポスター絵柄は、写真集未掲載のレアカット！

日向坂46のキャプテン佐々木久美が、1st写真集（タイトル未定）を3月25日に発売する。このたび、彼女の誕生日である1月22日20時頃から、写真集発売記念のYouTube生配信を行うことが決定した。
【動画】純白ワンピースを纏った灯台カットのオフショット
配信先は、日向坂46公式YouTubeチャンネル『日向坂ちゃんねる』。写真集発売記念生配信をYouTubeにて行うのは、日向坂46では初となる。

Sony Music Shopにて、配信当日となる1月22日0時～23時59分までに予約すると、この日しかゲットできない、折り目なしポスターの特典が付いてくる（数に限りあり）。

特典ポスターとなったのは、純白ワンピースを纏った写真。爽やかな印象かつ優しい笑みを浮かべた表情からは、どこか大人な雰囲気も感じられるカット。

海岸沿いにあるレトロな灯台の下で一緒にランカウイ島の自然を感じながら、海辺散歩をしているかのような気分になる、写真集未掲載のレアなカットとなっている。

PHOTO BY 藤原 宏

書籍情報
2025.03.25 ON SALE
『日向坂46・佐々木久美1st写真集（タイトル未定）』

配信情報
『日向坂46 佐々木久美1st写真集 発売記念生配信』
01/22（水）20:00頃～
THE FIRST TIMES編集部",[],[]
Snow Manメンバーの仲の良さが伝わるリラックスショット！完全撮り下ろし『Snow Man オフィシャルカレンダー 2025.04-2026.03』カバー画像公開（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/9d814f208d6fa3867c17c1223f800d80a51ee75b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250119-00012142-mnet-000-1-view.jpg?exp=10800,2025-01-19T16:04:24+09:00,2025-01-19T16:04:24+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,792,"掲載：THE FIRST TIMES
Snow Man公式X（旧Twitter）にて、3月27日発売の完全撮り下ろしカレンダー『Snow Man オフィシャルカレンダー 2025.04-2026.03』カバー画像が公開された。
写真：リラックスモードの和やかSnow Man（全2投稿）
■様々な表情で彩るSnow Manカレンダーは絶賛予約受付中

Snow Manグループ公式Xでは、「『Snow Man オフィシャルカレンダー 2025.04-2026.03』より9人の仲の良さが伝わるカバー画像を公開」というメッセージとともに、カバー画像を投稿。

Snow Manメンバーはセーターやカーディガン、デニムパンツなど、比較的リラックスムード漂う装いで、それぞれの柔和な表情にも注目したい。

画像後列左からラウール、阿部亮平、宮舘涼太、渡辺翔太。画像中列左から向井康二、佐久間大介、岩本照。画像前列左から深澤辰哉、目黒蓮が並び、3人程度が腰掛けることができるサイズのソファに9人がぎゅっと身を寄せ合っている。

その姿からは、個性は違っても互いに尊重し合うことのできる彼らの仲の良さが伝わってくる一点となっている。

-----

■リリース情報

2025.03.27 ON SALE
CALENDAR『Snow Man オフィシャルカレンダー 2025.04-2026.03』
※現在予約受付中。予定数に達し次第、販売終了。

本体：卓上フォトカレンダー
ページ数：全160ページ
価格：3,850円（税込）

特別付録：
1.A3サイズポスターカレンダー（全10種）
2.カレンダーフォトスタンド
3.特製スリーブケース

販売先：全国の各書店、CDショップ、およびオンラインショップ
販売元：MENT RECORDING inc.
THE FIRST TIMES編集部",[],[]
中島健人初ソロライブがCS日テレプラスにて独占放送決定（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/b95f73441f9cb7ca8ec6c6f8be2207c607776af8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250119-00012141-mnet-000-1-view.jpg?exp=10800,2025-01-19T15:54:39+09:00,2025-01-19T15:54:39+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,446,"掲載：THE FIRST TIMES
■中島健人初ソロライブの独占放送は、3月14日19時〜！

中島健人の初ソロライブ『中島健人「KENTO NAKAJIMA 1st Live 2025 “N  bias”」』が、3月14日19時からCS日テレプラスにて独占放送されることが決定した。
【画像】中島健人初ソロライブがの独占放送が発表されたXのポスト
1stアルバム『N / bias』をリリースし、ソロデビューを果たした中島健人が有明アリーナで行った初のワンマンライブ『KENTO NAKAJIMA 1st Live 2025 “N / bias”』の模様が、3月14日の“ホワイトデー”にたっぷりと届けられる。

番組情報
CS日テレプラス『中島健人「KENTO NAKAJIMA 1st Live 2025 “N / bias”」』
03/14（金）19:00～

リリース情報
2024.12.25 ON SALE
ALBUM『N / bias』
THE FIRST TIMES編集部",[],[]
『No No Girls』より誕生したHANA、プレデビュー曲「Drop」リリース日決定（THE FIRST TIMES）,https://news.yahoo.co.jp/articles/b00e757db26ce92ddf0046c8b2d70ee7521a6a47,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250119-00012140-mnet-000-1-view.jpg?exp=10800,2025-01-19T15:34:29+09:00,2025-01-19T15:34:29+09:00,THE FIRST TIMES,mnet,THE FIRST TIMES,854,"掲載：THE FIRST TIMES
■HANAのプレデビュー曲「Drop」は、1月31日リリース

ガールズグループオーディション『No No Girls』より誕生した7人組ガールズグループ・HANAのプレデビュー曲「Drop」が、1月31日にリリースされることが決定した。
【画像】『シューイチ』に出演したちゃんみな＆HANA
HANAが誕生した『No No Girls THE FINAL』の様子が初公開された1月12日14時のBMSG Official YouTube Channelからの1回限りの配信では、最大同時接続者数が異例の56万人超えを記録。「
#ノノガファイナル
」がX（旧Twitter）トレンド1位を獲得し、「
#MOMOKA
」「
＃CHIKA
」「
#YURI
」といったメンバーの名前も続々とトレンドインするなど、驚異的な盛り上がりを見せた。

同日に開設されたHANAの公式SNS総フォロワー数は、67万人（1月19日8時時点）をすでに超えている。

最終審査の模様は、1月17日に公開された『No No Girls』第15話でも放送され、すでに174万回再生（1月19日8時時点）を記録。YouTube急上昇ランクでも1位を記録しており、最終審査から1週間が経過した今も大きな注目を集めている。

デビューグループのHANAは、プロデューサーのちゃんみなとともに、1月19日に放送された日本テレビ系『シューイチ』のスタジオに生出演。韓国出身メンバーのJISOOは日本国内で芸能活動を行う準備期間中のため、一部のみ韓国からリモートで出演となったが、最終審査の課題曲でもありHANAのプレデビュー曲である「Drop」を6人でテレビ初披露した。

パフォーマンス後には、プレデビュー曲「Drop」が1月31日にリリースされることも発表された。

 リリース情報
2025.01.31 ON SALE
DIGITAL SINGLE「Drop」
THE FIRST TIMES編集部",[],[]
