headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
東九州新幹線の整備計画格上げを　宮崎県知事が大分県知事らとともに国に要望（MRT宮崎放送）,https://news.yahoo.co.jp/articles/7dc311d331586431f030f61c02da74b7424d82f3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21683032-mrt-000-1-thumb.jpg?exp=10800,2025-01-22T19:04:32+09:00,2025-01-22T19:04:32+09:00,MRT宮崎放送,mrt,MRT宮崎放送,402,"宮崎放送
新幹線の早期整備を国に求めました。
宮崎県の河野知事が大分県知事らと国土交通省を訪れ、東九州新幹線の整備計画格上げを要望しました。

県は、去年、県内を通る新幹線の3つのルート案について費用対効果などの調査を実施し、今月にはシンポジウムを開催するなどして、新幹線整備の機運醸成を図っています。

こうした中、きょうは、河野知事が大分県の佐藤樹一郎知事らとともに国土交通省を訪問。

東九州新幹線に関する要望書を古川康副大臣に提出しました。

要望書では、東九州新幹線の早期整備が図られるよう新たな整備計画策定に向けた調査の実施をはじめ、基本計画から整備計画への格上げなどを求めています。

（宮崎県　河野俊嗣知事）
「やはり新幹線整備効果というものは極めて大きいということで、ぜひ（国に）力添えをお願いしたい」

県は、今後も新幹線整備の機運醸成を図る取り組みを続けたいとしています。
宮崎放送",[],[]
宮崎県内のJR普通列車すべてのワンマン運転化を前に　ワンマン列車走行中に巨大地震発生を想定した避難誘導訓練（MRT宮崎放送）,https://news.yahoo.co.jp/articles/7653ff54b5e759aef6a7abbde12524fd24018530,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21682833-mrt-000-1-thumb.jpg?exp=10800,2025-01-22T19:04:32+09:00,2025-01-22T19:04:32+09:00,MRT宮崎放送,mrt,MRT宮崎放送,775,"宮崎放送
JR九州は、3月のダイヤ改正に合わせ、宮崎県内全ての普通列車でワンマン運転とする方針です。
JR九州によりますと、県内では、現在、車掌業務を行っている在来線は、延岡-宮崎空港間や高鍋-西都城間など上下あわせて7本あります。

通勤や通学で乗客の多い朝と夕方の時間帯に乗車していますが、3月15日のダイヤ改正後は、列車に乗車するのが運転士のみとなります。

こうした中、22日は、ワンマン運転の列車が走行中に巨大地震が発生したことを想定した避難誘導訓練が行われました。

22日の訓練は、ワンマン運転の普通列車が高鍋-川南間の海沿いを走行中、巨大地震が発生して大津波警報が発表されたとの想定で行われました。

訓練では、大津波警報の発表を受け運転士が列車を緊急停止。

その後、乗客役として参加した沿線住民や高校生などおよそ250人を近くの避難高台まで誘導しました。

（廣末圭治記者）
「今、避難訓練が実施されています。運転士が大きな声で乗客を避難させています」

（運転士が避難呼びかけ）「急げ!高台に避難して!」

訓練では、およそ5分30秒で高台への避難が完了しました。

（参加した高校生）
「まずは慌てず、職員の指示をしっかり聞いて行動するべきだと思った」

（運転士　山本智之さん）
「津波は1分1秒を争うので、とにかく乗客に早く避難してもらうために「急げ」という声と、避難している最中にけがをしては意味がないので「足元に気をつけて」と声かけした」

（JR九州宮崎支社　吉村一喜支社長）
「今回のような訓練を繰り返すこと、それから車両に逃げ方を知らせるものを掲示したり、乗務員に対しても繰り返し（訓練を）やっていくしかないと思っている」

JR九州は、こうした訓練を通して災害時の迅速な対応につなげたいとしています。
宮崎放送",[],[]
宮中で「歌会始の儀」　今回最年少で入選した森山文結さん（延岡市・高1）の短歌も披露（MRT宮崎放送）,https://news.yahoo.co.jp/articles/f14be9c865c080dea8ee80fdff927f064c3cb728,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21682703-mrt-000-1-thumb.jpg?exp=10800,2025-01-22T19:04:32+09:00,2025-01-22T19:04:32+09:00,MRT宮崎放送,mrt,MRT宮崎放送,528,"宮崎放送
新年恒例の宮中行事「歌会始の儀」が皇居・宮殿で行われました。
この「歌会始の儀」で最年少で入選した延岡市の高校1年生の短歌が天皇皇后両陛下や皇族方を前に詠み上げられました。

皇居・宮殿で行われた「歌会始の儀」。

国内外の1万6250首の選考で、入選者10人に最年少の16歳で選ばれたのは、延岡学園尚学館高等部1年の森山文結（ふゆ）さんです。

今年のお題は「夢」。森山さんの歌は・・・

「ペンだこにうすく墨汁染み込ませ掠れた夢といふ字を見てる」

森山さんは、不確定の将来を想像して不安になる気持ちを詠んだということです。

（延岡学園尚学館高等部1年　森山文結さん）
「自分の短歌が両陛下の前で詠まれたとき、どんなことを思ってくれてるんだろうとすごく不思議に思いました」

森山さんは歌会始の儀のあと、天皇皇后両陛下に拝謁しました。

（延岡学園尚学館高等部1年森山文結（ふゆ）さん）
「緊張しすぎててうまく覚えていないのですけど、私の詠んだ短歌の『掠れた夢といふ字を見てる』というところについて、よく詠めていてよかったねと言ってくださいました」

県内で歌会始の儀の入選者に選ばれたのは、1947年以降、森山さんで9人目です。
宮崎放送",[],[]
男子バレーボール・甲斐優斗選手（延岡市出身）　SVリーグ・大阪ブルテオンに入団が決定（MRT宮崎放送）,https://news.yahoo.co.jp/articles/203289ad0e33131727a17ec6d284016833a9f98f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21682687-mrt-000-1-view.jpg?exp=10800,2025-01-22T19:04:32+09:00,2025-01-22T19:04:32+09:00,MRT宮崎放送,mrt,MRT宮崎放送,330,"宮崎放送
パリオリンピック™男子バレーボール日本代表で活躍した延岡市出身の甲斐優斗選手が、バレーボールSVリーグの大阪ブルテオンに入団することが決まりました。

去年、パリオリンピックに出場した、延岡市出身で日南振徳高校卒業の甲斐優斗選手。
バレーボールSVリーグの大阪ブルテオンに2024-25シーズンの特別指定選手として入団することが決まりました。

甲斐選手は、現在、専修大学の3年生で、ポジションはアウトサイドヒッター。200センチの長身を生かした高さとパワーが持ち味です。

甲斐選手は「世界一のクラブを目指す大阪ブルテオンの一員として、自らの課題に真摯に向き合い、一日でも早くチームに貢献できるよう全力を尽くします」とコメントしています。
宮崎放送",[],[]
去年10月の大雨被害を受けて　延岡市が想定外の災害への対応を協議する検討会を立ち上げ（MRT宮崎放送）,https://news.yahoo.co.jp/articles/8e5f87db5d7bb53ad79956d6b1c7e3f720791cea,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21682971-mrt-000-1-thumb.jpg?exp=10800,2025-01-22T19:02:22+09:00,2025-01-22T19:02:22+09:00,MRT宮崎放送,mrt,MRT宮崎放送,547,"宮崎放送
想定外の災害にどう備えるのか検討します。
宮崎県延岡市は、去年10月の大雨被害を受けて、想定外の災害への対応を協議する検討会を立ち上げました。

延岡市では、去年10月の大雨でがけ崩れにより1人が犠牲になったほか、住宅被害は全壊が1棟、一部損壊が10棟、床上床下浸水が204棟にのぼりました。

これを受け、延岡市は、22日、気象台や県、それに、地域の代表など18人が委員を務める検討会を立ち上げ、想定外の災害について対応を協議しました。

22日は東京大学大学院の片田敏孝特任教授が「土砂災害などが予測できない中、市民にどう情報を提供するかは国の課題でもある。より良い方向を探っていきたい」とあいさつ。

その後、非公開で行われた検討会で、委員からは「市民に情報を分かりやすく出してほしい」や「要配慮者への対応は難しい」などの意見が出されたと言うことです。

（想定外の豪雨における災害対応に関する検討会　九州医療科学大学教授（地域福祉）・川崎順子委員長）
「取り組めるものとなかなか取り組めないものもあると思うので、その辺をどういうふうに次につなげていくのかということがポイントになるかなと思う」

検討会は、3月までに提言書をまとめ、市長に提出する予定となっています。
宮崎放送",[],[]
10週連続の値上がり　宮崎県内のガソリン価格は188.2円　ハイオクは過去最高値の200円に迫る勢い（MRT宮崎放送）,https://news.yahoo.co.jp/articles/78564d81fb7ac4853fbec38037e58f7f0e8742ef,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21682508-mrt-000-1-thumb.jpg?exp=10800,2025-01-22T17:08:30+09:00,2025-01-22T17:08:30+09:00,MRT宮崎放送,mrt,MRT宮崎放送,400,"宮崎放送
ガソリン価格の高騰が止まりません。
22日に発表された宮崎県内のレギュラーガソリンの平均価格は、1リットルあたり188.2円で、10週連続で値上がりとなっています。

石油情報センターによりますと、今月20日時点の県内のレギュラーガソリンの平均小売価格は、1リットルあたり188.2円で、前の週より3円値上がりしました。

県内では先月9日の週から180円台に突入していて、10週連続の値上がりとなっています。

また、ハイオクは、今月20日時点で199.2円と、2023年9月に記録した過去最高値の200円に迫る勢いとなっています。

ガソリン価格高騰の背景には、政府が高騰を抑えるための補助金を先月から段階的に縮小していて、先週も補助を5円引き下げたことが理由にあります。

石油情報センターによりますと、今後は小幅な値動きがあるものの、横ばいになるのではないかと見ています。
宮崎放送",[],[]
宮崎市で住宅1棟を全焼する火事　けが人なし（MRT宮崎放送）,https://news.yahoo.co.jp/articles/20921a542807a5bd31159c038e3d677b640dd343,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21682612-mrt-000-2-view.jpg?exp=10800,2025-01-22T17:02:10+09:00,2025-01-22T19:02:22+09:00,MRT宮崎放送,mrt,MRT宮崎放送,232,"宮崎放送
22日午後、宮崎市で住宅1棟を全焼する火事がありました。この火事によるけが人はいませんでした。
【写真を見る】宮崎市で住宅1棟を全焼する火事　けが人なし
警察や消防によりますと、22日午後3時半ごろ、宮崎市小松台北にある無職、上平昇さん（81歳）の住宅から火が出て、付近の住民が119番通報しました。

火はおよそ2時間半後に消し止められ、木造平屋建ての住宅1棟およそ130平方メートルが全焼しました。

この火事によるけが人はいませんでした。
宮崎放送",[],[]
27歳で戦死　宇佐海軍航空隊で最初の特攻隊長　藤井眞治さん（都城市出身）の遺書や写真などが大分県宇佐市に寄贈（MRT宮崎放送）,https://news.yahoo.co.jp/articles/e2332cb607506070f06be74a1b5a6cd17d469cd3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21681452-mrt-000-3-thumb.jpg?exp=10800,2025-01-22T12:06:31+09:00,2025-01-22T19:31:49+09:00,MRT宮崎放送,mrt,MRT宮崎放送,592,"宮崎放送
終戦から今年で80年です。
特攻隊員として出撃し、27歳の若さで戦死した宮崎県都城市出身の男性の遺書や写真などが基地があった大分県宇佐市に寄贈されました。

「本日午後特攻をかけます。残った者も頑張ってください」

これは都城市出身の特攻隊員、藤井眞治さんが家族にあてた遺書です。

藤井さんは大分県にあった宇佐海軍航空隊で最初に編成された特攻隊の隊長で、1945年4月に出撃し、27歳で戦死しました。

21日、宇佐市に寄贈されたのは藤井さんの遺書や写真など105点。

太平洋戦争を研究している市民団体「豊の国宇佐市塾」が藤井さんの親族から預かったもので、関係者が是永修治市長に資料の内容を説明しました。

中には、藤井さんが出撃前に東京に住む両親や兄弟にあてた遺書も。

「特別攻撃に出発します。父上、母上をはじめ皆、健康第一、強く生きてください」

（豊の国宇佐市塾　平田崇英塾頭）
「戦争というのはこういうものだよと、こういう機会に改めて知っていただかないと戦争というのは風化させたらいけないと思うんですよ、だから、ちょうど今年は改めてそれを教えてくれる気がする」

（宇佐市　是永修治市長）
「市としてもこれをまた、皆さんに広く広めていけるように最大限努力していきたいと思います」

宇佐市は寄贈された資料を今年3月に市民図書館で一般公開する予定です。
宮崎放送",[],[]
駅で線路に転落した女子高校生　とっさの判断で迅速に協力・救助した中高生たち（MRT宮崎放送）,https://news.yahoo.co.jp/articles/ed34da89141e5c3e49449cc6c8e52c4ec27866c6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21681311-mrt-000-1-view.jpg?exp=10800,2025-01-22T12:06:31+09:00,2025-01-22T12:06:31+09:00,MRT宮崎放送,mrt,MRT宮崎放送,388,"宮崎放送
駅で線路に転落した女子高校生を救助したとして、宮崎市の中学生と高校生6人に市から感謝状が贈られました。

感謝状が贈られたのは、日章学園中学校3年生と、日章学園高校3年生のあわせて6人です。

去年10月、JR日向住吉駅で電車を待っていた6人は、線路に転落した女子高校生に気付き、協力してホームまで引き上げました。

その後、6人は女子高校生に声をかけ続けたり、学校に連絡をしたりして救急隊の到着を待ったということです。

（日章学園高校3年　山本美佑さん）
「（女子高校生が）落ちた方にも電車が来る感じだったから、それで助けないとと思って、助けた」

（日章学園中学校3年　高橋虎之介さん）
「無事に助かってよかった。次こんなことがあっても一番先に動きたい」

6人の迅速な対応により、救助された女子高校生は、現在、日常生活に復帰しているということです。
宮崎放送",[],[]
待ち時間短縮や混雑緩和へ　都城市役所　今年5月から窓口受付の予約が可能に（MRT宮崎放送）,https://news.yahoo.co.jp/articles/5e3be0418ef47716b59e683a4b1f68696ce8e28f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250122-21681298-mrt-000-1-thumb.jpg?exp=10800,2025-01-22T12:02:11+09:00,2025-01-22T12:02:11+09:00,MRT宮崎放送,mrt,MRT宮崎放送,295,"宮崎放送
来庁者の待ち時間短縮や混雑緩和につなげようと、都城市は、今年5月から宮崎県内で初めて、窓口受け付けの予約ができることになりました。

窓口の予約が可能となるのは今年の5月7日からで、対象となるのは、各種証明書の申請や転入・転出に伴う手続きをする市民課と国民健康保険の加入などを行う保険年金課の2つの窓口です。

予約は市のホームページから可能で、特に引っ越しなどで窓口が混み合うシーズンには、待ち時間が大幅に削減されるということです。

都城市によりますと、窓口の予約が可能になるのは県内で初めてで、これまで通り、予約をしなくても窓口を利用することは可能となっています。
宮崎放送",[],[]
