headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
SNSやネットの掲示板などで高額収入をうたう『闇バイト』…　検挙された人のうち約6割以上が10代・20代　犯罪に加担しないために注意すべきことは？（日本海テレビ）,https://news.yahoo.co.jp/articles/1a7fb93b39f948f75b3c57c86a04d25c355e1635,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-01548972-nkt-000-1-view.jpg?exp=10800,2025-01-28T18:32:00+09:00,2025-01-28T18:32:00+09:00,日本海テレビ,nkt,日本海テレビ,1972,"日本海テレビ
現役の警察官とともに解説していくコーナー。解説は鳥取県警生活安全企画課 波田貴幸警部補です。

鳥取県警生活安全企画課　波田貴幸 警部補
「今回は、『闇バイト』について解説していきます」

中山アナウンサー
「ご存知の方も多いとは思いますが、まずは、そもそもどういったものなのか見ていきます」
闇バイトとは？
波田貴幸 警部補
「闇バイトとは、SNSやネットの掲示板などで、『短時間で高収入が得られる』などと呼びかけて、応募すると詐欺の受け子や出し子、強盗の実行犯などに加担させられるものです」

中山アナ
「最近、特に若い世代が簡単にこの闇バイトに加担するニュースなどもよく耳にしますよね」
受け子の年代別検挙率
波田貴幸 警部補
「こちらは闇バイトの一つ、特殊詐欺の『受け子』に関するデータです。警察庁のデータによりますと、受け子で検挙された人のうち、約6割以上が10代、20代の若い人たちなんです」

中山アナ
「知らず知らずのうちに若い人たちも凶悪な犯罪に加担するリスクが高まっているのがよくわかります。先ほど波田さんもおっしゃっていたように、この闇バイト、SNSなどの掲示板で『求人をよびかけて』募るものがあるということですが、具体的にどういったものなのか詳しくみていきましょう」
■闇バイト求人の見分け方
闇バイト求人の見分け方
波田貴幸 警部補
「今回は、クイズ形式で説明していきます」

中山アナ
「AとB、2つの求人情報を用意しています。まずAは、『段ボールを運ぶだけ、最低1件5万円から支給、高額収入、DMで連絡』と書かれています。Bは、『工場内軽作業時給1400円、高時給、最寄り駅、エントリーURL』が書かれています」

中山アナ
「波田さん、一見、どちらもありそうな求人情報ですが、どちらかが闇バイトということですね。では、街の人たちはこの違いを見抜けられるのか、実際に聞いてみました」

◇　◇

Q.あなたはどちらが闇バイトか見抜けられますか？

一人目
「これ、Aだと思います」

2人目
「Aだと思います。段ボールを運ぶだけで5万円は怪しすぎません？」

3人目
「A。1件5万円から支給って高いから闇バイトかなって」

報酬の高さからAを怪しむ人が多い一方で。
こちらの女性2人は。

1人目の女性
「闇バイト...？Aか？」

2人目の女性
「Aじゃない？」

1人目の女子
「（本当に）Aか？」

2人目の女性
「え？Aな気がします」

1人目の女性
「え、Bだと思う」

Q.どうしてBだと思った？

1人目の女性
「URLがついているからBにしました」

URLをクリックすると個人の情報が盗まれてしまうフィッシング詐欺に似ていたことからBを選択。

さらにこんな声も。

町の人
「どっちも怪しく見えます。どっちも同時に来ちゃったら悩むかもしれないです」

◇　◇

中山アナ
「Aを選ぶ声も多かったんですが、『いざとなったら判断できないかも』という声もありました」

波田貴幸 警部補
「正解は多くの人が指摘した『A』が闇バイトの求人です」
闇バイト求人の特徴
鳥取県警生活安全企画課　波田貴幸 警部補
「特徴は3つあります。インタビューの中にもありましたが、『報酬が高すぎる上に時給の記載がない』『仕事内容や勤務地などが不明確』『連絡のやり取りがDM』と、情報が不明確な割に高い報酬のものが多いんですよね」
闇バイトに応募すると…
中山アナ
「仮にこの闇バイト、応募してしまったらどうなるんですか」

波田貴幸 警部補
「応募の時に本人、そして家族の個人情報すべてを要求されます。なにが危ないかというと、例えやめようとしても『家族がどうなっても知らないぞ』などと脅されて一生逃れられない状況になってしまうんです」

中山アナ
「一度踏み入れてしまったら、引き返すのが困難なんですね。では、対策は？」
■闇バイト対策は？
闇バイトへの対策は？
鳥取県警生活安全企画課　波田貴幸 警部補
「目先の高収入にだまされない、先ほど言った特徴に当てはまるものは怪しむこと。日ごろから家族で話し合って、闇バイトに引っかからないようお互いに注意しあう。闇バイトは全て犯罪であることを忘れない。これらのことが重要となってきます」
万が一応募してしまったら…
中山アナ
「仮に、万が一応募してしまったけどやめたい、でも脅されてやめられないといった場合はどうしたらいいでしょうか？」

波田貴幸 警部補
「警察では、そうした人たちやその家族を保護するなど対策を考えています。決して先に進まず迷わず警察に相談してください」

中山アナ
「相談先は警察専用ダイヤル
＃9110または
、最寄りの警察署です」",[],[]
鳥取県 平井知事「ありがとう『白鵬85の3』、ありがとう、ありがとう」　和牛王国鳥取の発展に大きく貢献した種牛「白鵬85の3」のお別れ会　鳥取県琴浦町（日本海テレビ）,https://news.yahoo.co.jp/articles/aed5529b11a225daf9b9415ff26b3ff2bf3702a1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-01443891-nkt-000-2-thumb.jpg?exp=10800,2025-01-28T18:17:00+09:00,2025-01-28T18:42:33+09:00,日本海テレビ,nkt,日本海テレビ,741,"日本海テレビ
かつて和牛の全国大会で肉質日本一の種牛に選ばれ、去年12月病死した「白鵬（はくほう）85の3」のお別れ会が1月28日、鳥取県琴浦町で開かれました。

鳥取県が保有していた種牛「白鵬85の3」のお別れ会には、地元の生産者や自治体関係者など約100人が出席し、「和牛王国鳥取」の発展に大きく貢献した「白鵬85の3」に、平井知事が慰霊の言葉を述べました。

鳥取県　平井伸治 知事
「生産農家など関係者に未曽有の恩恵をもたらし、本県和牛業界に大きく貢献するとともに鳥取和牛の真価を万人に知らしめ産地の誇りと結束をもたらしてくださいました。ありがとう『白鵬85の3』、ありがとう、ありがとう」

「白鵬85の3」は、2017年に開催された全国和牛能力共進会において、子牛の肉質を競う部門で日本一に。それ以降、「白鵬」のブランド力は高まり、子牛の市場価格が一頭891万円という当時全国最高値をたたき出したほか、平均価格を2年連続で全国トップに押し上げるなど、鳥取和牛の魅力を全国にアピールしました。

しかし去年12月22日、14歳11か月で病死。お別れ会では、出席者が祭壇に次々と玉ぐしを捧げ、その功績を労いました。『白鵬85の3』の生産者は14年前に亡くなっていますが、お別れ会にはその孫にあたる、農家の生田智之さんも出席していました。

和牛繁殖農家　生田智之さん
「『白鵬85の3』の後継種雄牛をみんなでつくりあげて、もう一度日本一をとりたいなと思っています」

現在も市場に出品される約3分の1が「白鵬85の3」の子牛だという鳥取和牛。県担当者は、白鵬が死んだことについて残念としながらも、これを一区切りにまた新しい優秀な種牛の造成にまい進していきたいと話しています。",[],[]
新年度を新たな頭取で「銀行の強みは人材」　山陰合同銀行が4月1日付で就任する新頭取を発表　これまでは5月下旬の株主総会で頭取の交代を発表　島根県（日本海テレビ）,https://news.yahoo.co.jp/articles/c28ef491590b4b22c1c0bdab1dcff62d395eccd0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-08329711-nkt-000-3-thumb.jpg?exp=10800,2025-01-28T18:03:00+09:00,2025-01-28T18:57:33+09:00,日本海テレビ,nkt,日本海テレビ,427,"日本海テレビ
山陰合同銀行は1月28日会見を開き、4月1日付で吉川浩専務が新たな頭取に就任すると発表しました。

山陰合同銀行 新頭取　吉川浩 専務
「われわれの強みであります現場力をさらにさらに磨き上げ、地域の皆さま、お客さまにもっともっとしっかりお役にたてる銀行にしていきたいと思っております」

4月1日付で頭取となる吉川浩氏は、鳥取県米子市出身の58歳で、関西学院大学経済学部卒。1989年に山陰合同銀行に入行し関西や岡山、米子の支店長などを歴任。2年前から本店で取締役常務、そして取締役専務を務めていました。

山陰合同銀行では、これまで5月下旬の株主総会で頭取の交代を発表していましたが、新年度を新たな頭取で迎えようと初めてこの時期での発表となりました。

吉川氏は「銀行の強みは人材しかない。経営者ひとりひとりと向き合える行員を育てたい」と意気込みを語りました。

また山崎徹・現頭取は代表取締役会長に就任する人事も合わせて発表されました。",[],[]
一畑電車の新型車両を乗せたトレーラーが移動中に電線を切断　車両のパンタグラフが引っ掛かる　移動中に振動でパンタグラフが上がったか　島根県安来市（日本海テレビ）,https://news.yahoo.co.jp/articles/075d4fa6837cb41a030aff4a3191c9be5fcac27b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-06633631-nkt-000-2-thumb.jpg?exp=10800,2025-01-28T17:53:00+09:00,2025-01-28T18:36:38+09:00,日本海テレビ,nkt,日本海テレビ,454,"日本海テレビ
1月28日未明、大型トレーラーが運んでいた一畑電車の新型車両が電線に接触、電線が切れる事故がありました。この事故によるけが人はいませんでした。

事故があったのは、安来市黒井田町の国道9号です。28日午前1時30分ごろ、「トレーラーと電線が接触した」と警察に通報がありました。警察や関係者などによりますと、一畑電車の新型車両を乗せたトレーラーが、米子市から出雲市に向かって走行していたところ、乗せていた車両のパンタグラフが電線に引っ掛かり、切断。

この事故によるけが人はいませんでしたが、切れた電線が対向車線を走っていた大型トラックのサイドミラーにぶつかり破損したということです。

現場は4時間半にわたって全面通行止めとなりました。

事故の原因について車両を運んでいた会社によるとパンタグラフが移動中に振動で上がったのではないかと考えられるということです。

また、電線が切断した影響で近隣の住宅が停電しました。電線は複数切れた模様で現在修復中だということです。

※1月28日17時時点",[],[]
厳しい冷え込みで動物たちにも暖を…　観光牧場ではヒーターで温まるミニブタに湯船につかるカピバラの姿も　鳥取県・島根県（日本海テレビ）,https://news.yahoo.co.jp/articles/1902dfc9e30d81290a59d622fd9e469e99f1f2ef,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-02111821-nkt-000-2-thumb.jpg?exp=10800,2025-01-28T17:43:01+09:00,2025-01-28T18:42:34+09:00,日本海テレビ,nkt,日本海テレビ,850,"日本海テレビ
1月28日の山陰地方は冬型の気圧配置が強まり、ところにより雪が降るなど厳しい冷え込みとなりました。島根県松江市の平野部では雪が積もったところもー。

各地の最低気温は
（鳥取県）
・米子：0.7℃
・日南町茶屋：‐1.5℃
（島根県）
・松江：0.6℃
・浜田市弥栄 ：‐1.4℃
と厳しい寒さとなりました。

気象台によりますと、今後も寒気が強まり広い範囲で雪が降り、29日午前6時までの24時間降雪量は、多いところで山間部で40センチ、平野部で10センチを予想しています。
（島根：山間部40　平野部10、鳥取：山間部30　平野部10）

今後の気象情報をこまめに確認し、車を運転する際は路面の凍結に注意が必要です。

こうした中、寒さを感じるのは人間だけではありません。大山の麓にある観光牧場「大山トムソーヤ牧場」では、モルモットなどのかわいらしい小動物が15匹飼育されています。モルモットは比較的寒さに強いということですが、さすがにこの冷え込みにはこたえている様子。お互いくっつき合いながら暖をとっていました。

一方、飼育小屋の中にこもっていたのはベトナム原産のペット用のミニブタです。毛が短く寒さは苦手。赤外線ヒーターでひっそりとあたたまっていました。中には、気持ちよさそうに寝ているブタも…。

そして、この時期にはおなじみの光景も。元々、南米のアマゾン川流域に生息して寒さが大の苦手のカピバラです。毎年寒くなるこの時期、水温40℃のお湯をプレゼント。小雪がちらつく中、温かい湯船につかりご満悦の様子でした。

観光客
「寒いです。入りたいです。一緒に入れるんだったらあたたかそう」

大山トムソーヤ牧場　福田紫乃さん
「いつもよりちょっとお湯を熱めにして入ってもらっています。寒い中ですけど、皆さん暖かくしてこの時期だけの動物さんたちを見に来てください」

まだまだ寒い日が続きますが、この観光牧場では、動物達同志がくっつき合うなど冬ならではの心温まる光景が楽しめます。",[],[]
国道9号改修工事に合わせ調査　工事現場の地中から約2トンもの古墳時代の出土品の数々　国内では数例しか確認されていない珍しい発見も　鳥取県湯梨浜町（日本海テレビ）,https://news.yahoo.co.jp/articles/807451ce3961c6eca58ca04e855e4c2bf4c2ece9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-02577252-nkt-000-2-thumb.jpg?exp=10800,2025-01-28T17:21:01+09:00,2025-01-28T18:51:36+09:00,日本海テレビ,nkt,日本海テレビ,764,"日本海テレビ
国道9号改修工事に合わせて地中を調査ー。見つかったのは古代のロマン。古墳時代の珍しい出土品の数々が、鳥取県湯梨浜町で展示されています。

公益財団法人 鳥取県教育文化財団 調査室　坂本嘉和 文化財主事
「なかなか全国的にもない、大変珍しいものが出土しています」

鳥取県湯梨浜町の資料館に並ぶ、土器や鉄器などの数々。なんと、工事現場の地中から見つかったものなのです。発掘調査は国道9号の改修工事に伴い、文化財保護のため2022年から実施。調査では、現在の大阪・奈良・京都にあった大和政権の地から見つかった土器と同じものや、国内では数例しか確認されていない土器などが出土しています。

公益財団法人 鳥取県教育文化財団 調査室　坂本嘉和 文化財主事
「畿内（きない）や九州とのルート上にあたりますので、そういう交流の拠点であったと。(今回の発見で)長瀬髙浜遺跡の重要性がさらに高まったと考えています」

工事が行われている範囲は、湯梨浜町の北側、北条砂丘にある長瀬髙浜遺跡周辺。去年の調査では、貴重な中国製の鏡の1つ「飛禽鏡（ひきんきょう）」の破片や、ヤリなどに取り付ける飾り金具が見つかるなど、県内でも珍しい発見がありました。また、鉄を作る「鍛冶炉（かじろ）」の一部もこの遺跡では初めて発見。古墳時代前期では大変珍しく、当時最先端の鉄づくりが山陰で行われていたのではと注目を集めています。

公益財団法人 鳥取県教育文化財団 調査室　坂本嘉和 文化財主事
「この地域の重要な拠点で、有力者もいたのではないかと。地域の誇る遺跡だと思います。そのすばらしさを知ってもらいたいと思います」

約2トンの出土品があったという今回の発掘調査。見つかった出土品の展示は、2月2日まで湯梨浜町羽合歴史民俗資料館で開かれています。",[],[]
雪が降れば降るほどお得に！　大田市の三瓶山にある旅館で1cmにつき200円積雪量割引を実施　宿泊料金が最大5000円引きに　雪をポジティブなイメージにして宿泊客増加へ期待　島根県（日本海テレビ）,https://news.yahoo.co.jp/articles/31f75610fd4793cf5a352d9fb1e88c1ebb270fb5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-01672799-nkt-000-3-thumb.jpg?exp=10800,2025-01-28T17:14:00+09:00,2025-01-28T18:36:35+09:00,日本海テレビ,nkt,日本海テレビ,687,"日本海テレビ
1月28日の山陰地方は冬型の気圧配置が強まり、ところにより雪が降るなど厳しい冷え込みとなりました。そんな中、島根県大田市の三瓶山にある旅館ではー。

高井和代 記者
「深々と雪が降り積もる大田市三瓶町。こちらの温泉旅館では雪にちなんだあるサービスがはじまっています」

職員が随時チェックしているのが、島根県道路カメラのライブ映像、旅館付近の積雪です。こちらの旅館では、この冬から「積雪によって宿泊料金を割り引くキャンペーン」を展開。雪が1センチ積もるごとに一人当たりの宿泊料金が200円割引されるというのです。

さんべ荘 フロント課　三嶋美穂さん
「冬の三瓶は、どうしても雪が降ったりとか、凍ったりとかっていうネガティブなイメージで不安になられる方が多いんですけど、雪をポジティブなイメージで雪が積もるとワクワクしながら来ていただけるように考えました」

割引は、前日の午後3時時点の三瓶町志学の積雪で決まります。例えば、積雪が10センチなら、2000円割引、最大で5000円の宿泊料金が割り引かれます。キャンペーンを開始して以来、これまでに50人ほどが割引を利用。雪を楽しみに宿泊する人が増えるのを期待しています。

さんべ荘 フロント課　三嶋美穂さん
「『雪が降ると、来るのがちょっと不安なのでキャンセルします』というお客さまも以前は多くいらっしゃったんですが、雪が降ったら割引をしてもらえるということで、雪が降った分、得できると思ってもらえると、キャンセルの防止にもなるかなと思いました」

積雪量に応じた割引キャンペーンは、3月2日まで行われます。",[],[]
食育体験で味覚の訓練　温泉旅館で小学生に特別授業　島根県産の5つの食材を味わいながら5つの味覚を学ぶ　島根県松江市（日本海テレビ）,https://news.yahoo.co.jp/articles/58bbffd73c7475afdb36fbe29de5ce6e8a780aa5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-01744728-nkt-000-2-thumb.jpg?exp=10800,2025-01-28T16:19:01+09:00,2025-01-28T19:02:34+09:00,日本海テレビ,nkt,日本海テレビ,883,"日本海テレビ
島根県松江市の小学生が地元の特産食材で作ったメニューを味わいながら「味覚」について学ぶ授業が行われました。

1月27日、松江市の温泉旅館で行われた特別授業は、フランス発祥の「味覚の一週間」と呼ばれる食育体験です。味覚の基本を知り、食べる楽しさを知ってもらおうと開かれ、松江市の島根大学教育学部附属義務教育学校の6年生とその保護者76人が参加しました。

基本となる味覚は、「塩味」「酸味」「甘味」「うま味」「苦味」の5つ。うま味をもつ「昆布」など、主に島根県産の5つの食材を味わいながら学んでいました。

味覚の一週間 島根県支部　上田まり子 支部長
「食が多様化してきて便利になった分、味も濃くなったりとか、それぞれの味を味わうことが少なくなってきてます。（味覚の）訓練というか、知ってもらって体験して比較というか知ることが大事かなと思ってます」

さらに、用意された食材を使った料理も児童たちの目の前で披露。それぞれの食材が持つ味覚が、どのように料理をされているのか""音""と""目""で感じてもらうのもこの授業の狙いです。松江産のシジミをハンバーグに入れたほか、クラムチャウダーにも野菜と一緒に入れられ、食材から料理ができるまでの過程を詳しく説明していました。

こうしてできたのが、島根県産の食材で5つの味覚を取り入れた5皿。松江産のセリで苦味を、島根県益田市でつくられたユズ酢のドレッシングで酸味を感じられるサラダに。クラムチャウダーとハンバーグには、シジミでうま味を感じることができます。

参加した児童は、島根県産の食材が醸し出すそれぞれの味覚を感じながら味わっていました。

参加した児童
「シジミのだしで旨味がけっこう感じられると思います」

「酸っぱかったりとか、甘かったりとかおいしかったです」

参加した保護者
「日々はちょっと時間に追われてあまり意識してないんですけど、おだしをちゃんとと取りたいなと思いました」

主催者は、この特別授業を通して、普段味わう料理から味覚を知るきっかけにして、食文化の発展につなげたいとしています。",[],[]
ジョージアの家庭料理に松江の特産品を使用　牛乳・乳製品料理コンクールで最優秀賞　専門学生が発案したその料理とは？　島根県松江市（日本海テレビ）,https://news.yahoo.co.jp/articles/da502b924488eea5ca331a7ffbd6208b346a1ecc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-07844935-nkt-000-2-thumb.jpg?exp=10800,2025-01-28T16:17:00+09:00,2025-01-28T18:53:34+09:00,日本海テレビ,nkt,日本海テレビ,803,"日本海テレビ
島根県松江市の専門学生が発案した料理が中国地方のコンクールで最優秀賞を受賞し、このほど、そのメニューの試食会が行われました。

松江栄養調理製菓専門学校で調理師科2年の井上功晃さんは、去年11月、中国地方で開かれた牛乳や乳製品を使った料理のコンクールで最優秀賞にあたる「中国四国農政局長賞」を受賞しました。

そこで、この日は井上さんが受賞したメニューを同じ学科の仲間たちと共に実習の一環として調理・試食することに。県の畜産課の担当者なども駆け付けました。

井上さんのメニューは「シュクメルリ」と呼ばれるジョージアの家庭料理。鶏肉やさつまいもを、ニンニクが効いたホワイトソースで煮込む料理ですが、井上さん流のシュクメルリは松江ならではの、あの特産品を使用します。

井上功晃さん
「自分が作った料理は“シジミ”とシュクメルリをあわせたもの」

シジミの身や出汁がホワイトソースに合うだけでなく、より深いコクが生まれるといいます。牛乳・乳製品料理コンクールで島根県が最優秀賞を受賞するのは初めてということです。

県予選で審査員を担当した管理栄養士　大谷清美さん
「私たちの郷土の料理のシジミと合わせたのがポイントだと思いました。子どもからお年寄りまで食べられる食べやすいお料理にしておられたので、それも大きなポイントです」

早速みんなで試食。その味はー。

生徒 
「ニンニクの味とシジミの味がすごくだしも効いていて、おいしかったです」

「家庭でも簡単に作りやすいと思いました」

井上功晃さん
「すごく緊張しました。いろんな方もいらっしゃいましたし、でもいつもよりおいしいものができたので良かった」

将来は故郷の京都か島根で一品料理の店を開きたいと話す井上さん。松江栄養調理製菓専門学校では、井上さんの「しじみのシュクメルリ」を調理実習の教材にすることも検討しているということです。",[],[]
冬型の気圧配置強まる　山陰地方でところにより雪が降るなど厳しい冷え込み（日本海テレビ）,https://news.yahoo.co.jp/articles/399a0f015b4bf62b1ac792fa9813c0f4c9dd0a2d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250128-02724781-nkt-000-1-thumb.jpg?exp=10800,2025-01-28T12:07:00+09:00,2025-01-28T12:07:00+09:00,日本海テレビ,nkt,日本海テレビ,301,"日本海テレビ
山陰地方は冬型の気圧配置が強まり、ところにより雪が降るなど厳しい冷え込みとなっています。

高井和代 記者
「午前10時の雲南市三刀屋町です。細かい雪が断続的に降り続いていて、辺り一面が真っ白に染まりました」

山陰地方には、寒気や湿った空気が流れ込んだ影響で雪が降っているところがあります。午前9時までの24時間降雪量は、鳥取県大山で6センチ、島根県飯南町赤名で12センチなどとなっています。

ウェザーニューズによりますと、29日にかけてさらに寒気が強まり、山沿いを中心に広い範囲で雪が降る可能性があります。今後の気象情報をこまめに確認し、車を運転する際は路面の凍結に注意が必要です。",[],[]
