headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
プレミア首位リバプール所属の遠藤航、２部最下位プリマスとのFA杯４回戦に先発！ 32歳の誕生日を自ら祝えるか（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/5fe687d7a1a1f867f56e946a42ce8c068a107c42,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168218-sdigestw-000-8-view.jpg?exp=10800,2025-02-09T23:01:00+09:00,2025-02-10T01:59:45+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,417,"サラーやファン・ダイクはベンチ外
２月９日に32歳となった遠藤。(C)Getty Images
現地時間２月９日に開催されるFAカップ４回戦で、プレミアリーグで首位のリバプールは、２部で最下位のプリマスと敵地で相まみえる。
【画像】絶世の美女がずらり！ Ｃ・ロナウドの“元恋人＆パートナー”たちを年代順に一挙公開！
決戦を前にスターティングメンバーを発表し、この日が32歳の誕生日の遠藤航が名を連ねた。

　３日前にトッテナム（４－０、リーグカップ準決勝・第２レグ）と戦い、３日後にエバートン（プレミアリーグ第15節）と戦う過密日程のなか、エースのモハメド・サラーや主将のフィルジル・ファン・ダイクら主力は、ベンチからも外れた。

　リーグ戦で先発機会がない選手たちにとっては、絶好のアピール機会だ。日本代表のキャプテンはバースデーを自ら祝う、メモリアルなプレーを見せ、インパクトを残せるか。

構成●サッカーダイジェストWeb編集部",[],[]
「クルトワ相手に落ちつきエグい」アトレティコFWアルバレス、“マドリード・ダービー”での衝撃PK弾に脚光！「あまりに強心臓」「流石にカッコよすぎる」（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/9e5fbce15f9aef145417d116800773ad40a61578,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168216-sdigestw-000-4-view.jpg?exp=10800,2025-02-09T20:23:00+09:00,2025-02-09T20:23:55+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,446,"35分に先制点を奪う
見事なパネンカを披露したアルバレス。（C）Getty Images
現地２月８日に開催されたラリーガ第23節で、アトレティコ・マドリーが敵地でレアル・マドリーと激突。１－１で引き分けた。
【動画】アルバレスが魅せた圧巻のPK弾！
この“マドリード・ダービー”で先制点を奪ったのが、アトレティコのFWフリアン・アルバレスだった。スコアレスの35分に獲得したPKのキッカーを務めると、相手GKティボー・クルトワの意表を突いたチップキックで見事にネットを揺らしてみせた。

　このパネンカにSNS上では、「メンタル化け物」「流石にカッコよすぎる」「これは痺れる」「度胸すごい」「あまりに強心臓」「クルトワ相手に落ちつきエグい」などの声が上がっている。

　なお、スペインメディア『LA RAZON』によると、アルバレス本人は「緊張していなかったとは言わないけど、（成功する）確信があった。チームの助けになった」とPKを振り返っている。

構成●サッカーダイジェストWeb編集部",[],[]
チェルシーから決勝ループ弾！ 三笘薫の“魔法”に「誇らしい」 ブライトン指揮官が賛辞「ミトマはこのクラブへの献身を示した」（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/9b80ef3c20ef5aee013111acffb74a25a849ccb0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168203-sdigestw-000-10-view.jpg?exp=10800,2025-02-09T20:15:00+09:00,2025-02-09T20:15:07+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,703,"２－１で逆転勝利
チェルシーから決勝ゴールを奪った三笘。(C)Getty Images
三笘薫を擁するブライトンは、現地２月８日に行なわれたFAカップの４回戦で、強豪チェルシーとホームで対戦。開始５分に先制を許したものの、２－１で逆転勝利を収めた。
【動画】上手い！三笘薫がチェルシー相手に華麗なループ弾
この試合で決勝ゴールを決めたのが、左サイドハーフで先発した三笘だ。

　１－１で迎えた57分、ペナルティエリア内の左でパスを受けると、胸トラップから巧みなループシュート。鮮やかにネットを揺らしてみせた。

　現地メディア『THE FOOTBALL FAITHFUL』は「ブライトン監督、ミトマの魔法がチェルシーを破り、『誇らしい』」見出しを打った記事を掲載。ファビアン・ヒュルツェラー監督のコメントを伝えている。

「ロッカールームで選手たちに、彼らがどのように立ち直ったか、（前回の試合で０－７と）大敗した後、そして（開始早々に先制された）今日のスタートの後、どのように反応したか、とても誇りに思うと伝えた」

　31歳の指揮官は「特に大敗の後、そして今日のようなスタートの後、このように立ち直るのは簡単ではない。しかし、我々は冷静さとポジティブな姿勢を保ち、プロセスを信じた。本当に誇りに思う。今日は良かった」と、復調したチームに胸を張った。

　また、サウジアラビアのアル・ナスルからの高額オファーを２度も拒否した日本代表アタッカーについて、「ミトマはこのクラブへの献身を示した」と賛辞を贈っている。

　27歳の日本代表アタッカーが眩い輝きを放った。

構成●サッカーダイジェストWeb編集部",[],[]
「クボでもスビメンディでもない」バルセロナが久保建英の“相棒”の獲得に関心と現地報道！「フリック監督が指名」（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/2f9cd5c3741b9e4771a5ca4d3b8cd2621bc16d26,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168221-sdigestw-000-5-view.jpg?exp=10800,2025-02-09T20:07:00+09:00,2025-02-09T20:07:10+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,945,"「クンデの代役としてぴったり」
久保（右）と右サイドでコンビを組むのがアランブル（左）だ。(C)Getty Images
バルセロナが、久保建英の“相棒”を狙っているようだ。

　スペインメディア『e-noticies』は２月７日、「スビメンディでもクボでもない。フリック監督がレアル・ソシエダの注目選手を指名」と題した記事を掲載。バルセロナがレアル・ソシエダの右SBホン・アランブルの獲得に関心を持っていると報じた。
【画像】絶世の美女がずらり！ Ｃ・ロナウドの“元恋人＆パートナー”たちを年代順に一挙公開！
同メディアは、バルサを率いるハンジ・フリック監督が久保やマルティン・スビメンディも「非常に気に入っている」としたうえで、ベネズエラ代表DFについてこう綴っている。

「フリック監督にとってますます理に適った選択肢となっているのは、若き右SBのホン・アランブルだ。Bチームで素晴らしいパフォーマンスを見せたベネズエラ出身の彼は、イマノル・アルグアシル監督のチームに定着し、今ではレアル・ソシエダでは欠かせない存在となっている。彼の素晴らしいパフォーマンスはヨーロッパのトップチームの注目を集めており、バルサの関心を持っている選手のリストに載っている」


　記事は「ホン・アランブルはベネズエラサッカー界、そしてレアル・ソシエダで最も将来が期待される若手選手の一人なので、フリック監督にとって容易なことではないだろう。彼をバスク地方から去らせるには、ドイツ人監督は彼に良いプロジェクトを提供しなければならないだろう。ジュル・クンデが絶好調であることを考えると、彼が先発にならないことは明らかだ」とし、こう続けている。

「フリック監督はエクトル・フォルトを完全に信頼していないため、アランブルに頼れるのが理想的だろう。レアル・ソシエダのスター選手はクンデの代役としてぴったりなので、何が起きても不思議ではない。しかし、彼の市場価値はすでに1200万ユーロに達しており、契約を更新したばかりなので、バルサは彼の価格がさらに高くなる前にスピードを上げなければならないだろう」

　右サイドで縦のコンビを組む久保も評価する22歳の今後に注目だ。

構成●サッカーダイジェストWeb編集部",[],[]
横浜にインドネシア代表DFが加入！ 昨年のアジア杯では森保J相手に得点した29歳は「一緒に最高のシーズンにしましょう！」（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/54880cf70270fb745542a5e7e84692af1e983f40,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168220-sdigestw-000-6-view.jpg?exp=10800,2025-02-09T19:21:00+09:00,2025-02-09T19:21:30+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,591,"「誇りに思ってもらえるよう頑張ります」
昨年のアジア杯では日本戦にも出場したウォルシュ。写真：梅月智史（サッカーダイジェスト写真部／現地特派）
横浜F・マリノスは２月９日、ベルギー１部のメヘレンからインドネシア代表DFサンディ・ウォルシュを完全移籍で獲得したと発表した。
【画像】際立つデザインがずらり！ Jクラブの2025年シーズン新ユニホームを特集！
ベルギー出身でインドネシア国籍のウォルシュは、これまで出身国のクラブでプレー。インドネシア代表では17試合に出場し、昨年１月のアジアカップでは、日本戦（１－３）で得点を挙げている。

　183センチ・76キロの29歳は、横浜のクラブ公式サイトで以下の通りコメントした。

「横浜F・マリノスに移籍できて本当にうれしく、光栄に思います。Jリーグクラブとしての高い目標達成に貢献することが使命だと感じています。チームメイトのみんなにはすでに会いましたが、すばらしい選手が揃っていて、新しい監督のもとで良いシーズンを迎えられそうな予感がします。

　ここで全力を尽くし、ハードワークをしながら日々戦い、自分の力を皆さんに見せることで、誇りに思ってもらえるよう頑張ります。早くピッチでお会いできるのを楽しみにしています。一緒に最高のシーズンにしましょう！」

　なお、背番号は15に決定した。

構成●サッカーダイジェストWeb編集部",[],[]
「これがチームなのか？」「崩壊した」ファンが久保建英に人種差別のスペイン名門、まさかの19位で降格危機に海外酷評「かつてのラ・リーガ３強が大混乱状態だ」（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/91f1017329516b07a2629b796e2fef022ba898db,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168219-sdigestw-000-5-view.jpg?exp=10800,2025-02-09T18:31:00+09:00,2025-02-09T18:31:20+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,660,"バルセロナに立て続けに大敗
バレンシア戦で人種差別の被害を受けた久保。(C)Mutsu FOTOGRAFIA
スペインの名門バレンシアが苦しんでいる。

　ここまでラ・リーガでは降格圏の19位。１月26日のラ・リーガで１－７、２月のコパ・デル・レイで０－５と、バルセロナに立て続けに大敗を喫した姿に、かつてそのバルサやレアル・マドリーに割って入る３番手だった頃の面影はない。
【画像】絶世の美女がずらり！ Ｃ・ロナウドの“元恋人＆パートナー”たちを年代順に一挙公開！
さらに、これはチームの問題ではないとはいえ、１月19日に開催されたレアル・ソシエダ戦では、一部のサポーターが久保建英に対して「チノ（中国人）、目を開けろ！」と人種差別的なヤジを浴びせ、小さくない問題となった。

　しかも、これは初めてではない。バレンシアのファンは以前、レアル・マドリーのヴィニシウス・ジュニオールへも人種差別を行ない、物議を醸していた。
　
　かつて韓国代表のイ・ガンイン（現パリ・サンジェルマン）も在籍したクラブの失墜に、韓国メディア『マイデイリー』は「崩壊したコウモリ軍団。人種差別論争後に大敗→降格寸前で最悪の歩み」と見出しを打ち、「これがチームなのか？」と酷評した。

「2000年代にコウモリ軍団と呼ばれ、レアル・マドリー、バルセロナとともにラ・リーガのビッグ３を形成したチームが試合内外で大混乱状態だ」

　現在、残留圏の17位とは４ポイント差。まさかの降格が現実味を帯びている。

構成●サッカーダイジェストWeb編集部",[],[]
「プレミアで活躍できる実力を証明した」ニューカッスル相手に衝撃ゴラッソ！ 英３部の日本人MFを現地メディアが最高評価！ 敵将も脱帽「すぐ後ろにいたが信じられない一撃だった」（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/8c8cbbd9004115222d850f7580fe977943661aa7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168217-sdigestw-000-5-view.jpg?exp=10800,2025-02-09T17:30:00+09:00,2025-02-09T17:30:06+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,612,"チームは２－３で敗戦も…
ニューカッスル戦で小さくないインパクトを残した岩田。（C）Getty Images
現地２月８日に開催されたFAカップの４回戦で、MF岩田智輝が所属するイングランド３部のバーミンガムがプレミアリーグ６位の強豪ニューカッスルと対戦。２－３で敗れた。
【動画】岩田智輝が決めた豪快なスーパーゴール
チームは格上撃破とはならなかったものの、この一戦にダブルボランチの一角で先発した岩田が小さくないインパクトを残す。１－２で迎えた40分、敵陣ペナルティエリア手前中央のやや右寄りで相手のクリアボールに反応。思い切り右足を振り抜き、豪快なシュートをゴール右上に突き刺してみせた。

　衝撃のミドルを叩き込んだ岩田に対して、バーミンガムの地元メディア『Birmigham Live』は、採点記事でチーム最高タイの「９点」を付与。以下のように評している。

「イワタはブルーズに加入して以来、７ゴールを挙げていて、そのほとんどが素晴らしいゴールだが、ニューカッスル戦のゴールは特に見事なものだった。クリス・デイビス監督が『プレミアリーグで活躍できる』と信じている実力を証明した」

　岩田のゴラッソにはニューカッスルのエディ・ハウ監督も「(岩田が決めた)２点目のゴールには敬意を表さなければならない。私はそのすぐ後ろにいたが信じられないような一撃だった」と脱帽している。

構成●サッカーダイジェストWeb編集部",[],[]
「自分のタイプが変わってきた」オランダで躍動する22歳アタッカーが明かした“アルビ時代からの変化と進化”。「こんなにガンガンじゃなかった」【現地発】（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/f183c3fe9694fb3d16681af6a029555f4b46cb82,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168211-sdigestw-000-4-view.jpg?exp=10800,2025-02-09T16:07:00+09:00,2025-02-09T16:07:05+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,2505,"「ホント、つい最近までは“足下”でプレーしたい人でした」
敵地デ・カイプで完敗を喫したスパルタ。それでも三戸は絶対アウェーの地で確かな収穫を掴んだ。(C)Getty Images
デ・カイプの愛称で知られるスタディオン・フェイエノールトの雰囲気は、ヨーロッパサッカー界の中でも至極のものだと言われている。今から1年前、スパルタはその雰囲気に呑まれて０－２の完敗を喫した。日本人アタッカーの斉藤光毅（現QPR）、三戸舜介は共に力を発揮できぬまま、ふたり揃って72分に退いた。初めてデ・カイプでプレーした印象を当時、三戸に尋ねてみると、こういう答えが返ってきた。
【画像】元K-POPアイドルの韓国美女チア、リュ・ヒョンジュの“魅惑ショット”を厳選紹介！
「あれはすごかったですね。あの雰囲気は初めて。これまで感じたことのないものでした。人がいっぱい入ってましたし、一気に“アウェー感”を感じました。プレーしていて鳥肌が立ちました。一気にワーってなる瞬間がもうたまんない。スッゲーってなりますね」

　２月８日、再び三戸はデ・カイプのピッチに降り立った。結果は０－３と昨季よりスコアは悪かったものの、今季のスパルタは中盤で主導権を握ったり、前線からプレスを果敢にかける時間帯を作るなど、昨季よりシンパシーを感じるサッカーを披露した。左ウイングを務める三戸は、攻撃ではスピードとアジリティを活かしたドリブルでフェイエノールトの最終ラインの裏を再三突き、守備ではスタミナを切らすことなくプレスをかけ続け、時にはひとりでボールを奪い切った。

「昨年と比べて自分の持ち味を出すことができ、強度の面でも成長を感じたのは確かです。去年は本当に何もできなかった。このスタジアムに呑まれたというか、『怖かった』というイメージしかない。今年もスタジアム自体は『すごいな』と思いましたけれど、そこに呑まれることはなかった。チームは負けてしまったし、自分にもチャンスがありながら決めれませんでしたが、チャンスを生み出したり、自分で（ドリブルで）持っていけるところもあったので、そこは成長できたかなと思います」
　
　長身ストライカーのヘッドから抜け出してシュートを打ったり、MFのロングパスを左サイドのスペースで受けると、ノートラップで左足のクロスを蹴り込んだり、敵の最終ラインをフリーランニングで攻略する。それが今の三戸舜介だ。

「自分が試合に出始めてから、今のチームがやりたいサッカーがやっと分かってきた。（チームメイトの）フリックだったり、背後へのボールだったり、こう来たらこう、という意思疎通が自分の中にあります。『背後、背後』と言われるので、そこを意識していたら自ずとボールが来ます。今日もそうでした」

　三戸の得意なプレーのひとつが、ライン間でボールを受けること。足下でパスを受けてから、味方を生かしたり、自分で局面を打開したりすることができる。しかし今は縦に走り、敵の背後で強みを発揮するプレーヤーに転身した。

「ホント、つい最近までは“足下”でプレーしたい人でした。アルビレックス新潟でつなぐプレーをしていたぶん、こんなにガンガン背後に走ることはなかった。もちろん局面によっては（新潟時代にも）あったかもしれませんが、基本的には間でボールを受けていた。サイドでは裏に抜けるのではなく、ボールをもらってそこから仕掛けるというのが多かった。だから、そこまで走るということは（日本では）なかったですけれど、ここ最近は走行距離が増えてきたらしいです。自分もタイプが変わってきたんだなと思います」
「日本代表のことは考えてないです。いや、なんと言うか、現実味がない」
ここに来てスタミナも目に見えて付いてきた。AZ戦では後半アディショナルタイム６分、フローニンヘン戦では同５分までプレーし続け、今回のフェイエノールト戦では最後までプレーし切った。

「ちょうど昨日、監督から『運動量も増えているし、インテンシティも高くなっている。それを続けてほしい』と言われました」

　今季前半戦は出場機会が乏しく、落ち込んだ時期もあったようだが、今は自信を持ってプレーしている。

「選手からの信頼を感じます。オランダ代表の経験を持つ左サイドバックの選手（ファン・アーンホルト）が『ボールを持ったら仕掛けろ』と言ってくれている。チームが自信を持たしてくれている。そういうところがありますね」

　サイドアタッカーとしての自信が、さらに三戸の成長を加速させている。今の日本代表で狙うとするならばウイングバックというポジションになるのでは？

「日本代表のことは考えてないです。いや、考えてないというか、なんと言うんですかね。現実味がない。もちろん行きたい場所ではあります。でも今のメンバーを見ると、自分のリーグより１個か２個上のリーグでスタメンを取っている選手ばかりなんで、今、日本代表にポンと入っても自分はたぶん何もできないと思う。だから足下を見て、というか、自分の実力を見て今のスパルタで結果を残すしかない。チームで自分が一番点を取るんだ、結果を残すんだという気持ちでやっていきたい」
　
　フェイエノールト戦では、相手の左ウインガー、イゴール・パイションのプレーに刺激を受けた。

「彼も小さい(167センチ。三戸は164センチ)ですし、ドリブラーですし、自分とタイプが似ていると思う。自分と同じようなタイプの選手が、これだけ強いチームにいるというのは自分の目標にもなる。自分も頑張って結果を残していけば、自分もここに来ることができるという思いがある。彼は今日、点を取ったしアシストもあった。そういう刺激をもらいながら、やっていきたいと思います」

　パイションがアシストを記録したのは85分、ゴールは後半アディショナルタイム２分。つまり皆が疲弊している中で結果を残した。こういう苦しい時間帯で三戸もゴール、アシストという結果を出すようになれば、日本代表への扉が一気に開くのではないだろうか。

取材・文●中田 徹

​​​​​​",[],[]
「一人だけスピートが違う」「全部が速い」絶好調の前田大然、カップ戦でのハットトリック達成にファン驚嘆！「古橋抜けて覚醒したな」（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/b940f9c5e5e59fca135f398ffbec673651990be9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168214-sdigestw-000-7-view.jpg?exp=10800,2025-02-09T16:00:00+09:00,2025-02-09T16:00:02+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,488,"チームは５－０の大勝
今季のゴール数を21に伸ばした前田。（C）Getty Images
現地時間２月８日に開催されたスコティッシュカップ５回戦で、前田大然と旗手怜央が所属するセルティックは２部のレイス・ローバーズとホームで対戦し、５－０で大勝した。
【動画】前田大然が大爆発！圧巻のハットトリック
この一戦で３ゴールを奪う活躍を見せたのが、CFで先発した前田だ。まず開始６分、左足のシュートを冷静に流し込んで先制点を奪えば、45＋２分にはカウンターからヤン・ヒョンジュンのクロスをダイレクトで押し込んで追加点をゲット。さらに77分にも、左サイドからのクロスに飛び込んでネットを揺らし、ハットトリックを達成してみせた。

　ハイパフォーマンスを披露した前田にSNS上では、「いてほしいところに必ずいる」「古橋抜けて覚醒したな」「全部が速い」「圧巻のスピードと決定力」「早くステップアップしてほしい」「一人だけスピートが違う」などの声が上がっている。

　絶好調の27歳アタッカーはこれで公式戦３戦連発。今季のゴール数を21に伸ばした。

構成●サッカーダイジェストWeb編集部",[],[]
VARがあれば、三笘薫の決勝点は幻だった？ チェルシー指揮官が「ハンドは明らかだ」と主張。一方でブライトン監督は…（SOCCER DIGEST Web）,https://news.yahoo.co.jp/articles/4dd758e7098801ebc6e690272af649025b4a3492,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250209-00168215-sdigestw-000-6-view.jpg?exp=10800,2025-02-09T15:57:00+09:00,2025-02-09T16:54:10+09:00,SOCCER DIGEST Web,sdigestw,SOCCER DIGEST Web,929,"FAカップではVAR導入は５回戦から
チェルシー相手に77分に決勝点を奪った三笘。(C)Getty Images
もしVARが導入されていれば、三笘薫のゴラッソは幻になっていたかもしれない。

　現地時間２月８日に開催されたFAカップ４回戦で、三笘薫を擁するブライトンは、チェルシーとホームで対戦。２－１で逆転勝ちし、１週間前のノッティンガム・フォレスト戦（０－７、プレミアリーグ第24節）のショックを吹き飛ばした。
【動画】ハンドはあった？改めて見返したい三笘の華麗な決勝弾
決勝点が生まれたのは、長らく１－１の状況が続いていた77分だ。三笘がペナルティエリア左でパスを受けると、前に出てきた相手GKロベルト・サンチェスの動きを見極め、ループシュート。冷静沈着なフィニッシュで見事にゴールに流し込んだ。

　ただ、映像で見返すと、直前にタリク・ランプティの手に当たったように見えるものの、VARの導入は５回戦からのため、そのまま得点が認められた。

　英公共放送『BBC』によれば、敵将のエンツォ・マレスカは、「ハンドは明らかだ」と不満を露わに。そのうえで、マンチェスター・ユナイテッドのハリー・マグワイアの得点など、他会場でも“疑惑の判定”が生まれている事実を踏まえ、こう語った。

「ここ２、３日、様々な試合で、色々な状況があった。VARがなく、より難しくなった。もっとも、VARがあっても、ハンドと判定されるかどうかは分からない。分からないよ。今シーズンは多くのハンドを見てきたなかで、今回VARはなかった」

　一方、勝った側であるファビアン・ヒュルツェラー監督は、VARチェックなしの利点を伝えた。

「VARによって、フットボールは今日のような感情的なものではなくなりつつある。今日は素晴らしい雰囲気だった。ゴールに確信があるからこそ、ゴールを祝える。あんな感じで良かったよ」

　ブライトン指揮官が指摘する通り、今日のフットボールはVARチェックを挟むため、正式に得点が認められるまでに、タイムラグが生じてしまう。それだけに、ネットを揺らした直後に120％の感情で喜べなくなっている状況もまた事実だ。

構成●サッカーダイジェストWeb編集部",[],[]
