headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
500億円割ったけど…新体育館事業費488億円、基本構想の2倍　開業は3年遅れ、償還期間は30年に伸びる　客席減で国際大会開けない競技も…（南日本新聞）,https://news.yahoo.co.jp/articles/c414dfcee2e7d65949128d74e6d9e1e3e13ebb79,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000011-minami-000-3-view.jpg?exp=10800,2025-02-14T23:45:21+09:00,2025-02-15T00:48:05+09:00,南日本新聞,minami,南日本新聞,956,"鹿児島県が新総合体育館整備で新たな事業費や整備手法を示した説明会＝１４日、県議会
鹿児島県の塩田康一知事は１４日、鹿児島港本港区のドルフィンポート跡地に計画する新総合体育館の事業費を４８８億円に増額する方針を県議会に示した。基本構想の約２倍。事業費を圧縮するため、客席数を削減し整備運営手法も変更する。開業は最短でも当初計画より約３年遅れの２０３２年度末となる。「現在の体育館が果たしてきた役割を継承するのが県の責務だ」と述べた。
【写真】〈関連〉県体育館の整備運営事業費と主な見直し内容を見る
議会での議論を踏まえ、整備・運営手法や予算化の時期を判断する。

　メインアリーナを８０００席以上から７０００席に、サブアリーナは５００席程度から２００席に、武道場や弓道場も客席数を減らす。一部競技の国際大会が開けず、経済効果や来場者数も減少するが、塩田知事は「やむを得ない」との認識を示した。競技面積は維持する。

　民間事業者に資金調達から整備・運営までを包括発注するＰＦＩ手法を取りやめ、個別発注する従来型手法へ転換する。事業費は４億円増え、償還期間も３０年に伸びる。一方で、新たに１５億円の交付金のほか、交付税措置のある有利な地方債を受けられる可能性があり、毎年度の財政負担を抑えられるとした。

　県は２２年策定の基本構想で最大２４５億円とした事業費を３１３億円に増額し、２４年４月に入札を公告。労務費や建設費の高騰、金利上昇の影響で９月に入札不調となった。

　実勢価格により近い指標や事業者へのヒアリングを踏まえた積算では５３６億円となったが、客席の削減、整備手法の転換、支払い前倒しなどで最終的な事業費は４８８億円とした。内訳は設計費を含む施設整備費４１５億円、１５年間の維持管理・運営費３７億円、３０年間の金利など３６億円。
塩田知事は計画の凍結や撤回、従来の３１３億円以内での整備も考えたと説明。「整備時期が遅れるほど事業費が増える可能性は高い。整備するならできるだけ早くすることが望ましい」と話した。

　現在の県体育館と県武道館の敷地（いずれも県有地）を売却し体育館事業に充当する。売却益は計約２０億円を見込む。事業費は年間１５．７億円程度を県費で３０年間支払う計画。
南日本新聞 | 鹿児島",[],[]
178回にわたり総額1480万円を着服　給料や借金で補てん繰り返し、全額弁済した公立中の職員、懲戒免職　鹿児島市教委（南日本新聞）,https://news.yahoo.co.jp/articles/bd0f139b67d6c027f3e06c0b2d5f96ef5af8b0bb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000010-minami-000-1-view.jpg?exp=10800,2025-02-14T21:45:21+09:00,2025-02-14T21:45:21+09:00,南日本新聞,minami,南日本新聞,668,"（写真：南日本新聞社）
鹿児島市内の公立中学校職員が学校徴収金などを着服していた問題で、市教育委員会は１４日、３４歳の会計年度任用職員を同日付で懲戒免職処分にしたと発表した。発表によると、職員は６年７カ月の間、１７８回にわたって着服し、総額は約１４８０万円に上る。給料や借金で補てんを繰り返したため実質の被害額は約７１１万円で、１月１４日までに全額弁済した。
公立中の職員、学校徴収金を5年間にわたり700万円着服　複数の通帳預かり管理、緊急保護者会で説明　鹿児島市
市教委によると、職員は２０１６年９月からＰＴＡ雇用の事務補助として中学校に勤務。２２年度から市雇用となった。着服したのは１９年６月から今年１月まで。金額は２１年度までが約３２４万円で、処分対象は２２年度以降の約１１５６万円。

　学校が保護者から集めた教材費やＰＴＡ費を管理する口座から、業者への支払いなどの際に引き出して着服。生活費や借金返済に充てたとみられる。引き出した口座は１７に上り、そのうち五つは入出金の機会が限られるため、学校側で監査していなかった。

　今年１月８日に職員の家族から、学校に申し出があり発覚した。学校は警察に相談しているが、被害届の提出は関係者と協議する。

　市教委は発覚後、ほかの市立学校で不適切な会計事務がなかったか確認。再発防止に向け２月１４日、計画的・組織的なチェック体制を強化するよう、各校に文書で通知した。九反大介総務課長は「改めて服務規律の確保や適正な会計事務の執行を徹底していく」とコメントした。
南日本新聞 | 鹿児島",[],[]
焼け跡から見つかった遺体、DNA型鑑定で身元判明　鹿児島市住家火災（南日本新聞）,https://news.yahoo.co.jp/articles/ec0fae44388b027d24c517a38ba15b29857c60d7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000009-minami-000-1-view.jpg?exp=10800,2025-02-14T18:55:28+09:00,2025-02-14T18:55:28+09:00,南日本新聞,minami,南日本新聞,133,"（写真：南日本新聞社）
１２日午前６時半ごろ、鹿児島市坂元町、無職の女性（９０）方を全焼した火事で、鹿児島中央署は１４日、焼け跡から見つかった遺体を同女性と発表した。

　同署によると、ＤＮＡ型鑑定で特定した。死因は焼死。司法解剖で判明した。
南日本新聞 | 鹿児島",[],[]
【速報】鹿児島県警捜査2課長が知人女性に性的暴行か　不同意性交の疑いで書類送検（南日本新聞）,https://news.yahoo.co.jp/articles/fde8419d2ddb4282bc802bf67a47c5cc14155c38,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00010000-minami-000-6-view.jpg?exp=10800,2025-02-14T17:32:27+09:00,2025-02-14T18:05:06+09:00,南日本新聞,minami,南日本新聞,292,"鹿児島県警本部
知人女性に性的暴行を加えたとして、不同意性交の疑いで、鹿児島県警捜査2課長の安部裕行警視（28）が書類送検されたことが14日、鹿児島地検への取材で分かった。

　県警によると、「昨年11月、（安部警視から）不同意性交の被害を受けた」という女性からのメールが1月12日に警察庁のセクシャル・ハラスメント相談窓口に届いた。

　県警は同日、安部警視を警務部付に異動する人事を発表した。安部警視は2023年8月に警察庁から出向している。

　鹿児島県警では性犯罪や情報漏えいなど不祥事が相次いでおり、2024年は5人が懲戒処分を受けた。いずれも警察官で、免職2人、停職3人。",[],[]
捨てる、焼くしかなかったナイロンを完全分解…鹿児島大などがリサイクル方法を確立　マイクロプラスチック問題解決へ光（南日本新聞）,https://news.yahoo.co.jp/articles/5f1e4ce87b9dd9c527c340b367d6ab14338400c5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000008-minami-000-1-view.jpg?exp=10800,2025-02-14T17:25:21+09:00,2025-02-14T17:25:21+09:00,南日本新聞,minami,南日本新聞,763,"【ビフォアー】化学処理前のナイロン製漁網（加藤太一郎准教授提供）
鹿児島大を中心とする研究グループは、プラスチックの一種であるナイロンを、酸と酵素を使って原料の状態に完全分解する方法を確立したと発表した。リサイクルが困難で廃棄、焼却処分されてきたナイロンを、効果的に再利用する技術につながることが期待される。１１日、国際科学雑誌に掲載された。
【写真】【アフター】化学処理後、固体でなくなった漁網（加藤太一郎准教授提供）
耐久性の高いナイロンは、繊維製品や自動車部品などの素材として幅広く利用されている。だが、分解されにくいためマイクロプラスチックとなり、海洋汚染の一因にもなっている。原料に戻して再利用できるようになれば、究極のリサイクル法とされる「ケミカルリサイクル」の実現が期待できるという。

　今回の研究では、酸を使った化学的前処理でナイロンを断片化して水に溶けやすくし、その後に鹿大独自の酵素タンパク質を使って完全分解する方法を確立。市場に流通する製品にも有効であることを確認した。これまでに確立していた酵素による分解だけではナイロン製品の分解速度が遅く、原料への変換率も数％にとどまるのが課題だった。

　鹿大理学部化学プログラムの加藤太一郎准教授（４７）＝生物化学＝と、大学院博士課程２年の白石雄樹さん（２６）を中心とする研究グループが、５年ほど前から研究に着手。ナイロンは他のプラスチック素材と混ぜ合わせて製品化されていることが多いが、化学的に素材分離する技術も確立しつつあるという。今後、リサイクルの事業化に向けて複数の企業と検証実験を予定している。
鹿児島県警科学捜査研究所職員として働きながら研究を続ける白石さんは「成果が出てうれしい。リサイクルの一助になってほしい」と話した。
南日本新聞 | 鹿児島",[],[]
【速報】鹿児島県公立高入試0.81倍で過去最低　最高は松陽（美術）の2.14倍　最低は鹿児島女子（スポーツビジネス）0.04倍（南日本新聞）,https://news.yahoo.co.jp/articles/ea9ebdbd9cb8e260c82cf6bf392d4c961194aa6e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000007-minami-000-2-view.jpg?exp=10800,2025-02-14T15:05:21+09:00,2025-02-14T15:05:25+09:00,南日本新聞,minami,南日本新聞,428,"（写真：南日本新聞社）
鹿児島県教育委員会は１４日、２０２５年度公立高校入学者選抜学力検査の出願状況を発表した。全日制・定時制合わせて７０校１５９学科の定員１万４７４人に対し、８５０６人が出願。倍率は０．８１倍で２１、２３年度と並ぶ過去最低だった。１倍を下回ったのは１５年連続。定員割れは６１校１２４学科だった。学力検査は３月５、６日に実施する。

　倍率が最も高いのは松陽（美術）の２．１４倍。鹿児島商業（情報イノベーション）１．７８倍、開陽（全日・普通）１．６７倍と続く。最も低いのは鹿児島女子（スポーツビジネス）の０．０４倍で、山川（園芸工学・農業経済）、枕崎（総合学科）、加世田常潤（生活福祉）が０．１５倍で続いた。来年度から５学科に再編する鹿児島女子は、ファッション・フードクリエイト科の１．０４倍以外は定員割れとなった。

　出願変更は２月１７日から２１日正午まで。２５日に最終出願倍率を発表する。合格発表は３月１３日。
南日本新聞 | 鹿児島",[],[]
盗撮、捜査情報漏えい…鹿児島県警の2024年懲戒処分は5人　九州・沖縄では福岡に次ぐ多さ（南日本新聞）,https://news.yahoo.co.jp/articles/cd419ab5d5357e7ccdd3f32dfd67f3f02ae7e3df,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000006-minami-000-1-view.jpg?exp=10800,2025-02-14T11:55:21+09:00,2025-02-14T11:55:21+09:00,南日本新聞,minami,南日本新聞,671,"（写真：南日本新聞社）
性犯罪や情報漏えいなど不祥事が相次いだ鹿児島県警の２０２４年の懲戒処分者は、２３年と同数の５人だったことが１３日、分かった。いずれも警察官で、免職２人、停職３人。県警は３人を逮捕、１人を書類送検し、１人は立件していない。警察庁のまとめによると、九州・沖縄では福岡県警の１８人に次いで多い。県警監察課は「非違事案防止のため、昨年８月策定した再発防止対策を着実に進めていく」としている。
不祥事続く鹿児島県警の再発防止策…問題の性犯罪への取り組みはいまだ「検討中」
県警発表と懲戒処分台帳によると、捜査情報などを漏らしたとして地方公務員法（守秘義務）違反の疑いで逮捕された曽於署の巡査長と、１６歳未満の少女と知りながら性交したとして県警本部の巡査部長が免職となった。

　女性の体を触るなどして不同意わいせつの疑いで逮捕された県警本部の警部は停職６カ月、女性用トイレに侵入して盗撮した疑いなどで逮捕された枕崎署の巡査部長は停職３カ月、出勤時に酒気帯び運転をしたとして書類送検され、その後不起訴となった南さつま署の巡査長は停職１カ月の処分を受けた。

　県警は、少女と性交したとして免職とした巡査部長について、被害者本人からの事情聴取ができておらず、被害届を受理していないため立件を見送った。

　枕崎署員の盗撮事件を巡っては、捜査状況のきめ細かな確認や指示がなかったことなどを理由に、野川明輝前本部長が２４年６月２１日に警察庁から長官訓戒処分を受けたが、懲戒処分ではないため統計には含まれていない。
南日本新聞 | 鹿児島",[],[]
謝罪はするが補償は「困難」で会は紛糾…殺処分し埋めた鶏から液体漏れ異臭、鹿児島県の説明に地元は反発（南日本新聞）,https://news.yahoo.co.jp/articles/538d3b07c1a57918b39090b99a82eac93a84b3fe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000005-minami-000-1-view.jpg?exp=10800,2025-02-14T11:48:21+09:00,2025-02-14T11:48:21+09:00,南日本新聞,minami,南日本新聞,530,"（資料写真）埋却地から漏出した液体で汚染されたため池＝２０２２年１２月、出水市
２０２２年に出水市の養鶏場で発生した高病原性鳥インフルエンザの殺処分埋却地から、ため池に液体が漏出した問題で、鹿児島県は１３日、住民代表向けの説明会を開いた。これまでの対応で原状回復が図られたとして補償しない考えを改めて示し、会は紛糾した。
【写真】住民からの質問に対する知事の回答を説明する県職員（右）＝１３日、出水市
昨年１０月に地元自治会が提出した知事の直接謝罪や汚水・汚泥の除去、悪臭被害などへの補償を求める７項目に回答した。県は謝罪した上で、土壌や水質、臭気の検査結果を説明。異常は確認されず、農業用水としての問題はないとして、補償は困難とした。

　住民からは汚泥除去や井戸水の水質検査、補償への対応について厳しい意見が飛んだ。下餅井自治会の山口敬次会長は「養鶏農家は多額の補償があるのに被害を受けた住民には救済措置が一切ない。県は対応を検討してほしい」と訴えた。

　漏出問題を巡っては、埋却物を移設し、ため池の水抜きや微生物資材散布などを実施。県議会産業経済委員会は昨年１０月、一定の改善を認め、ため池の復旧整備を求める陳情を不採択とした。
南日本新聞 | 鹿児島",[],[]
口永良部島の噴火警戒レベル、1に引き下げ（南日本新聞）,https://news.yahoo.co.jp/articles/480f162761c10e811bb2f075712bd751d9bfe1e7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000004-minami-000-1-view.jpg?exp=10800,2025-02-14T11:25:24+09:00,2025-02-14T11:25:24+09:00,南日本新聞,minami,南日本新聞,160,"（資料写真）口永良部島
気象庁は１４日、屋久島町・口永良部島の噴火警戒レベルを２（火口周辺規制）から１（活火山であることに留意）に引き下げた。新岳と古岳の火口周辺に影響を及ぼす噴火の可能性は低くなったと判断した。レベル１となるのは昨年１２月以来。
【写真】口永良部島の噴火警戒レベル、1に引き下げ
南日本新聞 | 鹿児島",[],[]
三セク鉄道維持へ既存バス、タクシーとの連携運行を　貨客混載輸送の検討など17施策の骨子案提示　肥薩おれんじ鉄道・第2回法定協（南日本新聞）,https://news.yahoo.co.jp/articles/75b9eca4f1588af994308d8682c7a2e5b5901b0e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250214-00000002-minami-000-1-view.jpg?exp=10800,2025-02-14T07:03:22+09:00,2025-02-14T07:03:22+09:00,南日本新聞,minami,南日本新聞,419,"〈資料写真〉肥薩おれんじ鉄道に乗車する高校生＝出水市の野田郷駅
第三セクター・肥薩おれんじ鉄道（熊本県八代市）の経営安定化を図るため、国の「社会資本整備総合交付金」活用に向けた第２回法定協議会が１３日、鹿児島県出水市であった。他の交通事業者との連携など地域公共交通計画の骨子案が示された。
【写真】〈関連〉肥薩おれんじ鉄道のルートと駅名を地図で確認する
骨子案は、地域住民におれんじ鉄道の利点を感じてもらい、鉄道を軸とした公共交通ネットワークの実現を目指すことを目標に掲げた。共同タクシーや公共ライドシェアの導入、貨客混載輸送の検討など１７の施策が記された。運行間隔を補完するため、路線バスやコミュニティーバス、乗り合いタクシーなどと連携して運行することも検討する。

　委員からは「イベントの際はターゲット層を分析して情報発信するべきだ」との意見が出た。次の協議会で計画の素案を示し、本年度中の計画策定を目指す。
南日本新聞 | 鹿児島",[],[]
