headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
ロシアが真剣か確認すると米報道官（共同通信）,https://news.yahoo.co.jp/articles/2d1feb1d97b51135fa6ae2978b8d37981470de2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-02-17T23:57:06+09:00,2025-02-18T00:12:53+09:00,共同通信,kyodonews,共同通信,104,【ワシントン共同】ブルース米国務省報道官は17日、ロシアとウクライナの戦争終結に向けた米ロ交渉で、ロシアが真剣に和平に取り組む意思があるかどうか確認するとサウジアラビアで記者団に述べた。ロイター通信が報じた。,[],[]
ローマ教皇、入院継続　治療を変更（共同通信）,https://news.yahoo.co.jp/articles/24be14f10895b82e5bb0ad17a11dafaa9c35207a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250217-00000197-kyodonews-000-3-view.jpg?exp=10800,2025-02-17T23:45:37+09:00,2025-02-18T00:43:17+09:00,共同通信,kyodonews,共同通信,264,"ローマ教皇フランシスコ（ロイター＝共同）
【ローマ共同】ローマ教皇庁（バチカン）は17日、気管支炎で入院中の教皇フランシスコ（88）について「複雑な病状」に対処するため「治療法の変更が必要になった」と発表した。検査の結果、呼吸器での混合感染が新たに判明し、入院を継続するという。

　教皇は14日「気管支炎が悪化した」としてローマの病院に入院した。期間は明らかにされていないが、バチカンは声明で「適切な入院が必要になる」としている。

　教皇は近年、健康不安を抱えており、2023年には腹部ヘルニアの手術などのため2度入院した。",[],[]
自民、年収の壁引き上げ提案へ　低所得世帯に重点（共同通信）,https://news.yahoo.co.jp/articles/4739587dc36d2710b4542b8c4d6d998305f6dba4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250217-00000196-kyodonews-000-4-view.jpg?exp=10800,2025-02-17T23:20:43+09:00,2025-02-18T00:11:47+09:00,共同通信,kyodonews,共同通信,499,"東京・永田町の自民党本部の看板＝2024年1月
自民党は、所得税が生じる「年収103万円の壁」引き上げを巡り、従来提案してきた非課税枠123万円からさらに上積みする案を18日に再開する国民民主、公明両党との3党協議で伝える方針を固めた。一律とはせず、年収に応じて上げ幅を変える方向で、所得の低い世帯がより手取りの増える仕組みとする。週内の合意を目指し、交渉は大詰めを迎える。関係者が17日明らかにした。
【画像】103万円の「年収の壁」のイメージ
18日の3党協議には各税制調査会長が出席する予定。これまで国民は178万円に引き上げるよう主張していた。自民は、大幅な税収減につながるとの懸念から、所得層ごとに非課税枠の段差を設けることで、財源への影響を抑える制度設計とした。年収200万円までなら、150万円程度とする案が出ている。

　自公国3党の税調会長は昨年12月24日に協議を調整していたが都合が合わず延期され、自民からの新たな提案もなかったため、協議の停滞が目立っていた。国民は、引き上げ額として生活保護費を基準とした「156万円」を例示し、生存権の保障という観点からの検討も求めている。",[],[]
デンソーが早期満額回答　集中日前は初（共同通信）,https://news.yahoo.co.jp/articles/f9581438471c7b4bda93e61a2c24d8ff2614f51f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-02-17T23:14:28+09:00,2025-02-17T23:30:53+09:00,共同通信,kyodonews,共同通信,300,"デンソーは17日、2025年春闘で、賃上げと年間一時金（ボーナス）について労働組合の要求に満額回答したと明らかにした。定期昇給やベースアップ（ベア）などを含めた1人当たりの平均賃上げ額は月2万3500円、一時金は6.3カ月分で、いずれも過去最高額。3月12日に予定される自動車総連などの集中回答日より早い回答は初めて。

　労組側は12日に要求書を提出しており、その後の労使協議を待たずに企業側が回答するのは珍しい。

　職場課題や労働条件をしっかり議論するため、例年2月に始める労使協議会を前年の11月に開始しており、デンソーは「労使双方の理解が深まり、認識を合わせることができたため」と説明した。",[],[]
自民、年収の壁で上積み提案へ（共同通信）,https://news.yahoo.co.jp/articles/5daf0f23f2f622b9d4c619f90af458f1414ae361,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-02-17T23:09:36+09:00,2025-02-17T23:26:54+09:00,共同通信,kyodonews,共同通信,110,自民党は「年収103万円の壁」を巡り、従来の123万円から上積みする案を18日の国民民主党との協議で伝える方針を固めた。年収に応じて上げ幅を変える方向で、低所得世帯がより手取りの増える仕組み。関係者が17日明らかにした。,[],[]
頭越し交渉「結果生まぬ」　ウクライナ大統領（共同通信）,https://news.yahoo.co.jp/articles/46093bcee93e35b43b56439791f1ca4cb8036f27,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250217-00000193-kyodonews-000-2-view.jpg?exp=10800,2025-02-17T23:06:12+09:00,2025-02-17T23:23:01+09:00,共同通信,kyodonews,共同通信,298,"ウクライナのゼレンスキー大統領
【キーウ共同】ロイター通信によると、ウクライナのゼレンスキー大統領は17日、ロシアとウクライナの戦争終結に向けて米ロがサウジアラビアで18日に行う協議を巡り「ウクライナ抜きのいかなる交渉も結果を生まない」と訴えた。訪問先のアラブ首長国連邦（UAE）からオンラインで報道陣に語った。

　ゼレンスキー氏は19日にサウジを訪問予定。ただ事前に計画されたもので米ロ協議とは無関係だとしている。トランプ米政権のウクライナ・ロシア担当特使ケロッグ氏が20日にウクライナを訪問するとも説明した。

　ウクライナ政府代表団は16日、サウジの首都リヤドを訪問し企業家らと会合した。",[],[]
EU首脳、来週ウクライナ訪問へ　侵攻3年に合わせ（共同通信）,https://news.yahoo.co.jp/articles/f3d25309516ec409d0ecbf8eac2a66379b31317f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250217-00000192-kyodonews-000-3-view.jpg?exp=10800,2025-02-17T22:37:01+09:00,2025-02-17T22:52:53+09:00,共同通信,kyodonews,共同通信,238,"EUのフォンデアライエン欧州委員長（ロイター＝共同）
【ミュンヘン共同】欧州連合（EU）欧州委員会の報道官は17日、ロシアによるウクライナ侵攻開始から24日で3年となるのに合わせ、フォンデアライエン欧州委員長らがウクライナの首都キーウ（キエフ）を来週訪問すると発表した。詳細な日程は明らかにしなかった。

　トランプ米大統領が米ロ主導で和平交渉を進める方針を示し、ウクライナや欧州が交渉から置き去りになる懸念が強まる中、持続的な平和の実現に向けた連帯を確認する狙いとみられる。",[],[]
新光電気へのTOB開始　革新機構、18日から（共同通信）,https://news.yahoo.co.jp/articles/53a80391c1be6e590a044c6c1738d89584c1ad4e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-02-17T22:31:54+09:00,2025-02-17T22:48:53+09:00,共同通信,kyodonews,共同通信,282,"富士通の子会社、新光電気工業（長野市）は17日、官民ファンドの産業革新投資機構（JIC）による株式公開買い付け（TOB）が18日から始まると発表した。3月18日まで。買い付け価格は1株5920円で総額3997億円。当初は昨年8月下旬の開始を目指していたが、中国やベトナムの競争法に基づく手続きの影響で大幅に遅れていた。

　JICは大日本印刷、三井化学と組んでTOBを実施する。新光電気株の50.02％を保有する富士通はTOBには応募せず、TOB成立後に新光電気が行う自己株式取得に応じて全株を譲渡する予定だ。

　新光電気は次世代半導体に使う光技術に強みを持つ。",[],[]
バスケ、信州が27勝目　Bリーグ2部（共同通信）,https://news.yahoo.co.jp/articles/70fca14a0dd14039082e67450182d34cc775ce53,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-02-17T22:14:24+09:00,2025-02-17T22:30:59+09:00,共同通信,kyodonews,共同通信,77,バスケットボールのりそなBリーグ2部（B2）は17日、長野市ホワイトリングで行われ、東地区2位の信州が山形を90―80で下し、27勝目（13敗）を挙げた。,[],[]
ドイツ、派兵議論は「時期尚早」　平和維持活動、ポーランドも否定（共同通信）,https://news.yahoo.co.jp/articles/761f6ced8ba836c4ce6c1007f0666d4105c7ac1c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-02-17T22:13:15+09:00,2025-02-17T22:30:53+09:00,共同通信,kyodonews,共同通信,288,"【ベルリン共同】ドイツ政府副報道官は17日、英国のスターマー首相がロシアとウクライナの戦争終結後の平和維持活動を念頭にウクライナへの派兵を前向きに検討すると表明したことに関し、ドイツ軍派遣の議論は「時期尚早だ」と指摘した。

　欧州メディアによると、ウクライナに隣接するポーランドのトゥスク首相も17日「ウクライナ領にポーランド軍を派遣する計画はない」と改めて否定した。

　ドイツのショルツ首相は自国軍の派遣を否定しており、政府副報道官は「まずは和平がどのように実現するかを見守る必要がある」と強調した。平和維持活動に当たる部隊の派遣はフランスやイタリアでも議論されている。",[],[]
