headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
川島明、藤井隆プロデュースでオリジナル・アルバム発売決定　収録曲「D Breeze」先行配信（CDJournal）,https://news.yahoo.co.jp/articles/123f60a8739a5f1494af7f00cb16e22dc55b9f14,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000031-cdj-000-1-view.jpg?exp=10800,2025-02-25T18:04:25+09:00,2025-02-25T18:04:25+09:00,CDJournal,cdj,CDジャーナル,724,"川島明、藤井隆プロデュースでオリジナル・アルバム発売決定　収録曲「D Breeze」先行配信
2020年9月にリリースしたSLENDERIE RECORDのオムニバス・アルバム『SLENDERIE ideal』に参加し、オリジナル楽曲「where are you」で初挑戦のサックスと美声を披露して話題になった川島明（麒麟）のオリジナル・ソロ・アルバムが藤井隆プロデュースで5月28日（水）にリリースが決定。各CDショップでの予約受付は2月25日（火）18:00より順次スタートします。

　また、2月28日（水）にニュー・アルバムからシングル「D Breeze」が先行配信されます。藤井隆プロデュースの元、髙橋啓泰、とまそん、松浦大樹の3人からなるオルタナティブ・バンド、She Her Her Hersのサウンドプロデュースで制作された、川島明の新たな一面を引き出した注目曲です。ぜひお聴き下さい。

　さらに、アルバムを携えて川島明が〈SLENDEIRE RECORDファミリーコンサート2025〉に参加します。藤井隆、スペシャルゲストと共に新曲をお届けします。2月25日（火）18時よりイープラスにて先行チケット受付が開始されます。

［コメント］
川島クンのファンの皆さまに驚いて→ドキッとして→もっと応援しよう、と思っていただけるような1枚を目指しました。
先ずは「D Breeze」を聴いていただけたら嬉しいです。忙しいスケジュールの中、毎回事前にちゃんと聴いて覚えてレコーディングスタジオに来てくれる川島クンは本当に素敵で感謝してます。5月から8月までコンサートもありますのでどこかの会場にお越しいただけたら嬉しいです。
――藤井隆",[],[]
東京ゲゲゲイ、「MIKEY BIRTHDAY UNPLUGGED 2023」ライヴ音源配信開始（CDJournal）,https://news.yahoo.co.jp/articles/6805e3083c6cc09ff5dea1ff7c507aef12f330af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000030-cdj-000-1-view.jpg?exp=10800,2025-02-25T16:59:06+09:00,2025-02-25T16:59:06+09:00,CDJournal,cdj,CDジャーナル,457,"東京ゲゲゲイ、「MIKEY BIRTHDAY UNPLUGGED 2023」ライヴ音源配信開始
歌手・作詞家・作曲家・映像作家・演出家・振付師・ダンサーのMIKEY（マイキー）主宰のエンターテイメントプロジェクト“東京ゲゲゲイ”が、「MIKEY BIRTHDAY UNPLUGGED 2023」の配信を開始しています。

　「MIKEY BIRTHDAY UNPLUGGED 2023」は2023年に開催されたファンクラブ限定特別公演〈MIKEY 40th BIRTHDAY LIVE〉のライヴ音源で、ピアノ、チェロ、ヴァイオリンのトリオ編成で演奏しており、今回の配信アルバムには「愛のフルコース」、「罪と罰」、「Top down」、「HEART」の4曲が収録されます。

　また、3月26日（水）のMIKEYの誕生日を記念し開催される特別公演〈MIKEY BIRTHDAY LIVE 2025〉のチケット一般販売が2月25日（火）19:00から開始されます。詳細は東京ゲゲゲイのオフィシャルHPをご確認ください。",[],[]
JO1、米「グラミー・ミュージアム」でのライヴに出演決定　公式ワールド・ツアー・グッズ受注販売開始（CDJournal）,https://news.yahoo.co.jp/articles/144be6f570b0b2d3a20fd2fa6c580885dc576877,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000029-cdj-000-1-view.jpg?exp=10800,2025-02-25T14:23:17+09:00,2025-02-25T14:23:17+09:00,CDJournal,cdj,CDジャーナル,604,"JO1、米「グラミー・ミュージアム」でのライヴに出演決定　公式ワールド・ツアー・グッズ受注販売開始
グローバル・ボーイズ・グループのJO1が開催中の初めてのワールド・ツアー〈JO1 WORLD TOUR JO1DER SHOW 2025 ‘WHEREVER WE ARE’〉で、3月に待ち受けるロサンゼルス、ニューヨークでのアメリカの3公演を終えた3月10日（月）に、世界で最も権威ある音楽賞「グラミー賞」の主催団体がグローバルアーティストを紹介するオリジナルコンテンツ「グローバル・スピン・ライブ(GLOBAL SPIN LIVE)」に出演することが決定。

　会場は、グラミー賞の歴史的音楽資料を豊富にコレクションしている博物館で、ロサンゼルスの観光名所の一つでもあるグラミー・ミュージアム（Grammy Museum）。JO1は、このライヴならではのパフォーマンスを披露する予定です。

　また、ワールド・ツアーで発売されているライヴ・オフィシャル・グッズの受注販売が決定しました。さらに、この受注販売を機に、アメリカ・ロサンゼルスで2025年1月に発生した山火事の復興支援のためのチャリティグッズをJO1がプロデュース。リーダーの與那城奨がデザインしたチャリティバンドの利益は、ロサンゼルス山火事の復興に向けて全額寄付します。受注販売は2月25日（火）18:00からスタートされますのでお見逃しなく。",[],[]
フォンテインズD.C.、東京公演にて新曲「It’s Amazing To Be Young」を世界初披露（CDJournal）,https://news.yahoo.co.jp/articles/f322568b80b84fc79e20471f488755bc17f56e4d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000028-cdj-000-1-view.jpg?exp=10800,2025-02-25T13:47:43+09:00,2025-02-25T13:47:43+09:00,CDJournal,cdj,CDジャーナル,2515,"フォンテインズD.C.、東京公演にて新曲「It’s Amazing To Be Young」を世界初披露
フォンテインズD.C.の通算3度目となる来日公演が、2月21日（金）大阪、2月23日（日）東京にて開催されました。23日東京公演では、昨年リリースされた最新アルバム『Romance』収録曲や、『Dogrel』や『A Hero’s Death』に収録された初期曲も披露。さらに、MVが公開されたばかりの新曲「It's Amazing To Be Young」も世界初披露され、会場は嵐のような歓声に包まれました。

　なお、フォンテインズ D.C.直筆サイン入りセットリスト（東京）が1名様に当たるキャンペーンをX（旧：Twitter）にて実施中。応募及び詳細はBeatinkの公式Xをご確認ください。

［ライヴ・レポート］
　フォンテインズD.C.にとって昨年のフジロック以来通算3度目となる今回の来日公演は、彼らが今、最もアイコニックなバンドであることを証明する、圧巻のステージとなった。ダブリンで産声を上げたポスト・パンクの新鋭から、世界を股にかけるオルタナティヴ・ロックのフロントランナーへと、昨年の新作『Romance』で一気に階段を駆け上がった彼らだが、オープニングの「Romance」で豊洲PITが瞬く間に漆黒のへヴィネスに満たされていくのを目の当たりにして、ライブもまた過去2回の来日とは全くの別次元へと進化していることに気付かされる。

　出音は圧倒的にヘヴィで高密度だが、その重みに押し潰されることのないしなやかなグルーヴ、コンプレッサーにかけたようなタフな音塊をあっさり切り裂くシャープネス、ゴシックな構築性と裏腹の甘やかな叙情……と、ギター・ロックが持つあらゆる快感が次々に押し寄せてくる興奮に、超満員の会場はのっけからヒートアップ！「Jackie Down The Line」ではギターソロで歓声が上がり、「Death Kink」のような非シングル曲ですら爆音でシンガロングが起こるなど、この日を待ち侘びていたオーディエンスの熱狂もまた過去とは桁違いだ。

　グリアン（vo）曰く『Romance』はライブでの再現性を度外視して制作したアルバムであり、だからこそ彼らは同作を冠したツアーでバンド・フォーミュラを大きく変え、ギター・バンドとしての純潔主義に別れを告げる必要があった。キーボードをサポートに迎えたことに加えて、個々のメンバーも大きく役割を拡張していた。かつては垂直にザクザク刻んでいたコナー（g）のギターはエフェクターを駆使してドライブ感を増し（彼が弾く「Here's The Thing」のイントロはこの日一番の落雷ポイント！）、カルロス(g)はほぼマルチプレイヤーと化して音響の実験を繰り広げ、グリアンがアコギを手にしてバンド・アンサンブルに加わる一方で、他メンバーはコーラスを積極的に担うようになった。ギターをアンプ直差しで掻き鳴らしていた初期の彼らのミニマリズムが嘘のように、マキシマムなパフォーマンスだ。「Sundowner」や「Horseness Is The Whatness」といった途方もないスケール感を持つエクスペリメンタル・チューンがもたらす陶酔は、そんな彼らの現在地を象徴するものだったと思う。

　フォンテインズは土台となるポスト・パンクにシューゲイズ、ネオ・サイケデリック、ラウド・ロック……と、アルバム毎に新たな要素を肉付けしていったバンドであり、故に彼らのサウンドの過剰は最新作『Romance』で極まっている。しかし、その肉付けがあくまで贅肉ではなく筋肉として行われたことは、4人のストリングスが錯綜しつつも全く濁らずクリーンに響く「Favourite」にも明らかだった。彼らがいかにサウンドバランスとダイナミクスに気を配っているかが伺えたし、『Dogrel』や『A Hero’s Death』の初期曲もそんな『Romance』モードに引き上げられ、意外なほどカラフルに響いていたのも印象的だった。フォンテインズD.C.がこれほどまでにアイコニックなバンドとなったのは、単に曲の良さやテクニカル面での成長だけに起因するものではない。新作で大胆なイメージ・チェンジを果たした5人の佇まいが醸し出す、ロック・バンドとしての爛れるような色気や、愛と喪失を巡るディストピアをアルバム丸々使って描くハードな構築性、アルバムを「ロマンス」と名付けてしまう文字通りロマンティックな性質、そのロマンティシズムを文学へと昇華した歌詞etc.、それら全てが噛み合った場所に立つバンドであるからこそ、フォンテインズD.C.は特別なのだと、演奏から照明から彼らのコスチュームから何まで、『Romance』の世界観で徹底されたこの日のステージは物語っていた。ディーゴ（b）曰くそんな『Romance』の世界観に少なからず日本が、特に東京の街がインスピレーションを与えたのは私たちにとっても嬉しいことだし、新曲の「It's Amazing To Be Young」がこの日、世界初披露されたのもTPOとして必然だったのかもしれない。

　「In The Modern World」で幕開けたアンコールは、グリアンの歌声の素晴らしさに改めて唸ってしまったセクションで、「I Love You」は彼が歌わなければこれほどカタルシスティックな曲にはなっていなかったはず。殆どノンブレスで同曲の最終コーナーを歌い切った彼の声に酔いしれる寸暇の余韻も掻き消すように雪崩れ込む最終曲は、もちろん「Starburster」だ。フォンテインズの最新最強のアンセムにして、昨年のロック・シーンを代表するこの曲の元でバンドとオーディエンスがグニャグニャに溶け合い、灼熱のマグマとなって噴出したフィナーレは、私たちが今、新たな伝説のバンドの誕生に立ち会っていることを確信させてくれるものだったはずだ。

text by 粉川しの
Photo by SHUN ITABA @Shun_Officially",[],[]
バッテリィズが近藤勇と千利休に扮する、「伊右衛門」のほのぼのCMで流れる楽曲は？（CDJournal）,https://news.yahoo.co.jp/articles/632a8faac10665f7741816c0d3b3aeaff90b8a7b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000027-cdj-000-1-view.jpg?exp=10800,2025-02-25T13:27:40+09:00,2025-02-25T13:27:40+09:00,CDJournal,cdj,CDジャーナル,1050,"バッテリィズが近藤勇と千利休に扮する、「伊右衛門」のほのぼのCMで流れる楽曲は？
サントリーが京都の老舗茶舗「福寿園」と共同開発したペットボトル緑茶「伊右衛門」のリニューアルに伴い、お笑いコンビ“バッテリィズ”を起用した新Web-CMが、2月19日より伊右衛門公式Ｘアカウントおよびサントリー公式YouTubeチャンネルにて公開されています。

　CMでは、バッテリィズの2人がそれぞれ京都にゆかりのある偉人“近藤勇”“千利休”の姿に。味わいもパッケージも大刷新した「伊右衛門」の魅力を、コニカルな掛け合いと、穏やかな空気感とともに伝えます。監督を務めたのは、昨年のアニメ映画『化け猫あんずちゃん』のヒットも記憶に新しい山下敦弘。山下監督は、2人に「近藤勇、千利休というキャラクターは意識せずにいきましょう」と声をかけたそうで、2人は「意識なんてできませんよ（笑）」「たしかに」とさっそく現場を笑わせたとのこと。CMは、雄大な五重塔をバックに「伊右衛門」を飲んだ後、エース「おれ誰ー！」「お前もっと誰ー！！」と絶叫する予告編をはじめ、11篇。現在「おいしなってる」篇、「勘違い」篇、「どう伝える」篇が公開中で、今後も順次公開予定。史実でのキャラクターを超えた2人のほのぼととした掛け合いが見どころです。

　このCMシリーズで流れているのは、フォークとパンクを融合させたサウンドで人気を博すバンド、ガガガSPがCMのために書き下ろした「ケセラセラ」です。バッテリィズの2人をイメージして制作され、複雑になりすぎた世の中に、心に余白をもって「気楽にいこうよ」と投げかける、「伊右衛門」が目指す世界観にも共通するテーマを持った同曲。聴いた人を前向きな気持ちにさせる歌詞も魅力です。

　バッテリィズの出囃子にはガガガSPの楽曲「直球勝負の男」（2013年のアルバム『くだまき男の飽き足らん生活』［写真］に収録）が使われており、今回の書き下ろしについて、エース「うれしいですね」、寺家「信じられないです。ほんまですか？最初に聞いた時ドッキリかなと思いました」とそれぞれ喜びをコメントしています。

　先日、ガガガSPのベーシスト・桑原康伸が心不全のため44歳の若さで亡くなったことが報じられました。ファンを中心にいまだその死を惜しむ声がやまない中、サントリーは「楽曲のデモ作成中に訃報に接したものの、メンバーの意向を踏まえ、制作を継続し、公開する運びになった」と、追悼の意を表明するとともに発表しています。",[],[]
AI「Story」新MVに出演している女性は？（CDJournal）,https://news.yahoo.co.jp/articles/f700bf56b37f7c6a1d15a26a4e0cf5c5a133e8b4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000026-cdj-000-1-view.jpg?exp=10800,2025-02-25T13:27:40+09:00,2025-02-25T13:27:40+09:00,CDJournal,cdj,CDジャーナル,554,"AI「Story」新MVに出演している女性は？
AIが、縦型動画クリエイティブ集団OASIZとタッグを組んだ「Story」の新ミュージック・ビデオを2月13日に公開しています。

　「Story」新MVは、“受け継がれる愛と新たな家族の絆”をテーマにしたドラマ仕立ての作品となっており、その新MVでは、語られなかったストーリーが、ショートドラマ前編・後編にて紐解かれる仕掛けとなっています。キーワードとなるのは歌詞の一節の「限られた時の中で」、そしてこの曲を象徴する「一人じゃないから」。この2つの言葉が紡ぎ出す一連の物語に注目です。

　この「Story」新MVには、NHK大河ドラマ『いだてん～東京オリムピック噺～』で俳優デビューし、NHK朝ドラ『舞いあがれ!』やカンテレ連続ドラマ『春になったら』にレギュラー出演をするなど俳優・モデルとして活動する期待の俳優・葵揚や、Abema TV『虹とオオカミには騙されない』、フジテレビ系金曜ドラマ『ビリオン×スクール』、実写版『【推しの子】』などの話題作に出演し、さらにオーディション番組『SEVEN COLORS』から誕生したガールズ・グループ“moxymill”のメンバーとして2025年1月にデビューを果たし、話題急上昇中の兼清萌々香らが出演しています。",[],[]
永野芽郁出演、サントリー「トリスハイボール缶」のCMで流れる曲は？（CDJournal）,https://news.yahoo.co.jp/articles/44a3f8ddf5a19a4df177dc2ec7926b613b75d82a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000025-cdj-000-1-view.jpg?exp=10800,2025-02-25T13:27:40+09:00,2025-02-25T13:27:40+09:00,CDJournal,cdj,CDジャーナル,524,"永野芽郁出演、サントリー「トリスハイボール缶」のCMで流れる曲は？
サントリーウイスキー「トリスハイボール缶」の新TV-CM「ハイボール行進曲」篇が、2月14日より全国でオンエアされています。

　CMには俳優の永野芽郁が出演。「おうちでトリスハイボール」というテーマのもと、「トリスハイボール缶」を掲げた主人公の永野が、夕方の街並みに颯爽と登場。仕事帰りの大勢の人々を引き連れて、「♪いざおうちでハイボ～ル」と元気よく歌いながら家路につき、おうちでハイボールを飲むシーンを、軽快なマーチ（行進曲）に乗せて表現しています。ハイボールの香りや味を、相性ぴったりのおつまみとともに楽しむ永野の表情、笑顔が素敵なカメラ目線のショットをはじめ、おうちでトリスハイボールを飲む喜びを綴った歌詞と軽快なメロディ、相棒のアンクルトリスとの微笑ましい掛け合い、日常と空想をミックスした動くミニチュアセットによる映像演出など、見どころたっぷりの内容となっています。

　使用されている楽曲は、アニメ『キテレツ大百科』の6代目オープニング・テーマで、1992年5月に発売されたYUKAのシングル「お料理行進曲」の替え歌です。歌唱はYUKA（村石有香）が担当しています。",[],[]
映画『Mr.ノボカイン』の予告編で流れる曲は？（CDJournal）,https://news.yahoo.co.jp/articles/68048a5bef9947ce09b56859a215d3d59f3b161c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000024-cdj-000-1-view.jpg?exp=10800,2025-02-25T13:27:40+09:00,2025-02-25T13:27:40+09:00,CDJournal,cdj,CDジャーナル,480,"映画『Mr.ノボカイン』の予告編で流れる曲は？
映画『Mr.ノボカイン』が、6月20日より全国でロードショー。封切りに先駆け、予告編が公開されています。

　本作の主人公は、生まれつき“どんな痛みも感じない”気弱で真面目な銀行員・Mr.ノボカイン。ごく普通の地味な生活を送っていた彼は、ある日、ガールフレンドが銀行強盗の人質として捕われてしまいます。ノボカインは不死身というわけではなく、身体へのダメージはほかの人間とまったく変わりません。しかし、愛する彼女を助けるため“痛みゼロ”という唯一の武器を駆使して立ち向かっていきます。

　ジャック・クエイドがノボカインを演じたほか、アンバー・ミッドサンダー、ジャック・ニコルソンの息子であるレイ・ニコルソン、ジェイコブ・バタロンが出演。ダン・バークとロバート・オルセンが監督を務めています。

　予告編で使用されている楽曲は、BLACKPINKの「How You Like That」です。同曲の日本語ヴァージョンが2021年8月発売のアルバム『THE ALBUM-JP Ver.-』（写真）に収録されています。",[],[]
乃木坂46、6期生の川端晃菜・瀬戸口心月・矢田萌華の撮り下ろし写真＆プロフィール公開（CDJournal）,https://news.yahoo.co.jp/articles/c2085a46c046e3cd4e32e8e46ade4f5ddcb5437e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000023-cdj-000-1-view.jpg?exp=10800,2025-02-25T13:27:40+09:00,2025-02-25T13:27:40+09:00,CDJournal,cdj,CDジャーナル,641,"乃木坂46、6期生の川端晃菜・瀬戸口心月・矢田萌華の撮り下ろし写真＆プロフィール公開
乃木坂46 6期生の川端晃菜、瀬戸口心月、矢田萌華の撮り下ろし写真と、本人の手書きプロフィールが公開されています。

　6期生オーディションは2024年の春と夏の2回に分けて実施され、春オーディションで合格した春組5名と、夏オーディションで合格した夏組6名の、合わせて11名が6期生として加入。それぞれのメンバーの発表時には、Xで関連ワードがトレンド入りするなど、SNS上で大きな注目を集めていました。

　そんな中で、6期生の新たなコンテンツとして、撮り下ろし写真と手書きプロフィールが、2月25日（火）より順次公開。

　今回公開となった川端、瀬戸口、矢田の春組3名の写真は、春組の集合写真と同様に、学校＋制服というシチュエーションで撮影。

　また、本人の手書きプロフィールによって、生年月日や長所・短所などパーソナルな部分や、好きな乃木坂46の曲・MVといった情報、ファンの方へのメッセージが公開となりました。

　2月26日（火）午前11時には、海邉朱莉と長嶋凛桜の写真と手書きプロフィールが公開される予定となり、こちらも注目されます。

　4月6日（日）には神奈川・ぴあアリーナMMにて、〈乃木坂46 初披露の会「はじめまして、6期生です」〉の開催が決まっており、乃木坂46の未来を担う6期生11名が、ついに初ステージに立つことが決定。彼女たちの今後の活躍からますます目が離せません。",[],[]
クワイエット・コーナー、10周年を記念し初期の名曲に絞って収めた完全限定LPを発売（CDJournal）,https://news.yahoo.co.jp/articles/8dca866c1ab74f723c798ed89110c935ca514d4a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250225-00000022-cdj-000-1-view.jpg?exp=10800,2025-02-25T13:27:39+09:00,2025-02-25T13:27:39+09:00,CDJournal,cdj,CDジャーナル,747,"クワイエット・コーナー、10周年を記念し初期の名曲に絞って収めた完全限定LPを発売
ジャンルや国境、時代を超えて「クワイエット」という感覚で共通する、心を安らかに静める音楽を紹介するプロジェクト「クワイエット・コーナー」が、ディスク・ガイドブック『クワイエット・コーナー 心を静める音楽集』の出版とコンピレーションCDシリーズ開始から10周年を記念して完全限定アナログ・レコードを3月28日（金）にリリースします。

　2014年に発売されたディスク・ガイドブック『クワイエット・コーナー 心を静める音楽集』とコンピレイションCD『Quiet Corner - a collection of sensitive music』はどちらもロング・セラーとなり、以降コンピレイションCDはシリーズ化され、人々の日常に寄り添ってきました。

　今回のレコード『Quiet Corner - a collection of melancholic music』では、10年の歳月で発表した10枚以上のコンピレイションCDから、特にシリーズ初期の名曲に絞って収録した、クワイエット・コーナーならではのベスト・オブ・ベストと言える内容。さらに当時は諸事情で収録が見送られたEliza Lumleyの「Black Star」（レディオヘッドのカヴァー）も収録。同曲を含め、多くの楽曲が世界初レコード化となります。

　また、ジャケットは、初期シリーズのジャケットに起用されていた人気イラストレーターの三宅瑠人の作品より、特に人気の高かった2018年リリースの『Quiet Corner - small folky talk』のイラストをアレンジ。マットな質感の仕上がりで、LPならではの存在感を放っています。",[],[]
