headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
ガンダム作画監督・安彦良和さん、福島県桑折町「半田銀山」舞台の漫画連載へ（福島民友新聞）,https://news.yahoo.co.jp/articles/aaf5e67c4a443894ebef2dd3f775610eb0e88fdd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250301-00010009-minyu-000-1-view.jpg?exp=10800,2025-03-01T10:12:58+09:00,2025-03-01T10:12:58+09:00,福島民友新聞,minyu,福島民友新聞,677,"週刊ヤングジャンプで連載される「銀色の路―半田銀山異聞―」のキービジュアル©安彦良和／集英社
アニメ「機動戦士ガンダム」のキャラクターデザインや、古代史・近現代史をテーマにした作品で知られる漫画家の安彦良和さん（77）が、桑折町の半田銀山を舞台にした作品「銀色の路（みち）ー半田銀山（やま）異聞ー」をマンガ誌「週刊ヤングジャンプ」に短期集中連載する。同町は安彦さんに半田銀山を題材にした別の漫画の制作を依頼しており、その作品は今年9月ごろのお披露目を予定している。

　安彦さんの曽祖父の兵太郎さんは、半田銀山で坑道などの図面を製作していた絵図面師だった。その縁で、町が昨年11月に主催した「半田銀山シンポジウム」に参加し、半田銀山を舞台にした新作執筆への意欲を明らかにしていた。

　週刊ヤングジャンプに連載される作品は、明治時代の実業家の五代友厚があつれきや誤解、障壁を乗り越えて半田銀山復興への道を開く物語。2月27日発売の13号で予告が掲載されており、6日発売の14号から隔週で短期集中連載される。
半田銀山を舞台にした作品の構想などを語る安彦さん＝昨年11月、桑折町
町が安彦さんに制作を依頼した作品は、兵太郎さんの視点による半田銀山についての物語になるという。町の担当者によると、安彦さんの漫画と半田銀山の資料を合わせた冊子を作製し、数量限定で有償頒布する予定。

　半田銀山は16世紀末開かれ、戦後まで操業した国内屈指の鉱山。明治維新後に閉山したが、五代の手で1874年に再興され、近代技術の導入で国内一の産銀高も記録した。
福島民友新聞社",[],[]
捜査報告書を虚偽、福島県警高速隊巡査長に懲役1年6月求刑（福島民友新聞）,https://news.yahoo.co.jp/articles/7231960a4353cd72a82998e57edf0cbad3a3376e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-03-01T10:00:03+09:00,2025-03-01T10:00:03+09:00,福島民友新聞,minyu,福島民友新聞,388,"交通事故でけが人が2人いることを把握しながら1人のみとする虚偽の捜査報告書を作成、公使したとして、公電磁的記録不正作出・同供用と虚偽有印公文書作成・同公使の罪に問われた県警高速隊巡査長の男（37）＝起訴休職中＝の論告求刑公判は28日、福島地裁（島田環裁判長）で開かれ、検察側は懲役1年6月を求刑、弁護側は改めて無罪を主張し、結審した。判決は26日午前11時から。

　検察側は論告で、事故の当事者同士のやりとりなどから2人分の診断書が提出されたのは明らかで「1人分しか受けていない」とする男の証言は信用できないと指摘。弁護側は最終弁論で、1人のけがの程度を「損傷なし」とする書類の作成を認めた上で「2人分の診断書は受けておらず、虚偽の書類は作成していない」と述べた。

　男は最終意見陳述で「職を失うリスクを負ってまで虚偽の書類を作成することはない」と述べた。
福島民友新聞社",[],[]
女湯の脱衣所に侵入、北海道警派遣の巡査起訴　福島・地検いわき支部（福島民友新聞）,https://news.yahoo.co.jp/articles/54750902b611c159a2454732c8a3dcf8ab8be1a5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-03-01T09:55:55+09:00,2025-03-01T09:55:55+09:00,福島民友新聞,minyu,福島民友新聞,152,"富岡町のホテルで女湯の脱衣所に侵入したとして、地検いわき支部は28日、建造物侵入の罪で札幌市、北海道警機動隊巡査の男（24）を起訴した。男は東京電力福島第1原発などの警戒のため、北海道警から短期派遣中だった。

　起訴状によると、男は2月7日、ホテルの女湯の脱衣所内に侵入したとしている。
福島民友新聞社",[],[]
「ヨークパーク」先行オープン　開店直前600人の行列　福島・ヨーカドー郡山店跡地（福島民友新聞）,https://news.yahoo.co.jp/articles/c4225a6389e3b2e3e636874ea6b2d1af5b0f479e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250301-00010006-minyu-000-1-view.jpg?exp=10800,2025-03-01T09:52:24+09:00,2025-03-01T09:52:24+09:00,福島民友新聞,minyu,福島民友新聞,1095,"一部テナントが先行オープンしたヨークパーク。ヨークベニマル西ノ内店はレジ待ちの買い物客でごった返した＝28日午前、郡山市
福島県郡山市の旧イトーヨーカドー郡山店跡でヨークベニマル（郡山市）が運営する商業施設「ヨークパーク」は28日、ヨークベニマル西ノ内店など1階の一部テナントが先行オープンした。開店前から約600人が列を作るなど、初日から大勢の客でにぎわった。

　先行オープンしたのはユニクロを除く西ノ内店など1階の11テナント。郡山店にあったベーカリーロミオとミスタードーナツも再び開店した。

　各店舗では開店に合わせたセールなども行われている。

　ユニクロと2～4階を合わせた残りの25テナントは14日のグランドオープンに合わせて開店する。

　ヨークパークはフロア別に1階が「食品・アパレルゾーン」、2階が「アパレル・雑貨・カフェゾーン」、3階が「服飾・コスメ・雑貨ゾーン」、4階が「キッズ・カルチャー・飲食ゾーン」。4階にはキッズゾーンや授乳室も設ける。
ヨークパーク「心待ち」
行列を作り先行開店を待つ買い物客＝28日午前、郡山市西ノ内
待ちに待った開店となった。28日に一部テナントが先行オープンした郡山市の商業施設「ヨークパーク」。旧イトーヨーカドー郡山店の閉店から9カ月余り。来店者は待望の”再オープン”を喜ぶとともに、今月14日のグランドオープンを心待ちにした。

　開店初日は午前7時ごろから店舗前に行列ができ始めた。開店直前には約600人が並び、混雑具合から当初の予定より20分前倒しして店舗をオープン。一番乗りしたいずれも同市の主婦原田節子さん（65）と友人の自営業大塚彩花さん（49）は「イトーヨーカドーに足を運んでいたので、開店を心待ちにしていた。食品などの品ぞろえが楽しみ。これからも定期的に来たい」と声を弾ませた。

　ご当地パン「クリームボックス」の発祥の店とされるベーカリーロミオは、郡山店の閉店の際に最大3時間待ちの列ができたことから、販売ブースを特設して対応。閉店の際と同様にクリームボックスを3千個用意した。店舗を運営する三万石（郡山市）の常務執行役員福田英昭さん（51）は行列を見ながら「閉店後も購入を希望する方から問い合わせが多数寄せられ、心苦しい思いがあった。ようやくこの日を迎えることができた」と感謝した。

　ヨークベニマル西ノ内店は開店を記念して3日まで、日替わりでお買い得品を販売するなどキャンペーンを展開する。マスター店長の吉田恒男さん（56）は「さまざまな世代の方々が集うお店を目指していきたい」と語った。
福島民友新聞社",[],[]
福島県産米2年連続「特A」なし　24年食味ランキング、全5銘柄「A」（福島民友新聞）,https://news.yahoo.co.jp/articles/6061bb2fe84f62301e76181e46db82c9806a628b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250301-00010005-minyu-000-1-view.jpg?exp=10800,2025-03-01T09:11:46+09:00,2025-03-01T09:11:46+09:00,福島民友新聞,minyu,福島民友新聞,951,"福島県
日本穀物検定協会は28日、2024年産米の食味ランキングを発表した。本県は会津、中通り、浜通りのコシヒカリに、天のつぶ、ひとめぼれを加えた5銘柄全てが「A」となり、2年連続で5段階評価の最上位となる「特A」を逃した。

　産地や品種などで区分した143銘柄の食味官能試験を実施した。本県5銘柄のうち、会津と浜通りのコシヒカリ、ひとめぼれの3銘柄は前年と変わらず、中通りのコシヒカリと、天のつぶは「Aダッシュ」から1ランク上がった。本県の特Aの獲得数は17～20年産まで4年連続で日本一だったが、21年産は2銘柄、22年産は1銘柄と減少。記録的な高温が影響した23年産に続き、24年産もゼロだった。

　全国では、特Aは前年より4銘柄減り、39銘柄となった。特Aが40銘柄を下回るのは11年ぶり。昨年8月下旬から西日本の産地が厳しい残暑に見舞われたことが響いた。一方、東北、北陸の産地では昇格する銘柄が目立ち、東西で明暗が分かれる結果となった。

　関西以西で16銘柄がランクを下げた。特AからAに下がったのは、福岡の「元気つくし」や大分（豊肥）の「ヒノヒカリ」など7銘柄。23年産で特Aだった一部の銘柄は、品質を確保できないなどの理由で申し込みがなかった。

　Aから特Aに昇格したのは、宮城の「つや姫」や山口の「きぬむすめ」など6銘柄。高温でも品質や収穫量が落ちにくい「高温耐性品種」が中心だった。特AとAでは、北海道、東北、北陸産の計12銘柄がランクを上げた。

　協会によると、猛暑に備え、田んぼに水を掛け流したり、収穫時期を早めたりといった対策が食味の改善につながった。担当者は「これまでの作付けはコシヒカリが多かったが、高温耐性品種の占める割合が増えている。今後もその傾向が続くだろう」との見通しを示した。

　　　　　　　　　　◇

　コメの食味ランキング　コメの消費拡大などを目的に、日本穀物検定協会が1971年産から実施している調査。複数産地のコシヒカリをブレンドしたコメを基準として、銘柄ごとに炊飯後の外観、香り、味、粘り、硬さ、総合評価の6項目を比べて採点。最上位を「特A」として5段階に分類している。一定以上の作付面積または収穫量がある銘柄が評価対象となる。
福島民友新聞",[],[]
手形や小切手「電子化」　福島県内15金融機関連携へ（福島民友新聞）,https://news.yahoo.co.jp/articles/62e49b999629ff5c31b0b2d13fa8c9c5d3e0b884,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250301-00010004-minyu-000-1-view.jpg?exp=10800,2025-03-01T09:09:26+09:00,2025-03-01T09:09:26+09:00,福島民友新聞,minyu,福島民友新聞,445,"福島県
県内に本店を置く地方銀行や信用金庫など15金融機関は3日から、手形や小切手の全面的電子化に向けた連携に乗り出す。チラシを共同で作成し、各金融機関の窓口などで電子決済手段への移行を顧客に呼びかける。28日、金融機関が共同発表した。

　政府が2026年度末までに手形、小切手の利用を廃止する方針を示したことを受けた取り組み。電子化により現物を紛失するリスクが減るほか、押印や発送、保管にかかる事務負担を軽減できる。場所を選ばず非対面で利用でき、支払い側と受け取り側双方にメリットがある。各金融機関は、代替手段として電子記録債権やインターネットバンキング振り込みへの切り替えなど、顧客の決済手段の移行を共同で支援する。

　連携金融機関次の通り。

　会津商工信用組合、会津信用金庫、あぶくま信用金庫、いわき信用組合、郡山信用金庫、白河信用金庫、須賀川信用金庫、相双五城信用組合、大東銀行、東邦銀行、二本松信用金庫、ひまわり信用金庫、福島銀行、県商工信用組合、福島信用金庫
福島民友新聞",[],[]
電気料金、366円値上げ　東北電力・4月分（福島民友新聞）,https://news.yahoo.co.jp/articles/c021cd76b399300ac3567d9cbbfbfd938479f177,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-03-01T09:07:08+09:00,2025-03-01T09:07:08+09:00,福島民友新聞,minyu,福島民友新聞,272,"東北電力が28日までに発表した4月分（3月使用分）の電気料金は、多くの一般家庭が契約する規制料金プラン「従量電灯」の平均的なモデル（契約電流30アンペア、使用電力量260キロワット時）では3月分（2月使用分）から366円高い8485円となる。

　一部の家庭が契約する自由料金プラン「よりそう＋eねっとバリュー」は、886円上昇の8430円だった。

　政府の電気・ガス料金支援に基づく特別措置の補助単価が減額されたほか、自由料金プランに反映されていた女川原発（宮城県女川町、石巻市）2号機の再稼働を受けた「感謝割引」が終了した。
福島民友新聞",[],[]
パソコン修理名目で不正アクセス、保原町商工会が390万円詐欺被害　福島・伊達（福島民友新聞）,https://news.yahoo.co.jp/articles/1034b1bec64b5a86d0d41940d1d5c3456e6ba308,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-03-01T07:56:40+09:00,2025-03-01T07:56:40+09:00,福島民友新聞,minyu,福島民友新聞,441,"伊達市の保原町商工会は28日、パソコンの修理名目で不正アクセスされ、390万円をだまし取られる「なりすまし詐欺」被害に遭ったと発表した。

　同商工会によると、昨年8月26日、職員が操作していたパソコンに警告画面が表示された。画面上の電話番号に連絡したところ、マイクロソフト社の社員を名乗る男の指示でパソコンに遠隔操作できるソフトウエアをインストールされ、インターネットバンキングで預金口座から3回にわたり計390万円が不正送金されたという。同商工会は伊達署や金融機関などに被害を報告、相談した。個人情報の漏えいなどがあるかどうかの確認を進めた。現段階では情報漏えいは確認されていないが、引き続き調査を進めるという。

　同商工会は2月26日に臨時理事会を開き、役員に経緯を説明、28日には今回の詐欺被害についての説明文書を全会員に発送した。同商工会の帆苅聖子事務局長は「今回の事態を重く受け止め、セキュリティー対策の強化に取り組み、信頼回復に努めたい」としている。
福島民友新聞社",[],[]
知人女性への傷害、車両監禁の疑いで23歳男逮捕　福島・白河（福島民友新聞）,https://news.yahoo.co.jp/articles/036fa1b23c09ccb9c3a0a73540d02a58d9174685,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-03-01T07:53:39+09:00,2025-03-01T07:53:39+09:00,福島民友新聞,minyu,福島民友新聞,220,"白河署は28日午前8時10分ごろ、傷害と監禁の疑いで白河市文珠山、無職の男（23）を逮捕した。

　逮捕容疑は2月21日午後7時40分ごろ、福島県白河市のコンビニ駐車場で県南地方在住の20代会社員女性の首を絞めてけがを負わせ、車両に監禁した疑い。

　同署によると、男と女性は知人関係。女性がコンビニで買い物して車に戻ったところ、車両の後部座席に男が座っていた。女性は男の指示に従い、白河市内外を約1時間にわたって車を運転させられたという。",[],[]
郡山アパート強盗、被害女性の部屋を狙ったか　目隠し、手を拘束して脅す　福島（福島民友新聞）,https://news.yahoo.co.jp/articles/46b1bad69fe1941bba131f293ff7fe3b86c47d55,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-03-01T07:51:22+09:00,2025-03-01T07:51:22+09:00,福島民友新聞,minyu,福島民友新聞,383,"福島県郡山市富久山町久保田字古町のアパートで2月26日夜、20代女性が刃物を持った男から脅され、キャッシュカード数枚を奪われた強盗事件で、逃げた男は女性方に狙いを定め、窃盗目的で侵入した可能性があることが28日、捜査関係者への取材で分かった。

　捜査関係者によると、現場は住宅街にあるアパート。男は事前に室内の状況を知った上で侵入した可能性があり、室内は荷物が荒らされたような形跡があったという。また、男は帰宅した女性に目隠しをした上で脅したとみられることも捜査関係者への取材で判明した。男は女性の手を縛った上で、「騒いだら殺すぞ」などと脅したという。

　郡山北署によると、男は40～50代くらいで、身長は約175センチ。髪の毛は黒。黒のサングラス、白マスク、黒っぽい服、黒のズボンと白のトートバッグを身に着けていた。女性は男と面識がないという。
福島民友新聞社",[],[]
