headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「とやま環境賞」防災や温暖化防止を啓発（富山テレビ）,https://news.yahoo.co.jp/articles/16408693339470e73d1b83df035534f53684a7a9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020105-bbt-000-2-thumb.jpg?exp=10800,2025-03-04T18:53:02+09:00,2025-03-04T19:00:02+09:00,富山テレビ,bbt,富山テレビ,1143,"富山テレビ放送
富山・水・文化の財団とBBTが贈る「とやま環境賞」の受賞者を紹介しています。
今回は、優秀活動賞、防災や温暖化防止の啓発活動に取り組む高岡市の男性とジュニア活動賞、富山市の宮野小学校5年生を紹介します。


【気象防災アドバイザー 岩嵜利勝さん】
防災の知見を兼ね備えた気象の専門家として国土交通大臣から気象防災アドバイザーの委嘱を受けている岩嵜利勝さんです。
地域住民を対象に河川の浸水被害などへの適切な対応に関する啓発活動に取り組んでいます。

＊気象防災アドバイザー 岩嵜利勝さん
「千保川沿いが一番浸水の高さが高いので、千保川の周りと小矢部川の周りの方はちょっと気をつけてください」

地形などによって異なる地域ごとの災害リスクを住民が把握し、それに基づいた避難計画や防災対策の必要性を訴えています。

＊気象防災アドバイザー 岩嵜利勝さん
「教育として一番知ってほしいし、身を守ることって一番大事なことだと思いますので、そこに暮らすものとしてぜひ知ってほしいことなので」

岩嵜さんはまた、元中学校教諭の経験と気象予報士の知識を生かし、県の地球温暖化防止推進員として小学校などを回り、環境教育にも力を入れています。

＊気象防災アドバイザー 岩嵜利勝さん
「去年の夏は暑かった。この二酸化炭素の増え方、メタン、二酸化炭素が増えているというデータがある。このデータと先ほどの二酸化炭素の増加は地球温暖化の状況がよく似ていると」
「地形的な現象というのは結構ある。地域に合った形で説明できるように自分も勉強していきたい」


【ジュニア活動賞 宮野小学校5年生】
宮野小学校の5年生56人は、去年9月、地域を流れる合場川に出かけ、生き物調査をしました。

川で生き物を捕まえるのは初めてという児童も多い中、魚津水族館の学芸員のアドバイスのもと挑戦。
10種類以上の生き物と出会いました。

＊学芸員
「カマツカと言うコイ科の魚。よく見ると口にヒゲが生えている」

その場で生き物の種類や名前、特徴を教えてもらい、ますます興味を持った児童たち。

＊学芸員
「激レア種！アカザですね」

貴重な在来種も外来種も同じ川にいることを知りました。

児童たちは捕まえた生き物を学校に持ち帰り、飼育することにしました。

＊児童たち
「どうやって育っていくのか楽しみ」
「カニとか種類がたくさんあるので、みんなで協力して楽しく飼育したい」

水換えやエサやり、観察記録などを通し、生き物を育てることは命を大切にする責任のある事だと気づいた児童たち。
学んだことを近くの保育所との交流会で小さい子供たちにも伝え、身近な川の環境を大切にする心をはぐくんでいます。
富山テレビ放送",[],[]
“逮捕術”日本一の富山県警チーム（富山テレビ）,https://news.yahoo.co.jp/articles/7117efcaa41ed741c6b3ba104d18a5f40f78c499,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020103-bbt-000-1-thumb.jpg?exp=10800,2025-03-04T18:53:02+09:00,2025-03-04T18:53:02+09:00,富山テレビ,bbt,富山テレビ,1205,"富山テレビ放送
「逮捕術」とは何かご存知でしょうか。
言葉の通り、犯人を取り押さえるための警察独自の武術なのですが、その技術を競う全国大会で富山県警が日本一になりました。
強さの秘訣とは…。

抵抗する犯人を安全に取り押さえるための「逮捕術」。
柔道や剣道などを組み合わせた独自の武術で、警察官には欠かせない技術です。

その逮捕術を競う全国大会が去年11月に開かれ、19の県警で争う「第3部」の団体で富山県警チームが優勝しました。
優勝は2010年以来14年ぶり5度目です。

逮捕術の大会にはある特徴があります。

徒手と呼ばれる手に何も持たない人同士の対戦のほかに…、徒手と短い刀を持った人の対戦、警棒と短い刀を持った人の対戦など、必ずしも装備が平等ではありません。

「やあー！」

徒手同士で戦う種目で出場した県警の石野成美さん。

７人の男女による団体戦の先鋒、一番手を務めました。

※富山南警察署　石野成美さん
「毎回、先鋒なのですごい緊張する。後ろのメンバーがみんな強いので、私が負けなければ勝てると監督に言われてきた」

石野さんは、普段、富山南警察署の富南交番に勤務しています。

山岳警備隊を目指し、茨城から移住した石野さん。
ロッククライミングで培ったパワーをかわれ、全国大会に出場する特別訓練員に選ばれました。

訓練員は大会までの半年間、すべての勤務時間を稽古にあてることができます。

※富山南警察署　石野成美さん
「（逮捕術は）そもそも知らなかった。警察学校に入ってからだった。こんな武術あるんだと思った」
「暴れている人の対応で逮捕術が出てしまう。すぐに反射で出てきて役に立っている」


同じく富山南警察署に所属する橋本美咲さんも優勝メンバーの１人です。

警棒同士の試合に出場しましたが、小さいときから習っていたのは柔道でした。

※富山南警察署　橋本美咲さん
「もともと柔道をしていたので、逮捕術には投げもあるので投げを活かすために逮捕術に入った」

日本一に輝いてから3カ月後の稽古。
この日は優勝メンバー同士で模擬試合を行いました。

「はじめ！」

徒手徒手の石野さん、後輩との試合です。

相手の胴や肩などに有効打を決め、2本先取した方が勝者となりますが…

「ピピー！」

2分間で決着がつかず、引き分けとなりました。

※石野成美さん
「私は守り守りで、2分間全部の時間を使って、守りだけ考えて動いている」

この日本一のチームをまとめるのが長原竜太監督です。長原監督自身もかつて逮捕術の特別訓練員で、14年前の優勝メンバーでした。

※長原竜太監督（県警　警務部教養課）　
「富山県は絶対優勝できるというのは毎回、選手に言っているので、嬉しかったし、来年度も優勝目指して頑張りたい」

富山県警、史上初の大会連覇を目指し、挑戦が続きます。
富山テレビ放送",[],[]
富山県氷見市の人口が初の4万人割れ 市長「想定より早く進んでいる」能登半島地震の影響は今後詳しく調査（富山テレビ）,https://news.yahoo.co.jp/articles/d8590d06fc495ebafb5381137ad0af4676251b52,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020104-bbt-000-2-thumb.jpg?exp=10800,2025-03-04T17:57:01+09:00,2025-03-04T18:43:02+09:00,富山テレビ,bbt,富山テレビ,658,"富山テレビ放送
氷見市の人口が初めて4万人を割り込みました。
県が、今月3日に発表した先月1日時点の推計人口で3万9930人となり、菊地市長は「想定より早く人口減少が進んでいる」と危機感を露わにしました。

4日、定例会見に臨んだ氷見市の菊地正寛市長。
冒頭...。

＊氷見市　菊地正寛市長
「当初の想定よりもはやく人口減少が進んでいる。未来の氷見市のために人口減少対策にスピード感を持って『オール氷見』で取り組みたい」

前月から107人減少し、人口が3万9930人と初めて4万人を割り込んだ氷見市。
加速する人口減少について、菊地市長は「能登半島地震後の市外への大幅な転出はデータとしては確認されておらず、影響が大きいとは考えていない」としながらも、今後より詳しく調査する考えを示しました。

人口が4万人を下回ったことについて、被災地の住民は...。

＊氷見市北大町の住民
「(人口減は)地震のせいかなと思った。(町内の)友達は高岡に行って家を建てると聞いている。後先どうなるのかみんな不安に思っているけれどどうにもならない」

氷見市は去年4月、有識者で作る民間組織「人口戦略会議」が公表した全国の自治体の持続可能性をまとめた分析結果で「消滅の可能性がある自治体」とされました。
市は、新年度、組織改編を行い、実効性のある人口減少対策を推進する「未来戦略課」を新設するとともに、先月、選定した液状化の対策工法について具体的な検討を進める「液状化対策担当」を設け、対応することにしています。
富山テレビ放送",[],[]
過去1年間の犯罪発生場所や日時等表示…富山県警から防犯アプリ『とやまポリス』特殊詐欺対策の独自機能も（富山テレビ）,https://news.yahoo.co.jp/articles/e912bbded35a96e1a9f39b55accb4432df277ae4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020106-bbt-000-4-thumb.jpg?exp=10800,2025-03-04T17:53:01+09:00,2025-03-04T18:59:02+09:00,富山テレビ,bbt,富山テレビ,719,"富山テレビ放送
事件・事故の発生通知や特殊詐欺相談など、県警は初めてとなる公式の防犯アプリを開発し、運用を始めました。

県警が4日から運用を始めたスマートフォン向け防犯アプリ「とやまポリス」。
1300万円をかけ、開発されました。

位置情報を活用し、地図上で自分の住む地域の犯罪・不審者・交通事故などの情報を確認することができます。

犯罪は過去1年までさかのぼり、発生した場所に、種類別にアイコンが表示されます。
アイコンをタップすれば、発生日時に加え、個人でできる対策も紹介されます。

防犯ブザーの機能も搭載。
大きな音で異常を知らせ、事前にアプリに家族などを登録しておけば、防犯ブザーを鳴らしたときの自分の位置情報が通知されます。

さらに...。

＊リポ－ト
「アプリは増加する特殊詐欺の防止の機能が充実しています。こちらをタップすると、チャット形式で疑わしいやりとりについて相談することができます。質問に答えていくと、アプリが特殊詐欺の可能性を判定してくれます」

判定画面には警察の連絡先が書かれていて、特殊詐欺と思われる内容をそのまま警察に通報することができます。

県警によりますと、すでに22の都道府県の警察も防犯アプリを運用していますが、特殊詐欺対策は富山県警独自の機能です。

＊県警　高木正人本部長
「県民に安全・安心に関する情報を届け、被害の未然、拡大抑止、交通事故防止につなげてほしい」

県警は、これまで運用してきた「安全情報ネット」のメール配信はスマートフォンを持たない人用に継続しますが、将来的にはサービスをアプリに一本化する可能性もあるとし、当面は2万ダウンロードを目指します。
富山テレビ放送",[],[]
近畿大学 浦山（富山市出身） 角界入り　音羽山部屋に 入門（富山テレビ）,https://news.yahoo.co.jp/articles/2e313fbf0f0bcb7de1c6ae6de2648c3e075a34f5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020107-bbt-000-2-thumb.jpg?exp=10800,2025-03-04T17:51:01+09:00,2025-03-04T18:41:02+09:00,富山テレビ,bbt,富山テレビ,752,"富山テレビ放送
富山市出身で近畿大学4年の浦山秀誠さんが、元横綱の鶴竜が師匠を務める音羽山部屋に入門することが決まりました。
浦山さんは「先輩の朝乃山を越えたい」と意気込みを語りました。

＊中田彩アナウンサー
「大阪府東大阪市の近畿大学に来ています。朝乃山と同じこの近畿大学から、県勢でまたひとり大相撲の世界に進みます。このあと入門会見が行われます」

音羽山部屋への入門が決まった富山市出身の浦山秀誠さん。
師匠である元横綱・鶴竜とともに会見に臨みました。

＊音羽山部屋に入門　浦山秀誠さん
「日々稽古に精進して一日でも早く関取になれるように精一杯頑張りますので、応援よろしくお願いいたします」

浦山さんは、朝乃山の高校時代の恩師・浦山英樹さんの長男で、朝乃山と同じ呉羽中学校から富山商業高校を経て、近畿大学に進学しました。

大学の相撲部では主将を務め、全国大会では個人・団体で好成績をおさめたため、大相撲の幕下付け出し資格を取得しています。

＊元横綱・鶴竜　音羽山親方
「これだけの立派な体がありますので、体をいかして前にどんどん出る魅力のある相撲がある。そこに技術的なものを覚えれば上に上がってくる」

浦山さんは来月から音羽山部屋で稽古を行い、五月場所からのデビューを目指します。

＊音羽山部屋に入門　浦山秀誠さん
「朝乃山を越えたいという意味では目標。人気というわけではないが、たくさんの方から愛される力士になりたい。1場所でも早く関取になって、相撲界も地元富山も盛り上げられる力士になりたい」

浦山さんが目標にしたいと語った朝乃山は、三月場所で復帰予定で、浦山さんがデビュー予定の五月場所では、幕下付け出しの浦山さんと朝乃山が対戦する可能性もあるということです。
富山テレビ放送",[],[]
ヨネックスがバドミントンのラケット製造で新工場建設へ 富山県立山町に約100人規模で再来年竣工目指す（富山テレビ）,https://news.yahoo.co.jp/articles/75236544f21bed17ecc5296d959fcfa338ffa6f5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020102-bbt-000-3-thumb.jpg?exp=10800,2025-03-04T17:41:01+09:00,2025-03-04T18:42:01+09:00,富山テレビ,bbt,富山テレビ,970,"富山テレビ放送
スポーツ用品メーカー大手のヨネックスが立山町にバドミントンのラケットの製造工場を建設することを発表しました。
約100人規模の工場で再来年の竣工を目指します。

4日、ヨネックスは立山町と進出協定を結び、新工場の計画を明らかにしました。

＊ヨネックス　アリサ・ヨネヤマ社長
「この度、富山県立山町に新工場を建設することを決めました。新潟に加え、ここ富山、立山町の大地でも広い空にしっかり手を伸ばしてさらなるイノベーションに挑戦していきます」

計画によりますと、新工場は北陸自動車道の立山インターチェンジ近く。
立山町沢端・野町地区の約2万6千平方メートルの町有地に建設します。

製造するのはバドミントンのラケットとストリングで、現在、新潟県と埼玉県にある工場の生産量の約3割にあたる量を増産する計画で、完成は2027年を目指すとしています。

従業員約100人のうち、地元採用は80人程度を見込んでいます。

ヨネックスは中国などのアジアを中心とした近年のバドミントン人気の高まりを背景に、今期の売り上げが過去最高となっています。

特にバドミントン用品の需要が伸びていて、今回、創業の地・新潟県からも近くバドミントンスポーツが盛んなことなどから富山県を建設場所に選んだということです。

＊ヨネックス　アリサ・ヨネヤマ社長
「富山は自然の美しさと文化の豊かさが調和するすばらしい地域。バドミントンが盛んなこの地にご縁をいただけたことに感謝し、私たちヨネックスもここ富山県でバドミントンをはじめとするスポーツのさらなる発展に貢献できればと考えている」

ヨネックスは去年7月には、拠点の新潟県長岡市の工場横に、テニスやバドミントン選手の動作や打球を分析し、最短24時間で試作品を作ることができる研究開発施設を新設するなど、世界トップの製品づくりに注力するともに、ジュニアの育成にも力を入れています。

＊舟橋貴之立山町長
「世界に通じる会社がここにあると思って、子どもたちが残ってもらうのもいいし、外に出ている若い人たちがふるさと立山に戻ろうと思ってくれればなおさらいい」

今回の立山町への工場進出によって、今後は町とも連携してバドミントンやテニスなどのスポーツの振興につなげていきたいとしています。
富山テレビ放送",[],[]
農協直営店でも『コメの買い占め』業者とみられる人物が一度に大量購入 玄米の販売を休止し一般客にも影響（富山テレビ）,https://news.yahoo.co.jp/articles/158555d6f405dd349ea655bbf607138781ce8dce,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020101-bbt-000-2-thumb.jpg?exp=10800,2025-03-04T17:20:01+09:00,2025-03-04T18:49:02+09:00,富山テレビ,bbt,富山テレビ,1029,"富山テレビ放送
コメの価格高騰が家計を苦しめる中、国は備蓄米の入札を今月10日から始めます。
県産米もその対象になることをお伝えしましたが、本当に値下げにつながるのか、県内の直売所では「ある異変」も起きていました。

4日午前9時前。行列ができていたのは地元で人気の直売所。スーパーより安くて新鮮な食材を求め、開店から賑わいますが…。
コメ売り場では、「コシヒカリ」が10kg税込み7000円で販売されていました。


3日、農水省が発表した全国のスーパーでの平均価格は5キロあたり3939円。
前の週に比べ、47円上昇し、8週連続の値上がりとなりました。（※2月17～23日まで）
去年と比べると2000円近く、94％の上昇です。
この店でも、やむを得ず今月値上げに踏み切ったそうです。

※客は
「4人家族　1カ月で10kg消費する」
Ｑ．1か月前と比べ値段は？
「上がっている　（直売所は）ちょっと安い気はする」

Ｑ．県産米も放出されるが？
「以前の値段まで下がればいいと思うが、難しい」

売り場には、異変も…。

※長島キャスター
「直売所なのに玄米の袋がない」「玄米販売を休止し、精米のみ…制限が続いている」

農協直営にもかかわらず玄米の販売がない理由。

店の人によると、今月業者とみられる人物が一度に大量に買っていくなど買占め行為が確認されたため、止むを得ない措置だといいます。

親族が農家というこちらの女性は。

※客は
「なんでこんなに高いのか不思議と言っていた」
「（備蓄米放出後も）値段は下がらないと思う　買占めもあり　このくらいの放出では下がらないのでは」

背景にあるのは備蓄米の「買戻し」条項です。

江藤農水大臣は、今年の収穫状況が見通せないとして、一時的に市場へ放出した同量のコメを買い戻す時期は1年にこだわらないとしていますが、卸業者などによると、短期的に値下がりしても再びコメ不足になる懸念がぬぐい切れず、一部に投機的な動きが残るのではとしています。

ＪＡ富山中央会は、上部団体の全農が備蓄米の入札に参加していて、量や価格について「現段階でコメントできない」として、県内のコメ価格が安定するのか見通せないとしています。

一方、県内の農家からは高騰する燃料や肥料代で再び、コメ価格が低迷するとコメ作りが続けられなくなるという声も。
間もなくはじまる今年の稲作を前に、農業の現場が揺れ動いています。
富山テレビ放送",[],[]
野菜のお値段　高値続く中「春を告げる野菜」入荷（富山テレビ）,https://news.yahoo.co.jp/articles/c1c5fbd6eb2bdf148c8a336a458c46986be70f78,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020100-bbt-000-1-thumb.jpg?exp=10800,2025-03-04T16:49:01+09:00,2025-03-04T16:49:01+09:00,富山テレビ,bbt,富山テレビ,1153,"富山テレビ放送
野菜の高値が続いていますが、市場では、春を告げる野菜が入荷し始めていました。

お買い得野菜も調査してきました。「追跡！野菜のお値段」。

※吉國唯アナウンサー
「この時期もう少しあってもいいはずの地物野菜が少ないですね」

※野菜一筋41年　大松青果　大井山行雄会長
「シロナとホウレンソウと春菊だけの入荷。この状況は今月いっぱい続く見込み。豪雪により収穫の時期が遠のいた。2月に入って続いた雪の影響があと1カ月くらい続く見込み」

一方で、県外からは、春野菜が続々と入荷し始めていました。

※大松青果　大井山行雄会長
「キュウリは去年の10月～今年の5月まで高知県産のキュウリが中心となるが、先週から春キュウリが入荷し始めた。入荷量も高知のキュウリよりも群馬の春キュウリの方が多い。価格も2割弱下がっている」
「関東からのキュウリは1日で届くが、高知からは2日かかるためイボがついていない」

※吉國アナ
「イボがついている方が鮮度が良いんですね」

そして、ハクサイ。高値が続いていますが、茨城県産に加え、長崎から入荷が始まり、価格は少し落ち着きました。

※大井山会長
「九州のハクサイの入荷が始まり、安くなった」
※吉國アナ
「形が違う？」
※大井山会長
「巻きが緩い。一株約600円。例年と比べるとまだ倍」

産地の違うハクサイを比べてみると…。

※吉國アナ
「重さも2倍近く違う。どちらがおいしい？」

※大井山会長
「鍋だと茨城県産。炒めものや浅漬けなどは春ハクサイがおすすめ」

さらに、「あの果物」がお買い得に！

※大松青果　大井山行雄会長
「イチゴもハウス栽培で、天候がよくなったため収量が増え、お買い得な価格になってきた。愛知県や岐阜県からの入荷が増えてきている」

「１パックいくら？」
※大松青果　大井山行雄会長
「498円。特売で398円のイチゴも出てくる。去年は1000円の時もあったため、半分くらいの値段に」


※大松青果　大井山行雄会長
「きょうの注目野菜は愛知県産のトマト。トマトがおいしい時期」

今回は、丸ごとトマトの炊き込みご飯を作ります。材料はこちらです。

トマトはヘタをとり、切れ込みを入れます。

鍋に米、トマト、タマネギ、ベーコンを入れ、コンソメ・塩コショウで味付け。

トマトから水分が出るので水はメモリより少し少なめに入れるのがポイントです。

炊き上がったら、白ワインを加え、よく混ぜれば完成です。

「トマトが濃厚でおいしい」
「選びかたは、色ムラなくツヤとハリがある」


さて、市場での取引価格、先週との比較では値段が下がったのは、ハクサイ・レタス・キュウリなど。
ダイコンはまだ高値が続いています。
富山テレビ放送",[],[]
川除選手（富山市出身）がW杯総合優勝　来年のパラリンピック金メダルに意欲（富山テレビ）,https://news.yahoo.co.jp/articles/65b7046daeac35d1da4c07b4dedb99aef58c96aa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020098-bbt-000-2-thumb.jpg?exp=10800,2025-03-04T14:21:01+09:00,2025-03-04T16:35:01+09:00,富山テレビ,bbt,富山テレビ,369,"富山テレビ放送
パラクロスカントリースキーのワールドカップは、今シーズンの最終戦が2日終了し、男子の立って滑るクラスで、富山市出身の川除大輝選手が3シーズン連続の総合優勝を果たしました。

北京大会の金メダリスト川除大輝選手は、今シーズン、立って滑るクラスの男子10キロクラシカルで、ワールドカップ第2戦で2位。ポイントにカウントされる世界選手権で金メダルを獲得するなど、安定した結果を残し、ワールドカップ総合優勝を果たしました。

川除選手の総合優勝は3シーズン連続で、川除選手は「総合優勝をする事ができたので嬉しく思います。まだまだ実力不足な部分がたくさんあるので、来年のパラリンピックに向けて強化をしていきたいです」とコメントし、来年のミラノ・コルティナ大会へ向けて、2大会連続の金メダルを目指す意欲を見せています。
富山テレビ放送",[],[]
「大きくなって戻ってきてね！」児童たちが自ら育てたサケとサクラマスを放流（富山テレビ）,https://news.yahoo.co.jp/articles/5c7910766a9b6ab465e34a60353d74b22cccc441,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250304-90020097-bbt-000-2-thumb.jpg?exp=10800,2025-03-04T14:20:02+09:00,2025-03-04T16:36:01+09:00,富山テレビ,bbt,富山テレビ,517,"富山テレビ放送
早春のこの時期ならではの話題が届きました。
舟橋村の舟橋小学校では地元の自然を豊かにしようと、児童が自分たちで育てたサケとサクラマスの稚魚を川に放流しました。

舟橋小学校では、9年前から授業の一環で、児童がサケなどの稚魚を学校の水槽で育てています。

今年度も去年12月に富山漁業協同組合からサケとサクラマスの卵あわせて450個を譲り受け、ふ化した後、水換えやエサやりをするなどして大切に育ててきました。

4日は6年生の児童28人が体長4センチほどに育った稚魚を運び出し、学校の近くの細川に放流しました。

「大きくなって戻ってきてね！」
「バイバーイ　またねー」

稚魚を放流した児童たちは、しばらく名残惜しそうに川を眺めていました。

※児童
「大きくなってまた帰ってきてほしいなと思いながら放流しました」
「一生懸命育ててきて、サケを放流するというのはとても悲しくて、でも何年後かにはここに戻ってくることを祈って放流しました」

これは舟橋小学校の「よりすてきな舟橋村を作っていこう」という活動のひとつで、このほか、蛍を増やす活動や地元の公園に植物の苗を植える活動も行っているということです。
富山テレビ放送",[],[]
