headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
大切な家族へ「みんな元気でやってるよ」…東日本大震災１４年、被災地で追悼式（読売新聞オンライン）,https://news.yahoo.co.jp/articles/ffda6cdfee66d76a3778536265f6a4f86cf8a63f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050165-yom-000-5-view.jpg?exp=10800,2025-03-11T23:54:17+09:00,2025-03-12T00:17:38+09:00,読売新聞オンライン,yom,読売新聞オンライン,1507,"東北の被災地では１１日、各地で追悼式が行われた。遺族らは大切な家族を悼み、前向きに生きようと誓った。
亡き夫と長男へ「安心して」
地震が発生した午後２時４６分に合わせ、黙とうをささげる宮田さん（中央）（１１日、岩手県釜石市で）
岩手県釜石市鵜住居町の追悼施設「釜石祈りのパーク」前広場で開かれた式典では、遺族代表の宮田キナヱさん（７６）が亡き夫と長男に「元気に頑張っています」と語りかけた。
宮田さんは市内で車を運転中、大きな揺れを感じ、急いで内陸の自宅に戻った。一緒に廃棄物処理会社を営む夫の光行さん（当時７０歳）と長男の豊さん（同３２歳）の姿はなかった。
優しくておしゃれだった光行さん、家業を継ぐために神奈川県から戻ってきてくれた豊さん。海に近い事務所にいた２人は、建物とともに津波で流された。
遺体安置所に行った時、大声で泣いた。一方で、仮の事務所で事業を再開し、避難所のごみ収集に携わった。「仕事がなかったら悲しみに押しつぶされていた」と振り返る。２０１３年には市内の内陸部に事務所を再建した。
「安心してください。そして見守ってください」。これからも、月命日には２人の墓に出向き、そう伝えるつもりだ。
「もし、あの時…」葛藤今も
追悼の言葉を述べる久田さん（１１日、福島県相馬市で）
福島県相馬市の追悼式典では、祖父を亡くした久田浩之さん（４３）が遺族を代表して追悼の言葉を述べた。「寡黙で怖いけど、家族思いで仕事を人一倍するじいちゃんが大好きでした」。語ったのは祖父への思いと、今も抱える葛藤だった。
同市の「亀屋旅館」４代目の久田さんは、旅館を兼ねた自宅で寝たきりだった祖父・司（ひとし）さん（当時８８歳）を守らなければと行動した。
大きな揺れでガラスが割れ、壁が剥がれ落ちた。窓からは、１０メートルほどの黒い壁のような津波に家や船、人の乗った車が流されていく様子が見えた。「映画の中に入ったようだった」
司さんを何とか２階まで運び上げた。しかし、その時のショックで心臓大動脈瘤（りゅう）が破裂し、亡くなった。旅館の被害は床下浸水だった。「もし、じいちゃんを動かしていなかったら」と考えずにはいられなかった。
祖父の知人から責められたこともあった。「当時を思い出すと、どれが正解で何が間違いなのか、いまだにわかりません」。久田さんは自問自答し続けている。
東北の被災地では１１日、各地で追悼式が行われた。遺族らは大切な家族を悼み、前向きに生きようと誓った。
「今、好きなことを全力で」
宮城県石巻市の追悼式では、夫の健一さん（当時６２歳）と義母のいせのさん（同９２歳）を津波で亡くした高橋敦子さん（７７）が遺族代表として献花した。
「健一さんはわがままだけど、いつも優しくてたまにかっこいい人だった」。子ども２人も独り立ちし、「これから夫婦で旅行なども出来るかな」と考えていた矢先の震災だった。
追悼メッセージを書いた風船を飛ばす人たち（１１日、宮城県名取市で）＝横山就平撮影
「健一さんがいたらな」。夫婦を見るとそう思い、外に出るのがつらかった。毎年、追悼式などに参加する中で、「今、好きなことを全力でしよう」と考えるように。今は趣味のコーラスに励む。震災前年の１２月に生まれた初孫は、健一さんが好きだった野球を始めた。
「みんな元気でやってるよ。そっちも元気かい？」。花を供えながら、そんな会話が出来た気がした。
同県名取市閖上の伝承施設「閖上の記憶」で行われた追悼のつどいでは、「大好きだよ」「震災を忘れません」など犠牲者へのメッセージが書かれたハト形の風船など４６０個が一斉に空へ放たれた。",[],[]
カナダの鉄鋼・アルミ製品「関税５０％」に引き上げ…トランプ氏「１２日朝に発効」と投稿（読売新聞オンライン）,https://news.yahoo.co.jp/articles/ad67779f6691072304ebe7df42a4c39d4cebfb69,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050178-yom-000-2-view.jpg?exp=10800,2025-03-11T23:40:50+09:00,2025-03-12T00:44:30+09:00,読売新聞オンライン,yom,読売新聞オンライン,412,"トランプ氏＝ロイター
【ワシントン＝田中宏幸】米国のトランプ大統領は１１日、１２日に発動予定の鉄鋼・アルミニウム製品への２５％の追加関税について、カナダに対しては５０％まで引き上げるようラトニック米商務長官に指示したと明らかにした。カナダ東部オンタリオ州が１０日、米国の３州向けに供給する電力価格を２５％引き上げると発表したことを理由にあげた。
トランプ氏は自身のＳＮＳで「カナダから米国に流入する全ての鉄鋼とアルミにさらに２５％、合計５０％の関税を課すよう指示した。１２日朝に発効する」と投稿した。電力の供給先であるニューヨーク、ミシガン、ミネソタの各州に電力の国家緊急事態を宣言することも表明した。
またトランプ氏は、米国からカナダに輸出される乳製品に高い関税が課されていることへの不満も表明。「撤廃しない場合、４月２日に米国への自動車の関税を大幅に引き上げ、実質的にカナダの自動車製造業を永久に停止させる」と警告した。",[],[]
ウクライナ側、アメリカに「部分的な停戦」提案か…首脳会談の決裂後初の対面協議（読売新聞オンライン）,https://news.yahoo.co.jp/articles/bfff0cc7eebd86742e78cc424fcfabb7fb7c7051,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050173-yom-000-2-view.jpg?exp=10800,2025-03-11T23:09:06+09:00,2025-03-11T23:10:26+09:00,読売新聞オンライン,yom,読売新聞オンライン,656,"１０日、サウジアラビアのジッダで、ルビオ米国務長官（左）と会談するムハンマド・ビン・サルマン皇太子＝ロイター
【ワシントン＝淵上隆悠】ロシアのウクライナ侵略について協議する米国とウクライナによる高官協議が１１日、サウジアラビア西部ジッダで開かれた。２月２８日に米ウクライナ首脳会談が決裂した後、両国高官の対面協議は初めて。ウクライナ側は部分的な停戦を提案するとみられる。
米側はルビオ国務長官とマイク・ウォルツ国家安全保障担当大統領補佐官、ウクライナ側はアンドリー・イェルマーク大統領府長官とアンドリー・シビハ外相、ルステム・ウメロフ国防相が出席した。
協議に先立ち、ルビオ氏は１０日、ジッダに向かう専用機内で記者団に「停戦や終戦は双方の妥協がなければ実現しない」と語り、ウクライナ側に譲歩を行う用意があるかどうかを確認する方針を示した。
ウクライナのウォロディミル・ゼレンスキー大統領もサウジ入りしており、１０日にムハンマド・ビン・サルマン皇太子と会談した。
ウクライナ側は高官協議で、険悪となっている米国との関係を修復し、米国からの軍事支援と機密情報共有の再開につなげたい考えだ。ゼレンスキー氏は協議を前に「現実的な成果を期待している」とＳＮＳに投稿した。ルビオ氏は、協議次第で軍事支援を再開する可能性を示唆している。
ゼレンスキー氏は、停戦に向けた措置として「ミサイルや無人機によるエネルギー施設と民間施設への攻撃の停止」や「黒海での軍事作戦の停止」などを主張しており、米側にも同様の提案を行うとみられる。",[],[]
近畿の１４０郵便局、配送車両運転手への酒気帯び確認などの「点呼」に不備…法令違反の疑い（読売新聞オンライン）,https://news.yahoo.co.jp/articles/60ffc1176dd0a18f8562d01b9c1b1b4d89477203,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050163-yom-000-4-view.jpg?exp=10800,2025-03-11T22:55:48+09:00,2025-03-11T23:08:19+09:00,読売新聞オンライン,yom,読売新聞オンライン,436,"日本郵政グループ
日本郵便は１１日、近畿支社管内の１４０の郵便局で、法令で義務付けられた配送車両の運転手への点呼を適切に行っていなかったと発表した。貨物自動車運送事業法に違反する疑いがあり、日本郵便は集配業務を担う全国約３２００局を対象に同様の問題がないか調査している。
【図】いろいろありました…「おわび」記者会見
発表によると、兵庫県内の郵便局で数年にわたり、点呼を実施せずに配送業務を行い、虚偽の記録を作成していた。今年１月下旬、報道機関からの問い合わせで判明した。近畿支社管内にある同規模の集配拠点１７８局について点呼の実施状況を調べたところ、８割近い１４０局で一部項目の確認を怠るなど不適切な事例があったという。
同法の関連省令では、配送車両の運転手らに対し、酒気帯びの有無や健康状態などを確認するための点呼を義務付けている。日本郵便は「点呼の重要性に関する認識と、本社を含めた管理指導が不十分だった」と説明し、全国調査を経て４月以降に国土交通省に報告する方針。",[],[]
上皇后さまが服喪…兄で元日本銀行監事の正田巌さん死去（読売新聞オンライン）,https://news.yahoo.co.jp/articles/ef10649ec0145580b69ac636f8fe3f9ad034801d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050169-yom-000-3-view.jpg?exp=10800,2025-03-11T22:46:50+09:00,2025-03-11T22:57:42+09:00,読売新聞オンライン,yom,読売新聞オンライン,228,"宮内庁
宮内庁は１１日、上皇后さまの兄で元日本銀行監事の正田巌さんが５日に９３歳で死去し、上皇后さまが当日から３０日間、喪に服されていると発表した。葬儀は近親者で済ませたという。
【動画】上皇后さま９０歳
発表によると、上皇后さまは今月１４日、昨年１１月に逝去された三笠宮妃百合子さまの墓所を参拝予定だったが、服喪中のため中止される。
巌さんは、日清製粉社長や会長を歴任した正田英三郎氏（１９９９年死去）の長男で、１９８５年から９４年まで日銀監事を務めた。",[],[]
「１４年たっても忘れたことはない」午後２時４６分、各地で祈り…２万２２２８人に思い寄せ（読売新聞オンライン）,https://news.yahoo.co.jp/articles/ecb24d3a5d3bdedc5d68b28a5fbb3015b104fb58,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050154-yom-000-3-view.jpg?exp=10800,2025-03-11T22:13:29+09:00,2025-03-11T22:23:46+09:00,読売新聞オンライン,yom,読売新聞オンライン,1309,"児童、教職員合わせて８４人が津波の犠牲となった大川小では早朝から犠牲者を悼む人たちの姿が見られた（午前６時１８分）＝関口寛人撮影
死者・行方不明者が２万２２２８人に上った東日本大震災から、１１日で１４年となった。地震発生時刻の午後２時４６分には、震災後に整備された防潮堤や震災遺構などで人々が犠牲者を思い、冥福を祈った。福島県主催の追悼式に出席した石破首相は、震災の経験を生かし、防災庁を設置して世界一の防災大国を目指す考えを強調した。
【写真特集】2011年3月11日午後２時46分 東日本大震災が発生
児童と教職員計８４人が犠牲となった宮城県石巻市の大川小学校の慰霊祭には、当時６年生だった長女未空（みく）さんと、３年生だった長男択海（たくみ）君を亡くした同県東松島市の自営業佐藤英夫さん（５４）一家の姿があった。
海に向かい、黙とうする人たち。奥は大規模な火災が発生した山林（１１日午後２時５０分、岩手県大船渡市で）＝永井秀典撮影
震災の４年後に生まれた次男（９）は「夫婦にとっての生きる望み」という思いを込め、「生望（いくみ）」と名付けた。生望君は当時の択海君と同い年となり、身長も兄を抜いた。午後２時４６分に黙とう後、献花台の前で、佐藤さんは未空さんと択海君に心の中で呼びかけた。「これからも弟の成長を一緒に見守っていてね」
岩手県大船渡市では、山林火災の被災者たちが震災で亡くなった人たちに思いを寄せた。
同市三陸町綾里（りょうり）、県立高田高校１年の東川樺恩（かのん）さん（１６）の自宅は震災で被害はなかったが、今回の火災で全焼した。焼け落ちた自宅を目にした東川さんは「今回は私が被災者。災害でつらい思いをした人たちの気持ちをより実感できた」と語り、地震発生時刻に祈りをささげた。
震災発生時刻に合わせ、祈りをささげる人たち（１１日午後２時４６分、福島県浪江町の請戸海岸で）
現在は親戚が市内に所有する家に家族で避難しており、また同じ場所に家を建てようと話している。「将来は人の役に立つ仕事がしたい」と古里に恩返しするつもりだ。
津波で１５４人が亡くなった福島県浪江町請戸地区。同県郡山市の会社員阿部謙信さん（３５）の父祐之さん（当時５０歳）は、同地区の海岸近くで仕事中に津波に巻き込まれたとみられ、遺体はいまも見つかっていない。
東日本大震災追悼復興祈念式に出席し、献花する石破首相（１１日、福島市で）＝代表撮影
発生時刻を告げるサイレンが鳴り響き、妻と娘、母親とともに海岸で黙とうをささげた阿部さんは「父は口数が少ない人だったが、黙々と仕事に取り組む姿がかっこよかった。１４年たっても忘れたことはない」と涙ぐんだ。阿部さんには、１０月に２人目の子どもが生まれる予定だ。「天国の父にもいい報告ができた。安らかに眠ってほしい」と話した。
東京電力福島第一原発事故が起きた福島県には、７市町村に帰還困難区域が残り、いまも多くの住民が避難生活を続けている。福島市で開かれた追悼式で石破首相は「国が前面に立ち、安全かつ着実な廃炉とともに、帰還に向けた生活環境整備、産業、なりわいの再生支援に取り組む」と述べた。",[],[]
［深層ＮＥＷＳ］米中が互いに追加関税発動「中国の発展のカギは対米関係」…元駐中国大使の宮本雄二氏（読売新聞オンライン）,https://news.yahoo.co.jp/articles/0a169d2ef8b35ef963236f9b59795478488690e2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050142-yom-000-3-view.jpg?exp=10800,2025-03-11T21:48:47+09:00,2025-03-11T21:57:35+09:00,読売新聞オンライン,yom,読売新聞オンライン,253,"アメリカと中国の国旗＝ＡＰ
元駐中国大使の宮本雄二氏と東京財団政策研究所の柯隆主席研究員が１１日、ＢＳ日テレの「深層ＮＥＷＳ」に出演し、米中関係を議論した。
【写真】誕生日が１日違いの米中首脳
米中が追加関税を発動し合っていることについて、柯氏は「第３弾が米国から出てくると中国は弾切れになる可能性が高い。トランプ米大統領と直談判して早く関係改善したいだろう」との見方を示した。宮本氏は「中国がどう生き延びて発展を続けるかのカギは対米関係にあり、すべての力を対米関係に集中し、国策を動かしている」と述べた。",[],[]
米政権、高官協議でウクライナの「譲歩」見極めへ…「ゼレンスキー氏退任への動き望む」報道も（読売新聞オンライン）,https://news.yahoo.co.jp/articles/47cb5879b92bf3624c6ae48e68b16a597ebdc30a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050141-yom-000-6-view.jpg?exp=10800,2025-03-11T21:33:34+09:00,2025-03-11T23:42:56+09:00,読売新聞オンライン,yom,読売新聞オンライン,981,"１１日、ジッダで協議する（左から）米国のウォルツ国家安全保障担当大統領補佐官、ルビオ国務長官、（右から）ウクライナのイェルマーク大統領府長官、シビハ外相＝ロイター
【ワシントン＝池田慶太】ロシアとウクライナの和平仲介を目指す米国のトランプ政権は、１１日のウクライナとの高官協議で同国がどこまで譲歩に応じる用意があるのかを見極めたい考えだ。ウクライナはトランプ政権のロシア寄りの姿勢に不満を抱いているが、米国の支援がなければ戦闘継続は困難で、妥協を余儀なくされそうだ。
【動画】手で肩を押す場面も…激しく口論するトランプ氏とゼレンスキー氏
トランプ大統領は、ウォロディミル・ゼレンスキー大統領との２月２８日の首脳会談が決裂した後、ウクライナに対する軍事支援や機密情報共有を停止した。米ＮＢＣニュースによると、トランプ氏は支援再開の条件として、鉱物資源の権益に関する協定への署名に加え、ロシアに領土を明け渡す意思があるかどうかを含むゼレンスキー氏の和平に対する姿勢の変化を確認したい考えだという。
１０日、サウジアラビアのジッダに向かう専用機内で、記者団の取材に応じるルビオ氏＝ＡＰ
ルビオ米国務長官も１０日、ウクライナがロシア軍をウクライナ南部クリミア半島の併合前の２０１４年の状態まで押し戻す可能性について「非常に困難だ」と記者団に語り、領土面での妥協を迫る考えをにじませた。
また、ＮＢＣニュースは米当局者が話したトランプ氏の意向として、「ゼレンスキー氏が大統領選の実施や自らの退任に向けて動きを取ることを望んでいる」と報じた。ゼレンスキー政権の退陣はロシア側の意に沿うものだ。
トランプ氏は、ゼレンスキー氏に厳しい要求を突きつけているのに対し、プーチン露大統領に融和的な姿勢が目立つ。交渉でロシアから譲歩を引き出す狙いとみられるが、停戦実現を急いで露側の要求をのむのではないかとの懸念がぬぐえない。
ウクライナは懸念を共有する欧州各国と連携し、停戦後のロシアの再侵略を防ぐ「安全の保証」に対する米国の関与などで少しでも有利な条件を引き出したい考えだ。
一方、ブルームバーグ通信などは１０日、米国のスティーブン・ウィトコフ中東担当特使が今週、プーチン氏と会談するためにモスクワを訪問すると報じた。１１日のウクライナとの協議を踏まえ、露側と調整する可能性がある。",[],[]
２２歳女性、高田馬場の路上で動画配信中に刺され死亡…容疑で逮捕の男「配信見ながら居場所を探した」（読売新聞オンライン）,https://news.yahoo.co.jp/articles/55c1748bceea5c1c8e5d784958a5b78624390daf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050143-yom-000-12-view.jpg?exp=10800,2025-03-11T21:16:09+09:00,2025-03-12T00:44:45+09:00,読売新聞オンライン,yom,読売新聞オンライン,748,"女性が刺された現場付近を調べる警察官ら（１１日午前、東京都新宿区で）＝稲垣政則撮影
東京都新宿区の路上で１１日午前、多摩市の女性（２２）が男に首や胸などを刃物で刺され、搬送先の病院で死亡した。警視庁は現場にいた栃木県小山市の職業不詳の男（４２）を殺人未遂容疑で現行犯逮捕。金銭トラブルになっていた女性の居場所を、インターネットの動画配信を見て特定したといい、容疑を殺人に切り替えて詳しい経緯を調べている。
【写真】ヘリから見た現場周辺
（写真：読売新聞）
発表によると、男は１１日午前９時５０分頃、同区高田馬場の路上で、歩いていた女性に近づき、サバイバルナイフ（刃渡り１３センチ）で顔や首、胸など複数箇所を刺して殺害しようとした疑い。女性は数十か所を刺され、約１時間２０分後に死亡が確認された。
女性は「最上あい」の名で動画配信をしており、前日の１０日に「山手線徒歩１周」と題した企画を告知。事件当時は、歩きながらスマートフォンのアプリで生配信をしていたという。
男は調べに、女性を刺したことを認め、「殺そうとは思っていなかった」と供述。「（動画配信の）予告を見て１１日朝に上京し、配信を見ながら居場所を探した」などと説明している。２０２１年１２月から女性の配信を見始め、翌２２年８月から、女性が勤める飲食店に行くようになったといい、「２００万円以上を貸していたが返してもらえなかった」と話しているという。
男は昨年１月、栃木県警に金銭トラブルについて相談していた。警視庁は男の刑事責任能力についても調べる。
現場はＪＲ高田馬場駅から南西に約３５０メートルの住宅や商店が立ち並ぶ一角。凶器とみられる血の付いたサバイバルナイフが落ちていたほか、男のリュックサックの中から別のナイフ１本が見つかった。",[],[]
津波で亡くした祖母と妹へ「自慢できる孫、お姉ちゃんになるよ」…海で働く夢に向かう姿「見守っていてね」（読売新聞オンライン）,https://news.yahoo.co.jp/articles/2f8095b562711ad28d951f284ccb68ca9fb25acc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250311-00050139-yom-000-5-view.jpg?exp=10800,2025-03-11T21:09:05+09:00,2025-03-11T21:55:28+09:00,読売新聞オンライン,yom,読売新聞オンライン,1393,"古里の海へ花を手向ける安倍春奈さん（手前）と父の誠治さん。祖母の和子さん、妹の歩さんが津波で犠牲になった。（１１日、岩手県陸前高田市で）＝武藤要撮影
祖母と妹を奪った海が怖くなった。５歳の時、岩手県陸前高田市出身の安倍春奈さん（１９）は車で避難中に津波にのまれ、同乗の２人を亡くした。だけど、思い出の場所であり、心を癒やしてくれたのも海だった。「やっぱり、人を笑顔にしてくれる」。高校と専門学校で水産や観光について学び、今春、客船乗務員を目指して就職活動を始めた。（盛岡支局　福守鴻人）
【一覧】東日本大震災の被害状況
春奈さんは市内の米崎保育園で昼寝中、激しい揺れに見舞われた。大急ぎで迎えにきた祖母の和子さん（当時６４歳）の軽自動車に、３歳下の妹、歩（あゆみ）ちゃんと一緒に飛び乗った。
（写真：読売新聞）
車を走らせて１０分ほどだった。右前方から黒い濁流が迫ってきて、あっという間にのまれた。後部座席の春奈さんは、割れたガラス窓から車外へ抜け出し、必死にもがいた。何度も飲んだ水は大量の砂を含み、ガソリンのにおいがした。
少したって意識が戻り、がれきの中から這（は）い出た。
「おばあちゃん、歩、どこにいるの」
叫んでも反応がない。怖さ、寒さ、寂しさから大泣きしているところを、消防団員に助けられたという。
和子さんと歩ちゃんは約２週間後、がれきに埋もれ、変わり果てた車の中から遺体で見つかった。
◎
仕事で忙しい両親に代わり、和子さんは朝食の支度や保育園の送迎をしてくれた。初孫となった春奈さんの名前も付けてくれた。
歩ちゃんが生まれ、夏には庭先のビニールプールで一緒に遊んだ。夜は３人で手をつないで寝た。
震災直後、２人がいないことをよく理解できなかった。だが、次第に大事な日常を失ったと実感すると、津波の怖さがよみがえってきた。「家族でツブ貝を取って食べたり、釣りを楽しんだりした」という思い出が詰まった自宅近くの海岸に足を運べなくなった。
◎
小学５年生の頃、父の誠治さん（４８）が、宮城県石巻市の離島・金華山に連れて行ってくれた。初めてフェリーに乗り、船内で乗客の安全を守りながらサービスを担う「マリンアテンダント」のおもてなし、観光客が景色を楽しむ様子に気持ちが晴れ晴れした。「海の仕事」が輝いて見えた。
地元の県立高田高校海洋システム科に進み、乗船実習や水産に関する学習を通して、マリンアテンダントへの憧れは、将来の目標へと変わった。「海に関わりながら、人に喜んでもらえる職に就きたい」
昨年４月に親元を離れ、仙台市の専門学校では国際観光学科で学ぶ。コンビニとホテルのアルバイトを掛け持ちし、家賃や携帯電話代は自分でやり繰りしている。自炊にも慣れ、台所で米を炊くと、祖母が朝食に出してくれた卵かけごはんを思い出す。街を歩き、親子で手をつなぐ幼い女の子を見かけると、妹を思ってしんみりすることも。胸は痛むが、「２人はそばにいる」と感じられる。
国家資格の国内旅行業務取扱管理者を取得し、就職活動も本格化する。少し不安はあるが、夢に向かう姿を２人に見せたいと思う。
◎
春奈さんは１１日朝、誠治さんと一緒に、古里の海に臨む献花台に花を手向けた。午後２時４６分には実家で、天国の２人に黙とうをささげた。
「自慢できる孫、お姉ちゃんになるよ。就活も頑張るから見守っていてね」",[],[]
