headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
プレミアでの“979分”「難しい時期」　日本代表の主力が現況を吐露「ほかの選手の方が優れている」（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/4d9bd1311994b75d2c130c926f7fd63ffd3f137a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584935-soccermzw-000-2-view.jpg?exp=10800,2025-03-17T21:09:00+09:00,2025-03-17T21:36:31+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,1280,"鎌田大地がクリスタル・パレスでの現状を語った
日本代表の鎌田大地【写真：(C) JFA】
日本代表MF鎌田大地が3月17日、千葉県内で北中米ワールドカップ（W杯）アジア最終予選バーレーン戦（20日＝埼玉）に向けた練習初日に合流した。室内での調整にとどまったこの日、所属のイングランド1部クリスタル・パレスではなかなか出場時間を確保できずに苦戦。もがきながらも前を向いて踏ん張る今の胸の内を明かした。
【一覧リスト】「言葉を失った」　森保ジャパンが「世界13位」“ドイツ超え”ランキング
「まずは基本的にチームの状態が良くて、チームが勝っているというのもあって、選手を変える必要がない。シーズン初めはボールをつなごうとしたり、そういう部分はやっていましたけど、それで勝てずに、ロングボールをよく使うチームになったのと、またセットプレーをすごい大事にしているチーム。ロングスローだったり、セットプレーの得点もプレミアで今一番多い。そういう部分でなかなか自分がやりたいようなサッカーというのにはなっていないし、自分自身も今のサッカーをやっていて、ほかの選手の方が優れているなという部分も感じる。難しい時期だなというふうには思いますけど、いろいろいい経験になっている部分もあるし、良くなっている部分というのもあると思うんで、しっかり頑張っていけたら」

　移籍して1年目。プレミアへ挑戦し、序盤は先発のピッチに立つ時間も多かった。だが、年をまたいで徐々に先発の機会は激減。リーグ24試合で979分の出場時間にとどまっている。鎌田にとっては試練の時期だ。

「基本的に自分がシーズン始まる前に思い描いてたようにいったことはないし、僕らの職業だけじゃなくて、どの職業でもそうだと思うんですけど、いつチャンスが来るかも分からないし、本当にそれが成功するかも分からない。自分の今までの経験上、そう難しい時期もしっかり自分を信じてやってきて、今のところまで来ることができているのでしっかりやり続けるということはすごく大事だと思う。それの難しさも分かっているんですけど、続けていけたら」

　道のりは平坦ではない。これまでプレーしたドイツでもイタリア壁にぶつかったときはあった。それでも、日々の努力を続けて日本代表の欠かせない存在にまで成長した。W杯まであと1勝。鎌田が今、見据えるのは目の前の一戦だけだ。

「今の位置にいることができているのは当然のことじゃないと思う。W杯最終予選というのはすごい難しいものだというのもわかっている。しっかり自分たちが続けてきた努力だったり、ハードワークのおかげで今ここにいることができていると思うんで、しっかり次の試合でW杯出場決められるようにチームとしてはやっていきたいと思う。自分たちがしっかりやるべきことをしっかりやることが大事だと思う。バーレーンというよりも自分たちにフォーカスして、やっていけたら」

　この苦境を乗り越え、まずは日本に“北中米切符”をもたらす。
FOOTBALL ZONE編集部・小杉 舞 / Mai Kosugi",[],[]
欧州で出番減「分かった上で行った」　日本代表FWの胸中「もがき続けている最中です」（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/3f4e452aac2014835ede6697b54d8094f6edd955,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584934-soccermzw-000-1-view.jpg?exp=10800,2025-03-17T20:49:00+09:00,2025-03-17T20:49:00+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,1108,"17日に代表練習がスタートし古橋が取材に応じた
日本代表の古橋亨梧【写真：(C) JFA】
森保一監督率いる日本代表は3月17日、2026年の北中米ワールドカップ（W杯）アジア最終予選バーレーン戦（20日＝埼玉）、サウジアラビア戦（25日＝埼玉）に向けて始動した。練習後の取材対応でレンヌFW古橋亨梧は、出番が減少している現状について「分かった上で行った」と言及している。
【一覧リスト】「言葉を失った」　森保ジャパンが「世界13位」“ドイツ超え”ランキング
古橋はセルティックで得点を量産していたなかで、今冬リーグ・アンで残留争いをしているレンヌへ移籍。移籍金は1000万ポンド（約19億円）と報じられているが、古橋の獲得を希望したホルヘ・サンパオリ監督が契約直後に解任となり、ハビブ・ベイェ新監督の信頼を掴めていない。

　直近2試合のリーグ戦で途中出場から合計で30分の出場のみ。その前の2試合ではベンチ入りも出番なしと出場機会を得られていないが、「なかなか難しい時間を過ごしてますけど、少しずつ出場の時間も増えてますし、いい練習をしてたくさん刺激をもらって楽しくやれてるので、本当にいい時間を過ごしてるなと思ってます。この悔しい気持ちは、どこにいてもやっぱり生かせると思う」と前向きな気持ちを口にした。

「行かしくれたことに感謝している」とセルティックへの感謝も述べつつ、出番を得られない可能性もあると「分かった上で行った」と語った。「すごく悔しい気持ちはありますけどチームは勝ったりもしてたので、もちろん勝っているなかで（選手を）変えるっていうのは難しいし、監督の決断だと思う」と、直近は連敗しているものの、その前の5試合で4勝1敗と1部残留に向けて勝ち点を重ねつつあるチームのなかで戦力になれていない状況にも触れている。

「やっぱり短い時間の中でも結果を残すっていう意味ではFWとしては大事だと思う。ポジティブに今は考えながら、本当に成長しようともがき続けている最中です。その中で練習でたくさんアピールしていくのが大事だと思います。さっきも言いましたけど、この悔しい気持ちっていうのは今こうやって経験してるのは本当にいいことだと思う。ピッチの上で磨けることをたくさん磨いていい準備をして、出たときに活躍できるようにしたいと思います」

　セルティックでは公式戦185試合65得点と量産した30歳のストライカーは、日本をW杯出場に導くゴールを決め、再びトップフォームに戻しクラブでも輝けるのか、今後の活躍に期待が寄せられる。
FOOTBALL ZONE編集部・小西優介 / Yusuke Konishi",[],[]
「ナチュラルに迎えられた」森保Jに追加招集の28歳が平常心の理由「地に足ついてる」（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/a52e52a0118e3fa0aa040b944e304ae6c048658a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584931-soccermzw-000-1-view.jpg?exp=10800,2025-03-17T20:03:17+09:00,2025-03-17T20:03:17+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,1144,"前日の3月16日に追加招集が発表された
日本代表の中山雄太【写真：(C) JFA】
日本代表は17日、26年北中米ワールドカップ（W杯）アジア最終予選のバーレーン戦（同20日）に向け、千葉県内で練習を開始した。16日に追加招集が発表されたDF中山雄太（FC町田ゼルビア）は「ナチュラルに今日を迎えられている」と平常心を強調した。
【一覧リスト】「言葉を失った」　森保ジャパンが「世界13位」“ドイツ超え”ランキング
昨年9月以来半年ぶりの代表招集にも慌てることはなかった。3月15日のJ1リーグ第6節・町田×新潟の試合を終え、自宅に帰ったタイミングで追加招集の連絡が来た。

「単純にうれしかったですけど、平常心でしたし、しっかりと地に足がついているなという実感もあったので。今回は自分のプレーだったり、色んなものがタイミングよく揃ったなという感じです」

　今季は町田で主に左ウィングバック（WB）を務め、2月22日の第2節・FC東京戦では決勝アシストを記録するなど好調を維持。3バックでもプレーすることができ、怪我人が多いDFラインでの起用も考えられる。

「町田も幸い今季は5バックだったり、（代表と）つながっている部分もありますけど、どこで出るかも分からないですし、勝利のためにできる準備は最大限やっていきたいなと思います。どちらかというと、気持ちの部分の方が大事になってくるかなと思っていて、久しぶりの代表戦というのもありますし、背負う部分も多くなると思うので」

　前回カタールW杯では本大会メンバーに選ばれていたがアキレス腱を断裂し、出場できなかった。昨夏に町田に移籍後も、9月に右膝内側側副靱帯損傷して離脱した。大きな負傷に見舞われながらも、その度に成長して帰ってきた。

「怪我してサッカー自体はできないですけど、サッカーに携わる要素がたくさんあるので。身体だったり、メンタルだったり、考え方もそうですし。そういったアプローチができる時間になるというのは必然的にポジティブかなと思っています。そこがうまくピッチレベルで、こう帰ってきた時にマッチすればいいなと思っていますし、マッチしてきている実感がありますね」

　今回のバーレーン戦で勝利すれば、8大会連続8度目のW杯出場が決まる。すでに戦う覚悟はできている。

「（追加招集は）ラッキーだったなぐらいですね。それ以外は何もないですし。選ばれたこと以上に大事なのは活動内なので。久しぶりですけど、そういうことはあまり関係なく、チームに還元できることはしっかり発信したり、本当にまずは1勝するという準備を欠かさずにやっていきたいと思います」
FOOTBALL ZONE編集部・井上信太郎 / Shintaro Inoue",[],[]
日本代表に起きた“日常の変化”「最初は引かれてた」　長友佑都が実感「受け入れてくれ始めた」（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/e8678439dae94745f874e3c526f9838d37975bb2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584914-soccermzw-000-1-view.jpg?exp=10800,2025-03-17T19:41:00+09:00,2025-03-17T19:41:00+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,1218,"森保Jは17日に始動
日本代表の長友佑都【写真：徳原隆元】
森保一監督率いる日本代表は3月17日、2026年の北中米ワールドカップ（W杯）アジア最終予選バーレーン戦（20日＝埼玉）、サウジアラビア戦（25日＝埼玉）に向けて始動した。DF長友佑都は「熱いものを後輩たちが受け入れてくれ始めたなっていう感覚がある」と、代表での日常の変化を口にした。
【一覧リスト】「言葉を失った」　森保ジャパンが「世界13位」“ドイツ超え”ランキング
日本は最終予選を5勝1分とグループCの首位を独走中。20日のバーレーン戦で勝利すれば、2位以内が確定して史上最速でのW杯出場が決まる。17日にはチームが始動し室内で汗を流したが、長友は「足元をすくわれるという経験を何度もしてるのでそこはしっかりと引き締めたいなと思います」と出場権獲得は楽勝というムードに釘を刺した。

　今の代表では森保監督や10番の堂安律らがW杯優勝を公言しているが、「これまでも（本田）圭佑だったり、（香川）真司だったり、長谷部（誠）さん、（川島）永嗣さんもずっとそういうのは熱く話してきた部分もあった。だけど後輩たちは最初の頃、そんな熱い話をしてたら、なんか熱すぎて引かれるというか、なんか自分が取り残されてる感覚になってた」と数年前までの代表を振り返った。

「だけど今なんかお互い食事の席でも、そういう熱い話をして、何か自分のエネルギーとかそういう熱いものを後輩たちが受け入れてくれ始めたなっていう感覚がある。今日もちょうどみんなと話してたら、そういう話になったんすけど、みんな俺のこのエネルギーを受け止めてくれるようになったなと思います。すごく居心地がいいよっていう話をちょうどしてたんですよね。そのぐらい何か浮いてた感があったのが、何か馴染み始めたっていうのは自分にとっては非常に嬉しい部分。そういう暑苦しい話ができる後輩たち、仲間ができてるっていうのは非常に嬉しいですよ」と代表での日常や、意識などが変化していることを明かした。

「（代表への思いを伝える意味でも長友の存在意義は）あると思ってくれれば嬉しいですし、それを伝えるための一つの僕の任務といいますか、与えられた役割だと思ってる。意識は特にしてないんですけどね。ただここに来ると熱い思いが込み上げてきて、多少空回り感も出るんですけど、それでもその気持ちになれるっていうのはやっぱり日本代表ならではというか、ここで戦うことを噛み締めている」と長きに渡り代表で活躍している思いを語った。

　長友は今大会の最終予選でメンバー外を味わうなど、まだ一度も出場機会はないものの、チームでは持ち前のキャラクターで存在感を発揮しチームを鼓舞しているが、残りの予選や本体でどう影響を与え、目標であるW杯優勝に導くのか、一挙手一投足から目が離せない。
FOOTBALL ZONE編集部・小西優介 / Yusuke Konishi",[],[]
強豪バイエルンで得た「勝者のメンタリティー」　ビッグクラブで成長…刺激的な日々で広がった“幅”（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/a005195df43b5d8b3f68fb941fbb63e67f5474e5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584921-soccermzw-000-2-view.jpg?exp=10800,2025-03-17T19:37:00+09:00,2025-03-17T19:39:16+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,1366,"伊藤洋輝がバイエルンで成長した面を明かした
日本代表の伊藤洋輝【写真：(C) JFA】
日本代表のDF伊藤洋輝が3月17日、千葉県内で北中米ワールドカップ（W杯）アジア最終予選バーレーン戦（20日＝埼玉）に向けた練習初日に合流した。室内での調整にとどまったこの日、所属のドイツ1部バイエルン・ミュンヘンで得た経験について語った。強豪バイエルンでの日々で「勝者のメンタリティー」が植え付けられ、「勝ち」へのこだわりが高まった。
【一覧リスト】「言葉を失った」　森保ジャパンが「世界13位」“ドイツ超え”ランキング
春の訪れはまだ少し先、寒さが残る練習場。昨年6月以来、約9か月ぶりの代表復帰を果たした伊藤はバイエルンに移籍して初めて、日本代表入りを果たした。キャンプ中の負傷から長いリハビリ期間を経て、2月12日のUEFAチャンピオンズリーグ（CL）セルティック戦でデビュー。ブンデスリーガ含めて7試合に出場し1ゴールを挙げている。ここに至るまでも大きな苦労があった。

「リハビリですか。1回目のオペしたあと、うまくいかなかった部分があったんですけど、過去を振り返らずにというか、とにかく前だけを見て、しっかり焦らずにチームに戻ることができた。復帰できてここまでこられたので良かった」

　バイエルンで練習を重ねる日々は刺激的だ。役割としても攻撃に関わってくる部分や、守備を固める場面、伊藤の“幅”が要求される。

「（ヴァンサン・コンパニ）監督もトップレベルでずっとディフェンダーとして活躍してきた方ですし、特に守備の部分に関しては、個の部分も、チームとしてもやっぱり守り方、常に日々ミーティング含め何とかして自分たちを学ばせてくれている。そういった部分をどんどん学んでいきながら選手としての幅ももちろん、守備だけじゃなくて攻撃も幅を広げていけたらいいかなと思います」

　ドイツで絶対王者として君臨するビッグクラブ。ただ、昨シーズンはレバークーゼンに頂点を明け渡し、チームとして今季に懸ける思いは強い。CLではそのレバークーゼンを倒してベスト8入りが決定。練習を日々こなすだけで精神面も鍛えられている。

「ファン含めて勝ち方を求められているクラブ。勝つことが当たり前。国内は圧倒して勝つというところを求められている。シーズン始まる前、チームとして90ポイントをまず取りにいこうというところ目標として掲げている。CLも今年決勝が1つのチームとして目標として向かっているところ」

　最終予選は初めて。ここまで5勝1分けでバーレーン戦へ勝てば、史上最速でW杯出場権を得ることができる。プレッシャーの懸かる一戦で伊藤の気持ち高ぶる。

「これまでの最終予選をテレビで見ていましたけど、やっぱりこれまでは厳しい戦いがずっと続いてきたと思う。今回はもう1勝して最後バーレーン戦で決めればいい。やっぱり自分たちが圧倒して勝つことによって、自分たちの目指してる部分が明確になってくると思う。しっかりアジアで圧倒して勝てるようになってきたなと思います。みんなが積み上げてきてくれたもの。しっかり最後勝って決めたい」

　頼れるDFが帰ってきた。あと1勝。伊藤の力が必要だ。
FOOTBALL ZONE編集部・小杉 舞 / Mai Kosugi",[],[]
日本人7人の欧州クラブ降格危機　審判の判定に監督激怒「我々を追い出したいと言えばいい」（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/cf8eb659c56c406c6de8a97d45e6d7cdd5d80b03,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584887-soccermzw-000-1-view.jpg?exp=10800,2025-03-17T19:10:00+09:00,2025-03-17T19:10:00+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,859,"シント＝トロイデンは降格プレーオフへ、マズー監督の怒りが収まらず
シント＝トロイデンの降格プレーオフ行きが決定した【写真：Getty Images】
日本人7選手が所属するベルギー1部シント＝トロイデンVVは現地時間3月16日にリーグ戦のレギュラーシーズン最終節（30節）でルーベンと対戦し、2-3で敗れた。この結果、16チーム中14位となり下位4チームで戦う降格プレーオフに回ることが決まった。フェリス・マズー監督は試合後に「理解できない」と判定への不満をぶちまけていた。
【実際の映像】VAR介入も覆らず…シント監督が激怒したファール→PK献上の決定的瞬間
勝てばヨーロッパカップ戦の権利獲得を争うヨーロッパプレーオフ（7位から12位）に入る可能性もあったシント＝トロイデンだったが、後半15分にDFレイン・ファン・デルヘンが退場に。数的不利を強いられたなか、2-2で迎えた後半38分にルーベンにPKを献上し、決勝点を奪われた。

　シント＝トロイデンのマズー監督は試合後の会見で「カリメロを演じるつもりはないが、もう限界だ。ここにいる人のなかで私と同じ考えを持つ勇気ある人はいるか？」と記者陣に向けて問いかけていたという。

　指揮官はルーベンのFWレキンシオ・ゼーファイクの激しいタックルに対してイエローカードが出なかった一方で、ファン・デルヘンが退場となった判定について「理解できない！　彼らは11人で戦い、我々は10人で終わった」と苦言を呈した。

　さらに、怒りが収まらない様子のマズー監督は「いつまで審判を守るつもりなのか。我々にとってこれは3回目ではなく、おそらく7回目だ。今季、我々は相手に11回くらいはPKを許している。シーズンの最初にSTVV（シント＝トロイデン）を追い出したいと言えばいい。我々の人工芝のピッチに反対していることを認めるべきだ。私がおかしいのかもしれないが、陰謀が見える」などとまくし立て、クラブが不当に扱われているとの不満をぶちまけていた。
FOOTBALL ZONE編集部",[],[]
「誰が決めてもいい」3年前の“再現”には無関心も…三笘薫が望むもの「メリットしかない」（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/47dcb4c54561dec984897116e9647c34ef5b293a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584917-soccermzw-000-4-view.jpg?exp=10800,2025-03-17T19:07:31+09:00,2025-03-17T21:56:24+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,890,"前回カタールW杯予選は三笘のゴールで本大会出場が決まった
日本代表の三笘薫【写真：(C) JFA】
日本代表が3月17日、26年北中米ワールドカップ（W杯）アジア最終予選のバーレーン戦（同20日）に向け、千葉県内で練習を開始した。MF三笘薫（ブライトン）は3年前の“再現”には無関心も、変わらぬ思いを明かした。
【一覧リスト】「言葉を失った」　森保ジャパンが「世界13位」“ドイツ超え”ランキング
エースの心境は穏やかだった。22年3月24日に行われた前回カタールW杯最終予選のオーストラリア戦（シドニー）では、代表初得点を含む2得点をマーク。W杯出場に導き、一躍シンデレラボーイとなった。今回も3年前の“再現”が期待される中、「もう一番は勝つことが大事ですし、どんな形でも、競ってでも決まることが大事ですし、内容よりも結果が大事。誰が点を決めても、チームが勝てばいいかなと思います」と話した。

　前回のカタールW杯予選は第6戦のオマーン戦が初出場。オーストラリア戦で2得点を決めたとはいえ、あくまで“脇役”だった。今回は違う。初戦の中国戦で1得点を挙げるなど、ここまで予選6試合中5試合に先発。主役としてチームを牽引してきた。だが変わらぬ思いはある。

「（当時は）W杯が決まったのはすごくうれしかったですけど、それ以前に出場機会が少ない中で、あのチームでの立ち位置も大事でしたし、結果を出すことに必死でやっていた。そういう反骨心は常に持ってやりたいなと思っています」

　バーレーン戦に勝利すれば、8大会連続8度目のW杯出場が決まる。本大会までの1年3か月を新戦力の発掘などチーム強化に充てることができる。日本史上初のベスト8進出へ大きな追い風となる。

「もちろんメリットしかないと思います。早めに決めることで世界を意識した戦い方もできると思いますし。そこを見据えて、コンディショニングもそうですし、競争も始まると思いますし。分析も始まってくると思うので、色んないいことが多いかなと思います」
FOOTBALL ZONE編集部・井上信太郎 / Shintaro Inoue",[],[]
ACLで異例の没収試合「二度と起こってはいけない」　日本代表GKが心境吐露「これが最後になって」（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/db88ab3a48718ef841b1ae39722bf1f671c2c416,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584904-soccermzw-000-7-view.jpg?exp=10800,2025-03-17T18:34:56+09:00,2025-03-17T21:59:08+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,924,"17日に代表練習がスタートし広島GK大迫が取材対応
日本代表の大迫敬介【写真：(C) JFA】
森保一監督率いる日本代表は3月17日、2026年の北中米ワールドカップ（W杯）アジア最終予選バーレーン戦（20日＝埼玉）、サウジアラビア戦（25日＝埼玉）に向けて室内で汗を流した。練習後の取材対応でサンフレッチェ広島GK大迫敬介はAFCチャンピオンズリーグ2（ACL2）で没収試合扱いとなった初戦について、「こういうことが二度と起こってはいけない」と語った。
【動画】「残忍な行い」「正気じゃない」　中国FWがACLで見せた“蛮行”退場劇
広島は3月5日に行われたACL2の準々決勝初戦、ライオン・シティ・セーラーズ（シンガポール）相手にホームで6-1と大勝を収めた。しかし、途中出場した新加入のMFヴァレール・ジェルマンが前所属チームで受けた退場処分により、クラブチームでのアジアサッカー連盟（AFC）主催大会で出場停止を抱えていたことが発覚。出場資格のない選手をピッチに立たせたことにより没収試合の扱いとなり、記録は広島が0-3の敗戦で初戦を終えたことになった。

　12日の第2戦では1-1のドローに終わり、2戦合計1-4でベスト8敗退となっていた。17日に日本代表は始動したなかで、大迫は「大変でした。いろいろありましたけど、切り替えるのは難しかった」と触れ、「こういうことが二度と起こってはいけないと思います。広島のこれが最後になってくれると嬉しいなと思います」と思いを明かした。

　また、「海外でやる難しさだったり、Jリーグの日本人と違う戦い方だったりっていうところでやってみてすごく楽しかったですし、違う相手とやる難しさだったりとか感じながらチームとしても、僕個人としても成長できてた感覚だった。このベスト8からさらに突破することで、さらにレベルが高い相手とできるっていう楽しみがあったなかでの敗退だったのですごく勿体ない」と本音を明かした。代表ではGK鈴木彩艶が守護神を務め出場機会がない大迫だが、この悔しさをぶつけることができるのか、活躍に注目が集まる。
FOOTBALL ZONE編集部・小西優介 / Yusuke Konishi",[],[]
鹿島ユース逸材“エムバペ”選出…横浜FM高校生が「無双する可能性も」　U-17代表メンバー反響（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/e828caa419be60dbdc733d56b38fc59d894d6756,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584873-soccermzw-000-1-view.jpg?exp=10800,2025-03-17T17:19:50+09:00,2025-03-17T17:19:50+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,799,"U-17アジアカップに臨む日本代表メンバーが発表
U-17日本代表メンバーが発表された【写真：Getty Images】
日本サッカー協会（JFA）は3月17日、 U-17アジアカップ・サウジアラビア2025に臨むU-17日本代表メンバーを発表した。U-17ワールドカップ（W杯）の出場権を懸けた同大会に臨む23名には、クラブ史上最年少でトップチーム昇格を果たした横浜F・マリノスの高校生逸材らが選出され、その顔ぶれが反響を呼んでいる。
【一覧リスト】U-17アジアカップに挑む若き日本代表メンバー23人
U-17アジアカップは来月4日からサウジアラビアで開催。参加16か国の代表チームが4グループに分かれて戦い、今年カタールで開催予定の「2025 FIFA U-17ワールドカップ」の出場権が上位8チームに与えられる。日本はグループBに入り、アラブ首長国連邦（UAE）、ベトナム、オーストラリアとグループリーグで対戦する。

　廣山望監督率いる代表チームのメンバーには、クラブ史上最年少（17歳0か月16日）で今季トップチーム昇格を果たした横浜FMのFW浅田大翔、今年2月のパラグアイ遠征に中学生で唯一選出された柏レイソルU-18のMF長南開史、高校年代最高峰の大会・高円宮杯U－18プレミアリーグEASTで昨年10ゴールを挙げて得点王に輝いた鹿島アントラーズユースFW吉田湊海らが選ばれた。

　伸びしろのある逸材が多数選出されたメンバーにファンも熱視線。Jリーグの新シーズン開幕を告げる富士フイルムスーパーカップ（2月8日）の前座試合で得点し、鹿島ユースの“エムバペ”とも称される吉田には「エンバペいけ！」「得点王取ってこい」といった声があがったほか、浅田には「無双する可能性もなくもない！」という期待の声も。来月4日から始まるアジアでの戦いに注目が集まる。
FOOTBALL ZONE編集部",[],[]
Jリーグvsロナウドの真剣勝負「熱すぎる」　中東金満クラブに驚き…アジア王者へ試練（FOOTBALL ZONE）,https://news.yahoo.co.jp/articles/4f29915adbde639ac8dcdb6efcdb9633a5da47f0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250317-00584872-soccermzw-000-2-view.jpg?exp=10800,2025-03-17T17:03:34+09:00,2025-03-17T17:05:42+09:00,FOOTBALL ZONE,soccermzw,FOOTBALL ZONE,705,"ACLE組み合わせ決定、横浜FMがロナウド要するアル・ナスルを引き当てた
横浜FMがアル・ナスルとベスト8で対戦する【写真：(C) AFC】
AFCチャンピオンズリーグエリート（ACLE）の抽選会が3月17日、マレーシアのクアラルンプールで行われた。サウジアラビア集中開催の準々決勝以降には、Jリーグから横浜F・マリノスと川崎フロンターレが進出。横浜FMがクリスティアーノ・ロナウドと対戦を引き当て、「熱すぎるだろ」との声があがっている。
【一覧リスト】横浜FMがC・ロナウドと対戦…ACLエリートベスト8のトーナメント組み合わせ
今大会から新たなフォーマットで行われているACLE。ラウンド16でヴィッセル神戸が敗退し、日本勢で残るのは2クラブとなっていた。抽選会の直前には東西のリーグステージで各1位のチームにシード権が与えられることが判明しており、サウジアラビアのアル・ヒラルが第1、横浜FMが第2シードとなった。

　ロナウドが所属するアル・ナスル（サウジアラビア）が、シード扱いとなっていた横浜FMを引き当てた。底知れぬ資金力を駆使してロナウドの他にFWサディオ・マネ、クロアチア代表MFマルセロ・ブロゾヴィッチ、スペイン代表DFアイメリク・ラポルテらを獲得。スター軍団を形成し、ACLEを勝ち上がってきた。

　横浜FMの公式Xは、ファイナルステージの組み合わせと日程を投稿。ファンからは「クリロナを驚かしてやろう」「優勝するには避けれない」「キツすぎでしょこれ」との声が寄せられている。また、川崎はアル・サッド（カタール）と対戦し、ともに勝てば準決勝で激突する。
FOOTBALL ZONE編集部",[],[]
