headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
“ホステスプロ”渋野日向子も華麗にドレスアップ　カメラマンの要求に「こゆの分からないんだわ〜（笑）」　国内女子第2戦の前夜祭を開催（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/f85934489442a16d1afa25d512d7053099a0dd58,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000020-alba-000-1-view.jpg?exp=10800,2025-03-18T18:49:50+09:00,2025-03-18T18:50:08+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,709,"ホステスプロ4人組が楽しそうに記念撮影！ 華やかな前夜祭が行われている
＜Vポイント×SMBCレディス　事前情報◇18日◇紫カントリークラブ すみれコース（千葉県）◇6668ヤード・パー72＞
【前夜祭フォト】木戸愛の美脚がすごい！
国内女子ツアーは一週間のオープンウイークを終え、3月21日から3日間の日程で今季第2戦が行われる。18日（火）にはあす開催のプロアマ戦に向けた前夜祭を、千葉県内のホテルで実施。35人の女子プロゴルファーたちが、華やかなパーティウェアをまとい会場を彩った。

大会の冠スポンサーを務める「Vポイント」とスポンサー契約を結び、ここが今季の国内初戦となる渋野日向子はシックなセットアップで登場。明るい様子で「髪型とか大丈夫？」とマネージャーに確認しながら撮影場所に現れると、すぐさまカメラマンたちにポーズを要求された。すると「こゆの分からないんだわ〜（笑）」と照れくさそうな笑顔を浮かべながら、しっかりと記念撮影におさまった。また同じくウェアにVポイントマークをつける木戸愛も、美脚を披露した。

特別協賛をつとめる三井住友銀行とスポンサー契約を交わしている姉・優利、妹・鈴の吉田姉妹もそろって会場に到着。鈴にとってはホステス大会で、初のプロアマ出場となる。初々しい姿を開幕前から見せた。

このほか、こちらも米国ツアーからスポット参戦する勝みなみ、西村優菜も出席。ディフェンディングチャンピオンの鈴木愛らも、豪華絢爛な装いで会場を盛り上げた。

今年から名称が変わり、会場も千葉県に移るなど心機一転の大会には、108人が出場を予定。賞金総額1億円（優勝賞金1800万円）がかけられている。",[],[]
岩井千怜が新たに届いたウェアをズラリと並べてご満悦「ショップ店員になった気分」（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/848367fa6beea631f402d5f0a6ddd816c8ba501b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000019-alba-000-2-view.jpg?exp=10800,2025-03-18T15:13:09+09:00,2025-03-18T15:32:36+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,597,"岩井千怜のInstagram【@chisato.iwai_101】より
岩井千怜が自身のインスタグラムを更新。「Thank you！」という感謝の言葉と共に、ニューバランスからたくさんのウェアが届けられたことを嬉しそうに投稿した。
【写真】岩井千怜の使用クラブ、フェース中心だけに打痕がびっしり！
「気分上がって開封して並べてみちゃいました」と記した通り、投稿ではバラエティに富んだデザインやカラーのTシャツ、アウターを並べた写真を公開。最後の写真には、大谷翔平シグネチャーロゴが入ったTシャツやパーカー、キャップも写っている。

ズラリと並べたウェアを見た岩井は、ハッシュタグを添えて「ショップ店員になった気分」と楽しそうに一言。

そして「さっそく着てトレーニング」と、新しいウェアを身に付けて靴ひもを結ぶ姿や、ジムで撮影した写真を公開した。

この投稿を見たファンは「オフショット嬉しすぎる！」「おでこが、とってもcuteです」「これだけ いっぱい揃うとテンション上がりますね」「今年は何勝するだろう？」などのコメントを寄せていた。

今季の岩井は、姉・明愛と共に米国女子ツアーを主戦場とするが、日本ツアーの開幕戦「ダイキンオーキッドレディス」に参戦すると見事に優勝、大会連覇を達成した。米ツアーがオープンウィークの今週も千葉県で開催される「Vポイント×SMBCレディス」に参戦する予定。",[],[]
マキロイの“大願成就”に向けて佐渡充高が太鼓判「キャリアグランドスラムを達成して欲しい」（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/ae451a77486aafe0c23b7297b8d3145300bfad20,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000018-alba-000-2-view.jpg?exp=10800,2025-03-18T15:00:04+09:00,2025-03-18T15:47:30+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,1330,"ローリー・マキロイはマスターズ初制覇に向けて大きな1勝
＜ザ・プレーヤーズ選手権　最終日◇17日◇TPCソーグラス ザ・プレイヤーズ・スタジアムC（フロリダ州）◇7352ヤード・パー72＞
【連続写真】世界No.1の飛ばし屋ローリー・マキロイは“右肩”でつかまえてシャフトで逃がしていた!?
米ツアーのフラッグシップ大会は、月曜日決着に。世界ランキング2位のローリー・マキロイ（北アイルランド）とJ.J.スポーン（米国）との一騎打ちは、同コースのアイランドグリーンの名物ホール、17番パー3を含む上がり3ホールのトータルで行われた。結果はマキロイがトータル1オーバー、17番パー3で池に落としトリプルボギーとしたスポーンは完敗だった。中継したBS10（BS10ch）で解説を務めた佐渡充高が大会を振り返る。


◇

16日に行われた最終ラウンド。トータル12アンダーでマキロイとスポーン（米国）が並び、勝負の行方はプレーオフに持ち越された。しかし、日没の時間を迎えたため、翌現地時間17日午前9時に再開。16番から18番の3ホールでのストロークプレーで争われた。


プレーオフ1ホール目となった16番パー5では追い風の中、340ヤードを超えるビッグドライブでフェアウェイを捉えた。このティショットが勝利を引き寄せたのかもしれない。セカンドも難なくグリーンを捉えて2パットバーディ。一方、スポーンは圧されたようにティショットを右ラフに入れるとバーディを奪えなかった。

勝敗を分けたのは“アイランドグリーン”になっている名物ホール17番パー3だった。先に打ったマキロイは9番アイアンで9メートルにオン。アゲンストの風の中、スポーンは8番アイアンでピンにまっすぐ向かったが、まさかのグリーンオーバーで池を直撃した。3パットとしたマキロイがボギーとしたのに対し、スポーンは第3打も寄せきれずに「6」のトリプルボギー。このホールで勝負は決した形だ。

解説を務めた佐渡は、「最終ラウンドのプレーもすごかったですけど、3日目のプレーが優勝を手繰り寄せたと思う。風速10メートルの強風のなか、我慢のゴルフを続けて『73』でしのいだことが最終ラウンドにつながったと思います」と話した。

今季初勝利を挙げた2月の「AT＆Tペブルビーチ・プロアマ」では最終18番のティショットでアイアンを握り、“大人のゴルフ”を見せたマキロイ。4月の「マスターズ」初制覇に向けて、着実に勝利をつみ重ねている。

「シグネチャーイベントのペブルビーチを勝って、フラッグシップ大会のプレーヤーズに勝って、本当に史上6人目のキャリアグランドスラムを達成して欲しい。それ以外のメジャーも活躍していくでしょうし、ひょっとしたら、スコッティ・シェフラーを追い越して、世界ランキング1位になる可能性もあるぐらいの優勝だったと思う」。悲願達成に向けて、オーガスタではマキロイのプレーから目が離せない。


BS10では毎週月曜夜9時から「PGAハイライト」を放送（公式アプリでも同時配信）。決勝ラウンド2日間にわたって放送した中継映像、今大会のハイライト映像を1時間に凝縮して振り返る番組を放送している。",[],[]
六車日那乃は“地面反力”で飛距離を出し、右ヒジで弾道をコントロールする【注目ルーキーのスイング診断】（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/c0bc5159fcdd7978840a772d7591044affac9bd8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000017-alba-000-2-view.jpg?exp=10800,2025-03-18T12:30:05+09:00,2025-03-18T15:30:17+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,890,"六車日那乃のスイングを石井忍が深掘りしていく
2025年の国内女子ツアールーキーのスイングをツアープロコーチの石井忍が解説。今回はアマチュア時代からレギュラーツアーで活躍してきた六車日那乃のスイングを深掘りしていく。
【連続写真】地面反力で飛ばす　六車日那乃のドライバースイング
アマチュア時代の20年に「NEC軽井沢72ゴルフトーナメント」でローアマチュアを獲得。同年にJGAナショナルチームに入り実績を残した。21年から上田桃子らを指導していた辻村明志コーチに師事。2024年ステップ・アップ・ツアー「あおもりレディス」では単独2位に入り、同年のプロテストで合格を果たした。

そんな六車は、154センチと小柄ながら「地面反力を使って飛ばすスイング」と石井は分析する。バックスイングからトップスイングにかけては「右の股関節に乗りながら上半身を回し、トップの位置で右足はつっかえ棒のように斜めになって耐えることができている」と、地面に力を加える準備を行う。

そして、ダウンスイングでは手元が腰の位置まで下りてくるまで下半身で踏ん張り、そこから「インパクトでは右ヒザと左ヒザが伸び上がる」動きで地面反力を使う。地面反力とは、歩いているときにも起きている現象のひとつで、地面を押して返ってくる力のこと。その動きをスイングに入れることで体重以上の力を生み出し、飛距離アップを期待できる。

上半身の動きに目を向けると、ダウンスイングで「右ワキが体についてくることでインサイドから下りてくる」。反対に悪い例としては、右ヒジが背中側に外れると、上半身の起き上がりや体の回転に対して手元が遅れてくるため「振り遅れやすい」。フェースを開けばスライス、それを嫌がればチーピン、ダフリ、トップなど、あらゆるミスを誘発する。

六車は切り返しで顔の向きを変えずに左腰を低く回していくため、トップスイングの位置から手元が真下に動き、手元が胸下のところに来たときに右ヒジが体についてくる。そこからヒジの位置、顔の向きも変わらずに体の回転でボールを捉えることで「再現性の高いドローボール」が打てるのだ。",[],[]
今季イーグル第1号は島袋ひの　「今季はトロフィーと写真を撮りたい」【マイナビ ネクストヒロインツアー】（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/6756427041a5aecfe8e33c314640cd09f98d32c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000016-alba-000-1-view.jpg?exp=10800,2025-03-18T12:30:05+09:00,2025-03-18T12:30:24+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,649,"島袋ひのが今季イーグル第1号
＜マイナビネクストヒロインゴルフツアー開幕戦 マイナビカップ　最終日◇14日◇成田ゴルフ倶楽部（千葉県）◇6411ヤード・パー72＞
【写真】島袋ひの　プライベートの目標は？
島袋ひのは開幕戦を1イーグル・5バーディ・5ボギーの「71」をマーク。開幕戦を20位タイで終えた。

後半に迎えた412ヤードのパー4。フォローの風が吹くなか、残り125ヤード（上り3ヤード）の2打目を9番アイアンで打ったボールはピン方向へ飛んでいった。「ちょっと大きかったかもなと思ったんですけど、入ってました」とグリーンへ向かうとボールがカップの中にあることを確認し、イーグルを記録した。自身にとって久しぶりのイーグルとなり、「うれしかったです」と笑顔で話したが「ボギーが多すぎた」と反省点も振り返った。

今季マイネクツアー“第1号”となったが、開幕戦の前週にコーチとの合宿を実施。クラブを振り遅れてしまう癖を「腕を戻すイメージを強くしていて」とスイング修正の最中だという。「自分的には変な感じはあるんですけど、できるといいショットが打てる」。2打目を打ったときは「いいショットしたな」と確かな感触があった。合宿での取り組みが開幕戦でイーグルという最高の結果に繋がった。

昨年は5試合に出場し、最高成績は13位タイ。2月に初開催された「マイナビQT」では12位に入り、前半戦の限定的な出場権を獲得した。「今季は優勝してトロフィーと写真を撮ってみたい」。念願の初優勝へ島袋の挑戦は続く。",[],[]
通算14勝の女子プロゴルファーが大谷翔平の虜に！ 渋谷で開催中の期間限定イベントを大満喫「心躍る空間でした！！」（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/20cd64217bdd8243c6977096677245995b86d980,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000015-alba-000-1-view.jpg?exp=10800,2025-03-18T12:21:32+09:00,2025-03-18T12:24:13+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,995,"アイテムをゲットした有村智恵と大谷翔平の2ショット？【写真：有村智恵のInstagram（@chiearimura）より】
有村智恵が自身のインスタグラムを更新。SHIBUYA TSUTAYAで開催されている、大谷翔平シグネチャーコレクションの期間限定店「The Shohei Ohtani Collection Tokyo」に遊びに行ったことを投稿した。
【写真】大谷翔平のサイン入り！ グローブの形をしたソファは必見【有村智恵のInstagramより】
このイベントは3月15日から23日の9日間限定で開催。ニューバランスと大谷翔平が出会うことで誕生した「Shohei Ohtani Signature Collection」の販売、そして両者が共に歩んできた軌跡を体感することができる。

有村も「大谷翔平選手をキービジュアルに起用したNew Training Apparelや、オープンを記念してこの店舗でしか購入できない限定アイテムが販売されています」「そしてそして、2024年9月19日のマイアミでの歴史的な日に大谷翔平選手が着用していたクリーツ（スパイク）の展示もされてました」と嬉しそうに紹介。

「また、7階のカフェはNB×大谷選手一色で、メニューはドジャーススタジアムをイメージしたものであったり、大谷選手のサイン入りのグローブソファがあったり」。

さらにシグネチャーロゴを描いた、「SLAM DUNK」の作者として知られる井上雄彦のコーナーも設けられており「井上雄彦先生のファンとしても完全に心躍る空間でした！！」と、有村のワクワク感がとどまることは無い様子だ。

投稿では13枚の写真を一挙に公開。大谷の昨年のホームラン数と盗塁数にちなんだ「50/50 club」と記されたボードや、大谷の手の大きさを表示したパネルに手を当てた写真、大谷が使用したスパイク、レストランのメニューなど。そして大谷のサイン入りのグローブソファに嬉しそうに腰掛けた写真の後には、会場でゲットしたシグネチャーコレクションのキャップと大きな紙袋を手に、大谷の写真の前でポーズをとっていた。

「ここじゃないと見れないものもたくさんありますし、期間中イベントなども行われているみたいなので、是非みなさんこの機会に渋谷へも足を運んでみてください」とファンにも遊びに行くことを熱烈に推奨していた。",[],[]
マスターズに向けて視界良好！ “第5のメジャー”月曜決着POはマキロイが圧勝（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/7caac04973316e4de84a6a5bdd69c7811a8e72ef,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000014-alba-000-1-view.jpg?exp=10800,2025-03-18T12:00:05+09:00,2025-03-18T12:00:26+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,1489,"ローリー・マキロイは今季2勝目を挙げた
＜ザ・プレーヤーズ選手権　最終日◇17日◇TPCソーグラス ザ・プレイヤーズ・スタジアムC（フロリダ州）◇7352ヤード・パー72＞
【連続写真】世界No.1の飛ばし屋ローリー・マキロイは“右肩”でつかまえてシャフトで逃がしていた!?
3ホールのプレーオフが行われた月曜朝、TPCソーグラスの気温は11度。西北西から時速10ｍを超える強風が吹くタフなコンディションだった。

世界ランキング2位のローリー・マキロイ（北アイルランド）とJ.J.スポーン（米国）との一騎打ちは、同コースのアイランドグリーンの名物ホール、17番パー3を含む上がり3ホールのトータルで行われた。結果はマキロイがトータル1オーバー、17番パー3で池に落としトリプルボギーとしたスポーンは完敗だった。

戦績も経験も圧倒的に上だったマキロイだが、それでも前夜は眠れなかったという。雷雨による中断があった日曜日、一時はスポーンに3打リードしたが勝ちきれなかった。

「すごく残念だった。ホテルに戻ってルームサービスで食事をして…。その後は気持ちを切り替える必要があった。だから映画、“プラダを着た悪魔”を見てベッドに入った。だけど3時に起きてしまった…」と、もう一度眠ることはできなかったという。

世界で42勝を挙げているマキロイだが、一方で何度も悔しい負けも味わっている。昨年の「全米オープン」もその1つ。最終日の18番で短いパットを外して勝利を逃した。

「朝は不安だった」とプレッシャーがあったという。「だからとにかく良いスタートをすることが大事だと思った。良いスイングをすることに集中した」。大会中、マキロイのドライバーは決して安定していなかった。ファエウェイキープ率は4日間で50％（28/58）を切った。

それでも、プレーオフ1ホール目となった16番パー5では追い風の中、340ヤードを超えるビッグドライブでフェアウェイを捉えた。このティショットが勝利を引き寄せたのかもしれない。セカンドも難なくグリーンを捉えて2パットバーディ。一方、スポーンは圧されたようにティショットを右ラフに入れるとバーディを奪えなかった。

勝敗を分けたのは“アイランドグリーン”になっている名物ホール17番パー3だった。先に打ったマキロイは9番アイアンで9メートルにオン。アゲンストの風の中、スポーンは8番アイアンでピンにまっすぐ向かったが、まさかのグリーンオーバーで池を直撃した。3パットとしたマキロイがボギーとしたのに対し、スポーンは第3打も寄せきれずに「6」のトリプルボギー。マキロイは「あのショットはJJが気の毒だった。すごく良いショットだったのに風が吹かなかった」と思いやった。

負けたスポーンは「おそらく今のゴルフは僕のキャリアで最高のプレーだ。今の自分をとても誇りに思うし、自分を信じることもできるようになった」と悔しさを滲ませながらも胸を張った。

昨年はこの“第5のメジャー”プレーヤーズ選手権で大会連覇を挙げたスコッティ・シェフラー（米国）が4月のマスターズ・トーナメントも制した。「スコッティをとらえようとみな必死でプレーしている。彼のお陰で僕のプレーも上達している」と話すマキロイは “キャリア・グランドスラム”達成まであとマスターズを残すだけ。

そのマスターズまであと3週間。「3週は長すぎる。だからテキサスのどちらか、ヒューストンかアンアントニオに出てしっかりと調子を整えたい」と、11年ぶりのメジャー制覇を目指す。（文・武川玲子＝米国在住）",[],[]
「今季活躍しそうな女子プロ」ランキング！ 12位は世界ランクが日本勢トップの選手（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/bee0b49f52010986eabd62e7a5ad164f77eed6a0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000013-alba-000-1-view.jpg?exp=10800,2025-03-18T11:45:05+09:00,2025-03-18T11:45:22+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,1288,"「今季活躍しそうな女子プロ」ランキングで、僅差の12位となったのは、世界ランクが日本勢最上位の選手
過去最多の13人が参戦する米女子ツアーに続き、国内女子ツアーも「ダイキンオーキッドレディス」を皮切りにスタート。そこで、「今季活躍しそうだと思う女子プロ」は誰か、雑誌『ALBA』の読者にアンケートを実施。人気の高い渋野日向子や岩井姉妹、竹田麗央などがランクインする中、僅差でトップ10入りならず、12位だったのが古江彩佳だ。
【ランキング】今季活躍しそうな女子プロは？ 1位～10位をチェック！
【12位】
古江彩佳

僅差で12位となったのは古江彩佳。3歳の頃に母親のゴルフコンペの練習について行き、クラブを振ったことがきっかけでゴルフを始める。その時から父・芳浩さんがコーチを務めているが、芳浩さんに元々ゴルフの知識はなく、一緒に覚えながら練習に励んだ。

西村優菜、吉田優利、安田祐香、阿部未悠らと同じ2000年度生まれの“プラチナ世代”。特に安田とは滝川第二高校の級友で、3年間同じクラスだった。17年、16歳の時にJGAナショナルチーム入り。同年の「全日本高等学校ゴルフ選手権」では個人・団体ともに優勝を果たす。

19年は、「日本女子アマチュアゴルフ選手権」の最終日にJGAの役員が運転するカートが接触して3番ウッドが折れるアクシデントに見舞われるも、それを乗り越えて「富士通レディース」ではツアー史上7人目のアマチュア優勝を遂げる。この優勝でプロテスト免除となり、同年の10月にプロ宣言。20年の「デサントレディース東海クラシック」で、プラチナ世代一番乗りとなるプロ初勝利を挙げた。コロナ禍で統合された2020-21シーズンは6勝を挙げて、賞金ランキングは稲見萌寧に次ぐ2位。メルセデス最優秀選手賞と新人賞を受賞した。

22年から米国女子ツアーに主戦場を移す。7月の「トラストゴルフ・スコティッシュ女子オープン」の最終日に首位と4打差の9位タイからスタートすると「62」をマークして逆転。ルーキーイヤーに米ツアー初優勝を果たした。2024年の「アムンディ・エビアン選手権」で米ツアー2勝目を挙げ、樋口久子、渋野日向子、笹生優花に続く日本勢4人目の海外メジャーVを達成している。

そんな古江は今季も好調な滑り出しで、「HSBC女子世界選手権」では2位、「ブルーベイLPGA」では3位に付けている。安定感のあるプレースタイルはファンも認めるところで、「大きなミスをしない」「正確なショット」が投票理由に挙げられていた。

3月17日付けの女子世界ランキングでは、日本勢トップの7位に付けている。今季は米女子ツアーへの参戦選手も多いが、その中でどれだけの優勝を積み重ねてくれるか、期待せずにはいられない。

【主な投票コメント】
・安定感がすごい。
・ミスの少ないプレースタイルだから。
・古江さん自身が大好き。

◇　◇　◇

1位～10位にランクインしたのは？→関連記事【渋野日向子に岩井姉妹、竹田麗央は？「今季活躍しそうな女子プロ」ランキング！】をチェック！",[],[]
親友・マキロイに続け！　Ｓ・ローリーがV予想本命　日本勢は4人が出場（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/c41b8151f0af378438504fe892c920457949fc24,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000012-alba-000-4-view.jpg?exp=10800,2025-03-18T11:30:05+09:00,2025-03-18T12:26:58+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,944,"シェーン・ローリーが優勝予想最有力
＜バルスパー選手権　事前情報◇17日◇イニスブルックリゾート＆GC コパーヘッドC（フロリダ州）◇7352ヤード・パー71＞
【連続写真】世界No.1の飛ばし屋ローリー・マキロイは“右肩”でつかまえてシャフトで逃がしていた!?
米国男子ツアーのフロリダスイング最終戦「バルスパー選手権」が現地13日（木）から開催される。開幕に先立ち、米国男子ツアー公式サイトではパワーランキング（優勝予想）が発表された。

優勝予想1番手に選ばれたのは、シェーン・ローリー（アイルランド）。フロリダスイング初戦の「コグニザントクラシックinパームビーチ」を11位タイで終えると、その後も7位→20位タイと好調を維持している。

前週の「ザ・プレーヤーズ選手権」は親友のローリー・マキロイ（北アイルランド）が優勝。この大会は2022年以来の出場となるが、今季初Vに期待がかかる。

対抗馬はトミー・フリートウッド（英国）。22年大会は22位、23年大会は3位に入っており好相性。今年の最高成績は2月の「ジェネシス招待」で挙げた5位となっている。3番手以降は、ルーカス・グローバー（米国）、ジョーダン・スピース（米国）、コーリー・コナーズ（カナダ）が選ばれた。世界ランキング3位のザンダー・シャウフェレ（米国）は14番手となった。

日本勢は、久常涼、星野陸也、金谷拓実、大西魁斗の4人が出場。優勝予想には選出されなかったが、前評判を覆す活躍に期待したい。

【優勝予想ランキング】
1位：シェーン・ローリー（15）
2位：トミー・フリートウッド（9）
3位：ルーカス・グローバー（33）
4位：ジョーダン・スピース（66）
5位：コーリー・コナーズ（27）
6位：セップ・ストレイカ（11）
7位：ジャスティン・トーマス（10）
8位：サム・バーンズ（32）
9位：アレックス・スモーリー（113）
10位：ベン・グリフィン （52）
11位：マイケル・キム（54）
12位：クリスティアン・ベゾイデンハウト（55）
13位：ジェイク・ナップ （84）
14位：ザンダー・シャウフェレ（3）
15位：ラスムス・ニールガード-ピーターセン（77）
※（）内は世界ランキング",[],[]
韓国女子ツアーの開幕戦で優勝争いを演じた山下美夢有 開催地タイのプーケットから結果報告「慣れない土地での試合でしたが」（ゴルフ総合サイト ALBA Net）,https://news.yahoo.co.jp/articles/e5adac81868b0486fdee303a3fcdcec03d950e1d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-00000011-alba-000-1-view.jpg?exp=10800,2025-03-18T11:05:26+09:00,2025-03-18T11:08:16+09:00,ゴルフ総合サイト ALBA Net,alba,ゴルフ総合サイト ALBA Net,728,"シーズン序盤から米国、シンガポール、中国、タイと転戦する山下美夢有（撮影：ALBA）
山下美夢有が自身のインスタグラムを更新。タイで開催された韓国女子ツアー（KLPGA）の開幕戦「ブルー・キャニオン女子選手権」に出場したことを投稿した。
【写真】移動に使った車種はこちら！ ミニスカートの山下美夢有も満足げ【本人のInstagramより】
「慣れない土地での試合でしたが、Mazdaの皆さんに移動を全てお世話になり、何不自由なく過ごすことができました！」と記すと、マツダの白い車にそっと手を添えた写真を公開した。山下は淡いグリーンの長袖Tシャツに白いミニスカートというカジュアルなスタイルで、リラックスした笑顔を浮かべている。

大会が開催されたブルー・キャニオンCCは、リゾート地としても知られるプーケット島にあるチャンピオンシップコース。山下は「プーケットのビーチでの景色も凄く綺麗でリラックスできました」として、2枚目には海に夕日が沈む美しい写真を公開した。

この大会で山下は2日目まで首位タイをキープ。しかし決勝ラウンドでスコアを伸ばすことができずトータル9アンダー、11位タイでのフィニッシュとなった。それでも投稿は「皆さん応援ありがとうございました」と感謝の言葉で締めくくった。

この投稿に、かつては米国女子ツアーにも参戦、昨年は日本のプロテストに合格した山口すず夏は「えぇ可愛い！！ スカートも似合ってる」とコメント。ファンからも「4日間お疲れ様でした」「お体に気をつけて、次戦も是非頑張ってください～」「色々な国でプレーすることで経験値を増やしてますね。素晴らしい」「次の試合も頑張ってください！！」など、たくさんの声援が送られていた。",[],[]
