headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「重機置いたまま逃げた」林業重機4台焼失…「焼け爛れて水が送れない」農業用水断絶…ワカメ「生のまま出荷」で収入10分の1に　大船渡山火事で一次産業を直撃　岩手県（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/ccbd2976fd74ee11c44f709f3d5d5532c677b881,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021975-nmit-000-2-thumb.jpg?exp=10800,2025-03-18T21:46:01+09:00,2025-03-18T22:14:01+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,1463,"岩手めんこいテレビ
大規模な山林火災のあった岩手県大船渡市では、様々な産業で復旧に向けた多くの課題が浮き彫りになっています。
火事で重機や設備を失った被災者からは、生業の再建に向けた支援を求める切実な声が聞かれました。

気仙地方森林組合　河野文彦参事
「非常に運が悪かったというか。本当に、想定外ですね」

大船渡市の山林火災で林業の深刻な被害を受けたのは、住田町に本社を置く気仙地方森林組合です。

ＦＮＮ取材団　増子智絵美記者
「大きな車体が煤にまみれ運転席もすっかり焼け落ちて、使うことができなくなりました」

この組合では大船渡市と住田町で森林の管理や木材の生産などをしています。
今回の山林火災が発生した当時、三陸町綾里の小路地区で男性作業員3人が木の伐採作業をしていましたが、火の手が迫っていたため重機を置いて避難しました。

気仙地方森林組合業務課　千葉憲一課長
「いろんな所から火の手が上がっていたので（重機は）逃げ場がなかった」

火災で焼けた重機は4台。1台当たり2000万円から3000万円ほどするため新たに購入すると、合わせて8000万円以上の費用がかかるといいます。
組合では公的な支援が必要だと考えています。

気仙地方森林組合　河野文彦参事
「とりあえずり災証明書を発行してもらいたい」

今回の山林火災では林業だけでなく、農業や水産業への被害も広がっています。

農畜産業　古内嘉博さん
「ほとんどここに農業で使う資材が入っていて、また一から揃えるのが大変」

赤崎町合足で農畜産業を営む古内嘉博さん（69）は、農薬の散布機といった農業用の資機材を保管していた納屋など6棟が全焼しました。被害額は機材や資材だけで少なくとも200万円に上るといいます。

また、古内さんは50アール近くの田んぼを所有していて山から農業用水を引いていますが、現在、米を作る30アールの田んぼに水は届いていません。

ＦＮＮ取材団　氏家彦斗記者（3月15日）
「木々は黒く焼け焦げ、辺りには焦げ臭い匂いが漂っています。こちらにある黒いパイプは山の沢から農業用水などを送っていましたが、焼け爛れて水を送れなくなっています」

古内さんは通常であれば4月中旬から下旬ごろには田植えの準備作業に取りかかりますが、「今のままでは今年の稲作は難しいのでは」と話します。

農畜産業　古内嘉博さん
「パイプ（の復旧）が間に合えば良いが、沢水（農業用水）が復活しないと、今年はこのままだと（米作りは）無理かな。大変」

一方、焼け跡を見つめるのは三陸町綾里のワカメ漁師の古川祐介さん（40）です。
自宅や船は無事でしたが、漁に使う資材などを置いていた作業場が全焼。被害額は1000万以上にのぼると話します。

ワカメ漁師　古川祐介さん
「ここがやられちゃったら今年はボイルワカメができない」

ワカメを茹でたり塩漬けにしたりする機械も燃えたため、収獲したとしても特産の湯通し塩蔵ワカメを作ることはできません。

養殖したワカメを無駄にしないため収獲し生のまま出荷することを決めましたが、その卸値は茹でたワカメと比べると10分の1ほどに下がってしまうといいます。

ワカメ漁師　古川祐介さん
「焼けてしまったものは仕方ないが、普段通りにワカメができないのは悔しい。生活支援もだが、建物や道具を支援してほしい思いはある」

岩手を支えてきた大船渡の一次産業。
生業の復旧に向けた一刻も早い支援が求められています。
岩手めんこいテレビ",[],[]
花巻東（岩手）14安打10得点　7年ぶり「春1勝」　初戦で米子松蔭（鳥取）と対戦　春のセンバツ甲子園開幕　（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/3cdb688ada8e1b81a47e29e96bd8c2b1d006d998,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021982-nmit-000-1-view.jpg?exp=10800,2025-03-18T19:35:01+09:00,2025-03-18T19:35:01+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,695,"岩手めんこいテレビ
春のセンバツ甲子園が3月18日に開幕しました。
3年ぶり5回目の出場となった岩手県の花巻東高校は、初戦で鳥取県の米子松蔭高校と対戦し、7年ぶりの「春1勝」を手にしました。

甲子園球場では午前9時から出場32校が参加して開会式が開かれました。
3年ぶりの出場となる花巻東は憧れの舞台で堂々とした行進を披露。

選手宣誓では市立和歌山高校の川邉謙信キャプテンが未来への誓いを述べました。

市立和歌山　川邉謙信主将
「大好きな高校野球をさらに魅力あるものに発展させ、未来の高校球児へとつないでいく責任があります」

そして、18日の第2試合にはさっそく花巻東が登場。初回から米子松蔭の投手をとらえます。

ヒットとフォアボールで2人のランナーを置きバッターは4番・赤間。センターを超えるタイムリーツーベースで花巻東が先制します。
さらに、5番・高橋蓮太郎のセンターへの犠牲フライなどでリードを3点に広げます。

花巻東の先発はエース金野。ランナーを出しながらも粘りの投球をみせますが、3回、タイムリーを打たれ1点を失います。

しかし花巻東はそのウラ、6番・山崎のタイムリーツーベースで2点をあげ、さらに追加点のチャンス。
ここで迎えるバッターは大船渡市出身の7番・森下。センター前へのタイムリーで追加点を奪います。

中盤以降は金野が要所を抑えるピッチングで相手打線に得点を許さず。
その後も得点を重ねた花巻東が14安打10得点、甲子園では初めてとなる2ケタ得点をあげ7年ぶりに「春1勝」を手にしました。

花巻東（岩手 ）10－2 米子松蔭（鳥取）
岩手めんこいテレビ",[],[]
「待ちに待っていた」ゆぴあすの温水プールと浴場　5カ月ぶりに再開　配管に穴が開き温水でない状態　岩手県盛岡市　（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/656193f9b0e0a0c1291112c0ced3471860a4166f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021981-nmit-000-2-thumb.jpg?exp=10800,2025-03-18T18:35:01+09:00,2025-03-18T23:38:01+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,562,"岩手めんこいテレビ
配管に穴が開き2024年10月から温水が使えない状態になっていた岩手県盛岡市の「ゆぴあす」で、プールと浴場が3月18日、5カ月ぶりに営業を再開しました。

午前10時に営業が再開されると心待ちにしていた人が続々と訪れました。

盛岡市上田にある「ゆぴあす」は、隣のごみ焼却施設・盛岡市クリーンセンターで発生する熱を活用して温水プールなどを運営しています。

しかし2024年10月に温水が出なくなったため営業を休止。
重機で地面を掘り調べたところ、地下の配管に縦5ｃｍ・横3ｃｍほどの穴が開いていたことが分かり修理しました。

18日、温水プールには地域の住民や親子連れなどが駆けつけ、楽しそうに利用していました。

利用客は「まだまだかと待ちに待っていた、楽しみに。始まって良かった」「本当にうれしい。月・水・金は必ず来ようと思っている」と話していました。

また、併設されている浴場も18日再開。市民がほっとできる憩いの場がかえってきました。

ゆぴあす　河内康信館長
「やっとこの日を迎えられて非常にうれしく思っている。安心安全に地域の皆さんに楽しく利用していただける施設を目指して、これからも何とか頑張って営業していきたい」

ゆぴあすは毎月第2火曜日が定休日となっています。
岩手めんこいテレビ",[],[]
盛岡市の中学生が大船渡市に見舞金　山火事の被災現場を視察「被害が思っていたよりすごい」早期の復興願う　岩手県（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/983ad52014033c51768d0e055ebf0becfc0ad136,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021980-nmit-000-2-view.jpg?exp=10800,2025-03-18T18:16:01+09:00,2025-03-18T22:10:01+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,546,"岩手めんこいテレビ
大規模な山林火災でい大きな被害を受けた岩手県大船渡市には3月18日、盛岡市の中学生が訪れ支援をしようと募金活動で集めた見舞金を市に寄付しました。
生徒たちは視察も行い、街の早期復興を願っていました。

18日は盛岡市の渋民中学校の1、2年生5人が大船渡市役所を訪れ、市教育委員会の佐藤和生学校教育課長に見舞金の目録を手渡しました。

見舞金は大船渡市の山林火災で被災した人たちを支援しようと、1、2年生の有志が2月下旬から全校生徒や地域住民に呼び掛けて集めたものです。

募金活動の結果、11万1067円の善意が寄せられました。

佐藤和生学校教育課長は「すぐに行動して寄付していただきありがたい」と感謝していました。

この後、生徒たちはほかの同級生たち20人と合流し被災した現場を視察。
大船渡市末崎町の赤土倉漁港から対岸にある山の焼け跡を眺め、被害の大きさを実感していました。

生徒からは「（自分の家が）もし焼けたら悲しいし、これから先不安になると思う」「（被害が）思っていたよりすごくて、鎮火しているわけではないので一刻も早く鎮火して復興を願いたい」などの声が聞かれました。

今回の見舞金は大船渡市の災害復旧や復興事業に活用される予定です。
岩手めんこいテレビ",[],[]
大谷翔平選手のグッズショップ　期間限定で花巻空港にオープン　「東京シリーズ」限定商品も　岩手県（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/ba5eacb285da633e0418e6c486bb28a2cc7f75dd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021979-nmit-000-2-view.jpg?exp=10800,2025-03-18T17:54:01+09:00,2025-03-18T22:07:01+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,547,"岩手めんこいテレビ
岩手・花巻東高校出身でドジャースの大谷翔平選手は3月18日、日本で開幕戦を迎えます。
こうした中、花巻空港では大谷選手のグッズを集めた期間限定ショップがオープンしました。

メジャーリーグ開幕戦に合わせて花巻空港に開設された期間限定のグッズショップは、大谷選手の商品を中心にレプリカユニフォームやタオルなど約300種類のメジャーリーグ公式グッズが販売されています。

大谷選手の缶バッジや東京シリーズのワッペンがついた帽子など、18日と19日に東京で行われるメジャーリーグ東京シリーズのグッズは数量限定で、県内では花巻空港でのみ販売されるということです。

売り場への入場には整理券が必要で県空港ターミナルビルに事前にメールを送り応募することができます。

開店初日の18日は朝から多くの人が訪れ目当ての商品を買い求めていました。

来店客は「このためだけに来た。大谷選手の横顔のタオルとぬいぐるみ（を買った）
」と話していました。

県空港ターミナルビル　高橋達也社長
「岩手県に注目される選手がたくさんいるということで、みんなで応援したいし　この機会に多くの皆さんにご利用いただきたい」

期間限定ショップは3月31日まで花巻空港に開設されています。
岩手めんこいテレビ",[],[]
盛岡大学で卒業式　2つの学部と短期大学部のあわせて448人が門出　岩手県（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/f1c888a8c23748eb86c20773b088b88f3227b8ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021978-nmit-000-2-thumb.jpg?exp=10800,2025-03-18T17:32:01+09:00,2025-03-18T22:07:01+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,549,"岩手めんこいテレビ
3月18日、盛岡大学（岩手県）の卒業式が開かれ、卒業生が学生生活を一緒に過ごした仲間とともに新た1歩を踏み出しました。

2つの学部と短期大学部のあわせて448人が門出を迎えた盛岡大学の卒業式。
マスク着用などの制限がなく卒業式が行われるのは6年ぶりです。

卒業生代表　吉川あす華さん
「4年間全てが思い描いていたゴールではなかったかもしれませんが、良き友人たちや先生方、多くの方々と出会い過ごした時間、得てきた学び・経験は私たちの人生の大きな糧となります」

式ではそれぞれの学部の代表に学位記が手渡され、高橋俊和学長は「皆さんは様々な可能性を秘めている。今後、自分の選んだ道で地域社会に貢献してほしい」とエールを送りました。

式のあとは学生生活を共に過ごした仲間と記念撮影し思い出を振り返っていました。

卒業生
「とりあえず単位習得して卒業できたのがうれしい。4月からみんな頑張ろうね～」
「卒業式は肩を組めるくらいの距離感で開催できてすごくうれしい」
「自分一人で頑張れたことではないので、仲間と協力しながらできる強さとか、そういったものを教員になっても生かせたらいい」

卒業生たちは自分の可能性を信じて社会人としての新たな一歩を踏み出します。
岩手めんこいテレビ",[],[]
盛岡少年刑務所の受刑者2人に懲役1年　刑務官への贈賄　「刑務官の職務意識の低さにつけ込み物品を要求した」盛岡地方裁判所　岩手県（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/6a537d87331cc50b21001703bd3c28284bbceffe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021976-nmit-000-2-thumb.jpg?exp=10800,2025-03-18T17:01:02+09:00,2025-03-18T22:04:02+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,654,"岩手めんこいテレビ
盛岡少年刑務所（岩手県盛岡市）の刑務官が、生活上の便宜を図る見返りに受刑者と現金をやり取りしたとされる事件で、盛岡地方裁判所は3月18日、31歳と24歳の受刑者の男それぞれに懲役1年の有罪判決を言い渡しました。

判決を受けたのは盛岡少年刑務所の平田将受刑者（31）と中村綾受刑者（25）です。

判決によりますと、平田受刑者と中村受刑者は盛岡少年刑務所の刑務官から持ち込みが禁止されている酒やたばこを差し入れてもらうなど、服役生活をする上での便宜を図ってもらった見返りに、2023年11月から2024年1月までの間、この刑務官に対し賄賂として現金を渡しました。

贈賄の金額は平田受刑者が合計15万円、中村受刑者は合計18万5000円でした。

18日の判決公判で中島真一郎裁判長は、2人に対し「刑務官が被告人の歓心を買おうとして菓子を与えたことが発端であるものの、被告人も刑務官の職務意識の低さにつけ込み物品を要求した」と事件を振り返りました。

この上で当時の状況を踏まえ平田受刑者には「必ずしも受動的な立場だったとは言えない」、中村受刑者には「主体的、積極的に関わっている側面もある」と指摘しました。

その一方で「事実を認め反省の態度を示している」などとして、それぞれに懲役1年の判決を言い渡しました。

この事件をめぐっては、当時、盛岡少年刑務所の刑務官だった坂本孝誠被告（27）が収賄などの罪で起訴され、17日執行猶予付きの有罪判決が言い渡されています。
岩手めんこいテレビ",[],[]
建物被害の現地調査始まる「大船渡の山林火災」　総務省消防庁も職員を現地に派遣　岩手県（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/f392a152b94de55b90563b0433a36519293dde2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021977-nmit-000-2-thumb.jpg?exp=10800,2025-03-18T17:00:02+09:00,2025-03-18T21:58:01+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,443,"岩手めんこいテレビ
岩手県大船渡市で発生した大規模な山林火災は焼失面積は約2900ヘクタール、建物被害は210棟に上ります。
現地では消防などによる建物の被害状況の本格的な調査が始まっていて、3月18日も赤崎町外口地区などで調査が行われました。

ＦＮＮ取材団　氏家彦斗記者：
赤崎町外口です。警察と消防が写真を撮りながら被害状況の調査を進めています。

この調査は詳細な被害状況を把握しようと、地元の消防と県警などが17日から行っています。

今回の火災では、これまでに合わせて210棟の建物被害が確認されていて、このうち被害の大きい赤崎町外口地区では、18日、消防や警察がメジャーを使って焼けた範囲を測るなどしていました。

また、総務省消防庁も17日から職員を現地に派遣していて、延焼が拡大した原因について詳しく調査を行っています。

大船渡市では3月9日に「鎮圧」が発表されていますが、焼失面積が広く確認に時間を要することから「鎮火」のめどは立っていません。
岩手めんこいテレビ",[],[]
児童が描いた「桜の絵画」展示会　力作ぞろい65点　盛岡駅で開催　岩手県盛岡市（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/a67ae7ee7358389af1b773340dbf32f204490a4b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021973-nmit-000-1-thumb.jpg?exp=10800,2025-03-18T12:54:01+09:00,2025-03-18T12:54:01+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,377,"岩手めんこいテレビ
岩手県内の小学生が桜をテーマに描いた絵の展示会が盛岡駅で開かれています。

この展示会は盛岡信用金庫が毎年、開催しています。
盛岡駅構内の会場には、力強いタッチで表現された夜の石割桜や馬の後ろで凛と咲き誇る小岩井農場の桜など、桜をテーマにした絵画コンクールで入賞した県内の小学生の作品65点が展示されています。

このうち九戸村の長興寺小学校2年の八重樫菜楓さんの作品には、太い幹から白やピンクの花が鮮やかに咲く生命力あふれる校庭の桜が描かれています。

盛岡信用金庫 地域応援課の田中紳也課長は「子どもたちがそれぞれ感じたものが表現されている。絵を楽しんでいただいたあと実際に（県内の桜の名所を）回ってもらいたい」と話していました。

展示会は4月30日まで盛岡駅の南北自由通路「わんこロード」で開かれています。
岩手めんこいテレビ",[],[]
酒気帯び運転で懲戒処分　特別支援学校教諭と岩大教育学部附属学校の教諭　岩手県（岩手めんこいテレビ）,https://news.yahoo.co.jp/articles/c53f35c9fa91bc78ef4aea1747705caa610d9203,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250318-90021972-nmit-000-1-thumb.jpg?exp=10800,2025-03-18T12:33:02+09:00,2025-03-18T12:33:02+09:00,岩手めんこいテレビ,nmit,岩手めんこいテレビ,423,"岩手めんこいテレビ
2024年11月、岩手県盛岡市内の国道で酒気帯び運転をしたとして、県教育委員会は宮古市内の特別支援学校に勤務する46歳男性教諭を3月17日付けで懲戒免職処分としました。

17日付で懲戒免職処分となったのは、宮古恵風支援学校の46歳の男性教諭です。

県教委によりますと、男性教諭は2024年11月28日の午前4時50分ごろ、盛岡市内の国道で警察の呼気検査を受け基準を超えるアルコールが検出されました。

男性教諭は前の日の午後7時ごろから約2時間半にわたって自宅で焼酎の水割り500ミリリットルを7杯ほど飲んでいたということです。

聞き取りに対し男性教諭は「酒が残っている自覚はなかった」と話しています。

一方、岩手大学も17日付で懲戒処分を発表しました。
岩手大学は2025年1月24日に酒気帯び運転の疑いで摘発された岩手大学教育学部附属学校に勤める40代の男性教諭を17日付で懲戒解雇としました。
岩手めんこいテレビ",[],[]
