headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【MLB】低迷するブレーブスに朗報　正捕手マーフィーが故障者リストから復帰　控えのトロンプがDFAに（MLB.jp）,https://news.yahoo.co.jp/articles/4ad1747e60d8f876ce90aad081297605b2bd2521,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010011-mlb-000-1-view.jpg?exp=10800,2025-04-07T17:58:56+09:00,2025-04-07T17:58:56+09:00,MLB.jp,mlb,MLB.jp,929,"ブレーブスのショーン・マーフィー（MLB Advanced Media）
開幕7連敗を喫するなど、ここまでメジャーワーストの1勝8敗と苦戦が続いているブレーブス。スペンサー・ストライダー、ロナルド・アクーニャJr.という投打の主軸の早期復帰が待たれるが、まずは正捕手が戦列に戻ってきた。日本時間4月7日、ブレーブスは左肋骨にひびが入って故障者リスト入りしていたショーン・マーフィーが戦列復帰。有望株ドレイク・ボールドウィンが控え捕手としてメジャーに残り、控え捕手のチャドウィック・トロンプのDFAが発表された。
【動画】ショーン・マーフィーがマイナーの試合で2ラン本塁打を放つ
現在30歳のマーフィーは今季が6年契約の3年目。アスレチックス時代の2021年にゴールドグラブ賞を受賞し、ブレーブス移籍1年目の2023年にはオールスター・ゲーム選出を果たした実力者だが、昨季は故障もあって自己ワーストの成績に終わり、今季はオープン戦で死球を受けた影響で出遅れていた。マイナーでは3試合に出場し、本塁打を放つなどまずまずの仕上がり。正捕手の復帰とともに、メジャー屈指の常勝軍団が息を吹き返すか注目される。

　マーフィーの離脱に伴って開幕からメジャーのロースターに抜擢されていた24歳のボールドウィンは、今後もメジャーの一員としてプレーすることが決まった。マイナーでレギュラーとして実戦経験を積ませる選択肢もあったが、ブレーブスはたとえ控えであってもボールドウィンをメジャーのロースターに入れておくほうが得策と判断したようだ。ボールドウィンは開幕からレギュラーに近い形で起用されており、ここまで7試合に出場。今後は2番手捕手を務めつつ、マーフィーから様々なことを学ぶことになりそうだ。

　ブレーブスがマーフィーとボールドウィンの体制で戦うことを選択したことにより、30歳のトロンプはDFAとなった。ここ数年はマーフィーとトラビス・ダーノー（現エンゼルス）に次ぐ3番手捕手という扱いだったが、今季はマーフィーの離脱もあり、2番手捕手として開幕。しかし、ここまで2試合の出場にとどまっており、マーフィーに次ぐ2番手捕手の座を有望株ボールドウィンに奪われる形となった。",[],[]
【MLB】ブルージェイズが主砲ゲレーロJr.と契約延長　後払いなしの「14年5億ドル」で合意　米報道（MLB.jp）,https://news.yahoo.co.jp/articles/1e280f5c76d0c47c34b6fb87bcee1d7650886e4c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010010-mlb-000-2-view.jpg?exp=10800,2025-04-07T13:36:40+09:00,2025-04-07T13:38:04+09:00,MLB.jp,mlb,MLB.jp,957,"ブルージェイズのブラディミール・ゲレーロJr.（MLB Advanced Media）
日本時間4月7日、ブルージェイズが主砲ブラディミール・ゲレーロJr.と14年5億ドルの契約延長を結ぶことで合意したことが明らかになった。米スポーツ専門チャンネル「ESPN」のジェフ・パッサン記者など、複数のメディアが報じている。パッサン記者によると、今回の契約延長には後払いは含まれておらず、契約の現在価値はそのまま5億ドルということに。現在価値で5億ドルを求めていると言われていたゲレーロJr.の希望に球団側が応える形で契約延長が実現した。
【動画】ブルージェイズのブラディミール・ゲレーロJr.が今季初安打を放つ
現在26歳のゲレーロJr.は、殿堂入り外野手のブラディミール・ゲレーロを父に持ち、2021年に大谷翔平（当時エンゼルス）と本塁打王争いを繰り広げたことで日本でも有名になったスラッガー。本塁打王1度、オールスター・ゲーム選出4度、シルバースラッガー賞2度、ゴールドグラブ賞1度、オールスターMVP1度、ホームラン・ダービー優勝1度の実績を持ち、メジャー6年目の昨季は159試合に出場して打率.323、30本塁打、103打点、OPS.940の好成績をマークした。

　今季終了後にFAとなる予定だったゲレーロJr.は「スプリング・トレーニング初日」を契約延長の交渉期限に設定し、ブルージェイズとの契約延長交渉が合意に至らなかったことを明かしていた。その時点ではゲレーロJr.の希望条件と球団側の提示条件にはかなりの開きがあったとみられるが、ブルージェイズは根気強く交渉を継続。最終的にはゲレーロJr.の希望に応え、後払いなしの14年5億ドルという巨額の契約をオファーして契約延長を実現させた。

　これにより、ゲレーロJr.はブルージェイズ一筋のフランチャイズ・プレーヤーとしてキャリアを全うすることがほぼ確実に。ブルージェイズは中長期的な視野に立ってチーム編成を行うことが可能になり、今後の補強戦略にも大きな影響が出てくるはずだ。今季終了後のFA市場からは目玉が1人消えたことになり、カイル・タッカー（カブス）ら有力選手にも影響が出てくるほか、ゲレーロJr.を狙っていた他球団の補強戦略にも影響を与えるだろう。",[],[]
【MLB】RソックスがWヘッダー連勝　打線爆発でカージナルスを撃破　デバースとブレグマンがともに4安打（MLB.jp）,https://news.yahoo.co.jp/articles/c513017ebc9b27936cd2dbac61c53a169a8b0a97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010009-mlb-000-3-view.jpg?exp=10800,2025-04-07T11:27:31+09:00,2025-04-07T21:32:42+09:00,MLB.jp,mlb,MLB.jp,949,"ダブルヘッダー第2試合【カージナルス7－18レッドソックス】＠フェンウェイ・パーク
レッドソックスのウィルヤー・アブレイユ（MLB Advanced Media）
日本時間4月7日、カージナルス対レッドソックスのダブルヘッダー第2試合は全米中継の「サンデーナイト・ベースボール」として行われ、レッドソックスが18対7で大勝。カージナルス3連戦をスイープして5連勝となった。レッドソックスのハンター・ドビンスはメジャー初登板初先発で5回8安打2失点と力投し、メジャー初勝利をマーク。レッドソックス3番手のクーパー・クリスウェルが3回4安打5失点（自責点4）でメジャー初セーブを挙げ、カージナルス先発のマイルズ・マイコラスは3回途中11安打9失点（自責点8）で今季初黒星を喫した。
【動画】アブレイユがライトからの好返球でヌートバーを三塁タッチアウトに
ダブルヘッダー第1試合でサヨナラ勝ちを収めたレッドソックスの勢いが第2試合で爆発した。メジャー初登板初先発のドビンスが1回表に1点を失ったものの、その裏にウィルヤー・アブレイユのタイムリーですぐさま同点に。2回裏にはカージナルス先発のマイコラスに猛攻を浴びせ、セダン・ラファエラのタイムリー、アレックス・ブレグマンとアブレイユの二者連続の2点タイムリー二塁打で一挙5点を勝ち越した。

　3回裏にはジャレン・デュランがタイムリーを放ち、マイコラスをノックアウト。2番手のゴードン・グラセフォからブレグマンが2号3ランを放ち、早くも2ケタ得点に到達した。4回表に1点を返されたが、5回裏にラファエル・デバースがタイムリー二塁打を放ち、11対2と大量リード。6回裏には4本の二塁打を含む5本のヒットをグラセフォに浴びせ、さらに5点を追加した。

　7回表に1点を返されたものの、その裏にラファエラのタイムリーなどで2点を追加してダメ押し。9回表には4点を失ったが、18対7で大勝し、連勝を5に伸ばした。主砲デバースは2本の二塁打を含む4打数4安打3打点1四球で全打席出塁の大活躍。ブレグマンは2号3ランを含む4安打（うち3長打）の活躍で6打点を叩き出し、第1試合でサヨナラ打を放ったアブレイユも2安打3打点など攻守にわたる活躍でチームの勝利に貢献した。",[],[]
【MLB】RソックスがWヘッダー初戦を制す　10回裏にアブレイユがサヨナラ打　デバースは今季初アーチ（MLB.jp）,https://news.yahoo.co.jp/articles/977287618f776fec82c2d12765e1ace9f1ba61f9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010008-mlb-000-2-view.jpg?exp=10800,2025-04-07T09:20:44+09:00,2025-04-07T21:32:16+09:00,MLB.jp,mlb,MLB.jp,884,"ダブルヘッダー第1試合【カージナルス4－5xレッドソックス】延長10回＠フェンウェイ・パーク
レッドソックスのウィルヤー・アブレイユ（中央）（MLB Advanced Media）
日本時間4月7日、レッドソックスはカージナルスとのダブルヘッダーを戦い、初戦は9回裏に2点差を追いつくと、10回裏にウィルヤー・アブレイユのタイムリーでサヨナラ勝ち。連勝を4に伸ばし、ダブルヘッダー第2試合を残してカージナルス3連戦の勝ち越しが決まった。レッドソックス6番手のアロルディス・チャップマンが1イニングを無失点に抑えて2勝目をマーク。カージナルス6番手のライアン・フェルナンデスは今季初黒星を喫した。
【動画】レッドソックスのラファエル・デバースが今季初アーチを放つ
序盤から両軍ともチャンスを作りながらも先制点を奪えない状況が続くなか、レッドソックスは4回表にメイソン・ウィンのタイムリーで先制を許したものの、4回裏二死2塁のチャンスでデービッド・ハミルトンがタイムリーを放ち、1対1の同点に。5回裏には主砲ラファエル・デバースに待望の今季初アーチとなる1号ソロが飛び出し、2対1とリードを奪った。

　6回表にペドロ・パヘスのタイムリー二塁打で追いつかれ、8回表には再びパヘスにタイムリー二塁打を許して2点を勝ち越されたが、9回裏にカージナルスの守護神ライアン・ヘルズリーを攻略し、ロミー・ゴンザレスのタイムリー二塁打とデバースの押し出し四球で4対4の同点に。ヘルズリーは与四球4と制球を乱し、今季初のセーブ失敗となった。

　試合は同点のまま延長タイブレークに突入し、レッドソックスは10回表に登板したチャップマンが一死1・2塁のピンチを作ったものの、ラーズ・ヌートバーとパヘスを抑えて無失点。すると、10回裏一死1・2塁からアブレイユがレフトへのタイムリーを放ち、5対4でサヨナラ勝ち。今季ここまで打率.522と絶好調のアブレイユは打撃好調の秘訣について「実力以上のことをしようとしないこと。いい球を待つことだけに集中していたから決勝打を打つことができた」と語った。",[],[]
【MLB】メッツがブルージェイズ3連戦をスイープして4連勝　ブルペン陣が4回1/3を1安打無失点の好投（MLB.jp）,https://news.yahoo.co.jp/articles/12780767089222fb0475bb245e4532d4c812f2fa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010007-mlb-000-1-view.jpg?exp=10800,2025-04-07T08:40:37+09:00,2025-04-07T08:40:37+09:00,MLB.jp,mlb,MLB.jp,825,"【ブルージェイズ1－2メッツ】＠シティ・フィールド
メッツのマックス・クラニック（MLB Advanced Media）
日本時間4月7日、メッツはブルージェイズ3連戦の最終戦を迎え、投手陣がブルージェイズ打線をわずか4安打に封じて2対1で勝利。接戦を制してブルージェイズ3連戦をスイープし、連勝を4に伸ばした。メッツ2番手のマックス・クラニックが打者4人をパーフェクトに抑えて今季初勝利を挙げ、5番手のエドウィン・ディアスは2セーブ目を記録。ブルージェイズ先発のボーデン・フランシスは6回途中6安打2失点の力投も今季初黒星（1勝）を喫した。
【動画】メッツのピート・アロンソが先制タイムリーを放つ
メッツは先発のデービッド・ピーターソンが2回表と3回表のピンチをいずれも無失点で切り抜けると、3回裏に2つの四球で一死1・2塁のチャンスを作り、主砲ピート・アロンソが先制タイムリー。さらに一死1・3塁からブランドン・ニモがレフトへの犠飛を放ち、2対0とリードを奪った。

　ところが、4回まで無失点に抑えていたピーターソンが5回表に崩れ、二死3塁から連続四球で満塁のピンチに。ここでアンドレス・ヒメネスに押し出し死球を与えてしまい、勝利投手の権利を目前にして降板となった。しかし、2番手のクラニックがピンチを脱出し、6回表も続投して三者凡退。メッツ打線は6回裏一死満塁のチャンスを生かせなかったが、7回表は3番手のリード・ギャレットが三者凡退の好投を見せた。

　8回表は4番手のA・J・ミンターがマウンドに上がり、二死からヒットと盗塁でピンチを招いたものの、後続を抑えて無失点。9回表は守護神ディアスが2つの死球でピンチを作りながらも最後はブラディミール・ゲレーロJr.をショートゴロに打ち取り、1点のリードを守り抜いた。メッツのブルペン陣は4人の投手が合計4回1/3を1安打無失点に抑える好投。ブルペンの頑張りで3連戦のスイープを見事に完遂した。",[],[]
【MLB】ジャイアンツ7連勝で首位浮上　代打フローレスのサヨナラ打でマリナーズ3連戦を見事スイープ（MLB.jp）,https://news.yahoo.co.jp/articles/7feb8f45d8e9e05640a73725934abf4d9f2ebd76,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010006-mlb-000-1-view.jpg?exp=10800,2025-04-07T08:20:49+09:00,2025-04-07T08:20:49+09:00,MLB.jp,mlb,MLB.jp,889,"【マリナーズ4－5xジャイアンツ】＠オラクル・パーク
ジャイアンツのエリオット・ラモス（左）とマイク・ヤストレムスキー（MLB Advanced Media）
日本時間4月7日、ジャイアンツはマリナーズ3連戦の最終戦を迎え、9回裏に代打ウィルマー・フローレスのタイムリーでサヨナラ勝ち。アストロズ3連戦に続いてマリナーズ3連戦もスイープし、7連勝でナ・リーグ西地区の首位に浮上した。ジャイアンツ5番手のカミロ・ドバルは「あと1球」から同点打を浴びたが、チームのサヨナラ勝ちに助けられ、今季初勝利をマーク。マリナーズ4番手のグレゴリー・サントスはサヨナラ打を浴び、今季初黒星を喫した。
【動画】ジャイアンツのマイク・ヤストレムスキーが逆転の1号3ランを放つ
ブライアン・ウー（マリナーズ）とジョーダン・ヒックス（ジャイアンツ）の両先発で始まった一戦は、マリナーズが1回表一死からフリオ・ロドリゲスの3号ソロで先制。3回表先頭のカル・ローリーにも2号ソロが飛び出し、2点をリードした。

　しかし、6連勝中のジャイアンツは4回裏一死1・2塁からエリオット・ラモスのタイムリーで1点を返すと、次打者マイク・ヤストレムスキーに1号3ランが飛び出し、4対2と逆転に成功。マリナーズも食らいつき、6回表にライアン・ブリスのタイムリーで1点差に詰め寄ると、9回表二死1・3塁、カウント2－2からランディ・アロザレーナがタイムリー二塁打を放ち、4対4の同点となった。

　9回裏、ジャイアンツは二死2塁のチャンスで代打フローレスが登場。初球の98.2マイルのシンカーをライト前に弾き返し、二塁走者が生還して劇的なサヨナラ勝ちとなった。これでジャイアンツは7連勝となり、ドジャースを勝率差で上回って地区首位に浮上。開幕9試合で8勝以上を挙げるのは球団史上6度目である。なお、米公式サイト「MLB.com」のサラ・ラングス記者によると、同地区の2チームが開幕9試合で8勝1敗以上の好スタートを切るのは史上初。3位パドレスも含め、ナ・リーグ西地区では開幕直後からハイレベルな争いが繰り広げられている。",[],[]
【MLB】ドジャース・スネルが左肩の炎症で15日間の故障者リスト入り　ブルペン投球中に痛みを感じる（MLB.jp）,https://news.yahoo.co.jp/articles/f609ba3a7483fe9e292df2fb46e721098baf27a6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010005-mlb-000-1-view.jpg?exp=10800,2025-04-07T08:00:42+09:00,2025-04-07T08:00:42+09:00,MLB.jp,mlb,MLB.jp,866,"ドジャースのブレイク・スネル（MLB Advanced Media）
日本時間4月7日、ドジャースは左腕ブレイク・スネルを「左肩の炎症」を理由に15日間の故障者リストに登録したことを発表した。これに伴い、右腕マット・サウアーをマイナーAAA級オクラホマシティから昇格させている。デーブ・ロバーツ監督によると、スネルはブルペンでの投球練習を行った際に左肩に痛みを感じたようだ。スネルの故障者リスト入りは登板翌日の日本時間4月4日にさかのぼって適用されており、スケジュール上では少なくとも2度の先発を回避することになる。
【動画】ドジャースのブレイク・スネルが本国開幕戦に先発
ロバーツ監督は「ブルペンでの投球練習を完了できなかったということは、彼の腕に何かが起こっているということを物語っているようなものだと思う」とコメント。スネル自身は日本時間4月7日、メディアの取材に応じなかった。

　5年1億8200万ドルの大型契約で加入したスネルは今季ここまで2試合に先発し、1勝0敗、防御率2.00を記録。ただし、9イニングで4つしか三振を奪えていない一方で8つの四球を与え、被打率.270、WHIP2.00と投球内容は今一つだった。あす日本時間4月8日から始まるナショナルズ3連戦の2戦目に先発する予定だったが、ドジャースは代役を見つけなければならないことに。3連戦の3戦目の先発投手も未定であり、米公式サイト「MLB.com」でドジャースを担当するソニア・チェン記者は「1試合はブルペンゲーム、もう1試合はスポットスターターが先発することになるだろう」と予想している。

　ロバーツ監督はスネルの離脱について「予想外だったよ」とコメント。故障の予兆がなく、次回の登板予定もすでに決まっていた状況だっただけに、ここから先発ローテーションの修正を強いられることになる。それでも指揮官は「ある日に調子が良くても、翌日にはおかしくなってしまうこともある。それはメジャーリーグのシーズンというマラソンの一部だ」と受け止め、動じない姿勢を示した。",[],[]
【MLB】エンゼルス勝利　オホッピーが捕手では球団史上初の4試合連続本塁打　ソレアとパリスにも一発（MLB.jp）,https://news.yahoo.co.jp/articles/69e5db0c57adab436ecdbe27cb0fe35e8a19d80b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010004-mlb-000-1-view.jpg?exp=10800,2025-04-07T07:40:54+09:00,2025-04-07T07:40:54+09:00,MLB.jp,mlb,MLB.jp,829,"【ガーディアンズ2－6エンゼルス】＠エンゼル・スタジアム
エンゼルスのローガン・オホッピー（MLB Advanced Media）
日本時間4月7日、エンゼルスはガーディアンズ3連戦の最終戦を迎え、6対2で勝利。これで開幕から3カード連続の勝ち越しとなり、ここまで9試合で6勝3敗と上々のスタートを切っている。エンゼルス2番手のライアン・ゼファージャンが1イニングを無失点に抑え、記念すべきメジャー初勝利をマーク。ガーディアンズ先発のルイス・L・オルティスは6回7安打3失点と力投したが、打線の援護に恵まれず、2敗目を喫した。
【動画】エンゼルスのローガン・オホッピーが4試合連続アーチ
初回にレーン・トーマスの犠飛で先制されたエンゼルスだったが、2回裏先頭のローガン・オホッピーが5号ソロを放ち、1対1の同点に。オホッピーはこれで4試合連続アーチとなり、捕手では球団史上初の快挙を成し遂げた。エンゼルスはさらにカイレン・パリスのヒットと盗塁でチャンスを作り、二死2塁からティム・アンダーソンのタイムリーで勝ち越しに成功。先発のタイラー・アンダーソンは4回表にカイル・マンザードの3号ソロで同点に追いつかれたが、5回1安打2失点とまずまずの投球を見せた。

　6回表を2番手のゼファージャンが無失点に抑えると、6回裏先頭のホルヘ・ソレアに2試合連発の2号ソロが飛び出し、3対2と勝ち越しに成功。7回裏には相手の守備のミスもあって無死満塁の大チャンスとなり、ルイス・レンヒーフォとソレアの犠飛で5対2とリードを広げた。

　8回裏にはパリスに2号ソロが飛び出し、ダメ押しの6点目。4点リードの最終回は守護神ケンリー・ジャンセンがマウンドに上がり、ガーディアンズ打線を三者凡退に抑えて試合を締めくくった。エンゼルスはこれでホワイトソックス、カージナルス、ガーディアンズとの3連戦にいずれも2勝1敗で勝ち越し。ここまで6勝3敗でア・リーグ西地区の2位につけている。",[],[]
【MLB】ロッキーズの有望株ドーランダーがメジャー初登板初先発で勝利投手に　5回4失点も6三振奪う力投（MLB.jp）,https://news.yahoo.co.jp/articles/bcc456fc0502b7ac285068e3d3bbf55806801614,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010003-mlb-000-2-view.jpg?exp=10800,2025-04-07T07:27:34+09:00,2025-04-07T08:04:12+09:00,MLB.jp,mlb,MLB.jp,877,"【アスレチックス5－12ロッキーズ】＠クアーズ・フィールド
ロッキーズのチェイス・ドーランダー（MLB Advanced Media）
日本時間4月7日、ロッキーズはアスレチックス3連戦の最終戦を迎え、打線が14安打を放つなど12対5で勝利。3連戦のスイープ負けを回避し、連敗を6でストップした。ロッキーズの有望株チェイス・ドーランダーはメジャー初登板初先発で5回6奪三振4失点と力投し、メジャー初勝利をマーク。ロッキーズ4番手のビクター・ボドニックが今季初セーブを挙げ、アスレチックス先発のジョーイ・エステスは3回6安打6失点で2敗目を喫した。
【動画】ロッキーズの有望株チェイス・ドーランダーがメジャー初勝利
現在23歳のドーランダーは2023年ドラフト1巡目（全体9位）指名でプロ入りした有望株。将来のエース候補として大きな期待を背負う逸材である。その有望株が早くもメジャー初登板初先発のマウンドに立ち、初回にタイラー・ソダーストロムの4号2ランで先制点を献上したものの、今季ここまで無三振だった巧打者ジェイコブ・ウィルソンから97.3マイルの4シームでメジャー初三振を奪った。

　ドーランダーを援護したいロッキーズ打線は1回裏にブレントン・ドイルの1号先頭打者アーチなどで同点とし、2回裏にはドイルとエゼキエル・トーバーの連続タイムリー二塁打で3点を勝ち越し。ドーランダーは4回表に1点を失い、5回表にはローレンス・バトラーに1号ソロを浴びたが、5回79球を投げて被安打7、奪三振6、与四球1、失点4と力投し、勝利投手の権利を持ってマウンドを降りた。

　ロッキーズは7対4とリードして迎えた8回裏にドイル、トーバー、ハンター・グッドマンのタイムリーで5点を追加してダメ押し。9回表にバトラーのタイムリーで1点を返されたが、12対5でアスレチックスを破り、ドーランダーにはメジャー初勝利が記録された。14安打12得点のロッキーズ打線では1・2番コンビが躍動。1番ドイルは今季初アーチを含む3安打4打点、2番トーバーも4安打3打点の大活躍だった。",[],[]
【MLB】レンジャーズがサヨナラ勝ち　レイズ3連戦をスイープして5連勝　開幕10試合で8勝2敗の好発進（MLB.jp）,https://news.yahoo.co.jp/articles/0efb979eb11e5bef029a9562865b446ce8c6040f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250407-00010002-mlb-000-1-view.jpg?exp=10800,2025-04-07T07:08:50+09:00,2025-04-07T07:08:50+09:00,MLB.jp,mlb,MLB.jp,814,"【レイズ3－4xレンジャーズ】＠グローブライフ・フィールド
レンジャーズのジョナ・ハイム（中央）（MLB Advanced Media）
日本時間4月7日、レンジャーズはレイズ3連戦の最終戦を迎え、8回表に同点に追いつかれたものの、9回裏にジョナ・ハイムがタイムリーを放ち、4対3でサヨナラ勝ち。レイズ3連戦を見事にスイープし、連勝を5に伸ばした。レンジャーズ先発のクマー・ロッカーは5回6安打1失点と好投し、4番手のジェイコブ・ウェブが今季初勝利をマーク。レイズ5番手のエドウィン・ウセタはサヨナラ打を浴び、今季初黒星を喫した。
【動画】レンジャーズのジョナ・ハイムがサヨナラ打を放つ
開幕から好調のレンジャーズは3回裏にレイズ先発のドリュー・ラスムッセンから無死1・3塁のチャンスを作り、レオディ・タベラスは見逃し三振に倒れたものの、マーカス・セミエンの内野ゴロの間に1点を先制。レンジャーズ先発のロッカーは4回表にピンチを招き、キャメロン・マイズナーのタイムリーで同点に追いつかれたが、5イニングを1失点に抑える好投を見せた。

　レイズ先発のラスムッセンを攻略しきれなかったレンジャーズ打線だが、6回裏にコリー・シーガーの1号ソロで勝ち越しに成功すると、7回裏にはタベラスのタイムリーで1点を追加。8回表に登板した3番手のマーク・チャーチがリードを守れず、ジュニア・カミネロの犠飛などで3対3の同点に追いつかれたものの、9回裏二死からジョシュ・スミスが二塁打を放ってチャンスメイクし、次打者ハイムのタイムリーで劇的なサヨナラ勝ちとなった。

　連勝を5に伸ばしたレンジャーズは開幕10試合を消化し、8勝2敗の好スタート。ア・リーグの最高勝率をマークしている。2023年に球団史上初のワールドシリーズ制覇を成し遂げながらも昨季は借金6（78勝84敗）に終わったが、2年ぶりの王座奪還に向けて、まずは上々のスタートを切った。",[],[]
