headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
松屋 牛丼値上げ　並盛430円→460円に（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/5507e6ebc66caf10ac98a8ac8bddfb2a96272c72,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-07231527-jnn-000-2-view.jpg?exp=10800,2025-04-18T23:52:28+09:00,2025-04-19T00:08:01+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,359,"TBS NEWS DIG Powered by JNN
牛丼チェーン「松屋」で牛丼が値上げです。「牛めし」の並盛は、430円から460円になります。

「松屋」を展開する松屋フーズは、主力商品の牛丼などを値上げすると発表しました。

値上げは22日の午後3時からで、具体的には▼牛丼の並盛は430円から460円に、▼牛焼肉定食は840円から890円に、▼ソーセージエッグ定食は490円から530円に、それぞれ値上げします。

また、「マイカリー食堂」も、松屋やとんかつ店「松のや」に併設している店に限って、▼オリジナルカレーの並盛を530円から550円に値上げします。

値上げは、コメなど原材料の価格の高騰や人件費などの上昇が理由だとしていて、同時に深夜料金が加算される店舗も拡大すると発表しています。
TBSテレビ",[],[]
長野県で最大震度1の地震　長野県・大町市（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/0668015ba94a37b8b7a1b5b3b80665154ebd2118,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-21865106-jnn-000-1-view.jpg?exp=10800,2025-04-18T23:48:57+09:00,2025-04-18T23:48:57+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,302,"TBS NEWS DIG Powered by JNN
18日午後11時43分ごろ、長野県で最大震度1を観測する地震がありました。

気象庁によりますと、震源地は長野県北部で、震源の深さはおよそ10km、地震の規模を示すマグニチュードは2.1と推定されます。
【詳細】各地の震度一覧・最新LIVE
この地震による津波の心配はありません。

最大震度1を観測したのは、長野県の大町市です。

【各地の震度詳細】

■震度1
□長野県
大町市

気象庁の発表に基づき、地域ごとに震度情報をお伝えしています。
新たな情報が発表され次第、情報を更新します。
TBS NEWS DIG Powered by JNN",[],[]
長野県で最大震度4のやや強い地震　長野県・松川村、小川村（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/8b9fc94673ae32d9f1d3b571a55f9a189ab5cc69,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-21865104-jnn-000-2-view.jpg?exp=10800,2025-04-18T23:42:59+09:00,2025-04-18T23:44:29+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,615,"TBS NEWS DIG Powered by JNN
18日午後11時39分ごろ、長野県で最大震度4を観測するやや強い地震がありました。
【詳細】各地の震度一覧・最新LIVE
気象庁によりますと、震源地は長野県北部で、震源の深さはおよそ10km、地震の規模を示すマグニチュードは4.4と推定されます。

この地震による津波の心配はありません。

最大震度4を観測したのは、長野県の松川村と小川村です。

【各地の震度詳細】

■震度4
□長野県
松川村　小川村

■震度3
□長野県
大町市　長野池田町　松本市
安曇野市　生坂村　筑北村

■震度2
□長野県
長野市　坂城町　上田市
塩尻市　青木村　麻績村
山形村　朝日村　箕輪町
木曽町

■震度1
□長野県
千曲市　白馬村　小谷村
山ノ内町　信濃町　飯綱町
岡谷市　諏訪市　小諸市
茅野市　佐久市　東御市
軽井沢町　御代田町　立科町
長和町　下諏訪町　飯田市
伊那市　辰野町　南箕輪村
中川村　長野高森町　平谷村
根羽村　売木村　泰阜村
大鹿村　木祖村　王滝村
大桑村

□群馬県
沼田市

□新潟県
糸魚川市　妙高市　上越市

□岐阜県
高山市　中津川市　恵那市

□静岡県
浜松天竜区

□愛知県
新城市

気象庁の発表に基づき、地域ごとに震度情報をお伝えしています。
新たな情報が発表され次第、情報を更新します。
TBS NEWS DIG Powered by JNN",[],[]
長野県で最大震度2の地震　長野県・松川村（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/5202eaa21a65903c3c4131d03a228db48e3481e7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-21865102-jnn-000-1-view.jpg?exp=10800,2025-04-18T23:34:30+09:00,2025-04-18T23:34:30+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,321,"TBS NEWS DIG Powered by JNN
18日午後11時29分ごろ、長野県で最大震度2を観測する地震がありました。

気象庁によりますと、震源地は長野県北部で、震源の深さはおよそ10km、地震の規模を示すマグニチュードは2.5と推定されます。
【詳細】各地の震度一覧・最新LIVE
この地震による津波の心配はありません。

最大震度2を観測したのは、長野県の松川村です。

【各地の震度詳細】

■震度2
□長野県
松川村

■震度1
□長野県
大町市　筑北村

気象庁の発表に基づき、地域ごとに震度情報をお伝えしています。
新たな情報が発表され次第、情報を更新します。
TBS NEWS DIG Powered by JNN",[],[]
長野県で最大震度1の地震　長野県・松川村（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/e05adaa39408e96f9807b2e88df897352b42cf9c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-21865089-jnn-000-1-view.jpg?exp=10800,2025-04-18T23:27:50+09:00,2025-04-18T23:27:50+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,302,"TBS NEWS DIG Powered by JNN
18日午後11時23分ごろ、長野県で最大震度1を観測する地震がありました。

気象庁によりますと、震源地は長野県北部で、震源の深さはおよそ10km、地震の規模を示すマグニチュードは2.0と推定されます。
【詳細】各地の震度一覧・最新LIVE
この地震による津波の心配はありません。

最大震度1を観測したのは、長野県の松川村です。

【各地の震度詳細】

■震度1
□長野県
松川村

気象庁の発表に基づき、地域ごとに震度情報をお伝えしています。
新たな情報が発表され次第、情報を更新します。
TBS NEWS DIG Powered by JNN",[],[]
長野県で最大震度1の地震　長野県・松川村（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/b44e6653c194fd918e4c7a4f07a041de3e905221,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-21865086-jnn-000-1-view.jpg?exp=10800,2025-04-18T23:27:50+09:00,2025-04-18T23:27:50+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,302,"TBS NEWS DIG Powered by JNN
18日午後11時21分ごろ、長野県で最大震度1を観測する地震がありました。

気象庁によりますと、震源地は長野県北部で、震源の深さはおよそ10km、地震の規模を示すマグニチュードは2.1と推定されます。
【詳細】各地の震度一覧・最新LIVE
この地震による津波の心配はありません。

最大震度1を観測したのは、長野県の松川村です。

【各地の震度詳細】

■震度1
□長野県
松川村

気象庁の発表に基づき、地域ごとに震度情報をお伝えしています。
新たな情報が発表され次第、情報を更新します。
TBS NEWS DIG Powered by JNN",[],[]
日米財務相会談　現地24日で最終調整　為替の問題を議論へ（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/97dd428bf1ec440c493c14cd7f06c7a40c3dd23c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-07231526-jnn-000-2-view.jpg?exp=10800,2025-04-18T23:13:45+09:00,2025-04-18T23:33:06+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,386,"TBS NEWS DIG Powered by JNN
来週、アメリカのワシントンを訪問する加藤財務大臣は、ベッセント財務長官と現地時間の24日に会談する方向で最終調整に入りました。

加藤財務大臣は来週、22日からアメリカのワシントンを訪問し、G20＝20か国の財務相・中央銀行総裁会議に出席することにしています。

政府関係者によりますと、加藤財務大臣はG20への出席にあわせ、現地時間の24日午後にベッセント財務長官と会談する方向で最終調整に入りました。

日本とアメリカの関税交渉を担当するベッセント長官は為替の問題についても話し合いたい意向を示していて、加藤大臣との会談で議題となる見通しです。

トランプ大統領は、これまで円安の行き過ぎを問題視する発言をしていて、市場ではアメリカ側が日本に円安の是正を求めるのではないかといった観測が出ています。
TBSテレビ",[],[]
天皇陛下 バレエ「ジゼル」を鑑賞 「素晴らしい公演でした」と感想（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/ff97ee5bbe7fdd95c92a3cfdc7f5559f386e74a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-07231522-jnn-000-2-view.jpg?exp=10800,2025-04-18T23:08:48+09:00,2025-04-18T23:19:17+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,386,"TBS NEWS DIG Powered by JNN
天皇陛下はきょう夜、都内の劇場でバレエ「ジゼル」を鑑賞されました。

陛下は午後6時半ごろ、東京・渋谷区の新国立劇場に到着し、関係者の出迎えを受け、にこやかにあいさつを交わされました。

陛下が劇場に入られると、観客は立ち上がって大きな拍手を送りました。

「ジゼル」は、「白鳥の湖」などとともにロマンチックバレエの代表作として知られ、今回の作品は2022年に吉田都芸術監督が演出したものの再演です。7月にはイギリスのロイヤルオペラハウスでの公演が予定されています。

陛下は熱心に鑑賞し、舞台終了後のカーテンコールで大きな拍手を送られていました。

陛下は帰り際、吉田芸術監督に「きょうはありがとうございました。本当に素晴らしい公演でした。ロンドン公演の成功をお祈りしています」と述べられていました。
TBSテレビ",[],[]
長野県で最大震度1の地震　長野県・松川村（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/cc988f155fe6e1a3980e19761dcd4480058bb76a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-21865081-jnn-000-1-view.jpg?exp=10800,2025-04-18T23:08:32+09:00,2025-04-18T23:08:32+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,301,"TBS NEWS DIG Powered by JNN
18日午後11時2分ごろ、長野県で最大震度1を観測する地震がありました。

気象庁によりますと、震源地は長野県北部で、震源の深さはおよそ10km、地震の規模を示すマグニチュードは1.9と推定されます。
【詳細】各地の震度一覧・最新LIVE
この地震による津波の心配はありません。

最大震度1を観測したのは、長野県の松川村です。

【各地の震度詳細】

■震度1
□長野県
松川村

気象庁の発表に基づき、地域ごとに震度情報をお伝えしています。
新たな情報が発表され次第、情報を更新します。
TBS NEWS DIG Powered by JNN",[],[]
MAGAキャップかぶる赤沢大臣　ホワイトハウスが写真公開（TBS NEWS DIG Powered by JNN）,https://news.yahoo.co.jp/articles/e77b61832cc064dc6b1aea0c68c73db670cccff3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-07231514-jnn-000-1-view.jpg?exp=10800,2025-04-18T23:01:07+09:00,2025-04-18T23:01:07+09:00,TBS NEWS DIG Powered by JNN,jnn,TBS NEWS DIG Powered by JNN,479,"TBS NEWS DIG Powered by JNN
アメリカのホワイトハウスはトランプ大統領と面会した赤沢経済再生担当大臣が「アメリカを再び偉大に」と書かれた赤い帽子＝MAGAキャップをかぶる写真を公開しました。

ホワイトハウスはトランプ大統領が16日に赤沢経済再生担当大臣と面会した際の写真を公開しました。トランプ氏の正面に座った赤沢大臣が「Make America Great Again」＝「アメリカを再び偉大に」と書かれた赤い帽子をかぶった写真も含まれています。

「MAGAキャップ」と呼ばれるこちらの帽子はトランプ氏の支持者らが選挙集会などでかぶるもので、トランプ氏が帽子にサインをしている様子も写っています。

また、写真では机の上に大阪・関西万博の公式キャラクター「ミャクミャク」のグッズが2つ置かれていることが確認できます。

日本政府関係者によりますと、赤沢氏がトランプ氏への手土産として持参したもので、金色のものは万博会場でのみ販売されているソフトビニール製の貯金箱、色がついているものはぬいぐるみだということです。
TBSテレビ",[],[]
