headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【ONE】壱・センチャイジムがタイ人選手とダウン応酬の激闘も判定負けでONE初黒星（日刊スポーツ）,https://news.yahoo.co.jp/articles/2c48ab4c0dc19081975d4d1a2a4886f575db3811,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34182097-nksports-000-4-view.jpg?exp=10800,2025-04-18T23:56:54+09:00,2025-04-19T00:20:40+09:00,日刊スポーツ,nksports,日刊スポーツ,456,"流血しながらも激闘を繰り広げる壱・センチャイジム（右）（C）ONE Championship
＜ONEチャンピオンシップ：フライデーファイツ（FF）105大会＞◇18日◇タイ・ルンピニースタジアム（バンコク）

　第3試合の122ポンド（約55.3キロ）契約ムエタイで、KNOCK OUT－REDスーパーバンタム級王者壱・センチャイジム（27＝センチャイムエタイジム、今大会は与那覇壱世として出場）がマイサンカン・ソー・インジョルンガンチャン（24＝タイ）に判定0－3で敗れた。

　壱はONE3戦目で初黒星。通算2勝1敗となった。

　壱は立ち上がりから試合を支配し、細かいパンチを当てて、ローキックで相手を転ばす場面もあった。だが1回終盤に相手の右ショートパンチでダウンを喫してしまった。

　壱は2回にもマイサンカンとの打ち合いに応じ、顔をカットして流血し、ピンチに陥った。さらに右パンチで2度目のダウンを奪われた。それでも3回に左ストレートでダウンを奪い返すなど粘りを見せたが、逆転KOとはならなかった。",[],[]
【ONE】手塚翔太が１回KOでデビュー白星＆ボーナス150万ゲット「めちゃくちゃうれしい」（日刊スポーツ）,https://news.yahoo.co.jp/articles/2273726f15f64faa93d047470e448eb45af66efb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34182099-nksports-000-3-view.jpg?exp=10800,2025-04-18T23:53:46+09:00,2025-04-19T01:38:19+09:00,日刊スポーツ,nksports,日刊スポーツ,790,"勝利してドヤ顔の手塚翔太（C）ONE Championship
＜ONEチャンピオンシップ：フライデーファイツ（FF）105大会＞◇18日◇タイ・ルンピニースタジアム（バンコク）

　第4試合の137ポンド（約62・1キロ）契約ムエタイで、シュートボクシング（SB）を主戦場とする手塚翔太（23＝GONG－GYM坂戸／SB日本スーパーフェザー級1位）が1回2分40秒、右ボディストレートでアリズワン・ノルシャーニー（23＝マレーシア）からKO勝利を飾った。直前の三日月蹴りで相手の動きを止め、ボディへ強烈な右をたたきこんだ。

　ONE FFデビュー戦で白星を挙げた手塚はこれで9連勝。試合後のインタビューでは「普段通りにボディショットを狙って。自分の中でこういうONEという大きな舞台でインパクトを残して勝つためにはボディショットだったり、完璧なKOをするために、しっかりアップの時からイメージしてやってきました。その結果が出ました。うれしいです」と喜んだ。

　手塚は最後に負けた21年12月の笠原友希戦から、判定勝ちした再起戦（23年6月）の土井涼雅戦まで約1年半、リングを離れた時期がある。この日のインタビューでは「僕は20歳で1回挫折してしまったんですけど、そこから気持ちを入れ替えてこの9連勝、ONEでこういう勝ち方ができるのはコツコツ続けてきたからだと思ってます。だからみんなも諦めずにコツコツやって、こうやって僕みたいに泥水すすってやっていけるんで、頑張ってください、頑張りましょう！」とファンにメッセージを送った。

　そしてインタビューの最後に35万バーツ（約150万円）のボーナスを手にしたことを告げられた手塚は、歓喜のガッツポーズ。「ありがとうございます！　めちゃくちゃうれしいです。自己投資に使います。大事に使いたいと思います」と最高の笑顔を見せていた。",[],[]
【阪神】佐藤輝明が２試合連続のマルチ安打「いいスイングができている」（日刊スポーツ）,https://news.yahoo.co.jp/articles/b7605095b94f63675d17f07e269d217e62fc2f4c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34182077-nksports-000-5-view.jpg?exp=10800,2025-04-18T23:42:20+09:00,2025-04-19T02:19:55+09:00,日刊スポーツ,nksports,日刊スポーツ,233,"阪神対広島　1回裏阪神2死一塁、佐藤輝は中前打を放ちポーズをとる（撮影・藤尾明華）
＜阪神2－5広島＞◇18日◇甲子園

　阪神佐藤輝明内野手（26）が、2試合連続でマルチ安打をマークした。

　初回、1死一塁から中前打で、一、三塁のチャンスを作り、先制に貢献した。

　3回にも右前打で2打席連続安打となった。

　佐藤輝は「ツーアウトからつないで（先制点を）とれた。いい形でしたね。いいスイングができていると思うので、しっかり明日からも頑張ります」と力を込めた。",[],[]
【フィギュア】米国独走で最終日へ「この大会、楽しすぎ！」主将Ｊ・ブラウン大興奮／国別対抗（日刊スポーツ）,https://news.yahoo.co.jp/articles/682cb9788035e4c16a60dc69f0fb800e5fda51c4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34182030-nksports-000-3-view.jpg?exp=10800,2025-04-18T23:36:29+09:00,2025-04-18T23:38:58+09:00,日刊スポーツ,nksports,日刊スポーツ,726,"男子フリー　華麗な演技を披露するマリニン（撮影・宮地輝）
＜フィギュアスケート：世界国別対抗戦＞◇18日◇東京体育館◇男子フリー

　世界選手権2連覇中のイリア・マリニン（20）が、ショートプログラム（SP）に続いて1位となり、米国に12点をもたらした。最終滑走で183・88点をマークした。

　2位には同じく米国のジェイソン・ブラウン（30）が入り、179・33点を記録した。

　米国は第2日終了時点で合計95点。2位の日本に15点差をつけ、大量リードで最終日の19日を迎える。

　主将を務めるブラウンは「とにかく楽しいです。この大会、楽しすぎ」と大興奮。「2年に1回、自国の誇りをもって挑んでいる。氷の近くで観戦できることも醍醐味（だいごみ）」と充実感を漂わせた。

　最終日はペアフリー、女子フリーが控える。すでに自身の競技を終えたブラウンは「クレイジーにレベルを上げて、どんどん大騒ぎしてやろうと思っています。明日は全開でいきます」と全力応援を宣言した。

　◆国別成績（第2日終了時点）

　〈1〉米国　95点

　〈2〉日本　80点

　〈3〉イタリア　66点

　〈4〉フランス　62点

　〈5〉カナダ　54点

　〈6〉ジョージア　48点

　◆世界国別対抗戦　9度目の開催となる2年に1度の国際スケート連盟（ISU）公認大会。世界6カ国が男女シングル各2人、ペア1組、アイスダンス1組の4種目8人で争う。各種目優勝12点、2位11点…と与えられ、合計点で優勝国を決める。日本の他に米国、イタリア、フランス、カナダ、ジョージアが参加。SP、フリー（アイスダンスはリズムダンス、フリーダンス）ごとに区切り、総合順位は得点としない。",[],[]
【フィギュア】主将の坂本花織「おとなしすぎた。明日ははしゃいで」日本２位で競技最終日へ（日刊スポーツ）,https://news.yahoo.co.jp/articles/204d892d8608ccad9befa1be1413ab4b139d9df6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34182031-nksports-000-2-view.jpg?exp=10800,2025-04-18T23:24:28+09:00,2025-04-18T23:25:36+09:00,日刊スポーツ,nksports,日刊スポーツ,885,"記者会見を前にお疲れ模様の坂本（撮影・宮地輝）
＜フィギュアスケート：世界国別対抗戦＞◇18日◇東京体育館

　4大会ぶりの優勝が懸かる日本は、2位で競技最終日を迎えることとなった。

　第2日はペアショートプログラム（SP）で、三浦璃来、木原龍一組（木下グループ）が1位。男子フリーは佐藤駿（エームサービス／明治大）が4位、鍵山優真（オリエンタルバイオ／中京大）が5位、アイスダンスのフリーダンス（FD）は吉田唄菜、森田真沙也組（木下アカデミー）が6位にとどまった。

　この日、自身の出番がなかった主将の坂本花織（シスメックス）は、応援席で仲間を盛り上げた。記者会見では「日本チーム以外の選手をリンクサイドから応援できて、見応えもあって、勉強になる面もたくさんありました。アメリカ、他の国に比べて、日本はおとなしすぎたというのはちょっとある。今日、競技が終わった人もたくさんいる。体調面が優れない人もぼちぼちいるので無理はせずに、明日は、はしゃいでもらえたらいいなと思っています」と思いを口にした。

　日本は80点となり、90点で首位独走の米国とは15点差がある。厳しい立ち位置だが、19日は“りくりゅう”のペアフリー、坂本、千葉百音（木下アカデミー）が登場する女子フリーを控える。元気に盛り上げる主将は「明日はいろいろな縛りに縛られず、殻を全員破ってほしいと思います」と願った。

　◆国別成績（第2日終了時点）

　＜1＞米国　95点

　＜2＞日本　80点

　＜3＞イタリア　66点

　＜4＞フランス　62点

　＜5＞カナダ　54点

　＜6＞ジョージア　48点

　◆世界国別対抗戦　9度目の開催となる2年に1度の国際スケート連盟（ISU）公認大会。世界6カ国が男女シングル各2人、ペア1組、アイスダンス1組の4種目8人で争う。各種目優勝12点、2位11点…と与えられ、合計点で優勝国を決める。日本の他に米国、イタリア、フランス、カナダ、ジョージアが参加。SP、フリー（アイスダンスはリズムダンス、フリーダンス）ごとに区切り、総合順位は得点としない。",[],[]
【阪神】村上頌樹が誤算で首位奪還失敗…藤川監督「糧にして次のゲームまた行くしかない」（日刊スポーツ）,https://news.yahoo.co.jp/articles/4eb7a4ef830b33ef12dcb71bc4e79c83c559042e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34181966-nksports-000-3-view.jpg?exp=10800,2025-04-18T23:23:59+09:00,2025-04-18T23:26:51+09:00,日刊スポーツ,nksports,日刊スポーツ,1065,"阪神対広島　4回表を終えベンチからグラウンドを見る藤川監督と右は引き揚げる村上（撮影・加藤哉）
＜阪神2－5広島＞◇18日◇甲子園

　歓声がため息に変わった。阪神が勝てば単独首位浮上というゲームで逆転負けを食らった。今季開幕から3戦3勝の阪神村上頌樹投手（26）が今季最短4回、自己ワーストタイの5失点で降板というまさかの展開。2点リードの2回に5本の長短打を浴びるなど5点を奪われて逆転を許した。チームは連勝ストップで貯金1。今季ホームでは1勝止まりと苦しい戦いが続く。

　　　　◇　　　◇　　　◇

　誤算から始まった。初の開幕投手を務め無傷の3戦3勝右腕が広島打線に捕まった。1回裏に2点先制の援護射撃を受けた直後の2回だ。先頭の野間に右前打で出塁を許すと、ファビアンも中前打で無死一、二塁。続く菊池に左中間への同点適時二塁打。11球で同点に追い付かれたが、止まらない。

　1死二、三塁で迎えた二俣には8球ファウルで粘られて14球を投じて四球。矢野の犠飛でさらに1点を失い、末包の2点二塁打で一挙に5点を失い、2回だけで54球を費やした。

　降板した村上はスコアボードの5点を見つめた。「点を取ってもらった後の回だったんで、リズムよくいければ勝てたと思います。ああいうイニング作っちゃったんで、負けてしまったかなと思います。踏ん張りきれなかった。空振りを取れれば一番良かったけど、バットに当たる球を投げてたので、力不足かな」。今季最短4回、自己ワーストタイの5失点。球団では72年ぶりとなる開幕4戦4勝のタイ記録も流れた。



　藤川監督は「本人は分かっていると思いますので、あのイニング（2回）は相手にうまくやられたというか、自分でも考えるところはあると思いますけど、糧にして次のゲームまた行くしかないですね」とエースとして期待する右腕をかばった。広島打線による3・28開幕戦での4安打0封負けのリベンジ。「対策はできると思います」と指揮官はエースの意地に期待を寄せた。

　打線も初回の2点先制以外は広島先発森下に抑えられた。2番遊撃に小幡を初起用し、中野を8番に下げたが、2回以降は佐藤輝の1安打のみとカンフル剤は不発。今季2度目の3連勝、今月7日以来の単独首位も霧散した。ホームでは1勝止まり。ファンに白星を届けたいかと問われた指揮官は「当然ですね」とひと言。今日19日のリベンジだけを見据えた。【伊東大介】

　▽阪神安藤投手チーフコーチ（先発村上が4回5失点の乱調）「本来の投球内容ではなかったですね」",[],[]
【ヤクルト】高津監督、１日で抹消の村上宗隆に「残念。あんまり詳しいことは言えない」（日刊スポーツ）,https://news.yahoo.co.jp/articles/5ab046767ddde8e4ef159f2e9aff381c89545cb7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34182032-nksports-000-4-view.jpg?exp=10800,2025-04-18T23:19:22+09:00,2025-04-19T02:58:18+09:00,日刊スポーツ,nksports,日刊スポーツ,497,"ヤクルト対巨人　ベンチで厳しい表情を見せるヤクルト高津監督（撮影・たえ見朱実）
＜ヤクルト2－6巨人＞◇17日◇神宮

　高津臣吾監督（56）が試合後、1日で登録抹消となったヤクルト村上宗隆内野手（25）について言及した。

　村上は前日17日阪神戦（神宮）で今季初昇格。同戦の試合中に上半身のコンディション不良が再発し、わずか1日で戦線を離脱した。指揮官は「残念ですね。ちょっとあんまり詳しいことは言えないんですけど。いろんな想定はしています。ちょっといつまで、どうとかっていうのは具体的にはあれですけど、いろんなことは想定しておかないとなと思いますね」と厳しい表情で話した。

　この日、初昇格した内山壮真捕手（22）は9回からプロ初の三塁守備に就いた。守備機会は訪れなかったが「急に言われたっす。ちょくちょく練習はしていました」と振り返った。

　指揮官も「人がいないので、こういう感じもつくっておかないと。壮真は捕手、外野、内野もやらせてって大変ですけど、彼の内野の選択肢としてつくっておかないと、と思って今日は守らせました」と説明。三塁が本職の主砲が抜けた穴を、全員でカバーしていく。",[],[]
【データ】ノーヒットワンラン負け…NPBで過去５度のうちホークスがからんで敗れるのは３度目（日刊スポーツ）,https://news.yahoo.co.jp/articles/a257a62f11995b5a6a2172691b337f0716f1b838,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34181840-nksports-000-5-view.jpg?exp=10800,2025-04-18T23:04:50+09:00,2025-04-18T23:09:26+09:00,日刊スポーツ,nksports,日刊スポーツ,645,"西武対ソフトバンク　戦況を見守るソフトバンク小久保監督（撮影・滝沢徹郎）
＜西武2－1ソフトバンク＞◇18日◇ベルーナドーム

　ソフトバンクが西武に“ノーヒットワンラン負け”を喫した。今井－平良の前に9回無安打、7回に四球と内野ゴロ間に挙げた1点に封じられた。開幕16試合連続安打中だった1番周東佑京内野手（29）が、古傷の左膝悪化で今季初欠場。さらに5番正木智也外野手（25）も左肩を痛めて5回に負傷交代の追い打ちで、柳田、近藤も欠くチームの攻撃力低下は否めない。小久保体制ワーストタイ、今季初の4連敗。楽天と並ぶリーグ最速の10敗で最下位から抜け出せない。
【動画】ソフトバンクが“ノーヒットワンラン負け”
◇　　　◇　　　◇

　▼ホークス前回1964年（昭39）の“ノーヒットありラン”負け　5月13日の近鉄戦（大阪）で南海先発はスタンカ。初回に1点を先制され、5回まで無安打の南海は6回、2四球と盗塁で1死一、三塁と攻め近鉄先発の牧野をKO。代わった山本重に対し杉山の二ゴロが敵失を誘い1－1に追いついた。だが8回に4番手新山が2点を勝ち越され、打線は山本重にも無安打に抑えられた。パ初の無安打有得点試合が記録され、1－3で敗戦。なお、その年南海はリーグ優勝し、日本シリーズでも阪神との“御堂筋決戦”を制して日本一をつかんでいる。ちなみに南海は1リーグ時代の39年に無安打の阪急に敗れており、NPBの無安打有得点試合5度のうち、ホークスがからんで敗れるのは今回で3度目となった。",[],[]
【ソフトバンク】ノーヒットワンラン負けで今季初４連敗　故障者続出…「そういう年」小久保監督（日刊スポーツ）,https://news.yahoo.co.jp/articles/78da1712ecfed55e11e9237872abf0243ebd8531,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34181956-nksports-000-5-view.jpg?exp=10800,2025-04-18T22:59:13+09:00,2025-04-18T23:08:12+09:00,日刊スポーツ,nksports,日刊スポーツ,1568,"西武対ソフトバンク　戦況を見守るソフトバンク小久保監督（撮影・滝沢徹郎）
＜西武2－1ソフトバンク＞◇18日◇ベルーナドーム

　ソフトバンクが西武に“ノーヒットワンラン負け”を喫した。今井－平良の前に9回無安打、7回に四球と内野ゴロ間に挙げた1点に封じられた。開幕16試合連続安打中だった1番周東佑京内野手（29）が、古傷の左膝悪化で今季初欠場。さらに5番正木智也外野手（25）も左肩を痛めて5回に負傷交代の追い打ちで、柳田、近藤も欠くチームの攻撃力低下は否めない。小久保体制ワーストタイ、今季初の4連敗。楽天と並ぶリーグ最速の10敗で最下位から抜け出せない。
【動画】西武今井達也＆守護神・平良海馬で無安打１失点勝利
◇　　　◇　　　◇

　ベルーナドームに1度もHランプをともすことなく、ソフトバンクがあっさり敗れた。1－2で迎えた9回2死。最後は栗原が初球打ちで一ゴロに倒れた。見せ場もなく、3者凡退。西武今井－平良の継投の前に球界でも珍しい“ノーヒットワンラン負け”を喫した。小久保裕紀監督（53）は「そうね…。ノーヒットでも1点取ったので。打てない時に、どうやって点を取るか。今はここにいるメンバーでやるしかない」。屈辱的な敗戦にも、懸命に前を向いた。

　試合前から衝撃が走っていた。開幕から16試合連続安打を放ち、不動のリードオフマンとして打線をけん引してきた周東が、昨年の11月に手術した古傷の左膝を悪化させて欠場を余儀なくされた。小久保監督は状態について「あまり良くはないですね」と説明。出場選手登録を抹消せず1軍に同行させる予定だが「休ませながら」と、19日の出場可否は不透明な状況だ。

　代わって、23年のオフに小久保監督が「二塁一本」を公言していた牧原大を2年ぶりに中堅で起用。代役1番には今井に打率4割4分4厘と相性のいい川瀬を抜てきした。だが、川瀬が4打席無安打に抑えられるなど、打線が沈黙。ノーヒットノーランを許すのかと思われた7回、佐藤直の四球と相手暴投などで好機をつくり、山川の三ゴロの間に奪った1点で快挙を阻止するのが精一杯だった。

　周東だけではない。5番正木も、負傷交代した。5回先頭の第2打席で初球をフルスイングした際に、左肩を痛めた。小久保監督は「詳しいのは診断が出てから」とした上で「亜脱臼じゃないか。正木は厳しいでしょうね」の離脱の見通しを明かした。右脇腹負傷の栗原が戦列復帰したばかりだが、故障者が続出の連鎖が止まらない。柳田、近藤も欠く中で、指揮官は「今年のホークスはそういう年。これからどうするか。若い選手、代わりに出る選手はチャンス」と鼓舞した。

　チームは本拠地1勝8敗も、試合前時点でビジターは5勝1敗1分けの“外弁慶”データもあったが、終わってみれば連敗は小久保体制最長タイの4に延びた。借金は再び4に増え、楽天と並ぶリーグ最速10敗で単独最下位に沈む。リーグ連覇へ、チーム一丸で耐え抜くしかない。【佐藤究】

　▼ホークス前回1964年（昭39）の“ノーヒットありラン”負け　5月13日の近鉄戦（大阪）で南海先発はスタンカ。初回に1点を先制され、5回まで無安打の南海は6回、2四球と盗塁で1死一、三塁と攻め近鉄先発の牧野をKO。代わった山本重に対し杉山の二ゴロが敵失を誘い1－1に追いついた。だが8回に4番手新山が2点を勝ち越され、打線は山本重にも無安打に抑えられた。パ初の無安打有得点試合が記録され、1－3で敗戦。なお、その年南海はリーグ優勝し、日本シリーズでも阪神との“御堂筋決戦”を制して日本一をつかんでいる。ちなみに南海は1リーグ時代の39年に無安打の阪急に敗れており、NPBの無安打有得点試合5度のうち、ホークスがからんで敗れるのは今回で3度目となった。",[],[]
【ヤクルト】塩見泰隆が左前十字靱帯の手術　復帰時期未定　昨年左膝手術受け復帰も再び負傷（日刊スポーツ）,https://news.yahoo.co.jp/articles/6cb1e65c8a85a1a999a58c533af1ec0e082b7409,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250418-34181962-nksports-000-3-view.jpg?exp=10800,2025-04-18T22:50:36+09:00,2025-04-18T22:52:37+09:00,日刊スポーツ,nksports,日刊スポーツ,203,"ヤクルト塩見泰隆（2025年3月21日撮影）
ヤクルトは18日、塩見泰隆外野手（31）が9日に都内の病院で左前十字靱帯（じんたい）の手術を受けたことを発表した。

　経過は良好で、競技復帰時期は未定。塩見は昨年5月11日の巨人戦で左膝前十字靱帯と半月板を痛めて手術。リハビリを経て、3月4日のソフトバンクとのオープン戦で1軍復帰したが、同22日の日本ハムとのオープン戦で再び左膝を負傷し、戦線離脱していた。",[],[]
