headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
大分県中部地震から50年　改めて日頃の備えを呼びかけ　気象台が特設サイトを開設（OBS大分放送）,https://news.yahoo.co.jp/articles/5e2c79c0df31d0ffcb88c64e26e984d3c179b98a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21868600-obsnews-000-2-view.jpg?exp=10800,2025-04-21T18:32:05+09:00,2025-04-21T19:24:54+09:00,OBS大分放送,obsnews,OBS大分放送,676,"大分放送
2000棟以上の建物が被災した大分県中部地震から21日で50年。県内では4月18日に局地的な地震が相次ぎましたが、あらためて地震への備えが求められています。
【写真を見る】大分県中部地震から50年　改めて日頃の備えを呼びかけ　気象台が特設サイトを開設
4月18日、別府市を震源とする地震が相次ぎました。震度1以上の地震があわせて12回観測され、最大震度は3。ただ、体に感じない地震は今も続いています。

（大分地方気象台・高浜聡 南海トラフ地震防災官）「体に感じないような地震は起きている。あくまで相対的なものであって何か気をつけないといけなくなるような活動ではない。当初のような活動はおさまっている」

そして、50年前の4月21日にマグニチュード6.4の大分県中部地震が発生。当時、九州では戦後最大級の地震で負傷者は22人、建物被害は2000棟以上にのぼりました。

半世紀前の教訓を後世に伝えようと大分地方気象台は3月末から特設サイトを設けて、被害の状況を振り返るとともに、地震への備えを呼びかけています。

（高浜聡 南海トラフ地震防災官）「大分県中部地震もそうだが、浅い地震は揺れを感じてから大きな揺れが来るまでの間がすごく短い。安全な場所へ退避する時間がありません。身の安全を守るために日頃から家具の固定等で家の中に安全なスペースを十分確保してもらいたい」

県内でも被害が想定されている南海トラフ地震の発生確率は今後30年以内に80％程度となっています。この機会に地震への備えを改めて確認することが必要となっています。
大分放送",[],[]
動員学徒18人死亡　遺族らが犠牲者を追悼、平和の誓い新たに　大分空襲から80年（OBS大分放送）,https://news.yahoo.co.jp/articles/8384b09dab4035fe25ef64a97eadf17ff5ecc4ed,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21868311-obsnews-000-3-view.jpg?exp=10800,2025-04-21T18:22:34+09:00,2025-04-21T19:21:44+09:00,OBS大分放送,obsnews,OBS大分放送,640,"大分放送
動員学徒18人が亡くなった大分市の空襲から21日で80年。遺族らが犠牲者を追悼し平和への誓いを新たにしました。
【写真を見る】動員学徒18人死亡　遺族らが犠牲者を追悼、平和の誓い新たに　大分空襲から80年
大分上野丘高校の敷地内にある慰霊像には、高校の前身である旧大分中学の動員学徒で戦争の犠牲となった生徒たちの名前が刻まれています。

太平洋戦争末期の1945年4月21日、アメリカ軍の空襲により大分市岩田町の軍需工場で働いていた動員学徒18人が命を落としました。

80年の節目となる21日、慰霊像のもとに遺族らが訪れ、祈りを捧げました。大分市の新井川久恵さんは14歳だった義理の弟を亡くしました。当時の様子は生前、義理の母が語っていたといいます。

（動員学徒の遺族・新井川久恵さん）「バラバラに体がなって大分川は地獄のようになっていた。そうこういうことを学んで二度と戦争はしてほしくない」

一方、慰霊の日を前に4月14日大分上野丘高校の有志が慰霊像とその周辺の清掃活動を行いました。各クラスの代表やボランティアなど100人を超える生徒が始業前に集まり、たわしやスポンジで像を磨き上げました。

（生徒）「過去のことにするんじゃなくて、未来につなぐことが大切だと思い、参加しました」「同じような世代の学生が亡くなったという事実が信じられないというか二度と起きないといいなと思う」

上野丘高校では清掃活動を通じて生徒たちに悲惨な歴史を伝え続けています。
大分放送",[],[]
県立高田高校で昼食の無償提供がスタート　子育て支援の一環で県内初　大分（OBS大分放送）,https://news.yahoo.co.jp/articles/482dcc57ab102161412e16f450d1a5afc412bc27,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21868820-obsnews-000-3-view.jpg?exp=10800,2025-04-21T18:13:34+09:00,2025-04-21T19:28:31+09:00,OBS大分放送,obsnews,OBS大分放送,697,"大分放送
大分県豊後高田市では、県内初の取り組みとして、21日から高校生への昼食の無償提供が始まりました。
【写真を見る】県立高田高校で昼食の無償提供がスタート　子育て支援の一環で県内初　大分
21日午前10時40分、県立高田高校。市の給食センターから昼食が届けられました。県内では初めての昼食の無償提供となります。

初日のメニューは、鶏肉や豊後高田の野菜を使用したもので、市内の中学校と同じ内容です。しかし、高校では牛乳を提供がされない分、ご飯やおかずの量を少し増やしています。

（高校生）「高校生になって食べられると思っていなかったので、食べることが出来て嬉しいです。」「お弁当だと少し冷めていることもあるけど、昼食だと、温かいまま届いて、とてもおいしく感じます」「親の負担も減るし、なにより暖かい昼ごはんを食べられるので、すごくうれしいです」

昼食無償提供の予算は豊後高田市に寄せられたふるさと納税です。豊後高田市の2023年度のふるさと納税額は、3億4511万円で、そのすべてを子育て支援にあてています。多くの市町村のふるさと納税の使い道が多様化している中で、豊後高田市は子育てに特化しています。

（佐々木敏夫市長）「こどものうちは、高田で育って、また保護者が子供を生みたいという環境づくりを整えていきたいと思っています」

高校の昼食無償提供についてOBSで各自治体に聞き取りをした結果、豊後大野市ではいったん検討をしたものの、財源不足から実施を見送っています。また、そのほかの自治体は現時点で検討していませんが、今後、県内各自治体に広がる可能性もあるとみられます。
大分放送",[],[]
日本一の高校生ボウラー　全国大会で優勝した大分高校ボウリング部、強さの秘訣は（OBS大分放送）,https://news.yahoo.co.jp/articles/060a0bae7b610a87284537d3647691c4aa953004,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21868683-obsnews-000-3-view.jpg?exp=10800,2025-04-21T17:47:00+09:00,2025-04-21T19:16:58+09:00,OBS大分放送,obsnews,OBS大分放送,788,"大分放送
国民スポーツ大会にも正式種目として採用されているボウリング。3月、大分市で行われた高校の全国大会男子団体の部で大分高校が優勝しました。強さの秘訣に迫ります。
【写真を見る】日本一の高校生ボウラー　全国大会で優勝した大分高校ボウリング部、強さの秘訣は
13人の部員が練習に励む大分高校ボウリング部。投球を重ねる選手たちのうち、この春、2人の3年生が日本一に輝きました。

3月15日に県内で初めて開催された全国高校ボウリング選手権。2人1組で争う男子団体の部で3年の巽洸一・佐藤優成ペアが優勝し、出場26チームの頂点に立ちました。

（巽洸一選手）「相方が結構いいスコアを打ってくれたんで、それが結構、心の余裕につながりました」

（佐藤優成選手）「あんまり実感がわいてないけどうれしいです。日本一は気持ちいいですね」

小学1年生の頃に競技をはじめた巽たつみ選手。レーンコンディションにあわせたクレバーな投球が持ち味です。

一方、佐藤選手は高校入学後に競技をスタート。フィジカルの強さを武器に、わずか2年で全国トップクラスの実力を身につけました。キャリアやプレースタイルは違うものの、2人はお互いを認め合い、共に力を高めてきました。

（巽洸一選手）「佐藤選手はほんとに成長がすさまじく早くて、ほんと凄いですよ」

（佐藤優成選手）「巽選手は最強ですよ。知識が違うのでそこは日ごろ教えてもらっています」

外部指導員としておよそ10年に渡りボウリング部に携わるプロボウラーの桜庭良弘さん（53）は、2人の今後に期待を寄せます。

（桜庭良弘プロ）「自分たちが培ってきたところを、後輩たちに引き継ぐような流れを作って部を盛り上げてほしいと思います」

2人が次に見据えるのは京都で行われる夏の全国大会。春の大会と合わせた2冠を目指す新たな挑戦が始まります。
大分放送",[],[]
高い糖度が特徴、白いトウモロコシ「白雪姫」　小学生が1400本の苗を植え付け　大分（OBS大分放送）,https://news.yahoo.co.jp/articles/41ba378f3d0f7d29977317f99086c3b054d08e5d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21868263-obsnews-000-2-thumb.jpg?exp=10800,2025-04-21T17:44:32+09:00,2025-04-21T18:58:28+09:00,OBS大分放送,obsnews,OBS大分放送,397,"大分放送
大分県日出町の小学生が21日、地元の特産白いトウモロコシの苗の植え付けを体験しました。
【写真を見る】高い糖度が特徴、白いトウモロコシ「白雪姫」　小学生が1400本の苗を植え付け　大分
白いトウモロコシ「白雪姫」は、高い糖度と生でも食べられるのが特徴で、日出町で5年前から栽培されています。

地元の特産の魅力を広めようと生産者らでつくる団体が21日、小学生を対象にした植え付け体験を実施しました。参加した藤原小学校の5年生34人が生産者から作業のコツを教えてもらいながら、白雪姫の苗を一つひとつ丁寧に植えていきました。

（児童）「しっかり植えないと苗が倒れるのが大変でした。できたら家族に食べさせたい」「自分たちが食べる時においしいと思えるトウモロコシになってほしい」

子どもたちは21日だけでおよそ1400本の苗を植えました。7月には収穫も体験することにしています。
大分放送",[],[]
「トランプ関税」　県内企業の4割超えが「マイナスの影響」　東京商工リサーチ調査　大分（OBS大分放送）,https://news.yahoo.co.jp/articles/703d211406431170d82c4afee6ffdf564f2ef087,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21868295-obsnews-000-2-thumb.jpg?exp=10800,2025-04-21T17:41:35+09:00,2025-04-21T19:02:03+09:00,OBS大分放送,obsnews,OBS大分放送,399,"大分放送
アメリカ・トランプ政権による関税政策について、大分県内企業の4割以上がマイナスの影響が出ると回答したことが東京商工リサーチの調査でわかりました。

民間の信用調査会社、東京商工リサーチはアメリカのトランプ大統領の関税政策が業績にどのように影響するかについて全国で調査を行い、県内では53社が回答しました。

それによりますと「影響は生じていない」が56.6％でした。一方、「少しマイナス」と「大いにマイナス」をあわせると43.3％となりました。

産業別で「マイナス」が最も高かったのは建設業で71.4％です。また、相互関税にどう対応するか尋ねたところ「人員を削減する」「仕入れ先に納入単価の引き下げを要請する」といった回答があがりました。

東京商工リサーチは「県内では現時点で対応を決めかねている企業が多い。関税の交渉の最中なので、今後の状況に注視が必要」と分析しています。
大分放送",[],[]
木を伐採中に脚立から転落　70歳男性が意識不明の重体　大分（OBS大分放送）,https://news.yahoo.co.jp/articles/dd5ca87de99e5560c04321092b2ef6f12c950697,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21868297-obsnews-000-1-view.jpg?exp=10800,2025-04-21T16:08:30+09:00,2025-04-21T16:08:30+09:00,OBS大分放送,obsnews,OBS大分放送,260,"大分放送
21日午前、大分市の空き地で木を伐採していた70歳の男性が、脚立から落下して意識不明の重体です。

21日午前9時すぎ、大分市野田の空き地で、地区のボランティア6人が木の伐採作業にあたっていました。このうち近くに住む松尾廣行さん（70）が脚立から落下し、地面に倒れました。松尾さんは頭などを強くうち、近くの病院で手当を受けていますが、意識不明の重体となっています。

警察によりますと、松尾さんは当時、高さ約2メートルある脚立の上で作業を行っていたということです。

警察が事故の原因を調べています。
大分放送",[],[]
クレーン車から出火　大分市中心部の県道で走行中　一時渋滞発生（OBS大分放送）,https://news.yahoo.co.jp/articles/97ba215a6959d9322551d5911da073cfdc1a63ab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21867464-obsnews-000-2-thumb.jpg?exp=10800,2025-04-21T12:16:57+09:00,2025-04-21T12:19:28+09:00,OBS大分放送,obsnews,OBS大分放送,310,"大分放送
21日朝、大分市中心部の県道で走行中のクレーン車から出火しました。けが人はいませんでしたが、現場周辺では渋滞が発生しました。
【写真を見る】クレーン車から出火　大分市中心部の県道で走行中　一時渋滞発生
警察によりますと、21日午前6時50分ごろ、大分市住吉町の県道で走行中のクレーン車の後方部分から出火したと運転していた男性から119番通報がありました。

消防車7台が出動し、およそ30分後に消し止められました。運転の男性にけがはありませんでした。

クレーン車の移動には時間がかかる見通しで、現場では交通渋滞が発生しました。

エンジンルームから出火したとみられ、警察と消防が原因を調べています。
大分放送",[],[]
防犯カメラが捉えた“直前のもみ合い” 若者グループが45歳男性を襲撃、何らかのトラブルか　大分市都町強盗傷害事件（OBS大分放送）,https://news.yahoo.co.jp/articles/d0e078590c86907c74b66bd5afc3c2c0e8994740,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21867297-obsnews-000-1-thumb.jpg?exp=10800,2025-04-21T12:09:52+09:00,2025-04-21T12:09:52+09:00,OBS大分放送,obsnews,OBS大分放送,550,"大分放送
大分市都町の路上で19日、45歳の男性が若い男女のグループから暴行を受け、現金を奪われた事件で、警察は事件直前、このグループと被害者との間で何らかのトラブルがあったとみて捜査しています。
【写真を見る】防犯カメラが捉えた“直前のもみ合い” 若者グループが45歳男性を襲撃、何らかのトラブルか　大分市都町強盗傷害事件
大分市都町に設置された防犯カメラの映像です。事件のあった19日午前2時半ごろ、男性1人と複数の男女がもめている様子が映っています。このあと全員は事件のあった現場の方へ向かっていきました。

この事件は19日午前2時45分、若者グループが市内に住む看護師の男性（45）に暴行を加え、現金を奪って逃走したものです。

警察によりますと、男性は事件直前、現場近くの公園でグループの1人から声をかけられ、走って逃げましたが、国道197号の路上で追いつかれ、投げ飛ばされるなどの暴行を受けて、左足首を骨折する大けがをしました。

被害を受けた男性はグループと面識がなく、5〜6人の男女がいて現金約30万円を奪われたと話しているということです。

グループは10代から20代とみられ、警察は事件直前に被害者の男性とグループとの間に何らかのトラブルがあったとみて捜査しています。
大分放送",[],[]
水路で清掃中に男性3人流される　1人死亡、2人は自力で脱出　大分・九重町（OBS大分放送）,https://news.yahoo.co.jp/articles/c1ef2599244e3b89d12771e2dfd0e3d0bf0a2660,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250421-21867230-obsnews-000-5-thumb.jpg?exp=10800,2025-04-21T11:32:06+09:00,2025-04-21T19:21:44+09:00,OBS大分放送,obsnews,OBS大分放送,415,"大分放送
大分県九重町で20日午後、水路の清掃作業をしていた男性3人が流され、このうち、1人が死亡しました。
【写真を見る】水路で清掃中に男性3人流される　1人死亡、2人は自力で脱出　大分・九重町
20日午後1時50分ごろ、九重町後野上で地区の男性3人が水路にたまった土砂などを取り除く清掃作業をしていたところ、水に流されました。このうち2人は自力で脱出しましたが、近くに住む農業、田邉万壽夫さん（76）が350メートル下流まで流されました。

田邉さんは消防によって救助され、由布市内の病院で手当てを受けていましたが、頭などを強く打っていて、まもなく死亡しました。

水路は幅80センチ、深さ50センチでした。

大分地方気象台によりますと、観測地点がある玖珠町では朝には雨量を観測しているものの、事故当時に雨量は観測されていません。

警察では21日午後にも実況見分を行って、田邉さんが流された原因を調べる方針です。
大分放送",[],[]
