headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
ＩＭＦ、金融安定リスク大幅拡大に警鐘　貿易巡る混乱で（ロイター）,https://news.yahoo.co.jp/articles/41841ea5b06b15cace65579a5dd5a5c91ca324c1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000114-reut-000-1-view.jpg?exp=10800,2025-04-22T23:53:30+09:00,2025-04-22T23:53:30+09:00,ロイター,reut,ロイター,1071,"ＩＭＦは、貿易政策や他の地政学的要因を巡る経済的不確実性の高まりが主な要因となり、世界の金融安定リスクが秋以降、大幅に高まっていると警鐘を鳴らした。２０１８年、ワシントンで撮影（２０２５年　ロイター/Yuri Gripas）
Pete Schroeder

[ワシントン ２２日 ロイター] -     国際通貨基金（ＩＭＦ）は２２日、貿易政策や他の地政学的要因を巡る経済的不確実性の高まりが主な要因となり、世界の金融安定リスクが秋以降、大幅に高まっていると警鐘を鳴らした。

半期に一度の世界金融安定報告で、金融環境の引き締まりと不確実性の拡大が相まって、世界的に金融リスクが高まっていると指摘。

「こうした脆弱性はショックを増幅させ、金融環境の急激な引き締まりを引き起こし、経済の低迷を悪化させ、大規模な経済的コストをもたらす可能性がある」とした。

具体的には、今後の金融安定を圧迫する可能性のある３つの脆弱性を挙げた。１つ目は、一部の株式市場や社債市場では最近の価格下落後もバリュエーションが依然として高いままで、さらなる下落余地がある点だ。２つ目は、ヘッジファンドなどレバレッジの高い一部金融機関が不安定な市場で圧迫を受け、売りを悪化させる可能性がある点だ。３つ目としては、さらなる混乱が特に債務水準の高い国のソブリン債市場に重くのしかかる可能性があると指摘した。

関税を巡る混乱が銀行を圧迫する恐れがあるとも警告した。貿易ショックにより、損失に備えて引当金を増やす必要性に迫られ、資本市場が減速すれば非金利収入が減少する可能性があるほか、貿易金融も混乱する恐れがあるためだ。

「貿易金融は安定したキャッシュフロー、供給網、規制の枠組みに依存しているが、これら全てが突然の関税変更で混乱する可能性がある」とした。

ＩＭＦはこうしたリスクへの対応として、国際的な資本規制「バーゼル３」の導入を含め、銀行の十分な資本と流動性を確保するよう世界各国の規制当局に求め、新たな資本規制の「完全かつ適時で一貫した導入」を呼びかけた。

銀行に対する「独立した集中的な」監督も求め、銀行とノンバンクの相互作用に重点を置く必要があると強調した。

「管轄区域間の相互関連性の高まりは、特定の管轄区域から生じるストレスが世界的な影響を及ぼす可能性があることを意味し、他の地域も備えが必要になる」とし、「これは金融リスクを迅速かつ効果的に軽減するために、多国間の監視と世界的な金融安全網の両方が果たす重要な役割を浮き彫りにしている」と指摘した。",[],[]
ドル安は市場調整の一環、ストレスの兆候なし＝ＩＭＦ高官（ロイター）,https://news.yahoo.co.jp/articles/2cdbcfce875c33fa7f5bff2ab5b843d457ba71c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-04-22T23:43:47+09:00,2025-04-22T23:43:47+09:00,ロイター,reut,ロイター,216,"［ワシントン ２２日 ロイター］ -     国際通貨基金（ＩＭＦ）のチーフエコノミスト、ピエール・オリビエ・グランシャ氏は２２日、幅広いドル安はドル建て資産需要の再検討を示唆しているものの、市場はストレスなく調整に対応していると述べた。

同氏は、このところドル資産への資金流入が非常に強まっていたため、ある程度の調整は正常だと指摘。「調整や修正が見られ、市場はそれに対処している。為替市場にストレスの兆候は見られない」と述べた。",[],[]
米国務省を抜本再編、トランプ政権　無駄な部署廃止＝ルビオ長官（ロイター）,https://news.yahoo.co.jp/articles/1fb277340a71c486feaf8b44922d6569f0151b29,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000112-reut-000-1-view.jpg?exp=10800,2025-04-22T23:42:56+09:00,2025-04-22T23:42:56+09:00,ロイター,reut,ロイター,305,"ルビオ米国務長官は、トランプ政権が国務省を抜本的に再編すると明らかにした。４月１７日、パリで撮影（２０２５年　ロイター/JULIEN DE ROSA/Pool via REUTERS）
[ワシントン ２２日 ロイター] -     ルビオ米国務長官は２２日、トランプ政権は国務省を抜本的に再編すると明らかにした。無駄と見なされる特定の部署のほか、米国の国益に合致しないプログラムなどを廃止するという。

ルビオ長官は、局レベルから大使館に至るまで国務省を強化する取り組みと指摘。「地域別の機能を統合し機能性を高めるほか、無駄な部署を削減し、米国の中核的な国益に合致しない法定外のプログラムを廃止する」と述べた。",[],[]
中国外相、英・ＥＵに多国間貿易体制擁護呼びかけ　米関税に対抗（ロイター）,https://news.yahoo.co.jp/articles/fbb97239c122284d6b4789c6c3b83f439bd3e5eb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000111-reut-000-1-view.jpg?exp=10800,2025-04-22T23:41:10+09:00,2025-04-22T23:41:10+09:00,ロイター,reut,ロイター,445,"中国の王毅外相は、英国とＥＵに対し、多国間貿易体制を擁護するよう呼びかけた。３月２７日、北京で撮影（２０２５年　ロイター/JESSICA LEE/Pool via REUTERS）
［北京　２２日　ロイター］ -     中国の王毅外相は２２日、英国と欧州連合（ＥＵ）に対し、多国間貿易体制を擁護するよう呼びかけた。米国の関税措置に対抗するため、貿易相手国から支持を取り付けようとする動きの一環とみられる。

中国外務省によると、王氏はラミー英外相と電話会談し、「横行する一方的ないじめ」に直面する中、中国と英国には国際秩序を維持する責任があると伝えた。さらに「あらゆる雑音を排除する」ために英国と協力する用意があるとし、両国には多国間貿易体制を守る責任があると強調した。

オーストリアのマインル・ライジンガー外相との電話会談でも、中国とＥＵが多国間貿易を守り、開かれた世界経済を構築するという国際的責任を担うべきと述べた。中国がＥＵとのハイレベル交流を強化する考えがあるとも表明にした。",[],[]
米、インド向けエネルギー・防衛装備の販売拡大を検討＝バンス氏（ロイター）,https://news.yahoo.co.jp/articles/94f4beb30bad04e54b43901686322faa306a22f0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000110-reut-000-1-view.jpg?exp=10800,2025-04-22T23:33:53+09:00,2025-04-22T23:33:53+09:00,ロイター,reut,ロイター,398,"バンス米副大統領は、米国がインドへのエネルギーおよび防衛装備の販売を拡大することを検討していると語った。２２日、ジャイプールで撮影（２０２５年　ロイター/Kenny Holston/Pool via REUTERS）
［ジャイプール（インド） ２２日　ロイター］ -     インド訪問中のバンス米副大統領は２２日、米国がインドへのエネルギーおよび防衛装備の販売を拡大することを検討していると語った。さらに、米印関係強化を重視する姿勢を示唆した。

バンス副大統領は北西部の都市ジャイプールで演説し、「インドと米国が首尾よく協力すれば、２１世紀は繁栄と平和の時代となるだろう」とした上で、さもなければ「人類全体にとって非常に暗い時代となる可能性があると確信している」と述べた。

バンス副大統領は２１日、モディ首相と会談し、両国が通商問題を巡る協議で大きな進展があったとして歓迎の意を表していた。",[],[]
ＥＣＢ、近く物価目標達成も　不確実性高く政策予測困難＝スロバキア中銀総裁（ロイター）,https://news.yahoo.co.jp/articles/a517d99ae36051989f9262ec5c6f13bba7e1af1b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000109-reut-000-1-view.jpg?exp=10800,2025-04-22T23:30:35+09:00,2025-04-22T23:30:35+09:00,ロイター,reut,ロイター,708,"ＥＣＢ理事会メンバーのカジミール・スロバキア中銀総裁は、ＥＣＢのインフレ目標は向こう数カ月以内に達成される可能性があると述べた。２０１８年、香港で撮影（２０２５年　ロイター/Bobby Yip）
[２２日 ロイター] -     欧州中央銀行（ＥＣＢ）理事会メンバーのカジミール・スロバキア中銀総裁は２２日、ＥＣＢのインフレ目標は向こう数カ月以内に達成される可能性があると述べた。同時に、経済全体の見通しが極めて不確実になっているため、ＥＣＢの次の政策措置を巡る有意義な指針を示すのは困難との見方を示した。

カジミール氏はブログへの投稿で「（ユーロ圏の）インフレ率は目標に近づいており、向こう数カ月以内に目標を達成できると確信している」と言及。ＥＣＢがこれまでに実施した利下げにより、現在の政策金利は景気を熱しも冷やしもしない「中立金利」に近い水準にあるとの見方を示した。

同時に、米国の関税政策に起因する貿易を巡る世界的な緊張の高まりに言及し、急速に変化する環境下で不確実性が高まる中、ＥＣＢの今後の政策の行方を予測するのは難しいと指摘。ＥＣＢは入手されるデータに基づき政策決定を行っていくとし、「６月の理事会での決定は、新たなデータと新たな予測に大きく左右される」と述べた。

ＥＣＢは１７日、主要政策金利の預金金利を０．２５％ポイント引き下げ、２．２５％とすると決定。利下げは６会合連続で、過去１年間で７回目だった。  

ＥＣＢは同理事会で、米国の関税措置でユーロ圏の経済成長が大きな打撃を受ける可能性があると警告。市場では、ＥＣＢは年内に少なくともあと２回の利下げを決定するとの見方が織り込まれている。",[],[]
ＩＭＦ、日本の成長率見通し引き下げ　トランプ関税の影響で（ロイター）,https://news.yahoo.co.jp/articles/eaf23932fca0f3993f3a938395563c5644f62296,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000108-reut-000-1-view.jpg?exp=10800,2025-04-22T22:14:38+09:00,2025-04-22T22:14:38+09:00,ロイター,reut,ロイター,1001,"国際通貨基金（ＩＭＦ）は２２日に公表した「世界経済見通し」で、日本の経済成長率見通しを引き下げ、日銀の利上げペースは想定よりも緩やかになるとの見方を示した。日銀本店、１月撮影（２０２５年　ロイター/Issei Kato）
Leika Kihara

[東京 ２２日 ロイター] -     国際通貨基金（ＩＭＦ）は２２日に公表した「世界経済見通し」で、日本の経済成長率見通しを引き下げ、日銀の利上げペースは想定よりも緩やかになるとの見方を示した。米国の関税引き上げによる影響を考慮した。

４月３０日─５月１日に開催される日銀の次回会合を前に、トランプ米大統領の包括的な関税が、輸出に依存する日本経済に打撃を与える可能性を浮き彫りにした。

２０２５年の成長率見通しは０．６％。１月時点の従来予想から０．５％ポイント下方修正した。２４年の成長率は０．１％だった。

ＩＭＦは「インフレを上回る賃金の伸びが家計の可処分所得を押し上げることで見込まれていた個人消費の拡大が、４月２日に発表された関税の影響とそれに伴う不確実性によって相殺される」と指摘した。

２６年の成長率見通しも０．６％で、１月の予想から０．２ポイント引き下げられた。

日銀の政策金利引き上げについては「２４年１０月の想定よりも緩やかなペース」になる見通しとしたが、具体的な追加利上げ時期には言及しなかった。

ＩＭＦは、日銀がインフレ率を目標の２％に維持できる「約１．５％の中立水準に向けて」中期的に政策金利を徐々に引き上げる見込みだとした。

日銀は昨年、約１０年に及んだ大規模な金融緩和策を終了。今年１月には２％のインフレ目標を持続的に達成できる段階にあるとして、政策金利を０．５％に引き上げた。

植田和男総裁は追加利上げの用意があると示唆しているが、トランプ氏の関税方針により、政策判断は複雑化している。

トランプ氏は日本に対し、２４％の相互関税を課すとしたが、一部を７月上旬まで停止した。全ての輸入品に対する一律１０％の基本関税は維持されたほか、自動車への２５％の関税も維持されており、日本経済への打撃が見込まれている。

関係筋によると、日銀は次回会合で政策金利を据え置くものの、米国の関税引き上げによるリスクが、利上げ継続に不可欠とみられる賃金上昇とインフレのサイクルを阻害することはないという見方を示唆するという。",[],[]
ＩＭＦ、新興国の成長率見通し引き下げ　資金調達問題など指摘（ロイター）,https://news.yahoo.co.jp/articles/6c986c978855f420b02eec676e565793cf881621,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000107-reut-000-1-view.jpg?exp=10800,2025-04-22T22:11:19+09:00,2025-04-22T22:11:19+09:00,ロイター,reut,ロイター,816,"国際通貨基金（ＩＭＦ）は、２２日発表の「世界経済見通し」で２０２５年の新興国経済の成長率見通しを下方修正した。香港で２０２３年撮影（２０２５年　ロイター/Tyrone Siu）
Karin Strohecker　Rodrigo Campos

[ワシントン ２２日 ロイター] -     国際通貨基金（ＩＭＦ）は、２２日発表の「世界経済見通し」で２０２５年の新興国経済の成長率見通しを下方修正した。資金調達問題と開発資金の不足が打撃となる可能性を警告した。

ＩＭＦは新興国・発展途上国の今年の経済成長率予測を３．７％、２６年を３．９％にそれぞれ引き下げ、１月に発表した前回の見通しから約０．５％ポイント下方修正した。２４年の推定成長率は４．３％。

「現時点では状況は流動的だが、リスクは依然として明確に下方に向いている」と指摘した。

国別では、メキシコの成長率は１．７％ポイント引き下げられ今年０．３％のマイナス成長になると予想。

中国は、米関税の標的となっていることから今年の成長率は０．６％ポイント、来年もほぼ同程度下方修正された。

一方、ロシアの今年の成長率は０．１％ポイント引き上げ１．５％としたが、昨年の推定成長率４．１％からは大幅な減速となっている。欧州新興国の今年と来年の成長率は２．１％にとどまる見通し。

ＩＭＦは、多くの新興市場国の財政余地は１０年前よりもはるかに逼迫しており、財政収入に占める債務返済の割合が増加していると指摘。

「多くの国が示してきた耐性は、不利な世界金融状況下で高水準の債務返済がより困難になるにつれて試練を受ける可能性がある」と分析している。

また、多くの国がすでに譲許的融資や開発資金の枯渇に直面していると警告。

「国際開発支援がより限定的になれば、低所得国は債務増大や大幅な財政調整を余儀なくされ、成長と生活水準に直接的な影響を与える可能性がある」との見方を示した。",[],[]
英成長率、今年1.1％に下方修正　インフレは上振れ＝ＩＭＦ（ロイター）,https://news.yahoo.co.jp/articles/fa6c06a2426f593ba9b3ce535eeb75f3ced51e2b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000106-reut-000-1-view.jpg?exp=10800,2025-04-22T22:10:10+09:00,2025-04-22T22:10:10+09:00,ロイター,reut,ロイター,729,"国際通貨基金（ＩＭＦ）は２２日公表した世界経済見通しで、英国の２０２５年成長率予測を大幅に引き下げた。ロンドンの高層ビル街で昨年７月撮影（２０２５年　ロイター/Hollie Adams）
William Schomberg

［ワシントン　２２日　ロイター］ -     国際通貨基金（ＩＭＦ）は２２日公表した世界経済見通しで、英国の２０２５年成長率予測を大幅に引き下げた。トランプ関税が世界各国に影響を及ぼすと予想されている。

２５年の成長率は１．１％とし、１月予想から０．５％ポイント引き下げた。ドイツ、フランス、イタリアよりも大幅な下方修正となったが、成長率は３カ国を上回る。

ＩＭＦは、トランプ関税の影響、ここ数週間の金利上昇、２４年末の景気低迷、インフレによる需要への打撃を下方修正の理由とした。

２６年の成長率も１．５％から１．４％に下方修正した。

２５年のインフレ率予想は１月時点の２．４％から３．１％に上方修正した。引き上げ幅は先進国の平均０．４％ポイントを上回ったが、米国の１％ポイントほど深刻ではなかった。

インフレ率予想の引き上げについてＩＭＦは「主に一時的な統制価格の変動を反映した」とした。

英国では今月、家計向けの光熱費と水道料金が値上がりした。加えて社会保障費の雇用主負担の増加、賃金上昇もインフレ押し上げ要因となる。

ＩＭＦは２６年のインフレ率は２．２％と、イングランド銀行（英中央銀行）の目標の２％近くまで減速すると予想した。

リーブス財務相は、ＩＭＦの最新の２５年成長率予想は、他の欧州主要国よりも依然として高いと指摘した。

ＩＭＦの予想は、英予算責任局（ＯＢＲ）の１．０％、英中銀の０．７５％より高い。",[],[]
ＩＭＦ、中南米・カリブ海諸国の2025年成長率見通しを下方修正（ロイター）,https://news.yahoo.co.jp/articles/eb9e911a29c74bba27a1e73e249877fe8867b18c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250422-00000105-reut-000-1-view.jpg?exp=10800,2025-04-22T22:07:30+09:00,2025-04-22T22:07:30+09:00,ロイター,reut,ロイター,743,"国際通貨基金（ＩＭＦ）は２２日、最新の「世界経済見通し」で２０２５年の中南米・カリブ海諸国の経済成長率見通しを２．０％に下方修正した。メキシコシティーで２０２３年撮影（２０２５年　ロイター/Jose Luis Gonzalez/File Photo）
Rodrigo Campos

[ニューヨーク ２２日 ロイター] -     国際通貨基金（ＩＭＦ）は２２日、最新の「世界経済見通し」で２０２５年の中南米・カリブ海諸国の経済成長率見通しを２．０％に下方修正した。１月時点の予想は２．５％、昨年は２．４％だった。

メキシコのマイナス成長見通しが引き下げの主因となっている。

ＩＭＦは「下方修正は主にメキシコの成長率の大幅な下方修正に起因している」と説明。２４年後半および今年初めの予想を下回る経済活動、および米国による関税の影響とそれに伴う不確実性と地政学的緊張、厳しくなった資金調達条件が原因とした。

米国との結びつきが強いメキシコ経済は、米関税の影響で今年は０．３％のマイナス成長になると予想。前回予想では１．４％の成長が見込まれていた。

ブラジルの成長率は１月予想の２．２％から２．０％に下方修正された。

アルゼンチンの成長率予想は５．５％で、１月時点の５．０％から上方修正された。コロンビアは２．４％、チリは２．０％、ペルーは２．８％の成長が見込まれている。

中米の今年の成長見通しは３．８％で昨年の３．９％からわずかに鈍化。カリブ海地域は昨年の１２．１％から４．２％に減速すると予想している。

ＩＭＦは米国による関税の大幅引き上げの影響を理由に今年の世界経済の成長率見通しを１月の３．３％から２．８％に下方修正した。国別ではほとんどの見通しを下方修正している。",[],[]
