headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
G1オールガールズクラシックの準決勝メンバーが確定　予選組は児玉碧衣ら勝ち上がり、當銘直美は敗退／ガールズケイリン（netkeirin）,https://news.yahoo.co.jp/articles/4ce4809e31238a2a7f8416061db74752e9a47e52,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009025-nkeirin-000-1-view.jpg?exp=10800,2025-04-25T21:31:00+09:00,2025-04-25T21:31:00+09:00,netkeirin,nkeirin,netkeirin,756,"児玉碧衣などが準決勝へ進む(写真撮影：北山宏一)
岐阜競輪場で25日から開催されている「オールガールズクラシック(GI)」は初日が終了し、ティアラカップと予選が終了。26日の準決勝に進出する選手21名が確定した。

※左から地区、選手名、級班、期、競走得点

北日本　熊谷芽緯　L1　124　53.53
関東　細田愛未　L1　108　54.44
関東　太田りゆ　L1　112　56.75
関東　小林莉子　L1　102　56.07
関東　梅川風子　L1　112　57.33
南関東　鈴木奈央　L1　110　55.18
南関東　久米詩　L1　116　56.84
南関東　石井貴子　L1　106　56.37
南関東　尾崎睦　L1　108　55.60
南関東　佐藤水菜　L1　114　57.33
中部　當銘沙恵美　L1　118　51.93
中部　太田美穂　L1　112　54.22
中部　竹野百香　L1　124　55.75
中部　坂口楓華　L1　112　57.10
近畿　柳原真緒　L1　114　55.80
近畿　日野未来　L1　114　55.39
近畿　吉川美穂　L1　120　56.07
中国　山原さくら　L1　104　56.25
九州　小林優香　L1　106　56.22
九州　児玉碧衣　L1　108　56.75
九州　尾方真生　L1　118　57.03

　準決勝にはティアラカップに出場した7名と、予選で2着以内に入った10名に加え、3着の中から選考順位上位から4名が進む。注目の佐藤水菜、坂口楓華らティアラカップ組に加え、児玉碧衣、太田りゆ、梅川風子、熊谷芽緯、鈴木奈央らが予選1着で準決勝進出を決めた。予選3着の竹野百香は泣き別れで選抜戦回りとなり、G1優出実績のある當銘直美は接触があり予選敗退となった。",[],[]
【G1オールガールズクラシック結果】佐藤水菜が押し切って1着/ティアラカップ(12R)（netkeirin）,https://news.yahoo.co.jp/articles/bff0ac4e93e91da84e7f0753ed0caddb2a677ba3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009024-nkeirin-000-4-view.jpg?exp=10800,2025-04-25T20:45:00+09:00,2025-04-25T20:45:00+09:00,netkeirin,nkeirin,netkeirin,329,"佐藤水菜(3番車・赤)が押し切って1着(写真提供:チャリ・ロト)
4月25日、岐阜競輪場で行われたオールガールズクラシック(GI・初日)のティアラカップは、佐藤水菜(26歳・神奈川=114期)が最終ホームで仕掛けて前を叩き切って1着、それを追った坂口楓華(27歳・愛知=112期)が2着、追い込んだ石井貴子(35歳・千葉=106期)が3着に入った。3連単は③-④-⑥で1,510円という配当だった。

　レースは尾方真生(25歳・福岡=118期)が逃げる展開も、最終ホームで一気に佐藤が仕掛けて最終バック入り口で早くも前を叩き切る。それを坂口が追走し、最終コーナーでは並びそうな場面もあったが、直線に入って佐藤が坂口を突き放して、見事ティアラカップを制した。",[],[]
36歳の中堅レーサーがヘルニアとの壮絶な闘病生活を語る「一時期は生活するにも厳しい状態」/立川競輪（netkeirin）,https://news.yahoo.co.jp/articles/9b2a5311993784225c1899568d5b5930f540cc4c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009023-nkeirin-000-1-view.jpg?exp=10800,2025-04-25T18:00:00+09:00,2025-04-25T18:00:00+09:00,netkeirin,nkeirin,netkeirin,617,"「走りながら(自分の状態を)上げていきたいと思っている」と話した伊藤勝太
立川競輪「デイリースポーツ杯(FII)」は26日に開幕。初日特選にシードされた伊藤勝太(36歳・愛知=95期)に話を聞いた。

　高松の落車で1か月少々欠場せざるを得なかった伊藤だが、熊本のモーニングから復帰。その後のいわき平を走った後にまた欠場となった。その理由を聞いてみると「ヘルニアが出てしまって…。もともと、腰痛とかあったんですけど、それより酷い痛みで、一時期は生活するにも厳しい状態にもなった。これでは走っている場合ではないという判断で、欠場したんです」と打ち明ける。

　今回はその復帰戦となった。「絶好調からみれば、程遠い感じではあるけど、走る分には何とかなるかなという状態にまで戻ったので参加することにしました」

　ただ、気になるのが、練習はできたのかということだが、「以前はひたすら練習練習だったのですが、無理にやり過ぎると、また痛みが戻ってくるので、痛みが出ないくらいの強度で休みを入れながらやってきました」と、ヘルニアと上手く対応するような練習スタイルにチェンジしたようだ。「ただ、練習していても良くなるわけでもないし、走りながら(自分の状態を)上げていきたいと思っている」と話してくれた。

　今の状態でいきなり結果を出すとまでは思えないが、今後、徐々に調子を取り戻して以前のような力強い走りを再び見せてほしい。(アオケイ・真島記者)",[],[]
【G1オールガールズクラシック】佐藤水菜らの豪華メンバーと練習を行った日野未来「かなりハードで逆に足を痛めた」/岐阜競輪（netkeirin）,https://news.yahoo.co.jp/articles/668f9c8defbef4145829453fc07858dedb4ac479,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009022-nkeirin-000-2-view.jpg?exp=10800,2025-04-25T17:00:00+09:00,2025-04-25T17:00:00+09:00,netkeirin,nkeirin,netkeirin,527,"超絶メンバーが相手だが、勝ち上がりたい日野未来。
岐阜競輪場のナイター競輪「第3回オールガールズクラシック(GI)」は、25日、初日を迎える。11レースのガールズ予選を走る日野未来(32歳・奈良=114期)に話を聞いた。

　選考順位による自動番組なので、この11レースは超絶メンバーが集まった。勝ち上がりにより、準決のメンバーも決まるので、車番の有利、不利も関係なくなる。2着権利で3着は一人落ちだが、これなら、選手からの不平不満もない。久米詩と梅川風子がいるが、この2人はティアラカップに出場しても勝負になる選手。

　日野未来は「強い自力選手の後ろが理想だけど、取れるとは限らない。その時は自分で切り開いて前々勝負。前回の岸和田を走る前にサトミナ(佐藤水菜)や、むっちゃん(尾崎睦)、梅川さんと一緒に練習をやる機会があった。ナショナルチーム仕込みのトレーニングだけど、かなりハードで、逆に足を痛めた。もう、その影響はないけど、刺激も受けました」。

　ちなみにオールスターのファン投票の中間発表があったが現状4位。1位が文句なしの児玉碧衣で、太田りゆ、佐藤水菜と続いているが、ファンの車券を第一に考えている姿勢が評価されているのだろう。(町田洋一)",[],[]
【G1オールガールズクラシックオッズ】佐藤水菜が人気の中心/ティアラカップ（netkeirin）,https://news.yahoo.co.jp/articles/6f41d01515b6c67fc3b54999ef6232ac9952203f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009021-nkeirin-000-2-view.jpg?exp=10800,2025-04-25T15:10:00+09:00,2025-04-25T15:10:00+09:00,netkeirin,nkeirin,netkeirin,476,"佐藤水菜が人気の中心(写真提供:チャリ・ロト)
4月25日に岐阜競輪場で行われる、オールガールズクラシック(GI・初日)ティアラカップのメンバーが発表された。

　佐藤水菜(26歳・神奈川=114期)は3番車、坂口楓華(27歳・愛知=112期)は4番車、尾方真生(25歳・福岡=118期)は5番車に入った。

　オールガールズクラシックのティアラカップは4月25日20時30分発走。

　左から車番、選手名、年齢、府県、期別

１.石井寛子(39歳・東京=104期)
２.尾崎睦(40歳・神奈川=108期)
３.佐藤水菜(26歳・神奈川=114期)
４.坂口楓華(27歳・愛知=112期)
５.尾方真生(25歳・福岡=118期)
６.石井貴子(35歳・千葉=106期)
７.吉川美穂(32歳・和歌山=120期)

　15時00分現在のオッズは佐藤水菜が人気の中心。2車単③-④が2.5倍、③-⑤が9.1倍、3連単は③-④-⑤が8.5倍、③-④-①が13.2倍でそれぞれ人気となっている。

※出走表・成績・オッズ等は主催者発表のものと照合してください。",[],[]
ガールズケイリン太田りゆがG1初制覇へ意欲メラメラ「当然、燃えてます！」（netkeirin）,https://news.yahoo.co.jp/articles/305242ee4fadb591edf924b927e519edaa009604,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009020-nkeirin-000-1-view.jpg?exp=10800,2025-04-25T12:01:00+09:00,2025-04-25T12:01:00+09:00,netkeirin,nkeirin,netkeirin,1672,"前走は福井で完全優勝、勢いつけてGIへ乗り込む太田りゆ(撮影:北山宏一)
◆netkeirin連載コラム「太田りゆ“ノーメイクな私の本音”」4月号

　今月もこんにちは、太田りゆです。さて、いよいよ4月25日〜27日に岐阜競輪場でGIオールガールズクラシックが始まります！ 今回は目標を中心に意気込みを書いてみたいと思います。
GIシリーズの目標
目標はただひとつ(撮影:北山宏一)
GIを優勝するとタイトル獲得だけではなく、自動的に年末のグランプリ出場が決まるわけです。当然、燃えてます！ 年間賞金ランキングでもグランプリに出られるようにとは思ってやってはいますが、「1発でグランプリの権利獲得」はやっぱり超魅力的ですよね！

　私は2017年にデビューしましたが、ナショナルチームで自転車競技にも打ち込んでいたので、年間通しての競輪選手生活は初めてです。賞金ランキング争いを背景に「数で勝負！」みたいなスケジュールで動くのは正直、今の私は「厳しいな」と感じてます。追加あっせんをたくさん受けられる選手はフィジカル・メンタルともに強いなって尊敬していますね。

　ということで！ オールガールズクラシックの目標はズバリ「優勝！」と言いたいところではありますが…。自分にプレッシャーをかけないように、とか、周りからの評価を気にしちゃって、「まずは決勝に乗ること」なんて控えめで弱気な目標を言いたい気もしちゃう。だけど、今回からは『まずは言わなきゃ始まらない』ということで！ やっぱり！「優勝すること」って目標を宣言してからシリーズに入ります！笑笑

　久しぶりに自分にプレッシャーかけようよ、私！
GI開催に向けて調整したのは初めて
1
/
2
自転車競技選手と競輪選手のダブル生活において調整面は難しかったと本人談(撮影:北山宏一)
楽しみな気持ちでGIへ(撮影:北山宏一)
今まで自転車競技と両立していた関係で、ガールズケイリンのGIに出場することがあっても「その開催に向けての調整」はできない環境でした。競技には国際大会の年間スケジュールがあり、どの時期の大会もオリンピックを目指す上で影響のある開催でした。

　そうなってくると調整のスケジュール的には競技に圧倒的な比重が置かれるし、ガールズケイリンのスケジュールにベストな調整はできませんでした(もちろん、その中での最善はいつも尽くしてきました)。

　大会から帰国後に大急ぎで競輪場で向かって、時差ボケのまま前検、そのまま出走みたいな強行日程も多かったです。唯一オリンピック後は競輪祭がありましたが、ガールズケイリンに専念するための準備期間という段階でした。だけど、今回は自分なりにしっかりGIに向けて準備してきました！

　オリンピック後からプロテインなどのサプリはストップしていたのですが、GIに向けて摂取して身体のメンテナンスにも力を入れたし、レース以外のお仕事はなるべくセーブして、調整してきました。

　自転車のことやレース内容として考えている具体的なこともありますが、コラムで書くとライバルたちに漏れちゃうので企業秘密ではありますが、ここまで磨いてきた私の武器を最大限に発揮できるようにしたいです。長所はさらに磨き、短所は少しずつ削っているはずです。ぜひ楽しみにしていてください！ 久しぶりのビッグレースで、久しぶりにゾクゾクしていて、私自身も実はすごく楽しみです！
現地に観に来て欲しい！ “生”のガールズケイリン選手たちを！
「岐阜競輪で会いましょう！」(撮影:北山宏一)
レースは動画で観てもらっても楽しめますが、私は絶対「生で観てもらった方が人の気持ちを動かせる」と思っています。それぞれのガールズケイリン選手たちがそれぞれ全力で走る姿をぜひ岐阜競輪場に見に来てください！ 

　そんでもって声援は「りゆーーーー！」でお願いします(笑)！ それでは現地で会いましょう！(8月の女子オールスター競輪の投票期間中です！ こちらの投票もぜひぜひよろしくお願いします♡)",[],[]
【オールガールズクラシック】地元地区のG1に妹と参戦の當銘直美「声援を力に変えて絶対に決勝へ」/岐阜競輪（netkeirin）,https://news.yahoo.co.jp/articles/1703e8bec741911ae945b4a5f29bef8e8c6087d8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009019-nkeirin-000-1-view.jpg?exp=10800,2025-04-25T11:00:00+09:00,2025-04-25T11:00:00+09:00,netkeirin,nkeirin,netkeirin,483,"妹の沙恵美とGIに挑む當銘直美(右)
岐阜競輪場のナイター競輪「第3回オールガールズクラシック(G1)」が25日に開幕する。7R予選を走る當銘直美(28歳・愛知=114期)に話を聞いた。

「今年は絶対に平塚に行きたい！」

　昨年、2度のG1決勝進出を果たした當銘直美が年末のガールズグランプリ初出場に強い意欲を示した。大事な大事な今年最初のG1は妹の沙恵美(26歳・愛知=118期)と同時参戦で「緊張しますね」と笑った。

「調子は変わらないし、岐阜バンクも苦手意識はない。タイムは出るし、どの仕掛けでも(大丈夫)ってイメージ。地元地区の特別競走はなかなかない。声援を力に変えて絶対に決勝に乗りたいです」

　直美が7Rで、沙恵美は直後の8R。

「先の方が良かった。妹も脚自体は上がっているけど、レースがヘタなんですよね〜。私はセコセコの走り。駆けるタイプが少なくて難しいけど、しっかり展開に応じて立ち回りたい。妹にいい流れでバトンタッチできるように頑張ります」

　まずは姉の威厳を示し、初G1で緊張する妹に力を与えたいところだ。(netkeirin特派員)",[],[]
【G1オールガールズクラシック】賞金ランク1位の久米詩が21連勝中の梅川風子といきなり激突「自分の走りしたい」/岐阜競輪（netkeirin）,https://news.yahoo.co.jp/articles/71bdf1643255cee3fd2b90bfc816bec0b3d9487f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009018-nkeirin-000-1-view.jpg?exp=10800,2025-04-25T10:00:00+09:00,2025-04-25T10:00:00+09:00,netkeirin,nkeirin,netkeirin,605,"「今年はG1ごとにピーキングしてタイトルを狙う」と久米詩
岐阜競輪場のナイター競輪「第3回オールガールズクラシック(G1)」が25日に開幕する。11R予選を走る久米詩(25歳・静岡=116期)に話を聞いた。

　2年連続でオールガールズクラシックの決勝に勝ち進んでいる久米詩。今年は7度の優勝を飾り、28勝は坂口楓華と並んでトップタイ。直近は4節連続で完全Vを果たし、賞金ランク1位で今年最初のG1を迎えた。

「今年はG1ごとにピーキングして、タイトルを狙っていく。そしてグランプリにつなげていきたい」

　昨年はオールガールズクラシックと競輪祭女子王座戦で決勝進出したがVには手が届かなかった。今年こその思いは強い。

「練習とかも試し、試しやっていて、計画と違うところもあったかな」

　さらなる上昇を目指して新たな取り組みにもチャレンジしている。過去2年はティアラカップからの始動だったが今年は予選回り。しかも、現在21連勝中の梅川風子との激突になった。自動番組のアヤで、本来なら予選の大本命を背負う2人が同じレースに入った。

「初日から自分の走りができたら」

　打倒・梅川へ短い言葉に思いを込めた。梅川とは昨年の競輪祭女子王座戦の準決勝と決勝で対戦して以来、今年は初対戦。小倉では2度とも久米が先着し、準決勝は1着(梅川は3着)だった。連勝対決の行方にも注目が集まる。(netkeirin特派員)",[],[]
【G1オールガールズクラシック】連覇狙う児玉碧衣は痛恨の予選スタート「もう初日から勝負ですね」/岐阜競輪（netkeirin）,https://news.yahoo.co.jp/articles/c84284bf13be7e4b7fec1ec7df0d803e22324fae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009017-nkeirin-000-1-view.jpg?exp=10800,2025-04-25T09:00:00+09:00,2025-04-25T09:00:00+09:00,netkeirin,nkeirin,netkeirin,675,"「状態は戻ってきた」と話す児玉碧衣
岐阜競輪場のナイター競輪「第3回オールガールズクラシック(G1)」が25日に開幕する。10R予選を走る児玉碧衣(29歳・福岡=108期)に話を聞いた。

　昨年度の大会覇者である児玉は何と痛恨の予選回り。今節はポイント制ではなくトーナメント方式。1〜2着に3着が4人勝ち上がる概定とあって初日から負けられない戦いとなる。「あ〜、1年か、早いなあ。今回はもう初日からが勝負ですね」と自覚は十分だ。

　昨年は4月の当大会を制したあと、いわゆる“燃え尽き症候群”に陥った。その後も「気持ちが上がってこない」と中だるみ状態が続き、大舞台ではイマイチ精彩を欠いている。それだけに今大会はつまずけない。今回はそれなりに対策を講じてきた。

「先輩の角令央奈さんに気持ちが上がらないと相談したら『とりあえず、ワットバイクをやろう』と言われたんです。ヤル気が落ちていてもこれだけは、っていう練習メニューを1週間分、組んでもらったんです。それをしたら何かいい感じでバンクでのスピード練習も身が入ったんです」

　バンクでは11秒7と好タイムも記録したといい「状態は戻ってきた」と気配は上々だ。

　当たり前だが、児玉は今大会の参加メンバーで唯一「連覇」に挑戦できる身だ。「意識していない」とは言いつつも「去年は賞金で20何位の位置にいたところでクラシックを優勝してグランプリを決めたんだ。今年は10位だけど1位とはだいぶ差が空いているし、早く取って決めたい」とガールズグランプリ一番乗りを目指している。(netkeirin特派員)",[],[]
“80歳まで現役”掲げるガールズケイリンの生けるレジェンド・石井寛子「私が生まれてきた意味は」/G1特別インタビュー・後編（netkeirin）,https://news.yahoo.co.jp/articles/de7790fab80cdd57e0a9a97df5f14042fc8ac655,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250425-00009016-nkeirin-000-1-view.jpg?exp=10800,2025-04-25T08:00:00+09:00,2025-04-25T08:00:00+09:00,netkeirin,nkeirin,netkeirin,5165,"ガールズケイリン・石井寛子選手
25日にガールズケイリンG1「第3回オールガールズクラシック」が開幕する。netkeirinではガールズグランプリ2024を制した石井寛子選手にインタビューを行った。後編では、変化を続けるガールズケイリン界についてや掲げている“80歳まで現役”という目標の真意、レース以外での一面に迫った。
変わりゆくガールズケイリン界
ガールズグランプリ2024ゴールシーンとともに
2012年に始まったガールズケイリンが11年目となる2023年、G1レースが新設された。男子のG1高松宮記念杯競輪と併催される「パールカップ」、競輪祭と併催される「競輪祭女子王座戦」、そして最も格式の高い「オールガールズクラシック」だ。

　それまでガールズグランプリの出場権争いは賞金争いが中心だったが、G1優勝者にはガールズグランプリの優先出場権が与えられることになった。G1新設から3年目を迎えた今年、4つ目のG1「女子オールスター競輪」の初開催が決まっている。

　ガールズグランプリ最多出場を誇る石井の目に、G1はどのように映っているのだろうか。

「ガールズケイリン全体で考えればG1が4つに増えたことはすごくいいこと。優勝賞金も上がったし(今年のオールガールズクラシック優勝は900万円・副賞含む)、ガールズケイリンを知らない人にも知ってもらうきっかけになると思います。G1レースはテレビで放送してもらえるのもすごくうれしいですね」

　一方で石井がG1で決勝まで勝ち上がったのは『第1回オールガールズクラシック』の1度だけ。G1における戦い方や調整面で試行錯誤を続けながら、グランプリ出場のチャンスと前向きにとらえている。

「優勝すればグランプリが決まるというのは大きいです。序盤戦であまり勝つことができず賞金ランキングで足踏みしている今年のような状況だと、G1が多くあるのはチャンスかもしれません」
女子から“5000万円レーサー”を
2024年は年間獲得賞金歴代最高記録を更新
今年の5月に128期(ガールズ14期生)がデビューを控え、選手数の増加(217人在籍/3月31日現在)もガールズケイリンの変化のひとつだ。2期生として黎明期から支えてきた石井は、さらなる発展のためもっと選手が増えることを望んでいる。

「自分は80歳まで現役を続けていきたいと言い続けています。そのためにはガールズケイリンが途切れず続いていくことが不可欠です。最初の女子競輪が15年で終わってしまった過去がある。そうならないためにも選手がもっと増えればいいし、ガールズケイリンみんなで盛り上げていきたいですね」

　“3年で終わる、もって5年”と言われた草創期。苦しい時代のガールズケイリンを知り、デビューからトップを走り続けてきた石井は、常にガールズケイリン界のことを考えている。そのため現状に課題を感じることもあるという。

「どうしたら人気が出るのかなと常に考えています。ガールズケイリンのトップレーサーの賞金は5000万円くらいまで上がってほしいですね。女子ボートレーサーだとトップは8000万円以上(2024年、ボートレースの賞金女王・遠藤エミの獲得賞金額は8057万円)。もっとガールズケイリンがメジャーになって、車券が売れて賞金が上がれば『こんなに稼げるんだ』と話題になると思うので、ガールズケイリンをやりたいと思ってくれる子たちが増えたらいいですよね」

　昨年の賞金女王・石井の獲得賞金は3564万4000円で、これは歴代最高記録だ。男子同様ガールズケイリンの賞金も上がっているものの、年間賞金が3000万円を超えたのは昨年の石井と2022年の柳原真緒の二人だけである。

　またG1オールガールズクラシックにも出場する加瀬加奈子や前座戦に登場する大久保花梨など、出産を経て戦列復帰する選手が年々増えている。

「お母さんレーサーへの待遇が良くなるといいですよね。例えば開催場に託児所があれば、安心して走れると思います」

　出産後もプロが続けられるというのは、間違いなくガールズケイリンの長所だ。それは月に2回を基本に各選手にレースが振り分けられ、公私のスケジュールやコンディション調整がしやすいという理由もあるだろう。
ガールズケイリン発展のため望むこと
ガールズケイリン選手特有の悩みも
一方でモーニング、デイ、ナイター、ミッドナイトと4種類の時間帯で走る競輪界は、生活リズムを整えるのが難しい面もある。どの時間帯でも最大限のパフォーマンスが発揮できるよう、コンディション作りに配慮している選手も多い。

「開催中、食事の時間はすごく大事ですね。レース参加中は宿舎や競輪場内にある選手食堂で食事をするのですが、一番難しいのがミッドナイトの食事時間です。ガールズが走るのはだいたい20:40〜21:10の間(最終日の決勝は23:00前後)。どこの競輪場もだいたい16時半から17時に夕食になるんですが、その時間に食事を摂るとレースを走る時、お腹の中に消化されていないものが残ってしまう。かといって食事を摂らないと力が出ないしフードロスの問題もあるので、ミッドナイトの時は16時から食事が摂れればみんな十分に食べられると思います。検討してもらえるとありがたいです」
ガールズケイリンのさらなる発展へ
さらに成績不振者が強制的に引退となる『代謝制度』は、ガールズケイリンでは2014年から導入され、現在半年に3人が強制引退となっている。この中にはデビュー直後のケガで1年半しか現役生活を送れなかった者や、産休から復帰後1年半で引退を余儀なくされた者も含まれている。

「代謝の人数は、今のガールズ選手の人数を考えると多いようにも感じます。半年に3人、1年に6人というのは少し厳しいんじゃないかな」

　トップで走る石井にとって代謝制度は現状無縁といえる。それでもガールズケイリン繁栄を願うからこそ、選手増加は至上命題だ。代謝により選手の質は保たれる一方で、選手を目指すハードルが上がっていることも確かだろう。

「今回グランプリで私が優勝したのを見て、一度選手になることを諦めてしまった子がもう一度選手を目指すと決めてくれたんです。ガールズケイリンを続けてきてよかったと思った瞬間でした。後輩が増えないとガールズケイリンは盛り上がらないですから。後輩の育成も私がやるべきことのひとつだと思っています」
“石井寛子が生まれた意味”
社会貢献にも積極的に取り組む
そして、それらの希望を現実にするためには、ガールズケイリンの人気と車券売上向上が必須であることも当然理解している。トップレーサーとして活躍し続けているからこそ、ガールズケイリンを盛り上げることに大きな使命感があるのだ。

「大きなことを言わせてもらうと、私が生まれてきた意味は『競輪で世の中を明るくするため』だと思っています。自分が楽しむというよりも、育成や周囲に働きかけることでガールズケイリンを盛り上げたい。自分が寄付するのは第一に困っている方々のためと、そのとき名前を出して記事にしてもらうのは競輪を知ってもらうきっかけになればと思ってのことです」

　石井は寄付や福祉施設の訪問などの社会貢献にも積極的だ。

「デビューしてすぐの時期は余裕がなかったのですが、少しして経済的にも落ち着いたときに『私がやりたいことってなんだろう』と考えました。2011年3月に東日本大震災が起きて、テレビで流れてくる情報でつらい思いをしている人を見ていると、自分の置かれた環境が恵まれているなと。普段と同じ生活ができて、練習もできるし、レースにも参加できる。家族が亡くなってしまったり、家が流されてしまった人がいる中で、何か行動を起こしたいって気持ちはずっとあったんです」

　今回のグランプリ優勝では地元・調布市役所の「調布市子ども・若者基金」と生まれ故郷である春日部市役所の「春日部市ふじ福祉基金」への寄付、そして石川県に「令和6年能登半島地震災害義援金」を送っている。石井は寄付したお金がどのように使われるか調べ、より有意義に貢献できるよう努めている。

「自分ができることは、現地に手伝いにいくことよりも寄付をすることなのかなと。2017年8月に被災地のいわき平でガールズケイリンコレクション(アルテミス賞)を勝つことができたので、寄付させてもらったのが最初です。そのあとは大きなレースで勝つことができたときに、そのとき大変な場所へ寄付させてもらっています」

　2023年には埼玉県社会福祉協議会「こども食堂・未来応援基金」に寄付し、2024年は妹・貴子とともに児童養護施設に足を運んだ。

「80歳で引退したあとは、子どもたちへの支援活動をしたいと思っているんです。京王閣競輪さんの協力もあり、YouTubeの企画でこども食堂や児童養護施設に行くことができました。勉強するために足を運んだのですが、子どもたちと触れ合いパワーをもらって応援してもらえたので、もっと頑張ろうと思いました」

　“競輪で世の中を明るくする”という使命。強さだけでなく優しさでも世を照らすのが、石井寛子の生きざまなのだ。
デビュー当時の挫折「私、やっていけるかな？」
戦友である1期生と支えあい歩む
常にトップを走り、ガールズケイリン発展のため前向きに取り組む石井でも、デビュー直後は心が折れそうになったこともあった。

「まだ1期生と2期生しかいないときは苦しかったです。レースでも宿舎でもバチバチで気持ちに余裕がなく『私、ガールズケイリンでやっていけるかな？』と不安でした」

　当時、ガールズケイリンの後輩として現れた自転車競技の実力者・石井寛子を“簡単に勝たせるわけにはいかない”という思いがあったのだろう。

「でもそれも3期生、4期生が次々デビューしていくにつれて変わりましたね。新しい選手が増えて、強い選手も現れて…。“1期生vs.2期生”のような構図はなくなりました。お互いにいろいろ話すようになり、1期生と2期生の距離が近づいていきました」

　当初、猛烈なライバル関係にあった1期生とはガールズケイリンを初期から支えた“戦友""として、今はともに力を合わせ歩んでいる。

「一緒の開催を走った時に、加瀬(加奈子)さんが『寛子はおばさんの星だから』と言ってくれました(笑)。私が通算500勝を達成したときは、(小林)莉子ちゃんたちからプレゼントをもらった。応援してもらえるようになるなんてデビュー当時は考えられなかった。今でもライバルですが、温かい関係になっています」
『80歳まで現役』のモチベーション
エネルギーに満ち溢れる“生けるレジェンド”
ここまで何度も出てきた通り、石井寛子の目標は『80歳まで現役』だ。節制と鍛錬の日々は決して楽しいことばかりではないだろう。なぜそこまで高いモチベーションを維持できるのだろうか。

「周りの先輩ガールズケイリン選手とも“長くやりたいですね”って話をするんです。中村由香里さんは『60歳までやりたい』と言っていて、一時期『80歳までやる』と話していたので、自分も80歳までやりたいって言ったのが最初なんです」

　石井よりも年上の選手の活躍が、確かに励みになっている。

「自分は“終わり”とか“卒業”とかが苦手なんです。だから“引退”っていう言葉もイヤ。『死ぬまで現役』って考えていれば、終わることがないから」

　そう言って笑った石井。限界を決めず、まだまだ成長できると信じているからこその思いなのかもしれない。

「ゴールは決めていません。40代で小学生、50代は中学生、60代は高校生、70歳は大学生みたいなイメージ。80歳で一人前です(笑)。80歳まであと41年しかないんだな、人生短いな、って思います。理想は開催中に選手宿舎で最期を迎えることかもしれない(笑)。でも、80代以降にもまだまだやりたいことがあるので死ねません(笑)」

　石井寛子を突き動かすのは、競輪への愛情だ。ガールズケイリンを誰よりも愛し、その強さと優しさ、美しさで競輪界を照らしている。

　通算勝利は675勝、優勝回数は182Vとガールズ最多だ。ガールズケイリンの歴史を開拓してきた“生けるレジェンド”石井寛子ならば、前人未踏の“傘寿レーサー”となる未来も不思議とイメージできるのではないだろうか。

　彼女から勇気をもらっている人がたくさんいる。“使命”を背負い、最前線で戦う姿を今後も目に焼き付けたい。

撮影：北山宏一",[],[]
