headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「たまには贅沢して食べたい」全国の人気パン屋が静岡市に集結『パンドリームな休日』青果店のフルーツサンドも=静岡・清水区（静岡放送（SBS））,https://news.yahoo.co.jp/articles/0ec9956d2b711dcfc8e17ce43e87e3868c670c39,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21881131-sbsv-000-1-thumb.jpg?exp=10800,2025-04-26T20:22:04+09:00,2025-04-26T20:22:04+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,398,"静岡放送
静岡県内外の人気のパン屋が集まるイベントが、4月26日から静岡市清水区の商業施設で始まりました。
【写真を見る】「たまには贅沢して食べたい」全国の人気パン屋が静岡市に集結『パンドリームな休日』青果店のフルーツサンドも=静岡・清水区
「パンドリームな休日」は静岡新聞SBSの情報サイト「@Sグルメ」に掲載された人気のパン屋が集まるイベントです。

会場の静岡市清水区の商業施設「ベイドリーム清水」では26日、7店舗が出店しました。

愛知県岡崎市の青果店が作るフルーツサンドや、静岡県川根本町の店による国産小麦と天然酵母を使ったパンなどが並び、午前中から多くの人が訪れました。

＜買いに来た人＞
「遠くの店のパンと、自分の食べたいパンを買った」
＜買いに来た人＞
「たまには贅沢してリフレッシュして食べたい」

このイベントは4月27日も午前10時から午後2時まで開かれます。
静岡放送",[],[]
大凧が舞う「浜松まつり」前に糸目付け作業 日本とブラジルの外交関係樹立130周年記念凧=静岡・浜松市（静岡放送（SBS））,https://news.yahoo.co.jp/articles/e6705855974b1fe64683140bb9b2a13a7734135e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21881132-sbsv-000-1-thumb.jpg?exp=10800,2025-04-26T20:19:28+09:00,2025-04-26T20:19:28+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,423,"静岡放送
静岡県内最大級のイベント「浜松まつり」を前に、日本とブラジルのさらなる友好を願った凧の糸目付けが行われました。
【写真を見る】大凧が舞う「浜松まつり」前に糸目付け作業 日本とブラジルの外交関係樹立130周年記念凧=静岡・浜松市
浜松市には国内最多の約1万人のブラジル人が暮らしています。

浜松市は5月3日から3日間にわたって開催される「浜松まつり」で日本とブラジルの外交関係樹立130周年を記念した凧を揚げる予定です。

4月26日は市内に住むブラジル人や市の職員ら約50人が「糸目付け」と呼ばれる作業を行いました。

＜初めて糸目付けをしたアレクサンドロダシルバさん＞
「糸目付けは一番大切なこと。ちょっと難しかったけど素晴らしい」

＜在浜松ブラジル総領事館ガルシア・アウデーモ総領事＞
「浜松まつりの凧揚げに参加できてうれしいです」

両国の友好が深まることを願った凧は無事に糸目付けを終え、浜松の空を舞い上がります。
静岡放送",[],[]
「かっこよかった」大井川鉄道の顔『きかんしゃトーマス号』運行始まる 親友パーシーとの約2年半ぶりの再会も=静岡・大井川鉄道（静岡放送（SBS））,https://news.yahoo.co.jp/articles/0bf29f7044201e4b1dc19a7edad4917de5d7651d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21881124-sbsv-000-1-thumb.jpg?exp=10800,2025-04-26T20:17:00+09:00,2025-04-26T20:17:00+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,418,"静岡放送
ゴールデンウィークの初日、静岡県島田市の大井川鉄道では「きかんしゃトーマス号」の運行が始まり、多くのファンが駆け付けました。
【写真を見る】「かっこよかった」大井川鉄道の顔『きかんしゃトーマス号』運行始まる 親友パーシーとの約2年半ぶりの再会も=静岡・大井川鉄道
大井川鉄道のSLきかんしゃトーマス号は2025年シーズンの運行が4月26日から始まりました。

始発の新金谷駅では全国から集まった家族連れなどが写真を撮っていました。

＜東京から来た人＞
「かっこよかった。ぜんぶ」
＜東京から来た人＞
「自分も子どもの頃トーマスを見ていたので楽しみです」

2025年の目玉は、きかんしゃトーマス号と親友パーシーの再会です。

2022年9月の台風の影響で、これまで離れ離れになっていましたが、家山駅で2ショットを楽しむことができます。

きかんしゃトーマス号は12月25日まで、週末を中心に1日に最大3往復します。
静岡放送",[],[]
「車内で人が寝ていて車が動かない」23歳の自衛官の男を酒酔い運転の疑いで逮捕 陸上自衛隊板妻駐屯地所属=静岡県警（静岡放送（SBS））,https://news.yahoo.co.jp/articles/37feaac534ae94339d2a31637c48699dd11a2141,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21881133-sbsv-000-1-view.jpg?exp=10800,2025-04-26T20:14:33+09:00,2025-04-26T20:14:33+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,293,"静岡放送
静岡県裾野市で乗用車を酒酔い運転したとして、陸上自衛隊板妻駐屯地所属の23歳の自衛官が逮捕されました。

酒酔い運転の疑いで4月26日に逮捕されたのは、静岡県御殿場市の陸上自衛隊板妻駐屯地の自衛官の男（23）です。

警察によりますと、男は4月26日午前4時頃、裾野市内で酒に酔った状態で乗用車を運転した疑いが持たれています。

裾野市内の道路上で「車内で人が寝ていて車が動かない」と通行人が110番通報しました。

警察が現場で呼気検査をしたところ、基準値を超えるアルコールが検出されたということです。

警察は男が容疑を認めているかどうかを明らかにしていません。
静岡放送",[],[]
「人が倒れている、擦り傷や震えがある」20代中国籍男性が富士登山中に体調不良で下山できず 県警救助隊が出動中（静岡放送（SBS））,https://news.yahoo.co.jp/articles/df63344055a7cb4aac7ce52ebf98c806a66701e1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21880981-sbsv-000-2-view.jpg?exp=10800,2025-04-26T18:06:29+09:00,2025-04-26T19:06:35+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,413,"静岡放送
4月26日午後、富士山の富士宮口8合目付近で、中国籍の20代男性の登山者が体調不良を訴え下山できなくなりました。県警の救助隊員が陸路で救助に向かっています。
【写真を見る】「人が倒れている、擦り傷や震えがある」20代中国籍男性が富士登山中に体調不良で下山できず 県警救助隊が出動中
警察によりますと、4月26日午後1時頃、富士山富士宮口8合目にいる登山者から、「人が倒れている。擦り傷や震えがある」と通報がありました。

8合目付近で倒れていたのは、中国籍の20代男性で単独で下山中でした。

近くにいた登山者が8合目まで男性を搬送した後、警察に通報しました。男性は会話ができる状態で、日本語で「体調が悪くなった、寒い」などと電話を通じて話していたということです。

4月26日午後の富士山の天候は、曇りで風が強く、警察はヘリコプターによる救助を断念し、県警の山岳救助隊員9人が陸路で救助に向かっています。
静岡放送",[],[]
常葉大菊川 静岡商 浜松商 磐田南などが8強入り 掛川西は日大三島にサヨナラ負け【春季高校野球静岡県大会3回戦速報】（静岡放送（SBS））,https://news.yahoo.co.jp/articles/eec517fb318bead0cf8fd684448d3a40f39a5a6e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21880937-sbsv-000-2-view.jpg?exp=10800,2025-04-26T17:24:56+09:00,2025-04-26T17:28:34+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,414,"静岡放送
第72回春季高校野球静岡県大会は4月26日に県内3球場で3回戦8試合を行い、2025年春センバツ出場の常葉大菊川、2024年夏の準優勝校・聖隷クリストファーなどが準々決勝進出を決めました。一方、2024年夏の代表校掛川西は日大三島にサヨナラ負けしました。準々決勝は4月27日に草薙球場（静岡市）とあしたか球場（沼津市）で行われる予定です。

＜3回戦＞
⚾あしたか球場
桐陽4-1浜松湖北
御殿場西5-3浜名

⚾草薙球場
浜松商5-1静岡
常葉大菊川5-2東海大静岡翔洋
静岡商4-3加藤学園

⚾磐田球場
磐田南7-0富士（7回コールド）
聖隷クリストファー5-0島田樟誠
日大三島5×-4掛川西

＜準々決勝の組み合わせ=4月27日＞
⚾あしたか球場
御殿場西-聖隷クリストファー（09:00）
日大三島-静岡商（11:30）

⚾草薙球場
磐田南-浜松商（09:00）
桐陽-常葉大菊川（11:30）
静岡放送",[],[]
地下水が引き出す“納豆のうまみ”「伊豆納豆」多い時は4000〜5000パックも…歯ごたえしっかり広がる風味【しずおか産】（静岡放送（SBS））,https://news.yahoo.co.jp/articles/1f9b241db2e7c15c98ab37f9f553817e02f22681,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21876286-sbsv-000-1-thumb.jpg?exp=10800,2025-04-26T14:02:04+09:00,2025-04-26T14:02:04+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,1073,"静岡放送
圧力釜でふっくらと蒸しあがった大豆!県内産の大豆と、伊豆の水でつくった「伊豆納豆」が今回の『しずおか産』です。
【写真を見る】工場で製造する様子
伊豆納豆は伊東市でつくられています。2025年で創業72年の「まるさ食品」は、伊豆では唯一の納豆メーカーです。約100のメーカーが競う納豆の全国コンクールで3度の入賞を果たしました。全国で高く評価されるまるさ食品の看板商品が「中粒大豆納豆」です。

＜伊東支局 青島悠記者＞ 
「いただきます。豆一粒一粒がすごくしっかりとしていて、うまみが口の中に広がるのですごくおいしいです。これはご飯が何杯もいけますね」

＜まるさ食品 斎藤巨明さん＞ 
「歯ごたえがしっかりと感じられると思いますので、それで噛むごとに、より大豆の風味が広がるかと思います」

納豆づくりを担うのは斎藤巨明さん。祖父が立ち上げ、父が守り抜いた会社を受け継ぐ3代目です。まるさ食品が納豆づくりでこだわってきたのは材料です。「中粒大豆納豆」に使われるのは「フクユタカ」。

静岡県内で収穫されたものを使いました。そして、納豆づくりに欠かせないのが水です。大豆の洗浄や味付けなどにかかわる重要な存在です。

＜斎藤さん＞ 
Q. 納豆づくりにおいて水はどれくらい重要?
「やっぱり納豆に関して水の占める割合は多いので、水と大豆が一番大事な要素だと思っています」

天城山をはじめ伊豆の豊かな自然の中を流れてきた地下水。良質な水を使うことで、大豆のうまみが引き締まり、味わい深い納豆に仕上がるといいます。この水を求めて2代目の父・隆一さんが今の場所に工場を構えました。

＜斎藤さん＞
「豆が結構、汚れがあったりするとうまく発酵しないので、大豆の洗浄は非常に気を使って洗っています」

洗ったあと、一晩、地下水に漬けたフクユタカを大釜で1時間かけて蒸していきます。大豆が柔らかくなったところで納豆菌を混ぜた水をかけたあと素早くパック詰めし、専用の部屋で一晩じっくり発酵させます。
＜斎藤さん＞ 
「（1日で）少ない時は1000パック、2000パックで、多い時は4000〜5000パックつくります。やっぱり個性を持った納豆屋ということで、色んなこだわった豆を使ったりした納豆を作って、お客さんに提供していきたいと思っております」

まるさ食品では県内産の大豆を使った納豆を東部地区の学校給食で提供していて、斎藤さんは自分たちの納豆をきっかけに子どもたちが納豆を好きになってくれることが励みになっていると話していました。
静岡放送",[],[]
自転車の男性が乗用車にはねられ意識不明の重体 車運転の19歳女性にけがなし=静岡・磐田市（静岡放送（SBS））,https://news.yahoo.co.jp/articles/789989667a6d8180908c9c59ceb45b4efa9c97c7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21880542-sbsv-000-1-view.jpg?exp=10800,2025-04-26T13:28:27+09:00,2025-04-26T13:28:27+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,344,"静岡放送
静岡県磐田市で4月25日夜、乗用車が自転車をはねる事故がありました。この事故で自転車に乗っていた52歳の男性が意識不明の重体です。
【写真を見る】自転車の男性が乗用車にはねられ意識不明の重体 車運転の19歳女性にけがなし=静岡・磐田市
4月25日午後9時頃、磐田市匂坂中のT字路交差点で乗用車が自転車をはねる事故がありました。

この事故で、自転車に乗っていた磐田市見付のパート従業員の男性（52）が頭を強く打ち、意識不明の重体です。

乗用車を運転していた学生の女性（19）にけがはありませんでした。

現場の交差点に信号機はなく、警察によりますと、乗用車は北に向かって進んでいて、自転車の進行方向は分かっていないということです。

警察は事故の原因を調べています。
静岡放送",[],[]
静岡市民文化開館に無料の『こどもの遊び場』オープン 工事中の建物活用しフリースペース設置（静岡放送（SBS））,https://news.yahoo.co.jp/articles/8d477a5457d448aec76acc380a549ce8cdb4551d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21880430-sbsv-000-2-thumb.jpg?exp=10800,2025-04-26T12:32:10+09:00,2025-04-26T13:28:27+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,403,"静岡放送
休館中の静岡市民文化会館の一部を活用した「こどもの遊び場」が2025年4月26日オープンしました。
【写真を見る】静岡市民文化開館に無料の『こどもの遊び場』オープン 工事中の建物活用しフリースペース設置
静岡市が改修工事のために休館している静岡市民文化会館に開設したのは「こどもの遊び場」です。マットやトンネル、滑り台などが設置され、卓球や玉入れなども楽しむことができます。

遊び場は土日と祝日に無料で利用でき、8月は月曜日を除いて毎日開設します。事前の申し込みは不要です。

4月25日はオープンを前に市内の幼稚園児が招待され、子どもたちは思い切り体を動かしながら遊んでいました。

＜静岡市文化政策課施設係　野末慶太係長＞
「この街中にちょうどある立地も含めて、皆さんに利用してもらえれば」

こどもの遊び場の開設は2026年3月29日までで、月に1回ほどイベントを行う予定です。
静岡放送",[],[]
「コースを覚えることが一番大事」高齢者が『防災アプリ』使い避難訓練 スマートフォン操作し目的地目指す=静岡・松崎町（静岡放送（SBS））,https://news.yahoo.co.jp/articles/27d7920f1053cd14946bfa61fd3894db0d670f47,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21880418-sbsv-000-3-thumb.jpg?exp=10800,2025-04-26T12:28:31+09:00,2025-04-26T13:28:27+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,435,"静岡放送
静岡県松崎町で高齢者が県の防災アプリを使って避難先まで歩く訓練を行いました。

松崎町では2024年から高齢者向けのスマートフォンの出前教室を続けていて、参加者のスマートフォンには、県の防災アプリが入っています。2025年4月25日、高齢者がアプリの避難トレーニング機能を使って避難先まで歩く訓練を行いました。
【写真を見る】「コースを覚えることが一番大事」高齢者が『防災アプリ』使い避難訓練 スマートフォン操作し目的地目指す=静岡・松崎町
＜参加者＞
「今、地図で見ても、どこを歩いているのか全然分からない」

参加者はスマートフォンの操作に手こずりながらも、約650メートル歩きました。

＜松ポックリ会　菊地千里代表＞
「本番だともっと足も速くなると思うんですけど、やっぱり（避難の）コースを覚えることが一番大事だと思います。今度はコースを変えて、避難場所を変えて、検討してみたい」

松崎町は防災アプリを屋外で使う訓練を今後も続ける方針です。
静岡放送",[],[]
殺人未遂容疑で指名手配中の元・暴力団員の男への捜査を妨げたか 犯人隠避の疑いで関係者の47歳の女を逮捕=静岡県警（静岡放送（SBS））,https://news.yahoo.co.jp/articles/2f3f167fa29af577fb259a0186d6e2b922798692,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21880109-sbsv-000-5-view.jpg?exp=10800,2025-04-26T09:34:30+09:00,2025-04-26T13:41:37+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,456,"静岡放送
4月25日未明、浜松市の喫茶店の駐車場で男性を刃物で切り付けて殺害しようとしたとして元・暴力団員の男が指名手配されている事件で、警察は同日夜、この事件の捜査に応じなかった犯人隠避の疑いで、男の関係者の47歳の女を逮捕しました。
【写真】指名手配中の野嶋秀樹容疑者
犯人隠避の疑いで逮捕されたのは、浜松市中央区大平台のアルバイト従業員の女（47）です。

警察によりますと、女は4月25日、同日未明に発生した殺人未遂事件の犯人として浮上した元・暴力団員の野嶋秀樹容疑者（51）に対する捜査において、捜査機関の発見を妨げる目的で捜査員の事情聴取に応じなかった疑いが持たれています。

警察によりますと、女は野嶋秀樹容疑者の関係者だということです。

警察は女が容疑を認めているかどうかを明らかにしていません。

元・暴力団員の野嶋秀樹容疑者は4月25日午前1時頃、浜松市中央区領家の喫茶店の駐車場で市内に住む50代の男性の左足を刃物で切り付け殺害しようとした疑いで全国に公開指名手配されています。
静岡放送",[],[]
「なんとしても市民を守る」新しい防災拠点は中学校 避難所や指揮拠点に3校の統合きっかけに整備【わたしの防災】（静岡放送（SBS））,https://news.yahoo.co.jp/articles/268d00815124abff972be5b57135e1216fd9911e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21871415-sbsv-000-1-thumb.jpg?exp=10800,2025-04-26T09:02:06+09:00,2025-04-26T09:02:06+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,1683,"静岡放送
この春、静岡県伊豆市に全校生徒450人が通う新しい中学校が開校しました。校舎はもちろん、あらゆる面で防災設備が充実していて、必ず来るとされる南海トラフ巨大地震にも備えています。
【写真を見る】防災拠点になる伊豆の中学校
自然豊かな伊豆市の中心部に誕生した市立伊豆中学校。市内の4つの中学校のうち、3つが統合されて、4月10日、全校生徒452人で開校したばかりです。

＜東部総局 金原一隆記者＞
「敷地が金網や植栽などで囲われておらず、開放的な校舎となっている。この設計は災害の経験から、生徒の安全を意識したものになっている」

その背景にあるのは、「通学区域」の広さです。

＜伊豆市教育委員会学校教育課 杉山暁彦主幹＞
「伊豆中学校は遠距離からの通学があるので（災害発生時に）保護者に引き渡しやすい車が動線を考えて作られている」

伊豆中学校の生徒は、土肥地区を除く、伊豆市内全域から通っていて、生徒の多くがバス通学です。校内2か所に設けたバスロータリーは、災害時に保護者が車で迎えに来やすくすることを意識しました。校舎には、車が3方向から入ることができるルートを設け、混雑しにくい車の流れを考えているそうです。

総事業費は約70億円。伊豆市産のヒノキをふんだんに使用した2階建ての校舎には、もしもの避難生活に備えた設備を取り入れました。

＜杉山主幹＞
「災害時も想定して作られた体育館になる。こちらは停電した時でもエアコンが使える体育館空調。バッテリーを積んでいて、ガスで動く動くエアコンになる」

停電しても動かせるというガス式のエアコン。災害時の避難所となる体育館には12基設置しました。本体にそれぞれバッテリーが内蔵され、電力が止まった場合でも空調の機能をしばらく維持できるといいます。

能登半島地震では、1月の寒さの中、停電が発生。冷え込みが厳しい避難生活を余儀なくされました。

体育館・武道場・小アリーナは、生徒・職員のほか、学校周辺の住民約600人の避難所となります。停電に強い中学校のすぐ隣には、伊豆市の防災拠点が新たに造られています。

＜伊豆市危機管理課 山田和彦課長＞
「この建物は伊豆市の『危機管理センター』になる。建物の裏側に、非常用発電機を設置する。この建物はもちろん、中学校にも電気を供給する」

2026年4月に完成予定の「伊豆市危機管理センター（仮称）」。大規模災害時に、市長や危機管理課の職員などが指揮を執る「災害対策本部室」が作られます。

3階建ての建物には、各地から届く支援物資を集めて仕分ける「救援物資倉庫」や中学校にも電源を供給する「非常用発電施設」などの機能も併せ持ちます。伊豆市は、危機管理センターと中学校がある日向地区を防災拠点にする考えです。

＜菊地豊伊豆市長＞
「中学校を1つの防災のツールとして見た場合、いい場所にいいものができたと思っている。危機管理センターとひなた公園、来年できるが、伊豆市民をなんとしても、市民を守るという行政としての第一責務を果たすための環境が整いつつあるかなと思う」

伊豆市は、想定される南海トラフ巨大地震で土肥地区に津波の被害が発生した場合、被災した住民を『ひなた公園』に受け入れる考えです。

仮設住宅200戸の建設するなど中学校・危機管理センター・ひなた公園で市民を守ろうとしています。

＜金原記者＞
「学校に通う生徒や保護者、また地元住民も、災害が起きる前に、地域に誕生した新しい防災拠点の機能や備えを正しく理解しておくことが大切」

伊豆市では、地域の少子化が進む中、学校を再編する動きをとらえて、南海トラフ地震への備える防災拠点整備と想定される津波の被災者を受け入れる防災公園づくりを一気に進めました。
未曽有の大災害・南海トラフ巨大地震の30年以内の発生確率は80％程度といいます。自治体がどんな防災対策を進めているかを把握しながら、住民が自分や家族を守るために知っておくべき知識、用意しておく備蓄品など1人1人の備えも大事です。
静岡放送",[],[]
「経費の高騰で限界が…」財政ひっ迫で犯罪被害者支援センターがピンチ 相談件数は去年の5倍も「手弁当」で何とか運営（静岡放送（SBS））,https://news.yahoo.co.jp/articles/8fa4fca9e34e10edce1bc06b5a7e5d2942c960ed,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250426-21879132-sbsv-000-1-thumb.jpg?exp=10800,2025-04-26T06:02:12+09:00,2025-04-26T06:02:12+09:00,静岡放送（SBS）,sbsv,静岡放送（SBS）,830,"静岡放送
事件や事故に巻き込まれた被害者や遺族に寄り添う「犯罪被害者支援センター」の運営がピンチに陥っています。センターを支える財政がひっ迫していて、このままでは持続的な支援が難しくなる恐れが浮上しています。
【写真を見る】犯罪被害者支援センターの様子
静岡市葵区に事務所を置く認定NPO法人静岡犯罪被害者支援センターで、4月25日に行われたスタッフの委嘱式。2025年度は支援活動員が29人、支援ボランティアが10人登録されました。

静岡犯罪被害者支援センターは、犯罪に巻き込まれた被害者や関係者に対し、心身的負担の回復・軽減を図る団体です。カウンセリングや弁護士による法律相談のほか、通院や裁判の付き添い、さまざまな手続きのサポートなど、スタッフの活動は多岐に渡りますが、苦しいのは、その「懐事情」です。

賛同する個人や団体からの寄付や会費に支えられている犯罪被害者支援センターは、収入が一気に増えることは難しいのが実情です。

一方で、刑法の改正などを背景に性的被害の申し出が増え、2024年の相談件数は5年前の倍近くに増えました。

＜静岡犯罪被害者支援センター 三森美津広事務局長＞
「寄付等の予算は決まっているので、その中でやらなきゃいけない支援があるが、経費の高騰があるので限界がある」

支援員に対して、交通費などは支払われますが、日当は半日で1000円。それでも、犯罪被害者を前に「支援ができない」とは言えないため、スタッフは「手弁当」の状態で活動に臨んでいるのです。

＜静岡犯罪被害者支援センター 白井孝一理事長＞
「この支援センターが県民の方々の役に立っていると思ってくれるのなら、支援センターの財政基盤の確立のための援助をぜひ考えていただきたい」

＜社会部 寺坂元貴記者＞
「センターは存在感を増していますが、財政的負担も増しています。この状況を打破するには寄付だけでなく行政などのサポートも検討の余地がありそうです」
静岡放送",[],[]
