headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【続報】小谷村で70代姉妹が乗った車が崖下に転落　助手席の姉が死亡　運転していた妹が軽いけが　運転操作誤ったか　長野（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/2859238185dc3df100c36ddddf1d63bcb5493a4e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885564-sbcv-000-3-view.jpg?exp=10800,2025-04-29T21:24:54+09:00,2025-04-29T21:46:43+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,380,"信越放送
長野県小谷村の民家で29日午前、車が駐車場から崖下に転落し、助手席に乗っていた女性が死亡しました。
【写真を見る】民家の駐車場から崖下に転落した車
事故があったのは小谷村千国の民家の駐車場で、29日の午前11時半ごろ、「駐車しようとしたら車が崖から落ちた」と、運転していた73歳の女性から消防に通報がありました。

消防や警察によりますと、乗用車は前進して駐車しようとしたところ、高さ5メートルほどの崖下に転落したということです。

この事故で、運転していた女性の姉で、助手席に乗っていた伊那市に住む77歳の女性が胸などを強く打ち、およそ3時間後に松本市内の病院で死亡しました。

運転していた妹も腰を打つなどの軽いけがをしました。

姉妹は実家に米を取りに来たということです。

警察では運転を誤ったとみて事故の原因を詳しく調べています。
信越放送",[],[]
遠出派?それとも近場派?物価高の中…どう楽しむ?ゴールデンウイーク　遊んで!食べて!くつろいで!　近場のおすすめスポット　「道の駅・大芝高原」　長野・南箕輪村（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/2fb149ad4e16d0025d7d50c05d652d45ddbd8bad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21884918-sbcv-000-1-view.jpg?exp=10800,2025-04-29T20:04:31+09:00,2025-04-29T20:04:31+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,1900,"信越放送
大型連休真っ只中、長野県内の近場で楽しめるおすすめスポットを紹介します。

そもそも今年のゴールデンウィーク、皆さんの予定は?
【写真を見る】近場で楽しめる道の駅
街頭インタビュー:
「ゴールデンウイークは孫たちが来てわちゃわちゃにぎやかで」
「キャンプに初めて。3回ほど予定しています」
「（遠出する予定は?）ないですね。混むっていうのもありますし、高いっていうのもありますし」
「予定ないです。物価高だし」

今年は、物価高の影響から、近くで安く過ごすという人が多いようです。ということでー。
遠出だけじゃない!遊んで・食べて・くつろいで!ゴールデンウイークに近場で楽しめるスポットを紹介します。

旅行大手JTBによりますと、今年のGW期間（4/25〜5/7）に旅行を予定している人は国内旅行が2290万人、海外は55万人の合計2345万人で、去年と比べると6.9％減少しています。

コロナ禍を経て近年は増加傾向でしたが物価高が家計への打撃となり減少。時期をずらして混雑を避ける動きも広がっているといいます。

そんな物価高でも、比較的、気軽に家族で出かけられる場所が、「道の駅」です。

ディレクター:「ドライブの疲れを癒してくれる足湯も、道の駅の中にあるんです!」

南箕輪村にある「道の駅・大芝高原」。
およそ100ヘクタールの敷地の中に、直売所やカフェの他、スポーツ施設、キャンプ場、温泉、なんとサウナまである複合型の施設です。

道の駅 大芝高原 原賢三郎さん:「道の駅というと少し休憩してというイメージがあるんですけど大芝高原の魅力としては大自然の中にありますので、食べるところから温泉からキャンプ場まで、色んなシーンで楽しんでもらえる」

ゴールデンウイーク、特に人気というエリアがー。

キャンプ場エリアにある焼肉ハウス!予約の必要はなく、大自然の中でバーベキューが楽しめます。

原さん:「今シーズンは4月15日にスタートして、10月末まで営業しています。手ぶらで来ていただいて、高原の風を感じていただきながらダイナミックにワイルドに食べていただけたら嬉しい」

さらに道の駅のカフェでは、手作りのジェラートが大人気。絞られてから6時間以内の地元産の生乳だけを使い、コクのある濃厚な味わいに仕上げています。
そして、ゴールデンウイークに合わせて新メニューも登場。人気のジェラードをトッピングしたソーダフロートは、29日から販売が始まっています。

この他にも、人気のスイーツが、「おもてなしプリン」です。2018年の道の駅のオープンとともに発売。これまでに20万個以上を販売した道の駅自慢の一品です。

ディレクター:「いただきます。舌触りがなめらかですね。卵と牛乳の素材のおいしさをダイレクトに感じるようなプリンですね。おいしいです」

原さん:「地元の若手酪農家の皆さんが作る『おもてなし牛乳』と伊那市の大原農園さんの『さくら卵』を使いまして、じっくりゆっくり蒸しあげたプリンになります。実は、もともと料理人をしてまして、その時の経験を生かし新商品を作れないかなということでプリンづくりを始めました」

駅長を務める原さん。実は元料理人という異色の経歴の持ち主。そのキャリアを生かし、大芝高原の名物となる土産品の開発に挑戦しました。

試行錯誤の末、誕生したのが、この「おもてなしプリン」なのです。

原さん:「食べていただける方の笑顔が増えていけばいいなと思っています」

『お客さんの笑顔のために』そんな原さんの思いが、この春カタチになりました。

原さん:ここが新しく設置したインクルーシブ遊具になります」

インクルーシブ遊具とは、障がいの有無に関わらず、誰もが一緒に遊べるように設計された遊具のことです。

原さん:「ここはこのまま車いすで入っていただけます。こういった仕掛けがあったり。こちらにもプレイって書いてあるんですけど、「点字」で書いてあって。触っていただいて点字にも興味を持ってもらえれば。」

子ども:楽しいです。滑り台とか、階段を登ったりするのが好きなのでそういうのが好きです」

子どもから大人まで楽しめる「道の駅大芝高原」。

ゴールデンウイーク後半にかけても大勢の家族連れでにぎわいそうです。

原さん:「大芝高原は広大な敷地の中にありますので、小さなお子様からおじいちゃんおばあちゃんまで、家族みんなで遊びにきていただいて、公園で思い出を作っていただいて、この高原全体で遊んだっていう思い出の場所にしていただけたら」
信越放送",[],[]
菜の花と鯉のぼりが競演!約150匹の鯉のぼりが黄色い花の海を泳ぐ　地元の有志が準備　長野市中条「アルプス展望広場」（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/82ddd875fb7945b6bfc64bc6d40099687ad7ea51,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885292-sbcv-000-1-view.jpg?exp=10800,2025-04-29T19:22:04+09:00,2025-04-29T19:22:04+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,689,"信越放送
菜の花が咲き誇るふるさとの風景を多くの人たちに楽しんでもらおうと、長野市中条の住民グループが鯉のぼりを飾り付けました。
【写真を見る】約150匹の鯉のぼりが泳ぐ
菜の花が咲き誇る長野市中条のアルプス展望広場。

けさ、鯉のぼりの飾り付けの準備を進めていたのは、地元の住民有志でつくる「進和会」のメンバーおよそ10人です。

進和会　大日方孝二さん「私の生まれ育った場所なので大事にしたい地域」

大日方孝二さん。およそ35年前に会を立ち上げた1人です。

進和会　大日方孝二さん:「訪れる人も非常に多くて嬉しい。自慢の場所になっている」

「進和会」のメンバーは地元の人や観光客に中条の魅力を知ってもらおうと、毎年、鯉のぼりを上げています。

進和会　大日方孝二さん:「風をはらんで、みんなぶわっと泳ぐと…楽しみですね」

準備を進めて、およそ1時間…。

澄んだ青空に鯉のぼりが元気よく泳ぎ始めました。一面を鮮やかに染める菜の花との競演です!

北アルプスも菜の花は、去年より2週間ほど遅い今月中旬に開花し、今が見ごろ。
訪れた人たちが、この時期だけの絶景を楽しみました。

市内から:「きれいです。ちょうどいいタイミングで来られた」

市内から:「きれいないい写真が撮れたので、よかったです」

安曇野市から:「（鯉のぼりは）元気に泳いでいますね。元気すぎるくらい」

進和会　大日方孝二さん:「菜の花をみて、みんな「うおー」と言って、感激してもらうので、我々としては、やった価値がある」

菜の花と鯉のぼりの競演は、来月6日まで楽しめるということです。
信越放送",[],[]
大型連休中の長野県内　相次ぐ山岳遭難　専門家「例年以上に雪が多い」冬山用の装備が必要　「稜線は一気に風強く」ウェア着用は早めに（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/65888d68a79af53f8aae38a38e07a4912cf587d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885375-sbcv-000-1-view.jpg?exp=10800,2025-04-29T19:06:55+09:00,2025-04-29T19:06:55+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,796,"信越放送
大型連休に入り、北アルプスでは27日以降、3人が遭難し、警察が救助・捜索活動を続けています。今年の春山の注意点を専門家に聞きました。
【写真を見る】大型連休中の長野県内　相次ぐ山岳遭難　専門家「例年以上に雪が多い」冬山用の装備が必要　「稜線は一気に風強く」ウェア着用は早めに
日本山岳ガイド協会特別顧問　降籏義道さん:「今年は何十年ぶりかの大雪だったので例年以上に雪が多い」

大型連休に合わせて、県内には大勢の登山客が訪れていますが、今シーズンの春山は雪も多く残っているといいます。このため、冬山用の装備も必要だといいます。

日本山岳ガイド協会特別顧問　降籏義道さん:「足が滑りやすくなる、そういう面ではアイゼンが必要になる、ただし必要だから履いていればいいのではなく、それに見合うだけの使い慣れた経験が必要」

こうした中で、山岳遭難も相次いでいます。北アルプスの爺ヶ岳では27日以降2人が行方不明にー。

神奈川県の会社員の男性（55）は、27日、仲間の男性と別々に下山を始めた後に、また、松本市の会社員の男性（40）は、28日午前9時半ごろ、妻に「下山する」と連絡した後、行方不明になっています。

また、大天井岳では28日、東京都の男性（48）が山頂近くを縦走中に滑落しました。

山の天気は変わりやすく、27日は天候が悪かったほか、29日も強風で上空からの救助が難航。

登山をする際も、春山では温度調節が大事になるといいます。

日本山岳ガイド協会特別顧問　降籏義道さん:「暖かいからと言って薄着で歩いていて稜線に出たら一気に風が強くなる。そういう時になるとウェアを着ようと思っても上手く着られないとか。ですから早めにウェアを着る」

県内では遭難した3人のほかに、連休に入ってから1人が死亡、少なくとも7人が重軽傷を負っていて、山の事故が相次いでいます。
信越放送",[],[]
【速報】小谷村で駐車しようとした乗用車が転落　70代の女性1人が死亡　長野（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/1b14701ee73276f94ab8c1f0adb1b7acbed9d897,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885385-sbcv-000-5-view.jpg?exp=10800,2025-04-29T18:24:56+09:00,2025-04-29T20:02:05+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,318,"信越放送
長野県小谷村で29日午前、駐車しようとした車が転落し、助手席に乗っていた女性が死亡しました。
【写真を見る】民家の駐車場から転落した車
事故があったのは小谷村千国で、29日午前11時半ごろ、「駐車しようとしたら
車が崖から落ちた」と運転していた70代の女性から消防に通報がありました。

消防や警察によりますと、車は高さ5メートルほどの斜面を転落したということです。

車には、70代の女性2人が乗っていて、運転していた女性は大町市内の病院に、助手席の女性は松本市内の病院にそれぞれ搬送されました。

警察によりますと、助手席の女性は、松本市内の病院で死亡が確認されたということです。警察が事故の原因を調べています。
信越放送",[],[]
物価高騰の中…子育て家庭向けに食料など提供する「フードドライブ」　コメなど食料品や日用品など約1000点を提供　長野市（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/40ceebd0b3c8272c59c6ac9beb0e22ed461c9af2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885091-sbcv-000-1-view.jpg?exp=10800,2025-04-29T17:48:55+09:00,2025-04-29T17:48:55+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,614,"信越放送
企業や個人から寄付された食品を必要とする人に提供する「フードドライブ」が行われました。
【写真を見る】物価高騰の中…子育て家庭向けに食料など提供する「フードドライブ」　コメなど食料品や日用品など約1000点を提供　長野市
長野市役所のホールにできた長い行列。

子ども食堂の運営に携わるNPO法人ホットライン信州などが開いた「フードドライブ」のイベントです。

物価高騰の中、主に子育て中の家庭を支援しようとコメなどの食料品や日用品などおよそ1000点が提供されました。

母親は:「最近食品がすごく高いのでありがたいです。スーパーとか行った時にお会計のかごいっぱいで5000円くらいだったのが倍くらいになっちゃったので」

母親は:「ありがたいです、子どもがいるので。スーパーに行った時にどれを買っていいのかという感じ。おむつとか子供用品も必需品なので削れない」

会場では食品や衣類などの寄付も受け付け、袋いっぱいに持ち込む人もいました。

しかし、最近は寄付が減少していて、提供された品物の多くは助成金で購入したものです。

ホットライン信州・青木正照さん「それぞれのこども食堂でも（確保できる）コメの量がうんと少なくなってきているものですから、やきそばにするとか他の物を入れてコメの量を少なくするとかやっている」

イベントでは、このほか防災への関心を高めてもらおうと非常食の試食なども行われました。
信越放送",[],[]
天竜川の春を満喫!舟下りにクルーズ船がお目見え　運航はゴールデンウイーク後半の来月3日〜5日に予定　長野（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/7dff681f79da8b6d1adf5f6c87d50205416cc2f6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885205-sbcv-000-1-view.jpg?exp=10800,2025-04-29T17:17:01+09:00,2025-04-29T17:17:01+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,330,"信越放送
南信州では天竜川の春を満喫するクルーズ船での舟下りが始まります。

100年余りの伝統がある天竜川和船下りに導入されるのは、エンジンが着いた全長9メートル余りの木造のクルーズ船です。
【写真を見る】天竜川の春を満喫　クルーズ船
キーワードは、「上る・止まる・回る」。景色の良い場所で止まったり川をのぼったりすることができます。

運航する南信州リゾートが舟下りの新たな魅力を体感してもらおうと、去年造船しました。

南信州リゾート川村茂雅さん:「自然を肌で感じてもらえるのでバリエーションが多くなるということを謳っていきたいし体感していっていただきたいと」

クルーズ船の運航は、ゴールデンウイーク後半の来月3日から5日に予定されています。
信越放送",[],[]
鉄道芸人らの鉄オタトークは予約で満員に　SR1系100番台と300番台の4両編成で5月3日に「開業10周年記念号」長野〜直江津間に10年ぶりの直通列車　しなの鉄道とえちごトキめき鉄道が共同運行　長野（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/b6d2c3fc443ee40ecbf0ff586e243ac6c48a5ea8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885189-sbcv-000-4-view.jpg?exp=10800,2025-04-29T17:09:53+09:00,2025-04-29T17:46:51+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,768,"信越放送
長野駅と直江津駅の間を10年ぶりに直通列車が走ります。

北陸新幹線の金沢延伸に伴って並行在来線の運行を引き継いだ、しなの鉄道と新潟県のえちごトキめき鉄道が、「開業10周年記念号」として5月3日に共同で運行するものです。
【写真を見る】鉄道芸人らの鉄オタトークは予約で満員に　SR1系100番台と300番台の4両編成で5月3日に「開業10周年記念号」長野〜直江津間に10年ぶりの直通列車　しなの鉄道とえちごトキめき鉄道が共同運行　長野
しなの鉄道によりますと、運行される「開業10周年記念号」は、SR1系100番台の2両と、SR1系300番台の2両を連結させた4両編成で、5月3日の午前9時48分に長野駅を出発し、北しなの線と妙高はねうまラインの各駅に停車しながら、午後0時31分に直江津駅に到着した後、午後2時10分に直江津駅を出て、午後4時28分に長野駅に戻ります。

しなの鉄道とえちごトキめき鉄道は、いずれも2015年の北陸新幹線の金沢延伸に伴って当時の信越本線の経営を引き継ぎ、しなの鉄道は、北しなの線として長野駅から妙高高原駅までを、えちごトキめき鉄道は、妙高はねうまラインとして妙高高原駅から直江津駅までの運行を担っています。

SR1系100番台の2両では、お笑いトリオ、ななめ45°の岡安章介さんや、ダーリンハニーの吉川正洋さんらがトークなどを披露することになっていて、60人の募集はすでに満員となっています。

一方、SR1系300番台の2両には、乗車券だけで乗ることができ、どの区間でも乗り降りができます。

観光列車を除く普通列車が、長野駅と直江津駅の間を直通で走るのは10年ぶりのことで、しなの鉄道では、県境を越えたイベントで、沿線地域を盛り上げ、信越地域への誘客につなげたいとしています。
信越放送",[],[]
29日にちなんで「にくの日」イベント　ジビエ料理を楽しめる「お山とお肉のピクニック」にぎわう　長野・大町市（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/6ee91a2ee470c6a0c9d54d1206786c8a0cf29883,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885001-sbcv-000-2-view.jpg?exp=10800,2025-04-29T16:42:52+09:00,2025-04-29T16:48:56+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,497,"信越放送
長野県大町市にある道の駅「ぽかぽかランド美麻」では、ジビエ料理などを楽しめるイベント「お山とお肉のピクニック」が開かれました。
【写真を見る】鹿肉料理などを堪能　にぎわう
3年前から「にくの日」にちなんで毎月29日に開催されていて、祝日のきょうは、多くの人が訪れました。

山崎キャスターレポート:「美麻の鹿肉を使ったミートパイいただきます!肉のうまみがしっかりしています。トマトの酸味とよく合います。おいしいです」

ほかにも、地元の鹿肉を使ったカレーやタコスなどを楽しめるキッチンカーが出店。

さらに、鹿や牛の革を使ったブレスレットやキーホルダーを作るワークショップも行われました。

こちらの参加者が挑戦していたのは…

長野市から:「太鼓グループやっていて、そのためにばち入れを作っていて」

以前、別の場所で作業を進めていたそうで、きょうは仕上げの工程。
そしてついに!

「おっ結構いいじゃん。いいじゃん、いいじゃん」

完成です。

（牛の革どう?）「がっしりしています。重みがあって。自分の作ったばち（入れ）だよと自慢しに行ったり、いろいろ楽しみにしたい」
信越放送",[],[]
JR大糸線が運転再開　架線に飛来物　信濃大町〜白馬駅間で一時運転見合わせ　特急2本が部分運休　快速列車1本に1時間15分の遅れ　長野（ＳＢＣ信越放送）,https://news.yahoo.co.jp/articles/646be295118a5eedc666b68f57aa32005e241457,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250429-21885065-sbcv-000-2-view.jpg?exp=10800,2025-04-29T16:13:00+09:00,2025-04-29T16:46:49+09:00,ＳＢＣ信越放送,sbc,ＳＢＣ信越放送,335,"信越放送
架線に飛来物が引っかかった影響で、29日の午後2時過ぎから運転を見合わせていたJR大糸線が、午後4時前に運転を再開しました。

運転を見合わせていたのは、JR大糸線の信濃大町と白馬駅の間の上下線です。

JR東日本長野支社によりますと、29日午後2時過ぎに、大町警察署から、いずれも白馬村にある飯森駅と白馬駅の間で、架線に飛来物が引っかかっているとの情報があり、撤去作業のため運転を見合わせていました。

撤去作業が終わり午後4時前に運転を再開したということです。

この影響で、松本と白馬の間を走る上りの特急はくば1号と下りの2号が、信濃大町と白馬の間で部分運休したほか、南小谷発長野行きの快速リゾートビューふるさとに1時間15分の遅れが出ました。
信越放送",[],[]
