headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
8強決まる！履正社がタイブレークの末に「リベンジ」！大阪桐蔭、大体大浪商などがベスト8入り！大阪大会【25年春高校野球】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/c65f7dfd297a66cba0966c049f18498b79bd96d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004642-hbnippon-000-1-view.jpg?exp=10800,2025-05-05T19:39:25+09:00,2025-05-05T19:39:25+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,327,"写真はイメージ
2025年春季近畿地区高校野球大会大阪府予選は5日、5回戦が行われ8強が決まった。
【トーナメント表】大阪府春季大会3回戦以降の組み合わせ
履正社は延長10回タイブレークの末に、大阪学院大に4対3で競り勝った。5回を終わって0対2とリードを許したが、6回に1点を返すと8回に同点に追いついて延長戦へ。10回表に2点を奪って逃げ切った。昨年春に敗れた悔しさを晴らす逆転勝利でもあった。

　大阪桐蔭は7対2で精華に勝利。関大一－関大北陽の「関大対決」は、4対2で関大北陽に軍配が上がった。

　その他、大体大浪商、東大阪大柏原、堺東、東海大大阪仰星、興国が8強入りを果たした。

　準々決勝は6日に予定されている。
高校野球ドットコム編集部",[],[]
常総学院の指揮官が期待する2年生ショート！チームのピンチを救うダイビングキャッチとファインプレーを披露【茨城】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/50d299a25ae98c97f288e1535e4ef8457166397c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004660-hbnippon-000-2-view.jpg?exp=10800,2025-05-05T19:30:20+09:00,2025-05-05T19:35:54+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,668,"期待の遊撃手・水口（常総学院）
＜春季茨城県大会：常総学院3-1境＞◇5日◇決勝戦◇J:COMスタジアム土浦

　3連覇を果たした常総学院は、関東大会で神奈川2位と対戦する。常総学院のショート・水口 煌太朗（2年）の守備が光った試合だった。
【一覧】スーパー2年生リスト
オセアンヤング出身の水口は1年生からベンチ入りし、経験を積んできた。島田監督は「3年生には水口をずっと使うと話しています。守り、肩の強さは本当にいいものを持っています」と高評価する。

　まだ全体的に荒削りで、4回表に三遊間の深い打球に追いつきながらも暴投するなど計2失策。しかし、5回表、無死一、三塁のピンチには、レフトとショートへ打ち上がったショートフライをダイビングキャッチを見せ、併殺に。さらに7回には投手が弾いた打球を素手で処理して、ランニングスローでアウトにするファインプレーを見せ、まさに華のある守備を見せる選手だ。島田監督は「エラーも今後の成長のためには必要な経験です」をかばう。

　課題は打撃で、2打数0安打に終わり、大会通して当たりがなかった。島田監督は考えすぎる必要はないと語る。

「打撃の不振で守備をひきずっているのが気になります。彼に伝えているのは打てなくても守備をしっかりとやってもらえばいいと伝えています。まずは守りをしっかりと見せて、打撃は重荷にならずにやってもらえば」

　俊敏で強肩を見せる水口は9番打者ながらも関東大会で注目を集める存在となるだろう。レベルの高い相手との対戦が待っているが、評価を高める大会にしていきたい。",[],[]
福岡、花巻南、花巻北、一関修紅が県大会切符！春季岩手県地区大会【25年春高校野球】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/b32a61a9cca24a8dd87b7d320f8486087a6c7405,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004645-hbnippon-000-1-view.jpg?exp=10800,2025-05-05T19:01:18+09:00,2025-05-05T19:01:18+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,261,"写真はイメージ
2025年第72回春季東北地区高校野球岩手県大会の各地区大会は5日、予選が行われた。
【一覧】ここまでの岩手県大会出場校
県南地区では決勝が行われ、水沢工が優勝。敗者復活の代表決定戦では一関修紅が勝利し、県大会出場を決めた。

　花北地区では敗者復活の代表決定戦が行われ、花巻北、花巻南が勝利して県大会出場を決めた。

　県北地区では敗者復活の第2代表決定戦が行われ、福岡が県大会の切符を手にした。

　6日の花北地区決勝と敗者復活の代表決定戦で予選が終了。県大会出場校が出揃う。
高校野球ドットコム編集部",[],[]
北海道春季大会支部予選が開幕！函館支部では函館中部などが初戦を突破【25年春高校野球】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/03ddb5fd134031b29be4ccc3d9b45faf23204032,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004644-hbnippon-000-1-view.jpg?exp=10800,2025-05-05T18:48:29+09:00,2025-05-05T18:48:29+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,144,"写真はイメージ
2025年の第64回春季北海道高校野球大会の支部予選が5日開幕した。

　函館支部で1回戦が行われ、第1シードの函館中部のほか、檜山北、市函館が初戦を突破した。
【トーナメント表】春季北海道函館支部予選の組み合わせ
6日も1回戦が予定されている。
高校野球ドットコム編集部",[],[]
新潟明訓、中越、六日町、新潟が8強入り決めた！新潟県大会【25年春高校野球】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/897c70d1c1c578bb78b34e1bc1abe54c3d08465d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004646-hbnippon-000-1-view.jpg?exp=10800,2025-05-05T18:41:43+09:00,2025-05-05T18:41:43+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,202,"写真はイメージ
2025年春季の第152回北信越地区高校野球新潟県大会は5日、8強入りをかけた3回戦4試合が行われた。
【トーナメント表】春季新潟県大会の組み合わせ
昨秋優勝の新潟明訓は、8回コールドの8対0で長岡大手に快勝して8強入りを決めた。

　新潟は7対4で長岡を破ってベスト8入り。

　その他、中越、六日町が8強入りした。

　6日も3回戦が予定され、8強が出揃う。
高校野球ドットコム編集部",[],[]
小松工が星稜に逆転勝ちし25年ぶりに決勝進出！金沢と対決へ！石川大会【25年春高校野球】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/cdcbce8bd008d16a3beca141e08ab29f64439917,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004639-hbnippon-000-1-view.jpg?exp=10800,2025-05-05T18:33:06+09:00,2025-05-05T18:33:06+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,313,"写真はイメージ
2025年春季の第152回北信越地区高校野球石川県大会は5日、準決勝が行われ、金沢と小松工が決勝に進んだ。
【トーナメント表】春季石川県大会の組み合わせ
小松工は4対3で星稜に逆転勝ちした。2回に1点を先制されたが、3回に一挙4得点して試合をひっくり返すと、相手の追い上げを振り切って勝利した。優勝した2000年以来、25年ぶりの決勝にコマを進めた。

　昨年秋優勝の金沢は、6対0で小松大谷に勝利した。3回に2点を先制すると6回に3点を追加するなど相手に流れを渡さず、4投手の「完封リレー」で快勝した。

　6日に決勝が行われ、優勝チームは31日新潟で開幕する北信越大会に出場する。
高校野球ドットコム編集部",[],[]
決勝は3季連続で横浜vs東海大相模に決定！直近は1勝1敗！神奈川の黄金カードを制するのは？【神奈川】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/0c309d4e31d5cd46637770bf8761801143be5484,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004654-hbnippon-000-1-view.jpg?exp=10800,2025-05-05T18:08:47+09:00,2025-05-05T18:08:47+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,803,"横浜・奥村（左）と東海大相模・柴田
熱戦続く春季神奈川大会。4日に準決勝が行われ、横浜と東海大相模が決勝進出を決めた。両校が決勝で対戦するのは昨夏、昨秋に続き3季連続となる。
【表】近年の直接対決 結果一覧
センバツ王者・横浜は今春も磐石な戦いで勝ち上がってきた。奥村 頼人投手（3年）、織田 翔希投手（2年）を筆頭とした投手陣に、阿部 葉太投手（3年）を中心とした強力打線を擁し、新チーム発足から公式戦負けなしの24連勝を達成している。さらには県大会初戦から福井 那留投手（1年）、川上 慧選手（1年）ら1年生がデビューを果たすなど、新戦力との融合で競争がますます激しくなっている。

　一方の東海大相模もエースで最速150キロ右腕・福田 拓翔投手（3年）が万全ではない中、投手陣が成長を見せている。4回戦で島村 宏斗投手（3年）が4回9奪三振と圧巻投球を披露すれば、準々決勝では小関 悠斗投手（2年）が6回無失点の快投。横浜スタジアムの準決勝では萩原 優真投手（3年）が7回1失点とそれぞれが結果を残し、存在感を示している。野手でも下級生からレギュラーを張る中村 龍之介外野手（3年）、金本 貫太内野手（3年）が中軸を担い、4回戦と準々決勝で共にマルチ安打を記録した。他にも主将の柴田 元気（3年）や日賀 琉斗内野手（3年）ら、昨夏甲子園を経験した選手が多く残り、下級生を牽引している。

　両校は昨春も準決勝で対戦し、後にプロ入りを果たす藤田 琉生投手（日本ハム2位）の本塁打などで東海大相模が5対1と勝利した。昨夏は決勝で激突し、終盤の8回に東海大相模の中村が値千金の逆転打を放って聖地への切符を掴んだが、昨秋の決勝では横浜の織田が7回2失点と試合を作ってリベンジを果たしている。

　今春も決勝の舞台で激突することとなった両校。果たして春の頂点に立つのはどちらか。激戦必須の戦いから目が離せない。",[],[]
6日に準決勝！2ケタ得点＆無失点と投打に圧倒の天理が近畿大会切符をかける！奈良大会【25年春高校野球】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/40cb2f3d54f9b5d525ef8de5c859db887960fdfe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004648-hbnippon-000-1-view.jpg?exp=10800,2025-05-05T18:00:01+09:00,2025-05-05T18:00:01+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,403,"写真はイメージ
2025年春季近畿地区高校野球大会奈良県予選は6日、準決勝が予定されている。4強入りを決め、夏のシード権を獲得した4チームが、地元奈良で開催される近畿大会（24日開幕）出場3枠をかけた戦いへとシフトしていく。
【トーナメント表】春季奈良県大会の組み合わせ
勝てば近畿大会切符を手にする対戦カードは以下の通り。

奈良－奈良大付
天理－橿原学院

　今センバツに出場した天理は、昨年春に続く2年連続4強入りを決めた橿原学院と対戦する。今大会、初戦から3戦すべて2ケタ得点の合計38点をマークし、失点もすべて無失点と、投打にわたり圧倒的に強さを誇る。ここも実力を発揮して近畿大会出場を決めることができるか。

　昨年秋準優勝だった奈良は、智弁学園に勝利して勢いに乗る畝傍に競り勝った奈良大付と対戦。昨年秋決勝で敗れた天理へのリベンジのためにも、しっかり勝利を収めたい。
高校野球ドットコム編集部",[],[]
東洋大姫路はコールド、報徳学園は逆転で勝利！近畿大会出場をかけ決勝で対決！兵庫県大会【25年春高校野球】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/4b19c4b3eabe855c0f05c25bf46953a25394010e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004647-hbnippon-000-1-view.jpg?exp=10800,2025-05-05T17:51:57+09:00,2025-05-05T17:51:57+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,290,"写真はイメージ
2025年の春季高校野球兵庫県大会は5日、準決勝が行われ、東洋大姫路と報徳学園が決勝に駒を進めた。
【トーナメント表】春季兵庫県大会の組み合わせ
今センバツに出場した東洋大姫路は、5回コールドの10対0で明石商に圧勝した。2回に2点を先制すると5回まで得点を積み重ねて一気に勝負をつけた。

　報徳学園は、5対4で神戸国際大付に逆転勝ちした。2回に2点を先制されたが、5回に4点を奪って試合をひっくり返し、終盤の相手の粘りを振り切った。

　決勝と3位決定戦は10日に予定されている。優勝チームは24日に奈良で開幕する近畿大会に出場する。
高校野球ドットコム編集部",[],[]
関東大会出場17校が決定！ここ3年のセンバツV校を含め強豪ぞろい、初出場は2校、公立校は3校【25年春高校野球】（高校野球ドットコム）,https://news.yahoo.co.jp/articles/bb99ef39df5dd0a46a3cc3d37873c38dd3272642,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250505-00004651-hbnippon-000-2-view.jpg?exp=10800,2025-05-05T17:40:07+09:00,2025-05-05T17:46:08+09:00,高校野球ドットコム,hbnippon,高校野球ドットコム,348,"茨城で春3連覇を達成した常総学院ナイン
2025年春季の関東地区高校野球大会出場をかけた各都県大会は5日、3県で準決勝が行われ、5校の関東大会出場が決定。これで、17日に茨城で開幕する関東大会の出場17校が出揃った。
【一覧】関東大会出場校一覧
今センバツ優勝の横浜、昨年センバツＶの健大高崎に、一昨年センバツ優勝の山梨学院と、近年結果を残している強豪に、過去甲子園優勝経験校がズラリと名を連ねた。

　初出場は叡明と東亜学園の2校。公立校は茨城から境と藤代が出場し、習志野と合わせて3校が出場する。

　17日から25日まで開催される関東大会。昨年は白鴎大足利（栃木）が初優勝した。今年もまた、フレッシュなチームの活躍が見られるだろうか。レベルの高い戦いに注目したい。
高校野球ドットコム編集部",[],[]
