headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
盗む様子、5日後に戻しに来る様子が防犯カメラに…タブレットが入ったリュック（2万5000円相当）を盗んだ疑いで診療放射線技師の男を逮捕【高知】（テレビ高知）,https://news.yahoo.co.jp/articles/dae97294e1dfbf36b65b4ddbe6225060357e851b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931584-kutvv-000-1-view.jpg?exp=10800,2025-05-22T20:19:28+09:00,2025-05-22T20:19:28+09:00,テレビ高知,kutv,テレビ高知,477,"テレビ高知
高知市の商業施設で、他人のリュックサックを盗んだ疑いで、50代の放射線技師の男が逮捕されました。男は置きっぱなしだったリュックサックを持ち去り、5日後に、近くに戻していて、防犯カメラにその様子がうつっていたということです。

逮捕されたのは国立病院機構高知病院に勤務する50代の診療放射線技師の男です。

高知警察署の調べによりますと、男は4月9日の午後6時45分ごろ、高知市の商業施設の駐輪場で、タブレットが入ったリュックサック（2万5000円相当）を盗んだ疑いがもたれています。

リュックサックは、被害者の男性が商業施設を訪れた際、自転車のそばに置きっぱなしにした物で、男性が店舗から戻るとなくなっていたということです。

男はリュックサックを持ってその場を離れましたが、5日後、そのリュックサックを商業施設の駐輪場付近にあるベンチに戻していて、防犯カメラには、盗んだ様子と戻す様子、それぞれが映っていたということです。

調べに対し男は「間違いありません」と容疑を認める供述をしていて、警察が詳しい動機などを調べています。
テレビ高知",[],[]
高知の天気　23日　県内全域で日差しが届く　山岸拓気象予報士が解説（テレビ高知）,https://news.yahoo.co.jp/articles/d9ce20afdce8d788e75caff4adb46c7ac24f68d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931309-kutvv-000-1-thumb.jpg?exp=10800,2025-05-22T19:34:30+09:00,2025-05-22T19:34:30+09:00,テレビ高知,kutv,テレビ高知,413,"テレビ高知
23日、高知県内では高気圧の影響で日中はよく晴れますが、夕方から西部を中心に雲が広がりやすい一日となりそうです。
【写真を見る】高知の天気　23日　県内全域で日差しが届く　山岸拓気象予報士が解説
朝から平野部・山沿いともによく晴れる見込みです。日中は、中部から東部にかけてより日差しが届き、洗濯日和となるでしょう。一方で、日中は紫外線も強くなる見込みです。紫外線対策も忘れずに行ってください。降水確率は多いところで20％前後と雨の降るところはなさそうです。

23日は最低・最高気温ともに平年よりも高くなる見込みです。屋外での活動は、適宜水分、休憩を取りながら熱中症防止に努めてください。

24日は朝から雨雲が流れ込み、県内では午後にかけて本降りとなりそうです。来週は天気も回復し、気温も平年並みと過ごしやすい期間が続くでしょう。梅雨入りまえ最後の初夏の陽気となりそうです。

（気象予報士　山岸拓）
テレビ高知",[],[]
高知市のアパート火災　遺体は出火元とみられる部屋に住む男性と判明（テレビ高知）,https://news.yahoo.co.jp/articles/884d0dea830f6b8f459b45c112da1211203d695c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931499-kutvv-000-2-thumb.jpg?exp=10800,2025-05-22T19:28:33+09:00,2025-05-22T19:36:53+09:00,テレビ高知,kutv,テレビ高知,238,"テレビ高知
5月12日、高知市でアパートが全焼した火事で出火元と見られる部屋から見つかった遺体が、この部屋に住む男性だったことが分かりました。
【写真を見る】高知市のアパート火災　遺体は出火元とみられる部屋に住む男性と判明
5月12日、高知市竹島町の「森田荘」が全焼。出火元と見られる部屋から一人の遺体が見つかっていました。警察が身元の特定を進めた結果、遺体は、この部屋に住む西森義晃さん（65）だったことが分かりました。警察は引き続き出火原因などを調べています。
テレビ高知",[],[]
2025年に入って作業員が4人が死亡　労働災害防止へ“緊急要請”　高知労働局（テレビ高知）,https://news.yahoo.co.jp/articles/a403af19ce7aa17d18987d1b66c694d7ffc05d9c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931497-kutvv-000-1-thumb.jpg?exp=10800,2025-05-22T19:24:54+09:00,2025-05-22T19:24:54+09:00,テレビ高知,kutv,テレビ高知,546,"テレビ高知
2025年に入って、建設業における労働災害で作業員が死亡する事故が相次いでいます。このため高知労働局は、県建設業協会などの団体に安全衛生管理体制の確認などを要請しました。
【写真を見る】2025年に入って作業員が4人が死亡　労働災害防止へ“緊急要請”　高知労働局
緊急要請を受けたのは、県建設業協会と建設業労働災害防止協会高知県支部です。県内では2025年、労働災害によって4人が死亡していて、このうち3人の業種が建設業です。これを受け高知労働局はパトロールなども含めた安全衛生管理体制の確認などを要請しました。

（高知県建設業協会　國藤浩史　会長）
「特別な取り組みをするのではなくて、作業手順などの基本をもう一度忠実に作業していくのが大事だと思います」

（高知労働局　菊池宏二　局長）
「基本的な注意事項、作業手順、作業マニュアルの遵守、そういったものが徹底されていれば起こりえなかったものかと思いますので、今回災害が3件起きたというのもありますので、各事業所のトップの方が自ら、労働者の皆さんがしっかり作業手順を守って作業をしているか改めて確認をしていただく」

高知労働局は、「労働災害をゼロにし、安心して働ける職場の実現に取り組んでほしい」としています。
テレビ高知",[],[]
「すごく簡単で、考え方が変わりました」若者の投票率上昇へ　高知大学で選挙を学ぶ出前授業（テレビ高知）,https://news.yahoo.co.jp/articles/eac04910b17d26e2f84541d19ae31381a2b3cd1c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931495-kutvv-000-1-thumb.jpg?exp=10800,2025-05-22T19:21:38+09:00,2025-05-22T19:21:38+09:00,テレビ高知,kutv,テレビ高知,573,"テレビ高知
夏に行われる参議院議員選挙を前に、高知大学で選挙についての出前授業が行われました。
【写真を見る】「すごく簡単で、考え方が変わりました」若者の投票率上昇へ　高知大学で選挙を学ぶ出前授業
県選挙管理委員会は、若者に選挙への理解や関心を深めてもらおうと、出前授業を行っていて、22日は、高知大学の学生およそ100人が参加しました。県選挙管理委員会によりますと、2024年の衆院選の投票率は10代が32.76％、20代が26.21％となっていて、50代以上の世代の半分ほどだったといいます。学生たちは模擬投票も行い、候補者の演説から用紙の受け取り、記入、投票までの流れを体験しました。

（参加した学生）
「難しい書類があって難しいのかなと思っていましたが、名前をちゃちゃっと書いて、すぐに投票箱に入れるだけだったので、すごく簡単で、（選挙への）考え方が変わりました」

（参加した学生）
「若者向けの政策にしてもらうためには、私たちが投票にいかなければならないなと感じました。“白票”でも行って、何かしらの自分の意思を伝えられたらいいなと思います」

（参加した学生）
「情報をしっかり自分の中で取捨選択して、誰に投票すればいいのかを考えたいと思います」

県選挙管理委員会は、今後もこうした授業を続けていくことにしています。
テレビ高知",[],[]
「不登校、引きこもりなど切れ目のない支援を」福祉・教育・医療などさまざまな機関が連携へ【高知】（テレビ高知）,https://news.yahoo.co.jp/articles/fdf35ea1f1fac25d6fdc7e5a54f9178aa66c0c38,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931470-kutvv-000-1-thumb.jpg?exp=10800,2025-05-22T19:06:28+09:00,2025-05-22T19:06:28+09:00,テレビ高知,kutv,テレビ高知,614,"テレビ高知
福祉や教育、医療など様々な機関が連携し、生活に悩みを抱えている人を支援する取り組みが本格的にスタートします。
【写真を見る】「不登校、引きこもりなど切れ目のない支援を」福祉・教育・医療などさまざまな機関が連携へ【高知】
「とさブリッジ」はひきこもりや不登校、障がいなど、生活に困難を抱える人やその家族を支援しようと2024年の4月に設立された団体です。福祉や教育、医療などの様々な機関が連携することで「切れ目のない包括的な支援」を目指していて、6月からの本格始動を前に22日、関係者らが集まり、今後の活動方針などを確認しました。

とさブリッジによりますと県内では2023年度、不登校の小中学生が1604人いたということです。団体では2025年度、特に支援者側のスキルを向上させ、組織的な支援を拡充していくことに力を入れていく方針です。

（高知県生涯学習支援センター　高木義夫　理事長）
「このような県民が全員参加できる組織ができたので、このことが広く県民に伝わり、うち（とさブリッジ）にアクセスしてきたら、いろんな事が繋がっていくということを皆さんが分かってくれればうれしいと思います」

ロゴマークには、「とさ」という橋から太陽がのぼる様子がデザインされていて「高知をつなぐ希望のかけ橋に」という意味が込められています。運用開始は6月2日で「とさブリッジ」のホームページから相談を受け付けています。
テレビ高知",[],[]
絶滅危惧種“ガンゼキラン”の大群落が見ごろに　23日から1週間の限定公開　高知県立牧野植物園（テレビ高知）,https://news.yahoo.co.jp/articles/e3442325c462580936d142377b4b05ee0f27cd51,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931444-kutvv-000-1-thumb.jpg?exp=10800,2025-05-22T18:58:28+09:00,2025-05-22T18:58:28+09:00,テレビ高知,kutv,テレビ高知,808,"テレビ高知
絶滅危惧種に指定されている「ガンゼキラン」の花が2025年も牧野植物園で見ごろを迎えています。23日（金）から1週間、限定公開が始まります。
【写真を見る】絶滅危惧種“ガンゼキラン”の大群落が見ごろに　23日から1週間の限定公開　高知県立牧野植物園
（川見真宵アナウンサー）
「こちらの斜面いっぱいに咲き誇っている美しいラン、この美しさから乱獲が進み絶滅危惧種に指定されています。国内でもこれほどの範囲に自生しているのは珍しいといいます」

高知県立牧野植物園の未公開園地で花を咲かせているのは黄色の花びらのなかに赤く細かいひだが特徴的な「ガンゼキラン」。水分や養分をためて肥大した茎=バルブが地面から露出して、岩石のように見えることからその名前が付きました。

ガンゼキランは暖温帯に分布する多年草で、昭和30年ごろの「ランブーム」で乱獲が進み、全国的に数が激減しました。環境省から絶滅危惧種に指定され自生している姿は滅多にみられないといいます。

植物園は2012年に四万十町の農家から株を譲り受け、自生していた環境に近い常緑樹林の下、水はけのよい斜面に植栽して増殖させてきました。当初は40㎡ほどだった群生は今ではおよそ500㎡、5000株以上にまで広がりました。

（県立牧野植物園栽培技術課　中野善廣さん）
「一年かけてこの時期しか咲かないので綺麗に咲いてくれてほっとしています。去年が残念ながら咲きが良くなかったんですけれども今年はそのぶんも挽回するぐらいたくさん咲いてくれたかなと思っております。高知県に、このきれいなランが自生していたっていうのと、（ガンゼキランが）生えている雰囲気っていうのを味わっていただけたら」

牧野植物園のガンゼキランは23日（金）から30日（金）まで期間限定で公開されます。

※5月26日（月）は休園、足場が悪いので雨の日には公開中止の可能性あり
テレビ高知",[],[]
「イギリスより暑いです…」高知市は31℃観測　2025年初の真夏日　暑さは23日まで続く見込み（テレビ高知）,https://news.yahoo.co.jp/articles/8aed22323224463f8cf50c4557346250fe0350fa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931433-kutvv-000-1-thumb.jpg?exp=10800,2025-05-22T18:56:22+09:00,2025-05-22T18:56:22+09:00,テレビ高知,kutv,テレビ高知,558,"テレビ高知
21日の雨から一転、22日の高知県内は晴れ間が広がり、各地で気温が上がりました。高知市では、2025年初めての真夏日となりました。
【写真を見る】「イギリスより暑いです…」高知市は31℃観測　2025年初の真夏日　暑さは23日まで続く見込み
22日の県内は、高気圧の影響で徐々に晴れ、気温が上がりました。

（リポート　松岡葵　アナウンサー）
「午後になって日差しが強くなってくると、一気に気温が上がりました。きのうまでの雨も相まって、ムシムシとした暑さ、汗が身体にまとわりつくような暑さです」

高知市は31℃を観測し、2025年初めての真夏日に。日傘を差して通行する人や日陰で涼んでいる人の姿が見られました。

「運動がてらこちらに来て、暑いので、ここでゆっくりぼーっとしていますね。毎年気温が上がっていっているということは実感する」

「そうですね、とても暑いです」
「イギリスより暑いです、本当に」

「ムシムシしていて、でも半袖にすると今度は日焼けするじゃないですか。もう自転車でうろうろするのもこれが最後やなと思って。もうバスにせなと思った」

高知市以外では、高知空港で30.6℃、香美市大栃で30.4℃など、3つの地点で真夏日となりました。この暑さは23日まで続く見込みです。
テレビ高知",[],[]
教育長不在続く…臨時議会で人事案再提出も“不同意”　「どんな人を出してきても否決されるのではないか」【高知県・香美市】（テレビ高知）,https://news.yahoo.co.jp/articles/a64321aa2793c88f84a7302af237d20efd257922,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931381-kutvv-000-1-thumb.jpg?exp=10800,2025-05-22T18:53:31+09:00,2025-05-22T18:53:31+09:00,テレビ高知,kutv,テレビ高知,600,"テレビ高知
およそ1年に渡って教育長が不在となっている高知県香美市。22日に開かれた市の臨時議会で新しい教育長を任命する人事案が提出されましたが賛成少数で不同意となり、教育長の不在が続くことになりました。
【写真を見る】教育長不在続く…臨時議会で人事案再提出も“不同意”　「どんな人を出してきても否決されるのではないか」【高知県・香美市】
香美市教育委員会の教育長を巡っては、前の教育長の任期満了に伴い、新たな教育長を任命する人事案が2024年5月の議会に提出されましたが、賛成少数で不同意となりました。その後、市長と教育委員との間で教育長の候補などについて話し合われてきましたが折り合いがつかず教育長不在の状態がおよそ1年、続いています。

22日開かれた香美市の臨時議会には新たに、高知市の土佐塾高校の元校長を新しい教育長とする人事案が提出されました。市としては2回目の提出でしたが、採決の結果、賛成6・反対10となり賛成少数で不同意となりました。このため、香美市の教育長は引き続き、不在の状態となります。

（香美市　依光晃一郎　市長）
「どんな人を出してきても否決されるのではないか。反対した理由を議員から明確にしてもらって、その反対理由、議員が納得できる人物像をつくったうえで、人物像に叶う人を提案したい」

香美市は早急に教育長の候補を検討し、人事案を議会に提出する方針です。
テレビ高知",[],[]
【くわしく】e-Tax利用して詐欺か　事件の構図と手口は　高知県警「捜査対象数百人」【記者解説】（テレビ高知）,https://news.yahoo.co.jp/articles/11a710b11f6296fb5b89977896c7e5f3065d2bc8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250522-21931387-kutvv-000-2-thumb.jpg?exp=10800,2025-05-22T18:36:55+09:00,2025-05-22T18:39:54+09:00,テレビ高知,kutv,テレビ高知,1389,"テレビ高知
国税電子申告・納税システム（e-Tax）を利用して、虚偽の内容を記載した所得税などの申告書を提出し、還付金をだまし取った疑いで男女10人が逮捕されました。
【写真を見る】【くわしく】e-Tax利用して詐欺か　事件の構図と手口は　高知県警「捜査対象数百人」【記者解説】
「捜査対象者が数百人」というとてつもなく大規模な事件となりました。ここからは取材にあたった野中記者とお伝えします。e-Tax（イータックス）というと確定申告などの国税に関する手続きをインターネットで行えるシステムですが、どのように犯罪に利用されたのでしょうか。

■野中麟太郎 記者
税務署に行かなくても利用できるe-Taxですが、今回の詐欺グループは

（1）容疑者の1人が税務署に行ってID・パスワード方式の届け出をした後、利用者識別番号と暗証番号を入手
（2）別の共犯者がその利用者識別番号と暗証番号を使用してe-Taxで虚偽の確定申告を行っていた

ということです。

具体的な申告としては、容疑者らは実在する会社に紐づく個人事業主を騙り、「年間およそ900万円の報酬を貰い、およそ90万円が源泉徴収されたが、報酬のおよそ900万円の同額またはそれ以上の事業経費などがかかった」として申告し、金銭をだまし取っていたと見られます。

■藤崎美希アナウンサー
税務署側で見抜くことは難しいのでしょうか?

■野中麟太郎 記者
事件の手口について高松国税局に話を聞いてみました。「虚偽の源泉徴収額を申告し、不正に還付金を受け取ろうとするケースは以前からあった」「外形上の様式が整えられていた場合には照合などの後に、還付金を支払うケースもある」ということです。

ただ、この場合にも審査は継続されていて「不正」と発覚した際には厳正に対処しているということです。

■遠藤弥宙アナウンサー
逮捕者が10人、住所も年代もバラバラということですよね。

■野中麟太郎 記者
10人の詳しい役割分担についてはまだ捜査中ということですがだまし取った金の流れから小笠原容疑者が「上位者」とみられています。また、ID・パスワード方式を申請するために税務署に行く役割の容疑者もいてSNSで募ったということです。
そして、同じ様な手口で、4都県で犯行に及んでいたとみられます。例えば、愛媛の事件では小笠原容疑者や少年など5人が共謀の上愛媛県内の税務署に対し、同じく愛媛県内に住む容疑者名義で確定申告を行い97万円をだまし取りました。

今回逮捕された10人は合わせて7件の事件で関与が疑われた10人でした。

■藤崎美希アナウンサー
捜査のきっかけはなんだったのでしょうか?

■野中麟太郎 記者
匿名・流動型犯罪グループ「トクリュウ」の事件といえば、高知県内では2024年に明らかになった偽物のロレックスを使用した詐欺事件が、記憶に新しいと思います。今回の事件は、この偽ロレックス事件の捜査で事件の情報を入手し、捜査をしていたということで、10人の中には偽ロレックスの事件で逮捕された人物も2人いました。

県警は捜査対象者が「数百人にのぼる」とみて捜査を続けていて、小笠原容疑者よりも上位の容疑者の存在やだまし取られたカネが暴力団などの反社会的勢力に流れていないかなど、事件の全容解明を進めています。
テレビ高知",[],[]
