headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
面識のない男性の自宅に複数回押し掛け、インターホンを押したり、ドアを叩くなどのストーカー行為　４８歳の女が逮捕　浜松市中央区（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/41f92f35cea43960f9736ee97f945c1da9150fed,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00059098-satvv-000-1-view.jpg?exp=10800,2025-05-26T23:56:34+09:00,2025-05-26T23:56:34+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,333,"浜松東警察署
面識のない男性の自宅に複数回押し掛けるなどのストーカー行為をしたとして、４８歳の女が逮捕されました。

　ストーカー規正法違反の疑いで逮捕されたのは、浜松市中央区に住む無職の女（４８）です。警察によりますと、女は５月下旬、少なくとも４回にわたり、面識のない男性の自宅に押し掛けるなどのストーカー行為をした疑いがもたれています。

　女はインターホンを押したり、ドアを叩いたりしたということです。

　男性が警察に相談し、警察は女に対し口頭指導を行っていましたが、それに従わずストーカー行為を続けたため逮捕されました。

　警察によりますと女は自宅に行ったことは認めているものの、一部容疑を否認しているということです。警察は詳しい動機などを調べています。",[],[]
「居酒屋で飲んで帰宅途中だった」　パトカーに呼び止められ逆走した女子大生を酒気帯び運転容疑で逮捕　静岡・掛川市（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/dfb5bf7669aeffdebdce63f6d57f0edc9699d51d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00058958-satvv-000-2-view.jpg?exp=10800,2025-05-26T21:38:20+09:00,2025-05-26T21:39:31+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,378,"２６日未明、静岡県掛川市でパトカーから停止を求められて逆走して逃走、車と正面衝突する事故を起こした女が、酒気帯び運転だった疑いが強まり、警察に逮捕されました。

　酒気帯び運転の疑いで逮捕されたのは、静岡県菊川市に住む２０歳の女子大学生です。警察によりますと、女は２６日午前１時ごろ、掛川市内の県道で青信号にも関わらず止まっているところを警察官に発見され、パトカーから呼びかけられましたが、これに従わず道路を逆走して逃走しました。そして対向車と正面衝突する事故を起こし、骨折の重傷を負いました。救急搬送された病院で、女の呼気検査をしたところ、基準値を超えるアルコールが検出されたということです。

　女は「酒を飲んで車を運転したことは間違いない」と容疑を認めています。女は居酒屋でビールやウーロンハイを飲み、自宅に帰るために車を運転していたということです。",[],[]
コメ不足、コメ高騰で注目される意外なモノ　初めて利用する人も増加　静岡（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/6532b13f9ac7b7d6abaec193eb5efbe33d4ccc23,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00059088-satvv-000-1-view.jpg?exp=10800,2025-05-26T21:15:29+09:00,2025-05-26T21:15:29+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,1290,"備蓄米の放出によって市場価格を引き下げるために、重要な要素の一つが「流通速度」です。卸業者の精米や袋詰めに時間がかかっていることが、今の“遅れの一因”とされています。そのため「玄米での放出も検討した方がいい」という声も出ています。
柳貴斗ディレクター：「コメの価格高騰で注目が集まっているのが、コイン精米機。静岡県内でもある変化が起きているようです」

　一般的に数百円で、持ち込んだ玄米を精米できる「コイン精米機」。取材したこの日も、仕事帰りの男性が。
静岡市在住３０代男性：「仕事終わって来ました。妻の知り合いの関係で、（玄米を）購入しました」

　２週間に１回ほど、仕事帰りにコイン精米機に寄るという男性。コメ以外にも様々な物価が上がっているため、少しでも節約したいというのが本音なようです。
静岡市在住３０代男性：「購入とかは妻がしているので、ちょっとわからないところはあるんですけど、スーパーで購入するよりは全然安いと（妻から）聞いているので、子どももいるので、コメの消費は早いものですから１円でも安くなるなら、玄米から購入して、手間はあるんですけど、消費者としてはそっちを選びたいなと思います」
こちらのコイン精米機では、２キロから７キロまでは１００円で精米可能。管理・運営している会社には、今、使い方についての問い合わせが急増しているといいます。
ＩＳＥＫＩＪａｐａｎ関西中部カンパニー　山岸正典係長:「お問い合わせいただいたときに、『どうされたんですか』って質問させていただくと、親戚とか知り合いとか、遠方や静岡県内から玄米で送っていただいて、精米機でというのをすごく聞くようになった。白米で買えないので、玄米で購入して、初めて精米機を利用する方は増えているという実感はあります」

　静岡県内でおよそ２００台の「コイン精米機」を管理・運営する「ＩＳＥＫＩ」。これまで精米機の利用は８割以上が農家でしたが、コメ価格の高騰を受けて、新規で使う一般客の割合が増えていて、新たに使い方の張り紙を貼るなど、対応していました。
一方で、こちらはコメ農家の男性。自らの田んぼで収穫した「にこまる」の精米に訪れていました。精米したコメは、家庭で食べたり、一部販売したりするそうです。コメ価格の高止まりについて、聞いてみると。

コメ農家：「コメの価格だけを言われているんだけど、本当にこのことは、燃料費高騰とかいろんなことで、コメだけじゃなく、いろいろな米を作るにあたっての価格が徐々に徐々に上がってきて、仕方ない部分があると思うけどね」
今後、備蓄米を玄米のまま販売する企業が出てくれば、需要が急激に高まる可能性もある、「コイン精米機」。

ＩＳＥＫＩＪａｐａｎ　関西中部カンパニー山岸正典係長：「大変なことで増えるので、素直にうれしいと言ってしまうと、ちょっと申し訳ないんですけど、やはり企業としてはありがたいことかなと思います。利用率が増えている一方で、今まで使ったことのない方も玄米から精米して食べて、おいしいという話も聞きますので、ぜひ利用していただけるとありがたい」",[],[]
相当量の大麻を知人に譲渡したか…岐阜県の18歳のブラジル人を逮捕　別件の捜査で浮上　静岡・島田警察署（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/761210cc7d5788586aae61faeb8c2007583556ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00058816-satvv-000-1-view.jpg?exp=10800,2025-05-26T20:36:05+09:00,2025-05-26T20:36:05+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,239,"静岡県警島田署は２６日、知人に大麻を譲り渡した、として１８歳の男を逮捕しました。

　大麻取締法違反（譲渡）の疑いで逮捕されたのは、岐阜県瑞穂市の工員で、１８歳のブラジル人の男です。警察の調べによりますと、男は２０２４年１１月上旬、岐阜県大垣市内の駐車場で、相当量の大麻を知人に譲り渡した疑いがもたれています。

　警察によりますと、別の事件の捜査の過程で男の容疑が浮上し、捜査していたということです。大麻は押収されておらず、警察は大麻の量や大麻の入手ルートなどを調べています。",[],[]
夫婦で「酒とおつまみ」万引きか…59歳と43歳の夫婦を窃盗容疑で逮捕　静岡・沼津市（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/26e3ffef231112672013301c3e51f89ca8e420d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00059061-satvv-000-1-view.jpg?exp=10800,2025-05-26T20:14:02+09:00,2025-05-26T20:14:02+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,195,"静岡県沼津市のスーパーで万引きしたとして市内の夫婦が逮捕されました。盗んだ商品は酒とつまみでした。

　窃盗容疑で逮捕されたのは、市内在住の５９歳の無職の夫と４３歳の妻です。警察によりますと、夫婦は共謀して２２日、市内のスーパーで酒とたこ焼きなどのおつまみ計１３点を万引きした疑いがもたれています。妻が２２日に現行犯逮捕され、その後、夫が関与がした疑いが強まり、夫も２６日に逮捕されました。",[],[]
地域特産のお茶に親しもう　学校給食に茶飯を提供　静岡・沼津市立愛鷹小学校（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/c9ae69f229cfb53055956412aa5f330d5a1fdb55,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00059050-satvv-000-1-thumb.jpg?exp=10800,2025-05-26T19:14:36+09:00,2025-05-26T19:14:36+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,336,"静岡県沼津市の小中学校では地域の特栽品を使った給食が提供されました。

　沼津市立愛鷹小学校で子どもたちがよそっていたのは…。

　市内で作られた新茶を使った茶飯です。

　これは児童に地域の特産であるお茶に親しんでもらおうと、企画されたもので、子どもたちはいつもと違う給食を
おいしそうに味わっていました。

　このほか日本茶ノインストラクターガ入れ方を伝えるお茶講座も開かれていました。

小学３年生:
「苦みがちょうどよくて美味しいと思った」

小学３年生:
「（農家さんは）丁寧に葉っぱを茶に変えてすごいと思う」

小学３年生「いつもと違うごはんで美味しかった。（農家さんに）感謝しないとなと思った」

　茶飯の給食は沼津市内の４０の小中学校で提供される予定です。",[],[]
静岡県立浜松特別支援学校の建て替え計画　津波被害のないところへの分散移転を求め保護者会が知事に要望書を提出（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/b7194b8113e851dc11d6a916d7f10110ddaf856d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00059053-satvv-000-1-thumb.jpg?exp=10800,2025-05-26T19:13:21+09:00,2025-05-26T19:13:21+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,406,"静岡県立浜松特別支援学校の建て替え計画をめぐり、保護者らが別の場所への移転などを求める要望書を静岡県に提出しました。

　県立浜松特別支援学校をめぐっては、校舎の老朽化の点から県が現在の場所への建て替え計画を進めています。

　これについて保護者や教員らの団体が２６日会見を開き、計画の見直しを求める要望書を知事らに提出したと発表しました。

　要望書では現在の校舎が海岸からおよそ７００メートルと近く、津波被害が想定されることや、生徒数がおよそ３００人と大規模化していることをあげ、建て替え計画を中止して分散移転することなどを求めています。

県立浜松特別支援学校の安心・安全な場所への移転を求める会・障害児保護者の会　久保田翠代表:
「１回建ってしまったらもう変更はできない。方向性を少し問うてみるというか、１回考えてみることも必要ではないか」

　県の担当者は「要望を検討して後日回答したい」としています。",[],[]
「びっくりするくらいのクオリティ」同時に５人が利用可能　トイレカーの完成内覧会　静岡市（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/36f451a9c684ad9542593a0db3f6c4701d5bcf8f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00059052-satvv-000-1-thumb.jpg?exp=10800,2025-05-26T19:12:18+09:00,2025-05-26T19:12:18+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,317,"静岡市で初めて導入されたトイレカーの完成内覧会が開かれました。

　このトイレカーの導入は災害時における避難者の衛生環境を向上させるのが目的です。

　内覧会では静岡市の難波市長らが完成した設備を見学しました。

　トイレカーには男女用と多目的用のトイレが合わせて６台設置されており、最大５人が同時に利用できます。

　また、多目的用トイレには昇降用のリフトやおむつ交換台など誰でも利用しやすい設備が整っています。

静岡市　難波喬司市長:
「すごいびっくりするぐらいのクオリティ。質が高く感動しています」

　静岡市では災害時だけではなく大型イベントなどでも利用する方針で、直近では安倍川花火大会での利用を考えているということです。",[],[]
【参議院選挙】国民民主党・榛葉賀津也幹事長の立憲・国民・連合静岡三者による支援体制が固まる（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/fe6b79e4d88144f91d0d601013e37227782950bd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00059032-satvv-000-1-thumb.jpg?exp=10800,2025-05-26T19:10:11+09:00,2025-05-26T19:10:11+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,629,"２カ月後に迫る参院選に向け、国民民主党の榛葉賀津也幹事長をめぐる立憲・国民・連合静岡三者の支援体制がようやく固まりました。

　２６日朝連合静岡に集まった立憲民主党県連の源馬謙太郎代表と国民民主党県連の田中健会長。

　榛葉氏の支援をめぐっては度々協議を重ねてきましたが、２６日国民の田中会長は、三者協議の場で立憲の源馬代表に対して支援を正式に要請したということです。

国民民主党県連　田中健会長:
「私から応援していただける皆さんにお願いしたいということを伝えた」

連合静岡　角山雅典会長:
「候補者がいない中での選挙は初めてなので、どういうやり方になるのかはあるが、立憲県連にも協力いただけるところは協力を促していく」

　その後、それぞれの県連は幹事会開き協議の結果、立憲民主党県連は全ての議員が何らかの形で支援することで一致しました。

立憲民主党県連　源馬謙太郎代表:
「連合と協力しながらできる範囲で支援していく。将来的には（国民と）一緒に政権交代を目指していきたい。政権交代に向けてはその道が最善だろうと」

国民民主党県連　田中健会長:
「これまでも連合中心に、国民、立憲と３者で連携をしてきたので、応援をしてもらえることはありがたく思う」

　参院静岡選挙区には自民党・現職の牧野京夫氏（６６）、共産党・新人の鈴木千佳氏（５４)、参政党・新人の　松下友樹氏（４１）、政治団体ＮＨＫ党・新人の福原志瑠美氏（４２）も立候補を予定しています。",[],[]
Ｊ１清水エスパルスホームで昨シーズンの王者ヴィッセル神戸と対戦（静岡朝日テレビ）,https://news.yahoo.co.jp/articles/d55ed7b64e9f10c4e641047b09c44ce5eb445e2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250526-00059051-satvv-000-1-view.jpg?exp=10800,2025-05-26T19:08:46+09:00,2025-05-26T19:08:46+09:00,静岡朝日テレビ,satvv,静岡朝日テレビ,545,"栗田麻理アナウンサー
続いては週末のJリーグ。清水エスパルスは“昨シーズン王者”ヴィッセル神戸 相手にホームの意地を見せました。

　明治安田Jリーグ 。試合序盤にペースをつかめなかったエスパルスは、前半１５分乾が巧みに相手をかわしクロス！合わせたのは、北川！

　先制に成功したエスパルスは、前半２４分、松崎の右コーナーキックから高木！ 

高木践選手
「練習でもあの形をやっていたので当てるだけだったので
(松崎)快くんに感謝したいと思います。」

　２点リードして迎えた後半。

　１２分、左コーナーキックから、神戸にヘディングでゴールを奪われ、１点差に詰め寄られます。

　それでも後半２７分、右コーナーキックから…高木！

　高木がこの日、２点目のゴールを決め、エスパルス、３－１と再び神戸を突き放します。

　その後神戸の反撃を1点でしのいだエスパルス。

　リーグ戦５試合ぶりの勝利を飾りました。

秋葉忠宏監督
「２連覇している神戸を倒すんだ。我々のもう一回、力・存在意義 己の力を証明するんだという、力を示すというプレーをしてくれましたから。２点はちょっと余計でしたけれども３点取れたというのは、セットプレーですから色んなコーチ含めてすばらしい攻撃陣だったなと思います。」",[],[]
