headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「ペダル漕いでても“チャリ”じゃないだろ！」決め手は異様なスピード 改造自転車“無免許で逮捕”の裏側（乗りものニュース）,https://news.yahoo.co.jp/articles/8a98f0914cec3ec1b373a6c71671069f7a55a7c2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00551054-norimono-000-1-view.jpg?exp=10800,2025-05-28T18:12:00+09:00,2025-05-28T18:12:00+09:00,乗りものニュース,norimono,乗りものニュース,1861,"ペダルを漕ぐ回転数と走行スピードが違うことに違和感
無免許運転で送致された自転車を改造したペダル付電動バイク。ペダルを漕ぐ動きと走行スピードの違和感が決め手となった（警視庁提供）
車両のスタイルが「自転車」に見えるか、それとも「バイク」に見えるか、その外見に関わらず、守らなければならない交通ルールに変わりはありません。大都市で利用が多いペダル付の電動車両は、電動モーター（＝原動機）を搭載して漕がずに走ることができても、「、一部の運転者は「自転車だと思っていた」ことを理由に、登録や保険加入など、運転者として適法な対応を怠っていることがありました。
【見た目チャリ…】これが「乗車中に停められて逮捕された」改造自転車です（写真）
この違法行為に対する警察の取締りが、一段と厳しくなってきています。

　2025年5月18日に外国籍の33歳男性（荒川区東日暮里在住）が警視庁上野署に逮捕、送致された無免許運転事件は、その変化を象徴する事件と言えます。すでに報じられているとおり、男性は台東区東上野4-3先の路上を5月8日朝8時35分頃、“自転車”に乗って走行中に職務質問を受けました。

　ペダル付バイクのこれまでの取締りでは、警察官が停止を命じて、ハンドル周りにスロットル（加減速調整装置）が付いた車両を中心に駆動輪を空走させて自走することを確認して、違法車両を選別していました。電動アシスト自転車と区別するためです。

　しかし、男性が乗っていた車両は、自転車を電動車に“改造”したものでした。走行中の外見からは判別できませんが、フロント部分が電動モーターを搭載したリムに取り替えられていて、漕がなくても自走することができました。

「60km/hを超える速度を出すことができる機能を有していたことから、一般原動機付自転車と認定しました」と、上野署は無免許運転容疑の逮捕理由を説明していますが、それは後に判明したことです。

　上野署は、どうやってこの車両を、ペダル付バイクとして停止させたのか。上野署は取材に対し次のように説明しました。

「車両の走行速度と被疑者がペダルを漕いでいる状況に整合性がないことから、ペダル付き電動バイクの疑いがあり停止を求めたものです」

　ペダルを1回漕ぐだけでどんどん加速する。漕ぐのをやめてもスピードが落ちない。こうした車両は、交差点で止まっているときにはわかりません。クルマのスピード違反の取り締まりのように、車両の挙動を見るチームと運転者を制止するチームに分かれた取締りが必要となるため、ペダル付バイクの取締りではあまり見られませんでした。これが取締りの大きな変化です。
「自転車だと思ってた」で事故 初の実刑も
原付以上の性能があってもナンバープレート無しで走る電動車が未だに後を絶たない（中島みなみ撮影）
男性は車両を入手した経緯について「譲り受けたもので、自転車だと思っていた」と説明しましたが、漕ぐ人力以上に、バイクや四輪車と同じスピードで並走できる性能があれば、自転車のカテゴリーを超えていることは容易にわかると判断されたようです。

　運転者が適切な対応を怠ったまま運転することは、交通事故を誘発する可能性があります。また、交通事故を起こしても、保険に加入していないため、運転者の補償能力に欠けていることも問題です。走行性能が速度20km/h以下に抑えられた車両であれば、ペダル付バイクでも「特定小型原付」として無免許で運転できる場合もありますが、それでもナンバープレート（課税標識）と自賠責加入は義務です。

　東京地裁は5月21日、世田谷区内の生活道路でペダル付バイクを運転し、50代男性に障害が残るけがを負わせた大学生に対して、懲役3年の実刑判決を言い渡しました。自転車のようなつもりで飲酒運転し、男性が乗る自転車と衝突、危険運転致傷の罪に問われています。事故当時、大学生はペダル付バイクに２人乗りをしていました。無免許運転が発覚することを恐れて、同乗者の知人に身代わりを依頼。警察官に嘘の説明をしたことも断罪されました

　走行性能の高い車両でも、運転者がそれに応じた対応をしていれば、事故時の責任は最小限に留めることができます。運転免許を所持することで、運転の心構えも変わったかもしれません。警察の厳しい対応やその後の司法判決は、購入時や譲り受け時に免許の必要性がわからないとしても、運転責任を免れることはできないことを示しています。
中島みなみ（記者）",[],[]
東名の真横「巨大アウトレットの先駆」ついに25周年で大キャンペーン 海外お買い物ツアー当たる!?（乗りものニュース）,https://news.yahoo.co.jp/articles/4a732b86031dc78dd47dd228fbfae4d1eda4237a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00550912-norimono-000-1-view.jpg?exp=10800,2025-05-28T17:42:00+09:00,2025-05-28T17:42:00+09:00,乗りものニュース,norimono,乗りものニュース,995,"ツアーの招待は合計6組12名に
御殿場プレミアム・アウトレット（画像：三菱地所・サイモン）。
三菱地所・サイモン（東京都千代田区）は2025年5月20日、「プレミアム・アウトレット」の日本上陸25周年を記念したキャンペーンを実施すると発表しました。
【当たるかな？】これが日本上陸25周年キャンペーンの全貌です（写真）
「プレミアム・アウトレット」は1980年代にアメリカで誕生し、世界各国で展開されているアウトレットモールです。日本では2000年7月、東名御殿場ICに近い小田急の遊園地があった場所に「御殿場プレミアム・アウトレット」が第1号店として開業し、現在は全国に10か所展開されています。

　今回のキャンペーンの目玉は、「プレミアム・アウトレット」発祥の地であるアメリカの各都市や、同ブランドが展開されているアジア諸国へのツアー招待券です。第1弾では、ニューヨーク3泊5日とソウル2泊3日のツアー招待券が、それぞれ抽選で1組2名にプレゼントされます。第2弾・第3弾でも、それぞれ「アメリカツアー」および「アジアツアー」の抽選が予定されているとのことです。

　第1弾の応募期間は6月6日から29日までとなっています。また、キャンペーン期間中には合計75名に2万5000円分のお買物券がプレゼントされます。

　さらに、全国キャラバンイベント「Premium Outlets 25th キャラバン『思い出を持って帰ろう』～キャラバンカーが運ぶ、ちょっとプレミアムなひととき～」も開催されます。新CMに登場したアメリカンレトロなキャラバンカーの車内では、セルフフォト体験が可能で、その場でプリントされる写真の裏面には、後日全国のプレミアム・アウトレットで使用できるクーポンをダウンロードできるQRコードが印刷されています。

　また、会場に設置された巨大ガチャを回すと、「プレミアム・アウトレット」定番ブランドのオリジナルノベルティやお食事券など、9種類のアイテムが当たるチャンスもあるそうです。

　キャラバンイベントは、東京（6月6日・7日）、福岡（8月15日・16日）、仙台（9月20日・21日）、名古屋（10月24日・25日）、大阪（11月14日・15日）の5都市でいずれも11時から18時まで開催予定ですが、日程は変更となる場合があるとのことです。
乗りものニュース編集部",[],[]
川崎重工製「最強の電池」新たな使い道出現か!? 実現がNOとは言えない納得の「仰天プラン」とは（乗りものニュース）,https://news.yahoo.co.jp/articles/585ad20d5d74bd457704766972be733f82335d25,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00551043-norimono-000-1-view.jpg?exp=10800,2025-05-28T17:12:00+09:00,2025-05-28T17:12:00+09:00,乗りものニュース,norimono,乗りものニュース,1186,"ニッケル水素2次電池「ギガセル」の新活用法？
会場で公開された無人偵察機のイメージ（斎藤雅道撮影）
2025年5月21日から23日にかけて開催された大規模な防衛・安全保障の展示会「DSEI Japan 2025」の川崎重工業（川崎重工）ブースで、大容量ニッケル水素2次電池「ギガセル」を利用し、防衛に役立てるプランが公開されました。この電池を無人偵察機で運用するというものです。これらはどのようにつながったのでしょうか。
【画像】こんな感じで発進させます！ これが、リニアカタパルトのイメージです
川崎重工が公開したプランは、「ギガセル」を車載発射型の電磁（リニア）カタパルトに転用するというものです。このカタパルトの提案に加え、搭載する偵察機のイメージも公開していました。

　なお、会場のブース自体は川崎重工として出展していますが、この機体とカタパルトを考えたのは実はバイクやビークルを開発しているカワサキモータースのスタッフということで、今回イメージが公開された無人偵察機は同社のバイクであるNinjaのエンジンが流用される想定で、ほかのパーツもバイクやビークルのパーツと活用することになるといいます。担当者は「同じ大きさのUAV（無人機）よりも安価に作れるようなものになっています」と話します。

　カタパルトの電源に使用される「ギガセル」は既に実用化されており、鉄道用の直流電化区間での地上蓄電設備で実績のある大容量電池になります。導入実績もあり、例えば東京モノレールでは、停電時の非常電源として車両を動かすためにも活用されています。

　この電池は担当者によると「かなりパワーがある」とのことで、パワーが有り余りすぎて、電車などある程度の大きさの乗りものでないと、使用には適さないとのことです。

　そこで考え出されたのが、このカタパルトと無人偵察機です。

　リニアカタパルトで使用される電力の供給に「ギガセル」はうってつけだそうで、想定ではトラックでカタパルトレールと電源車、無人機を運ぶ車両に指揮車両を加えた4台体制で動く仕組みになっています。役割としては、空港や飛行機用の滑走路などが攻撃や災害で使用できない場所における、空からの状況把握や支援を行うことが考えられています。

　無人偵察機は全長5,8m、翼幅5.6mですが、主翼を回転して、胴体と平行に畳める仕様になっているため、一般的なLサイズコンテナを備えた10tトラックに搭載可能。ほかの装備に関しても同様で、かなり自由な運用が可能とのことです。

　なお、今回はあくまで「こういうものができる」という提案ということで、急に実用化するという訳ではないそうですが、既存の製品の流用も多いため、いざ実証試験をやるとなった場合、その後のプロセスは手早く進められそうです。
斎藤雅道（ライター／編集者）",[],[]
「世界一定時で目的地に着く航空会社」実は日本にありました！ 圧倒的な”定時運航率”、どの路線を飛んでいる？（乗りものニュース）,https://news.yahoo.co.jp/articles/5610848a1cbcd6df5be8ef7617b5501a8d73aa40,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00551210-norimono-000-1-view.jpg?exp=10800,2025-05-28T16:12:00+09:00,2025-05-28T16:12:00+09:00,乗りものニュース,norimono,乗りものニュース,440,"95％超の「提示運航率」
FDA機（同社公式Xより）。
静岡に拠点を構える航空会社、FDA（フジドリームエアラインズ）が世界の航空関連データを提供する英国のOAG(Official Airline)が発表した定時運航率において、2025年4月の月次ランキングで世界第1位を獲得したと発表しました。
【動画】異様だ！ これがFDA便で実施の「シン・ジェット機最短航空路線」驚愕の光景です
4月期において、同社の定時運航率（定刻から15分以内に目的地に到着した便の割合）は95.09%を記録しました。なお、2位はパナマのコパ航空で93.97%、3位はロイヤル・ヨルダン航空で92.74%となっています。

　FDAは名古屋小牧、静岡などを拠点に全国15都市を結ぶ航空会社で、おもに地方間を結ぶ国内線を担当しています。

　同社は「FDAではこれからも安全を最優先に、お客様の利便性のため定時性の高い運航を目指すべく社員一同努力を続けてまいります」としています。
乗りものニュース編集部",[],[]
日本初の「電動作業船」竣工 発電機ナシ 陸上充電でぜんぶ賄う 日本郵船（乗りものニュース）,https://news.yahoo.co.jp/articles/ba247f7dd345e1d2b0ae8f98885eede9ee21fb7a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00550932-norimono-000-1-view.jpg?exp=10800,2025-05-28T15:42:00+09:00,2025-05-28T15:42:00+09:00,乗りものニュース,norimono,乗りものニュース,719,"意外とコンパクトな船体
航行するe-Crea（画像：日本郵船）。
日本郵船は2025年5月26日、バッテリー駆動の完全電動作業船が、グループ会社である京浜ドックの子安工場にて竣工したと発表しました。この船は同工場におけるタグボートの入渠・出渠時の補助作業に従事します。
【どーやって充電するの？】これが日本初「バッテリー駆動の完全電動作業船」です（画像）
「e-Crea（エクレア）」と名付けられたこの船は、日本初となる発電機を一切搭載しないバッテリー駆動の作業船です。京浜ドック子安工場内の陸上設備から充電したバッテリーのみで航行し、二酸化炭素を排出しないゼロ・エミッションを実現。加えて、静粛性の向上も図られているとのことです。

　電気モジュールの搭載による船体の内部重量の増加は、機器やケーブルの配置を見直すことで解決。コンパクトな設計の中に必要な機器を集約したことで、狭く小回りの利かない場所での作業にも適しているそうです。

　また、バッテリーや電気モーターは高温になると火災のリスクがあるため、温度管理も重要になったといいます。水冷装置や空調ダクトを多層的に配置し、機器や船内を一定温度に保つほか、バッテリー室の換気を円滑にする構造が採用され、防火対策や有害ガスへの対応も強化されているとのです。

日本郵船は脱炭素を目指し、2024年には世界初のアンモニア燃料タグボートを竣工し、電動推進タグボートの建造も決定しています。今回開発された電動化技術については大型船舶への段階的な応用も検討するほか、「e-Crea」の運航データは、2026年12月に竣工予定の電気推進タグボートに活用するとしています。
乗りものニュース編集部",[],[]
京急が「日本を代表する玄関口」の開発に本格着手！駅西口の“巨大複合施設”ついに着工（乗りものニュース）,https://news.yahoo.co.jp/articles/18e5b44ce4f9fca0b050825d4a7d9b91c0ef10ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00551153-norimono-000-1-view.jpg?exp=10800,2025-05-28T15:12:00+09:00,2025-05-28T15:12:00+09:00,乗りものニュース,norimono,乗りものニュース,576,"品川駅西口駅前の巨大ビルが5月31日に着工
京急の車両（画像：写真AC）
京急電鉄は2025年5月27日、品川駅周辺を開発する「京急品川開発プロジェクト」を本格始動し、今月31日に「（仮称）品川駅西口地区A地区新築計画」を着工すると発表しました。
【地図】そこか！ココが品川駅西口「巨大再開発ビル」の位置＆完成イメージです
計画地は品川駅西口駅前で、かつて複合商業施設「品川グース」があった敷地です。ここにオフィスや商業、ホテル、MICE（カンファレンス、多目的ホール）などが入る複合施設を建設するとしています。

　品川駅は羽田空港に近く、将来的にはリニア中央新幹線の起点となるなど、日本を代表する玄関口としての役割を担うことが見込まれています。京急電鉄は品川エリアの将来像を「こころと世界を動かすつながりの湊」と定めています。

「（仮称）品川駅西口地区A地区新築計画」には、トヨタ自動車も参画しており、建物内のオフィスの一部を取得し、新たな東京本社とする予定。ソフトウェアやAIといった知能化などに関わる開発拠点として、オープンかつフラットなコミュニケーションを可能とするレイアウトを整備するとしています。

　施設の規模は、地上29階地下4階建て延べ31万1802平方メートル、高152m。2029年に竣工する予定です。
乗りものニュース編集部",[],[]
高速道路「新・深夜割引」延期へ 7月頃からの運用開始は“困難” システム整備中断（乗りものニュース）,https://news.yahoo.co.jp/articles/2703ab17bc100c10973f2af1e84a7c75465f824d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00551432-norimono-000-4-view.jpg?exp=10800,2025-05-28T14:13:00+09:00,2025-05-28T15:40:52+09:00,乗りものニュース,norimono,乗りものニュース,750,"ETC障害を機に新・深夜割引のシステム整備も停止
新たな深夜割引の導入が延期される。写真はイメージ（中島みなみ撮影）。
NEXCO3社は2025年5月28日、7月頃から実施を予定する「新・深夜割引」について、運用開始は困難という見方を示しました。NEXCO西日本の本社で3社がそろって会見しました。
【複雑すぎるわ!!!】これが延期された「新・深夜割引」の概要です（画像）
3社が7月に実施を予定する「新・深夜割引」は、入口料金所直前やSA/PA付近で割引待ちをする車両の解消を狙ったものでした。

　従来の深夜割引は、対象となる高速道路を割引時間帯（0時～4時）に少しでも利用することで、割引時間帯以外に走った走行分も割引対象になっていました。新・深夜割引は対象時間帯を22時～翌5時に拡大する一方で、その時間帯に走行した距離だけ割引が適用されるように改定する予定でした。

　車両が割引時間帯に何キロ走っていたかを把握するためには、約60kmごとに設置された路側アンテナで走行履歴を車両ごとに収集し、アンテナ間の通過時間で走行スピードを計算して、実走行距離に近い走行距離を推計する必要がありました。旧来の何倍ものデータ処理が、大きな課題となっていました。

　4月にNEXCO中日本の道路で発生した大規模なETC障害では、当初、同社は新・深夜割引のシステム更新を原因として疑っていました。結果的にはそれが原因ではなかったのですが、背景には新・深夜割引のデータ処理の課題があります。

　ETCシステム障害の発生をきっかけに、新・深夜割引のシステム整備は中断しています。現状での再開は見込めず、改めて実施の日程を精査するため、新・深夜割引の運用開始時期の見通しは不明としました。
中島みなみ（記者）",[],[]
重々しく鈍い振動…米沿岸警備隊 2年前に圧壊した潜水艇が“潰れた瞬間”の音を公開 タイタニック号探索中の事故（乗りものニュース）,https://news.yahoo.co.jp/articles/b97eefaaf54815d75f7b9ea01ba7a174a8394f52,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00551261-norimono-000-2-view.jpg?exp=10800,2025-05-28T11:42:00+09:00,2025-05-28T13:02:51+09:00,乗りものニュース,norimono,乗りものニュース,593,"動画開始から24秒で鈍い音が…
かつてオーシャンゲート・エクスペディションズがネットで公開していた潜水艇の映像（画像：オーシャンゲート・エクスペディションズ）
アメリカ沿岸警備隊は2025年5月22日、タイタニック号の探索ツアー中に事故を起こした潜水艇「タイタン」が、破砕した瞬間とされる音を公開しました。
【動画】た、確かに24秒に「ボンッ」と音が…これが「タイタン」が爆縮した音です
この事故は、2023年6月18日、沈没したタイタニック号の残がいが眠る、水深約4000mまで潜る途中に発生しました。水圧により、潜水艇は一瞬で圧壊。潜水艇の操縦士で、運営会社のオーシャンゲート・エクスペディションズのCEOである、ストックトン・ラッシュ氏を含む5人が死亡しました。事故原因は、船体の構造設計上の問題や、使用素材の強度不足などが指摘されています。

　公開された動画では、潜水艇の状態を海上でチェックするチームの様子が映っていますが、動画開始から24秒のところで、鈍い爆発音のようなものが聞こえます。その後、チームのメンバーでラッシュCEOの妻でもあるウェンディ・ラッシュ氏が「あの爆発音は何？」とほかのメンバーに聞く場面があります。

　沿岸警備隊はこの音こそ「タイタン」が水圧に耐えられず、一瞬で潰され爆縮した音が海面に到達した瞬間であると発表しています。
乗りものニュース編集部",[],[]
JALの「メモリアルな現・国際線フラッグシップ」がついにラストフライト！ 長～い胴体が特徴…”最後の旅”の様子は？（乗りものニュース）,https://news.yahoo.co.jp/articles/3244061e13f0ed7a17e4858c6102f2d70e56a93e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00551223-norimono-000-1-view.jpg?exp=10800,2025-05-28T11:12:00+09:00,2025-05-28T11:12:00+09:00,乗りものニュース,norimono,乗りものニュース,969,"明日の上海便がラストに
JALのボーイング777-300ER「JA731J」定期便ラストフライトの様子（画像：JAL）。
JAL（日本航空）のボーイング777-300ER「JA731J」が、2025年5月27日に定期便ラストフライトを迎えました。777-300ERはJALのこれまでの長距離国際線主力機で、JA731Jは同型式におけるJALへの導入初号機でした。最終便はが27日のJL80便（上海浦東→羽田）で、同日13時ごろ、羽田空港へ到着しています。
【写真】まだキレイ！これが「JALのメモリアルな旧・国際線フラッグシップ」全貌です
JA731Jは2004年6月15日にJALへ受領され、2004年7月1日の成田ーシンガポール線で定期便デビュー。そののち、長らく長距離国際線をはじめ、さまざまな路線へ投入されてきました。JALによると5月26日時点における飛行時間は約8万7610.85時間、飛行回数に相当する「サイクル数」は1万604回にものぼるとのことです。

　JALでは777-300ERのほかに姉妹機である777-200、777-300、777-200ER、合計4タイプのボーイング777シリーズを運用してきましたが、2025年5月現在、-300ER以外の機種は退役済みです。-300ERは777シリーズの初期タイプだった-200から胴体延長と航続距離の延伸が図られたモデルで、75m近い胴体長と1万4000kmを超える航続距離を持っています。なお、777-300ERのJALからの退役は、このJA731Jが2機目となります。同社では777-300ERの後継機として、2024年から「エアバスA350-1000」の導入を開始。JA731Jの導入も、これに伴ったものです。なお後継となるA350-1000は全クラスで客室の刷新が図られており、将来的には13機体制となる予定です。

　最終便には137人の乗客が搭乗。羽田到着時には、パイロットや整備士、777運航乗員部業務企画職など約30名の社員が「JA371J」の出迎えを実施しました。最終便を担当したパイロットは「ラストということに意識をすることなく、通常通りを心掛けた。大きな揺れもなく、安全に何事もなく到着できよかった」とコメントしています。
乗りものニュース編集部",[],[]
「1年で6月だけ運行する最長路線バス」に異変 今年はのりばが“途中で”変わる!? 小田急バス（乗りものニュース）,https://news.yahoo.co.jp/articles/a731327711f6c53a592c08f67ac77ed578bb9492,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250528-00551101-norimono-000-2-view.jpg?exp=10800,2025-05-28T10:42:00+09:00,2025-05-29T01:13:49+09:00,乗りものニュース,norimono,乗りものニュース,579,"今年も運行「新宿－よみうりランド」の小田急
小田急バス（画像：小田急バス）。
小田急バスは2025年5月20日、「新宿駅西口～よみうりランド」系統を今年も6月の日曜のみ運行すると発表しました。ただ、今年は“大きな異変”があります。
【え…！】激レアバス「よみうりランド行き」の新しい乗り場（地図）
同系統の運行距離は約20kmあり、小田急バスグループの一般路線としては最長です。毎年、6月の日曜日のみ1往復運行され、新宿駅西口35番のりばを9時に、よみうりランド3番のりばを10時40分に発車します。近年は小田急バスのグループ会社、小田急ハイウェイバスが運行しています。

　ただし、今年は6月21日（土）から新宿駅西口の小田急バスののりばが移転します。小田急ハルク前の35番のりばから大きく変わり、旧スバルビルから中央通りを挟んだ26番のりばへ、距離にして200mほど移転するので要注意です。

　よみうりランド系統では、6月22日（日）と29日（日）の運行分が26番のりばからの発車となります。このほか、35番のりばに発着する「宿44」新宿駅西口～吉祥寺駅中央口（休日1往復のみ）なども26番へ移転します。

　バス停の移転は新宿駅西口の再開発にともなう道路整備の一環。なお、35番のりばには、都営バスの一部系統が移転してきます。
乗りものニュース編集部",[],[]
