headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【速報】「すべての朝日社員に死刑を言いわたす」３８年前の阪神支局襲撃事件の犯行声明引用した脅迫文　“令和赤報隊”代表名乗る38歳男を逮捕（読売テレビ）,https://news.yahoo.co.jp/articles/e854d1024f5cd611a8a1096aa75399b987e167a8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-09635383-ytv-000-6-view.jpg?exp=10800,2025-06-03T21:47:00+09:00,2025-06-03T22:40:29+09:00,読売テレビ,ytv,読売テレビ,619,"朝日新聞阪神支局（兵庫・西宮市）
「令和赤報隊」の代表を名乗り、38年前に起きた「朝日新聞阪神支局襲撃事件」の犯行声明を引用した脅迫文を兵庫県西宮市の朝日新聞阪神支局に送付したとして、兵庫県警は3日、静岡県に住む38歳の男を逮捕したと発表しました。

　脅迫と威力業務妨害の疑いで逮捕されたのは、静岡県富士市に住む会社員の武藤和宏容疑者（38）です。

　武藤容疑者は今年5月、「令和赤報隊」代表を名乗り、1987年5月に起きた朝日新聞阪神支局襲撃事件の犯行声明を引用した脅迫文などが入った段ボールを同阪神支局に送付して脅迫するとともに、業務を妨害した疑いがもたれています。
1987年に発生した阪神支局襲撃事件
朝日新聞阪神支局襲撃事件は、1987年5月3日の「憲法記念日」の夜、目出し帽をかぶった男が散弾銃を発砲。小尻知博記者（当時29）が死亡し、別の記者も重傷を負いましたが、事件は未解決のまま時効が成立しています。

　兵庫県警によりますと、送付された段ボールには、「すべての朝日社員に死刑を言いわたす」「反日分子には極刑あるのみ」などと当時の犯行声明を引用した脅迫文やおもちゃの銃などが入っていたということです。
殺害された小尻知博記者
この段ボールを発送した人物を捜査した結果、武藤容疑者が浮上したということです。

　兵庫県警は武藤容疑者の認否を明らかにしていませんが、段ボールを送付した動機や経緯などを詳しく調べています。",[],[]
大阪・忠岡町の前町長を官製談合防止法違反で在宅起訴　入札情報を複数の業者に漏らした罪　大阪地検（読売テレビ）,https://news.yahoo.co.jp/articles/26067242b5dfeda9064219cc682f45c9bac1c508,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-07537359-ytv-000-4-view.jpg?exp=10800,2025-06-03T19:40:01+09:00,2025-06-03T22:06:27+09:00,読売テレビ,ytv,読売テレビ,368,"読売テレビニュース
大阪府忠岡町が発注した工事について入札情報を業者に事前に漏らし落札させた罪で、大阪地検は前町長を在宅起訴したことが分かりました。処分は5月27日付。

　官製談合防止法違反などの罪で在宅起訴されたのは、忠岡町前町長の杉原健士被告（64）です。

　起訴状などによりますと、杉原被告は町長在任中だった去年7月と12月に、道路の舗装工事など計4件の工事の指名競争入札に関して、最低制限価格などの情報を複数の建設会社に事前に漏らし、そのうち3件を落札させた罪に問われています。

　警察が今年3月に書類送検した際、杉原被告が容疑を認めているかどうか明らかにしませんでしたが、杉原被告は報道陣の取材に対して「入札が成立しなかった案件があり焦りがあった。金銭の授受や接待は一切なかった」と話し、その後、町長を辞職していました。",[],[]
児童8人殺害「池田小事件」まもなく24年　小学校で不審者対応訓練「不審者いたら通報を」大阪府警（読売テレビ）,https://news.yahoo.co.jp/articles/b60d4b8e3b7a528bded50bbb47e217daa08c2bbf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-06288194-ytv-000-3-view.jpg?exp=10800,2025-06-03T19:05:00+09:00,2025-06-03T22:03:26+09:00,読売テレビ,ytv,読売テレビ,436,"読売テレビニュース
大阪教育大学附属池田小学校に刃物を持った男が侵入して児童8人の命が奪われた事件からまもなく24年となるのを前に、大阪市内の小学校では3日、不審者が侵入した場合に備えた訓練が行われました。

　大阪市北区の小学校で行われた訓練には、教員や大阪府警の警察官、地域のボランティアら約40人が参加しました。

　24年前の2001年6月8日、大阪教育大学附属池田小学校（池田市）で起きた事件では、刃物を持った男が校門から侵入し、児童8人を殺害、15人を負傷させました。

　訓練では、刃物を持った不審者が校内に侵入したという想定で、教員たちが制圧する手順を確認したほか、警察官によるさすまたの使い方の指導などが行われました。

　また、学校前では児童が下校する時間に合わせて見守り活動が行われていて、大阪府警は「今後も子供たちが安心して過ごせるように見守り活動や訓練を継続していきたい」とした上で、「少しでも不審な人がいたら警察に通報してほしい」としています。",[],[]
「必要な議会根回し、漏洩には当たらない」片山元副知事が反論　元局長の私的情報漏洩問題　兵庫県（読売テレビ）,https://news.yahoo.co.jp/articles/d734165d5e721c383a50fe426a4fcd7c7772a9ca,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-01593532-ytv-000-2-thumb.jpg?exp=10800,2025-06-03T18:55:01+09:00,2025-06-03T19:02:26+09:00,読売テレビ,ytv,読売テレビ,335,"読売テレビ
兵庫県の情報漏洩問題をめぐり、片山安孝元副知事は3日、「漏洩には当たらず、必要な議会根回しだ」などと反論しました。

　斎藤元彦知事の疑惑を告発した元局長の私的な情報が漏洩した問題をめぐり、県の第三者委員会は、井ノ本知明元総務部長が県議会議員3人に漏洩したと結論付けています。

　片山安孝元副知事は3日、コメントを発表し、「必要かつ相当な範囲の議会根回しで、総務部長の適正な業務であり、漏洩には当たらない」と反論しました。

　その上で、「『漏洩』という以上、『広く一般に知らしめる行為』だったのか検証が必要だ」と指摘しています。

　一方、元総務部長の懲戒処分については、「元総務部長の行為は何ら問題がなく、不服申し立ては当然と考えている」としています。",[],[]
斎藤知事の給与『50％カット』条例案検討　私的情報漏洩問題　一部会派は反対「辞職する以外にない」兵庫（読売テレビ）,https://news.yahoo.co.jp/articles/a19570b77ed416dff3dc573932dddca481c4d78e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-09599619-ytv-000-2-thumb.jpg?exp=10800,2025-06-03T18:53:00+09:00,2025-06-03T19:05:33+09:00,読売テレビ,ytv,読売テレビ,700,"読売テレビ
兵庫県の情報漏洩（ろうえい）問題で、斎藤元彦知事側が給与カットを50％に引き上げる条例案を示していることが分かりました。一部の会派は反対する姿勢を見せています。

　兵庫県・斎藤元彦知事
「県政に対する信頼を損なうものであり、保有文書を適正に管理すべき立場にある県として、 県民の皆様、そして元県民局長とそのご家族、 関係者の方々に深くおわび申し上げます」

　3日午前11時、兵庫県議会の定例会が開会し、斎藤知事は冒頭、淡々と謝罪しました。

　知事の疑惑を告発した元県民局長の私的情報を、知事の“側近”の職員が議員3人に漏洩した問題では、第三者委員会が「知事らが漏洩を指示した可能性が高い」と結論付けました。
　知事はこれを否定していますが、責任を取るとして、7月から3か月間、給与を現状の「3割カット」から「5割カット」に引き上げる条例案を検討していることを明らかにしました。

　兵庫県・斎藤元彦知事
「情報管理がきちんとできていなかった。そこは私自身も組織の長として責任を感じてます」

　これに対し、最大会派の自民や維新などは態度を明らかにしていませんが、第4会派で立憲系の「ひょうご県民連合」は「知事の辞職が相当だ」として反対する姿勢です。

　ひょうご県民連合・上野英一幹事長
「給与カットではすまない状態にあるのではないかなと。知事が辞職する以外ないと、この県政の混乱をおさめるには」

　情報漏洩問題を巡っては、自民、維新、公明、県民連合の4会派が3日、漏洩を指摘された当時の井ノ本知明総務部長を守秘義務違反の疑いで刑事告発するよう、県に求めたことを明らかにしました。",[],[]
「人が上がれる形」で「200ｍ残す」案検討　万博閉幕後の大屋根リング　費用は開発事業者の負担想定（読売テレビ）,https://news.yahoo.co.jp/articles/c64d48ef44e29811ff4cbb018ba1d3b02bb75908,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-04362221-ytv-000-2-thumb.jpg?exp=10800,2025-06-03T18:50:01+09:00,2025-06-03T19:00:26+09:00,読売テレビ,ytv,読売テレビ,461,"読売テレビ
万博のシンボル「大屋根リング」について、閉幕後も北東部分の200mを「人が上がれる形」で残す案が示されました。

　1周約2キロの大屋根リングを巡っては、閉幕後の活用方法について、北東部分の200mをモニュメントとして残す案や、南側の600mをそのまま残す案が検討されてきました。

　万博協会（日本国際博覧会協会）は3日、検討会を開き、大阪府と大阪市が、北東部分の200メートルを「人が上がれる形」で残す案を新たに提示したということです。費用は、跡地開発を行う事業者が負担する想定です。

　 さらに、この案が実現しなかった場合に備えて、南側の600メートルのうち350メートルを残す案も提示しました。

　大阪府・吉村洋文知事
「いまの万博でみなさんが見ている景色と同じ景色を見られることが、すごく大切だと思う」

　万博協会は、6月23日の理事会までに、残す部分や管理する主体などを決定したいとしていますが、吉村知事は「全てを決定する必要はなく、もう少し時間をかけて議論すべき」とする見解を示しています。",[],[]
安値で再放出も？前大臣が放出の備蓄米を政府が買い戻し検討　小泉農水相「需要があれば全部出す」（読売テレビ）,https://news.yahoo.co.jp/articles/aacc1a280c6aa6cb4ba72b0dd34c1c66ccc5f1b8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-07227148-ytv-000-2-thumb.jpg?exp=10800,2025-06-03T18:25:00+09:00,2025-06-03T18:31:27+09:00,読売テレビ,ytv,読売テレビ,1079,"読売テレビ
小泉進次郎農水大臣は、前の大臣が放出した備蓄米について一度、買い戻したうえで、随意契約により安値で再放出することを検討していると明らかにしました。一体、何が起きているのでしょうか。

　3日、クールビズ期間に合わせ、かりゆしウエアで姿を見せた小泉農水大臣。

　小泉農水相
「随意契約の備蓄米も含めて、需要があれば全部出すと。扱いに困 っているところがあれば、遠慮なくお申し出をいただいて、次なる展開へと使っていきたい」

　涼しげな姿とは裏腹に熱く語ったのは、前の江藤拓大臣が放出した備蓄米について。競争入札で放出した”江藤米”が、随意契約で出した”小泉米”より店頭価格が高いことから、小売店での取引のキャンセルも起きているというのです。

　これについて、小泉大臣は業者側から申し出があれば“江藤米”を買い戻し、“小泉米”として随意契約により安値で再放出することも「選択肢だ」と述べました。

　小泉農水相
「できる限りスピードを重視して取り組ませていただいているのは、申し上げている通りです」

　就任以来、スピード重視で奔走してきた“コメ担当大臣”。

　2日発表されたのは、最新のコメの平均価格。5キロあたり4260円と前の週より25円値下がりしました。この時期は江藤前農水大臣から小泉農水大臣へ交代するタイミングでした。

　また、5月30日から始まった中小のスーパーなどが対象の随意契約については、2日間で1500件の申し込みが。その中の一社、ローソンでは…。

　ローソン・竹増貞信社長
「入荷後、最短3日で店舗展開を始めたい」

　全国の店舗で2キロ税込み756円と、1キロ税込み389円で販売することを発表しました。

　さらに、兵庫県で68店舗を展開するスーパー・マルアイは。

　マルアイ・山本達也店舗運営部長
「明日より、マルアイ全店68店舗で開店の9時から（備蓄米を）販売します。少しでもお安くできるように、関係者一同精一杯努力した価格です」

　5キロで2111円。急きょ作成した袋に詰められた備蓄米が、4日から販売されることが発表されました。

　備蓄米が関西にも行きわたる日は来るのでしょうか。石破茂首相は5日、コメ対策などをめぐり関係閣僚会議を立ち上げる予定です。
読売テレビニュース
◆◆◆◆◆

（黒木千晶キャスター）
　昨日2日、コメの平均価格が出ました。3週間ぶりに下がりまして、4260円（5Kgあたり）。
　
　そしてコメの価格なんですが、西日本の方が高く、東日本の方が低いという傾向がわかります。",[],[]
【近畿の天気】あす4日（水）の天気　各地で晴れ予想　最低気温は今日と同じくらいのところが多い予想（読売テレビ）,https://news.yahoo.co.jp/articles/8151f9ab797426f72a53148d206e4a291877f663,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-09657192-ytv-000-4-thumb.jpg?exp=10800,2025-06-03T18:18:01+09:00,2025-06-03T18:59:26+09:00,読売テレビ,ytv,読売テレビ,40,"読売テレビ
あす4日（水）の近畿地方の天気です。詳しくは天気動画をご覧ください。",[],[]
「安心であると訴えていきたい」大阪市が水道管の緊急点検　城東区で59年前の水道管破損し道路冠水（読売テレビ）,https://news.yahoo.co.jp/articles/844586870d84608a38c040f8906830d8c9c4ef6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-01145475-ytv-000-2-thumb.jpg?exp=10800,2025-06-03T18:15:00+09:00,2025-06-03T18:48:26+09:00,読売テレビ,ytv,読売テレビ,338,"読売テレビ
5月、大阪市城東区で水道管が破損し道路などが冠水したことを受け、大阪市は3日から緊急点検を始めました。

　5月10日、大阪市城東区で、59年前に設置された水道管が破損し、周辺の道路が冠水しました。

　大阪市はこれまでも水道管の調査を行っていましたが、城東区での事故を受け、3日から範囲を拡大し、緊急の点検を始めました。城東区で破損したものと同じ材質で、設置から59年以上が経過した水道管を対象に、専用の機器を使用するなどして水漏れの確認が行われます。

　大阪市水道局・安部進さん
「他都市を含め、水道管の漏水は大きな話題になっている。できるだけ早く調査を終わらせて、みなさまに安心であると訴えていきたい」

　市は、6月末までに調査を完了したいとしています。",[],[]
【速報】告発者の“私的情報”漏洩めぐり自民・維新など4会派が元総務部長『刑事告発』を県に申し入れ（読売テレビ）,https://news.yahoo.co.jp/articles/be769c773efad6898b37c305ed5f002efdf0ac76,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250603-05885183-ytv-000-3-view.jpg?exp=10800,2025-06-03T18:12:01+09:00,2025-06-03T18:20:26+09:00,読売テレビ,ytv,読売テレビ,569,"読売テレビニュース
斎藤知事の疑惑を告発した元県民局長の“私的情報”を井ノ本知明元総務部長が県議らに漏洩した問題をめぐり、兵庫県議会の自民・維新・公明・ひょうご県民連合の主要4会派が3日、井ノ本氏を刑事告発するよう県に申し入れたことが分かりました。

　第三者委員会の報告書では、井ノ本氏が県議3人に対し、“私的情報”を一部を紙に印刷して見せ、一部を口頭で述べるなどしたと認定した上で、「漏洩は知事や元副知事の指示のもとに行われた可能性が高い」と指摘しています。

　県は井ノ本氏を停職3か月の懲戒処分にする一方で、停職によって経済的な制裁を受けていることや、知事から指示を受けたと認識していることなどを理由に「刑事告発はしない」としています。

　これに対し、斎藤知事は「漏洩に関して何か指示をしたことはない」と否定し続け、漏洩は元総務部長の判断であると主張しています。

　元総務部長と知事の意見が食い違うなか、複数の県議から「事実関係を明らかにするためにも、刑事告発を県に要請すべき」との意見が挙がり、自民・維新・公明の3会派が30日にも非公開で協議を行っていました。

　自民県議団の谷口俊介幹事長は3日、自民・維新・公明・ひょうご県民連合の4会派で、井ノ本氏を刑事告発するよう申し入れる書面を県側に渡したことを明らかにしました。",[],[]
