headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
＜伊織もえ＞ち、近い！　水着ショット公開　くびれも　「最高傑作」「壁紙にしたい」の声（MANTANWEB）,https://news.yahoo.co.jp/articles/a132967953842d27e3bac9536c0b0300530d25e8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000077-mantan-000-1-view.jpg?exp=10800,2025-06-05T23:01:00+09:00,2025-06-05T23:01:00+09:00,MANTANWEB,mantan,MANTANWEB,201,"伊織もえさん
人気コスプレーヤーの伊織もえさんが自身のX（@iorimoe_five）で、水着姿の写真を公開した。
【写真特集】伊織もえ、美しいくびれ　服を脱いで水着に　ドキッ！
伊織さんは「
#きゅるん
#至近画角
」とつづり、黄色のセパレート水着姿のバストアップの写真を投稿。美しいくびれを披露した。
Xで「ち、近い！！　好き！」「最高傑作」「壁紙にしたい」「可愛すぎます」などと話題になっている。",[],[]
＜夫よ、死んでくれないか＞「怖い」「不穏しかない」　正体不明の“千田”久保田悠来の不気味な笑みに視聴者騒然（ネタバレあり）（MANTANWEB）,https://news.yahoo.co.jp/articles/d09817488ef20397d5cb441dcddf8425383df854,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000076-mantan-000-1-view.jpg?exp=10800,2025-06-05T22:31:00+09:00,2025-06-05T22:31:00+09:00,MANTANWEB,mantan,MANTANWEB,705,"連続ドラマ「夫よ、死んでくれないか」第9話の一場面　（C）「夫よ、死んでくれないか」製作委員会
安達祐実さん、相武紗季さん、磯山さやかさんがトリプル主演を務めるテレビ東京の連続ドラマ「夫よ、死んでくれないか」（月曜午後11時6分）の第9話が6月2日に放送された。同話では、麻矢（安達さん）が行きつけのバーで知り合った謎の男・千田（久保田悠来さん）とバッティングセンターで話すシーンがあり、麻矢と別れた後の千田の表情がSNSで反響を呼んだ。
【写真特集】謎の男“千田”久保田悠来が登場！　第9話を場面写真で振り返る
◇以下、ネタバレがあります。
第9話は、夫・光博（竹財輝之助さん）の不倫相手を友里香（磯山さん）だと疑う麻矢は、警察に調査を依頼する。だが、それがきっかけで友里香の夫・哲也（塚本高史さん）殺害のためのSNSでの偽装工作が警察にバレることになる。
その後、仕事を終えてからバッティングセンターに行った麻矢は、そこで再び謎の男、千田と出会い……と展開した。
麻矢は千田に「もう全部放り出して逃げ出したいな」と愚痴をこぼす。すると千田は、「逃げる、か……できるのかな」と返答。続けて「逃げても、なかったことにはならないからね。いつか痛い目にあう」と告げる。
その後、千田とバッティングセンターを出た麻矢は、別れ際に千田から腕をつかまれる。だが麻矢が「ごめんなさい……さようなら」と告げて一人で歩き出すと、その後ろ姿を見ていた千田は不気味な薄笑いを浮かべるのだった。
SNSでは、千田の薄笑いについて、「なになに怖い！」「ニヤってした」「怖いよー！千田さん！」「不穏しかないよ」などのコメントが上がった。",[],[]
＜魔物＞第7話のあらすじ公開　“凍也”塩野瑛久が釈放　“あやめ”麻生久美子の身辺で嫌がらせ（MANTANWEB）,https://news.yahoo.co.jp/articles/2dab506cbbdb25f30bbf48c8a005adeed346ff65,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000075-mantan-000-1-view.jpg?exp=10800,2025-06-05T22:25:00+09:00,2025-06-05T22:25:00+09:00,MANTANWEB,mantan,MANTANWEB,697,"ドラマ「魔物」第7話の一場面 （C）テレビ朝日・SLL
俳優の麻生久美子さん主演の連続ドラマ「魔物」（テレビ朝日系、金曜午後11時15分※一部地域を除く）。6月6日放送の第7話のあらすじと場面写真が公開された。
【写真特集】復讐の日々に怯える“あやめ”麻生久美子　“凍也”塩野瑛久は妻と一緒に！？　第7話先行カット公開
華陣あやめ（麻生さん）と源夏音（北香那さん）の共謀で、源凍也（塩野瑛久さん）は傷害容疑で逮捕される。
心の痛みを押し殺し、一緒に暮らしていた部屋から凍也との思い出の品を捨て始めたあやめ。彼の痕跡を消し、再スタートを切ろうとした矢先、刑事の金原（うらじぬのさん）から凍也釈放の連絡が。夫は心から反省している、と夏音が被害届を取り下げたのだ。
あやめが問いただすと、夏音は「私、人を殺したんです」と意外な言葉を口にする。凍也と夏音を特別な絆で結び付けた、高校時代の秘密がついに明らかになる。
凍也は「あいつらのせいで俺の人生はめちゃくちゃにされた」と、あやめや夏音、最上陽子（神野三鈴さん）への怒りを増幅させていた。
やがてあやめの身辺では不審な嫌がらせが繰り返される。オフィスに気味の悪い花が届いたり、マンションの室内が荒らされたり、愛し合ったはずの日々は一転、あやめは凍也からのしつこい復讐（ふくしゅう）におびえる。そして、ついに“その日”が。凍也は静かな狂気をはらんで、姿を現し……。
脚本は関えり香さん。「梨泰院クラス」など世界的ヒット作を生み出してきた韓国のSLLとテレビ朝日の共同制作。孤高の弁護士あやめが、殺人事件の容疑者・凍也と禁断の愛に落ちるラブサスペンスだ。",[],[]
＜続・続・最後から二番目の恋＞「三井さん、結婚して」　“千明”小泉今日子の告白が話題　「私とも結婚して」（ネタバレあり）（MANTANWEB）,https://news.yahoo.co.jp/articles/aeeac3f23ed58819b61cd542f0ca8d365ec64e99,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000074-mantan-000-1-view.jpg?exp=10800,2025-06-05T22:21:00+09:00,2025-06-05T22:21:00+09:00,MANTANWEB,mantan,MANTANWEB,802,"ドラマ「続・続・最後から二番目の恋」の一場面　（C）フジテレビ
小泉今日子さん、中井貴一さんダブル主演のフジテレビ系“月9”ドラマ「続・続・最後から二番目の恋」（月曜午後9時）の第8話が6月2日に放送された。千明（小泉さん）が、ベテランアシスタントプロデューサーの“三井さん”（久保田磨希さん）に「結婚して」と伝える場面があり、視聴者の話題となった。
【写真特集】“典子”飯島直子の入浴シーンが話題に　「オーラありすぎ」「きれい」
◇以下、ネタバレがあります
いつもと様子が違う千明に「何かつまらなそうな顔、してますね」と声をかけた三井。「まあね、いろいろあるのよね」と弱々しい千明に、三井は「もちろん、プライベートなこととか、つらいことはたくさんあります。でも、今の千明さんの顔でスタッフルームには入ってきてほしくないな」と指摘した。
さらに「あそこに入るときはドラマのことだけを考えて、嫌なことがあってもネタにして、みんなで笑い飛ばす。だから面白いものができる。これ、あなたの言葉です、千明さん」と明言。千明の過去の物言いを繰り返し「そこに千明さんのそんな顔で入ってきてほしくないです」と伝えた。
「悔しいくらいにそのとおり」と認めた千明は「いつもありがとね、三井さん。私のこと、ちゃんと見ててくれて」と感謝。三井に背中を叩いてもらい、気合いを入れてもらった千明は「三井さん、結婚して」と告白。三井は「残念ながら人妻でございます」と返し、千明と笑い合った。
SNS上では「三井さん、私も結婚してほしー」「三井さんすてきすぎて私とも結婚して欲しい」「三井さんの気合い入れ。やってほしい！」「『三井さん、結婚して』は名言w」「三井さんみたいにずっと自分を見てくれている人がいる千明は本当に幸せだと思う」「言える三井さんもつよいけど、後輩とそういう関係性をつくれる千明さんもさすが」などのコメントが並んだ。",[],[]
＜小栗旬＞ファン2万人集めた“大運動会”の舞台裏とリーダーぶり　“兄貴分”窪塚洋介だけが知る素顔も　「あさイチ」で（MANTANWEB）,https://news.yahoo.co.jp/articles/f353ecdee063abbba294481ee670a724780f9a25,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000073-mantan-000-1-view.jpg?exp=10800,2025-06-05T22:12:00+09:00,2025-06-05T22:12:00+09:00,MANTANWEB,mantan,MANTANWEB,290,"6月6日放送の「あさイチ」に出演する小栗旬さん （C）NHK
俳優の小栗旬さんが、6月6日午前8時15分から放送のNHKの朝の情報番組「あさイチ」（総合）に出演する。2万人のファンを集めた小栗さん主導の“大運動会”の舞台裏や、後輩俳優たちも口をそろえるリーダーぶりに迫る。
【写真特集】美男美女！　小栗旬＆山田優　夫婦そろってスタイルも抜群！！
小栗さんは、金曜恒例の「プレミアムトーク」のゲストとして登場する。
番組には、6月13日に公開される主演映画「フロントライン」で、26年ぶりに共演した窪塚洋介さんもVTR出演。兄貴分と慕う窪塚さんだけが知る小栗さんの素顔が明かされる。",[],[]
＜あなたを奪ったその日から＞「目を離さないで！」“紘海”北川景子の怒りの言葉に視聴者「刺さる」「かっこいい」（ネタバレあり）（MANTANWEB）,https://news.yahoo.co.jp/articles/03878d6f7b2daf12ba73a9e371fb3f809fc73c9b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000072-mantan-000-1-view.jpg?exp=10800,2025-06-05T22:11:00+09:00,2025-06-05T22:11:00+09:00,MANTANWEB,mantan,MANTANWEB,1107,"連続ドラマ「あなたを奪ったその日から」第7話の一場面＝カンテレ提供
俳優の北川景子さんが主演を務める連続ドラマ「あなたを奪ったその日から」（カンテレ・フジテレビ系、月曜午後10時）の第7話が6月2日に放送された。同話では、紘海（北川さん）が子供から目を離した親に向かって感情を露わにする姿が描かれ、SNSで反響を呼んだ。
【写真特集】“紘海”北川景子が“梨々子”平祐奈に接近！　第7話場面写真
◇以下、ネタバレがあります。
第7話は、紘海が仇（かたき）である結城旭（大森南朋さん）のもとで働いていることが、砂羽（仁村紗和さん）に知られてしまう。紘海は、砂羽が週刊誌の記者だと知り、彼女の態度から自分の正体がバレたことを察して警戒する。紘海の真意を知りたい砂羽は、帰宅する紘海をひそかに尾行する。
そんな中、スーパーの関西進出を果たすことになった旭のもとに、クライアントの藤田正臣（大門正明さん）がやって来る。藤田との関係をより強固なものにしたい木戸（中原丈雄さん）と旭は、家族も東京へ旅行に来ているという藤田を葉山の別荘に誘う。木戸からホームパーティーの準備を一任された旭は、梨々子（平祐奈さん）に手伝ってほしいと頼む。
一方、紘海は、砂羽から旭が元部下の鷲尾（水澤紳吾さん）に500万円の口止め料を支払っていたと聞かされる。事故当時、玖村（阿部亮平さん）が目撃した2人の言い争いの際に梨々子も家にいたことに気づいた紘海は、望月（筒井道隆さん）に頼んでホームパーティーに参加させてもらうことになる。そしてホームパーティーの最中、母親（岡本玲さん）が目を離したすきに、藤田の孫が誰もいない部屋でぶどうをのどに詰まらせてしまい………と展開した。
駆けつけた紘海は、子供の苦しむ姿を見て娘の灯（石原朱馬ちゃん）を失った時の記憶がよみがえり、あわてて駆け寄って処置をする。子供は危機を脱するが、紘海は子供の泣き声を聞いてその場にやって来た母親に「どうして……どうして目を離すんですか！　目を離さないで！」と怒りをぶつけた。
さらに紘海は、そこまで怒る必要はないと言う藤田に「誤嚥（ごえん）が、命に関わることだってあるんです！」と返答。そしてなおも「説教でっか？」と言う藤田に、「ちょっとの油断で、一生悔やむことだってあるんです。ある日突然、大事なものを失ってしまうことだってあるんです、後悔しても遅いんです！」と声を震わせながら語った。
SNSでは、紘海の怒りの言葉を称賛する声が続出。「紘海さんかっこいい」「紘海さんの言葉が刺さる」「言葉の重みも違うよね」「紘海さんの気持ちがあふれちゃってる」などのコメントが集まった。",[],[]
＜皆藤愛子＞超ミニスカで“太もも”輝く！　「41歳の魔性の魅力」「最高」と話題（MANTANWEB）,https://news.yahoo.co.jp/articles/c8688fcbe90644bbdb95481584bfa9e39f777081,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000071-mantan-000-1-view.jpg?exp=10800,2025-06-05T22:01:00+09:00,2025-06-05T22:01:00+09:00,MANTANWEB,mantan,MANTANWEB,274,"皆藤愛子さん
フリーアナウンサーの皆藤愛子さんが自身のインスタグラム（@aiko_kaito_official）で、超ミニ丈のスカート姿の写真を公開した。
【写真特集】皆藤愛子　太ももが！！　グラビアで魅せた！！
皆藤さんは、ファッションブランド「KANGOL reward」とコラボして、デザインや刺繍の色、ロゴなども自由にアレンジしたといい「愛情を込めて楽しく作ったのでぜひ見てみてください」とアピール。輝く太ももを披露した。
この投稿に「スカート短すぎやばい」「ふともも」「ミニ最高で～す」「41歳の魔性の魅力」といったコメントが並んでいる。",[],[]
＜なんで私が神説教＞「黙れクソガキ！」“京子”木村佳乃の“森口”伊藤淳史への一喝に視聴者喝采（ネタバレあり）（MANTANWEB）,https://news.yahoo.co.jp/articles/1f464488c7fc46bbfd393f11a5cf8fd86f4d70f8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000070-mantan-000-1-view.jpg?exp=10800,2025-06-05T21:26:00+09:00,2025-06-05T21:26:00+09:00,MANTANWEB,mantan,MANTANWEB,1016,"連続ドラマ「なんで私が神説教」第8話の一場面＝日本テレビ提供
俳優の広瀬アリスさんが主演を務める連続ドラマ「なんで私が神説教」（日本テレビ系、土曜午後9時）の第8話が5月31日に放送された。同話では、校長の京子（木村佳乃さん）が京子の責任を追及しようとする森口（伊藤淳史さん）を一喝するシーンが描かれ、SNSで反響を呼んだ。
【写真特集】“静”広瀬アリスが自身に説教！　涙も！？　第8話の場面写真
◇以下、ネタバレがあります。
第8話では、元教師・愛花（志田未来さん）は、妹の死を静（広瀬さん）のせいにして恨みを募らせていた。愛花に恨まれているとは夢にも思わない静は、教師としての自覚が芽生え、積極的に生徒と交流する。一方、先日の喫煙騒動をきっかけに保護者会の信用を失った森口は、理事長（ダンカンさん）から次期理事長就任の話を保留にされ、強制退学者リストの件も棚上げにされてしまう。腹の虫が収まらない森口は、京子を校長の椅子から引きずり下ろそうと新庄（小手伸也さん）と策を練り始める。
そんな中、愛花が2年10組の教室に突然現れ、静の前で、生徒たちに向かって「麗美静は……人殺しです」と言い放つ。静は、愛花が自殺した花恋（菅原咲月さん）の姉だと知って呆然。愛花は「私はあなたを許さない！　あなたに教師をやる資格はない！」と興奮して取り乱す。その後、会議室へ連れていかれた愛花に責められた静は、泣きながら「どうしたら許してくれますか？」と問いかけ……と展開した。
同話では、騒ぎを聞きつけた森口と新庄が会議室にやって来る。森口は、ここぞとばかりに京子の責任を追及するが、京子は「今はあなたに構っている場合じゃないの」と森口を相手にしない。そんな中、聖羅（岡崎紗絵さん）から、10組の生徒たちが静の話を聞きたがっていることが知らされ、森口は「今は麗美先生、そして校長の処分が先です」と妨害しようとするが、京子は静に生徒たちの前に行くように促す。
森口は、なおも「だめだ。これは命令だ」と阻止しようとするが、京子は「黙れクソガキ！」と大声で一喝。さらに「私は名新の校長よ！　なんであなたの命令を聞かなきゃいけないの！」と怒り、静を教室へ向かわせるのだった。
SNSでは、京子の森口への“一喝”に興奮する声が続出。「校長！　かっこいい！」「黙れクソガキ面白すぎる」「爆笑」「校長強すぎるw」「校長かっけえ……」といったコメントが並んでいた。",[],[]
＜新機動戦記ガンダムW＞ENTRY GRADE ウイングガンダム　10月発売　簡単組み立て、ハイクオリティーのガンプラ（MANTANWEB）,https://news.yahoo.co.jp/articles/585b1a52b79fe00eb7a45bc1ecef98cef2f2827e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000069-mantan-000-1-view.jpg?exp=10800,2025-06-05T21:16:00+09:00,2025-06-05T21:16:00+09:00,MANTANWEB,mantan,MANTANWEB,350,"「新機動戦記ガンダムW」のウイングガンダムのガンプラ「ENTRY GRADE 1／144 ウイングガンダム」（c）創通・サンライズ
アニメ「新機動戦記ガンダムW」に登場するウイングガンダムのガンプラ（プラモデル）が、バンダイスピリッツの「ENTRY GRADE」シリーズから「ENTRY GRADE 1／144 ウイングガンダム」が10月に発売される。1100円。
【写真特集】エントリーと侮ることなかれ　豪華ガンプラ　写真公開
簡単組み立て、ハイクオリティーの「ENTRY GRADE」シリーズのガンプラで、各種武装が付属する。ニッパーを使わず手でパチパチと簡単に外せるタッチゲート仕様。シール不要で、パーツ分割によって、組み立てるだけで色分けを再現できる。
パーツ数を抑えつつも広い可動域を誇る。",[],[]
＜あんぱん＞「うち、変わってしもうた」葛藤するのぶ　蘭子に打ち明けた本音に「とてもつらかっただろうな」「いいな姉妹って」の声（MANTANWEB）,https://news.yahoo.co.jp/articles/afb7388c754f9207b1591ff6fcb69d721e23720a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250605-00000068-mantan-000-1-view.jpg?exp=10800,2025-06-05T21:11:00+09:00,2025-06-05T21:11:00+09:00,MANTANWEB,mantan,MANTANWEB,759,"連続テレビ小説「あんぱん」第49回の一場面（C）NHK
今田美桜さん主演のNHK連続テレビ小説（朝ドラ）「あんぱん」（総合、月～土曜午前8時ほか）の第49回が6月5日に放送され、のぶ（今田さん）と蘭子（河合優実さん）のやり取りに、視聴者の注目が集まった。
【写真】「あんぱん」最新の人物相関図公開！　“大物”が新たに登場？
第49回では、のぶは兄に赤紙が届き不安がる生徒に「日本は勝ちます。お兄さんも立派にお役目を果たし、祖国の英雄となって凱旋（がいせん）されますよ」と勇ましい言葉をかける。しかし、次郎（中島歩さん）の言葉が引っかかり、心の中は震えていた。
モヤモヤした気持ちを抱えたのぶは、蘭子に「子どもらあの前では、早う戦争に勝って、終わらせましょうって、勇ましいこと言いゆうけんど、心の中は震えゆうが」「蘭子の言う通りや。うち、変わってしもうた」と打ち明ける。
のぶは、航海に出る次郎に本音を話せなかったことを悔やんでいた。蘭子が「お姉ちゃんのことやき、『お国のために立派なご奉公を』とか言うたがやろ」「ほんまは何て言いたかったが？」と聞くと、のぶは「どうか……生きてもんてきて……」とつぶやく。のぶが「言う勇気がなかったがよ」と言うと、蘭子は「次郎さん、寂しかったやろうね」と次郎の気持ちを代弁。のぶは「こんなうちが、教師やりよってえいがやろうか……」と葛藤した。
SNSでは「泣けちゃう」「のぶ、やっと家族の前で本音を言うことができたね」「のぶちゃんと蘭子ちゃんの会話が切ない。いいな姉妹って。言える相手がいて良かった」「蘭子は本当ののぶをよく理解してる」「蘭子の『次郎さん寂しかったやろうね』がクリティカルヒットでつらい」「この時代の教師という職業は、とてもつらかっただろうな」といった声が上がっていた。",[],[]
