headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
平野紫耀＆神宮寺勇太“LAオフショ”公開 カチューシャ姿にファンもん絶!「耳はつける派です」ディズニーのこだわりの楽しみ方も告白（めざましmedia）,https://news.yahoo.co.jp/articles/ac1a03927855e7fbef758f1a2d1229aefc669a00,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160294-fujitv-000-1-view.jpg?exp=10800,2025-06-07T20:02:24+09:00,2025-06-07T20:02:24+09:00,めざましmedia,fujitv,フジテレビュー！！,1071,"めざましmedia
Number_iの平野紫耀さんと神宮寺勇太さんが、2025年6月7日までにそれぞれのインスタグラムを更新し、アメリカ・ロサンゼルスでのオフショットでディズニーを楽しむ様子などを投稿しました。
【写真14枚】カチューシャ付けディズニーを満喫する神宮寺勇太を見る
平野紫耀 “LAオフショット”でディズニー満喫
アメリカ・カリフォルニア州にて、2025年5月31日から6月1日にかけて開催された音楽フェスティバル「HEAD IN THE CLOUDS LOS ANGELES 2025」に出演するため、ロサンゼルスを訪れていたNumber_i。

そんなNumber_iのメンバー平野紫耀さんは6月7日、自身のインスタグラムで「memory LA」と綴り、LAでのオフショットを投稿しました。
控え室をバックにソファに座る平野さんは両手で大きくVサインを決める姿や…

ロサンゼルスの真っ青の空の下、街中を歩く白いTシャツを着た平野さんの後ろ姿などを披露。

さらに平野さんは、ロサンゼルス近郊に位置するディズニーで遊ぶプライベートオフショットも公開!カフェの窓口に手をかけこちらを振り向く姿や…

スタンプで顔が隠されていてメンバーかスタッフか分かりませんが、ピンク色のかわいいリボンがついたカチューシャをするその人物を平野さんがじっと見つめるショットなど、楽しそうな雰囲気溢れる写真たちを投稿しました。
神宮寺勇太「耳はつける派です」ディズニーの楽しみ方明かす
さらに、6月6日には同じくNumber_iの神宮寺勇太さんが「LAでのプライベートショット」とコメントし、ディズニーでのプライベートオフショットを投稿。岩山をバックに黒いTシャツとジーンズ姿で、頭にはキラキラとスパンコールが輝く水色のミニーちゃんカチューシャをした姿を披露しています。

別のショットでは、ミッキーの耳がついた帽子に先ほどの水色カチューシャをする合わせ技を披露した神宮寺さんは「耳はつける派です」と、ディズニーランドでのこだわりの楽しみ方も明かしました。

夜になり、昼間かけていたサングラスを外した神宮寺さんは、水色のカチューシャだけは外さずカメラをじっと見つめるショットも披露しました。

これらの投稿には「いっ〜ぱいオフショットありがとう」「とっても幸せそうで嬉しい」「耳宮寺可愛いすぎて最＆幸」「紫耀くんは耳つけないタイプ??」「Dオタのワイ大号泣案件」「かわいすぎて大ニヤけ」などのコメントが寄せられました。
めざましmedia編集部",[],[]
「出会って12年」みちょぱ サンセットの夫婦2S公開!「ほんとそっくり!」オーストラリアの海で夫・大倉士門と顔寄せ合う姿も（めざましmedia）,https://news.yahoo.co.jp/articles/62889921c0a489a34f697726dce377438fee97dc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160291-fujitv-000-1-view.jpg?exp=10800,2025-06-07T19:32:19+09:00,2025-06-07T19:32:19+09:00,めざましmedia,fujitv,フジテレビュー！！,867,"めざましmedia
モデルのみちょぱこと池田美優さんが、2025年6月6日に自身のインスタグラムを更新。
夫の大倉士門さんとの“10年記念日”を迎えたことを報告し、サンセットが望める海での夫婦ツーショットを公開しました。
【画像12枚】「自然な表情も似てる!」みちょぱが夫・大倉士門と撮影したサンセットの海での夫婦ショットを見る
みちょぱ サンセットでの仲良し夫婦ショットに「ほんとそっくり!」と反響
みちょぱさんは今回の投稿で「パースのサンセットと好きな曲を 今年は一応10年記念日みたいです 出会って12年、結婚して2年ちょいです」と記念日の報告とともに、オーストラリアのパースで撮影したショットなどを公開。

投稿の動画では、白のレースのキャミソールにデニムパンツ姿のみちょぱさんが、パースの海辺で座りながら、水平線に沈む夕日を見つめている姿が。

すると、大倉さんがやってきて、みちょぱさんの隣に座りました。
お互いをいとおしそうに見つめ合っているのがとてもほほ笑ましいです!

そして、2人で顔を寄せ合いながら自撮りをしている様子も。
空がオレンジにグラデーションになったサンセットの海の景色も相まって、2人の後ろ姿がとても絵になりますね!

そんな2人が海で撮影したツーショットも公開したみちょぱさん。
その写真を見てみると、顔をぴたっとくっつけたみちょぱさんと大倉さんが、口をすぼめてカメラを見つめるショットや…

2人とも口を開けて楽しそうな笑顔を見せる無邪気な写真も!

さらに、口をむっとさせたような表情を見せたり…

目を細めてほのぼのしているような、夫婦の仲の良さが伝わるショットも公開!
どの写真も息ぴったりでそっくりな表情を浮かべていて、思わずほっこりしてしまう写真の数々を披露していました。

この投稿に「憧れの夫婦」「自然な表情も似ていて見ていてほっこりします」「素敵なご夫婦」「ほんとそっくり!!」などのコメントが寄せられ、2人の姿にほっこりしているファンが続出しています。
めざましmedia編集部",[],[]
「自撮りが天才的」吉川愛 近距離ショット公開!オフ感漂うヘッドホン姿に「好きすぎてむり」「似合ってる」（めざましmedia）,https://news.yahoo.co.jp/articles/d4ed4b462058f983274cbc0f2b07520e2c8b3593,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160254-fujitv-000-1-view.jpg?exp=10800,2025-06-07T18:32:21+09:00,2025-06-07T18:32:21+09:00,めざましmedia,fujitv,フジテレビュー！！,380,"吉川愛 公式インスタグラムより
女優の吉川愛さん（25）が、2025年6月5日に自身のインスタグラムを更新。近距離の自撮りショットを公開しました。
【写真】「自撮りが天才的」吉川愛 近距離ショット公開!オフ感漂うヘッドホン姿を見る
吉川愛 近距離自撮りショット公開しファン絶賛
今回の投稿で、2枚の写真を公開した吉川さん。
そこには、新幹線の中でヘッドホンを付けたオフ感漂う吉川さんの姿が!近距離の自撮りショットに見入ってしまいますね。

2枚目には、窓越しの自撮りする様子も公開。
外に広がる景色と窓に反射する吉川さんが相まって、素敵な1枚に仕上がっています。

この投稿にSNSでは、「ヘッドホン似合ってるよ」や「好きすぎてむり」「自撮りが天才的すぎる」「眼福!」「見とれてしまう」などと自撮りを絶賛する声が多く寄せられています。
めざましmedia編集部",[],[]
「63になっても月9やってるよ」中井貴一が若かりし頃の“自分”へメッセージ!SNSには「いくつになってもステキ」の声『最後から二番目の恋』（めざましmedia）,https://news.yahoo.co.jp/articles/60d59b4f500e94ff588c0b205181b52225e06ef2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160261-fujitv-000-1-view.jpg?exp=10800,2025-06-07T17:32:23+09:00,2025-06-07T17:32:23+09:00,めざましmedia,fujitv,フジテレビュー！！,797,"めざましmedia
小泉今日子さんと中井貴一さんのW主演ドラマ『続・続・最後から二番目の恋』の番組公式Instagramが更新。中井さんの「昔の自分にひと言」が話題となっています。
【写真】中井貴一が昔の自分にメッセージを送る様子の写真を見る
中井貴一「そこから先ちゃんと生きてください!」と昔の自分にメッセージ
番組公式Instagramでは、浜崎あゆみさんが歌う本作の主題歌『mimosa』の歌詞にちなんだ「昔の自分に送りたい言葉」をテーマにしたインタビュー動画が公開中。

中井さんが言葉を贈りたい「昔の自分」は、初めて月9ドラマに出演したときだそう。月9ドラマは「若い人たちがやるもんだと、どっかで思っていた」と言います。

しかし、今まさに『続・続・最後から二番目の恋』で主演をしていることに触れ「おいおいおいおい、63（歳）にもなってまだ月9やってるよって言いたい」と、ユーモアを交えながら語りました。

その言葉を贈りたい理由を聞かれると、「フジテレビの代表的な枠」というイメージがある月9の主演を63歳でもやっている現状を「昔の自分」に伝える中井さん。

続けて「歳を取ることは決してつらいことだけではないと思って、そこから先ちゃんと生きてください!」と、呼びかけました。

この動画に、「『歳をとるのも悪くない』代表で頑張ってください」「説得力も重みもあるお言葉」「貴一さんに言われると『本当にそうかも』と思えてくる」「私もちゃんと生きます!」「73でも、83でも月9待ってます!」と、コメント欄は大盛り上がり。

さらに、「いくつになってもステキ」「貴一さんと和平さんの境目がわからなくなってきた」「歳を重ねて深みがあって、包容力を感じます　声も好き　カッコいい」「理想の大人すぎる」と、中井さんの魅力に惹かれた様子のファンの声も多く見られました。
めざましmedia編集部",[],[]
「私はまだまだ元気」小泉今日子が13年前の自分へメッセージ!SNS「人生を楽しまなきゃと思わせてくれてありがとう」の声『最後から二番目の恋』（めざましmedia）,https://news.yahoo.co.jp/articles/1c25b7bae64adea0b4e9f016584a41b25c9f272e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160253-fujitv-000-1-view.jpg?exp=10800,2025-06-07T17:32:16+09:00,2025-06-07T17:32:16+09:00,めざましmedia,fujitv,フジテレビュー！！,668,"めざましmedia
小泉今日子さんと中井貴一さんのW主演ドラマ『続・続・最後から二番目の恋』の番組公式Instagramが更新。小泉さんの「昔の自分にひと言」が話題となっています。
【写真】小泉今日子が13年前の自分にメッセージを送る様子の写真を見る
小泉今日子「私はまだまだ元気」と13年前の自分へメッセージ
番組公式Instagramでは、浜崎あゆみさんが歌う本作の主題歌『mimosa』の歌詞にちなんだ「昔の自分に送りたい言葉」をテーマにしたインタビュー動画が公開中。

小泉さんは、『最後から二番目の恋』シリーズが始まった頃の自分へ、「『還暦手前までこの役（吉野千明）が続くぞ』と言っておくと安心して楽しめるかな、と」と優しい表情で語り始めます。

続けて、「私はまだまだ元気だし、（中井）貴一さんもカッコいいし、視聴者の皆さんも楽しんでくれてるよ!よかったね!」と、昔の自分にヤッホーポーズでおちゃめに呼びかけ、カメラに向かって笑顔で手を振りました。

この動画に「キョンキョン（小泉さん）大好き♡」「キョンキョンかわいすぎ♡」と、小泉さんの可愛さにメロメロになる人が続出。

また、「人生の先輩にこんな素敵な女子がいて、人生を楽しまなきゃと思わせてくれてありがとうございます」「ずっとシリーズ続いてほしいな」「キョンキョンが昔と変わらず元気で可愛くて、それだけでうれしいし励まされます」「また千明さんや長倉家の皆さんに出会えて幸せです!」と、作品から影響を受けた様子のファンの声も多く見られました。
めざましmedia編集部",[],[]
恒松祐里 手編みのひらひらスカート披露で「センスいい!」と反響!透け感ある白ニットのデザインに「超絶かわいい」「天才」（めざましmedia）,https://news.yahoo.co.jp/articles/d8f8d8a87d0bd3e0c7e9d5fdd7cc79a690e1591f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160265-fujitv-000-1-view.jpg?exp=10800,2025-06-07T16:55:00+09:00,2025-06-07T16:55:00+09:00,めざましmedia,fujitv,フジテレビュー！！,1023,"めざましmedia
女優の恒松祐里さん（26）が、2025年6月1日に自身のインスタグラムを更新。
自身が編んだニットスカートを披露し、「センスいい」「かわいい!」と反響を呼んでいます!
【画像13枚】「手先が器用!」恒松祐里が自身で編んだ白ニットのひらひらスカートを見る
恒松祐里 手編みのひらひらニットスカートに「かわいい!」と反響
2023年9月に編み物を始めたことを公表し、その作品を自身のインスタグラムで度々公開していた恒松さん。

2025年4月には、月の初めに誕生日の人へ向けて投稿している動画で、棒針編みに初めて挑戦して作ったという黄色から水色に鮮やかなグラデーションになったセーターを披露し、そのクオリティーの高さに「自分で編むなんてすごすぎる」と反響を呼んでいました。

そんな恒松さんですが、6月が誕生日の人へ向けた今回の投稿で「最近編んだニットスカートを着てお祝いしてみました」というコメントとともに、自身が編んだニットスカートの写真を公開。

公開された写真には、ライムグリーンのTシャツと白のベストのトップスとデニムパンツのコーディネートにプラスして、かぎ針でざっくりと編まれたような白いニットスカートをはいた恒松さんの姿が!

投稿文では「ずっと白のスカートを編みたかったのでようやく!!とっても可愛くできて大満足です」と、念願の自作スカートだったことを明かした恒松さん。
そのスカートを広げている写真を見てみると、ざっくり編まれていることで透け感のあるデザインで、裾も波打っているような見た目になっているのがかわいらしいですね!

そして、恒松さんがくるんとまわっているショットでは、白いスカートがひらひらと涼しげになびいていて、夏にぴったりな1着に。
恒松さんも「動いてもひらひらして可愛いの!!」と、とても気に入っている様子です!

さらに動画では、スカートの裾を持って広げ、カメラに向けてうれしそうな表情を浮かべる姿や…

くしゃっとした無邪気な笑顔でダブルピースをしている姿も公開!
自身で編んだスカートに大満足な様子の恒松さんは、投稿文の最後で「次は夏用の帽子を編もうかな」と次回作についても語っています。

この投稿に「すごい上手!手先が器用で羨ましい」「天才です」「センスいい」「超絶かわいい」などと、恒松さんが編んだスカートを絶賛するコメントがたくさん寄せられていました。
めざましmedia編集部",[],[]
「娘さん足長ーい!」鈴木えみ スティッチ愛全開の家族ショットに反響!大量のぬいぐるみ抱え娘たちと映画鑑賞（めざましmedia）,https://news.yahoo.co.jp/articles/d0b36e37634fc9eab67b6145856da5254b2043d2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160278-fujitv-000-1-view.jpg?exp=10800,2025-06-07T16:36:59+09:00,2025-06-07T16:36:59+09:00,めざましmedia,fujitv,フジテレビュー！！,636,"鈴木えみ 公式インスタグラムより
モデルの鈴木えみさんが2025年6月7日に自身のインスタグラムを更新。
家中のスティッチを連れて娘たちと映画鑑賞を楽しんだことを報告しました。
【写真9枚】鈴木えみ 娘たちとスティッチのぬいぐるみ抱える姿を見る
鈴木えみ 大量のスティッチのぬいぐるみを連れて映画鑑賞
鈴木さんは「昨日の公開初日に「リロ＆スティッチ」を観に行ったよ」とコメントし、大好きなディズニーキャラクター「スティッチ」のぬいぐるみとともに、実写映画『リロ＆スティッチ』の鑑賞を2人の娘たちと楽しんだ様子を公開しました。

鈴木さんは「家中のスティッチを引き連れて」と、複数のスティッチのぬいぐるみと一緒に撮影した写真も公開。娘たちもぬいぐるみを抱え、エレベーターの鏡越しにパシャリ!

さらに、車の中でもスティッチを抱えながら笑顔を見せる鈴木さん。その隣には娘たちがそれぞれぬいぐるみを持って座っている様子が確認できます。

映画館の前で撮影された写真では、2人の娘がスティッチのぬいぐるみを持って入場する瞬間が捉えられており、映画を心待ちにしている様子が伝わってきます。

この投稿には「20代から変わらない美貌」「スティッチのぬいぐるみ沢山あるっていうのが素敵」「スティッチとエンジェルのぬいぐるみいっぱいで可愛い」「えみちぃのお子さんこんなに大きいの!びっくり」「娘さん足長ーい!!!遺伝子すご!!」などのコメントが寄せられています。
めざましmedia編集部",[],[]
15年ぶり写真集発売で話題 上戸彩 美脚＆お腹見せ姿や海辺のおちゃめポーズ披露!大量公開中のオフショットで新カット（めざましmedia）,https://news.yahoo.co.jp/articles/ecb0a4788de27e80aa66ed1eb32738dd92891919,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160244-fujitv-000-1-view.jpg?exp=10800,2025-06-07T14:52:08+09:00,2025-06-07T14:52:08+09:00,めざましmedia,fujitv,フジテレビュー！！,2368,"めざましmedia
女優で3児の母・上戸彩さん（39）が2025年7月10日、15年ぶりの写真集『Midday Reverie（ミッドデイ・リヴァリー）』を発売することが決定。写真集の公式Xでは撮影のオフショットが新たに公開され、夕方の海辺でおちゃめにポーズを決めている上戸さんや、引き締まった腹筋が目を引くショット公開されました。
【画像60枚】美脚＆お腹見せ姿や海辺でおちゃめポーズ!15年ぶり写真集発売で話題の上戸彩 大量公開されたオフショットを見る
15年ぶりの写真集 撮影は台湾! 透明感あふれるカットが話題に
上戸さんは2012年にEXILEのHIROさんと結婚。2015年に長女、2019年に長男、2023年に次男を出産し、現在3児の母として育児に奮闘しています。

そんな上戸さんですが、今回15年ぶりに写真集を発売することが決定。撮影地である台湾での旅の中で見せる素顔と、デビュー25周年を迎えた役者としての覚悟の両方が詰まった一冊になっています。

発売にあたって先行解禁されたカットには、グリーンのタートルネックニットを着た上戸さんが、異国情緒あふれるタイルの上に寝そべり、優しくほほ笑みながらカメラを見つめるカットや・・・

白のざっくりと編まれたニット姿でベッドに寄りかかる、透明感あふれる寝起き姿も。

さらに、水しぶきを上げる滝を背景にした大自然の中で、淡い紫のワンピース姿の上戸さんがたたずむ神秘的で美しいショットも公開!

そんな見ていてうっとりしてしまいそうな姿を披露している上戸さん。写真集の公式Xは、撮影でのオフショットを公開しています。
真剣な表情から素顔が垣間見える無邪気なショットまで、色々な一面が詰まった写真に注目です。

上戸さんは15年ぶりの写真集となる『Midday Reverie（ミッドデイ・リヴァリー）』を2025年7月10日に発売することが決定し、話題となっています。
ネオンの夜市でご機嫌にピース!台湾の撮影でのオフショット大量公開
発売に先立ち、写真集の公式Xでは、台湾での撮影のオフショットが公開されています。

台湾の街が一望できる高層のホテルで、窓際に座って遠くを見つめる様子が。どこかはかなげな表情を見せる上戸さんの横顔は、思わず息をのんでしまうほど絵になりますね。

自然に囲まれた中で撮影されたショットでは、上戸さんがざっくりと背中の開いた紫のワンピースを着て、うっとりしてしまうような“美背中”も披露しています。

別の写真では、異国情緒あふれるネオンが輝く夜の街角で、カジュアルながらもスタイリッシュなスウェット姿の上戸さんがご機嫌にピースをしているショットや…

フルーツが大皿にたくさん盛られた贅沢なかき氷を両手で持ち、口を開けてうれしそうな表情で見つめている様子も。

さらに、鮮やかな黄色のワンピース姿の上戸さんが、駅のホームでほほ笑みながら右腕を上に、左腕を下にした不思議なポーズをしているかわいらしいショットや…

お団子ヘアのデニムジャケット姿で、台湾にある屋台のおもちゃ釣りに夢中になっている様子も披露。まるで少女のような無邪気な笑顔を浮かべる上戸さんに見入ってしまう、自然体なショットとなっています。

他にも、お腹が見えるミニ丈の赤いタンクトップにデニムパンツを着て、台湾のゲームセンターで楽しそうに拳を突き上げて満面の笑顔を浮かべるショットも公開しています。
そして、新たなオフショットが公開!上戸さんのおちゃめな姿に思わずほっこりしてしまう写真です。

上戸さんは15年ぶりの写真集となる『Midday Reverie（ミッドデイ・リヴァリー）』を2025年7月10日に発売することが決定し、話題となっています。
夕方の海辺でおちゃめポーズや美脚＆お腹見せ衣装のオフショット公開
そして6月6日には、撮影でのオフショットが新たに2枚公開されました。

そのオフショットは、オレンジ色の夕焼けが照らす海辺で撮影された写真。

白のTシャツとショートパンツ姿にお団子ヘアの上戸さんが、押し寄せる波の前で右手を挙げながら左手はきつねの手をしたポーズで、カメラに自慢げな表情を浮かべています。
少し不思議なポーズですが、そんな姿からも上戸さんの無邪気な一面が垣間見えて、とてもほほ笑ましい1枚ですね!

そして、もう1枚の写真には、どうやら上戸さんが海辺で謎のかごを見つけたようで、かごの中に片足を入れてバランスを取りながら両腕を広げて楽しそうにしている様子が!
上戸さんのおちゃめな姿に、思わずほっこりしてしまいますね。

続けて、6月7日もオフショットを公開。

その写真では、ホテルの部屋のような空間で、スポーティーなネイビーのタンクトップのセットアップにダボッとしたブルーのシャツを羽織った上戸さんが、片手にオレンジを持ちながらカメラをじっと見つめる姿が。
ショート丈のタンクトップの衣装で、引き締まった腹筋が際立っていて、美スタイルを披露しています。

そして、その姿で窓際に立ち、無邪気な笑顔で振り向くショットも。
上戸さんが羽織っているブルーのシャツからはスラッとした美脚が伸び、窓の奥に広がる台湾の街並みも相まって、見ていてうっとりしてしまう姿も公開していました。

大量公開された写真集のオフショットには、「最高!ますます楽しみです!」「マジで熱い」「たまらん!」「あーかわいい!!」と、写真集発売を待ち望むファンからのコメントも寄せられています。

【写真集概要】
『上戸彩写真集 Midday Reverie』

定価:3850円
発売日:2025年7月10日
撮影:川島小鳥
発行:宝島社
めざましmedia編集部",[],[]
「隠しきれない顔面強!!!」水上恒司 サングラスで繁華街歩くナチュラルな姿公開 モノクロの最新ショットにファンもん絶（めざましmedia）,https://news.yahoo.co.jp/articles/af3e65c7eb507cf516d61e051dfa65a32a2aaba4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160260-fujitv-000-1-view.jpg?exp=10800,2025-06-07T14:22:12+09:00,2025-06-07T14:22:12+09:00,めざましmedia,fujitv,フジテレビュー！！,577,"めざましmedia
俳優の水上恒司さんが2025年5月28日に自身のインスタグラムを更新。
水上さんの魅力を引き立てるモノクロの世界でサングラス姿のナチュラルショットを披露しました。
【写真3枚】水上恒司 サングラス姿のナチュラルショットを見る
水上恒司　モノクロの街中でナチュラルショット
水上さんは「
＃PA12M
」と綴り、2枚の写真を投稿。モノクロで撮影された写真は、シックで落ち着いた雰囲気を醸し出し、水上さんの魅力を引き立てています。

1枚目では、黒いサングラスと服装がクールな印象を与えつつも、親しみやすさ感じる満面の笑みをカメラに向けて披露する水上さん。肩にかけたショルダーバッグや手に持ったドリンクボトルが、日常のひとコマを切り取ったような自然な雰囲気を演出しています。

さらに2枚目では、水上さんが都会の繁華街を歩く姿が切り取られたショットを披露。
周囲のネオンの光や行き交う人々の様子が、夜の街の活気を感じさせており、その中をサングラスをかけて片手に本を持つ姿は、知的でスタイリッシュな印象を与えています。

この投稿には「ナチュラルでとてつもなく素敵」「全てがかっこいい」「わぁ〜色気半端ないね」「少し伸びた髭もサングラスも似合って素敵ね」「隠しきれない顔面強!!!」などのコメントが寄せられました。
めざましmedia編集部",[],[]
「めおと鏡餅♡」芳根京子＆本田響矢のおちゃめショット!面白かわいい芳根＆森カンナら“四姉妹動画”も『波うららかに、めおと日和』（めざましmedia）,https://news.yahoo.co.jp/articles/a694949fbb6a339234607c63bf38897e5c15e19b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250607-00160217-fujitv-000-1-view.jpg?exp=10800,2025-06-07T12:52:11+09:00,2025-06-07T12:52:11+09:00,めざましmedia,fujitv,フジテレビュー！！,1263,"めざましmedia
主演・芳根京子さん×共演・本田響矢さんによる木曜劇場『波うららかに、めおと日和』の番組公式Xが更新。芳根さんと本田さんの可愛らしいオフショットと、芳根さん、森カンナさん、咲妃みゆさん、小川彩（乃木坂46）さんの“四姉妹動画”が話題となっています。
【実際の投稿】芳根京子＆本田響矢の他ショット、芳根＆森カンナらの動画を見る
「現場楽しそう」「おもしろw」芳根京子＆森カンナらの“ウラ側動画”
番組公式Xでは、芳根さんが、なつ美の長姉・はる江役の森さん、次姉・あき奈役の咲妃さん、妹・ふゆ子役の小川さんにインタビューをする動画が公開されています。

芳根さんがスマホで撮影しながら、「お姉ちゃ〜ん!」と言ってスタジオから外へ出ると、森さんが「いらっしゃいませ、現代へどうぞ!」とお出迎え。

そして森さんは、外にいた番組の女性スタッフたちを「現代のギャルズです!」と紹介しますが、スタッフらはカメラに映らないよう逃げていき、森さんは「みんな散っていった…」と苦笑い。

すると横から、咲妃さんと小川さんが登場し、芳根さんは気を取り直してインタビューを始めます。

「撮影いかがですか〜?」と聞くと、森さんは「みんなで一生懸命、頑張っています!」とカメラに向かい、咲妃さんと小川さんも「頑張っています!」と笑顔を見せました。

仲良し“姉妹”に、ネットは「なつみさんの〜『おね〜ちゃ〜ん〜♡』がとてもかわいくて愛おしいで〜〜す♡」「カンナさんwwwスタッフさん紹介するのおもしろw」「逃げ惑うギャルズ（スタッフ）までみーんな可愛い♡」「現場楽しそうすぎてセットの壁になりたい」「本当の四姉妹みたいにみえて可愛いなぁ」と盛り上がりました。
芳根京子＆本田響矢に「顔が似てきましたね♡」「かわいすぎてニヤけるw」
また、芳根さんと本田さんが頭にみかんを乗せた、おちゃめな写真も紹介されています。

第7話で、大みそかを一緒に過ごしたなつ美と瀧昌。これまでの思い出を振り返ったり、お互いの力こぶを見せあったり、夫婦として打ち解けあった2人の姿が大きな反響を呼びました。

そんなシーンから、はんてん姿で並んでこたつに入る、芳根さんと本田さんのオフショットが公開。普通に笑顔を見せるカットと、それぞれ頭にみかんを乗せているカット、2枚が投稿されています。

これにSNSは「か!かっ……かわっ……!」「ふたりともかわいい〜!思わず二度見!」「可愛すぎるやろー!!わたしをミカンにしてください」「めおと鏡餅 可愛い♡」「かわいすぎてニヤけるw」「罪な夫婦だよ、まったく…こんな可愛いの見せられたら膝から崩れ落ちちゃうよ…」と“かわいい”の大合唱!

また、「二人並ぶと顔が似てきましたね♡」「なんかまじでお顔似てきてない?私の勘違いか…?
経験者としても思うし、夫婦は顔が似るとは言うけども…役者さんってすごいなあ…（語彙力）」と、すっかり馴染んだ様子の2人に、ほっこりする声も寄せられました。
めざましmedia編集部",[],[]
