headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
前線停滞で雷を伴い“滝のような”非常に激しい雨が降る所も　九州や中国、近畿などで大雨か　土砂災害などに警戒を【3時間ごとの雨シミュレーション・9日午後9時現在】（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/6afd0a292313d7464f800a8a639ff79044558aae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21966738-ohbsn-000-1-view.jpg?exp=10800,2025-06-09T21:02:08+09:00,2025-06-09T21:02:08+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,744,"新潟放送
九州付近には引き続き前線が停滞しています。前線に向かって暖かく湿った空気が流れ込んで、雷を伴った非常に激しい雨が降り、大雨となる所がある見込みです。気象庁は、九州南部では10日にかけて、九州北部では10日は、土砂災害に厳重警戒し、低い土地の浸水、河川の増水や氾濫に警戒するよう呼び掛けています。
【画像】今後の雨のシミュレーション　10日（火）〜14日（土）・3時間ごと
気象庁によりますと、前線は九州南部に停滞していて、10日にかけてゆっくり北上し、11日にかけて西日本や東日本に停滞するとしています。
前線に向かって暖かく湿った空気が流れ込むため、九州南部や九州北部では雷を伴って非常に激しい雨が降り、大雨となる所がある見込みです。また、前線が停滞するため、西日本から東日本では11日にかけて局地的に雷を伴って激しい雨が降り、総降水量が多くなる所があるとしています。

■雨の予想

▼10日午後6時までの予想24時間降水量（多い所）
　九州北部　200ミリ
　九州南部・近畿　180ミリ
　愛媛県　120ミリ
　中国・長野県・伊豆諸島　100ミリ

▼11日午後6時までの予想24時間降水量（多い所）
　九州南部　120ミリ
　九州北部　100ミリ

今後の雨のシミュレーションを見ると、10日は九州から関東甲信にかけての広い範囲で雨となり、降り方が強まる所もありそうです。特に10日午前中は九州北部を中心に非常に激しく降る恐れもある見込みです。11日も九州から東北にかけて強い雨となる所がありそうです。

12日以降も九州を中心に雨となり、13日から14日にかけて九州のほか、中国や北陸などでも降り方が強まりそうです。今後の気象情報に注意してお過ごしください。
新潟放送",[],[]
町中がキツネに扮する幻想世界「とても幸せに思っています」3万人を魅了した『つがわ狐の嫁入り行列』新潟県阿賀町（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/59723ab77d7b23338769a1c54c49a7d9598037d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21967251-ohbsn-000-1-thumb.jpg?exp=10800,2025-06-09T20:09:51+09:00,2025-06-09T20:09:51+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,648,"新潟放送
7日午後4時、住吉神社氏子会の「イヤーソーライー…」という木やりにのせ、花嫁行列が出発。今年で33回目を迎えた新潟県阿賀町の『つがわ狐の嫁入り行列』の“幻想的”な世界に、3万人を超える観客が魅了されていました。

主役の“花嫁”を務めたのは、公開オーディションで選ばれた埼玉県在住の倉持春香さん（30歳）です。

「阿賀町の豊かな自然の中、たくさんの方の温かい眼差しに見守られながら行列を歩くことを、とても幸せに思っています」

その昔、阿賀町津川にある麒麟山にはキツネが住んでいて、古くから『狐火』に関する伝説が語り継がれてきました。

この嫁入り行列は、かつての婚礼儀式をキツネに扮して再現したもので、道中も花嫁はキツネのポーズを崩しません。

“狐の花嫁”は30分ほど歩いたところで、“花婿”の婚約者・山本隆徳さん（28歳）と合流。地元園児が扮する子狐たちの踊りで祝福された後、公募で県内外から集まったおよそ100人の“参列狐”とともに、まちを練り歩きました。

作り出された幻想的な世界におよそ3万8千人の観光客らが魅了されていました。

【埼玉県からの夫婦】
「はじめてきた」
「素晴らしい」

【仙台からの外国人】
「すごい良かった!初めて花嫁行列を見に来て、本当に素敵だなと」

嫁入り行列は、夕方6時半すぎに披露宴会場へ到着。
祝い客が見守る中で、古式ゆかしい婚礼の儀のもとに深い契りを約束した新郎新婦は、最後は狐火となって麒麟山へ帰り物語を締めくくりました。
新潟放送",[],[]
自民 新潟1区支部長公募　複数人から応募も参院選までの決定は難しく（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/0c1259b4f0fa20c62df877470c14885117afdda6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21966470-ohbsn-000-2-thumb.jpg?exp=10800,2025-06-09T18:49:27+09:00,2025-06-09T19:32:02+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,640,"新潟放送
衆院選 新潟1区の支部長を公募した自民党県連。締め切りとなった9日までに複数の応募があったと明らかにしました。ただ、参院選までの支部長の決定は厳しいとの見方も示しています。
【写真を見る】自民 新潟1区支部長公募　複数人から応募も参院選までの決定は難しく
9日、自民党県連に集まったのは支部長の選考委員を務める県議や市議たちです。自民党の新潟1区を巡っては今年4月、次の衆院選の公認候補予定者となる支部長について公募で選ぶことを決めていました。

締め切りとなった9日。選考委員長の佐藤純 県議は、複数人からの応募があったことを明らかにしました。

【支部長選考委員長 佐藤純 県議】「（応募者の）氏名等の詳細は決定するまでは公表しない。仮に公募に漏れた人の氏名は永久に公表しない」

公募を巡っては、これまでに去年の衆院選 新潟1区で敗れた塚田一郎さんが辞退を表明。

参院選は来月3日の公示が有力視されていますが、党内からは支部長が不在となっている1区・2区について「活動が薄い」との懸念の声が上がっています。

こうした中で行われた支部長の公募ですが、今後のスケジュールについては…
【支部長選考委員長 佐藤純 県議】「（参院選に）間に合わせたいとは思っていますが、非常にタイトだと思っています。もっと踏み込んだ言い方をすると厳しいと思います」

今後、書類選考や面接などを経て、自民党 新潟1区のメンバーが全会一致で応援できる候補を選ぶということです。
新潟放送",[],[]
「全然見えない!人いるの?!」“見えなく”なった友達の姿　大型車の『死角』を実際に体験 危険性学ぶ子どもたち　新潟県長岡市（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/b61e93bf0683b92301c83116d609b46e30c54c2d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21966589-ohbsn-000-5-thumb.jpg?exp=10800,2025-06-09T18:46:46+09:00,2025-06-09T21:38:34+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,589,"新潟放送
■運転席から見えない“死角”。

大型車に潜む危険性を子どもたちに知ってもらおうと、新潟県長岡市で『交通安全教室』が開かれました。
【写真を見る】「全然見えない!人いるの?!」“見えなく”なった友達の姿　大型車の『死角』を実際に体験 危険性学ぶ子どもたち　新潟県長岡市
9日に長岡市立中央図書館の駐車場で開かれた交通安全教室に参加した、市立十日町小学校の全校児童およそ50人の子どもたち。ダンプカーの運転席に乗り込み、『大型車に潜む危険性』を実際に体験しました。

友達が車に向かって徐々に近づくと…

「全然見えない!全く見えない!!」
「人いるの?!」

運転席の位置が高い大型車には、ドライバーからは見えない『いくつもの“死角”』があります。

『死角』に入った友達の姿は“見えなく”なってしまいました。

【小学4年生】
「運転席の近くだと見えないけど、遠くなら見えると分かった」
「左右の確認や、車に近づかないことを気を付けたい」

【長岡署　池上和弥交通課長】
「大型車の近くでは遊ばない。道路で待っているときも、大型車が近づいたら安全な場所で車を待つなどして、事故に遭わないようにしてもらいたい」

警察によりますと、新潟県内では2025年、6月8日までに1012件の人身事故が起きていて、けがをした中学生以下の子どもは40人だということです。
新潟放送",[],[]
しがみつく父親を振り落とした殺人未遂容疑「道路見たら靴が散乱」車を300m走らせた19歳の息子を逮捕　新潟市西区（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/01cb453e48d74733a9af1a9c222363647faae3af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21966882-ohbsn-000-6-thumb.jpg?exp=10800,2025-06-09T18:39:54+09:00,2025-06-09T21:02:08+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,654,"新潟放送
新潟市西区で8日未明、父親がしがみ付いている車を走らせ、振り落として殺害しようとした疑いで19歳の息子が逮捕されました。
【写真を見る】しがみつく父親を振り落とした殺人未遂容疑「道路見たら靴が散乱」車を300m走らせた19歳の息子を逮捕　新潟市西区
通行止めとなっている道路。
警察車両が止まっていて関係者とみられる人の姿があります。事件発生からおよそ1時間後の現場の写真です。

【記者リポート】
「あちらのコンビニからこちらの橋のあたりまでおよそ300メートルの間、男は父親がしがみ付いたままの車を運転したということです」

殺人未遂の疑いで逮捕されたのは、新潟 中央区に住む無職の男 19歳です。

警察によりますと、8日午前3時40分ごろ、男は新潟市西区小新の市道を車で運転し、40代の父親が車にしがみ付いているにもかかわらず、およそ300メートルほど車を走らせたうえで振り落とし、殺害しようとした疑いが持たれています。

父親は助手席側のミラー付近にしがみ付いていましたが、振り落とされ頭を地面にぶつけたほか、手足などにすり傷を負ったということです。命に別条はありません。

【目撃した人】
「散歩して通ったんですけど、道路見たら靴が散乱していて、どういうことなのかなと思っていたんですけど」

男は調べに対し、行為は認めていますが、殺意については否認していて「父親から逃げようとしていた」という趣旨の供述もしているということです。警察が事件のいきさつなどを詳しく調べています。
新潟放送",[],[]
卵の給食アレルギー事故で児童の保護者が市教委を提訴　新潟県上越市（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/3d566e7ec26c2ac2971c17e70a008efabf04f2bb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21966839-ohbsn-000-3-thumb.jpg?exp=10800,2025-06-09T18:36:53+09:00,2025-06-09T21:06:31+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,604,"新潟放送
新潟県 上越市の小学校で去年9月、給食の後にアレルギーを発症した児童の保護者が9日、市の教育委員会に対し110万円の損害賠償を求め提訴しました。
【写真を見る】卵の給食アレルギー事故で児童の保護者が市教委を提訴　新潟県上越市
この問題は上越市の小学校に通う当時1年生の児童が給食が終わったあとにアレルギーを発症し一時入院したものです。

上越市教育委員会によりますと、提訴しているのは児童の保護者で学校の教諭等の誤った対応により卵によるアナフィラキシーを発症したとして、110万円の損害賠償を請求しているということです。

この問題をめぐっては、市教委が児童はアレルギー物質の「卵」を使った料理は食べておらず、かきたま汁の食器に触れたことで、アレルギーを発症したと説明。

一方、去年11月に会見を開いた保護者は触れただけではアレルギーは起きないとして原因究明を求めていました。

事故後、児童は一時不登校に。現在は学校に通えていますが給食は取らず、持参した弁当を教室とは別の場所で一人で食べているということです。

今回の提訴について上越市教育委員会は、「市の代理人弁護士と協議しながら対応してまいります」とコメントしています。

上越市の小学校では4月に蛍光管の破片が給食に混入する事故が発生したほか、先月には別の小学校で教頭が誤って児童に漂白剤入りの水を提供する事故が起きています。
新潟放送",[],[]
アルビレックス新潟レディース　2025/26シーズン開幕戦は8月9日（土） アウェー・AC長野戦【WEリーグ開幕節〜第4節の対戦カード】（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/ef42dbaaa2be65c28c24b73ba410ef0dafbb6f3e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21966048-ohbsn-000-2-view.jpg?exp=10800,2025-06-09T14:01:43+09:00,2025-06-09T14:12:56+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,1055,"新潟放送
女子サッカー・WEリーグは9日、2025/26 SOMPO WEリーグの開幕節〜第4節（8月開催分）の詳細を発表しました。アルビレックス新潟レディースの開幕戦は8月9日（土） 午後6時から、アウェーでAC長野パルセイロ・レディースと対戦します。
【画像】2025/26シーズン〈第1節〜第4節〉アルビレックス新潟レディースの対戦カード
また、ホーム開幕戦は8月17日（日） デンカビッグスワンスタジアムで三菱重工浦和レッズレディースを迎え撃ちます。

リーグ戦の日程は以下の通りです。

■第1節

8月9日（土） 18:00　AC長野 vs 新潟L（長野U）
8月9日（土） 18:00　C大阪L vs マイ仙台（ヨドコウ）
8月10日（日） 18:00　浦和 vs 広島（浦和駒場）
8月10日（日） 18:00　RB大宮 vs EL埼玉（NACK）
8月10日（日） 18:00　I神戸 vs 東京NB（神戸ユ）
8月10日（日） 18:30　相模原 vs 千葉L（ギオンス）

■第2節

8月16日（土） 18:00　マイ仙台 vs AC長野（ユアスタ）
8月16日（土） 18:00　EL埼玉 vs C大阪（熊谷ラグ）
8月17日（日） 18:00　東京NB vs 相模原（味フィ西）
8月17日（日） 18:00　新潟L vs 浦和（デンカS）
8月17日（日） 18:30　千葉L vs RB大宮（フクアリ）
8月17日（日） 18:30　広島 vs I神戸（Eピース）

■第3節

8月23日（土） 18:00　I神戸 vs EL埼玉（ノエスタ）
8月23日（土） 18:30　千葉L vs マイ仙台（フクアリ）
8月23日（土） 19:00　広島 vs 新潟L（Eピース）
8月24日（日） 18:00　RB大宮 vs AC長野（NACK）
8月24日（日） 18:00　東京NB vs 浦和（味フィ西）
8月24日（日） 18:00　C大阪 vs 相模原（ヨドコウ）

■第4節

8月30日（土） 18:00　浦和 vs 千葉L（浦和駒場）
8月30日（土） 18:00　RB大宮 vs I神戸（NACK）
8月31日（日） 17:00　相模原 vs 広島（ギオンス）
8月31日（日） 17:00　新潟L vs マイ仙台（デンカS）
8月31日（日） 18:00　EL埼玉 vs 東京NB（熊谷陸）
8月31日（日） 18:00　AC長野 vs C大阪（長野U）
新潟放送",[],[]
FW山本結菜選手（22）と契約更新 「多くの勝利をサポーターの方々と喜び合えるよう一戦一戦闘う」アルビレックス新潟レディース（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/a7be12140801e4445c4379156f5fc4eaeaf52e34,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21965620-ohbsn-000-1-view.jpg?exp=10800,2025-06-09T12:19:26+09:00,2025-06-09T12:19:26+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,414,"新潟放送
女子サッカーWEリーグのアルビレックス新潟レディースは9日、FW山本結菜選手（22）と来季の契約更新に合意したと発表しました。
【写真を見る】FW山本結菜選手（22）と契約更新 「多くの勝利をサポーターの方々と喜び合えるよう一戦一戦闘う」アルビレックス新潟レディース
山本選手は兵庫県出身。
今季はリーグ戦全22試合に出場するなど主力として活躍。ハードワークで前線を活性化させ、ミドルシュートやクロスなどで得点を演出しました。

山本選手はクラブを通じて、以下の通りコメントを発表しています。

いつも熱い応援ありがとうございます!
2025/26シーズンも新潟でプレーさせていただくことになりました!
サッカーを楽しむことを忘れずに自身の更なる成長を追い求め、より結果にこだわり、多くの勝利をサポーターの方々と喜び合えるよう一戦一戦闘っていきます!
2025/26シーズンも熱い応援よろしくお願いします!!
新潟放送",[],[]
横田めぐみさんの弟・拓也さん「一人ひとりが自分の問題として考えて」拉致被害者の一括帰国に向けて　新潟・上越市（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/d5a35a7715a07d7e1a50492903a0b2325e9de907,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21965530-ohbsn-000-2-thumb.jpg?exp=10800,2025-06-09T12:06:29+09:00,2025-06-09T13:51:39+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,496,"新潟放送
新潟市の拉致被害者、横田めぐみさんの弟・拓也さんが上越市で講演し、「一人一人が我が事として考えて」と訴えました。
【写真を見る】横田めぐみさんの弟・拓也さん「一人ひとりが自分の問題として考えて」拉致被害者の一括帰国に向けて　新潟・上越市
上越市で8日、およそ230人を前にマイクを握った横田拓也さん。社会的な課題への理解のため、地元有志が開いた講演会に招かれたもので、北朝鮮が2004年に提示してきためぐみさんの写真を見せながら語りました。

めぐみさんの弟・横田拓也さん（56）
「こんなに悲しい目、苦しい目、寂しい表情は見たことない。皆さん自身がこの写真の向こう側に座らされていたら、何を私たちに訴えますか」

1977年、中学1年生だったときに拉致されためぐみさん。
父親の滋さんは、再会を果たせないまま5年前に亡くなりました。

めぐみさんの弟・横田拓也さん（56）
「40年50年、闘い続けた挙句に会えないなんてことが、もう繰り返されてはいけない」

拓也さんは全ての拉致被害者の一括帰国を実現するため「一人一人が自分の問題として考えてほしい」と訴えていました。
新潟放送",[],[]
九州では雷を伴った非常に激しい雨となり2日で300ミリ超の大雨か　鹿児島では線状降水帯発生の恐れも　9日は九州〜関東の広い範囲で雨に【3時間ごとの雨シミュレーション・9日正午現在】（ＢＳＮ新潟放送）,https://news.yahoo.co.jp/articles/f500936c3f824c8f19e1261563015e0150630538,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250609-21965016-ohbsn-000-2-view.jpg?exp=10800,2025-06-09T12:02:08+09:00,2025-06-09T12:09:51+09:00,ＢＳＮ新潟放送,ohbsn,ＢＳＮ新潟放送,962,"新潟放送
停滞する前線の影響で、九州では雷を伴った非常に激しい雨が降る所がありそうです。気象庁は、鹿児島県では線状降水帯が発生して大雨災害の危険度が急激に高まる恐れがあるとして、土砂災害や低い土地の浸水、河川の増水や氾濫に警戒を呼び掛けています。
【画像】今後の雨のシミュレーション　9日（月）〜14日（土）午後3時・3時間ごと
気象庁によりますと、前線が中国大陸から鹿児島県の種子島・屋久島付近を通り、日本の東へと伸びているということです。前線は10日にかけてゆっくりと北上し、11日にかけて東シナ海から西日本や東日本を通って日本の東に停滞するとしています。

前線に向かって暖かく湿った空気が流れ込むため、九州では大気の状態が不安定となるほか、前線が停滞するため総降水量が多くなる恐れがあるということです。

■雨の予想

▼10日午前6時までの予想24時間降水量（多い所）
　九州北部　150ミリ
　九州南部　200ミリ

▼11日午前6時までの予想24時間降水量（多い所）
　九州北部　200ミリ
　九州南部　120ミリ

▼線状降水帯が発生し大雨災害の危険度が急激に高まる恐れ
　鹿児島県（奄美地方を除く）　9日昼前から夜のはじめ頃にかけて

気象庁は九州南部では9日昼前から夜のはじめ頃にかけて、土砂災害や低い土地の浸水、河川の増水や氾濫に厳重に警戒するよう呼び掛けています。また九州では11日にかけて、土砂災害や低い土地の浸水、河川の増水や氾濫に警戒が必要です。

今後の雨のシミュレーションを見ると、9日は九州から関東にかけて雨となり、九州や四国などで降り方が強まる所がありそうです。
10日以降は雨の範囲が九州北部や山陰、東海、北陸でも雨の強まる所がありそうです。特に日本海側では強い雨が長く続きそうです。
11日には雨の範囲が再び南へと下がり、降り方が弱まる見込みです。一方、12日以降もぐずついた空模様となる所が多くなりそうです。

気象庁は、13日頃にかけて前線に向かって暖かく湿った空気が流れ込み、前線の活動が活発となる見込みで、西日本を中心に大雨となる所があるとしています。前線の活動の程度によっては警報級の大雨となる恐れがあるとしています。
今後の気象情報に注意してお過ごしください。
新潟放送",[],[]
