headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「ディスコード」にはびこる犯罪　電子マネー不正入手か　18歳少年逮捕 個人情報20万件保有（STVニュース北海道）,https://news.yahoo.co.jp/articles/a2afbfb0092f1aa82fd15f0ef6da5687f4b81f2e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-09311311-stv-000-1-view.jpg?exp=10800,2025-06-20T21:01:01+09:00,2025-06-20T21:01:01+09:00,STVニュース北海道,stv,STVニュース北海道,705,"少年らが使用していたディスコード画面
北海道警察サイバー犯罪対策課は2025年6月20日、不正アクセス禁止法と電子計算機使用詐欺の疑いで、東京都に住む無職の少年（18）を書類送検したと発表しました。

当時17歳だった少年は、2024年8月、東京都の自宅で他人のIDとパスワードを入力して不正アクセス行為を行い、楽天キャッシュ5万円相当を自分のアカウントに送った疑いが持たれています。

少年は「金が欲しかった」と容疑を認めています。
少年らが使用していたディスコード画面
警察によりますと少年は、インターネット上の交流ツール「ディスコード」で「他人の個人情報を配布する」という趣旨の書き込みをして、匿名性の高いSNS「テレグラム」に誘導し、他人のアカウントやクレジットカードの情報などを公開していたということです。
少年らが使用していたテレグラム画面
少年は他人の個人情報を20万件ほど保有していて、その一部を公開することで、ほかの個人情報の販売につなげる狙いがあったとみられます。

少年は個人情報の売買などで少なくとも200万円ほどの収益をあげていたということです。
少年らが使用していたテレグラム画面
警察は、少年のアカウントから他人の個人情報を入手し、不正アクセスを行った疑いで、6月16日までに当時15歳から19歳の少年3人を書類送検しています。

警察は、ディスコードなどのサイバー空間でアカウントやクレジットカードなどの個人情報が公開・売買されている実態があるとして「少年が手を染めるケースもあるが、れっきとした犯罪で取り締まりの対象。記録は残るので安易に考えないでほしい」と呼びかけています。",[],[]
【解説】道路の白線塗り直し　進まないワケは…縦割り行政　予算は約６億円足りず…北海道（STVニュース北海道）,https://news.yahoo.co.jp/articles/de77a91385bcfeede061a911f6774ea6e73bfe20,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-08347267-stv-000-1-thumb.jpg?exp=10800,2025-06-20T20:35:32+09:00,2025-06-20T20:35:32+09:00,STVニュース北海道,stv,STVニュース北海道,229,"STVニュース北海道
なかなか白線の塗りなおしが進まない現状の理由を取材しました。

横断歩道などの道路標示を管理している警察の予算はおよそ１０億円ですが、老朽化した信号機の補修を優先させているため、６億円ほど足りていないということです。

また、道路標示と中央線などの区画線は管理者が異なり、管理している札幌市と警察で塗りなおす場所や時期をうまく調整ができていないということです。

命に関わる問題でもあるため、行政の垣根を越えた早急な対応が求められます。",[],[]
消えた道路の白線を応急処置　警察官がスプレーで補修　市と警察の情報交換不足…塗り直し妨げる現状も（STVニュース北海道）,https://news.yahoo.co.jp/articles/0f718ee526a4301841ea28477684e69038b512d6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-02196545-stv-000-2-thumb.jpg?exp=10800,2025-06-20T20:32:12+09:00,2025-06-20T20:37:41+09:00,STVニュース北海道,stv,STVニュース北海道,1102,"STVニュース北海道
道路の白線が消えている問題の続報です。

白線が消えた道路のなかには、一部だけ塗りなおしている道路も見られました。

白線によって管轄が違う縦割り行政が、効率的な塗りなおしを妨げている現状もあるようです。

（鷲見記者）「横断歩道のある交差点ですが、その白線は両端を残して綺麗に消えてしまっています」

札幌市豊平区にある小学校からおよそ２００メートルの距離にある道路です。

下校時間には多くの子どもたちが利用していますが、横断歩道の白線がほとんど見えない状態になっていました。

停止線の白線も消えているためか、停止線からはみ出たところで信号待ちをしている乗用車の姿も見られました。

さらに、別の場所ではこんな白線も・・・

（鷲見記者）「平日昼間でも利用者が多い交差点ですが、横断歩道はほとんど消えています」

札幌市中央区の道路では、札幌市が管轄する中央線などは塗りなおされていましたが、警察が管理する横断歩道の白線はかなり薄くなっていました。

なぜ、横断歩道の白線だけが薄くなっているのか市に聞いてみるとー

（札幌市道路維持課　酒井文敏課長）「道路管理者が引く区画線と、警察が引く道路標示がありますが、現場において同時施工を意識した調整や管理を行っておりません。交差点などは一度で施工したほうが良いと思いますので、来年以降、密に検討していきたいと思っています」

道路の白線を塗りなおす際に、白線の管轄が違う市と警察が情報交換しないなど、縦割り行政の弊害が背景にありました。

市民からはー

（市民）「公共スペースだから管轄がどこかは関係ない。横のつながりをちゃんとやってもらわないと困る」

さらに、予算の問題も。

道警によると、横断歩道などの道路標示の補修費は、２０２４年はおよそ１０億円でしたが、全体を補修するには６億円ほど不足していました。

老朽化が進む信号機の補修を優先しているためといいます。

そこで、道警では６月２０日、応急処置として試験的にスプレーで補修をしました。

札幌市中央区では警察官自らが塗りなおしましたが、専門業者に委託するよりはかなり経費が削減されるといいます。

（道警交通規制課　齊藤勝調査官）「交通安全施設の予算が平成１０年のピークに比べると減っていて、信号の老朽化対策などをする中で、道路標示の予算に配分するのが難しくなっている実態もある」

縦割り行政の弊害や予算の問題などで、なかなか塗りなおされない道路の白線。

命に関わる大きな交通事故にもつながりかねない問題だけに、行政の垣根を越えた早急な対応が求められます。",[],[]
「証拠を出せ」と容疑否認　飲食店で面識のない男性を暴行しけがさせる 男（26）逮捕　札幌市（STVニュース北海道）,https://news.yahoo.co.jp/articles/7698f295b74098eedba850f033737757398c16ba,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-02628622-stv-000-2-view.jpg?exp=10800,2025-06-20T20:16:01+09:00,2025-06-20T20:50:44+09:00,STVニュース北海道,stv,STVニュース北海道,262,"STVニュース北海道
札幌・白石警察署は2025年6月20日、住所不詳の男（26）を傷害の疑いで逮捕しました。

男は20日午前1時ごろ、札幌市白石区の飲食店内で、札幌市白石区の男性（37）の顔面を殴り、けがをさせた疑いが持たれています。

男性は頸椎捻挫、腰と右肩を打撲する軽傷です。

警察によりますと、飲食店の関係者から「男性客同士がもめている」と警察に通報があり事件が発覚しました。

調べに対し、男は「証拠を出せ」と容疑を否認しているということです。

警察が当時の状況や犯行の経緯などについて詳しく調べています。",[],[]
観覧車のギアに油をさす作業中　機械に体を挟まれ50代男性死亡　おびひろ動物園・北海道（STVニュース北海道）,https://news.yahoo.co.jp/articles/97afdcb701982a7f8576978dd949b27c3ef0eb89,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-08229146-stv-000-1-view.jpg?exp=10800,2025-06-20T20:13:13+09:00,2025-06-20T20:13:13+09:00,STVニュース北海道,stv,STVニュース北海道,301,"STVニュース北海道
６月２０日午後、北海道帯広市のおびひろ動物園で、５０代の男性が観覧車の点検作業中、機械に体を挟まれ死亡する事故がありました。

事故があったのは帯広市緑が丘にある、おびひろ動物園です。

午後１時２０分ごろ、園の関係者から「観覧車の点検中に５０代男性１人が機械に挟まれた」と消防に通報がありました。

岡田教賢さん５２歳が、高さおよそ１５メートルの位置で機械に胸や腕を挟まれたということです。

岡田さんは意識や呼吸がない状態で救助され、その場で死亡が確認されました。

警察によりますと、岡田さんは観覧車のギアに油をさす作業中だったということで、警察が当時の状況を調べています。",[],[]
美唄市汚職…背任疑いで市元課長補佐を再逮捕　300万円の工事に1000万円水増し請求か　北海道（STVニュース北海道）,https://news.yahoo.co.jp/articles/5502f1d4f59da38aba3bab395bb28927de4961d7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-04931775-stv-000-3-view.jpg?exp=10800,2025-06-20T19:30:30+09:00,2025-06-20T22:03:44+09:00,STVニュース北海道,stv,STVニュース北海道,312,"STVニュース北海道
北海道警察は2025年6月20日、背任の疑いで美唄市都市整備部上下水道課の元課長補佐・本田強志容疑者（53）を逮捕しました。

本田容疑者は、美唄市に勤務していた去年5月、市が発注していた下水道工事について、本来300万円程度の工事にもかかわらず、業者に水増し請求をさせ、市におよそ700万円の損害を与えた疑いが持たれています。

また、下水道工事を受注していた「シンセイ建設」の社長・広島慎也容疑者（53）も逮捕されました。

警察は2人の認否を明らかにしていません。

本田容疑者は美唄市が発注した上下水道工事の入札をめぐる汚職事件ですでに逮捕・起訴されていて、警察が事件の全容解明を進めています。",[],[]
水遊び場に多くの家族連れ！　夏のような暑さ…搬送も　翌週も熱中症や食中毒に注意　北海道（STVニュース北海道）,https://news.yahoo.co.jp/articles/32578bf4d6cd0b7bf94c2ad3c8295a7c7ea9726c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-01361315-stv-000-1-thumb.jpg?exp=10800,2025-06-20T18:30:01+09:00,2025-06-20T18:30:01+09:00,STVニュース北海道,stv,STVニュース北海道,563,"STVニュース北海道
（向山記者）「強い日差しが照りつけ夏のようなこの暑さに、こちらの水遊び場では子どもたちが気持ちよさそうに涼み遊んでいます」

６月２０日の北海道内は、暖かい空気と強い日差しの影響で内陸を中心に気温が上昇し、午後５時半までに札幌で３０．９℃を観測、２日連続の真夏日になりました。

西区にある公園内の水遊び場では、涼を求めて多くの家族連れで賑わっていました。

（子ども）「ぬるい」

（訪れた人）「まだ水遊びができる場所がないので調べてきました。少しでも涼しいところにと思って」

一方、富良野では午後５時半までに３２．９℃を観測し、道内で今季一番の暑さとなりました。

この暑さのためか、観光名所・ラベンダー畑は人がまばらですが…

畑近くの木陰にはアイス片手に涼む人の姿が見られました。

（観光客）「群馬もめちゃくちゃ暑いんですけど、北海道もこんなに暑いのでびっくりしています」

このほか上富良野で３２．７℃、津別で３２．３℃など５０地点で真夏日となりました。

この暑さで、栗山町では体育の授業をしていた小学６年生の男子児童や、帯広市内で自宅にいた８０代男性など、少なくとも１１人が熱中症の疑いで病院に搬送されています。

この暑さは来週も続く見込みで、引き続き熱中症と食中毒に注意が必要です。",[],[]
公用車の運転業務に従事する60代男性職員が2日連続で事故　未就学児乗る車に接触など　札幌市（STVニュース北海道）,https://news.yahoo.co.jp/articles/912c89dbdf224a0f7d895a2a507a40ce16b63a6e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-02717441-stv-000-1-view.jpg?exp=10800,2025-06-20T18:19:00+09:00,2025-06-20T18:19:00+09:00,STVニュース北海道,stv,STVニュース北海道,598,"STVニュース北海道
札幌市は、2025年6月20日、同一の運転手による公用車での事故が複数発生したと発表しました。

公用車を運転していたのは、札幌市建設局みどりの推進課でドライバー業務に従事する男性職員（60代）です。

みどりの推進課によりますと、6月18日午後3時45分ごろ、男性職員ら2人が乗った公用車が、札幌市役所本庁舎正面から左折し大通に進入したところ、信号待ちで停車していた乗用車に接触する事故を起こしました。

乗用車には、未就学児を含む4人（おとな2人・子ども2人）が乗っていました。

4人は病院を受診していて、おとな2人が首に痛みなどを訴えているということです。

また、翌日19日午後4時15分ごろ、同じ男性職員と別の職員が乗った公用車が札幌市中央区南1条東1丁目の一方通行の道路で、右側の駐車スペースに駐車しようとした際、左車線に一時停車中だった乗用車に接触しました。

乗用車の運転席側ドアが壊れ、乗車していた運転手1人が首と頭に痛みを訴えているということです。

市は18日の事故後、運転していた男性職員の体調を確認し、安全運転するよう指導していましたが、翌日も事故を起こしたということです。

運転前のアルコール検査や体調に問題はなかったとしていますが、札幌市は当面の間、男性職員には運転業務を従事させず、安全運転の周知徹底を図り再発防止に努めるということです。",[],[]
「ネコの頭部だけの死骸がある」中学校グラウンドに小動物の死骸　胴体など発見されず　北海道乙部町（STVニュース北海道）,https://news.yahoo.co.jp/articles/bb4c5b09bcea925c20319144ad23ff01f2b96403,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-03159496-stv-000-1-thumb.jpg?exp=10800,2025-06-20T17:42:00+09:00,2025-06-20T17:42:00+09:00,STVニュース北海道,stv,STVニュース北海道,317,"STVニュース北海道
北海道乙部町にある中学校のグラウンドで６月１９日、ネコのような動物の死骸が見つかりました。

死骸は頭部だけの状態で、警察は事件性の有無などについて調べを進めています。

１９日午後６時ごろ、乙部中学校の教頭から「ネコの頭部だけの死骸がある」と警察に通報がありました。

警察が駆けつけたところ、校舎から離れたグラウンドに、ネコとみられる小動物１頭の死骸が放置されていたということです。

死骸は頭部だけの状態で、胴体などの部分は発見されていません。

警察は、人為的に頭部が切断されたかどうかなど事件性の有無などについて調べを進めていて、付近で不審者などを見かけた場合は警察に情報提供するよう呼びかけています。",[],[]
何者かが火をつけた可能性も　河川敷で“不審火”相次ぐ「怖い」煙を上げ燃える枯草　札幌市北区（STVニュース北海道）,https://news.yahoo.co.jp/articles/ebaa487a08b168eb553b5bb5cb517327677d0308,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250620-02817911-stv-000-1-thumb.jpg?exp=10800,2025-06-20T17:11:00+09:00,2025-06-20T17:11:00+09:00,STVニュース北海道,stv,STVニュース北海道,769,"STVニュース北海道
６月１９日夜、札幌市北区の河川敷で不審火が相次ぎました。

数日前にも近くの公園で不審火があり、警察は何者かが火をつけた可能性もあるとみて詳しく調べています。

河川敷で白煙を上げながらジリジリと燃える枯草。

（山岡記者）「火事があった橋の下に来ています。枯草が燃えた跡がありますが、付近を見てみると、タバコの吸い殻や紙が燃えた跡があります」

枯れ草が燃える火事があったのは、札幌市北区屯田９条１丁目にある橋の下の河川敷です。

１９日午後７時すぎ、通行人から「橋の下で何かが燃えている」と消防に通報がありました。

警察が到着したときには火はほぼ消えていましたが、枯草が集められ、白い煙が出ていました。

（山岡記者）「先ほどの現場から歩いて６分ほど離れたこちらの橋の下でも、枯草が燃える火事がありました」
枯草が燃える火災からおよそ１０分後、現場から７００メートルほど離れた屯田７条１丁目の橋の下の河川敷でも、同じ状況の火災が発生しているのを警察官が発見しました。

（現場を通りかかった人）「ちょっと怖いですね。警察が集まっていて異様な空気でした」

６月１７日には今回警察官が発見した２カ所目の現場から西におよそ６００メートル離れた公園のトイレでも、何かが燃えた跡があったということです。

１７日と１９日夜、あわせて３件発生した公園や河川敷での不審火。

いずれの現場もおよそ６００～７００メートルしか離れていないため、周辺の住民からは不安の声が聞かれました。

（付近の住民）「一般住宅にまで被害が及ぶと大変だね。怖いですね。早く捕まってほしいです」

警察はいずれも周囲に火の気がないことから、何者かが火をつけた可能性もあるとみて関連などを調べるとともに、同一犯の可能性も視野に捜査を進めています。",[],[]
