headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
シリーズ最新作『モンハンワイルズ』が初セール！7月2日まで20％オフ（インサイド）,https://news.yahoo.co.jp/articles/a2c34ef22170fda4303128c4c3a4c50a9fd54929,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000039-isd-000-1-view.jpg?exp=10800,2025-06-25T23:45:03+09:00,2025-06-25T23:45:03+09:00,インサイド,isd,インサイド,255,"（写真：インサイド）
カプコンは『モンスターハンターワイルズ』の初セールを実施しています。

◆シリーズ最新作『モンスターハンターワイルズ』が初セール！
2025年2月28日発売のシリーズ最新作、『モンスターハンターワイルズ』。そのPS5版が今回初めてのセールとなりました。7月2日まで20％OFFになっています。

また6月末には無料タイトルアップデート第2弾を配信予定です。


『モンスターハンターワイルズ』は、PS5/Xbox Series X|S/Steam向けに販売中です。
インサイド 鈴木伊玖馬",[],[]
『ガーディアンテイルズ』カマエル＆クララが開花解放！ログインキャンペーンや新作コスチュームなども追加（インサイド）,https://news.yahoo.co.jp/articles/3e1fb5837b38c90502c5a9fcdcb55e6e2b692de6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000038-isd-000-1-view.jpg?exp=10800,2025-06-25T23:40:02+09:00,2025-06-25T23:40:02+09:00,インサイド,isd,インサイド,872,"（写真：インサイド）
KongStudiosは、スマートフォン向けゲームアプリ『ガーディアンテイルズ』において、英雄「豊作の神 カマエル」「束縛された少女 クララ」の開花機能を解放しました。
【画像】カマエルとクララが開花！性能をチェックしよう
◆カマエルとクララの開花が解放！
『ガーディアンテイルズ』は、美麗な2Dドットアートで描かれたキャラや背景、テンポの良い戦闘、ギミック満載のステージ構成が特徴のアクションゲームです。

今回のアップデートでは、大地と動植物を司る豊穣の神「カマエル（CV:井上和彦）」と、勇者教の聖女「クララ（CV:田村ゆかり）」の開花が解放されました。開花を行うことで最高ランクに進化し、イラストやドット絵の変化、ステータスの強化や覚醒ノードの追加、さらにリーダースキルの使用が可能になります。

カマエルは世界樹の再生を最優先の目的とする冷徹な企業家であり、容赦ない経営で知られる一方で、使徒のバリと孫娘のメイリルには深い愛情を注いでいるキャラクター。一方のクララは勇者教の聖女として布教活動をしながら、いつ暴走するかわからない時限爆弾のような危険な力を秘めています。

また、複数のキャンペーンも開催予定です。

14日間毎日冒険に役立つアイテムが受け取れる「雨上がりログインキャンペーン」では、ガチャ10連分の召喚コントローラーなどの豪華報酬が獲得できます。さらに新作コスチューム「蒸気機関のラッパ吹き クララ」「ギャンブルクイーン ミヤ」などの英雄コスチュームや装備コスチュームがショップに登場し、期間限定で販売されます。

そのほか復帰プレイヤー向けの特別イベント「エヴァの復帰騎士特訓」の新シーズンも開始され、専用のログインボーナスやミッション、ショップを通じて様々なアイテムもらえます。参加条件はワールド1クリア後、かつ14日間ゲームにログインしていない方が対象です。


『ガーディアンテイルズ』はスマートフォン向けに配信中。ゲーム詳細については、公式サイトをご確認ください。
インサイド SIGH",[],[]
『ウマ娘』クロノジェネシスの“原案イラスト”がカッコイイ！力強いタッチに勝負服の躍動感で存在感マシマシ（インサイド）,https://news.yahoo.co.jp/articles/7132f2d2ce486924a379b194283f49fb4e6ce25f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000037-isd-000-1-view.jpg?exp=10800,2025-06-25T22:55:02+09:00,2025-06-25T22:55:02+09:00,インサイド,isd,インサイド,452,"（写真：インサイド）
Cygamesは、スマホ/PC向け育成シミュレーション『ウマ娘 プリティーダービー』の公式サイトにて、「クロノジェネシス」の原案イラストを公開しました。
【画像】クロノジェネシスの原案イラスト。ゲーム内勝負服や制服姿と見比べてみる
◆力強いタッチや躍動感を覚える「クロノジェネシス」の原案イラスト
正式実装される際に絵柄が統一されるウマ娘たちですが、原案イラストでは各イラストレーターの特色が強く表れ、雰囲気が異なることも珍しくありません。

今回の更新では、6月13日に育成ウマ娘化された「クロノジェネシス」の原案イラストが公開されました。ゲーム内モデルよりも力強いタッチを感じられ、勝負服の躍動感も相まってより存在感を覚えるイラストとなっています。

この機会にゲーム内勝負服モデルや制服姿とも見比べてみてはいかがでしょうか。ちなみに、クロノジェネシスがピックアップされる「ピックアップ プリティーダービーガチャ」は7月11日11時59分まで開催中です。
インサイド 茶っプリン",[],[]
『ウマ娘』新シナリオではダチョウと併走！？無人島開拓やトレーニング施設建設、特別な「島トレ」など“ワイルドな環境”でウマ娘を育成（インサイド）,https://news.yahoo.co.jp/articles/8d169f7412cb7f5a07ac0fdd5ce004d251fb88d5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000036-isd-000-1-view.jpg?exp=10800,2025-06-25T22:40:03+09:00,2025-06-25T22:40:03+09:00,インサイド,isd,インサイド,1848,"（写真：インサイド）
Cygamesは、6月25日に行われた「ぱかライブTV Vol.54 本能を解放だ！新育成シナリオ公開スペシャル！」にて、スマホ/PC向け育成シミュレーション『ウマ娘 プリティーダービー』の最新情報を公開しました。
【画像】新育成シナリオの一連のゲームサイクル
番組内では、6月27日に実装される新育成シナリオ「無人島へようこそ -DESIGN YOUR ISLAND-」の詳細や、同日から始まるイベント・キャンペーン情報などが発表されました。本稿では発表されたゲーム内新情報をひとまとめでお届けします。

◆新育成シナリオ「無人島へようこそ」のゲームシステムが公開
新育成シナリオ「無人島へようこそ -DESIGN YOUR ISLAND-」が6月27日12時に実装されます。本シナリオでは、突如始まった無人島プロジェクトで「トレセン島」を開拓し、様々なトレーニング施設を建設して最高のトレーニング環境を目指していきます。

トレーニングやレースをすることで「発展Pt」を獲得でき、建設計画が進行して各施設を建設できます。また「島トレ券」を獲得でき、施設を使った特別なトレーニング「島トレ」に挑戦し、一気にステータスを成長できます。

建設する施設によってトレーニング効果も異なるため、建設順とコストに気をつけながら、効率のいい建設計画を策定していきます。なお、シナリオ進化スキルは中距離・長距離に有効なものが揃っており、難易度も「わりと優しめ」とのことです。

新たなウマ娘「タッカーブライン（CV.小林ゆう）」も登場。無人島プロジェクトを主導するNPC枠のキャラクターで、友人タイプのサポートカードとしても実装されます。シナリオリンクキャラクターはタッカーブライン、サクラチヨノオー、アイネスフウジン、メジロライアン、ゴールドシチー、タマモクロスです。

新育成シナリオの追加にあわせて、イベント「トレーナー技能試験」も開催されます。

◆新育成シナリオ公開記念キャンペーン
新育成シナリオの公開を記念して、ログインボーナスや記念ミッションなどの様々なキャンペーンが開催されます。嬉しい「1日1回10連ガチャ無料キャンペーン」や「★3/SSR確定 新衣装シナリオ応援ガチャ」も実施。さらに各種お得アイテムパックも販売されます。

また、「サポートカード交換チケット」のラインナップも更新。新たに「★3[The frontier]ジャングルポケット」「★3[月下の悪魔ちゃん♪]メジロパーマー」「★3[All’alba vincerò!]テイエムオペラオー」が交換可能になります。

◆メインストーリー第2部 後編がいよいよ開幕へ
「メインストーリー第2部 後編」の実装時期が7月下旬に決定しました。ラインクラフトとフサイチパンドラのストーリー内イラストも公開されています。

◆次回ガチャで「新衣装ゴールドシチー」や新シナリオ向けのサポカが実装
6月27日12時から開催される新たなガチャの内容が公開されました。育成ウマ娘には「★3[Boho Flare]ゴールドシチー」、サポートカードには、新育成シナリオで活躍する「SSR[本能は吼えているか！？]タッカーブライン」と「SSR[白き稲妻の如く]タマモクロス」が登場します。


◆レジェンドレースなど恒例イベント予告
各種恒例イベントの開催が予告されました。開催中の「春のGIキャンペーン第3弾」をはじめ、7月6日からは「レジェンドレース」、7月25日からは「チャンピオンズミーティング」、7月中旬には「アグネスタキオンの因子研究」、8月中旬には「リーグ オブ ヒーローズ」が控えています。

◆7月の月替わりガチャ情報
対象のウマ娘を狙いやすい「トゥインクルコレクションプリティーダービーガチャ」の次回バージョンが7月1日12時から開催されます。同ガチャの対象となる「★3[Hungyr Veil]ヒシアマゾン」と「★3[マーガレット・ラッテ]メジロライアン」には進化スキルも追加。また、「タイプ別SSR確定ガチャ」は根性が対象となります。


『ウマ娘 プリティーダービー』はスマホ/PC向けに基本プレイ無料のアイテム課金制で配信中です。新育成シナリオ「無人島へようこそ -DESIGN YOUR ISLAND-」でどんなウマ娘を育てられるのか、6月27日の開幕を楽しみに待ちましょう。
インサイド 茶っプリン",[],[]
『ウマ娘』初の1/4スケールフィギュアが超デカい！英語版「うまぴょい伝説」の歌詞も気になる【ぱかライブTV Vol.54まとめ】（インサイド）,https://news.yahoo.co.jp/articles/c3abb66bf752dd540a037592d4c62eb73e2261df,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000035-isd-000-1-view.jpg?exp=10800,2025-06-25T22:35:02+09:00,2025-06-25T22:35:02+09:00,インサイド,isd,インサイド,1088,"（写真：インサイド）
Cygamesは、6月25日に行われた公式生放送「ウマ娘 プリティーダービー」ぱかライブTV Vol.54 本能を解放だ！新育成シナリオ公開スペシャル！にて、『ウマ娘 プリティーダービー』の最新情報を公開しました。
【画像】笑っちゃうほどデカい！初の1/4スケールフィギュアを、従来サイズと並べた時の様子。
本記事ではそれらをひとまとめでお届けします。

◆Steam版『ウマ娘』リリース記念キャンペーン開催
Steam版の6月26日リリースを記念して、ジュエルやマニーといったゲームアイテムがもらえるキャンペーンが開催されます。


◆英語版『ウマ娘』リリース日決定
英語版『ウマ娘』となる、『Umamusume: Pretty Derby』 が6月26日リリース予定。また英語版の「うまぴょい伝説」も制作中とのことです。

◆Cygamesが「パリ大賞典」のメインスポンサーに就任
メインスポンサー就任に伴い、「パリ大賞典」をCygamesの冠レース「CYGAMES GRAND PRIX DE PARIS」として7月13日（現地時間）に開催予定です。

◆6th EVENT 秋公演
「6th EVENT 秋公演」が10月18日～19日にかけて開催。その出走者リストやコンセプトアート、チケット情報が公開されました。

◆「TIF2025」出走情報
ウマ娘は8月2日に出走予定です。

◆CD情報
「WINNING LIVE 28」のジャケット＆収録楽曲が公開されました。あわせて発売記念イベントも開催されます。

また「WINNING LIVE 29」も9月10日の発売が決定しました。

◆各種グッズ情報
昨年末放送の「ドライブイン鳥 佐賀店」CMに登場したウマ娘たちが、アクリルジオラマとして商品化。ドライブイン鳥の実店舗のみで販売されていましたが、CyStoreでも予約開始となりました。

また各種フィギュア情報が公開。なかでも「トウカイテイオー」はウマ娘のフィギュアとしては初となる1/4スケールとなり、その他のフィギュアやねんどろいどと並べた時のインパクトが凄まじいことになっています。

◆新育成シナリオ公開記念 ボドゲ実況動画をプレミア公開
新育成シナリオ「無人島へようこそ -DESIGN YOUR ISLAND-」の公開を記念して、6月28日19時からボードゲーム実況動画がプレミア公開予定。無人島がテーマとなる「カタン」をタマモクロス、メジロライアン、アイネスフウジン、ゴールドシチーがプレイします。
インサイド ねんね太郎",[],[]
『ウマ娘』次回ガチャの新衣装「ゴールドシチー」が美しい…！新シナリオで活躍する「友人サポカ」にも注目（インサイド）,https://news.yahoo.co.jp/articles/501e79b0962d087379ebbd4775fb4abbcfbf4220,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000034-isd-000-1-view.jpg?exp=10800,2025-06-25T21:57:14+09:00,2025-06-25T21:57:14+09:00,インサイド,isd,インサイド,458,"（写真：インサイド）
Cygamesは、スマホ/PC向け育成シミュレーション『ウマ娘 プリティーダービー』にて、新育成ウマ娘「★3[Boho Flare]ゴールドシチー」の実装を発表しました。
【画像】サポカには新ウマ娘「タッカーブライン」も！次回ガチャで登場するウマ娘たち
◆バカンス衣装の「ゴールドシチー」が登場！サポカは新育成シナリオで大活躍
6月27日12時から始まるガチャにて、「ゴールドシチー」が夏のバカンスをイメージさせる衣装で登場します。既存衣装と比べて初期ステータスや成長率、スキルなどが変化しています。

同日から始まるサポートカードガチャでは、新育成シナリオで活躍する友人タイプより「SSR[本能は吼えているか！？]タッカーブライン」と、同じくシナリオリンクキャラクターである「SSR[白き稲妻の如く]タマモクロス」が登場します。

■★3[Boho Flare]ゴールドシチー
■SSR[本能は吼えているか！？]タッカーブライン
■SSR[白き稲妻の如く]タマモクロス
インサイド 茶っプリン",[],[]
「スイッチ2」マイニンテンドーストアでの第5回抽選販売は「2つの応募条件」が追加―改めて申し込み手続きも必要に（インサイド）,https://news.yahoo.co.jp/articles/529dbd8659f638f93e0a598ab233f9eba4a7df54,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000033-isd-000-2-view.jpg?exp=10800,2025-06-25T20:40:43+09:00,2025-06-25T20:42:22+09:00,インサイド,isd,インサイド,464,"（写真：インサイド）
任天堂はマイニンテンドーストアにて、「ニンテンドースイッチ2」の第5回抽選販売をアナウンスしました。
【画像】応募条件は全部で4つに。追加された条件をチェック
◆新たな応募条件が追加へ
第5回の応募開始は7月上旬を予定しており、発送時期は9月以降、順次お届けとなります。

第5回では応募条件が変更され、新たに「マイニンテンドーストアにおける第1回～第4回の抽選販売のいずれかに応募された履歴があり、一度も当選されていないこと」と「ニンテンドーアカウントにニンテンドースイッチ2と連携した履歴がないこと」の2項目が追加されます。

なお、「2025年2月28日時点で、ニンテンドースイッチソフトのプレイ時間が50時間以上であること」と「応募時点で「Nintendo Switch Online」に累積1年以上の加入期間があり、応募時にも加入していること」はそのままです。

応募条件の変更に伴い、1～4回の応募内容を引き継ぐことはできないため、改めて申し込み手続きが必要になります。
インサイド 茶っプリン",[],[]
【コスプレ】『鳴潮』漂泊者の公式レイヤーの存在感がすごい！ステージの華麗な姿からファンサの愛嬌溢れる表情まで【写真12枚】（インサイド）,https://news.yahoo.co.jp/articles/268dddb33f166bb78752e81d59630e6782281228,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000032-isd-000-1-view.jpg?exp=10800,2025-06-25T20:00:04+09:00,2025-06-25T20:00:04+09:00,インサイド,isd,インサイド,528,"漂泊者（女）／月海つくね（X：@XaiabP）
KURO GAMESのオープンワールドRPG『鳴潮』のリリース1周年を記念し、5月30～6月1日の3日間、東京秋葉原のベルサール秋葉原にてリアルイベント「鳴潮 1st Anniversary Fes.」が開催されました。
【画像】まるで実写化したような美しさ！横顔がセクシーなコスプレイヤー（12枚）
イベント会場では「巨大ぬいぐるみ」「公式イラスト」の展示や、「巨大ガチャ」「射的」「団子ミニ四駆レース」などのアトラクション、公式コスプレイヤーの撮影会などが実施されました。撮影会には人気、実力を兼ね備えた豪華モデル陣が登場。会場に設けられた特設ステージで華麗なコスプレを披露し、多くのファンを魅了しました。


本稿では漂泊者（女）の公式コスプレイヤーとして登場した月海つくね（X：@XaiabP）さんのフォトレポートをお届けします。ステージ上では華麗な姿を披露し、時に参加者所有のグッズを手に持ちポーズをとってくれるファンサで愛嬌溢れる姿も見せ、会場に詰めかけたファンを魅了しました。

漂泊者（女）／月海つくね（X：@XaiabP）
撮影：tama（X：@tama_0811_）
インサイド tama",[],[]
カービィとワドルディの指人形が可愛い！「ソフビパペットマスコット2」予約受付中―「ワープスター」「でんきゅうほおばり」はほんのり光る（インサイド）,https://news.yahoo.co.jp/articles/3a421a554266e8708173f275b6e413edc3c325d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000031-isd-000-1-view.jpg?exp=10800,2025-06-25T19:50:03+09:00,2025-06-25T19:50:03+09:00,インサイド,isd,インサイド,466,"（写真：インサイド）
エンスカイは、「星のカービィ ソフビパペットマスコット2」を予約受付中です。

◆カービィとワドルディが可愛い指人形化！
本製品は、『星のカービィ』のパペットマスコット（指人形）の第2弾です。今回はカービィとワドルディの色んな姿がラインナップされており、全高約40mm～56mm程度でコレクションしやすいサイズ感です。
【画像】全10種のラインナップをチェック！
ラインナップは「カービィ(ワープスター)」「カービィ(マキシムトマト)」「さんかくほおばり」「カービィ(キラキラ)」「カービィ(うとうと)」「でんきゅうほおばり」「くるまほおばり」「ワドルディ(すやすや)」「ワドルディ(こまった)」「ワドルディ(ボム)」の全10種。「カービィ（ワープスター）」と「でんきゅうほおばり」は暗い所でほんのり発光する仕様です。


「星のカービィ ソフビパペットマスコット2」は、2025年10月発売予定の1BOX10パック入り6,600円（税込）で予約受付中。詳細は商品ページをご確認ください。
インサイド SIGH",[],[]
ジークアクスで“狂犬”と恐れられたマチュ、実は「ガンダム」シリーズでも珍しい“ゼロキル主人公”だった！「何気に凄くない？」「不殺おめでとう」（インサイド）,https://news.yahoo.co.jp/articles/364760c92ec74640eaab4c3090885a2853e01ad7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250625-00000030-isd-000-1-view.jpg?exp=10800,2025-06-25T19:40:03+09:00,2025-06-25T19:40:03+09:00,インサイド,isd,インサイド,1121,"（写真：インサイド）
「あっちの方が強そうじゃない？」とザクからジークアクスに飛び乗るなど、序盤に見せた突拍子のない行動力から“狂犬”と呼ばれた「機動戦士Gundam GQuuuuuuX（ジークアクス）」の主人公アマテ・ユズリハ（マチュ）。しかし終わってみれば、歴代主人公でも珍しい、誰も殺していない“ゼロキル”だったと話題になっています。
【画像】時にカッコ良く、時に可愛く、そして時に大暴れ…色々なマチュを振り返り
◆マチュ、不殺でジークアクス本編を生き抜く
本作は、スタジオカラー×サンライズのタッグで贈るガンダムシリーズの最新作です。初代「機動戦士ガンダム」の一年戦争でジオン公国軍が勝利したパラレルワールドを舞台に、マチュが「GQuuuuuuX（ジークアクス）」を起動させたことで、ジオンを巡る様々な騒動に巻き込まれていく物語を描きます。

「ガンダム」シリーズは戦争がテーマになっていることもあり、敵・味方双方のキャラクターが死ぬことも珍しくありません。歴代主人公ですら、直接的または間接的に人を殺してしまうことも多々あります。

「ジークアクス」の世界は戦争がなく（停戦中）、戦いの舞台は相手MSの頭部を破壊すれば勝ち（殺さなくてもOK）という非合法競技「クランバトル」だったとはいえ、中盤からクランバトルでも続々と死人が出始め、最後はジオンのクーデターに巻き込まれていくという激動の展開を見せました。

そんな中でマチュは多くの戦闘を戦い抜いたものの、作中で直接的に人を殺してしまった描写はありません。クランバトルにおいては頭部破壊にとどまり、死亡した対戦相手も手を下したのはシュウジやニャアンでした。結果、まさに“ゼロキル”で生き延びた、歴代主人公の中でも非常に珍しい存在となったのです。

◆不殺を信条としていたわけではない
ただし、マチュが不殺を心掛けていたかと言われれば「それは違う」となるでしょう。シュウジとシイコ・スガイの決着シーンや、アンキーに発砲した場面、何より彼女の性格を見るに、必要とあれば殺す覚悟があったように思えます。

あくまで確実に殺す必要性のある場面がなかっただけで、結果的に運よく不殺で終わったという印象。とはいえ、それでも不殺で終えたのはやはり凄いというほかありません。

マチュのゼロキルにSNS上では「1話から最終回までガンダムに乗り続けたにも関わらず、誰一人も殺さずにエンディングを迎える事ができた主人公って何気に凄くない？」「不殺おめでとう。お前が主人公だ」「でもマチュの不殺は「たまたまそうなっただけ」だからね」「なおニャアン…」などの反応が上がっています。
インサイド 茶っプリン",[],[]
