headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
旅人ゴルファー・川村昌弘が全英OP予選に出場　去年の通過コースを選ばなかったワケ（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/4f3b8be9afe03f3d05445aa8f86bcf2694934b2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000013-gdo-000-1-view.jpg?exp=10800,2025-06-30T17:36:00+09:00,2025-06-30T17:36:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,1185,"全英オープンの最終予選会のためイングランドへ
人は彼のことを“旅人ゴルファー”と呼ぶ。川村昌弘・32歳。2012年のプロデビューから活躍の場を海の向こうに求め、キャリアで足を運んだ国と地域の数は実に70に到達した。キャディバッグとバックパックで世界を飛び回る渡り鳥の経路を追っていこう。
【画像】川村昌弘、9カ月ぶり復帰戦は手が震えた
◇ ◇ ◇ ◇ ◇ ◇ ◇ ◇ ◇

プロゴルファーの川村昌弘です。
いま僕はイングランドにいます。

冬のあいだの手首の手術とリハビリを経て、久々に欧州にやってきました。今週は7月1日（火）に英国で36ホールをプレーします。メジャー最終戦「全英オープン」（北アイルランド・ロイヤルポートラッシュGC）の出場権をかけた最後の戦いに参加します。
初めて来たロイヤルシンクポーツ。1909年と1920年に全英オープンの会場になりました
4つある会場からことし選んだのはロイヤルシンクスポーツというリンクスコース。お隣にあるロイヤルセントジョージズと同様、これまでに全英を開催してきた1892年創設の歴史あるコースです。
練習してみたら、やっぱり難しかったです
昨年この最終予選会を突破した、リバプール近くのウェストランカシャーGCは選びませんでした。だってロイヤルシンクポーツ、一度も回ったことなかったから、どうしても来てみたくて…。故障からの復帰途中で、メジャー切符がかかる大切な試合と分かっていつつ、ゴルフコース好きの血がここで騒いでしまいました。
ドーバー海峡を望む素敵なエリア
とはいえ、実益も兼ねていて、久々の欧州ではまず太陽を見たかった。曇り空のイメージばかりの英国も南部は天気が良い日が多いのです。ドーバー海峡を見渡す街の景色も最高で、フィッシュアンドチップスもさっそく食べてきました。
英国に来たらやっぱり...
そしてなにせ、地面の硬いリンクスコースでプレーして、手首の具合を見る必要があります。8月末のDPワールドツアー（欧州ツアー）にカムバックを目指す過程で、状態を確かめたいと思っています。

6月の日本ツアー「BWM日本ツアー選手権 森ビル杯」で復帰し、その2週後にツアー外の1日競技「JOYXオープン」で優勝しました。皆さんから「安心しました」「完全復活ですね」というありがたいお祝いコメントもいただけましたが、まだまだ復活には程遠いところにいます。パットがよく入ってくれたおかげで、久々にうれしい気持ちを味わえました。
欧州でのプレーは約10カ月ぶり
72人が出場する会場で、全英出場権を勝ち取るのは5人。同じ組でイアン・ポールター（イングランド）の息子さんである、アマチュアのルーク・ポールターと回ることになりました。お父さんも一緒に出場しているため、なんだか騒がしく、楽しい欧州復帰ゲームになりそうです。",[],[]
佐久間朱莉は全英女子に向けて3UTを投入　優勝ギア（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/b77eeddfae714a4e639cc5494a930d5f34451a52,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000012-gdo-000-4-view.jpg?exp=10800,2025-06-30T16:30:00+09:00,2025-06-30T20:12:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,1146,"最終日はハイブリッド2本体制で臨んだ
◇国内女子◇アース・モンダミンカップ 最終日（29日）◇カメリアヒルズCC（千葉）◇6688yd（パー72）◇晴れ（観客2521人）
【画像】佐久間朱莉の優勝ギアがこちら
1打差2位から出た佐久間朱莉が4バーディ、2ボギーの「70」で回り、通算11アンダーで今季3勝目を飾った。今季は課題だったパッティングの強化に取り組み、この日は3番、11番と10m超えのバーディパットをカップイン。今季平均パット数（パーオンホール）1位（1.7434）につけるパフォーマンスはピン「スコッツデール DS72」が支えている。

また、今週は出場が決まっている海外メジャー「AIG女子オープン（全英女子）」（7月31日～8月3日／ウェールズ・ロイヤルポースコール）に向けて5Wの代わりに3UTを投入。風が強い全英を想定し、「5Wより球の高さが抑えられて、ちょっと強い球が出る。全英に行っても使えるクラブかな」と、今週は初日と最終日に入れた。

UTとフェアウェイウッドは、2試合前の「宮里藍サントリーレディス」から「G430」シリーズに戻した。「体がインパクトで起き上がって、出球が右に出てしまう」とショットの不調に悩む中、昨年1年使って感触が良かった1本を再び入れた。ショットの改善を求めて、アイアンにも一工夫。ロングアイアンがブレる傾向にあったため、6番をやさしめのピン「i240アイアン」に替えた。

「1回勝てたことで少し余裕も出てきて、去年までだったら『このチャンスを生かさなかったら勝てないと』追い込んでプレーしていた。きょうは、自分のプレーにフォーカスしてできました」と振り返る。今季3勝目でさらに自信をつけ、目標とするシーズン5勝、その先の年間女王に突き進む。
＜最終日のクラブセッティング＞
ドライバー：ピン G430 MAX 10K (9度)
シャフト：日本シャフト NSプロ レジオ フォーミュラ B+ (重さ55g、硬さS、長さ45インチ)
グリップ：イオミック

フェアウェイウッド：ピン G430 MAX（3番15度）
シャフト：日本シャフト NSプロ レディオフォーミュラM+（重さ55g、硬さS）

UT：ピンG430 （3番19度、4番22度、5番26度）
日本シャフト NSプロ プロトタイプ

アイアン：ピン i240アイアン（6番）、ピン ブループリントS（7番～W）
シャフト：日本シャフト NSプロ 850GH（硬さS）

ウェッジ：ピン s159（50、54、58度）
シャフト：日本シャフト NSプロ 950GH neo（硬さS）

パター：ピン スコッツデール DS72

ボール：タイトリスト プロV1x＜2025年＞",[],[]
生源寺龍憲が自身最高トップ200入り　松山英樹は11位／男子世界ランク（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/85f21e2bb311eae8ce3fa8260329600f69fd9f56,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000011-gdo-000-2-view.jpg?exp=10800,2025-06-30T14:41:00+09:00,2025-06-30T15:03:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,579,"今季2勝の生源寺龍憲が浮上
男子ゴルフ世界ランキングが29日付で更新された。国内ツアー「ジャパンプレーヤーズチャンピオンシップ」で今季2勝目を挙げた生源寺龍憲が前週277位から187位に浮上した。トップ200入りは自身初となる。
【画像】LIV惜敗の香妻陣一朗は賞金2億円超
大会2位の大岩龍一は659位から499位へ。同3位のスコット・ビンセント（ジンバブエ）は400位から358位。同4位の石坂友宏は613位から529位に順位を上げた。

米ツアー「ロケットクラシック」でツアー初優勝を挙げたアルドリッチ・ポットギーター（南アフリカ）が74ランク上げて自身最高の49位に浮上。大会を13位で終えた松山英樹は1ランク上げて11位だった。

欧州ツアー「イタリアオープン」を制したアドリアン・サディア（フランス）は72ランク上げて129位。

1位スコッティ・シェフラー、2位ロリー・マキロイ（北アイルランド）、3位ザンダー・シャウフェレから9位までは変動なし。米2勝のルドビグ・オーベリ（スウェーデン）が一つ上げて10位となった。

松山に続く日本勢は2番手に90位の久常涼（2ランクダウン）、3番手に123位の中島啓太（7ランクダウン）、4番手に133位の平田憲聖（3ランクダウン）、5番手に生源寺、6番手に188位の金谷拓実（1ランクアップ）で続いた。",[],[]
宮本勝昌は13位　ハリントンが大会2勝目／全米シニア（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/7de456b2d5fd76572ad80fef309695e66ae52719,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000010-gdo-000-1-view.jpg?exp=10800,2025-06-30T13:27:00+09:00,2025-06-30T13:27:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,318,"宮本勝昌は13位で大会を終えた※写真は昨年「いわさき白露シニアゴルフトーナメント」
◇米国男子シニアメジャー◇全米シニアオープン 最終日（29日）◇ブロードモアGC（コロラド州）◇7247yd（パー70）
【画像】シニア選手に学ぶプレーファストの極意
7打差10位から出た宮本勝昌が5バーディ、6ボギーの「71」で回った。通算イーブンパー13位で大会を終えた。

首位タイから出たパドレイグ・ハリントン（アイルランド）が5バーディ、2ボギーの「67」でプレーし、通算11アンダー。2022年以来となる大会2勝目をあげた。

スチュワート・シンクが通算10アンダー2位、ミゲル・アンヘル・ヒメネス（スペイン）が通算9アンダー3位で続いた。",[],[]
次戦はエビアン連覇にチャレンジ 古江彩佳がダブルス戦で取り戻したもの（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/535db97c9cdce93d9bd2dfc28aa6f2e3b4ba94ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000009-gdo-000-2-view.jpg?exp=10800,2025-06-30T12:19:00+09:00,2025-06-30T12:25:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,1048,"古江彩佳（右）はアン・ナリンとのダブルス戦を18位で終えた
◇米国女子◇ダウ選手権 最終日（29日）◇ミッドランドCC(ミシガン州)◇6287yd（パー70）
【画像】馬場咲希の3連続バーディフィニッシュに吉田優利も歓喜
古江彩佳は直近5試合で3度の予選落ちを喫して今大会を迎えていた。昨季米ツアーで決勝ラウンドに進めなかったのは、このダブルス戦だけ。平均ストロークNo.1にも輝いた安定感抜群の25歳が苦しんでいた。

予選落ちしたのは大会スポンサーのみずほフィナンシャルグループ米国法人のブランドアンバサダーを務めている「みずほアメリカズ・オープン」、そして「全米女子オープン」と「KPMG全米女子プロ選手権」のメジャー2試合。いずれも間違いなく気合の入る舞台で、「やっぱり頑張りたいって気持ちから、力が入りすぎて悪かったのかな」。冷静に振り返ってみれば、肩の力が抜けていなかったと思い当たる節がある。特に全米女子プロでは、練習ラウンドで真っすぐ飛んでいたショットが本戦に入って乱れるシーンが増えた。
プレーへの手応えとメンタル面の気付き
メンタル面への気付きと、アン・ナリン（韓国）とのペアで臨んだダブルス戦ならではのリラックスした雰囲気。テンポよく振った1Wできれいなドローボールを繰り出し、簡単そうにフェアウェイを捉えていく古江の姿が戻ってきた。「しっかり集中して、自信を持ちながら打てていたところはあると思います」とうなずく。

ペアのそれぞれがプレーしてホールごとに良い方のスコアを採用するフォアボール方式で、ボギーなしの7バーディ「63」の締めくくり。前半の4バーディはいずれもアンが獲った。「ナリンに任せっきりだった」と笑いながら、後半の2個できっちり貢献。7個目の17番も、チャンスにつけていた状況でパートナーが先に決めたものだから評価できる。
パートナーと楽しくプレーした4日間がエビアンにつながる
通算13アンダー18位で終え、次戦はいよいよ「アムンディ エビアン選手権」（7月10日～／フランス・エビアンリゾートGC）。歓喜の涙を流したメジャー初タイトルから1年が経ち、連覇に挑むことになる。「頑張らないといけないっていうのもありますけど、それでも気持ちを楽にして臨めたら」。ゲームを楽しむという原点に立ち返り、納得のプレーも少なからずあった4日間の手応え。自らのゴルフの根幹をなすメンタリティを取り戻し、大好きなエビアンへ飛び立つ。（ミシガン州ミッドランド／亀山泰宏）",[],[]
香妻陣一朗はプレーオフ惜敗も賞金2億円超　リードがLIV初V（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/ec4beffaceca51b5922a6f56fac7f5de8e2ca01b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000008-gdo-000-1-view.jpg?exp=10800,2025-06-30T11:36:00+09:00,2025-06-30T11:36:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,670,"香妻陣一朗は初優勝ならず（提供LIVゴルフ）
◇LIVゴルフリーグ◇ダラス 最終日（29日）◇マリドーGC (テキサス州)◇7533yd（パー72）
【画像】佐久間朱莉の優勝クラブ
2018年「マスターズ」覇者で米ツアー9勝のパトリック・リードがLIV初優勝を挙げた。3打差首位から2バーディ、5ボギー「75」で回り、通算6アンダー。首位に並んだ香妻陣一朗、ルイ・ウーストハイゼン（南アフリカ）、ポール・ケーシー（イングランド）とのプレーオフに突入し、1ホール目にバーディを奪い制した。22年から参戦する同リーグ初のタイトルとなった。

香妻は7打差9位から6バーディ、2ボギー「68」でプレーした。参戦2年目での初勝利にこそ届かなかったが、2位フィニッシュは自身リーグ最高位。賞金158万3333ドル（約2億2700万円）を獲得した。
パトリック・リードがLIVゴルフ初優勝（提供LIVゴルフ）
メジャー2勝のブライソン・デシャンボーは通算4アンダー9位。昨季年間王者のジョン・ラーム（スペイン）は通算3アンダー11位。年間ポイントレースのトップを走るホアキン・ニーマン（チリ）は通算2オーバー23位だった。

団体戦はデシャンボー率いるクラッシャーズGCが2位に11打差をつける通算18アンダーで制した。

また、今大会までのポイントランキング上位5人に7月17日開幕のメジャー「全英オープン」（北アイルランド・ロイヤルポートラッシュ）の出場権を付与。出場権を持たなかったセルヒオ・ガルシア（スペイン）が5位でメジャー切符を手に入れた。",[],[]
スタンスを取るとき砂山を踏みならしたら…どうなる？／ルールQ&A（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/b5a44e84040d70b634b8e3b6f0b13f1835ace88d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000007-gdo-000-1-view.jpg?exp=10800,2025-06-30T10:46:00+09:00,2025-06-30T10:46:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,1097,"（写真：ゴルフダイジェスト・オンライン）
フェアウェイ真ん中の2打目地点、両足でしっかりスタンスを取ると、右足がディボット跡に盛られた目土砂の上に乗った。砂山を靴でグリグリ踏みならしたところ、同組プレーヤーから「スイング区域の改善では？」とクレームがついた。
【画像】ひざを曲げたままヒラメ筋を刺激するトレーニング　振るBODYストレッチ
フェアウェイにある目土の砂に関する問題
■1
フェアにスタンスを取っても目土を踏みならすのは違反で2罰打。

■2
フェアにスタンスを取っても目土を踏みならすのは違反で1罰打。

■3
フェアにスタンスを取ったなら目土を踏みならしても問題ない。無罰。
（写真：ゴルフダイジェスト・オンライン）
バンカーじゃないから問題ないのでは？

◇◇◇◇
正解は「3」
砂やバラバラの土はルースインペディメント（＝自然物）ではないので、（グリーン上以外では）取り除いたり押し付けることはできません（定義）。ディボット跡に盛られた目土の砂も同様です。

ジェネラルエリアでは、ボールのすぐ近くの目土砂が気になる、目障りになるからといって、プレー前に踏んだりならしたりすると「ライの改善・意図するスイング区域の改善」違反で、2罰打が科せられます（規則8.1a、ルールQ&A2024年12月23日記事参照）。

ただし、目標を狙うためにスタンスをフェアに取ったとき、足下に目土砂がある場合は、それをグリグリ踏みならしても問題はなく、罰は科せられません。これは、ストロークのためにスタンスをとるときは両足をしっかりと地面に据えること、すなわち砂の中に足を潜り込ませることが規則で認められているからです（規則8.1b(5)）。（イラスト＆ルール解説／小山混）
ーーーーーーーー
＜ゴルフ規則＞（抜粋）
規則8.1b 認められる行動
ストロークの準備をしているときや、ストロークを行っているときに、プレーヤーは次の行動をとることができる。そして、その結果として、たとえそのストロークに影響を及ぼす状態を改善したとしても罰はない：
(5) スタンスをとるときに両足をしっかりと据える(合理的な程度で砂の中やバラバラの土の中に足を潜り込ませることを含む)。
(6) 球の所に行きスタンスをとるために合理的な行動をとることによってフェアにスタンスをとる。
しかし、そうする場合プレーヤーは：
・通常のスタンスをとったり、通常のスイングを行う権利はない。
・その特定の状況に対応するために最も控えめな行動をとらなければならない。

出典／(公財)日本ゴルフ協会発行2023ゴルフ規則より",[],[]
原英莉花は19位　ポイントランクは9位に浮上／米女子下部（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/72b2e69416d790369e926a30bde9138d25a5927c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000006-gdo-000-1-view.jpg?exp=10800,2025-06-30T09:48:00+09:00,2025-06-30T09:48:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,334,"原英莉花は19位でフィニッシュ（写真は2024年）
◇米国女子下部エプソンツアー◇オッタークリーク選手権 by ケース建設 最終日（29日）◇オッタークリークGC（インディアナ州）◇6666yd（パー72）
【画像】佐久間朱莉の優勝クラブ
原英莉花は4バーディ、2ボギーの「70」で回った。通算4アンダー19位で3日間大会を終えた。下部ツアーの年間ポイントレースでは10位から9位に浮上した。

シーズンは残り9試合、トップ15に来季レギュラーツアー出場権が付与され、10位以内はより出場優先順位の高いカテゴリーとなる。

28歳ジリアン・ホリスが「68」でプレーし、通算14アンダーで下部4勝目をあげた。

長野未祈、山口すず夏は通算2アンダー31位で大会を終えた。",[],[]
チャージ不発も笑顔の山下美夢有＆竹田麗央 チーム“山田”は好きな焼き肉店が一緒だった（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/b0712adf88f4dcb0b334030a1996a044f961a151,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000005-gdo-000-3-view.jpg?exp=10800,2025-06-30T09:09:00+09:00,2025-06-30T10:36:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,1232,"山下美夢有（左）と竹田麗央のチーム「山田」は18位でフィニッシュ
◇米国女子◇ダウ選手権 最終日（29日）◇ミッドランドCC(ミシガン州)◇6287yd（パー70）
【画像】馬場咲希の3連続バーディフィニッシュに吉田優利も歓喜
同組のレキシー・トンプソン＆メーガン・カンのペアが3番（パー5）から4連続バーディと勢いに乗る一方、山下美夢有と竹田麗央のチーム「山田」はもどかしい展開が続いていた。3打差7位スタートの好位置から伸ばしあぐね、徐々に後退。流れを変えるために動いた。

ペアのそれぞれがプレーしてホールごとに良い方のスコアを採用するフォアボール方式。2日目もプレーしたフォーマットで、一貫して竹田が先にティショットを打つ作戦だったが、7番（パー3）でその順番をスイッチした。竹田は「ずっとパーで、リズムが良くなかった。キャディさんのひと言で変えてみました」と明かす。
山下は正確なショットとショートゲームで後輩を支えた
竹田の1打目はグリーン右へ。クリーク（小川）に近く、スタンスも取りにくいラフから打ち上げるアプローチを寄せるのは至難の業だったが、ここからダブルス戦ならではのチームプレーにシフトした。チャンスにつけていた山下のラインを2人一緒に読んだシーンは、ここまで見られなかったもの。しっかり決めきった先輩にペコリと頭を下げてからグータッチした竹田は「私も続きたかったんですけど、きょうは足を引っ張ってしまって。ホントに『すみません…』って感じでした」と苦笑いで振り返る。力を合わせて決めたバーディもチャージの呼び水とはならず、「67」にとどまって通算13アンダー18位で終えた。

それでも山下は「悔しい結果にはなりましたけど、麗央ちゃんと4日間プレーできてすごく楽しかった。いい思い出になりました」と充実感をにじませる。昨季日本ツアーで最後まで年間女王を争った2人は試合で同組を回る機会も多かったが、タイトルを争うライバル同士で勝負の合間に会話を交わす機会は限定的。チームとして戦った4日間で関係を深め、新たな発見もあった。
竹田は山下との仲を深められたことを喜ぶ
竹田が「こんなにしゃべったのも初めて。すごく気の合うことも多かったです」と話したように、日本ツアーを転戦していた時にお気に入りだった焼き肉店が一緒だったことを知ったのも今週に入ってから。プライベートなトークに花を咲かせつつ、「ショートゲームがすごく勉強にもなりました」とゴルフ面で得られた恩恵も、もちろん大きい。

今度は7月10日開幕のメジャー「エビアン選手権」（フランス・エビアンリゾートGC）を皮切りに欧州での3試合。5月末のメキシコ開催「リビエラマヤオープン」から6連戦だった竹田は、楽しい時間を終えてすぐに気持ちを切り替える。「やっぱり、最後はパッティング。エビアンに向けて取り組んでいきたい」とオープンウィークのテーマを掲げた。（ミシガン州ミッドランド／亀山泰宏）",[],[]
20歳ポットギーターが死闘プレーオフ制して初優勝　松山英樹は13位（ゴルフダイジェスト・オンライン（GDO））,https://news.yahoo.co.jp/articles/5b0765c8a7313d9606ae316b88584536a60bb495,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250630-00000004-gdo-000-2-view.jpg?exp=10800,2025-06-30T08:32:00+09:00,2025-06-30T08:53:00+09:00,ゴルフダイジェスト・オンライン（GDO）,gdo,ゴルフダイジェスト・オンライン（GDO）,472,"松山英樹は「67」でプレー（Gregory Shamus/Getty Images）
◇米国男子◇ロケットクラシック 最終日（29日）◇デトロイトGC（ミシガン州）◇7370yd（パー72）
【画像】 佐久間朱莉の優勝クラブ
20歳のアルドリッチ・ポットギーター（南アフリカ）がツアー初優勝をあげた。正規のホールを6バーディ、3ボギーの「69」でプレーし、マックス・グレイサーマン、クリス・カークとともに通算22アンダー首位でホールアウトした。

プレーオフは2ホール目（15番パー3）でカークがボギーをたたいて脱落。5ホール目（15番パー3）でポットギーターがバーディを奪って競り勝った。
アルドリッチ・ポットギーターが初優勝（Gregory Shamus/Getty Images）
20位から出た松山英樹は7バーディ、2ボギーの「67」でプレーし、通算18アンダー13位で大会を終えた。

金谷拓実は「70」で回って通算11アンダー46位。久常涼は「71」で通算9アンダー60位。大西魁斗は「73」とスコアを落として通算7アンダー73位。",[],[]
