headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
那覇市で新型コロナの感染者数増加　市が注意喚起（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/8c8936260006e28f84d60b4f7b6d1d838473f126,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013836-otv-000-1-thumb.jpg?exp=10800,2025-07-10T19:36:02+09:00,2025-07-10T19:36:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,295,"沖縄テレビ
新型コロナウイルスの感染者が沖縄県那覇市で増加しているとして、市は手洗いや換気などの基本的な感染対策を心がけるよう呼び掛けています。

6月30日から7月6日までの1週間に、那覇市内10か所の定点医療機関から報告された新型コロナウイルスの感染者数は116人で、1医療機関あたり11.60人で前の週の8.30人から増加しています。

新型コロナはインフルエンザのような注意報や警報といった基準がありませんが、市は今後感染が流行するおそれがあるとして、手洗いや換気をすることや、咳が出る場合にはマスクを着用するなど、基本的な感染症予防をこころがけるよう呼びかけています。
沖縄テレビ",[],[]
やんばるの山でフートーの果実が実り甘い香りを漂わせる（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/6093fafbd0806bb4e89e2a842b2d93b9d55daef9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013830-otv-000-1-thumb.jpg?exp=10800,2025-07-10T19:33:02+09:00,2025-07-10T19:33:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,410,"沖縄テレビ
やんばるの山でフートーと呼ばれる果実が実り、甘い香りを漂わせています。

沖縄県今帰仁村呉我山で実っているのはフートーの実です。

バラのような香りがするため、英語ではローズアップルと呼ばれ、中国名のプータオ(蒲桃)から沖縄ではフートーと呼ばれるようになったと言われています。

ビワに似た形の果肉の中には種があり、振るとコロコロと音がします。

昔から地域の子どもたちは、熟した果実を夢中になってとって食べていたそうです。

フートーの実を食べた男性：
うま！

フートーの実を食べた女性：
本当においしい

フートーの実を食べた男性：
初めて食べました。見たこともなかったんですけどけっこう花のにおいが口の中に広がってめちゃくちゃうまいです

フートーの実を食べた女性
食感はシャキシャキ。りんごみたいです。まーさむん当たりました

今帰仁村の呉我山はフートーの実の甘い香りに包まれています。
沖縄テレビ",[],[]
7月10日は指笛の日　浦添市役所でミニコンサート（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/a4bf8c0ed8ef940518e71f8fee8de0250086b3f4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013831-otv-000-1-thumb.jpg?exp=10800,2025-07-10T19:31:01+09:00,2025-07-10T19:31:01+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,431,"沖縄テレビ
7月10日は指笛の日です。
「指笛」に親しんでもらおうと、沖縄県浦添市役所でミニコンサートが開かれました。

渡辺マリナアナウンサー：
指笛の音色が聞こえてきました。この指笛を吹く際、指を7のカタチにしたり、10本の指を使って吹くことができることから、7月10日が指笛の日とされています

2025年で制定から19年目を迎えた「指笛の日」。指笛の普及などに努める「指笛王国おきなわ」が浦添市役所で記念コンサートを開きました。

「芭蕉布」や「手のひらを太陽に」など9曲が演奏され、市民たちが手拍子で応えたり、指笛にも挑戦しました。

観客の女性：
感動で鳥肌が立ちました。今日は心の洗濯になった

観客の男性：
Ｑ指笛をやってみたくなりましたか？
そうですね。できなかったんですけど、指が太くて入らないんですけど、練習して吹けるようになりたいです。ことしのお盆までには

7月20日には、てだこホールでチャリティーコンサートも開かれます。
沖縄テレビ",[],[]
夏の交通安全県民運動出発式　飲酒運転の取り締まりを強化（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/b1a92ea21423156218c43c378cd496f96646a122,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013832-otv-000-1-thumb.jpg?exp=10800,2025-07-10T19:30:02+09:00,2025-07-10T19:30:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,311,"沖縄テレビ
7月11日から始まる夏の交通安全県民運動をまえに、那覇市で出発式が行われました。

交通安全県民運動の出発式には、地域のボランティアの交通指導員などが参加しました。

交通指導員：
私たちは飲酒運転をしませんさせません、許しません

祭りやビーチパーティなどでお酒を飲む機会が増える夏に、飲酒がらみの事故を未然に防ごうと、毎年この時期に「交通安全県民運動」を実施しています。

警察によりますと、2025年6月末までに県内で発生した人身事故は1190件で、18人が死亡しています。

県民運動は7月11日から20日まで行われ、警察は交通安全指導や飲酒運転の取り締まりを一層強化することにしています。
沖縄テレビ",[],[]
「薬物を使用しているいるかもしれない」家族が通報し発覚　『笑気麻酔』所持疑い16歳少年を逮捕（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/f6f46e6e20ce963fac99658a17419835ae49c1e0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013835-otv-000-1-thumb.jpg?exp=10800,2025-07-10T19:29:02+09:00,2025-07-10T19:29:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,465,"沖縄テレビ
指定薬物「エトミデート」が含まれた液体を所持していたとして、警察は10日、16歳の少年を逮捕したと発表しました。
沖縄県内では9日にも20代の男二人が逮捕されています。

指定薬物所持の疑いで逮捕されたのは、那覇市に住む無職の16歳の少年です。

少年は6月5日、自宅で指定薬物のエトミデートを含む液体およそ0.78グラムを所持した疑いがもたれています。

「薬物を使用しているかもしれない」と家族からの通報を受けた警察官が、少年の自宅から容器に入った液体のエトミデートを押収しました。

警察官が駆けつけた際、少年は手が震え叫び声をあげるなど異常な行動が見られたということです。

エトミデートを含んだ液体は「笑気麻酔」と呼ばれ若者の乱用が確認されていて、政府は2025年5月に指定薬物として輸入や販売、使用を禁止しました。

県警は入手経路を調べるとともに、エトミデートを含む危険ドラッグは健康被害や異常行動を引き起こし、最悪の場合死に至る恐れがあることから、興味本位で使用しないよう呼びかけています。
沖縄テレビ",[],[]
第32軍司令部壕展示施設の展示内容を話し合う第1回検討委員会（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/57a001a17736345042feb0e46eabb27eb61671ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013833-otv-000-1-thumb.jpg?exp=10800,2025-07-10T19:23:02+09:00,2025-07-10T19:23:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,499,"沖縄テレビ
沖縄戦で首里城の地下に構築された、第32軍司令部壕の全体像を伝える展示施設の整備にあたり、展示する内容などについて話し合う第1回目の検討委員会が、10日開かれました。今後、素案をとりまとめパブリックコメントを実施する予定です。

第32軍司令部壕は、2024年に沖縄戦の戦争遺跡として初めて県の史跡に指定されたほか、保存・公開を目指す基本計画に基づいて坑道の一部を公開するほか、壕の全体像を伝える展示施設を県立芸術大学の敷地内に整備する方針です。

10日、展示内容などについて話し合う第1回目の検討委員会が開かれ、沖縄戦の実相や教訓を伝え平和を希求する場を目指すことなどが示されました。

委員として出席した沖縄戦の研究者などからは、旧日本軍が第32軍司令部壕を放棄し、南部撤退を決定したことが多くの県民の犠牲を生んだことを伝えることや、子どもでも分かりやすく理解できるような展示を目指してほしいとする意見があがりました。

検討委員会は今後、展示内容に関する素案をまとめて12月にもパブリックコメントを実施することにしていて、展示施設の開設は2029年を目指しています。
沖縄テレビ",[],[]
陸上自衛隊が不発弾爆発事故の調査結果公表　作業中の衝撃が信管に伝わったことが原因（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/bcc6b12041ab536e7612f817f51e57330d0c22c2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013834-otv-000-1-thumb.jpg?exp=10800,2025-07-10T19:21:02+09:00,2025-07-10T19:21:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,596,"沖縄テレビ
2025年6月、沖縄県読谷村にある県の不発弾保管庫で不発弾が爆発し、自衛隊員4人が怪我をした事故について、陸上自衛隊は、不発弾に信管があるか確認する作業中の衝撃が信管に伝わったことが爆発の原因とする調査結果を公表しました。

事故は6月9日、読谷村にある県の不発弾保管庫で起きたもので、アメリカ製の75ミリ砲弾の不発弾が爆発し、陸上自衛隊第15旅団の隊員4人がけがをしました。

陸上自衛隊が10日公表した調査結果によりますと、不発弾の処分方法を検討するために、信管があるか確認する作業中に衝撃が信管に伝わった事が爆発の原因としました。

陸上自衛隊　森下泰臣陸幕長：
関係する自治体地域の皆様にご心配おかけしたことを改めてお詫び申し上げます。これまで不発弾の処理に関して一件の事故も無く、今回それが公になり我々としても重大な問題だと認識した

不発弾の処理にあたっては、爆発の恐れがあるものは自衛隊が爆破処理していますが、信管がないものなどについては外部に処分を委託しています。

今回、爆発した不発弾は腐食が著しく、信管があるか細部まで確認するためにサビを落とす作業中に爆発が起きたということです。

陸上自衛隊は再発防止策として、識別が難しい不発弾は全て爆破処分するとともに、信管に衝撃が加わる作業や、ドライバーやハンマーなどの工具の使用は禁止するとしています。
沖縄テレビ",[],[]
GW2050PROJECTS「みんなで考える 2050年の沖縄」将来の沖縄を担う若い世代に講演（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/7254f49a0886c1491953c33b93ffea9bacd54c8a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013829-otv-000-1-thumb.jpg?exp=10800,2025-07-10T12:13:02+09:00,2025-07-10T12:13:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,476,"沖縄テレビ
基地返還跡地の一体的な開発や沖縄らしい産業の創出を目指すプロジェクトの実現へ向けて、これからを担う若い世代を巻き込む取り組みが進められています。

「みんなで考える2050年の沖縄」をテーマに沖縄高専の4年生に講演したのは、GW2050PROJECTS協議会 事務局の比嘉秀樹さんです。

GW2050PROJECTSは、那覇空港や返還が予定される基地の跡地を一体的に開発し、世界と勝負する産業の創出を目指すとともに、国際基準の教育や人材育成のモデル構築を官民で進めます。

比嘉さんはアジアの玄関口にある沖縄が日本をけん引し、グローバルな成長を遂げるポテンシャルがあると学生たちに熱く語りました。

GW2050PROJECTS協議会 事務局 比嘉秀樹さん：
25年後、中核で活躍されるのはきょうここにいるみなさま。こういう計画をもとに自分が沖縄のためにどういった関わり方ができるのかを考えるきっかけにしていただければと思っています

協議会では今後も将来の沖縄を担う若い世代にプロジェクトの意義を伝えていくことにしています。
沖縄テレビ",[],[]
性教育のあり方を考えるシンポジウム 子どもたちに性に関する正しい知識を（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/a54c8432250d30deeeb565134231a1f3a21f4b68,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013828-otv-000-1-thumb.jpg?exp=10800,2025-07-10T12:13:02+09:00,2025-07-10T12:13:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,480,"沖縄テレビ
性に関する正しい知識を子どもたちにどう伝えるかについて考えるシンポジウムが、6月に沖縄県北谷町で開かれました。

性教育の在り方をテーマに開かれたこのシンポジウムには、教育関係者や大学生などおよそ100人が参加しました。

性の悩みを抱える子どもたちを支援する知念菜穂子さんは、現場で寄せられた声を紹介しながら誤った情報が広がっている実態を指摘しました。

知念菜穂子さん：
例えば「女の人ってぶたれながらやるの気持ちいんだよね」何を見たのかなって感じですよね。「男と女で体温差が０．５℃あれば妊娠しないって聞きました」これはネット情報です

また、生理の貧困の解消に向けて小中学校に出前授業を行う大学生からは、子どもたちに性について教えることの難しさも語られました。

大学生：
汚い、嫌だ、恥ずかしい、っていうマイナスのイメージがあるからこそ、性教育をしたとしても、自分たちでシャットダウンしちゃう

このほか、シンポジウムでは性交や妊娠の過程を教えてはならないとする文部科学省の学習指導要領を見直すべきだとする意見も挙がりました。
沖縄テレビ",[],[]
指定薬物「エトミデート」所持で男2人逮捕 沖縄県内の若者の間で危険ドラッグ「笑気麻酔」の乱用確認（沖縄テレビOTV）,https://news.yahoo.co.jp/articles/5a6d398de110fe8abb1ce773c6bb4ade94f01b86,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250710-90013827-otv-000-1-view.jpg?exp=10800,2025-07-10T12:12:02+09:00,2025-07-10T12:12:02+09:00,沖縄テレビOTV,otv,沖縄テレビOTV,352,"沖縄テレビ
指定薬物「エトミデート」が含まれた液体を所持していたとして9日、20代の男2人が逮捕されました。エトミデートの所持で摘発されたのは全国で初めてです。

警察によりますと、エトミデートは「笑気麻酔」と呼ばれ、県内の若者の間で乱用が確認されていて、5月に指定薬物とされ輸入や販売、使用することなどが禁止されています。

5月に浦添市の公園でエトミデートを含む液体およそ0.8グラムを所持した疑いで、浦添署は9日、市内に住む男2人を逮捕しました。

通報を受けた警察官が手足がけいれんした状態の2人を発見し、その場で容器に入った液体のエトミデートを押収したということです。

エトミデートの所持による摘発は全国で初めてで、警察は2人と一緒にいた10代の少年にも任意で調べを進めています。
沖縄テレビ",[],[]
