headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【七夕賞】前日最終オッズ単勝１番人気はドゥラドーレスの３・３倍　１０倍以下は４頭（馬トク報知）,https://news.yahoo.co.jp/articles/5435c849d1fe1272273e2c8649ccad1b10c670c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121228-umatokuh-000-2-view.jpg?exp=10800,2025-07-12T18:48:16+09:00,2025-07-12T19:00:30+09:00,馬トク報知,umatokuh,馬トク報知,467,"ドゥラドーレス
◆第６１回七夕賞（７月１３日、福島競馬場・芝２０００メートル）

　七夕賞の前日最終オッズがＪＲＡから７月１２日、発表された。
【データで見る】ドゥラドーレスの血統、戦績
単勝１番人気は有馬記念を制したレガレイラの半兄（１５）ドゥラドーレス（牡６歳、美浦・宮田敬介厩舎、父ドゥラメンテ）で３・３倍。８戦４勝２着２回３着１回と充実ぶりがうかがえる（２）コスモフリーゲン（牡５歳、美浦・畠山吉宏厩舎、父スクリーンヒーロー）が５・１倍で続いた。３番人気は連勝中と勢いに乗る（８）シリウスコルト（牡４歳、美浦・田中勝春厩舎、父マクフィ）で６・６倍。４番人気の（１２）シルトホルン（牡５歳、美浦・新開幸一厩舎、父スクリーンヒーロー）の８・０倍までが単勝１０倍以下。

　馬連は（２）―（１５）が唯一の１０倍以下。（８）―（１５）が１０・３倍、（２）―（８）が１２・９倍、（１２）―（１５）が１５・１倍で続いている。

　３連単は（１５）→（２）→（８）が４６・７倍で１番人気。上位１０通りが１００倍未満となっている。
報知新聞社",[],[]
【函館１１Ｒ・五稜郭Ｓ】パレハが２連勝でオープン入り　鮫島克駿騎手「差す形が板についてきた」クイーンＳを目標に（馬トク報知）,https://news.yahoo.co.jp/articles/a6e3984c019a772879eee7fc20813704927277be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121167-umatokuh-000-2-view.jpg?exp=10800,2025-07-12T16:48:11+09:00,2025-07-12T16:56:31+09:00,馬トク報知,umatokuh,馬トク報知,457,"五稜郭Ｓを制したパレハ（カメラ・山本　理貴）
７月１２日の函館メイン・五稜郭Ｓ（３歳上３勝クラス、芝１８００メートル＝１４頭立て）は、４番人気のパレハ（牝４歳、栗東・新谷功一厩舎、父サトノクラウン）が勝利した。勝ち時計は１分４６秒３（良）。
【データで見る】パレハの血統、戦績
道中は中団のインを追走。手応えよく迎えた直線で、エラトー（２着）とラーンザロープス（７着）の間を割って抜け出した。後続の猛追を頭差で退け、２連勝でオープン入りを決めた。

　今回が７戦目のコンビだった鮫島克駿騎手は「滞在で具合は良かったです。差す形が板についてきて、小回り１８００メートルのような器用さを求められるコースで、より力を発揮できるようになりましたね」とうなずいた。新谷調教師は「競馬センスはもともとありましたし、滞在もコンディションを整えるために良かったと思います。ベストは１８００メートルですね」と振り返った。今後は状態を見ながらクイーンＳ・Ｇ３（８月３日、札幌競馬場・芝１８００メートル）を目標に調整される。
報知新聞社",[],[]
【福島１１Ｒ・安達太良Ｓ】素質馬復活！　カルロヴェローチェが１０戦ぶりＶ　丸山元気騎手「うなるほどの手応え」（馬トク報知）,https://news.yahoo.co.jp/articles/ba69efe6117fccdbc3fda91165422ce4d2127b7e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121163-umatokuh-000-2-view.jpg?exp=10800,2025-07-12T16:47:38+09:00,2025-07-12T16:55:14+09:00,馬トク報知,umatokuh,馬トク報知,353,"安達太良Ｓを制したカルロヴェローチェ（手前、カメラ・荒牧　徹）
７月１２日の福島１１Ｒ・安達太良Ｓ（３歳上オープン、芝１２００メートル＝１４頭立て）は、丸山元気騎手が騎乗したカルロヴェローチェ（セン５歳、栗東・須貝尚介厩舎、父シルバーステート）が制覇。２３年ＮＨＫマイルＣで１番人気に支持された（５着）素質馬が、２３年１月以来となる１０戦ぶりの勝利を飾った。勝ちタイムは１分９秒５（良）。
【データで見る】カルロヴェローチェの血統、戦績
スタートからいい行きっぷりで道中は３番手を追走。前の２頭もしぶとく粘ったが、ゴール前で一気にとらえた。丸山騎手は「レース前に落ち着いていたのが良かった。うなるほどの手応えでした。いい感じに脚がたまって、最後にはじけてくれましたね」とねぎらった。次走は未定。
報知新聞社",[],[]
【小倉１１Ｒ・釜山Ｓ】スマートアイが逃げ切りオープン入り　幸英明騎手「１０００メートルでしっかり走ってくれた」（馬トク報知）,https://news.yahoo.co.jp/articles/41a6335f3ce52ea0dfe4469cef8b774184d1e8cf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121162-umatokuh-000-2-view.jpg?exp=10800,2025-07-12T16:47:16+09:00,2025-07-12T16:53:59+09:00,馬トク報知,umatokuh,馬トク報知,343,"釜山Sを勝ったスマートアイ（右）と幸英明騎手（左から３人目）ら関係者（カメラ・戸田　和彦）
７月１３日の小倉１１Ｒ・釜山Ｓ（３歳上３勝クラス、ダート１０００メートル＝１０頭立て）はスマートアイ（牝５歳、栗東・寺島良厩舎、父へニーヒューズ）が逃げ切りオープン入りを決めた。勝ち時計は５９秒０（良）。
【データで見る】スマートアイの血統、戦績
スタートを決めると、押して押して積極的にハナを主張。残り２００メートル付近でムチが入ると、ラストまで力強く脚を伸ばして押し切った。初コンビの幸英明騎手は「スタートも速かったですし、１０００メートルでしっかり走ってくれた。他の条件で乗ったことはありませんが、ラストで甘くなっていたので、この条件は良かったかなと思います」と勝因を挙げた。
報知新聞社",[],[]
松山弘平騎手がＪＲＡ通算１３００勝　小倉１０Ｒでの記録達成に「デビューした地ですし、大好きな競馬場」（馬トク報知）,https://news.yahoo.co.jp/articles/9f2ad6a6b2a8f48197e97b72aa3b25d3ab9eba65,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121156-umatokuh-000-2-view.jpg?exp=10800,2025-07-12T15:47:27+09:00,2025-07-12T15:52:23+09:00,馬トク報知,umatokuh,馬トク報知,340,"小倉１０ＲでＪＲＡ１３００勝を達成した松山弘平騎手（左から２人目）（カメラ・山下　優）
７月１２日の小倉競馬１０レース、八女特別（３歳上２勝クラス）で１番人気のルフトクス（牝４歳、栗東・杉山佳明厩舎、父ニューイヤーズデイ）が快勝。この勝利で、騎乗した松山弘平騎手（３５）＝栗東・フリー＝がＪＲＡ通算１３００勝目を挙げた。
【データで見る】ルフトクスの血統、戦績
この日３勝目となった松山騎手は「今日中に達成できてほっとしています。いい馬に乗せていただいているおかげです。１３００も勝ててうれしい思いですし、感謝の気持ちでいっぱいです。（小倉は）デビューした地ですし、大好きな競馬場です。これからも、ひとつひとつを積み重ねていきたいなと思います」とファンにあいさつした。
報知新聞社",[],[]
佐々木大輔騎手が函館７ＲでＪＲＡ通算２００勝を達成　「決めることができてほっとしています」（馬トク報知）,https://news.yahoo.co.jp/articles/0f7226047fb9674bd6afda3f821936e8b98c4985,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121147-umatokuh-000-3-view.jpg?exp=10800,2025-07-12T15:44:13+09:00,2025-07-12T17:14:23+09:00,馬トク報知,umatokuh,馬トク報知,462,"佐々木大輔騎手
佐々木大輔騎手＝美浦・菊川正達厩舎＝は、７月１２日の函館７Ｒ・３歳上１勝クラス（ダート１７００メートル）でリアルクイーンに騎乗して１着となり、ＪＲＡ通算２００勝を達成した。２０２２年３月５日のデビューから、２３０６戦目での到達。重賞は今年の函館記念・Ｇ３（ヴェローチェエラ）など通算４勝。
【データで見る】リアルクイーンの血統、戦績
佐々木大輔騎手「函館期間中に２００勝を決めることができてほっとしています。ここまでたくさんチャンスのある馬に乗せていただいた調教師の方々やオーナーの方々などに感謝の気持ちしかありません。少し制裁が多いので、なるべく気をつけて安全に乗りたいと思っています。仲のいい同年代のジョッキーから、Ｇ１レースをたくさん勝たれているジョッキーまで、幅広い層のジョッキーが函館競馬場で騎乗しているので、自分もしっかりと勉強しながら、安全に気をつけて頑張りたいと思っています。これから函館開催も残っていますし、札幌開催もあるので、引き続きたくさん勝てるように頑張りたいと思います」
報知新聞社",[],[]
「久々にゾクゾク」「強すぎワロタ」出遅れ→大外まくり→５馬身差Ⅴに衝撃走る　覚醒したのは３歳馬リアンベーレ（馬トク報知）,https://news.yahoo.co.jp/articles/c59175da9a648ab3c3f22d601b7fa01fa3bd4b2b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121128-umatokuh-000-1-view.jpg?exp=10800,2025-07-12T14:30:40+09:00,2025-07-12T14:30:40+09:00,馬トク報知,umatokuh,馬トク報知,758,"勝利したリアンベーレ（左、カメラ・荒牧　徹）
福島競馬の１勝クラスを勝ち上がった３歳馬にＳＮＳでは衝撃が走っている。７月１２日の福島７Ｒ・３歳上１勝クラス（芝２０００メートル＝１５頭立て）を５馬身差で圧勝したのは、津村明秀騎手とコンビを組んだリアンベーレ（牡３歳、美浦・手塚貴久舎、父キズナ）。春のクラシックには出走できなかったが、２勝目ゲットで牡馬３冠最終戦となる菊花賞出走への道をこじ開けた。
【データで見る】リアンベーレの血統、戦績
単勝オッズは４・６倍の３番人気。大外の１５番枠から外へ寄れる形でスタートを切ると、大きく後方に置かれる厳しい展開を強いられた。向こう正面から徐々にポジションを上げて、３コーナーでは中団まで進出。大外からまくるように上がっていくと、４角５番手で最後の直線を迎えた。鞍上が気合を注入すると先行馬を飲み込み、突き放しにかかる。最後は５馬身差でフィニッシュ。勝ち時計は２分３秒０と平凡だったが、序盤にビハインドを抱えながら粗削りなレースぶりで衝撃的な強さを見せた。

　同馬は昨年８月の札幌でデビュー。のちに桜花賞＆オークスで２着に好走するアルマヴェローチェに首差２着まで迫ったが、初勝利は３戦目の東京で挙げた。その後はダートも試しながら自己条件で４戦を消化。掲示板の確保すら厳しい状況だった。

　衝撃的な勝ちっぷりにＳＮＳでは「もう一戦するのかな？」「強すぎワロタ」「え、ここから勝つのって思ったよね」「最後突き放すとか別馬か！」「久々にゾクゾクする競馬だったぞ」「馬が強すぎる」「今後も楽しみになる勝ち方」「本当に持ってるモノは凄いんだろうなぁ」「ゲートさえ改善すればオープンまで行けるくらいの強さだった」「強い勝ち方でうれしいぞ」など驚きのコメントが上がっている。
報知新聞社",[],[]
土曜福島競馬場の注目激走馬…福島１１Ｒ安達太良ステークス（馬トク報知）,https://news.yahoo.co.jp/articles/ad649e73f716c71da846f14b33f615f4399b3714,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121129-umatokuh-000-2-view.jpg?exp=10800,2025-07-12T14:27:03+09:00,2025-07-12T18:24:18+09:00,馬トク報知,umatokuh,馬トク報知,362,"カルロヴェローチェ
福島１１Ｒ・安達太良ステークス・馬トク激走馬＝カルロヴェローチェ

　ＮＨＫマイルＣで５着に入った実績は、このメンバーでキラリと光る。ここ５戦は２ケタ着順が続いているが、去勢後の２戦は、前付けして、着実に粘りが増してきており、復活の兆しは感じさせる。
【データで見る】カルロヴェローチェの血統、戦績
ハイレベルの前走の京王杯スプリングＣ（１０着）後にＭデムーロ騎手は「ひと息で走っている感じだが、流れに乗っていいところにはつけられた」とコメント。再度の距離短縮はプラスに出るとみる。

　６月２５日に外厩・ノーザンファームしがらきから帰厩し、坂路で時計４本。１週前には４９秒９の爆裂時計をたたき出すなど、走る態勢は整っている。２番枠からスムーズに運べば、久々の争覇圏に加わっても不思議はない。
報知新聞社",[],[]
【福島６Ｒ・２歳新馬】ショーリバースで津村明秀騎手が通算７００勝を達成「師匠の馬で決めることができて嬉しい」（馬トク報知）,https://news.yahoo.co.jp/articles/811206a1295c7eb8571111d3be87a048b046e97a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121119-umatokuh-000-2-view.jpg?exp=10800,2025-07-12T13:41:48+09:00,2025-07-12T13:44:50+09:00,馬トク報知,umatokuh,馬トク報知,385,"デビューVを飾ったショーリバース（左、馬上の津村明秀騎手はJRA通算７００勝を達成）（カメラ・荒牧　徹）
７月１２日の福島６Ｒ・２歳新馬戦（ダート１１５０メートル＝１４頭立て）はショーリバース（牡２歳、美浦・鈴木伸尋厩舎、父フォーウィールドライブ）が勝利。騎乗した津村明秀騎手はＪＲＡ通算７００勝を達成した。勝ち時計は１分１０秒０（良）。
【データで見る】ショーリバースの血統、戦績
好スタートから先行集団で運び、３頭横並びのきつい展開だったが、直線はしっかり脚を使ってライバルを振り切った。新馬戦で区切りの勝利を手にした津村明秀騎手は「普段から乗せてもらっていたので癖は分かっていました。手が掛からないし、もっと距離が延びても良さそう。今後が楽しみです。７００勝？　（自身が騎手デビュー時に所属していた）師匠の馬で決められたのがうれしいです」と笑顔だった。
報知新聞社",[],[]
【函館５Ｒ・２歳新馬】ソダシ半妹マルガでデビューＶの武豊騎手「ほっとしました」　レコード樹立に「素質はあります」（馬トク報知）,https://news.yahoo.co.jp/articles/35ae7049f438a70daf901f3cbadf3ef1ee949166,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250712-07121116-umatokuh-000-2-view.jpg?exp=10800,2025-07-12T13:37:31+09:00,2025-07-12T13:38:58+09:00,馬トク報知,umatokuh,馬トク報知,1147,"１分４８秒１の２歳コースレコードでデビュー勝ちを飾ったマルガ（カメラ・山本　理貴）
７月１２日の函館５Ｒ・２歳新馬（芝１８００メートル＝７頭立て）は、Ｇ１・３勝を挙げたソダシの半妹で、同じ白毛のマルガ（牝、栗東・須貝尚介厩舎、父モーリス）が単勝１・１倍の圧倒的人気に応えて勝利した。勝ち時計は１分４８秒１（良）の２歳コースレコード。
【データで見る】マルガの血統、戦績
ゲートを出ると、スッと重心を下げて先手を主張。すんなりとハナに立ち、前半１０００メートル通過が６０秒４のスローペースに落として先頭で快調なリズムを刻んだ。３コーナーで外からサントルドパリ（２着）が早めの仕掛けで競りかけてきたが、慌てず、力むことなく直線へ。武豊騎手がゴーサインを出すと、四肢をいっぱいに伸ばして力強く加速。上がり最速タイの３５秒７の末脚で２着に３馬身差をつけ、２０１８年にウィクトーリアが記録した１分４８秒３を０秒２更新し、２歳コースレコードを樹立した。

　２０１９年３月のハヤヤッコ以来の白毛馬での勝利となった武豊騎手は「注目度が高かったので、ほっとしました」と安どの表情を浮かべた。「無理してハナに行ったわけではないんだけど、内でごちゃつくよりは自分のペースのほうがいいと思って行きました。まだ口向きに難しいところはあるけど、柔らかくていい馬。素質はあります。楽しみですね」と能力を高く評価した。

　須貝調教師も「ほっとしました」と第一声。「ほんと、注目されていたからね。調教で併せていたショウナンガルフがあれだけ強かったから、果たしてどうかと思っていたけど、うまくここまで持ってこれて、馬のリズムで走れていた。向こう正面は少しヒヤッとしたけど、それでもやっぱり力は違うから」と胸をなで下ろした。今後については「牝馬路線にいきたい。１８００メートルだとちょっとハミをかむところがある。そうなると距離の融通がね。アルテミスＳ（１０月２５日、東京競馬場・芝１６００メートル）あたりを目標にしたい」との方針を明かした。近日中にノーザンファーム空港に放牧に出され、秋に備える予定。

　デビュー前から注目を集めていた、希代のアイドルホースの初めての白毛の半妹。姉は２０２０年の阪神ＪＦを制して２歳女王に輝き、白毛馬として史上初のＧ１制覇を果たした。次戦の２０２１年の桜花賞を１分３１秒１のレースレコードで制し、古馬となってからも、２０２２年のヴィクトリアマイルを勝利。約３年間の現役生活でＧ１・３勝を含む重賞６勝をマークし、２０２３年に惜しまれながら現役を退いた。

　姉と同じ、７月１２日の函館・芝１８００メートルでのデビューＶ。多くの競馬ファンを魅了してきた白毛一族の伝説が、再び幕を開けた。
報知新聞社",[],[]
