headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【解説】投票日迫る参院選終盤情勢は?与党の厳しさ「1人区」でも!?政治ジャーナリスト・青山和弘氏が詳しく(静岡)（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/cb8f213aef42aea61305dc5b246b4f4a7e377415,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-04262547-sdt-000-3-thumb.jpg?exp=10800,2025-07-16T19:57:00+09:00,2025-07-16T20:03:21+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,3478,"Daiichi-TV(静岡第一テレビ)
（スタジオ解説）
（伊藤 薫平 キャスター）
ここで参院選・終盤戦の情勢について改めて整理します。

今回の選挙は定数248議席のうち改選の125議席を争います。最大の注目は自民と公明の与党が過半数を維持できるか。非改選が「75」ですので、今回「50議席」を獲得すれば過半数の125議席を維持できます。しかし、今回の調査で、獲得は「厳しい情勢になった」ことが分かりました。国民民主党や参政党は勢いが衰えず、大幅に議席を増やす情勢です。

勝敗の鍵を握るのが「1人区」です。定数1。つまり1人だけ当選する選挙区で「差が付きやすい」のが特徴。全国に32ありますが、序盤の調査で自民・与党系リードは10地区でしたが、それが7に。接戦は10でしたが、5に減少。そして野党系リードは12でしたが、20に増えました。この状況というのは…青山さん、何が起きているんでしょうか?

（政治ジャーナリスト　青山 和弘 氏）
簡単に言うと石破政権の批判がそれだけ強いということに他ならないんですね。特に序盤の調査ほど、やはり組織力のある政党に支持が集まりやすいんですが、終盤になるに従って、普段は、どこを支持するかはっきり言えないという人が、だんだん選挙が近づいて調べていって態度をはっきりする…その無党派層が、ほとんど野党系に流れているというのが1つ。さらに今回は、普段は自民党を支持しているという人の中からも野党に流れている人が多い。そういう中で、どんどん後半になるに従って野党系のリードが広がっている。これはですね、まだ20%そこそこの人は、まだ決めていない。その人たちも、さらに、その野党系…このトレンドに乗ってくる可能性が強いとなると、さらに自民・与党側にとっては厳しい結果になってくる可能性も否定できないということだと思います。

（津川 祥吾 アンカー）
青山さん…この「1人区」、1人しか当選しない選挙区ですね。静岡県外の選挙になりますが、この全国の「1人区」の中で、例えばですね、私は…北関東の栃木ですとか群馬、元々自民党が非常に強かったところですとか、あるいは東海地方で言うと岐阜ですね、ここは現職の人が今回いらっしゃらないんですが、野党系の、立憲と維新が候補者を一本化した…こういったところを注目しているんですが、青山さんが注目している選挙区というのはどの辺ですか?

（政治ジャーナリスト　青山 和弘 氏）
一般的に参議院選挙はですね、東北の方は野党が強い、だけど西日本は自民党が強い言われてきたんですね。ただ今回ですね、先ほど全国のニュースでも伝えていましたけれども、例えば九州は「1人区」は、もうほとんど野党系がリードとなっているんですよ。もう、このこと自体が、ちょっと今までには考えられないような状況なんですね。やはり、これまである程度…例えば先ほど群馬ってお話しましたけど、群馬というのは首相を戦後3人も出している保守王国ですけれども、そういうところでも接戦が伝えられるようになってきている。こういったところに今の石破政権の苦境がですね、まさに如実に現れていると思います。

（伊藤 薫平 キャスター）
この注目の「1人区」ですけれども。過去の自民党の参院選を見ますと、こういった事例もあります。2022年の岸田政権の時には、28勝4敗。24勝ち越していた。圧倒的強さをみせたわけなのですが、今回は13負け越しそうな情勢。2007年、安倍政権の時ですけれども、6勝23敗で、17負け越し。この時には、後に、当時の安倍首相の辞任にもつながっていきました。青山さん、このままの勢いで自民が仮に大敗するということになると、石破首相の辞任というのも避けられない状況なのでしょうか？

（政治ジャーナリスト　青山 和弘 氏）
これはですね、実は自民党には両論あるんです。やはり、やめるべきじゃないという人の理由は2つあって、1つは、今、アメリカとの関税交渉の最中で、8月1日で25%の関税がかかるかどうかの期限が来る。今、首相を変えるとなると交渉できない…というのが1つ。さらに、石破さんが変わるとなりますと、今度、国会でまた新たな首相を指名しなければいけない。首班指名選挙をしなければいけないんです。その時に、本当に次の自民党の総裁が首相に選ばれるか分からなくなってしまう。つまり、衆議院でも過半数割っている、参議院でも割っているんだから、今度、野党側の代表が首相になってしまうかもしれない。そのリスクを犯かしたくないという声があるんです。ただ、私は、それは、実は少数派で、自民党の中には、やはり、衆議院の選挙でも参議院の選挙でも過半数を割り込んだら、やはり、もう石破さんは続けられない…という人の方が多いんですね。ただ、その場合は、では関税交渉をどうするのか…そして新総裁を、いつ、どのような形で選ぶのか…という問題が起きてくるのです。ただ、これはですね、この選挙結果が出て、すぐ決めていかなければいけない。というのは、選挙結果が出る前から、ある程度シミュレーションしていかなければいけないんです。実は、私、きのう、きょうも取材しているのですが、そろそろ、そのシミュレーションを始めなければいけない段階に入ってきている。そんな中で、自民党内は非常に、今、混乱しているというのが実態だと思います。

（伊藤 薫平 キャスター）
その全国の流れが静岡ではどうかというのを見ていきたいのですけれども。静岡選挙区の状況。これまでは「無風」と言われてきたわけですが、終盤になり状況が変化してきています。

終盤の情勢調査ですが、国民民主党の榛葉さんが頭1つ抜けて安定した戦いです。

自民党の牧野さんが続いて追いかけていますが、終盤に来て参政党の松下さんが牧野さんを追い上げていることが分かりました。牧野さんとの差が縮まって競り合っているという状況です。

共産党の鈴木さんは、序盤と比べ支持は広がっていない状況。他3人の候補は厳しい情勢となっています。

ただ、2割半ばの人が投票先を明らかにしていないため、情勢は大きく変わる可能性があります。

青山さん、全国的な流れというのが…この静岡でも現れていると見ていいのでしょうか?

（政治ジャーナリスト　青山 和弘 氏）
そうですね。実は、この「2人区」というのはですね、われわれから見ると、大体、与党、野党が1議席ずつで無風というのが、これまでの定番なんですね。そんな静岡でも、この参政党の候補者が、自民党の候補者と差が縮まって競い合うというのはですね、まさに、今回の選挙の象徴なのです。「2人区」とか「3人区」で、自民、公明、立憲とかですね、そういった「指定席」みたいなところに、国民民主党や参政党が食い込んでくる可能性が相当出てきている。これが、どれぐらい広がるかで、やはり自・公が過半数割れに近づいていってしまうのか、さらに議席を減らしてしまうのか…という結果に結びついてくると思います。ですので、やはり静岡の結果は、ものすごく注目を集めていると言っていいと思います。

（津川 祥吾 アンカー）
青山さん、こんな中で、非常に大きく変わるかもしれない、最終盤、各党の戦い方というのは…どういったとこがろ予想されますか?

（政治ジャーナリスト　青山 和弘 氏）
あの…情勢が大きく変わってきてるんですね。先ほど言ったように、「接戦区」が動いてきてますので、やはり、最終盤、重点区は「選択と集中」をしていかなければいけないので、これまで、ここに力を入れたのだけども…変えていかなければいけない、というのを各党がこれからやっていくのですが、今、やはり、あまりにも自民党が劣勢なので、私も取材すると、この「選択と集中」のやり方で、今、非常に…なんというんですか、立ち遅れているというか…ついていけてない状況になっているんです。これが、うまくできるかどうかが、やはり、各党の今後の、やはり最終結果がどうなるか…というものに大きく結びついてくると思います。

あとはですね、もう1つ、この最終盤は、やはり結果を見据えた動きが始まるんですね。やはり、この後どのように国会を、臨時国会を開くのか、首班指名選挙をやるのかやらないのか…石破さんは退陣するのかしないのか…、もしくは、もし…連立を組み換えるのかどうか、そういったことも検討が始まるという段階に入っていると思います。",[],[]
【交通情報】17日にかけ予想される大雨に伴い新東名高速「静岡IC～藤枝岡部IC」間上下で通行止めとなる可能性(ネクスコ中日本発表)（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/afc852ad8ac93a577bf80f0abbc52d5b8d8d3872,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-05378983-sdt-000-3-thumb.jpg?exp=10800,2025-07-16T18:08:00+09:00,2025-07-16T18:32:26+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,123,"Daiichi-TV(静岡第一テレビ)
「ネクスコ中日本」は、16日午後、大雨の影響で通行止めの可能性がある区間を発表しました。

新東名高速「静岡IC～藤枝岡部IC」間の上りと下りで、17日の午後0時から午後6時の間に規制を開始する見込みです。",[],[]
【人気】わざわざ買いに行きたくなる!?高速道路SAのベーカリー…こだわり絶品パンの秘密に迫る（静岡）（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/b67cff4d0c2fc96576712765105600c339f9c9d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-03871675-sdt-000-1-thumb.jpg?exp=10800,2025-07-16T17:49:01+09:00,2025-07-16T17:49:01+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,2579,"Daiichi-TV(静岡第一テレビ)
もうすぐ夏休み！車で出かけSAに立ち寄る人も多いと思いますが、いま、そこにあるベーカリーが進化しています。わざわざ行きたくなるその魅力を調査しました。

ずらりと並んだおいしそうなパンの数々。一体どこのベーカリーかというと…。それは高速道路のサービスエリア。

実は今、静岡県内のサービスエリアには、店内で焼き上げる本格的なベーカリーが多数、出店しているのです。その人気ぶりはというと…。

（サンエトワール 　本田 初美 店長）
「一日400個出ます」

圧倒的な人気を誇るプレミアムなスイーツパン。

（買い物客）
「すごく…おいしいです」

そして、地元の特産品を大胆に使った総菜パンに…、本格的な焼きたてピザを手頃な価格で味わえるベーカリーも…。

「every.life」は、高速道路のサービスエリアにある人気ベーカリーを大調査。わざわざ買いに行きたくなる、こだわりが詰まったパンの数々、その人気の秘密に迫ります。

まずは、新東名高速・下り「静岡サービスエリア」へ。実は、ここに大人気のベーカリーが。客のお目当ては…？

（大阪に帰る観光客）
「帰りは静岡にということで、これを買いに来ました」

これから大阪に帰るという女性が手にしたのは店一番の人気商品「プレミアムメロンパン」。このパンを買うために、いつも必ず立ち寄るといいます。

（大阪に帰る観光客）
「クリームが入っていて、こういう感じのはあまりない。すごくおいしいです。はよ買っとき～、食べたことないから一回買っときって～」

（サンエトワール 　本田 初美 店長）
「一日400個出ます。日曜日の夕方などは客が多いので、特にメロンパンを目的に買いに来る人が多いので、ずっと焼きっ放しという感じ」

圧倒的な人気を誇る「プレミアムメロンパン」。見た目からも食欲をそそりますがその中身にもこだわりが…。ふんわりとした生地の中にはたっぷりのメロンクリーム。これには静岡県産メロンの果汁が使われていて、メロンの豊かな香りが口いっぱいに広がります。

そして、人気商品は他にも…。これは「ミルフィーユブレッド」。発酵バターとパン生地を16層に織り込んで四角く焼き上げ割いて食べられるデニッシュパンです。さらに、これはバニラ香るカスタード風味のクリームをたっぷりと絞った「幻のクリームパン」。一体、何が幻なのかというと…。

（サンエトワール 　本田 初美 店長）
「どうしても、暑いとクリームなので…夏の間はやらないというカタチなので…」

衛生面の理由から夏場は販売していませんでしたが、あまりの人気ぶりに、クリームを常温でも安全な状態に改良して販売を再開。ただ8月に入って暑さがさらに厳しくなると販売を控える可能性もあるそうで…。

（サンエトワール 　本田 初美 店長）
「続けるか続けないかも幻…出ていればラッキーという感じになりますね」

続いては、新東名高速・下り「駿河湾沼津サービスエリア」へ…。

ここにあるのが「駿河ベーカリー＆カフェ」。パン職人の大きな人形が目印です。店内には焼きたてのパンがずらり。

（駿河ベーカリー＆カフェ 　佐伯 幸次郎 店長）
「当店では約80種類のパンを用意しています。その中でも総菜パンやコッペサンドに特に力を入れています」

総菜パンやコッペサンドだけで約20種類…。その中で特におすすめだというのが…。

（駿河ベーカリー＆カフェ 　佐伯 幸次郎 店長）
「イチオシ商品がこちら、『三島コロッケしらすバーガー』地元の特産品をたっぷり使用したバーガーです」

地元のソウルフードである「三島コロッケ」と、こちらも地元の名産品、釜揚げシラスを挟み込んだご当地バーガーです。

「三島コロッケ」は店内で揚げているため、タイミングが合えば出来立てホクホクの味を楽しむことができます。ジャガイモの甘味とキャベツのシャキシャキ感に釜揚げシラスの塩味が加わって絶妙なハーモニーを奏でている一品です。

そして、「富士宮やきそばパン」も大人気。コシがあってモチモチ食感の富士宮焼きそばがたっぷりと挟み込まれているので食べ応えは十分。お馴染みのイワシの削り粉もしっかりと振りかけてあります。

（駿河ベーカリー＆カフェ 　佐伯 幸次郎 店長）
「静岡県外から来た客に、ご当地名物の味を知ってもらうために作った。当店では自信のある商品となっています」

続いて東名高速・下り「足柄サービスエリア」。ここに店を構えているのが「グラノバリオ」です。

季節ごとにラインナップは変わりますが常時約70種類のおいしそうなパンが並びます。そんな「グラノバリオ」の看板商品が…。

（グラノバリオ　坂口 恵子さん ）
「足柄限定、『金太郎力もちアンパン』が出来上がりました。いかがでしょうか～」

金太郎の似顔絵が焼き印されたその名も「金太郎の力もちアンパン」。金太郎誕生の地とされる小山町ならではの一品です。

（グラノバリオ　坂口 恵子さん ）
「静岡県に入ってすぐなので、静岡県のものを紹介したい、御殿場のものを紹介したい」

この日も店頭に並ぶと、さっそく買い求める客の姿が…。

（買い物客）
「ふわっとしていて、今まで見たあんパンとちょっと違う。大きくてやわらかそう…持った感じもよかったです」

北海道産の小豆を使ったあんこに加えて、力もちをイメージして餅の代わりに求肥を使用。ふんわりしたパン生地とあんこの優しい甘さ、そして、モチモチ食感の求肥のコラボレーションが、唯一無二のおいしさを生み出しているのです。

そして、この店のもう一つの看板商品がピザ。注文を受けてから焼き上げるスタイルの本格派。アツアツの状態ではもちろん、冷めてもおいしく食べられるように、イタリア産の小麦粉を独自にブレンドした生地を使っているそうです。そして驚くのは、その価格。直径約22センチのマルゲリータが何と1000円。ドライブの途中で、本格的なピザがこの価格で味わえるとなれば、注文せずにはいられないですよね。

その土地ならではのこだわりが詰まったサービスエリアのベーカリー。お気に入りのパンを探しに、立ち寄ってみてはいかがですか。",[],[]
【参院選】終盤は与党情勢悪化で“過半数”維持厳しく…静岡選挙区は榛葉氏独走し牧野氏を松下氏猛追か(NNNと読売新聞による情勢調査から)（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/20d4bfcb1166075a752c41f6868bae5dedc22a54,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-01671346-sdt-000-1-thumb.jpg?exp=10800,2025-07-16T17:16:00+09:00,2025-07-16T17:16:00+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,1309,"Daiichi-TV(静岡第一テレビ)
次の日曜日・7月20日に投票日を迎える参議院選挙。NNNなどが終盤の情勢を分析したところ、与党は序盤より情勢が悪化し、参議院で過半数を維持するのは厳しい情勢になったことが分かりました。

選挙戦序盤から厳しい情勢が伝えられている自民党。15日、香川県に応援に入った石破首相は…。

（石破首相）
「今度の選挙は、今さえ良ければ いいという人たちか。次の時代でも責任をもっている人たちかその戦いです。政治家が、今さえ良ければいいとか選挙さえ勝てればいいとか、そんなことをやっていたら国は滅びる」

また、永田町ではこんな動きも…。

（石破首相）
「本日、内閣官房に外国人政策の司令塔となる事務局組織として『外国人との秩序ある共生社会推進室』を設置しました」

政府は、日本に住む外国人などによる犯罪や迷惑行為への対応を強化するための組織を立ち上げました。争点に急浮上した「外国人政策」への姿勢をアピールする狙いがあるとみられています。

ただ、終盤の情勢調査では与党が過半数を維持するのはより厳しい状況にあることが分かりました。

NNNと読売新聞が、7月12日から15日に行った情勢調査を分析すると、「自民党」は苦戦する選挙区が増え、選挙区と比例代表合わせて30議席台半ばにとどまる見通しで、改選の52議席を大きく下回る情勢です。

また、「公明党」も、抜け出せない選挙区が多く、改選14議席の確保は厳しく、10議席以上、獲得できるか、ギリギリの攻防が続いています。

一方、野党の「立憲民主党」は勢いを維持しており、改選の22議席を上回り30議席台をうかがっています。

また、「国民民主党」も議席を大きく伸ばし、引き続き目標の16議席を上回る可能性があります。

6議席以上の獲得を目指す「日本維新の会」は、大阪などの選挙区で議席を獲得する一方、関西以外では伸び悩みが続いています。

「共産党」も不振が続いていて、改選7議席を割り込む情勢です。

「れいわ新選組」は堅実な戦いぶりで、改選2議席から議席を上積みする可能性があります。

「参政党」は序盤より支持が拡大していて、2桁議席を上回る勢いとなっています。

「保守党」は比例代表で支持を厚くしていて、複数議席を獲得する情勢です。社民党は序盤と変わらず比例代表で議席を獲得する可能性があります。

「再生の道」や、「チームみらい」、「NHK党」は支持が広がっておらず、議席獲得は見通せていません。

ただ、調査では一定の回答者が投票先を明らかにしておらず、情勢は変わる可能性もあります。

一方、静岡選挙区でも情勢に変化が…。

国民民主党・榛葉氏が頭ひとつ抜け出し安定した戦いをしていて、続く自民党・牧野氏を参政党の松下氏が猛追していることが分かりました。

共産党の鈴木千佳氏は序盤と比べて支持は広がっていません。その他の新人3人は厳しい戦いとなっています。

ただ、2割半ばの人が投票先を明らかにしていないため、情勢は変わる可能性があります。

まさに天下分け目の戦いとなっている参院選、投票日は4日後です。",[],[]
【速報】熱中症の疑いで高齢者2人を含む成人男女3人を救急搬送…うち1人が中等症2人軽症 （静岡）（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/476620a2d06875ea890693267221b6ba51561843,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-07485246-sdt-000-1-view.jpg?exp=10800,2025-07-16T17:10:00+09:00,2025-07-16T17:10:00+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,100,"Daiichi-TV(静岡第一テレビ)
静岡県内では7月16日 午後3時半までに、熱中症の疑いで、高齢者2人を含む成人男女計3人が救急搬送されました。このうち1人が中等症、2人は軽症だということです。",[],[]
「大浜公園プール」7月19日リニューアルオープンを前に完成記念式典…魅力的新アトラクションも公開(静岡市)（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/06eb06ed265b687c583cddc7273b5dfdd7f005af,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-12273964-sdt-000-2-thumb.jpg?exp=10800,2025-07-16T17:03:01+09:00,2025-07-16T17:54:21+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,1185,"Daiichi-TV(静岡第一テレビ)
改修工事のため3年前に一時閉園した静岡市の「大浜公園プール」が、いよいよ今週土曜日の19日にリニューアルオープンします。会場では16日、リニューアルオープンを前に完成記念式典が行われました。

1930年、静岡市に開園した”市内唯一のレジャープール施設「大浜公園プール」。年間約9万人が利用し、開園から90年以上にわたって多くの市民に愛されてきました。しかし、次第に老朽化が目立つようになったことから、2022年の夏、多くの市民からの「感謝の寄せ書き」と共に惜しまれながら、一時閉園となりました。

改修工事を終えて、リニューアルした大浜公園の完成イメージがこれです。総事業費は約37億円で、プールゾーンのほか、大型の遊具がある芝生広場。さらにカフェなどが入る収益施設も建設される予定です。このうち、プールと芝生エリア周辺が今週土曜日の19日にオープンします。

6月、オープンが迫る大浜公園を空から見てみると…。

（カメラマン）
「工事関係者による急ピッチな作業が行われています」

オープンまで残り3日となった16日、大浜公園ではリニューアルオープンを前にした完成記念式典とプレオープンイベントが行われました。

（テープカット）
「市民が待ちに待ったオープンです。どうぞ」

リニューアルした「大浜公園プール」には、たくさんの魅力的なアトラクションが。

ひときわ目を引くのは長さ82メートルのウォータースライダーです。また、6つのレーンが設けられた25メートルプールや、改修前から大人気だったという全長250メートルの流水プールもあります。さらに……

”ししおどし”の要領で大量の水が落ちる迫力満点の”巨大バケツ”や滑り台、水車など、様々なアイテムが組み込まれたアトラクションが置かれるなど、大人も子どもも楽しめるような施設になっています。

また、「大浜公園」にはプール開催期間以外にも来場者に楽しんでもらおうと、芝生広場など一年を通して遊べる場所も設けられています。

完成記念式典に出席した難波市長は…。

（静岡市　難波市長）
「間に合ってよかったなというのが実感。プールの施設もそうだが、色ひとつとってみたり、パっとみた時の解放感もすごくいいと思う。とにかく市民のみなさんが毎日来たいと思うような、市民に愛されるプール。とにかく楽しんでもらうのが一番」

プールの開催期間は、今週土曜日の7月19日から9月18日までの62日間となっていて、利用料は、市内在住の大人が800円、子どもは400円、静岡市以外の人はプラス料金がかかります。

2026年8月には、カフェや音楽ホール、多目的ホールを整備した収益施設がオープンする予定の「大浜公園プール」。今後、静岡市にどのような効果をもたらしてくれるのか注目です。",[],[]
「竜巻は恐ろしい」突風被害で養生シート補修「雨は強くなったり弱くなったり」総雨量360ミリ超も 土砂災害に要警戒(静岡)（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/0ed1b8c1a828f2336fca0a3cdc28162a8de0b39f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-03353798-sdt-000-5-thumb.jpg?exp=10800,2025-07-16T16:53:00+09:00,2025-07-16T18:13:20+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,1538,"Daiichi-TV(静岡第一テレビ)
（記者）
「午前8時の富士市です。視界が悪くなるほどの雨が降っ ています」

静岡県内で16日も降り続く雨。

（澤井 志帆 キャスター）
「午前7時前のJR静岡駅前です。地面をたたきつける雨音がどんどん大きくなってきました。この時間、雨は強くなったり弱くなったりを繰り返し不安定となっています」

JR静岡駅前では通勤・通学の時間帯に雨脚が強まりました。

下田市では午前中晴れ間となりましたが…

（記者）
「下田市内を走る国道です。空が突然暗くなり、大粒の雨が打ち付けています」

正午を過ぎると大雨に。

突然の雨で徐行しながらバイクに乗る人や濡れながら自転車をひく人の姿もみられました。

静岡県内で雨が降り始めたのは14日夕方。

（記者）
「雨は、まだそこまで強くないのですが、傘が飛ばされそうなほど風が強く、傘をさしていても濡れてしまうような状況です」

そして、15日も雨は降り続き…。

（記者）
「すごいですねこの雨、うわー。いやーなにこの雨。今急に雨が降ってきました。視界も大変悪くなっています。 すごい雨」

（伊藤 薫平 キャスター）
「午前9時20分清水区の由比です。フロントガラスに無数の雨粒が打ち付けています。そしてあたり一帯は視界が悪くなっている」

富士市では…。

（記者）
「富士市では激しい雨が降っていて道路が冠水しています。道路の真ん中から水が噴き出してしまっている」

1時間で67.5ミリの降水量が観測され、一時「大雨洪水警報」が発表されました。

（伊藤 薫平 キャスター）
「富士川の河川敷です、川の水は茶色く濁って増水し、ゴオォという音を立てています」

さらに“突風”による被害も。

（記者）
「こちらの建物、屋根の一部がはがれてしまって います」

御前崎市では、2階建ての建物のトタン屋根がはがれ、そのまま地面に落ちた状態に。

（近所の人）
「風が強くなってきたなと思ったらものすごく強くなって、うち耕運機が置いてあるんですけど、それがひっくり返った。えっ、と言っていたら隣の屋根がめくれてあーなっちゃった」

静岡駅周辺では…。

（永見 佳織 アナウンサー）
「竜巻とみられる突風が発生した場所です。車が横転しています。本来白線の中にある車も何台もはみだしている」

また、その近くでは…。

（記者）
「突風の影響でトタン屋根がはがれ、約20メートル離れたこの場所まで飛ばされたということです」

複数の住宅で屋根の一部がはがれるなどの被害が確認されました。

16日、突風被害を受けた住宅を訪ねてみると…。

（澤井 志帆 キャスター）
「突風で被害を受けた現場です。瓦が飛ばされるなどの被害を受けた住宅では、今、屋根瓦の修繕作業が行われています」

朝から修繕作業が行われていました。

（突風被害受けた男性）
「屋根が飛ばされてめくれているので、養生シートを貼ってもらっている」
Q.どの辺が倒れた？
「ほとんど散らばった状況ですね。自転車とか、こういうのも全部倒れて、物置は大丈夫だったけど」

瓦以外にも敷地内にある物が散乱していたといいます。

（突風被害受けた男性）
「突風というか、竜巻は、今回初めてで、防ぎようがなかった、竜巻というのは恐ろしい。怖い」

14日夕方から断続的に降り続く雨。気象台によると降り始めからの雨の量は静岡市井川で363.5ミリ、静岡市有東木で314.0ミリ、富士宮市で220.5ミリを観測していて、静岡県内では、17日夕方まで、雷を伴う非常に激しい雨が降る見込みです。土砂災害や低い土地の浸水河川の増水に警戒が必要です。",[],[]
【特殊詐欺】警官などかたり「ヤクザ逮捕したら あなた名義の口座持っていた」調べるから「外に金置いて」とうそ電話…80代男性1100万円被害(静岡・伊豆の国市)（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/3229803aa66ca265ed4d446ecb23f699635ee8cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-09649765-sdt-000-1-view.jpg?exp=10800,2025-07-16T16:44:01+09:00,2025-07-16T16:44:01+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,429,"Daiichi-TV(静岡第一テレビ)
静岡・伊豆の国市の無職で80代の男性が、警察官や検察官をかたるうその電話をきっかけに、現金1100万円をだまし取られる特殊詐欺事件がありました。

警察の調べによりますと、5月下旬、伊豆の国市に住む無職で80代の男性宅に、警察官や検察官をかたる人物から電話があり、「ヤクザを逮捕したら、あなた名義の口座を持っていた」「あなたにも疑いがあるので調べる必要がある」「あなたの口座にある現金を毎日出金して報告してください」などと指示されました。その後、6月中旬には、「受け取りの人が近くを回っている」「外にお金を置いてください」などと指示され、これを信じた男性が、自宅敷地内に現金計1100万円を置いたところ、何者かが持ち去り、だましとられたということです。

警察で特殊詐欺事件として捜査するとともに、「警察官や検察官が捜査などの目的で、電話で現金を用意するよう要求することは絶対ありません」などと注意を呼びかけています。",[],[]
「バイクに乗った男2人に財布奪われた」通報は“うそ” 警察の業務妨害疑い51歳タクシー運転手の男逮捕(浜松市)（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/7a611d10cba5948e9ed92b209c9e67c372a0fece,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-09767775-sdt-000-3-view.jpg?exp=10800,2025-07-16T15:25:00+09:00,2025-07-16T15:31:25+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,397,"Daiichi-TV(静岡第一テレビ)
浜松市中央区の路上で「バイクに乗った男2人に財布を奪われた」などとうその通報をして警察の業務を妨害したとして、51歳の男が逮捕されました。

業務妨害の疑いで逮捕されたのは、浜松市中央区に住むタクシー運転手で51歳の男です。

容疑者の男は、7月14日、自宅近くの浜松市中央区曳馬の路上で、バイクで後ろから近づいてきた2人組の男に暴行され、現金3000円の入りの財布を盗まれたと、同日午前3時ごろに警察に通報していました。

警察は、容疑者の男の通報を受け、当初、強盗傷害事件として周辺で捜査を進める中で、男の通報内容に不審な点が出てきたことから、男に確認したところ、うその通報であったことを認めたため逮捕に至ったということです。調べに対して男は「業務を妨害するつもりはなかった」などと話しているということで、警察は引き続き動機などを含め捜査しています。",[],[]
藤枝市のお茶の魅力発信拠点「とんがりぼう」が11日リニューアルオープン（静岡・藤枝市）（Daiichi-TV（静岡第一テレビ））,https://news.yahoo.co.jp/articles/4750125f45576c8bf2f1966ac9e4674fe821ba44,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250716-08711382-sdt-000-1-thumb.jpg?exp=10800,2025-07-16T12:44:00+09:00,2025-07-16T12:44:00+09:00,Daiichi-TV（静岡第一テレビ）,sdt,Daiichi-TV（静岡第一テレビ）,326,"Daiichi-TV(静岡第一テレビ)
藤枝市のお茶の魅力を伝える発信拠点「とんがりぼう」が11日、リニューアルオープンしました。

藤枝市の蓮華寺池公園にある旧藤枝製茶貿易商館・「とんがりぼう」は、青い三角屋根が目印で、お茶の文化を伝える観光拠点として親しまれています

今回のリニューアルでは体験型メニューの充実を図り藤枝茶の魅力を発信を強化するということです。

（とんがりぼう 望月敬介さん）
藤枝のお茶を楽しく学んで帰ってもらえるような施設へとリニューアルオープンしました。

カフェや店舗を備えた施設では朝比奈玉露や藤枝オリジナル品種の「藤枝かおり」などが販売されているほか、抹茶を点てたり、急須でお茶をいれる体験も楽しめるということです。",[],[]
