headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
去就注目のL・ディアス、バイエルン移籍が現実味…リヴァプール指揮官が欠場理由を説明「将来を巡る憶測のため」（サッカーキング）,https://news.yahoo.co.jp/articles/ea7c4bb3457ad1f685176edf2b62eed99b0674e4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043640-soccerk-000-1-view.jpg?exp=10800,2025-07-26T23:57:15+09:00,2025-07-26T23:57:15+09:00,サッカーキング,soccerk,SOCCER KING,734,"バイエルン移籍を噂されるL・ディアス[写真]=Getty Images
リヴァプールを率いるアルネ・スロット監督は、コロンビア代表FWルイス・ディアス、ウルグアイ代表FWダルウィン・ヌニェスがプレシーズンマッチのミラン戦を欠場した理由を明かした。26日、イギリスメディア『スカイスポーツ』が報じている。

　リヴァプールは今夏、プレシーズンでアジアツアーを実施。26日に香港でミランと対戦し、2－4で敗戦。30日には日産スタジアムで横浜F・マリノスとの一戦を控えている。

　ミランとの試合では、L・ディアスとヌニェスがメンバー外となった。アジアツアーの帯同メンバーには両名とも選ばれているものの、スタンドから試合を見守った。スロット監督は試合後、L・ディアスの欠場について「将来を巡る憶測のため、メンバー外となった」と発言した。

　現在28歳のL・ディアスは去就が不透明となっており、今夏の移籍市場で、ウイングの補強を画策するバルセロナとバイエルンが関心。バルセロナはマンチェスター・ユナイテッドからイングランド代表FWマーカス・ラッシュフォードを獲得したことから、現在はバイエルンがL・ディアス獲得の有力候補とされている。

　さらにドイツメディア『スカイスポーツ』は25日、「バイエルンがリヴァプールに対して新たなオファーを提出した」と報道。今回のオファーは以前にリヴァプールに拒否された6750万ユーロ（約117億円）を上回るものとも伝えられており、リヴァプール指揮官の発言は同選手の退団を示唆するものとなった。

　またヌニェスも今夏の退団を噂されているが、スロット監督は、「ダルウィンはケガをしていた」と欠場の理由を説明している。
SOCCER KING",[],[]
移籍報道渦中のイサクにニューカッスル指揮官が言及「残留を心から願っている」（サッカーキング）,https://news.yahoo.co.jp/articles/5f3d63fd5c35f27ba326974178368f0fc9c656f6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043638-soccerk-000-1-view.jpg?exp=10800,2025-07-26T23:05:50+09:00,2025-07-26T23:05:50+09:00,サッカーキング,soccerk,SOCCER KING,866,"去就注目のイサク[写真]=Getty Images
ニューカッスルを率いるエディ・ハウ監督が、移籍騒動に揺れるスウェーデン代表FWアレクサンデル・イサクについて言及した。26日、イギリス『スカイスポーツ』が同指揮官のコメントを伝えている。

　ニューカッスルとの現行契約を2028年6月30日まで残すイサクには、以前からビッグクラブが関心を寄せており、今夏の移籍市場ではリヴァプールが強い関心を示し、イギリス史上最高額のオファーを提示する可能性も噂されている。

　そんななか、イサクはプレシーズンのアジアツアーのメンバーから負傷を理由に外れることに。これを受けて、複数のイギリスメディアは「イサクがニューカッスルからの移籍を検討している」と報じ、去就問題にさらなる拍車がかかっている。

　ハウ監督はイサクの状況について、「彼は現在、ニューカッスルでケガの検査を受けている。早く復帰し、白黒のユニフォームを着てくれることを願っている」とコメント。また、「もちろん、舞台裏ではさまざまなことが起きている。契約交渉は現時点で行われていないが、後日行われる可能性はある。彼の残留を心から願っている」と語りつつも、「サッカーの世界では、将来何が起こるか誰にも分からない」と続けた。

　今夏の移籍市場において、ニューカッスルはノッティンガム・フォレストからスウェーデン代表FWアンソニー・エランガが完全移籍で獲得。しかし、ブラジル代表FWジョアン・ペドロや、オランダ代表DFディーン・ハイセン、イングランド代表GKジェームズ・トラッフォードの獲得競争に破れるなど、厳しい戦いを強いられている。

　ハウ監督は「移籍市場は我々にとって難しい局面となっている」と認めながらも、「積極的に市場に参入し、模索している」と語り、2025－26シーズンに参戦するUEFAチャンピオンズリーグを戦い抜くためにも「選択肢と選手層の厚みが必要だ。ただの選手ではなく、違いを生み出せる選手を獲得したいと思っている」と言葉を続けている。
SOCCER KING",[],[]
“欧州名門対決”は4ゴールのミランに軍配！　次戦リヴァプールは30日に横浜FMと対戦へ　（サッカーキング）,https://news.yahoo.co.jp/articles/c14d493f661ede662df4e1daed7ab59c53692c32,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043620-soccerk-000-4-view.jpg?exp=10800,2025-07-26T22:27:48+09:00,2025-07-26T22:42:18+09:00,サッカーキング,soccerk,SOCCER KING,1422,"名門対決はミランが制した[写真]=Getty Images
リヴァプール（イングランド）とミラン（イタリア）による親善試合が26日、香港で開催された。
【動画】ソボスライの芸術ゴール！
昨シーズン、アルネ・スロット監督下でプレミアリーグ王者に輝いたリヴァプール。リーグ連覇やUEFAチャンピオンズリーグ制覇を目指すべく今夏の移籍市場では、大型補強を敢行。レヴァークーゼンからドイツ代表MFフロリアン・ヴィルツ、オランダ代表DFジェレミー・フリンポン、ボーンマスからハンガリー代表DFミロシュ・ケルケズらに加え、フランクフルトからはフランス人FWウーゴ・エキティケを獲得している。

　対するミランは、パウロ・フォンセカ新体制で2024－25シーズンをスタート。しかし、成績は芳しくなくセルジオ・コンセイソン前監督に指揮官を交代した。その後、スーペルコッパ・イタリアーナで優勝に輝いたが、セリエAでは8位で終了。欧州大会の出場権を逃したことで、シーズン終了後にマッシミリアーノ・アッレグリ監督を招へいしている。

　注目の名門対決は、序盤からリヴァプールがボールを保持する展開に。右ウイングのモハメド・サラーを中心に攻撃を繰り出していくが、ミランが先制点を挙げる。敵陣でボールを奪うと、ラファエル・レオンが背後へ抜け出す。そのままレオンは左足を振り抜き、ネットを揺らした。

　リヴァプールペースで試合が経過するなか、26分にリヴァプールが同点に追いつく。リオ・ングモハが左サイドでボールをもち、クロスを送るも、ミランDFフィカヨ・トモリに阻まれる。すると、背後のドミニク・ソボスライへバックパス。ソボスライの狙いすました柔らかいシュートは、ゴールに吸い込まれスコアを1－1とする。

　その後、リヴァプールはヴィルツやングモハを中心に、ミランはレオンやクリスティアン・プリシッチを軸にお互いがゴールに迫るも、得点は生まれず前半は1－1で終了する。
　
　後半に入り52分、ミランが素早い攻撃で再びリードを奪う。レオンが左サイドを突破すると、中央を走ったルベン・ロフタス・チークへパス。ロフタス・チークはダブルタッチでDFを交わすと、冷静にゴールへ流し込んだ。さらにミランはカウンターから追加点。アレクシス・サーレマーケルスが右サイドの裏を取り、ノア・オカフォーへクロス。オカフォーはダイレクトで合わせ、シュートを決めた。

　2点を追うリヴァプールは、後半から投入されたフリンポンが右サイドを複数回突破するも得点にはつながらない。その後も果敢に攻め立てると、後半アディショナルタイムにコーディ・ガクポがヘディングシュートを決め、1点差に迫る。

　しかし、オカフォーがリヴァプールのミスを突き、再びリードを2点とし、試合はそのまま終了。リヴァプールは30日に日産スタジアムで横浜F・マリノスと、ミランはオーストラリアへ渡り、31日にパース・グローリーと対戦する。

【スコア】
リヴァプール　2－4　ミラン
【得点者】
0－1　10分　ラファエル・レオン（ミラン）
1－1　26分　ドミニク・ソボスライ（リヴァプール）
1－2　52分　ルベン・ロフタス・チーク（ミラン）
1－3　59分　ノア・オカフォー（ミラン）
2－3　90分＋3分　コーディ・ガクポ（リヴァプール）
2－4　90分＋4分　ノア・オカフォー（ミラン）
SOCCER KING",[],[]
クラ選4強が出揃う！　FW吉田湊海がハットトリック達成の鹿島を始め、FC東京、名古屋、仙台が“最終決戦の地”横浜へ（サッカーキング）,https://news.yahoo.co.jp/articles/297abcca4d2c3d281abf2af2fbf05289aa1506f6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043626-soccerk-000-1-view.jpg?exp=10800,2025-07-26T21:21:27+09:00,2025-07-26T21:21:27+09:00,サッカーキング,soccerk,SOCCER KING,990,"クラ選4強が出揃う！！！！
第49回 日本クラブユースサッカー選手権（U－18）大会の準々決勝の4試合が、各地で行われた。

　プレミアリーグEASTの首位鹿島アントラーズユースと、プレミアリーグWESTの首位ヴィッセル神戸U－18の一戦は、計8得点が生まれるノーガードの殴り合いの末に、前者に軍配が上がった。とくに、今年4月にトップチームにおける最年少デビュー記録（16歳9カ月14日）を更新した、FW吉田湊海がハットトリックを達成する活躍を見せている。

　東京ヴェルディユースとFC東京U－18による“東京ダービー”が実現。試合は、主将MF二階堂凛太郎とDF松野泰知のゴールで“青と赤”の東京が、宿敵を下している。

　名古屋グランパスU－18と横浜F・マリノスユースの試合は、“若鯱”期待のFW大西利都が魅せた。1点リードで迎えた名古屋U－18は31分、先制点を挙げたMF小島蒼斗が自陣でのターンからロングボールを前線へと供給。これに抜け出した大西が、相手GKとの1vs1を冷静に沈めたのだ。WESTで11試合・16得点と圧巻の数字を残している、点取り屋の追加点で勝利を手繰り寄せた“ロッソジャッロ”が、2－0で勝利している。

　同ラウンド唯一のPK決着となったのが、ベガルタ仙台ユースと京都サンガF.C.U－18の一戦だ。試合は、仙台ユースがMF永守大宙のゴールで先制すると、京都U－18はFW酒井滉生が決めて1－1とした後、PK戦に突入。お互いに2番手のキッカーが失敗したのに加え、後攻の京都U－18は続く3番手も失敗。対する仙台ユースは、残りの4人が成功し勝負あり。準決勝に駒を進めた。

　29日に行われる準決勝では、鹿島ユースとFC東京U－18、名古屋U－18と仙台ユースがそれぞれ激突。前者は『ニッパツ三ツ沢球技場』で、後者は『三ツ沢公園陸上競技場』で、31日の決勝戦進出をかけて争う。

■準々決勝の結果
ヴィッセル神戸U－18　3－5　鹿島アントラーズユース
東京ヴェルディユース　0－2　FC東京U－18
名古屋グランパスU－18　2－0　横浜F・マリノスユース
ベガルタ仙台ユース　1－1（PK：4－2）　京都サンガF.C.U－18

■準決勝の対戦カード
鹿島ユース　vs　FC東京U－18
名古屋U－18　vs　仙台ユース
SOCCER KING",[],[]
「強く望んでいた」町野修斗がボルシアMGに完全移籍！…SDもエースとの共存に言及「選択肢を与えてくれる」（サッカーキング）,https://news.yahoo.co.jp/articles/af946ff1b0c16d678c90bbce28c6d36905a2a4ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043624-soccerk-000-1-view.jpg?exp=10800,2025-07-26T21:17:02+09:00,2025-07-26T21:17:02+09:00,サッカーキング,soccerk,SOCCER KING,648,"ボルシアMGに加入した町野[写真]=Getty Images
ボルシアMGに移籍した日本代表FW町野修斗と同クラブのローランド・ヴィルクスSD（スポーツディレクター）が加入に際して、コメントを残した。26日、クラブの公式サイトがその言葉を伝えている。

　ボルシアMGは26日、ホルシュタイン・キール（ドイツ2部）から2029年6月30日までの4年契約で町野の獲得を発表。ドイツメディア『スカイスポーツ』によると、移籍金は最大で1000万ユーロ（約17億円）となることが伝えられている。

　町野は昨シーズン、キールでリーグ戦32試合に出場し、11ゴール3アシストを記録。クラブは2部降格の憂き目に遭ったものの、町野は1部で確かな爪痕を残した。そんな町野は、クラブの公式サイトを通じ、以下のように語った。

「ボルシアMGへの移籍を強く望んでいたので、移籍が実現してうれしいです。今はチームのためにできる限りのことをしたいと思っている」

　また、ヴィルクスSDは町野のユーティリティーさを評価。チームのエースであるドイツ代表ティム・クラインディーンストとの併用も示唆しており、「シュウトは、様々なポジションで起用できる万能型のストライカーであり、攻撃の選択肢を豊富に与えてくれる」とコメントした。

　さらに、「昨シーズン、ブンデスリーガで二桁得点を挙げられることを証明した。だからこそ、彼がボルシアを選んでくれたことをうれしく思うよ」と続け、町野の加入を歓迎している。
SOCCER KING",[],[]
八戸が6連勝で首位浮上！　注目の“ダービー”は栃木SCが勝利、栃木Cは自動昇格圏から転落/J3第22節（サッカーキング）,https://news.yahoo.co.jp/articles/bb06f20ebc4d38636d2d741d73d31113820b141d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043617-soccerk-000-1-view.jpg?exp=10800,2025-07-26T21:01:47+09:00,2025-07-26T21:01:47+09:00,サッカーキング,soccerk,SOCCER KING,1323,"2025明治安田J3リーグの第22節の全10試合が、26日に各地で開催された。

　今節最注目カードとなった“栃木ダービー”。J3初年度ながら首位と快進撃を続ける栃木シティと、1年でのJ2復帰を目指すもここまで低迷する栃木SCの一戦は、32分にオウンゴールによって後者が先制点をゲット。その後は、白熱した展開が続いたが、ほんの少しばかり栃木SCの意地が上回って1－0で勝利。敗れた栃木シティは、首位から3位にまで後退となった。

　2位ヴァンラーレ八戸は、本拠地『プライフーズスタジアム』で8位ガイナーレ鳥取と対戦。試合開始早々の3分に先制点を許したものの、MF佐藤碧が同点ゴールを決める。さらにFW澤上竜二が62分と73分にゴールネットを揺らし、終盤に1点を返されたが、3－2で逃げ切りに成功。6連勝かつ栃木シティが敗れたため、首位に躍り出た。

　大阪の“第3極”として台頭する3位FC大阪も、本拠地『東大阪市花園ラグビー場』で18位カマタマーレ讃岐と激突。1点ビハインドのまま終盤を迎えた同クラブだったが、81分にDF秋山拓也、85分にFW望月想空が決めて試合をひっくり返すことに成功。わずか4分で逆転したFC大阪が2－1で勝利し、2位に浮上した。

　その他、鹿児島ユナイテッドFCがザスパ群馬を破り、4位キープ。また、6位奈良クラブもツエーゲン金沢に勝利した一方で、5位テゲバジャーロ宮崎はSC相模原に敗れている。

■J3第22節
▼7月26日（土）
アスルクラロ沼津　1－3　ギラヴァンツ北九州
FC大阪　2－1　カマタマーレ讃岐
FC琉球　2－0　AC長野パルセイロ
高知ユナイテッドSC　1－0　福島ユナイテッドFC
松本山雅FC　1－0　FC岐阜
奈良クラブ　2－1　ツエーゲン金沢
SC相模原　1－0　テゲバジャーロ宮崎
栃木シティ　0－1　栃木SC
ヴァンラーレ八戸　3－2　ガイナーレ鳥取
ザスパ群馬　2－3　鹿児島ユナイテッドFC

■今節終了時の順位表
1位　八戸（46/＋16）
2位　FC大阪（44/＋19）
3位　栃木C（44/＋13）
4位　鹿児島（38/＋12）
5位　宮崎（35/＋5）
6位　奈良（34/＋4）
7位　北九州（33/＋2）
8位　高知（31/－3）
9位　松本（29/－2）
10位　鳥取（28/－3）
11位　相模原（27/－4）
12位　福島（27/－12）
13位　琉球（26/－3）
14位　金沢（26/－4）
15位　栃木SC（26/－4）
16位　群馬（24/－4）
17位　長野（24/－8）
18位　讃岐（20/－7）
19位　岐阜（19/－12）
20位　沼津（18/－5）

■J3第23節の対戦カード
▼8月16日（土）
18:00　福島　vs　栃木C
18:00　北九州　vs　奈良
18:00　讃岐　vs　岐阜
18:00　長野　vs　八戸
19:00　鳥取　vs　高知
19:00　鹿児島　vs　相模原
19:00　松本山雅　vs　琉球
19:00　群馬　vs　FC大阪
19:00　栃木SC　vs　沼津
19:00　金沢　vs　宮崎
SOCCER KING",[],[]
町野修斗がボルシアMG加入決定！　昨季ブンデス11発で“個人残留”、移籍金は最大で約17億円か（サッカーキング）,https://news.yahoo.co.jp/articles/390b50061c442f2ce1bc40161b4950cdb4423a29,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043442-soccerk-000-2-view.jpg?exp=10800,2025-07-26T20:07:06+09:00,2025-07-26T20:08:40+09:00,サッカーキング,soccerk,SOCCER KING,1136,"町野修斗のボルシアMG加入が決定 [写真]＝Getty Images
ボルシアMG（ドイツ1部）は26日、ホルシュタイン・キール（同2部）から日本代表FW町野修斗が完全移籍で加入することを発表した。

　契約期間は2029年6月末まで。背番号は「18」となる。ドイツメディア『スカイ』によると、ボルシアMGがキールに支払う移籍金は最大で1000万ユーロ（約17億円）となるようだ。

　1999年9月生まれの町野は、忍びの里・三重県伊賀市出身。履正社高校卒業後に横浜F・マリノスへ加入したが、同クラブでは出場機会を得られず、2019年にギラヴァンツ北九州へ移籍した。同クラブでエースとして活躍し、2021年から湘南ベルマーレに活躍の場を移した。

　町野は湘南でも得点を量産。東アジアE-1サッカー選手権2022で日本代表デビューを飾り、大会得点王の活躍で日本の優勝に貢献した。さらに出場こそなかったもののFIFAワールドカップカタール2022のメンバー入りも果たすなど飛躍を遂げた。

　そして2023年夏、町野は当時2部のキールに完全移籍。1年目はリーグ戦31試合の出場で5ゴール6アシストを記録し、同クラブの史上初となるブンデスリーガ1部昇格に貢献した。24－25シーズンは11ゴール3アシストを記録したものの、クラブは1年で2部降格の憂き目にあった。

　それでも、ブンデスリーガの日本人史上4人目となる2桁得点に到達した町野に対しては、多くのクラブが関心を寄せ、ボルシアMGなどブンデスリーガのほか、プレミアリーグのクラブからもキールに対する問い合わせが相次いだ。キールが町野の移籍金に1000万ユーロを要求したことでクラブ間交渉は長期化したが、最終的にボルシアMGが多額の投資を決断して町野の獲得に至った。

　町野が加入するボルシアMGは1970年代に黄金期を築き、ブンデスリーガ優勝5回、UEFAカップ（ヨーロッパリーグの前身大会）優勝2回、DFBポカール優勝3回を誇るドイツを代表する名門の一つ。2024－25シーズンは10位に終わり、新シーズンは欧州クラブ大会出場へ巻き返しを図る1年だ。

　過去には元日本代表FW大津祐樹氏もボルシアMGに所属し、現在は去就が不透明な日本代表DF板倉滉と、2024年1月にトップチームデビューを飾ったU－22日本代表FW福田師王が在籍している。クラブ史上4人目の日本人選手となる町野は、昨季のブンデスリーガで16ゴールを挙げたドイツ代表FWティム・クラインディーストら実力者とのポジション争いに身を投じる。FIFAワールドカップ26開幕まで残り1年のなか、新天地での町野の活躍に注目が集まる。
SOCCER KING",[],[]
「マドリーとバルサという2つの怪物に対抗するには…」　逆襲に燃えるアトレティコ“主将”コケの誓い（サッカーキング）,https://news.yahoo.co.jp/articles/4a2194c1d249abb62cd033e7e7483bb32cc7de18,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043597-soccerk-000-2-view.jpg?exp=10800,2025-07-26T19:03:24+09:00,2025-07-26T19:09:16+09:00,サッカーキング,soccerk,SOCCER KING,1260,"新シーズンに向けた決意を語った主将MFコケ [写真]=Getty Images
アトレティコ・マドリードに所属する主将MFコケが、新シーズンに向けた意気込みを語った。26日付で、スペイン紙『マルカ』が伝えている。

　逆襲に燃える、ロヒブランコスの1年が始まる。失意とともに迎えたこの夏に、MFアレックス・バエナやMFジョニー・カルドーゾらすでに8人の新戦力を迎え入れたアトレティコ・マドリード。約2億ユーロ（約325億円）以上を補強に費やした昨シーズンは、バルセロナとレアル・マドリードを上回る好調ぶりを見せていたものの、不運な敗退となったチャンピオンズリーグ・ラウンド16を境に無冠に終わったなか、そのリベンジに向けた覚悟を感じさせている。

　FIFAクラブワールドカップ出場によって、他クラブよりも遅い始動となったアトレティコ・マドリード。コンディション面等の懸念点もあるが、コケは「まるで初日のようなワクワク感。もっと成長してチームメイトを助けたいという思いがあって、これまで以上にモチベーションが高まっているよ」と告白。とりわけ、大一番が続いた今年2月、3月に負傷離脱を強いられていたことがその理由のようで、「昨シーズンは“運命の月”にケガをしてしまったけど、今はコンディションも良く、意欲も旺盛だ。チームは、さらに一歩前進することを求められているが、僕たちならそれができると信じている」と自信を覗かせた。

　また、「チームメイトに対する影響力とコーチ陣からの信頼を、しっかり認識している」と口にした“カピタン（主将）”は、5年も務めている自身の役割について、「最も重要なのは、全員に自信を与えることだ。選手たちが、監督が求めているプレーをできるようにね」とし、「ここでは、より高いレベルで要求される。レアル・マドリードやバルセロナ相手でさえ互角に戦えなければ、（その選手は）失望されるだろう。みんなが、自分のレベルと才能を示さなければならない。新加入の選手たちも、とても良いプレーを見せてくれているよ」とハイレベルな競争が、“カギ”だと語った。

　さらに、コケは「チームの要求は最高レベルだ。マドリーとバルセロナという2つの怪物に対抗するには、求められているステップをさらに1段上げなければならない。それが200パーセントの力を発揮することだとしても、僕たちはそうするまで。決して妥協することはない」と強調。そして、「シーズンはとても長い。昨シーズンはフレッシュさや運に恵まれなかった。例えばレアル・マドリードとのPK戦のようにね。ほんの些細なことも、僕たちに不利に働いた」と振り返った上で、「今シーズンはタイトルで、サポーターに感謝の気持ちを伝えられたら嬉しい」と主要大会の優勝への誓いを立てた。

　チャンピオンズリーグ初優勝。14年目を迎えるディエゴ・シメオネ政権下において、長年見続ける悲願だ。果たして、チームの舵を取るコケは、ビッグイヤーに導くことができるのだろうか。
SOCCER KING",[],[]
右SBクンデがバルセロナと2030年夏まで契約延長へ！　給与増額で合意、正式発表はまもなくか（サッカーキング）,https://news.yahoo.co.jp/articles/0a9b288506dc789a90d925e07b1746006413338f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043595-soccerk-000-1-view.jpg?exp=10800,2025-07-26T16:54:47+09:00,2025-07-26T16:54:47+09:00,サッカーキング,soccerk,SOCCER KING,1002,"右SBクンデがバルセロナと契約延長へ [写真]=Getty Images
バルセロナに所属する右サイドバック（SB）ジュール・クンデが、2030年夏までの契約延長に合意したようだ。26日付で、フランス紙『レキップ』が報じている。

　2024－25シーズンの国内3冠達成の立役者となった“ファッショニスタ”が、ブラウグラナと新たに3年間の契りを交わすことになる。1998年11月12日生まれのクンデは現在26歳。母国フランスのボルドーでプロキャリアを始めた後、2019年夏から3年間在籍したセビージャで、当時はジエゴ・カルロス（現：フェネルバフチェ）との“CBコンビ”として鉄壁の守備を築いてヨーロッパリーグ優勝に貢献するなど、功成り名を遂げた。そして2022年夏、バルセロナに加入。ここで右SBに新境地を開拓すると、現在の市場価値は同ポジション内で3位、と世界トップクラスの実力者にまで上り詰めたのだ。

　そんなクンデは、バルセロナとの現行契約が2027年夏までとなるなか、今夏にさらに3年間の延長を決断したようだ。『レキップ』によると、両者は、給与増額を含めた2030年夏までの新契約で合意に至ったとのこと。この夏の移籍市場において、マンチェスター・シティから関心を寄せられていた同選手が、一時期は希望するCBで勝負させてもらえなかったことに嫌気がさして退団を仄めかしたりもしたが、今はスペイン王者に輝き、欧州での大きな野望を抱いているバルセロナで幸せを感じていることも明らかにした。

　また同紙は、当然バルセロナとしても、「今夏の移籍の可能性は一切検討されなかった」とクンデを手放すことを望んでいなかったと指摘。交渉は数カ月前から開始されており、満了まで2年を切るこのタイミングでまとめることに成功したという。なお正式発表は、残している細部の調整が完了次第だが、もうまもなく行われる見込みと併せて伝えている。

　以前、バルセロナ史上最高のSBのひとりであると自負しているか、と問われた際に、「いい質問だね…そうなることは、僕の野心でもある。競争心が強いんだ」と口にしたクンデ。ここまでクラブに刻んだ公式戦通算試合は「141」、タイトル獲得数は「5」。さぁこの先、これらの数字をどこまで伸ばすことができるのか。そして、クラブ史上最高のSBと称される日は訪れるのだろうか。
SOCCER KING",[],[]
FA会長、VARの適用範囲拡大に否定的見解を示す「必要はないと考えている」（サッカーキング）,https://news.yahoo.co.jp/articles/115b02c23ec5c5791cb2d52e3266eb85dc3f7a93,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250726-02043591-soccerk-000-1-view.jpg?exp=10800,2025-07-26T15:57:51+09:00,2025-07-26T15:57:51+09:00,サッカーキング,soccerk,SOCCER KING,608,"[写真]=Getty Images
イングランドサッカー協会（FA）のCEOを務めるマーク・ブリンガム氏が、VAR（ビデオ・アシスタント・レフェリー）システムの適用範囲を拡大する考えは持っていないことを明かした。25日、イギリスメディア『BBC』が伝えている。

　国際サッカー評議会（IFAB）ではゴール、PK判定、レッドカード、誤審など、特定の状況での判定にのみ使用可能となっている現在のVARを、判定の精度向上のために適用範囲を拡大すべきだという意見が浮上しており、コーナーキックの判定や2枚目のイエローカードなどにもVARが関与できるように権限を拡大する案が検討されていることが報じられている。

　しかし、IFABに加盟しているFAのCEOを務めるブリンガム氏は「VARの適用範囲を拡大する必要はないと考えている」と現時点ではVAR適用の範囲拡大に反対する姿勢を示しながら、その理由については「現在のモデルでは、試合を中断させる要素が十分に大きい」ことを指摘した。

「IFABではVARのあり方、そしてどのように発展させるべきかについて定期的に議論している。現状は良好な状態にあるというのが私たちの立場だ。もちろん、誰かがIFABに検討すべき事項を提示すれば、グループとして検討をする。しかし、グループとして、現時点でVARの適用範囲を拡大する必要が必ずしもあるとは考えていない」
SOCCER KING",[],[]
