headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【まとめ】水戸で通り魔か　通行人切りつけ6人負傷　殺人未遂容疑で48歳男逮捕　刃物4本押収　茨城県警【動画あり】（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/7bccd9733041e0964b41e704a1beab9b8a89d632,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000011-ibaraki-000-13-view.jpg?exp=10800,2025-07-28T19:09:00+09:00,2025-07-28T23:11:54+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,665,"1
/
2
男が暴れ複数人が負傷した現場付近を調べる県警の捜査員ら=28日午後7時10分、水戸市南町2丁目
現場付近を調べる捜査員ら=水戸市南町
28日午後6時過ぎ、茨城県水戸市南町の路上で、刃物を持った男が通行人の男性(70)らを次々と切りつけた。少なくとも6人が負傷し、2人が重傷。いずれも命に別状はないとみられる。通報で駆けつけた県警水戸署員が男を現場で取り押さえ、殺人未遂の疑いで現行犯逮捕した。同署は通り魔的な犯行とみて詳しい動機などを調べている。

男はいずれも自称で、同市、職業不詳、男(48)。同署によると「自宅近くの道路で人を刃物で切りつけた」と容疑を認めている。

逮捕容疑は、同日午後6時10分ごろ、同市南町2丁目の路上で、東京都東大和市の男性(70)の顔や右手首などを刃物で切りつけ、殺害しようとした疑い。

現場はJR水戸駅北口から西に約700メートルの中心市街地。国道50号沿いのスーパー前の路上と裏通りで犯行に及んだとみられる。現場からは男のものとみられる4本の刃物が押収された。少なくとも1本に血がついていた。

同署によると、被害者は都内や市内、同県城里町に住む20～70代の男女6人。このうち70歳と65歳の男性2人が重傷を負った。全員、男と面識はなかったという。

目撃者によると、男が所持していた刃物はナタのようなものやサバイバルナイフなどだった。

周辺は飲食店やマンションなどが立ち並んでおり、現場の路上には血だまりができていた。退勤時間帯と重なり、周辺は一時騒然となった。
茨城新聞社",[],[]
横断歩道で女性はねられ死亡　茨城・水戸【更新】（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/5f799bef5c8892bb314a0eb34f7f7d2dcd054303,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000010-ibaraki-000-3-view.jpg?exp=10800,2025-07-28T15:56:00+09:00,2025-07-28T20:08:24+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,161,"救急車(資料写真)
28日午前7時55分ごろ、茨城県水戸市大串町の市道交差点で、横断歩道を歩いて横断していた同市、無職、女性(82)が、右折してきた同市、会社員、男性(32)の乗用車にはねられ、脳挫傷などで死亡した。県警水戸署が事故原因を調べている。同署によると、現場は片側1車線で、信号機のある十字路交差点。
茨城新聞社",[],[]
【更新】常磐線で人身事故　特急にはねられ女性死亡　茨城・取手（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/541d47cdc864128c65d9001a05c8f03b7df64821,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000009-ibaraki-000-5-view.jpg?exp=10800,2025-07-28T11:02:51+09:00,2025-07-28T14:02:01+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,233,"写真はイメージ
28日午前10時9分ごろ、茨城県取手市井野のJR常磐線「寺下踏切」で、踏切内に立ち入った女性が、いわき発品川行き上り特急列車にはねられ死亡した。県警取手署によると、女性は20～40代で、茶色の半袖シャツと、灰色の長ズボンを着用していた。同署で身元の確認を急いでいる。

JR首都圏本部によると、同線は取手-土浦駅間の上下線で一時運転を見合わせ、同11時48分に運転を再開した。特急を含む上下8本が運休、上下14本が最大1時間37分遅れた。
茨城新聞社",[],[]
爽やかパフェ共同開発　水戸・大成女子高と地元店　家政科生徒が体験学習　茨城（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/1579c1d724db689673d2594c2a688bad5305d675,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000008-ibaraki-000-2-view.jpg?exp=10800,2025-07-28T11:00:00+09:00,2025-07-28T11:11:01+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,776,"1
/
2
開発した「チェリーパフェ」を利用客に提供する大成女子高生=水戸市緑町
見た目も味もさわやかな「チェリーパフェ」
大成女子高(茨城県水戸市五軒町)家政科の生徒が地元のケーキショップ「フレッシュグリーン」(同市緑町)と共同で夏季限定スイーツを開発し、毎週木曜に同店で提供している。開発したのは、「夏にぴったりの爽やかな味」と「交流サイト(SNS)で映える見た目」を意識した「チェリーパフェ」。生徒らは「爽やかな味とカラフルな見た目を楽しんで」と来店を呼びかけている。販売は31日まで。

チェリーパフェは、甘酸っぱいゼリーと、スイカやメロンなどのフルーツに、アイスとサクランボをトッピング、仕上げにサイダーを注いでドリンク仕立てにした。

同校では、生徒が実際に社会に出て課題解決に取り組む実践体験型学習(PBL)の一環で、5月から同店の吉原悦子代表を講師に招き、来店客に食べてもらうことを目標に、商品開発に取り組んできた。吉原さんのアドバイスを受け、価格設定や売り方も生徒が主体となって考えた。

アイスが溶けて濁らないよう、スピーディーな提供を心がけ、ゼリーやフルーツの配置、配色に工夫を凝らした。

今月17日には関果凛(かりん)さん(17)、野上せいさん(17)、野村菜桜(なお)さん(17)、堀内美緒(みお)さん(18)の4人が店頭に立ち、調理から提供までをこなした。次々と訪れる利用客に「私たちが開発しました」などと声をかけながら、笑顔で接客していた。「商品開発だけでなく、現場で素早く行動する大切さも学んだ」と野村さん。

チェリーパフェを食べた60代の女性は「見た目がかわいくて女子高生らしい。味も甘すぎず、さっぱりしていておいしい」と満足げに話した。

770円。フレッシュグリーン(電)029(221)6220。
茨城新聞社",[],[]
全国こども陶芸展　来場者1000人突破　谷津さん夫妻に記念品　茨城・笠間（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/24d41abef507073c0e83d2ba437ddd971ed4300a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000007-ibaraki-000-2-view.jpg?exp=10800,2025-07-28T10:00:00+09:00,2025-07-28T10:10:01+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,411,"来場1000人目となった谷津祥一さんと一美さん夫妻(手前から)=笠間市笠間
茨城県笠間市笠間の県陶芸美術館で開かれている「第24回全国こども陶芸展inかさま」(茨城新聞社、笠間市、同市教委主催)の来場者が27日、1000人を突破した。1000人目となったのは、同県水戸市中原町の谷津祥一さん(61)と一美さん(61)夫妻。記念品として笠間焼の小皿が贈られた。

2人は本紙の同展関連記事を読み来館した。長女の茜さんは第2回展で県知事賞(B部門・小学4～6年)、第3回展で笠間市長賞(同)を受賞。しかし、病気のため11歳の若さで亡くなった。茜さんの受賞作は今も自宅テラスにあるという。

同展は第3回展以来の鑑賞で、祥一さんは「みんな頑張っている。レベルが上がったなと思う」と感想。一美さんも「子どもの創造力、色使いがすごい」と語った。

同展は全国の小中学生が応募した全1137点を展示。会期は8月31日まで。
茨城新聞社",[],[]
豆力士に大きな声援　潮来で延方相撲　女児も初参加　茨城（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/33651d51d16df4980fad076c43152b7dec89546b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000006-ibaraki-000-2-view.jpg?exp=10800,2025-07-28T09:00:00+09:00,2025-07-28T09:09:01+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,562,"初めて女児(右)が参加した延方相撲の花相撲=潮来市新宮
茨城県指定無形民俗文化財の延方相撲が27日、同県潮来市新宮の鹿嶋吉田神社で開かれた。江戸時代初期の領地争いで延方村が勝利したことを祝い相撲を奉納したのが始まりとされる。未就学児による花相撲には今回初めて女児も参加。元気いっぱいの取組を見せた。

花相撲には1～5歳の13人が臨んだ。これまでは男児のみが土俵に上がっていたが、少子化で参加者が減少した影響もあり女児も参加できるようにした。豆力士たちは、名前にちなんだしこ名が刺繍(ししゅう)された化粧まわしを締めて土俵入り。笑顔や泣き顔を見せながら組み合う様子に、会場から大きな声援が飛んだ。

女児として初めて土俵に立った潮来市曲松南の保育園児、石田琴音ちゃん(5)は、鮮やかなピンクの化粧まわし姿。自身も子ども時代に花相撲に参加したという父の将司さん(31)は「いつもは恥ずかしがり屋だけど、男の子にも負けずに向かっていった。少子化の時代なので、女の子も参加するのは伝統行事を続ける上でいい取り組みだと思う」と話した。

祭事委員長の篠塚哲夫さん(65)は、高齢化や猛暑など祭りを取り巻く環境の変化を指摘しつつ「残していくためには変革も必要。みんなで話し合いながら伝統ある祭りを続けたい」と思いを語った。
茨城新聞社",[],[]
書道甲子園　茨城・水戸葵陵高が初V　「最高の出来」　平和と命の尊さ表現（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/e789d7da4bae4da3fc978f245d3d0e7f97899b5c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000005-ibaraki-000-2-view.jpg?exp=10800,2025-07-28T08:00:00+09:00,2025-07-28T08:08:01+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,746,"1
/
2
「第18回書道パフォーマンス甲子園」で初優勝した水戸葵陵高の作品と部員たち=愛媛県四国中央市
いのちの尊厳をテーマにパフォーマンスを披露する水戸葵陵高の書道部員たち=愛媛県四国中央市
高校生が音楽に合わせて踊りながら巨大な紙に文字や絵を表現し、腕を競い合う「第18回書道パフォーマンス甲子園」の本戦が27日、愛媛県四国中央市で開かれ、茨城県水戸市の水戸葵陵高が初優勝した。同高は8月21日、大阪・関西万博会場内のEXPOホールで開催される特別大会「書道パフォーマンス甲子園in　EXPO」に出場する。

戦後80年に当たる今年、同校が掲げたテーマは「いのちの尊厳」。部員たちは、さだまさしさんの楽曲「防人(さきもり)の詩」など計3曲に合わせて手話と身体表現で歌詞の内容を伝えた。縦4メートル、横6メートルの巨大な紙には「争いの無い世界へ　命の煌(きら)めきを信じて」「未来へ繋(つな)げ」などと力強く揮毫(きごう)し、平和な世界と命の重さを表した。

同校は7大会連続出場で前回は準優勝。書道部長の3年、根本栞恩(しおん)さん(17)は「先輩方の功績に負けないものを残せた。うれしいの一言に尽きる」と声を弾ませ、「重いテーマに負けないよう表情やダンスで明るい未来の希望も伝えた」と振り返った。

辻哲一(のりかず)顧問(56)は「(戦後80年について)どのようにメッセージを残せるか考えた。最高の出来で、部員たちは100%の力を発揮した」とたたえた。

今大会は33都府県の104校がエントリーした。本戦には予選を勝ち抜いた21校が出場し、書の美しさや演技、身体表現などを競い合った。

特別大会には、同校を含む上位5校のうち希望する高校と、愛媛県の三島高が出場する。
茨城新聞社",[],[]
《第107回全国高校野球茨城大会》3時間超　応援席も熱気　明秀日立「みんなに感謝」（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/e8278f19053614fe3a7b58bc0b07b583ecb00dc3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000004-ibaraki-000-2-view.jpg?exp=10800,2025-07-28T07:00:00+09:00,2025-07-28T07:07:02+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,1430,"1
/
2
盛り上がる明秀日立高のスタンド=ノーブルホームスタジアム水戸
得点して盛り上がる藤代高の部員たち=ノーブルホームスタジアム水戸
ノーブルホームスタジアム水戸(茨城県水戸市見川町)で27日に行われた第107回全国高校野球選手権茨城大会決勝は、決勝戦初のタイブレークの末、明秀日立高(日立市)が藤代高(取手市)に競り勝った。両校応援団は、3時間を超す熱戦に声援を送り、最後まで選手を後押しした。三塁側スタンドの明秀日立高の応援団は、3年ぶり2度目の優勝と甲子園出場に歓喜した。

明秀日立高は生徒や保護者ら約500人が集結した。猛暑の中、野球部員や応援団を中心に多彩な応援歌でナインを鼓舞。応援団長を務めた同校3年、金成朋佳さん(18)は「応援の力で勝利に貢献する。勢いづけたい」と言葉に力を入れた。

一回表、幸先よく2点を先制すると、スタンドは大歓声。2点適時打を放った5番の佐藤虎太郎選手(3年)の父、倫之さん(49)は「調子が上がってこない中で一本出た。流れも呼んでくれた」と息子をたたえた。

タイブレークの十回。2点を奪い、「よっしゃー」と再び大歓声。中岡誠志郎投手(3年)が最後の打者を三振で抑え、優勝が決まった瞬間、生徒らはうれし泣きしたり、抱き合ったりして喜びを分かち合った。応援をけん引した野球部3年、松本翔生さん(17)は「練習はきつかったけど、みんなで乗り越えてきた。実を結んで良かった」と笑顔がはじけた。

けがを抱えながらも代打で安打を放った能戸輝夢主将(3年)の母、志保さん(40)は「甲子園へ連れて行ってくれてありがとう。みんなに感謝」とうれし涙を浮かべた。好投で勝利を呼び込んだ中岡投手の父、和也さん(48)は「よく頑張った。自慢の息子。甲子園を楽しんでほしい」とわが子を誇った。

■小川春樹日立市長の話　旋風巻き起こして

常に全力プレーで、諦めない強い気持ちを持って戦った結果が見事に実を結び、多くの市民に元気と勇気、そして感動を与えてくれた。甲子園では「明秀日立旋風」を巻き起こし、深紅の大優勝旗を持ち帰ってくることを期待している。

■練習場と寮がある高萩市の大部勝規市長の話　粘り強さが印象的

準決勝を勝ち抜いた時点で、明秀日立高の強さを確信していた。粘り強さが印象的だった。決勝での長時間にわたる接戦は、全ての観客に深い感動を与えてくれた。甲子園で実力を存分に発揮し、勝利を重ねていくことを心より期待している。

■藤代に「ありがとう」

一塁スタンドの藤代高側は生徒や保護者、OBら約600人が詰めかけた。野球部OBの中村修取手市長(63)は公務の前に駆け付け、「ここまで来たら無心で全力を尽くして楽しんで」と後輩にエール。

同校には応援団員がいないため、野球部員で3年の山内瑠大さん(18)が団長を引き受け、エール交換でリーダーを務めた。試合中は「いくぞ、いくぞ」と声を張り上げ、得点時には部員たちにバケツの水をかけ、一気にボルテージを上げた。

ゲームセットになると、山内さんはしばらくぼうぜんとしていたが、「公立校として地元の人から多くの応援をもらった。3年生の選手は自分たちベンチ外の部員の思いも背負い、戦ってくれた。ありがとうと言いたい」と選手たちに拍手を送った。

成田未来主将(3年)の父、学さん(49)は「後輩たちにいいものを残せた試合だった。お疲れさま」とねぎらった。
茨城新聞社",[],[]
川渡御　豪快に水しぶき　筑西・下館祇園まつり閉幕　茨城（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/0b4e8f42abb22951ff3612471eccb14cadbb4034,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000003-ibaraki-000-2-view.jpg?exp=10800,2025-07-28T06:00:00+09:00,2025-07-28T06:06:01+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,314,"明治神輿に豪快に水をかける担ぎ手たち=筑西市丙
茨城県筑西市の夏を彩る「下館祇園まつり」最終日の27日朝、約130年の歴史を持つ「明治神輿(みこし)」を清める川渡御が、市中心部を流れる五行川で開かれた。担ぎ手たちは神輿に向かって豪快に水をかけ、まつりのフィナーレを盛大に飾った。

神輿はクレーンを使って岸に降ろされ、担ぎ手たちが川の中へ運んだ。

担ぎ手たちは胸の辺りまで川に漬かり、威勢良いかけ声とともに、川の中で神輿を傾けたり、水しぶきを派手に散らしたりするパフォーマンスを披露。迫力ある光景が観客を魅了した。

同市、無職、平山幸伸さん(74)は「毎年楽しみにしている。いつ見ても迫力があっていい」と話した。
茨城新聞社",[],[]
龍ケ崎で撞舞　高さ14メートル　妙技に喝采　茨城（茨城新聞クロスアイ）,https://news.yahoo.co.jp/articles/2effbf120cb6610f95d63130da4569faccbc550b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250728-00000002-ibaraki-000-2-view.jpg?exp=10800,2025-07-28T05:00:00+09:00,2025-07-28T05:05:01+09:00,茨城新聞クロスアイ,ibaraki,茨城新聞クロスアイ,416,"高さ14メートルの柱の上で矢を放つ舞男=龍ケ崎市
茨城県龍ケ崎市の伝統芸能「撞舞(つくまい)」が27日夕、同市の撞舞通りで開かれた。アマガエルの姿に扮(ふん)した2人の「舞男」が、高さ14メートルの柱の上で逆立ちしたり矢を放ったりして妙技を繰り広げた。観衆は息をのんで見守り、技が成功するたび大きな拍手を送っていた。

撞舞は国選択・県指定無形民俗文化財。毎年、八坂神社祇園祭の最終日に行われる。雨ごいや五穀豊穣(ほうじょう)、疫病よけなどの願いが込められ、約450年の歴史があると伝わる。

舞男を務める大石浩司さん(42)と小菅真幸さん(40)は午後6時ごろ、唐草模様の衣装を身にまとい登場。柱をよじ登り、空中で軽業を次々と披露した。綱の上を両手を広げて滑空する技も決めた。

毎年、写真を撮りに訪れるという同市内の大橋隆夫さん(75)は「(舞男は)大変だろうが、今年も素晴らしかった。夕日もきれいだった」と話した。
茨城新聞社",[],[]
