headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
走行中の軽トラから外れたタイヤが歩道の女性2人に直撃した事故 書類送検されていた61歳運転手を不起訴処分（東海テレビ）,https://news.yahoo.co.jp/articles/18833752468fb81a9a3d4bb0f8596dc6737dc956,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041622-tokaiv-000-1-view.jpg?exp=10800,2025-07-30T21:33:03+09:00,2025-07-30T21:33:03+09:00,東海テレビ,tokai,東海テレビ,330,"岐阜地検
岐阜市で走行中の軽トラックから外れたタイヤが女性2人に直撃した事故をめぐり、過失運転致傷の疑いで書類送検されていた運転手の男性が7月30日、不起訴処分になりました。
【動画で見る】通勤ラッシュ時は長い車列が…“渋滞で有名な踏切”ついに高架化完了で問題解消 ビフォーアフターは歴然 名古屋市守山区の名鉄瀬戸線
岐阜市の建築業の男性(61)は、2025年3月、軽トラックを運転中外れたタイヤで、歩道にいた女性2人(ともに60代)に大ケガをさせた疑いで書類送検されていました。

　岐阜地検は男性を30日付で不起訴処分とし、処分の理由は明らかにしていません。

　警察は車に異変を感じながら運転を続けた過失があったとしていましたが、男性は否認していました。",[],[]
企業版ふるさと納税を活用…ソフトバンクが森林保全活動の支援で総額40億円超の寄付 八王子市と46道府県に（東海テレビ）,https://news.yahoo.co.jp/articles/58653f6beb6de36610f26350d0507d0c4e1f3d2d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041617-tokaiv-000-2-view.jpg?exp=10800,2025-07-30T21:26:21+09:00,2025-07-30T22:31:01+09:00,東海テレビ,tokai,東海テレビ,308,"ソフトバンクの「日本森林再生応援プロジェクト」
通信大手のソフトバンクは7月30日、「企業版ふるさと納税制度」を活用して、東京・八王子市と46の道府県に総額40億円を超える寄付をすると発表しました。
【動画で見る】企業版ふるさと納税を活用…ソフトバンクが森林保全活動の支援で総額40億円超の寄付 八王子市と46道府県に
「日本森林再生応援プロジェクト」として、今年から15年間にわたる各自治体の森林保全のための活動を支援し、すべての寄付を植樹に充てたとして計算するとおよそ180万本に当たるとしています。

　30日に行われた発表には岐阜県の江崎禎英知事も登壇し、「山を再生し、保水力を高めていきたい」と話しました。",[],[]
“猪木顔”で記念撮影のエースも…夏の甲子園に出場する東海3県の高校が活躍誓う 県岐商の主将「全国制覇目指す」（東海テレビ）,https://news.yahoo.co.jp/articles/7f40051d3af2db7a28082276e235e51c39910869,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041618-tokaiv-000-1-view.jpg?exp=10800,2025-07-30T21:20:02+09:00,2025-07-30T21:20:02+09:00,東海テレビ,tokai,東海テレビ,601,"愛知県庁を訪れた豊橋中央高校の選手ら 2025年7月30日
8月5日に開幕する夏の全国高校野球に出場する東海3県の代表校が、7月30日、壮行会などに参加し、甲子園への決意を語りました。
【動画で見る】“猪木顔”で記念撮影のエースも…夏の甲子園に出場する東海3県の高校が活躍誓う 県岐商の主将「全国制覇目指す」
愛知県庁でアントニオ猪木さんの「顔マネ」をしたのは、春夏通じて甲子園初出場の豊橋中央高校のエース、高橋大喜地投手です。

高橋大喜地投手：
「猪木さんの顔マネをしている時に投げたストレートは、あまり打たれなかったです。闘魂入っています」

　知事との記念撮影も「猪木顔」です。

　3年ぶり31回目の甲子園出場を決めた、県立岐阜商業高校では、壮行会が開かれました。

河崎広貴主将：
「甲子園では全国制覇を目指して、一戦必勝で戦い抜きます」

　選手たちは県岐商のマスコットのライオン「ロブ」がトップに立つとの思いを込めて…。

県立岐阜商業高校の選手たち：
「せーの…ロブトップ！」

　三重の津田学園は6年ぶり3回目の出場です。野球部が掲げるのは「夏の暑さ」と「心の熱さ」、そしてもう一つは…。

佐川竜朗監督：
「3つ目はプレッシャーの圧です。今回の津球場の圧を和らげてくれたのは、間違いなく大声援です」

　夏の甲子園は、8月3日に組み合わせ抽選会が行われ、開幕式は5日に行われます。",[],[]
夏の甲子園で史上初…“女子高校生”が始球式の大役 中京大中京・森本愛華さん「聞き返してしまうほど驚いた」（東海テレビ）,https://news.yahoo.co.jp/articles/f046e28b4e7574969a6b3049711d880e8128680c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041615-tokaiv-000-2-view.jpg?exp=10800,2025-07-30T21:15:02+09:00,2025-07-30T22:37:01+09:00,東海テレビ,tokai,東海テレビ,504,"夏の全国高校野球大会で始球式を務める森本愛華さん
8月5日に開幕する夏の全国高校野球大会、107回の歴史の中で史上初めて女子高校生が始球式を務める事になりました。
【動画で見る】夏の甲子園で史上初…“女子高校生”が始球式の大役 中京大中京・森本愛華さん「聞き返してしまうほど驚いた」
開幕試合の始球式という栄えある大役を務めることになったのは、中京大中京高校女子軟式野球部3年の森本愛華さんです。

森本さん：
「顧問から教えてもらった時に『甲子園！？』と聞き返してしまうほど驚いてしまって。毎日緊張している状態です」

　森本さんは愛知県豊田市出身で、エースとして、投げてはMAX118キロの直球とスプリットを操り、打っては左の強打者として活躍する「二刀流」で、背番号も大谷翔平選手と同じ17番です。

　素手のみで行う「ベースボール5」という競技の日本代表としても、ユースアジア大会で優勝しMVPを獲得していて、こうした活躍が認められ、今回の大役に抜擢されました。

森本さん：
「甲子園で始球式をやるという大役を頂いたので、開幕試合で投げられるので、甲子園大会が成功できるような投球をしたいと思います」",[],[]
“剣心市長”と“ピッコロ知事”に…8/1から『世界コスプレサミット』参加者を名古屋市長らがコスプレ姿で迎える（東海テレビ）,https://news.yahoo.co.jp/articles/820487158c80137abe5a045c398f58ed047ab88f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041616-tokaiv-000-1-view.jpg?exp=10800,2025-07-30T21:07:17+09:00,2025-07-30T21:07:17+09:00,東海テレビ,tokai,東海テレビ,459,"ピッコロ大魔王のコスプレをする愛知県の大村知事 2025年7月30日
8月1日から始まる世界最大級のコスプレの祭典「世界コスプレサミット」を前に、海外からの参加者を迎える毎年恒例のコスプレ を、広沢名古屋市長が初披露しました。
【動画で見る】“剣心市長”と“ピッコロ知事”に…8/1から『世界コスプレサミット』参加者を名古屋市長らがコスプレ姿で迎える
7月30日、名古屋市役所に「世界コスプレサミット」の参加者たちが集まりました。

　名古屋市の広沢市長はオレンジの髪を後ろに束ね、アニメ「るろうに剣心」の主人公・緋村剣心になりきりました。

広沢名古屋市長：
「皆さん、こんにちは。拙者は緋村剣心でござる」

　愛知県の大村知事は、2024年に亡くなった清須市出身の鳥山明さんの代表作「ドラゴンボール」から、ピッコロ大魔王のコスプレを披露しました。

大村愛知県知事：
「覚悟はいいか、魔貫光殺砲！」

　この日は愛知県沿岸に津波警報が出されていて「いまのところ被害は聞いておらず、冷静に対応していく」と話しました。",[],[]
名古屋でも20cm観測…愛知の外海と三重南部の津波警報は“注意報”に 豊橋市や尾鷲市などで避難指示続く（東海テレビ）,https://news.yahoo.co.jp/articles/b1ac88b5e28d270f4d6c67a9b6bd16e382662348,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041621-tokaiv-000-3-view.jpg?exp=10800,2025-07-30T21:00:17+09:00,2025-07-30T21:41:02+09:00,東海テレビ,tokai,東海テレビ,514,"鳥羽市役所に設置された避難所
愛知県の外海と三重県南部に出されていた津波警報は注意報に切り替えられましたが、7月30日午後9時時点でも豊橋市や尾鷲市などで避難指示が出ています。
【動画で見る】名古屋でも20cm観測…愛知の外海と三重南部の津波警報は“注意報”に 豊橋市や尾鷲市などで避難指示続く
30日午前、カムチャツカ半島で発生した地震の影響で、これまでに尾鷲で40センチ、田原市赤羽根や鳥羽などで30センチ、名古屋でも20センチの津波を観測しています。

　愛知の外海と三重南部に出されていた津波警報は、午後6時半に注意報に切り替えられましたが、午後9時時点でも鳥羽市の全域、豊橋市、田原市、尾鷲市、志摩市、紀宝町の一部に避難指示が出ています。

　このうち鳥羽市役所の避難所では、9人がテレビで情報を確認するなどしながら体を休めていました。

避難している人：
「家の外がすぐ海なので、できたら家に帰ってゆっくりしたいんですけど、その辺で雑魚寝していかないといけないかな」

　一方、熊野市では午前10時過ぎ、津波警報を受け高台に向かう途中だったとみられる磯崎明美さん(58)が車で崖から転落し、死亡する事故がありました。",[],[]
尾鷲市で午後5時22分に40cmを観測…愛知の外海と三重南部の津波警報が“注意報”に 避難は長時間にわたる恐れ（東海テレビ）,https://news.yahoo.co.jp/articles/6070fd445e9f55cb686f9836121a6f88f25d7d36,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041620-tokaiv-000-1-view.jpg?exp=10800,2025-07-30T19:28:54+09:00,2025-07-30T19:28:54+09:00,東海テレビ,tokai,東海テレビ,565,"三重県尾鷲市で避難する人たち 2025年7月30日午前9時半ごろ
愛知県と三重県の沿岸に出されていた津波警報は、30日午後6時半ごろ注意報に切り替えられましたが、引き続き避難などの対応が必要です。
【動画で見る】尾鷲市で午後5時22分に40cmを観測…愛知の外海と三重南部の津波警報が“注意報”に 避難は長時間にわたる恐れ
愛知県外海と三重県南部に出されていた津波警報は、午後6時半ごろに注意報に切り替えられました。

　東海3県では夕方以降も、尾鷲市で午後5時22分にこれまでで最大の40センチの津波を観測し、鳥羽市でも午後4時31分に30センチの津波を観測しました。

　伊勢湾と三河湾の津波注意報も継続していて、名古屋と豊橋市、それに半田市衣浦でいずれも20センチ、四日市で10センチの津波を観測しています。

常滑市体育館に避難した人：
「いつになったら帰っても大丈夫なのか。後から大きいのが来るかもというニュースもあるので。気象庁がそう言っているから（避難した）」

渥美運動公園体育館に避難した人ら：
「びっくりしました。部活中だったので」
「早く津波が終わってほしいなと思います」

　気象庁は、30日午後の会見で「少なくとも1日程度は津波が続くとみられる」との見解を示していて、避難が長時間にわたる恐れがあります。",[],[]
パンフの“原発関連の記載”など問題視…平和をテーマにした舞台の後援を市教委が拒否 政治活動にあたると判断（東海テレビ）,https://news.yahoo.co.jp/articles/952924c134888a169881d29d59d8cb7830dd8174,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041614-tokaiv-000-1-view.jpg?exp=10800,2025-07-30T18:46:04+09:00,2025-07-30T18:46:04+09:00,東海テレビ,tokai,東海テレビ,336,"名古屋市役所
名古屋市教育委員会が、平和をテーマにした舞台の後援を拒否していたことがわかりました。
【動画を見る】 “生きた言葉”を未来へ…名古屋城が焼け落ちた大規模空襲から80年 戦争の爪痕残るも語り部は高齢化で「記憶の限界」
名古屋市教育委員会によりますと、「核兵器廃絶・平和を守る名古屋舞台人の集い」から戦後80年にあわせた、8月に行われる舞台の後援の申請がありましたが、市教委は政治活動にあたると判断し、拒否しました。

　市や愛知県などは後援を決めていますが、市教委はパンフレットにあった「原発の反対活動に携わった皆さまに敬意を表明します」という記載などが問題と判断したということです。

　市教委は「平和に関する活動を否定する意図はない」とコメントしています。",[],[]
【速報】愛知県外海と三重県南部に出されていた津波警報は注意報に変更 引き続き警戒を（東海テレビ）,https://news.yahoo.co.jp/articles/932184372a6fd95e2adbb6564ba98be6338426ea,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041619-tokaiv-000-2-view.jpg?exp=10800,2025-07-30T18:39:46+09:00,2025-07-30T18:46:01+09:00,東海テレビ,tokai,東海テレビ,181,"愛知県田原市の伊良湖岬 2025年7月30日正午過ぎ
30日、ロシア・カムチャツカ半島で発生した地震により、愛知県外海と三重県南部に出されていた津波警報は、津波注意報に切り替えられました。
【動画を見る】専門家「予測が非常に難しい」1000キロ以上離れても遮るものなく大きな波の塊に 津波の影響長引く恐れも
引き続き海岸のそばに近づかないなど、注意してください。",[],[]
避難中とみられる女性の死亡事故も…愛知や三重にも『津波』到達 東日本大震災の経験者「胸がザワザワして…」（東海テレビ）,https://news.yahoo.co.jp/articles/0aa81089a6cda2f222953cb9cccb68f01c916f4e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250730-90041612-tokaiv-000-3-view.jpg?exp=10800,2025-07-30T18:04:38+09:00,2025-07-30T19:04:01+09:00,東海テレビ,tokai,東海テレビ,1248,"車が転落した現場 三重県熊野市
ロシア・カムチャツカ半島で7月30日に起きた地震で、東海3県の沿岸にも津波警報が出されました。愛知と三重では避難指示が出されている地域があり、交通機関などにも影響が出ています。
【動画で見る】避難中とみられる女性の死亡事故も…愛知や三重にも『津波』到達 東日本大震災の経験者「胸がザワザワして…」
■「高台に避難を」東海3県でも津波を観測
30日午前9時40分、愛知県外海と三重県南部に津波警報が発表され、三重県鳥羽市の高台にある避難所には住人が続々と避難していました。
ニュースONE
鳥羽市で避難した人：
「家が低い所にあるから。薬を持ってきました」

三重県尾鷲市・鳥羽市の全域などのほか、愛知県でも豊橋市や田原市の一部地域に避難指示が出され、多くの人が高台へと避難しました。

津波の原因となったのは、ロシアで発生した地震です。30日午前8時25分ごろ、カムチャツカ半島付近を震源とするマグニチュード8.7の地震があり、日本列島の太平洋側沿岸の広い範囲に津波警報が出されました。

津波到達予想時刻の午前11時半を迎え、愛知県庁では、各自治体の状況など、職員が情報収集に追われていました。

三重県尾鷲市では午後0時8分に、津波の第一波が到達しました。
ニュースONE
さらに、津波の到達予想時刻から3時間近くが経った午後2時12分には、熊野市で30センチの津波を観測しました。
ニュースONE
名古屋や豊橋市の三河港でも最大で20センチを観測するなど、東海地方の各地で津波が観測されました。
■車が崖から転落…津波から避難中の事故も
熊野市甫母町では、近くに住む磯崎明美さん(58)が、車で高さおよそ30メートルの崖から転落し死亡しました。
ニュースONE
消防によりますと、磯崎さんは津波から避難するため、崖の上に車を移動させていたとみられています。

中部国際空港は、外海ではない伊勢湾内にあるため、津波注意報が発表されました。

空港のターミナルは「安全」とアナウンスされたこともあり、大きな混乱はありませんでしたが、仙台便が欠航になり、カウンターで手続きをする人たちが列を作っていました。
ニュースONE
仙台に帰る人：
「旅行でこちらに来ていて、帰る予定だったんですけれども。（家族は）大丈夫です。海沿いではないので」

仙台に帰る別の人：
「こちらの病院で手術をして、今日帰る予定だったんですけど、こういうことになって困っています。東日本大震災を経験しているので『警報』と聞くとすごく胸がザワザワして怖いです。空港の近くに車を止めているんですけど、もし津波が来たら流されちゃうなとか、いろいろ考えます」

津波の影響は各地に広がっていますが、気象庁は「少なくとも1日程度は津波が続く」としています。

気象庁は、津波は予想より遅れて襲ってくることがあるとして、警報などが解除されるまでは海岸などに近づかず、避難を継続するよう呼びかけています。",[],[]
