headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
少女時代ユナが4着のワンピ姿披露、コンセプトは「悪魔」…上品さからガールクラッシュまで（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/530383220bf02ed33d87f95ed27b80df69f76142,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080223-chosun-000-7-view.jpg?exp=10800,2025-08-22T22:26:00+09:00,2025-08-22T22:26:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,596,"(写真：朝鮮日報日本語版)
少女時代のユナが映画のプロモーション活動の場で多彩なスタイルを披露した。

　ユナは8月9日、写真共有ソーシャル・ネットワーキング・サービス（SNS）「インスタグラム」に「わたし、悪魔に見える？　だんだん近づいてくる」というコメントと共に4着のミニワンピース姿の写真を掲載した。今回のファッションは、映画『悪魔が引っ越してきた』のプロモーション活動中に披露されたもので、それぞれ異なる雰囲気の黒、赤をポイントにしたスタイルが際立っている。
【写真】少女時代ユナ、超ミニのツーピースでほっそり美脚アピール
1着目は黒いオフショルダーの衣装で、ミニマルなデザインがユナ特有の上品な順位気を際立たせている。2着目は鮮やかな赤の花柄が印象的な、ボディラインにフィットするワンピースで、華やかで洗練されたムードを演出した。
3着目は黒いデニム生地にレースを加えたデザインのミニワンピースで、ガールクラッシュ（女性があこがれる魅力的な女性）の魅力と女性らしさが感じられる。最後の4着目は、青と黒のタイダイ柄オフショルダー・ミニワンピースにワークブーツを合わせ、ストリート風のシックな雰囲気を漂わせていた。
今回のユナのスタイリングは、映画のキャラクターのコンセプトとリンクしており、「悪魔」というキーワードを上品・強烈・シックという多彩なムードで表現し、視線をくぎ付けにした。",[],[]
「美しいゴルファー」ユ・ヒョンジュ「驚きのSライン」完璧ボディ（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/1cc0983430772318aed67a56ea6ca9b4f713b6be,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080200-chosun-000-10-view.jpg?exp=10800,2025-08-22T21:10:00+09:00,2025-08-22T21:10:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,373,"(写真：朝鮮日報日本語版)
【Pickcon】女子プロゴルファーでタレント、ユ・ヒョンジュの自撮り写真が人々の視線をさらっている。
【写真】 ユ・ヒョンジュ、驚きの柔軟性で圧倒的ボディー
ユ・ヒョンジュは21日、交流サイト（SNS）「インスタグラム」の自身のアカウントに、日常の一コマを収めた自撮り写真を1枚アップロードした。
写真のユ・ヒョンジュは黒のタイトなカーディガンに黒のレギンスというカジュアルな装いで、キャップをかぶっている。飾らないが完璧なボディラインと際立つオーラが印象的だ。その流れるようなシルエットは見る人々のため息を誘っている。

　なお、現在斗山建設We’veゴルフ団に所属しているユ・ヒョンジュは、韓国女子プロゴルフ協会（KLPGA）2025年正規ツアーのシード戦でシード権を獲得できず、2部ツアーで活動を続ける予定だ。",[],[]
チョン・ジヒョン、ブラトップ＆レギンス姿で健康的な魅力アピール…運動で鍛えた美ボディ（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/797c1871583ea678d7b92b8a9c3a26a240aee17c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080199-chosun-000-9-view.jpg?exp=10800,2025-08-22T20:10:00+09:00,2025-08-22T20:10:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,374,"(写真：朝鮮日報日本語版)
【Pickcon】女優チョン・ジヒョンが健康的な魅力を振りまいた。

　テクニカル・アスレジャー・ブランド「andar（アンダール）」が21日、これまで2年半の研究を通じてハードなランニングに最適化した独自開発生地「ランブースト」のラインナップである「ランブースト・コレクション」を発表した。
【写真】 チョン・ジヒョン、大胆シースルールック…色気あふれる姿
andarは今回のコレクション発表と併せて、ブランドのイメージキャラクターを務めるチョン・ジヒョンと共に撮影を進めた広告写真を披露した。

　ランニングや運動を楽しむチョン・ジヒョンのイメージを通じて、ランブースト・コレクションが志向するハードなランニングウエアのパフォーマンスと自由な活動性のメッセージを自然な形で届け、機能性とスタイルを同時に強調している。",[],[]
元新体操韓国代表・孫延在　結婚3周年で近況報告…一児のママの「妖精ビジュアル」（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/eb332d37577fb01a1d6f6e900180582dc225c9f4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080179-chosun-000-12-view.jpg?exp=10800,2025-08-22T17:24:36+09:00,2025-08-22T17:24:36+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,357,"(写真：朝鮮日報日本語版)
【NEWSIS】元新体操韓国代表選手の孫延在（ソン・ヨンジェ、31）が結婚3周年を迎え、近況を報告した。
【写真】 孫延在、息子のために五つ星ホテルで盛大に満1歳の誕生祝い
孫延在は21日、交流サイト（SNS）の自身のアカウントに「天気がいい日」と書き込み、写真をアップロードした。
写真の孫延在はスリーブレスの白いサマーセーターに紺色のロングフレアスカートという姿で、上品かつ洗練された装いだ。かすかにほほ笑む口元もその美しさをさらに際立たせている。

　孫延在は結婚3周年を記念して家族と一緒に食事会をしたようだ。公開された写真には、高級レストランのテーブルの上に並べられた料理が写っている。

　孫延在は9歳年上の金融マンと2022年8月に結婚式を挙げ、昨年2月に息子を出産した。",[],[]
ハン・ヘジン、仲良しのパク・タミとロングスカート姿で光化門＆三清洞にお出掛け（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/993ef206a481688eca82bb9ec3a72ae44a79de0a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080143-chosun-000-9-view.jpg?exp=10800,2025-08-22T16:04:34+09:00,2025-08-22T16:04:34+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,506,"(写真：朝鮮日報日本語版)
サッカー選手の奇誠庸（キ・ソンヨン）＝浦項スティーラース＝の妻で女優のハン・ヘジンが、ソウル市鍾路区三清洞を訪れた。
【写真】 ハン・ヘジン＆奇誠庸、娘と夏の海を満喫…ラブリーな家族
ハン・ヘジンは20日、写真共有ソーシャル・ネットワーキング・サービス（SNS）「インスタグラム」に「世宗文化会館、三清洞」というハッシュタグを付け、写真を数枚掲載した。
公開された写真を見ると、ハン・ヘジンは黒いTシャツにアイボリーのロングスカートという装いで、ナチュラルかつ洗練されたコーディネートを完成させている。これにかごバッグ、サンダルを合わせ、カジュアルながらモデルのようなオーラを放ち、日常をグラビアのように演出した。
また、ベンチに座って女優パク・タミと会話をしているような姿もある。二人ともロングスカートをはいており、シミラールックと言えるだろう。パク・タミは「わたし、写真の勉強をしておけばよかった。いいカメラできれいに撮りたい」とコメントし、カメラの腕を物足りなく思っている様子だ。

　なお、ハン・ヘジンは2013年7月に8歳年下の奇誠庸と結婚し、2015年9月に娘を出産した。",[],[]
「法律施行3カ月以内にKBS理事交代」　共に民主党が忌み嫌う新軍部のやり方と全く同じだった（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/ead1999635cb8662f5187b4c0926489d9e93afc2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250821-00080101-chosun-000-10-view.jpg?exp=10800,2025-08-22T14:45:00+09:00,2025-08-22T14:45:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,1708,"(写真：朝鮮日報日本語版) ▲今月5日、ソウル・汝矣島の韓国国会議事堂で行われた本会議で、放送文化振興会法の一部改正法律案（代案）に対する金張謙（キム・ジャンギョム）議員＝国民の力所属＝のフィリバスター（無制限討論による議事妨害）が始まり、与党・共に民主党所属議員たちが本会議場を離れていく様子。写真＝キム・ジホ記者
韓国公共放送局KBSの支配構造を「大手術」する新たな放送法公布を目前に控え、今もこの法律を巡る論争が続いている。とりわけ同法施行後3カ月以内に理事の交代を義務付けた同法付則を巡っては、法律に詳しい専門家などから「1980年に新軍部が制定した国家保衛立法会議法の付則とよく似ている」との指摘もある。国家保衛立法会議法は1989年に憲法裁判所で違憲判決を受けたが、今回の放送法付則も同じく違憲論争が起こる可能性が高いという。
【写真】「THE SOUTH FACE」バッグに全斗煥元大統領の顔
放送法付則第2条はKBS理事について「法律施行3カ月以内に新たな理事が任命されるまで職務を遂行する」と定めている。新たな放送法は、現在11人のKBS理事を15人に増やし、役員を含むKBS社員、放送学会、弁護士団体などにその推薦権を拡大するとしている。同法施行から3カ月となる11月までに新たな理事が任命されれば、それまでの理事は任期が残っていても強制的に交代となる。つまり徐基錫（ソ・ギソク）理事長をはじめとするKBS理事11人のうち7人は任期（3年）を満たす前に解任となる。

　法律に詳しい専門家はこの放送法付則について「1980年に軍部が臨時立法機関の『国家保衛立法会議』を設置するため制定した国家保衛法付則とよく似ている」との指摘が相次いでいる。当時軍部は国会を国家保衛立法会議に代替する法律を制定したが、その付則第4項には「国会所属の公務員は法律により後任が任命されるまでその職を維持する」との内容があった。この法律に基づき当時の国会職員は解任されたが、この付則は1989年に憲法裁判所で違憲との判決を受けた。「公務員の身分保証」を定めた憲法の規定に法律を遡求（そきゅう）させて違反したためだ。

　憲法学者で中央大学法学専門大学院のイ・インホ教授は「放送法付則は新軍部付則第4項と同じく将来的に憲法裁判所で違憲判決が下される可能性が高い」と指摘する。イ・インホ教授は「KBS理事は公営放送の運営に責任を持つため、新放送法が彼らの法定任期を短縮した場合、それは憲法が保証する『放送の自由』の侵害に当たると考えるのが妥当だ」と説明した。

　憲法裁判所で憲法研究官を務めた建国大学法学専門大学院のファン・ドス教授も「法律で任期が保証されている理事を解任する今回の放送法付則は、過去に憲法裁判官の全員一致で違憲とされた新軍部付則に匹敵する条項だ」「遡求立法禁止の原則と信頼保護原則から見て、放送法付則は違憲と考えるのが妥当だ」との見方を示した。元憲法裁判官の別の専門家は「全斗煥（チョン・ドゥファン）政権による国家保衛委員会を誰よりも嫌う共に民主党が彼らと全く同じ行動を取っている」と批判した。

　これらの批判に対して共に民主党は「後から制定された法律が先に制定された法律に優先する効力を持つ、いわゆる新法優先の原則が適用される」と反論している。与党と全国言論労組韓国放送本部は「新たな放送法により、理事はもちろん、国民推薦制など新放送法の規定を適用して社長も交代すべきだ」と主張している。KBSの朴樟釩（パク・チャンボム）社長が就任したのは2024年12月で任期は3年だ。

　法律の専門家は放送法付則第2条だけでなく第3条も問題としている。付則第3条はYTNや聯合ニュースTVなど報道専門チャンネルの代表や報道責任者を3カ月以内に交代するよう定めている。YTNは有進グループが所有する民間放送なので、法律による企業の人事や運営への介入は商法などに反するためだ。ただしYTNのキム・ペク社長は放送法が成立する見通しとなった今年7月、3年の任期を1年残して辞任した。

ヤン・ジヘ記者、イ・ヘイン記者",[],[]
「チェ・ジンシルさんの子ども」Ben Bliss＆チェ・ジュニが恋人の姿公開　「ホン・ジンギョンの許可をもらってきた」（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/e822b5d83d75de6fd17c34efe201c5c07d9b1e41,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080107-chosun-000-10-view.jpg?exp=10800,2025-08-22T14:16:57+09:00,2025-08-22T14:16:57+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,665,"(写真：朝鮮日報日本語版)
【NEWSIS】亡くなった女優チェ・ジンシルさんの息子でラッパーのBen Bliss（旧活動名Z.flat、本名チェ・ファニ）、そしてインフルエンサーの娘チェ・ジュニ兄妹が、それぞれ交際相手と一緒に過ごしている近況を伝えた。
【写真】 チェ・ジュニ、まるでアイドルのようなビジュアル…bntグラビア公開
チェ・ジュニは19日、ソーシャル・ネットワーキング・サービス（SNS）に「おばさんに、それぞれパートナーの許可をもらってきた。おいっこたちがおごるよ」という書き込みとともに写真を掲載した。
公開された写真を見ると、チェ・ジュニとBen Blissがそれぞれ交際相手と一緒にタレントのホン・ジンギョンと会ったときの様子が収められている。特に、これまで公開されたことがないBen Blissの交際相手が初めて登場し、目を引いた。

　この日、Ben Blissとチェ・ジュニは交際相手を直接ホン・ジンギョンに紹介し、食事をごちそうしたようだ。ホン・ジンギョンはチェ・ジンシルさんと親しく、チェ・ジンシルさんが亡くなった後、ずっとBen Bliss＆チェ・ジュニ兄妹を見守ってきた。

　なお、Ben Blissは2020年にシングル「Designer」で歌謡界にデビューした。最近活動名をZ.flatからBen Blissに変え、音楽作業を続けている。一方、チェ・ジュニはユーチューブ・チャンネルなどを通じてファンたちとコミュニケーションを図っている。昨年8月にはファッションモデルとしてデビューした。",[],[]
韓国公共放送局KBSに続きMBCも共に民主党の思うがままに　放送文化振興会法可決（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/3b5d9c5fb3e71a2f109a3c54ce1d4a0c3d698b8e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080057-chosun-000-10-view.jpg?exp=10800,2025-08-22T14:15:00+09:00,2025-08-22T14:15:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,944,"(写真：朝鮮日報日本語版) ▲21日、ソウル・汝矣島の韓国国会本会議で、放送文化振興会法の一部改正法律案が通過した。写真＝聯合ニュース
韓国与党・共に民主党は21日、MBC放送の大株主である放送文化振興会の取締役陣を3カ月以内に交代するという内容の放送文化振興会法改正案を国会本会議で通過させた。野党・国民の力が「李在明（イ・ジェミョン）政権による放送掌握のための法律だ」として議決を欠席した中、同法案は出席議員171人のうち賛成169人で可決された。
【写真】韓国公共放送局MBC天気予報に共に民主を示す「青色の1」表示
国民の力は今月5日、放送文化振興会法の可決を遅らせるため、フィリバスター（無制限討論による議事妨害）に入ったが、7月の臨時国会会期が終わると共に終了した。共に民主党は今月21日、8月の臨時国会で初の本会議で、祖国革新党などと共にこの法を直ちに可決した。

　共に民主党は放送文化振興会法改正案を皮切りに、争点となっている法案の強行処理に着手する。国民の力によるフィリバスターを24時間で終結させ、韓国教育放送公社法（EBS法）改正案は22日、労働組合および労働関係調整法第2条・第3条改正案（黄色い封筒法）は24日、商法第2次改正案は25日に通過させる方針だ。

　放送文化振興会法改正案は、法の施行から3カ月以内に放送文化振興会の支配構造を変える内容となっている。放送文化振興会の取締役の数を現行の9人から13人に増やし、取締役推薦の主体を視聴者委員・学界・役員や職員・法曹界などに拡大するというものだ。だが、これは「現・取締役陣を与党寄りの人物に入れ替え、MBCの経営陣も交代しようという意図だ」と野党側は反発している。今月5日に通過した放送法改正案がKBSの支配構造を変えるようにしたものであるのとよく似ており、EBS法も同様の構造となっている。

　黄色い封筒法と商法第2次改正案については、「企業活動が萎縮するのでは」との懸念が財界で広がっているが、共に民主党は修正せずに通過させる方針だ。国民の力の宋彦錫（ソン・オンソク）非常対策委員長兼院内代表は「共に民主党は悪法を可決させるための暴走列車を動かし始めた」と語った。

権純完（クォン・スンワン）記者",[],[]
文政権時代の金正淑夫人衣服代疑惑、韓国警察「嫌疑なし」で不起訴（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/e4500ff6fb42aec047c500c6f0d223890f3e8354,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080056-chosun-000-10-view.jpg?exp=10800,2025-08-22T13:45:00+09:00,2025-08-22T13:45:00+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,534,"(写真：朝鮮日報日本語版) ▲文在寅（ムン・ジェイン）元大統領＝写真右＝と金正淑（キム・ジョンスク）夫人＝同左＝。写真＝聯合ニュース
文在寅（ムン・ジェイン）元大統領の妻・金正淑（キム・ジョンスク）夫人の衣服代に大統領府（大統領府）特殊活動費が使われたのではないかという疑惑について、韓国の警察が「嫌疑なし」との結論を出したことが分かった。警察が21日に明らかにした。
【写真】全て私費？　金正淑夫人の衣装代の支払いに使われた現金と官封券
ソウル警察庁反腐敗捜査隊は先月29日、金正淑夫人の特定犯罪加重処罰法上の国庫損失などの容疑に対して「嫌疑なし」で不送致処分にしたとのことだ。

　文元大統領在任時、金正淑夫人は衣服を買う際に大統領府特殊活動費を使ったという疑惑が持たれていた。市民団体「庶民民生対策委員会」はこうした疑惑に対して2022年3月、「金正淑夫人は大統領府特殊活動費の担当者に対し、高価な衣服やアクセサリーなどを購入するよう強要したと疑われる」と警察に告発していた。

　大統領府は当時、「大統領の配偶者としての衣服購入目的で特殊活動費など国家予算を編成して使ったことはない。（衣服購入は）私費で負担した」との見解を明らかにした。

ユ・ビョンフン記者",[],[]
活動休止のパク・ミソン、乳がんで闘病中？　事務所「個人的な医療情報なので確認は難しい」（朝鮮日報日本語版）,https://news.yahoo.co.jp/articles/547769c2165c140fab5ca8df3fc73ada244a96ec,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250822-00080091-chosun-000-5-view.jpg?exp=10800,2025-08-22T13:25:29+09:00,2025-08-22T13:25:29+09:00,朝鮮日報日本語版,chosun,朝鮮日報日本語版,463,"(写真：朝鮮日報日本語版)
【NEWSIS】女性お笑いタレントのパク・ミソン（58）が乳がんを患い、闘病生活を送っていると報じられた。
【写真】パク・ミソン、ガールクラッシュな魅力炸裂＝「ELLE」
所属事務所CUBEエンターテインメントは22日、「個人的な医療情報なので正確に確認することは難しいが、健康上の理由で休んでいる」と発表した。
この日、あるメディアが報じたところによると、パク・ミソンは今年初めに早期の乳がんと診断されたという。早期発見だったことから、放射線および薬物治療だけで完治する可能性が高いという。

　パク・ミソンは1月から活動を休止している。夫でお笑いタレントのイ・ボンウォンとバラエティー番組『対決！　ペンボンペンボン』（JTBC）に出演する予定だったが、海外ロケの15日前に降板した。当時、CUBEエンターテインメントは「パク・ミソンは健康上の理由で休んでいる」とした上で「深刻な病気を患い闘病しているわけではない。ある程度休息を取ってから復帰する計画だ」とコメントしていた。

チェ・ジユン記者",[],[]
