headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
日向坂46藤嶌果歩「世界で唯一“同じ舌”を持っているなって思う」同期メンバー・山下葉留花との共通点とは？（TOKYO FM＋）,https://news.yahoo.co.jp/articles/def69d14af8acf9e8c44b7a563a2d9e2eadc0c5b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010012-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T22:50:33+09:00,2025-08-23T22:50:33+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,1028,"パーソナリティの藤嶌果歩、山下葉留花
日向坂46の河田陽菜、髙橋未来虹、藤嶌果歩、山下葉留花がパーソナリティを務めるTOKYO FMのラジオ番組「ローソン presents 日向坂46のほっとひといき！」（毎週金曜 11:30～11:55）。この番組は、ランチ前に「ほっ」とするような“癒やし”の時間をお届けすることを目指していますが、たまに（？）脱線してしまう番組です。8月15日（金）の放送は、山下葉留花と「ほっとひといき！」新メンバーの藤嶌果歩が登場！ ここでは、2人の共通点について語りました。
◆「ほっとひといき！」にかほりん降臨！
パーソナリティの藤嶌果歩
山下：7月25日（金）に放送されました「さよなら、富田鈴花さんスペシャル」のエンディングで、「『ほっとひといき！』に新メンバーが来ますよ！」という発表をしましたが、今日は、その方のお披露目回となっております！ それで今、もうブースの外ですごくニヤニヤしている美少女がいるんですね（笑）。たぶん北海道出身だと思うんですけど、もう（ブースのなかに）来たいですか？（手で）大きな丸をいただきました！ ということで、早速お呼びします♪ 「ほっとひといき！」新メンバー、カモン！ 

藤嶌：どーん！

山下：“どーん！”で登場してくれました（笑）。それでは、自己紹介をお願いします。

藤嶌：のんびり北からかほりん降臨！ 日向坂46四期生の藤嶌果歩です。よろしくお願いします！

山下：藤嶌果歩ちゃんが来てくれました～！

藤嶌：リスナーの皆さん、はじめまして～！

山下：“かほりん”っていうのは、あだ名なんですよね？

藤嶌：皆さんに“かほりん”って呼んでいただいています。よろしくお願いしますー！
山下：私とかほりんは同じ四期生なんですけど、結構似ている部分もあったりして。例えば“食”が一緒。

藤嶌：はるはる（山下の愛称）は世界で唯一同じ舌を持っているなって思う。

山下：本当に私が食べられる物はかほりんも食べられるし、かほりんが食べられる物は私も食べられるくらい一緒だよね？

藤嶌：しかも、私が食べられない物は、はるはるも食べられないよね？

山下：そうなのー！

藤嶌＆山下：すごいよね！ ハハハ（笑）!!

山下：こんな感じで盛り上がっていきたいと思います！

（TOKYO FM「ローソン presents 日向坂46のほっとひといき！」2025年8月15日（金）放送より）",[],[]
「そもそもBiSHになる前は…」モモコグミカンパニーがもともとやりたかった職業とは？（TOKYO FM＋）,https://news.yahoo.co.jp/articles/287b6f36b1d3797d3233e34fac584149badf30aa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010011-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T21:50:26+09:00,2025-08-23T21:50:26+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,1903,"（左から）パーソナリティの山崎怜奈、モモコグミカンパニーさん
山崎怜奈（れなち）がパーソナリティをつとめるTOKYO FMのラジオ番組「山崎怜奈の誰かに話したかったこと。（ダレハナ）」（毎週月曜～木曜13:00～14:55）。8月18日（月）〜21日（木）の放送は、さまざまな番組のパーソナリティが登場する“ラジオフレンズWEEK”。8月20日（水）の放送では、作家・タレントのモモコグミカンパニーさんが登場！ TBS Podcast「モモコグミカンパニーの盗み聴きラジオ」の話や音楽プロジェクト・（momo）などについて伺いました。
◆モモコグミカンパニー独特の会話上達法
れなち：モモコさんは、7月から「モモコグミカンパニーの盗み聴きラジオ」という番組の配信がスタートしています。どういうきっかけで始まったのですか？

モモコ：私はラジオが好きなんですけど、結構緊張しいで。テレビはもっと苦手なんですよ（笑）。8年くらいBiSHとして活動して、テレビ慣れしているはずなんですけど、肩肘を張ってしまって“うまくしゃべれないな”っていつも思っていて。ラジオも好きなんですけど緊張してしまうから、Podcastって聴きたい人しか聴かないというか、限定的な媒体でちょうどいいなと思って。それをいろんなところで話していたら、今回ご縁があってやらせていただくことになりました。

れなち：私も1人しゃべりをしますけど難しくないですか？ もともとやられていました？

モモコ：やっていたわけではないんですけど、1人でボソボソしゃべるのは好きなんですよ。それに、私の携帯には1,000件を超えるボイスメモが残っていて……（笑）。

れなち：えっ!? どこで録ったものですか？

モモコ：私は昔から、人と話しているときに“うまくしゃべれているかな？”“私がしゃべっているときに（相手から）どう思われているんだろう？”って思うことが多くて。それで、中学・高校の頃に友達との会話を録音して、それを家で聴き直して話す練習をしていたんですよね、今はもうやっていないですけど（笑）。
◆一番やりたかったことに挑戦中！
れなち：モモコさんは、シンガーソングライターのマナミさんと音楽プロジェクト・（momo）としても活動されていて、7月にはセカンドミニアルバム『ガラスの国』をリリースし、先日リリースツアーを終えたところなんですよね。

モモコ：ありがとうございます。今回のライブに向けて物語を書いて、15分ぐらいの朗読もして、たまに噛んだりして（笑）。

れなち：（笑）。

モモコ：BiSH時代って、私の歌割りは“1曲に1行あればいい”みたいな感じだったんです。6人で一人ひとり歌うグループだったので。でも、今は歌うのも自分だし、語りも自分だから、昔からは考えられないようなことを……でも、ライブを作りあげるというのは楽しいですね。

れなち：やっぱり音楽も続けていきたい？

モモコ：そうですね、細々でも続けていきたいです。歌詞って小説やエッセイを書くことともまた別物ですし、そもそもBiSHになる前は作詞家になりたかったんですよ。

れなち：へ〜！

モモコ：でも、作詞家ってどうなればいいかマジわからなくて（笑）。提供とかをしなければ自分で曲を作って歌うしかないので。今後も作詞活動はやりたいなって思います。

れなち：書く仕事のほうも続けられていて、6月からポプラ社のストーリー＆エッセイマガジン「WEB asta」で「歩くのが下手だから」というエッセイを連載されています。

モモコ：そうですね。あとは今、自費出版を頑張っていて……。

れなち：自費出版!?

モモコ：私が事務所を独立してから最初に手をつけたことというか、一番私がやりたかったのが“詩集”なんですよ。

れなち：詩集「氷の溶ける音」ですね。

モモコ：そうなんです。これを出版して、記念の展示会もやりたいなと考えていて。今まで小説やエッセイを書くにしても、原稿を出版社さんに渡して、後は出版社さんが表紙などを作っていただいていたんですけど、独立したのを機に紙から選んでみたいなと思ったんです（笑）。全部自分でやって、お金も自分で注ぎ込むっていう……。

れなち：流通はどうするんですか？

モモコ：そんなに冊数も多くないので、ウェブショップでやろうと思っています。めっちゃ大変ですけど、ここで1回、面倒くさいことをゼロからやってみたいと思ったんですよね。

（TOKYO FM「山崎怜奈の誰かに話したかったこと。」2025年8月20日（水）放送より）",[],[]
友近「『2時間ドラマを作りませんか？』と声をかけて…」自ら企画＆プロデュースしたドラマ「友近サスペンス劇場」制作裏話を語る（TOKYO FM＋）,https://news.yahoo.co.jp/articles/70729fc86ec23daae00db4a8e737da73036b8919,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010010-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T21:50:10+09:00,2025-08-23T21:50:10+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,1200,"（左から）パーソナリティの山崎怜奈、友近さん
山崎怜奈（れなち）がパーソナリティをつとめるTOKYO FMのラジオ番組「山崎怜奈の誰かに話したかったこと。（ダレハナ）」（毎週月曜～木曜13:00～14:55）。8月19日（火）の放送は、友近（ともちか）さんが登場！ 独自の切り口でマルチに活動する友近さんの“原動力”について伺いました。
◆やりたいことへの行動力は“日本一”
れなち：友近さんは、YouTubeでドラマを撮られていましたよね？

友近：「友近サスペンス劇場」は、フィルムエストTVさん（アナクロ系YouTubeチャンネル）に「2時間ドラマを作りませんか？」と声をかけて、企画とプロデュースをさせてもらったんです。それがすごく好評だったので、地上波のテレビ東京（架空名作劇場「人情刑事 呉村安太郎」）でお声がかかったり、あと「崖」（ショートドラマアカウント「スキドラ」で配信されている作品）とか、そこからいろいろ発展して。

れなち：そういったアイデアはどうやって考えているのですか？

友近：今は地上波で80、90年代の2時間サスペンスを放送することがなくなって、BSでそういった作品を観ていたんですけど“観るだけじゃもう我慢できなくなり……出たいな！”と思うようになって（笑）。それで、昭和の映像作品を得意としているフィルムエストTVさんに声をかけて作ったっていう。

れなち：行動力がすごいですよね。

友近：行動力は日本一ちゃうかな（笑）！

れなち：え（笑）!? 自分でも思うぐらいですか？

友近：“やりたい！”と思ったら、めちゃめちゃ自分で営業するもんね（笑）。

れなち：しかも、先輩方を見ていて思うのが、真面目にふざける人が多いじゃないですか。

友近：そうですね。

れなち：友近さんもそうですし、タモリさんや所ジョージさんとかもそうだけど、みんな真面目にふざけているから……。

友近：やっぱり、それが楽しいよ。ロバート秋山さんもそうですが、幼い頃からやってきたことをそのまま続けていることやと思う。

れなち：飽きずに？

友近：そう。それに“恥ずかしい！”っていう羞恥心があったとしてもやめない（笑）。

れなち：そして、みんなを巻き込んで（笑）。しかも、後輩も先輩もノッてくれて。

友近：そうそう！ そういう方と一緒に、お芝居やコントやったりするのが今は多いかもですね。　

――番組では、ほかにも8月20日（水）にリリースした友近さんの“親友”の演歌歌手・水谷千重子さんセレクトによるカバーアルバム『LOVE 昭和 SONGS』や、水谷千重子50周年記念公演「CAKUGO (カクゴ) 愛と憎しみと追憶と沈黙のミス・フローレンス」などの話で盛り上がりました。

（TOKYO FM「山崎怜奈の誰かに話したかったこと。」2025年8月19日（火）放送より）",[],[]
Mrs. GREEN APPLE大森元貴「実は10年前ぐらいの楽曲とガッチャンコしている、っていう曲なんです」新曲『夏の影』制作裏話（TOKYO FM＋）,https://news.yahoo.co.jp/articles/e45b1fd72286eae126482427348e78c82ef0361f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010009-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T20:51:04+09:00,2025-08-23T20:51:04+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,976,"Mrs. GREEN APPLE大森元貴
3人組ロックバンドMrs. GREEN APPLE（大森元貴（Vo/Gt）、藤澤涼架（Key）、若井滉斗（Gt））がパーソナリティをつとめるTOKYO FMのラジオ番組「SCHOOL OF LOCK! ミセスLOCKS!」（毎週月曜 23:08頃〜）。
8月18日（月）の放送では、Snow Manの目黒蓮さん、俳優の中条あやみさんが出演する「キリン 午後の紅茶」のCM「夏の影」編のために書き下ろされた新曲「夏の影」の制作裏話を語りました。
（写真左から）Mrs. GREEN APPLE藤澤涼架、大森元貴、若井滉斗
大森：どうでした？ 今回（「夏の影」の）デモを受け取って聴いたとき。

若井：ミセスの夏曲といえば「サママ・フェスティバル！」（2016年）とか「青と夏」（2018年）とか、アッパーな曲がありましたけれども。「夏の影」はどちらかというとちょっとしっとりとした。

大森：そうなんですよ！

若井：イメージとしては、「青と夏」とかはすごい速さで夏が駆け抜けていく、ってイメージなんだけど、「夏の影」は、本当に1歩1歩ゆっくりと、のんびりと時間が流れていく、そんな夏のワンシーンをイメージできる、そんな楽曲になっているかな、と思いました。

大森：りょうちゃん（藤澤）、どうですか？

藤澤：本当に爽やか、かつ、しっとり聴けるという。若井も言ってたけど、夏休みとか、夏をゆっくり楽しめるな、一瞬一瞬を大切にできるな、っていう楽曲だと思いました。同時に、ミセスメンバーとしては「あれ？ ここのフレーズ……」っていうね！

大森：ああ、そうね！「アポロドロス」現象が起こっていまして。実は10年前ぐらいの楽曲とガッチャンコしている、っていう曲なんですよ。（歌詞の）「過ごしていた」っていう最後の、Eメロっていうんですか？ からは、もともと曲があって。そこから持ってきている。我々しかわからないという。まだまだ、ね。

藤澤：スタジオで合わせていたからね！

若井：本当よ！ 10年前とか。

大森：それがこの曲とつながって、いつか出ると面白いかな、と思ったりしています！

若井：お～！

（TOKYO FM「SCHOOL OF LOCK! ミセスLOCKS!」2025年8月18日（月）放送より）",[],[]
ビアガーデンで意気投合した男性とお酒の勢いで…リスナーの夏の“けしからん”思い出にSaucy Dog石原慎也「“2人で宅飲み焼酎パーティー”が良くないね！」（TOKYO FM＋）,https://news.yahoo.co.jp/articles/84dbd43124af08cbff87bb724279d5e40e229156,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010008-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T20:50:56+09:00,2025-08-23T20:50:56+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,911,"パーソナリティの石原慎也（Saucy Dog）
3人組ロックバンド「Saucy Dog（サウシードッグ）」の石原慎也（Vo／Gt）がパーソナリティをつとめるTOKYO FMのラジオ番組「SCHOOL OF LOCK! Saucy LOCKS!」（毎週火曜 23:08頃〜）。
8月19日（火）の放送では、生徒（リスナー）から寄せられた“けしからん”夏の思い出に関するメッセージを紹介しました。
＜リスナーからのメッセージ＞
去年の夏、共通の友達カップルと夏祭りダブルデートの予定がありました。お祭りの前、ヘアアレンジを手伝うために彼がうちに来てくれたんですが、デコルテがけっこう開いた服を着てるのを見て、家に来て早々「こんな服、俺以外の前で着ないで」と言われて服を変えざるを得ないような跡を付けられました。

着替えた後も跡が見えるんじゃないかって、お祭りのときもハラハラしていました。夏祭り用におろした服だったから本当は着たかったけど、あのときは彼のかわいさに負けちゃいました。（17歳）
＜石原からのメッセージ＞
これ「かわいい」って思うんだね。ちょっと嫉妬しちゃった感じよね。まあまあ、（けしからんの）「けし」ぐらいですかね。……何の跡だろうな？
＜リスナーからのメッセージ＞
去年、ビアガーデンに行ったとき、隣の卓で会社飲みしていた男の人と焼酎が好きなことで意気投合しました。その人と連絡先を交換して、別の日に2人で宅飲み焼酎パーティーをしてお酒の勢いに負けてけしからん時間を過ごしてしまいました。

その後はしばらくけしからん関係になりました。石原先生、お酒の勢いに負けるけしからん私を叱ってください。（21歳）
＜石原からのメッセージ＞
けしからんぞ！ いや、これに関しては「2人で宅飲み焼酎パーティー」が良くないね、まず。そんなん宅飲みで焼酎パーティーをしたら、どうなるかっていうのは分かってることなんで、二度とそんなことはしないように！ 先生が怒っていくんで、気を付けてくださいね（笑）！

（TOKYO FM「SCHOOL OF LOCK! Saucy LOCKS!」2025年8月19日（火）放送より）",[],[]
憧れの存在は奥田民生!? meiyo「ちょっと飄々としているんだけど、隠し持っている何かがある、みたいなところに憧れています」（TOKYO FM＋）,https://news.yahoo.co.jp/articles/3608b64d1fb2b3a24c3d48c94a6daf51b8882717,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010007-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T20:50:45+09:00,2025-08-23T20:50:45+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,1294,"こっちのけんと、meiyoさん
アーティストの「こっちのけんと」がパーソナリティをつとめるTOKYO FMのラジオ番組「G-SHOCK presents THE MOMENT」（毎週金曜17:00～17:25）。さまざまなゲストをお迎えし、生まれてからこれまでの時間のなかで、人の心に刻まれている「人生が変わった瞬間」＝“MOMENT（モーメント）”を探ります。
今回の放送では、シンガーソングライター・meiyo（メイヨー）さんがゲストに登場。影響を受けたアーティスト、憧れのアーティストなどについて語ってくれました。
meiyoさんはロックバンドのドラマーとして音楽活動をスタート。2015年より「ワタナベタカシ」名義でソロ活動を開始、2018年に「meiyo」に改名。2021年夏、楽曲「なにやってもうまくいかない」をTikTokに投稿したところバズを巻き起こし、ユニバーサルミュージックよりメジャーデビュー。2022年はTikTokで30億再生を記録したasmi「PAKU」、NHK総合「Venue101」にて結成されたかまいたち・濱家隆一さんと生田絵梨花さんのユニット・ハマいくの「ビートDEトーヒ」など提供曲が次々とヒット。中毒性や哀愁のあるポップなメロディと、今の時代を生きる人たちの心情を汲み取った歌を届け続けています。
こっちのけんと：打ち込みをやるようになったのは（改名して「meiyo」さん名義になった）その頃からですか？

meiyo：そうですね。

こっちのけんと：バンドサウンドから方向転換するのってけっこう難しいんじゃないかなって思うのですが、いかがですか？

meiyo：難しかったですね。1曲作っているものがあったんですけど、それは4ヵ月ぐらいずっとパソコンと向き合っていました。いろいろ研究を重ねて、ようやくその曲が形になったんですけど、そこでハードディスクが壊れちゃったんですよ（笑）。

こっちのけんと：なんでなん～（笑）！

meiyo：だけど、その曲がギリギリファイル転送サービスに残っていて、なんとかリリースできることになりました（笑）。

こっちのけんと：危ねぇ～（笑）！

meiyo：2020年になってコロナ禍が始まって、活動できないなってタイミングでその曲をアップロードしたんです。それが「KonichiwaTempraSushiNatto」です。「Konichiwa Tempra」ってところがmeiyoっぽいですよね（笑）。

こっちのけんと：めっちゃmeiyoっぽい！　僕もmeiyoさんに似ているというか、タイトルとかメロディーはキャッチーなんだけど、中身は意外とすごいことを言っているみたいなところを、自分も目指しているんですよ（笑）。

meiyo：ホント、そういうところが仲間ですよね。そういうところで言うと、奥田民生さんの影響が強いと思っていて、ちょっと飄々としているんだけど隠し持っている何かがある、みたいなのに憧れています。

（TOKYO FM「G-SHOCK presents THE MOMENT」放送より）",[],[]
Mrs. GREEN APPLE藤澤涼架「3人で縁側で過ごして…」新曲『夏の影』MVで好きなシーンは!? メンバーと語り合う（TOKYO FM＋）,https://news.yahoo.co.jp/articles/dd6ac984bf1f63fda0832fff4e00637ab0fe7b7a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010006-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T14:10:28+09:00,2025-08-23T14:10:28+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,898,"Mrs. GREEN APPLE藤澤涼架
3人組ロックバンドMrs. GREEN APPLE（大森元貴（Vo/Gt）、藤澤涼架（Key）、若井滉斗（Gt））がパーソナリティをつとめるTOKYO FMのラジオ番組「SCHOOL OF LOCK! ミセスLOCKS!」（毎週月曜 23:08頃〜）。
8月18日（月）の放送では、Snow Manの目黒蓮さん、俳優の中条あやみさんが出演する「キリン 午後の紅茶」のCM「夏の影」編のために書き下ろされた新曲「夏の影」の制作裏話を語りました。
――MV内のグッとくるシーン
（写真左から）Mrs. GREEN APPLE藤澤涼架、大森元貴、若井滉斗
大森：「夏の影」、MV（ミュージックビデオ）も公開されました！ どうですか？ 若井さん、どこかありますか？ MVの印象的な。

若井：いいよね！ みんなで温泉入ってるシーン！

大森：そんなシーン撮ってないから、まず（笑）。

若井：撮ってないか（笑）。

藤澤：でもさ、僕、MV撮影の打ち合わせの段階で、それぞれ夏のイメージみたいな話をしたときに、個人的にはだけど、おじいちゃん家とかに帰ったときの縁側が、すごく好きで。そういうシーンあったらいいですね！ って言って、本当に3人で縁側で過ごして……よかった！ 風鈴があって、そうめん食べてさ。外の景色眺めてさ、それぞれ！

大森：道が分かれるのとかね！

若井：そうそう！ 木を投げて「こっちだ！」ってさ。

大森：そうそう、あれけっこういいシーンですよ！ 僕、あの道が分かれるシーン、個人的にすごい好きで。普段ミセスのかじ取りって、僕がしてるじゃないですか。だから、本当は僕が道を示して2人が着いて来てるんですよ。でもそうじゃなくて、りょうちゃんとかも別に打ち合わせなく「こっちだ！」って言って2人が「わあ！」って駆けていくのとかが、なんかすごいぐっと来てて。いいシーンだなぁ、って思ってました。

若井：いいね。

藤澤：うん、いいね。

（TOKYO FM「SCHOOL OF LOCK! ミセスLOCKS!」2025年8月18日（月）放送より）",[],[]
meiyo「当時、カメラマンさんが中国語で…」“名前”の由来を明かす（TOKYO FM＋）,https://news.yahoo.co.jp/articles/bf6e0bcd0075394a9a98611c518dc457848665d0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010005-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T12:11:58+09:00,2025-08-23T12:11:58+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,1679,"こっちのけんと、meiyoさん
アーティストの「こっちのけんと」がパーソナリティをつとめるTOKYO FMのラジオ番組「G-SHOCK presents THE MOMENT」（毎週金曜17:00～17:25）。さまざまなゲストをお迎えし、生まれてからこれまでの時間のなかで、人の心に刻まれている「人生が変わった瞬間」＝“MOMENT（モーメント）”を探ります。
今回の放送では、シンガーソングライター・meiyo（メイヨー）さんがゲストに登場。アーティスト名の由来などについて語ってくれました。
meiyoさんはロックバンドのドラマーとして音楽活動をスタート。2015年より「ワタナベタカシ」名義でソロ活動を開始、2018年に「meiyo」に改名。2021年夏、楽曲「なにやってもうまくいかない」をTikTokに投稿したところバズを巻き起こし、ユニバーサルミュージックよりメジャーデビュー。2022年はTikTokで30億再生を記録したasmi「PAKU」、NHK総合「Venue101」にて結成されたかまいたち・濱家隆一さんと生田絵梨花さんのユニット・ハマいくの「ビートDEトーヒ」など提供曲が次々とヒット。中毒性や哀愁のあるポップなメロディと、今の時代を生きる人たちの心情を汲み取った歌を届け続けています。
◆“meiyoらしさ”が生まれた転機は
――この番組では、ゲストの方の人生が変わった瞬間“モーメント”を伺っていきます。meiyoさんの1つ目のモーメントは「2008年 ドラムを叩き始めた」、2つ目のモーメントは「2015年 ワタナベタカシとして歌い始めた」でした。

こっちのけんと：それでは、meiyoさんのその後の人生における、3つ目のモーメントは？

meiyo：「2020年頃 “meiyoっぽい曲”を作るようになる」です！

こっちのけんと：面白い表現だなあ（笑）。そもそも、meiyoという名前に変わったのは2018年ですよね？

meiyo：そうですね。当時、「ワタナベタカシ」を売ろうという時期があって、一緒にやろとて言ったチームの人が名前を「meiyo」と決めてくれたんです。

こっちのけんと：そうなんですか!? ちなみに、名前の由来ってあります？

meiyo：当時、カメラマンの方が付けてくれて、その人が何を考えていたかまではわからないのですが、中国語で「メイヨウ (没有)」は「無い」という意味なんですね。「有」って言葉が入っているのに「無」、そのひねくれ具合がいいなって思っていたみたいで。それが名前になった感じです。

こっちのけんと：たしかに、タカシさんにはmeiyoっぽさがあって、逆に言えばタカシさんっぽさがないんですよね（笑）。

meiyo：そうなんですよね（笑）。でも、音楽を始めたのは2008年で、名前を変えるまではずっと「タカシ」として活動していたから、当初は違和感もありましたね。

こっちのけんと：その後にコロナ禍が始まった頃ですよね。当時はどんな活動をされていましたか？

meiyo：meiyoとして始まって、最初の2年間ぐらいはワタナベタカシと変わらないことをしていました。でも、コロナ禍の直前ぐらいに、僕的にすごくいい曲ができたんです。バンドっぽい曲で、ワタナベタカシの集大成みたいなものができたんです。でも、それがまったく聴かれることはなく（笑）。

こっちのけんと：ええ～！

meiyo：落ち込んだんですけど、「この曲はいっぱい聴いてほしいけれど、そのためにはもっと有名にならないといけない」と思って、当時売れていた楽曲や洋楽を聴くようにしました。そこから、ちょっとEDMっぽい要素も取り入れたりして、曲を作り始めたんですよ。それから、すごくmeiyoという名前に似合っている曲ができました。

こっちのけんと：そうなんです。

meiyo：そこで初めてmeiyoになった気がしましたね。

（TOKYO FM「G-SHOCK presents THE MOMENT」放送より）",[],[]
江原啓之「波長の法則」「類は友を呼ぶ」ママ友との関係に悩む相談者に愛の喝！（TOKYO FM＋）,https://news.yahoo.co.jp/articles/b1650f3f61c0c9807e765dd64eb729cf54528289,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010004-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T12:11:53+09:00,2025-08-23T12:11:53+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,875,"江原啓之
スピリチュアリストの江原啓之がパーソナリティをつとめ、番組パートナーの奥迫協子とお送りするTOKYO FMのラジオ番組「Dr.Recella presents 江原啓之 おと語り」。
8月17日（日）の放送では、リスナーから寄せられた相談に江原がアドバイスを送りました。
＜リスナーからの相談＞
最近、ママ友との関係で悩んでおり、アドバイスをいただきたいです。そのママ友は、職場も一緒の人です。彼女は基本的に愚痴ばかり話します。2年前に私がうつを発症してからは、彼女のネガティブな発言が苦しくて、やんわりと誘いを断ったり、2人きりで会う機会を減らしたりしてきました。しかし彼女は「あなたにしか言えない」と言うので、むげに断ることもできず、上手な距離の置き方が分からなくて悩んでいます。

思い返してみると、私の周りには愚痴ばかり言う人が多い気がします。類は友を呼ぶと言いますし、「私もそうなのかなぁ」と気をつけるようになりました。愚痴をどのように受け止めたら、苦しまなくて済むのでしょうか？
＜江原からの回答＞
奥迫協子、江原啓之
「類は友を呼ぶと言いますし」とおっしゃっている通りですね。やっぱり、「波長の法則」「類は友を呼ぶ」ですから、自分のあり方がそういった人を呼んじゃうわけです。愚痴を愚痴として聞くからいけないの。

例えば相手が愚痴を言い出すとしますよね。そうしたら「またそんなことばっかり考えてるんだから。そんな仕事辞めちゃえば良いじゃん！」とか「そんな人と付き合わなければ良いじゃん！ バカバカしい！」と、全部笑いに変えてしまうんです。「この人は聞いてくれないな」と思ったら、もう愚痴を言いに来なくなりますよ。自分が“歯が立たない人間”になっちゃえば良いんです。「分かる、分かる」と言ってもらえないなんて、相手からすればそんな寂しい話はないですから。
●江原啓之　今夜の格言 「”笑い”は大きなお祓いです」
（TOKYO FM「Dr.Recella presents 江原啓之 おと語り」2025年8月17日（日）放送より）",[],[]
山奥すぎて“スクールバス”が必須、“校則ナシ”の進学校…私の「母校」ここが自慢！（TOKYO FM＋）,https://news.yahoo.co.jp/articles/a5f01c8488002b99b7b9beaae838161237ad7d23,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250823-00010003-tokyofm-000-1-view.jpg?exp=10800,2025-08-23T12:11:15+09:00,2025-08-23T12:11:15+09:00,TOKYO FM＋,tokyofm,TOKYO FM＋,917,"※写真はイメージです
本部長・マンボウやしろと秘書・浜崎美保が、リスナー＝「社員」として迎え、“ラジオの中の会社”をコンセプトに日常を共有していく、TOKYO FMの夕方の生放送ラジオ番組「Skyrocket Company」（毎週月曜～木曜17:00～20:00）。今回の放送では、会議テーマ「公式に載らない母校自慢」と題し、全国のリスナー社員からメッセージを募りました。数多く寄せられたエピソードのなかから、その一部を紹介します。
◆登下校が大変!?
私の母校は山奥にあって、スクールバスでしか通えない学校でした。そのため、もしバスに乗り遅れると、学校の麓を走る路線バスを利用するしかなく、それも途中まで終わってしまうため、そこから学校まで登山することになります。
また、ある日の朝は「校庭にイノシシが現れました。現在対処中なので絶対に外に出ないでください！」という校内放送が流れ“そんな校内放送ある!?”と思わずツッコみたくなるような出来事も（笑）。夏は暑いし、冬は雪も降って寒い過酷な学生時代でしたが、今となっては、そんな母校に通っていたことが最高の自慢です（笑）（神奈川県 32歳 女性）
◆見た目は派手だけど…
私の母校は進学校だったのですが、校則が一切なく、勉強さえしていればOKな高校でした。なので、どれだけピアスを開けてもいいですし、服装も髪型もさまざまで個性的な子が多かったです。見た目が派手な子が学年上位の成績を取っていて、それがすごいギャップでした！（埼玉県 31歳 女性）
◆移動教室のときが大変!?
私の母校は、校舎と校舎のあいだに線路がありました。ちょっと想像しにくいかもしれませんが、次の授業で別の校舎に移動しなければならないときに、はるばる陸橋を渡って行きます。そのため、移動教室のときの休み時間は、なかなかの忙しさ！ 当時はそれが当たり前すぎて不便とも感じていなかったのですが、卒業後に、それが珍しいことを知りました。ちなみに、学校にはゴルフ練習場があったり、当時は馬がいたり、となかなか個性的な学校でした♪（東京都 39歳 女性）

（TOKYO FM「Skyrocket Company」より）",[],[]
