headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
敵地放送局も脱帽した大谷翔平の“行動”　わずか2分の早技に「見たことがない」（Full-Count）,https://news.yahoo.co.jp/articles/b62e4441b49d7864f53253b36c324c8a159ffbbc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817961-fullcount-000-3-view.jpg?exp=10800,2025-08-28T22:04:38+09:00,2025-08-28T22:18:12+09:00,Full-Count,fullcount,Full-Count,603,"初回終わりに即打席「見たことがない」
ドジャース・大谷翔平【写真：ロイター】
【MLB】ドジャース 5ー1 レッズ（日本時間28日・ロサンゼルス）

　ドジャース・大谷翔平投手は27日（日本時間28日）の本拠地・レッズ戦に「1番・投手兼指名打者」で出場し、5回1失点で復帰後初勝利を挙げた。敵地放送局が驚いたのは初回だった。
【実際の動画】ゆっくり汗を拭い…「おっと、俺が先頭打者だ！」慌ててベンチに戻った大谷
大谷は本拠地での登板では、初回の投球を終えた後に打席がやって来る。降板後ベンチには下がらず、用意された防具や手袋を装着。この日は4番ヘイズを中飛に打ち取った後、わずか2分後には打席に立っていた。

　この行動にレッズの地元放送局「ファンデュエル・スポーツネットワーク・オハイオ」の実況ジョン・セイダック氏と解説ジェフ・ブラントリー氏も驚き。セイダック氏が「二刀流男が帽子を脱ぎ、グラブを外し、ギアとヘルメットを装着しました。先発投手が1番打者として登場する姿を貴方は解説として見たことがないと言っていましたね」とコメントした。

　それに対しブラントリー氏も反応。「マウンドでは球種の選択など色々なことが頭の中を巡っていたと思いますが、ベンチに戻って、帽子を外し、エルボーガードとヘルメットを装着して、先頭打者を務めるのには不屈の精神が必要です」。感銘を受けていた。
Full-Count編集部",[],[]
慌てる大谷翔平へ…中継が捉えた“粋な計らい”　称賛相次ぐド軍ベンチの行動「まさにプロ」（Full-Count）,https://news.yahoo.co.jp/articles/2415d8bb699642fec7f142e27b818679e47ed842,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817949-fullcount-000-3-view.jpg?exp=10800,2025-08-28T21:31:03+09:00,2025-08-28T21:39:20+09:00,Full-Count,fullcount,Full-Count,541,"大谷の打撃道具を準備するバットボーイ
ドジャース・大谷翔平【写真：ロイター】
【MLB】ドジャース 5ー1 レッズ（日本時間28日・ロサンゼルス）

　ドジャースの大谷翔平投手は27日（日本時間28日）、本拠地・レッズ戦で749日ぶりの勝利を挙げた。「1番・投手兼指名打者」で投げては5回1失点、打っては5打数1安打だった。試合中、大忙しの二刀流を支えた存在があった。
【動画】降板の裏で…大谷への気遣い「なんていい人」　称賛相次いだスタッフの丁寧すぎる仕事
リードオフマンを務める大谷にとって、本拠地でのリアル二刀流は投球直後に打席が回ってくる。この日、最初の3打席は全て登板直後。投げ終えると、落ち着く間もなく、ダッシュでベンチへむかい、防具やバットを手に取った。

　そんな大谷をささるのがバットボーイの存在だ。打席が回る直前にベンチ前に打撃手袋や防護を丁寧に並べる姿が中継に映し出されていた。

　大谷はその甲斐もあり、降板後ベンチには下がらずに準備が可能となっていた。大谷も試合後にはスタッフへ感謝していたが、SNSでは「裏方さんの素晴らしいサポート！」「彼らに敬意を払ってますね」「この気遣いのサポート　まさにプロ集団」と称賛の声が相次いだ。
Full-Count編集部",[],[]
軽々振っても「凄まじい飛距離」　実況は全く驚かず…佐藤輝明の衝撃弾にSNS騒然（Full-Count）,https://news.yahoo.co.jp/articles/3925f8838aae235c94588e2cffb1c5c450f5295a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01807107-fullcount-000-4-view.jpg?exp=10800,2025-08-28T21:01:52+09:00,2025-08-28T21:34:45+09:00,Full-Count,fullcount,Full-Count,487,"佐藤輝明が33号「飛びすぎだろ」
阪神・佐藤輝明【写真：矢口亨】
■DeNA 5ー4 阪神（28日・横浜）

　阪神の佐藤輝明内野手が28日、横浜スタジアムで行われたDeNA戦に「4番・三塁」で出場。バックスクリーン右へ飛び込む特大33号先制3ランを放った。SNSでは「むっちゃ飛んでるやん」と驚きの声が上がった。
【実際の動画】軽々振ってるのに「飛びすぎだろ」　ハマスタ震撼…佐藤輝明の特大33号
軽々と飛ばした。初回2死二塁で森唯の3球目、142キロのカットボールを振り抜いた。打球はバックスクリーン右の最深部に飛び込んだ。

　33号先制弾で2位の森下翔太外野手（阪神）に15本差をつけ独走状態となっている。DAZNの公式X（旧ツイッター）がこの本塁打を動画で公開。実況はもはや驚いていない様子だったが、SNSでは注目を集めていた。

「その打球でそこまで行きますか笑笑」「飛びすぎだろ」「レベルが違いすぎる」「はいエグい」「凄まじい飛距離」とファンも驚きを隠せなかった。40本塁打まで残り7本。どこまでアーチを量産するのか。注目が集まる。
Full-Count編集部",[],[]
WBCのネトフリ“独占”は「賛成」　球界OBが持論「より集中して見るようになる」（Full-Count）,https://news.yahoo.co.jp/articles/2ecdc8f794166df802a415af38397a76271583fe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817939-fullcount-000-3-view.jpg?exp=10800,2025-08-28T20:32:29+09:00,2025-08-28T20:40:25+09:00,Full-Count,fullcount,Full-Count,1026,"地上波中継が消滅の可能性
前回大会で世界一になった侍ジャパン【写真：ロイター】
来春に開催される第6回ワールド・ベースボール・クラシック（WBC）で、米動画配信大手「ネットフリックス」が日本国内で全47試合を独占生配信することが発表され、ファンの間では議論が巻き起こっている。かつて巨人やメジャーリーグなどで活躍した高橋尚成氏は、自身のYouTubeチャンネル「高橋尚成のHISAちゃん」で、この件に言及。「デメリットはそんなにないんじゃないかな」と見解を語った。
【画像】「可愛くてたまらん」大谷翔平、真美子さん＆長女との初“3ショット”
ネットフリックスが独占契約を結んだことで、WBCが地上波で中継されなくなるという懸念がファンの間で高まっている。高橋氏は「残念ではある」としつつも「アメリカでは普通に行われていることですし、放映権だけでも10年単位で何十億というお金が動くわけですよ」と述べ、有料での配信は「時代の流れ」だと指摘した。

　有料になることでライト層の野球離れが進むという見方もあるが、高橋氏は「それはないと思う。逆に注目されるんじゃないかと思います」と分析した。動画配信サービスが普及してきたことで「見たいことにお金を払うのは当然のことになる。より集中してWBCを見るようになる」と持論を展開。「こんなに素晴らしい大会なんだから、いろんなところで足並み揃えて応援してくれた方が、僕ら野球に関わった人間としては嬉しい」と述べ、独占配信には「賛成」との意見を述べた。

　この件に対し、東京ドームでの1次リーグを主催する読売新聞社は、WBCの運営側が「当社を通さずに直接ネットフリックスに対し、東京プールを含む全試合について、日本国内での放送・配信権を付与しました」との声明を発表した。「今後も東京プールの主催者として、多くの方々に本大会を楽しんでいただけるよう引き続き努めてまいります」としつつも「テレビニュースでは従来どおり試合のハイライトをご覧いただけます」と説明し、地上波の中継が消える可能性を示唆している。

　コロナ禍を経て6年ぶりの開催となった2023年の第5回大会は、日本ではテレビの地上波と「プライムビデオ」のネット配信で中継された。テレビ朝日の地上波では日本と米国の決勝の平均世帯視聴率が42.4％（ビデオリサーチ調べ、関東地区）と、平日午前にも関わらず異例の高視聴率を記録していた。
Full-Count編集部",[],[]
日本ハムの吉田賢吾に満塁弾、バーヘイゲンも6回7Kの力投…28日ファーム結果（Full-Count）,https://news.yahoo.co.jp/articles/138261a3b23fa4e25cae45bedcad6e5ce3737a33,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817842-fullcount-000-1-view.jpg?exp=10800,2025-08-28T20:17:46+09:00,2025-08-28T20:17:46+09:00,Full-Count,fullcount,Full-Count,483,"敗れた西武は武内の復帰が明るい材料に
西武戦に出場した日本ハム・吉田賢吾【画像：パーソル パ・リーグTV】
日本ハムは西武戦（ファイターズ鎌ケ谷スタジアム）に6-3で勝利した。初回に阪口樂内野手、若林晃弘内野手の連打で好機を作ると、今川優馬外野手の適時打で先制。3回にも淺間大基外野手が適時打を放ち加点した。さらに5回には吉田賢吾捕手が4号満塁本塁打を放ち、6-0と突き放した。
【画像】美人妻の中でも…ひと際輝く元日ハムスラッガーの妻「か、かわいい」
先発のドリュー・バーヘイゲン投手は6回を投げて4安打1失点、7奪三振の力投。援護を受けて試合をつくった。救援陣は7回の宮内春輝投手がピンチを併殺で切り抜け、8回は宮西尚生投手が1失点、9回は福谷浩司投手が1点を失ったが、最後は山口アタル外野手の好守でリードを守り切った。打線では阪口が3安打と存在感を示した。

　敗れた西武は、先発の上田大河投手が5回6失点（自責2）と苦しい内容。打線は8安打3得点に終わり、連敗を喫した。復帰登板の武内夏暉投手は2回を無安打無失点と好投した。
「パ・リーグ インサイト」編集部",[],[]
大谷翔平がまさかの表情「ナイスオチw」　ほっと一息も…“気づいた瞬間”にファン爆笑（Full-Count）,https://news.yahoo.co.jp/articles/6b860c8df7988d9231bc9dba2797cd51c14a89a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817829-fullcount-000-2-view.jpg?exp=10800,2025-08-28T20:01:48+09:00,2025-08-28T20:18:34+09:00,Full-Count,fullcount,Full-Count,973,"初めて5回を投げ終え息をつく暇もなく…
ベンチへ戻るドジャース・大谷翔平【写真：アフロ】
【MLB】ドジャース 5ー1 レッズ（日本時間28日・ロサンゼルス）

　初勝利の権利を得ても、余韻に浸る間もない様子だった。ドジャースの大谷翔平投手は27日（日本時間28日）、本拠地でのレッズ戦に「1番・投手兼指名打者」で出場し、5回1失点で749日ぶりとなる勝ち投手となった。5回を投げ終えて勝ち投手の権利を得た直後、まさかのリアクションにファンも「ナイスオチw」「ホント漫画の世界」「だから彼は真の唯一無二の存在なの！」と反応している。
【実際の動画】ゆっくり汗を拭い…「おっと、俺が先頭打者だ！」慌ててベンチに戻った大谷
5回87球を投げ、今季自己最多の9奪三振。カーブが効果的に決まり、投手として復帰後初勝利を挙げた。5回のマウンドでは、1死からマクレーンをスライダーで空振り三振に仕留めるなど、3者凡退に仕留めた。

　勝ち投手の権利を得て、普通の投手ならば出番は終了となるのだが、大谷の場合は違った。ベンチに下がる際、大谷は額の汗を拭いながら、ゆっくりと歩いていたところ、急に何かを思い出したような表情で小走りになってベンチへ戻った。裏の攻撃では先頭打者だったため、息をつく暇もなかった。

　米ポッドキャスト番組「ファウル・テリトリー」は、この場面の動画を「ショウヘイ・オオタニが次の回1番に打つから投球後に休憩できないと気づいた瞬間」とX（旧ツイッター）に投稿。「ピッチング・ニンジャ」の愛称で知られる米投球分析家ロブ・フリードマン氏は「9番打者から三振を奪ったし、この時間を楽しもう……あ、まずい！　僕先頭打者だった！」と“心の声”を代弁した。

　大谷のまさかのリアクションにファンも反応。SNSでは「笑った」「大忙し」「慌て谷」「まさにそれｗ」「まさに全力投球だから、すぐ次が自分の打席だってこと、この瞬間に気づいんだんだろうな。ほんとにすごいよ、この人」「忙しいねオオタニサン」「二刀流であるが所以の忙しさ」「甲子園？」「すごいよなあ。高校野球ならまだしも、大リーグなんだから」「オオタニに休憩なし」「笑笑、ショウヘイは面白いね。プロフェッショナルとはこういう人のことをいうんだ」などの反応が相次いだ。
Full-Count編集部",[],[]
「台湾チアに虜」唯一の日本人メンバー　感銘に受けた異国の“スタイル”…YouTubeでも発信（Full-Count）,https://news.yahoo.co.jp/articles/7661108bb650e701a4404b9da47a7f2d32620156,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817746-fullcount-000-2-view.jpg?exp=10800,2025-08-28T19:25:38+09:00,2025-08-28T19:29:21+09:00,Full-Count,fullcount,Full-Count,1666,"「Rakuten Girls」の高橋佳帆さんに一問一答
「Rakuten Girls」の高橋佳帆さん【写真提供：PLM】
華やかな応援パフォーマンスで、日本ファンの注目も増している台湾プロ野球6球団で活躍するチアリーダー。パ・リーグインサイトでは、台湾プロ野球チアの先駆けでもある「Rakuten Monkeys」専属チアリーダー「Rakuten Girls」の2025シーズンメンバーに一問一答を実施した。
【画像】直視できない…魅惑ボディが際立つ台湾チアの“大胆ゆるタンクトップ姿”
今回紹介するのは、日本出身の背番号9・高橋佳帆さん。11月30日生まれ、160センチ。趣味はYouTubeの編集、中国語の勉強。活動2年目のメンバーだ。

　3歳から18歳まで地元静岡県でクラシックバレエを習っていた高橋さん。大学ではチアリーディング部に所属し、神宮球場などで大学野球の応援に参加。2023年には楽天の公式チアリーダー「東北ゴールデンエンジェルス」に加入し、活動の一環で、台湾でRakuten Monkeysの試合に出演。その際に台湾の応援スタイルに感銘を受けたという。

――自分の性格を一言で表すと。
「ENTJ（3回テストをして3回ともこれでした）」

――得意なことは。
「効率を極めること、どんなジャンルも踊れること、歌うこと（歌モノマネができます）」

――苦手なことは。
「辛いものを食べること、高いところに登ること」

――「〇〇」が大好き！
「台湾ひとり旅が大好き！」

――リラックスしたいときには何をするか。
「外の景色を眺めながら大音量でクラシックを聴く」

――人生の最後に食べたいものは。
「仙台の牛タン」

――苦手な食べものは。
「臭豆腐」

――生まれ変わったら何になりたいか。
「ポメラニアン」

――携帯の待受画像は。
「台湾高速鉄道の会員証QRコード」

――つい買ってしまうものは。
「コンビニとかで売っている栗、冷凍の枝豆」

――いつも持ち歩いているものは。
「携帯と携帯の充電器（台湾で充電がなくなったら終わりです…）」

――憧れの人、影響を受けた人は。
「吉田松陰。『覚悟の磨き方』という本がとても響いたから」

――人生で1番感動したことは。
「台湾に来たばかりの頃、何もわからない中で周りの人がたくさん助けてくれたこと（今もたくさんの方に支えていただいてます）」

――Rakuten Girlsとして活動していなかったら何をしてると思うか。
「アナウンサー（元々目指していたから）」

――メンバー〇〇のここがすごい！
「ユヒ、ユハンの日本語がすごい！　率先して通訳をしてくれます。本当にありがたいです」

――お気に入りの美容グッズは。
「DERMA LASERピンク色のパック」

――美容を維持するためにやっていることは。
「早寝早起き、野菜をたくさん食べる」

――日本で印象に残っていることは。
「東京の電車はとてもむずかしいとよくクレーム？をいただくので、楽天ガールズのみんなをぜひ案内したいです！」

――桃園国際野球場でのおすすめのグルメやおすすめの楽しみ方は。
「超巨大なダージーパイとビールとかわいい楽天ガールズと白熱の試合！　これで最高の時間になること間違いありません！」

――2025シーズンの意気込みを聞かせて！
「自分のダンスを見に球場に来てくれる人をひとりでも増やすために、もっともっと自分磨きを頑張ります！　あと、中国語をマスターしてメンバーやファンの方とたくさん話せるようになるぞー！」

――最後に日本のファンへ一言。
「楽天ガールズ唯一の日本人メンバー高橋佳帆です。最近、台湾チア宣伝大使（勝手に命名）として、台湾チアの魅力を広めるべくYouTubeの活動も始めました。それくらい私自身が台湾チアの虜です。一度球場にくれば必ずこの魅力は分かっていただけると思うので、皆さんぜひお越しください！！」
「パ・リーグ インサイト」編集部",[],[]
燕・北村恵吾、頭部に146キロ直撃で途中交代　中日・仲地礼亜は危険球退場、球場騒然（Full-Count）,https://news.yahoo.co.jp/articles/5313ed08824642221bfbbf5f0427f192dc968342,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817573-fullcount-000-11-view.jpg?exp=10800,2025-08-28T19:09:13+09:00,2025-08-28T20:11:57+09:00,Full-Count,fullcount,Full-Count,342,"北村恵の頭部に146キロが直撃…そのまま代走が送られる
頭部死球を受けてベンチに下がるヤクルト・北村恵吾【写真提供：産経新聞社】
■中日 ー ヤクルト（28日・バンテリンドーム）

　中日・仲地礼亜投手が28日、本拠地・ヤクルト戦で危険球で退場処分となった。北村恵吾内野手の頭部に146キロが直撃。北村恵は途中交代し、球場が騒然となった。
【画像】ヘルメットに投球直撃→危険球退場　野手が頭部に死球を受けた瞬間
3回2死一、二塁。仲地が投じた146キロ直球が北村恵の頭部に直撃した。北村恵は倒れ込みそのまま赤羽が代走に送られた。

　仲地も危険球となり退場処分が下された。2番手で吉田聖弥投手が緊急登板。2死満塁のピンチで西川を中飛に抑える好救援を見せた。
Full-Count編集部",[],[]
豪快足上げでおへそチラリ…ミニスカアイドルが完璧投球　ストライク始球式に球場どよめき（Full-Count）,https://news.yahoo.co.jp/articles/a8b097789e0855ff364a00f20c920ee0eb7d6df9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817568-fullcount-000-6-view.jpg?exp=10800,2025-08-28T19:05:49+09:00,2025-08-28T20:54:32+09:00,Full-Count,fullcount,Full-Count,456,"SKEの“竜党”熊崎さんが始球式
始球式に登場した「SKE48」の熊崎晴香さん【写真提供：産経新聞社】
■中日 ー　ヤクルト（28日・バンテリンドーム）

　28日にバンテリンドームで行われた中日-ヤクルト戦で人気アイドルグループ「SKE48」の熊崎晴香さんがセレモニアルピッチを務めた。誕生日の8月10日にちなんで背番号「810」で登場し、見事ノーバウンド投球を披露した。
【実際の様子】ポニテ揺らし…豪快足上げ　SKE48・熊崎さんの完璧始球式
“くまちゃん”の愛称で知られる熊崎さんはこれまでにも取材でキャンプを訪れるなど“竜党”として知られる。この日、おへそを出した中日のユニホームに青いスカートでマウンドに上がると、本塁側、バックスクリーン側にそれぞれ一礼。その後、ゆっくりと息を吐いてから投球動作に入った。

　ポニーテールをなびかせ、ワインドアップから豪快に足を上げて投げ込むと、捕手のミットへ一直線。見事なノーバウンド投球を披露すると球場からはどよめきが沸き起こった。
Full-Count編集部",[],[]
巨人・田中将大、2回5失点で日米200勝はお預け　3回に代打送られ交代…ベンチで呆然（Full-Count）,https://news.yahoo.co.jp/articles/14a96ccaf0ff14706749197d70c91a10af8481bc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250828-01817535-fullcount-000-16-view.jpg?exp=10800,2025-08-28T18:48:58+09:00,2025-08-28T19:04:22+09:00,Full-Count,fullcount,Full-Count,503,"200勝まで残り1勝も…3回に代打送られ交代
広島戦に先発した巨人・田中将大【写真：アフロ】
■広島 ー 巨人（28日・マツダスタジアム）

　巨人・田中将大投手が28日、マツダスタジアムで行われた広島に先発。日米通算200勝に王手をかけて上がったマウンドだが、2回5失点で交代。3回に代打を送られ、偉業はお預けとなった。
【映像】グラブ投げつけ、踏むわ踏むわ…ブチ切れて扇風機をボコボコ
田中は初回に2死一、二塁のピンチを招いて5番・末包に左越えの適時二塁打で先制を許す。直後に岸田の2ランで味方が逆転したが、4回にも1死満塁のピンチ。中村奨の遊ゴロを遊撃の泉口がファンブル。同点を許した。

　なおも1死満塁で暴投で勝ち越し点を献上。続くファビアンにも2点適時打を許した。5失点で直後の3回の打席に立たず、代打・浅野がコールされた。2回6安打5失点（自責4）で防御率5.20となった。

　昨季までに日本で119勝、メジャーで78勝を挙げ、残り3勝で巨人に入団。22日のヤクルト戦（神宮球場）で5回3失点で今季2勝目、日米199勝目を挙げ王手をかけていたが、足踏みとなった。
Full-Count編集部",[],[]
