headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
「家が火事です」住宅と倉庫が全焼　鹿児島・垂水市（MBC南日本放送）,https://news.yahoo.co.jp/articles/f2c92b35136d5afd638fa1bf22dc5c78e4ab1feb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138463-mbcnewsv-000-2-view.jpg?exp=10800,2025-08-29T22:27:29+09:00,2025-08-30T01:02:21+09:00,MBC南日本放送,mbcnews,MBC南日本放送,249,"南日本放送
垂水市で29日、火事があり、住宅1棟と隣接する倉庫兼車庫が全焼しました。

警察によりますと29日午後6時半ごろ、垂水市牛根麓で「家が火事です」と、この家に住む無職・田村富久代さん（72）から通報がありました。

火はかけつけた消防によっておよそ2時間後に消し止められましたが、この火事で、田村さんの木造平屋の住宅1棟と、隣接する木造2階建ての倉庫兼車庫1棟が全焼しました。

田村さんは一人暮らしで、出火当時は外出中で無事でした。

警察と消防で火事の原因を調べています。
南日本放送",[],[]
トカラ列島近海で地震 鹿児島十島村で最大震度1 津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/2b4e0de2f1c3fa7c8dc09e14897883bc5e99bcc1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138410-mbcnewsv-000-2-view.jpg?exp=10800,2025-08-29T20:27:28+09:00,2025-08-29T20:35:43+09:00,MBC南日本放送,mbcnews,MBC南日本放送,142,"南日本放送
29日午後8時21分ごろ最大震度1の地震がありました。
震源はトカラ列島近海で震源の深さは約20キロメートル。
地震の規模を示すマグニチュードは2.3と推定されています。

各地の震度は、
震度1が鹿児島十島村、
です。
この地震による津波の心配はありません。
南日本放送",[],[]
トカラ列島近海で地震 鹿児島十島村で最大震度2 津波の心配なし（MBC南日本放送）,https://news.yahoo.co.jp/articles/7c02b9307a339d1ecf6ea18dd81822e7090c4172,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138402-mbcnewsv-000-2-view.jpg?exp=10800,2025-08-29T20:25:43+09:00,2025-08-29T20:35:43+09:00,MBC南日本放送,mbcnews,MBC南日本放送,142,"南日本放送
29日午後8時20分ごろ最大震度2の地震がありました。
震源はトカラ列島近海で震源の深さは約20キロメートル。
地震の規模を示すマグニチュードは2.8と推定されています。

各地の震度は、
震度2が鹿児島十島村、
です。
この地震による津波の心配はありません。
南日本放送",[],[]
【台風情報に今後注意】「反時計回りの渦」が北上 　九州から関東に来週後半近づく予想も【雨・風シミュレーション30日（土）〜9月8日（月）/全国各都市の週間予報】台風情報2025（MBC南日本放送）,https://news.yahoo.co.jp/articles/128e561e9465555d8491d2553a336eabe99010d9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138244-mbcnewsv-000-7-view.jpg?exp=10800,2025-08-29T19:59:19+09:00,2025-08-30T01:52:20+09:00,MBC南日本放送,mbcnews,MBC南日本放送,865,"南日本放送
■【台風発生へ】発達する「熱帯低気圧」

気象庁によると、熱帯低気圧が、今後24時間以内に台風に発達する見込みです。しかし、台風に発達してもベトナム方面に向かうため、日本への直接の影響はないでしょう。
【▶台風情報】南シナ海で次の台風発生へ 別の「反時計回りの渦」も北上 日本へ影響か? 関東地方に近づく予想も【雨と風のシミュレーション30日（土）〜9月8日（月）/全国各都市の週間予報】
それよりも、この熱帯低気圧とは別の「反時計回りの渦」が日本付近に予想されているため、こちらの動向が心配です。8月30日（土）〜9月8日（月）の《雨と風のシミュレーション》《全国各都市の週間予報》を画像で掲載しています。

まず日本の影響がないほうの、先に台風になると予想される「台風のたまご=熱帯低気圧」は、29日（金）午後6時の観測では、南シナ海にあって、西北西に時速20キロメートルで進んでいます。中心気圧は1000ヘクトパスカル、最大瞬間風速は23メートルです。

ベトナムに上陸した後、31日（日）には再び熱帯低気圧へ変わる見込みです。

■雨と風のシミュレーション30日（土）〜9月8日（月）

次に心配なほうの「渦」です。31日（日）頃には、日本の南で、別の「反時計回りの渦」が現れ、その「渦」は3日（水）には九州付近、5日（金）は中国四国付近、6日（土）からは近畿地方、東海地方、関東地方の太平洋側に予想されています。

ただ、このシミュレーション画像は予想のひとつで、大きく変わる可能性があります。この「渦」が台風になるかどうかや進路は未確定です。今後、気象庁から発表される情報に注意してください。

■全国各都市の週間予報 8月30日（土）〜9月5日（金）

週間予報を『各県につき5つの都市』ずつ画像で掲載しています。夏休み最後の土日の天気や、9月第1週の天気予報を確認しておきましょう。なお「反時計回りの渦」の進路や発達の程度によっては、9月3日（水）以降の予報が大きく変わる可能性があります。
南日本放送",[],[]
最低賃金初の1000円超えへ　6回目の話し合いで決着　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/495a6efa9ebec9d57bb192593feafa7e656588f8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138374-mbcnewsv-000-1-view.jpg?exp=10800,2025-08-29T19:50:49+09:00,2025-08-29T19:50:49+09:00,MBC南日本放送,mbcnews,MBC南日本放送,996,"南日本放送
県内の最低賃金をめぐり、労働者側と企業側の6回目の協議が行われ、先ほど、1026円とすることで合意しました。県内の最低賃金が初めて1000円を超える見通しとなりました。
【写真を見る】最低賃金初の1000円超えへ　6回目の話し合いで決着　鹿児島
（記者）「最低賃金をめぐる労使による6回目となる話し合いが、まもなく始まります」

最低賃金は毎年、見直しが行われていて、鹿児島県は現在、953円です。労働者側は83円アップの1036円、企業側は国の審議会が示した目安と同じ64円アップの1017円を主張しています。

しかし、両者の引き上げ幅には19円の隔たりがあり、溝は埋まらず、29日、異例となる6度目の協議が開かれました。

（労働者側）「最低賃金のところで働いている人にいかに手を差し伸べられるか」

（企業側）「引き上げは理解しているが、引き上げは持続可能でないといけない」

議論は長時間に及び、午後5時ごろ終わりました。

協議の結果、現在の953円から73円引き上げ、1026円とすることで合意しました。国の目安より9円上回っています。

県内の最低賃金が1000円を超えるのは始めてです。

（連合鹿児島　海蔵伸一事務局長）「当初、労働者側が提示した額と乖離があるので不満はあるが、結論をこれ以上先伸ばしする影響も含めて、労働者側がぎりぎり許容できる判断として賛成した」

（県経営者協会　濵上剛一郎専務理事）「非常に厳しい。反対はしたが、賛成多数なので受け止めざるをえない」

最低賃金の見直しは全国で行われています。九州・沖縄でみると、佐賀で74円、宮崎、沖縄でも71円引き上げるなど、鹿児島も含め軒並み国が目安とする水準を上回っています。

鹿児島で初の1000円超えに、街では…

（20代　学生・アルバイト）「鹿児島は最低賃金が低かったので、上ってよかった」

（50代　元営業職）「もっと早く（1000円台）になってよかった。1200円ぐらいまで上ったほうが働く人も増えると思う」

（20代　学生・アルバイト）「食材などスーパーでは高いのに賃金は低いままで、（物価と賃金）釣り合っていない」
（40代　公務員）「いろんな物の値段が上がってお金がほしいけど、経営者のことを考えるときついなと感じる」

新しい最低賃金は11月に導入されます。
南日本放送",[],[]
鹿児島銀行定例記者会見　自然災害の影響で観光関連下向き（MBC南日本放送）,https://news.yahoo.co.jp/articles/8430b4e5ab6d8a54e1f91f25f9900236079e6a29,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138372-mbcnewsv-000-1-thumb.jpg?exp=10800,2025-08-29T19:38:19+09:00,2025-08-29T19:38:19+09:00,MBC南日本放送,mbcnews,MBC南日本放送,426,"南日本放送
霧島・姶良の集中豪雨や台風12号などの影響が県内経済にも及んでいます。鹿児島銀行などは、観光関連の景況判断を3か月連続で引き下げました。

鹿児島銀行と調査会社の九州経済研究所は29日、県内の景況判断を発表し、全体では「緩やかに回復している」と23か月連続で据え置きました。

しかし、観光関連では、霧島・姶良の集中豪雨や台風12号などの影響を受け、景況を3か月連続で引き下げました。引き下げの度合いは、コロナ禍だった2022年3月以来となります。

（鹿児島銀行　郡山明久頭取）「相談窓口を作り災害救助法に基づく金融機関としてやるべき対応を取っている」

一方で、畜産関連は、インバウンドの増加で和牛の枝肉価格が上昇するなどし、景況は「持ち直している」と判断しました。

鹿児島銀行と九州経済研究所は「全体として回復の動きが続いているものの、物価上昇や自然災害などの影響で、今後の動きには十分注意する必要がある」としています。
南日本放送",[],[]
かつての「鴨池ダイエー」イオン鴨池閉店から1年…現地の今　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/af3161124d546721a9a192402c7c7aaf6a7e8cad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138321-mbcnewsv-000-7-thumb.jpg?exp=10800,2025-08-29T19:35:46+09:00,2025-08-29T20:39:29+09:00,MBC南日本放送,mbcnews,MBC南日本放送,1336,"南日本放送
かつて「鴨池ダイエー」と呼ばれて親しまれ、49年の歴史に幕を下ろした鹿児島市のイオン鹿児島鴨池店が、閉店してまもなく1年です。
【画像を見る▶】かつての「鴨池ダイエー」イオン鴨池閉店から1年…現地の今
再開発の行方が注目される中、周辺では買い物に困った人たちを手助けする動きも出ています。

■イオン鹿児島鴨池店閉店から1年…

始まりは1975年。鴨池動物園跡地に、イオン鹿児島鴨池店の前身・ダイエー鹿児島ショッパーズプラザがオープンしました。

「鴨池ダイエー」と呼ばれ、親しまれましたが、去年8月31日、49年の歴史に幕を下ろしました。

そして…
（記者）「閉店からまもなく1年。多くの人の思い出が詰まった建物がすっかり取り壊されました」

敷地面積3万6000平方メートルに広がる店の跡地。隣の鴨池市民球場がすっぽり入るほどの広さで、まもなく更地になりそうです。

工事現場のフェンスには動物のイラストが描かれ、かつての鴨池動物園の姿を思い起こさせます。電車通り側の入口にあった動物のモニュメントは、国道側に移されていました。

一方、イオンがなくなったことで、買い物に困る人たちもいます。

■日常の買い物を手助けする動きも

跡地の周辺は住宅やマンションなどが広がっていますが、一番近いスーパー・タイヨー騎射場店まではおよそ700メートル。真砂本町のニシムタスカイマーケットまでは1キロ弱です。個人商店の多い真砂商店街もおよそ500メートル離れています。

周辺の住民によりますと、車がない高齢者などは市電に乗って買い物に行っているということです。

そんな中、日常の買い物を手助けする動きもあります。

イオン跡地から交差点を挟んで向かいにある住宅地の駐車場です。週に1回、魚の移動販売店が来ています。

（利用者）
「助かる。そこのイオンが無くなってから買い物に行くのもちょっと遠くなった」

「毎日のように（イオンに）行っていたけど、無いから騎射場まで電車で。元気にしているうちに（新しい店が）できたら」

（小幡水産　小幡健彦社長）「『どうしてもお店が無くて』ということで。困ってると言われたら何とかしてあげないと」
イオンの閉店をきっかけに、住民の依頼で来るようになった小幡さん。顔なじみもできました。

（小幡水産　小幡健彦社長）「僕がありがとうなんだけど、お客さんから『ありがとう』と言われることが多いので、それが一番の励み」

小幡さんにちょっと意地悪な質問をしてみました。

Q.イオン跡地には何か商業施設ができると思う。ここの人たちはまたそっちに行くが?
（小幡水産　小幡健彦社長）「おいしければまた帰ってくる。それでもずっと商売はできている。気にしないと言ったら嘘になるけど。また次を探すので、大丈夫じゃないか」

■再開発の行方は…

跡地は商業施設として再開発される予定です。

今後について、土地を所有するイオン九州は「鹿児島にとって重要な場所。地域の方にとってどのような施設がいいのか検討中」としていて、現時点で具体的な開発の内容や整備時期は決まっていないということです。

再開発の行方が注目されます。
南日本放送",[],[]
「市民の1人として尽力したい」台風12号で被害　南さつま市で高校生がボランティア　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/ce2784b71bdf9ec731a0700b4648bdef7f4333e8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138369-mbcnewsv-000-3-thumb.jpg?exp=10800,2025-08-29T19:34:17+09:00,2025-08-30T01:11:19+09:00,MBC南日本放送,mbcnews,MBC南日本放送,407,"南日本放送
（記者）「地元の鳳凰高校の生徒たちが水害で出た被災ゴミの分別作業をおこなっています」

南さつま市では、台風12号に伴う大雨災害から1週間が経ちました。

南さつま市ではこれまでに、住宅の半壊や床上・床下浸水などの被害があわせて186棟確認されています。

市内の災害ごみの仮置き場には、使えなくなった家電などが次々と持ち込まれています。29日は地元・鳳凰高校の3年生およそ50人が分別作業に汗を流しました。

（鳳凰高校3年）
「南さつま市民の1人として尽力していけたらと思います」

「地元が被災してショックだったけど、こうやってボランティアとして参加できて地域に貢献できてうれしい」

南さつま市では、市内の7割の「災害ごみ」はすでに回収を終えたということです。

なお、県は29日までに、南さつま市に災害救助法を適用しました。災害対応でかかった費用は国と県で負担することになります。
南日本放送",[],[]
鹿児島交通が仙巌園前のバス停廃止を発表してから一夜明け　街の人からは困惑の声　鹿児島市（MBC南日本放送）,https://news.yahoo.co.jp/articles/e0790cf54741ab3bf9122288085b2f9c5f182e34,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138329-mbcnewsv-000-4-thumb.jpg?exp=10800,2025-08-29T19:34:17+09:00,2025-08-29T20:03:30+09:00,MBC南日本放送,mbcnews,MBC南日本放送,638,"南日本放送
鹿児島市・仙巌園前のバス停移設問題を巡る動きで、28日、県バス協会は移設に応じましたが、反対していた鹿児島交通が突然、バス停の廃止を発表しました。周辺では困惑の声が聞かれました。
【画像を見る】鹿児島交通が仙巌園前のバス停廃止を発表してから一夜明け　街の人からは困惑の声　鹿児島市
仙巌園前の国道10号では、国が去年3月、事故防止のためにバスの停留スペースを新たに整備しました。しかし、鹿児島交通は「車線変更が増えて事故の危険性が高まる」として、移設に反対していました。

こうした中、県バス協会が28日、停留所の移設に応じた一方、移設に反対していた鹿児島交通は「事故の危険性」を理由に、今月末で鹿児島市街地方向の仙巌園前のバス停を廃止すると発表しました。

突然の発表から一夜明け、周辺では困惑の声も聞かれました。

（仙厳園を訪れた人）「もう少し前から言ってくれれば準備もあるから納得もいくけど、きのうのきょうみたいな感じだったらどうなのと思う」

（仙厳園を訪れた人）「仕方がないところはある」

鹿児島交通の対応について、九州地方整備局は「個別の企業の判断については回答しかねる」とコメントしています。

鹿児島交通は先ほど、MBCの取材に対し、「国が一方的に工事を施行し、現状に至っている」「運行の安全を確保することが難しいことから、バス停を廃止するに至った。利用していたお客様には申し訳ないが、ご理解いただきたい」と文書でコメントしました。
南日本放送",[],[]
集中豪雨3週間みんなで蘇らせた温泉SNSの力で復旧へ　鹿児島（MBC南日本放送）,https://news.yahoo.co.jp/articles/1a8c065163ad54c853839345e9de5883cbe2720d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250829-22138365-mbcnewsv-000-1-thumb.jpg?exp=10800,2025-08-29T19:34:17+09:00,2025-08-29T19:34:17+09:00,MBC南日本放送,mbcnews,MBC南日本放送,765,"南日本放送
霧島・姶良の集中豪雨からきょう29日で3週間です。霧島市の山あいに、大量の土砂が流れ込んで営業できなくなった温泉旅館があります。若い力とネットの力で蘇らせようと、奮闘しています。

霧島市の山あい、天降川沿いにある「やまのゆ」。源泉かけ流しの温泉を楽しめる旅館です。

しかし、今月8日の集中豪雨でそばの天降川が氾濫し、大量の水と土砂が旅館に流れ込みました。

（やまのゆ　川口真一郎さん）「露天風呂に柵や壁があったがすべて流された。浴槽も流木が入って大変だった」

露天風呂は全壊。水道施設も壊れ、3週間経った今でも水が使えず、営業できないままです。

もともと、「やまのゆ」は、廃業した旅館を、県内の20代から30代の若者たちが中心となって復活させました。

SNSやクラウドファンディングで資金を集め、ボランティアも加わっておよそ2年かけて改装し去年3月にオープンしたばかりでした。

谷之口陽子さん。旅館のオープンに携わったメンバーの1人です。SNSで届いた全国からの応援コメントが、励みになっています。

（やまのゆ　谷之口陽子さん）「たくさんの支援をもらって、たくさんの皆さんの思いで作られた『やまのゆ』。立ち止まってはいけないとという思い」

しかし、止まった水道や、全壊した温泉施設の復旧には、多額の資金が必要です。

そこで谷之口さんたちは、目標額700万円のクラウドファンディングをネットで立ち上げ、復旧のための資金を募っています。

（やまのゆ　谷之口陽子さん）「（ネットは）県外の人や海外に人にもリアルタイムでつながることができる。必ず復興させて、喜んでもらえる温泉施設の再オープンを目指す」

これまでに集まった資金は40万円。若い力とインターネットの力で、再起を目指しています。
南日本放送",[],[]
