headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
クマ出没防げ　餌となる木を伐採　富山市細入地域　山のドングリの実り悪く出没増える心配（北日本放送）,https://news.yahoo.co.jp/articles/c8b3969a40e73a54f62f2372d08d1c84645f177d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-09783575-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:30:00+09:00,2025-09-12T21:11:00+09:00,北日本放送,knb,北日本放送,719,"KNB北日本放送
この秋はクマの餌となる山のドングリの実りが悪く、クマの人里への出没が増えることが心配されています。

クマの出没を防ごうと、富山市の細入地域では人里にあるクルミなどの木の伐採が、きょう行われました。

長谷川記者がお伝えします。

長谷川記者
「クマの活動が活発になるこれからの時期、クマの格好の食糧となるのがこういったクルミなどの木の実です」

富山市細入地域にある保育所では敷地のすぐそばにクマの餌となるクルミやミズキが自生しています。

今年は付近でクマの出没がありました。

こうした人里へのクマの出没を未然に防ごうと、クマの生態の専門家で地元に住む赤座久明さんら細入自治会連合会の会員がクルミなどの木を伐採しました。

ほそいり保育所・小谷真由美所長
「本当に助かります。子どもの安全を確保できるというところで本当に助かります」

先日、県が発表したクマの餌となるドングリの実り具合の調査では、ブナは最も悪い凶作、ミズナラは不作で、市街地で出没が相次いだ2020年やおととしと似た傾向です。

また今年は、県内でのクマの出没が7月と8月で既に109件に及び、この時期としては2005年の調査開始以来、最多となっています。

細入自治会連合会有害鳥獣対策専門部会　赤座久明部会長
「自分ごととしてとらえて、そういう（クマの）被害があったらとりあえず外出は控える、身の回りの誘因物を片づける、戸締りをしっかりする。個人でできることを精いっぱいやっていただきたいんですね」

富山市はこうしたクマ対策に1団体あたり年間20万円を上限に補助金を支給していて、実をつけた木の伐採には1本あたり7500円を支給しています。",[],[]
「クマ寄せ付けない対策を」富山市で対策会議　人里への出没や被害を防ぐための対策呼びかけ（北日本放送）,https://news.yahoo.co.jp/articles/525b4822beac48aced9ea6874487e1156332e0f0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-09194843-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:28:00+09:00,2025-09-12T20:52:55+09:00,北日本放送,knb,北日本放送,522,"KNB北日本放送
富山市はきょう、クマによる被害を防ぐための対策会議を開きました。

秋の深まりとともに今後、クマの出没が増えることが予想されるとして人里への出没や被害を防ぐための対策を呼びかけています。

会議には、富山市や猟友会でつくる鳥獣被害対策実施隊などの関係者が出席しました。

会議では、市の担当者が、今年、富山市でのクマの目撃や痕跡の情報が、きのうまでに41件あることを報告しました。

このうち、市街地などクマが本来生息していない地域での目撃が6割を超えます。

また今年は、山林でのブナなどの実りが悪く、今後、人里へのクマの出没が増えることが予想されます。

富山市 森林政策課　杉林広和副主幹 
「補助金のほうも準備しておりますので、不要なカキを除去したりだとか、畑にも残っているものがあれば処分していただく。あと生ごみにつきましても決められたときに出していただくといった、まずは、寄せ付けない対策をしていただきたいと思います」

また今月からは人の生活圏でクマが出没した場合、市町村の判断で猟銃の使用が可能となりました。

富山市は、猟友会などと十分な捕獲体制を取るとしていて、クマを目撃した場合は連絡を呼びかけています。",[],[]
クマ対策　私たちにできることは？（北日本放送）,https://news.yahoo.co.jp/articles/b626cbe016ab678ec09d195e419c690d9bca9967,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-02136938-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:26:00+09:00,2025-09-12T20:45:54+09:00,北日本放送,knb,北日本放送,407,"KNB北日本放送
クマの人里への出没を防ぐために私たちが取り組むことができる主な対策をまとめました。

1つ目は、「生ごみは早めに処分」です。

においがもれると嗅覚が優れているクマを引き寄せる原因となるため住宅周辺では屋外に放置せずキャンプ場など屋外のレジャー施設でも持ち帰りましょう。

そして2つ目は「車庫・倉庫の戸締りの徹底」。

クマが身を隠せる場所や冬眠場所と考えて入る恐れがあるためシャッターや扉、窓は閉めるようにしましょう。

3つ目は、「不用なカキは伐採」。

ねいの里の赤座さんによりますとドングリなどの実りが少ないと次にクマが探す餌はカキが多いということで不要なカキの木は実がなる前に伐採しましょう。

4つ目は「やぶを刈る」です。

やぶや河川敷の草むらは移動経路や身を隠す場所になるので早めに刈り取り見通しをよくしましょう。

こうしたことを注意してクマが近づきにくい環境を作りましょう。",[],[]
衆議院富山1区候補者決定は総裁選後に　自民党富山市連（北日本放送）,https://news.yahoo.co.jp/articles/dcdec97dc2498788431ad17f58d5058de2e0dd8d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-06157281-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:24:00+09:00,2025-09-12T20:40:54+09:00,北日本放送,knb,北日本放送,501,"KNB北日本放送
自民党富山市連は、きょう新たな執行部の顔ぶれを決めました。

また、現職の田畑裕明議員を支部長から外している衆議院富山1区の候補者決定は、新たな総裁が決まる来月4日より後になる見通しです。

自民党富山市連はきょう午前、会合を開き、新たな執行部の顔ぶれを協議するとともに、無断・架空の党員登録問題などを受けて富山1区の支部長を外れた田畑裕明議員に代わる候補者選考について話し合いました。

会合は冒頭を除き非公開で行われ、直近で行われた他の県の選考事例も踏まえて協議したということです。

藤井大輔支部長は来月4日の総裁選までに候補者を選ぶことは難しいとしたうえで、選考委員会のメンバーなど選考の枠組みを今月25日に開く市連の総務会までに決めたいとしました。

自民党富山市連 藤井支部長
「なるべく早くしかも党本部としっかり合意の上 丁寧に進めていきたい。何よりもやっぱり市連 富山市連の挙党体制をつくることが大事だと思っています」

また、市連の新たな執行部はすでに内定していた髙道秋彦富山市議を幹事長とするほか副支部長に種部恭子県議をあてるなどの顔ぶれを全会一致で承認しました。",[],[]
高岡市　新庁舎整備ロードマップ　最大会派市議「白紙撤回は必要なし」（北日本放送）,https://news.yahoo.co.jp/articles/45dcbb7c482d8e984234300b3b30eaf374c0ebf4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-09225521-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:22:00+09:00,2025-09-12T20:32:56+09:00,北日本放送,knb,北日本放送,598,"KNB北日本放送
きょう開かれた高岡市議会の委員会で、出町市長が新庁舎整備のロードマップを白紙撤回すると表明したことに対し、議員から白紙撤回する必要はないと反発の声が上がりました。

完成から45年が経過した高岡市役所の本庁舎は、一部で耐震基準を満たしておらず老朽化も進んでいます。

角田前市長は今年2月に今後の市役所整備についてロードマップを発表しましたが、出町市長は今月3日の代表質問でこのロードマップの白紙撤回を表明していました。

きょうの高岡市議会の委員会では、最大会派・同志会の会長、水口清志市議が、白紙撤回の対象となったロードマップには、市民の思いを聞くことや現庁舎の活用の検討も含まれているとして、白紙撤回の必要はないと指摘しました。

最大会派・同志会会長　水口清志市議
「市長個人の考えにすぎないのであれば、ロードマップを正しく理解しているとは思えない、白紙撤回以前にまず市長に対し担当部下として説明すべきと思うがどうか」

高岡市総務部 梅崎幸弘部長
「私どもとしてはこの庁舎の整備の進め方等については、これまでの経緯も含めてしっかりと（市長に）説明したつもりだ」

市側は、新庁舎を整備しないわけではなく、市民の声をさらに聞きながら整備の方針を固めたいとして白紙撤回の理由を説明しました。

一方、水口市議は、市長の独断や庁内の意思疎通不足の懸念があるとも指摘しました。",[],[]
新田知事「通勤通学利用が一定程度ある」地鉄本線の滑川・宇奈月温泉間　沿線自治体と慎重に議論や検討を進めたい考え示す（北日本放送）,https://news.yahoo.co.jp/articles/86867e017ea13fcdb6cf63881ec146c67c42b0ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-07792821-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:20:00+09:00,2025-09-12T20:37:00+09:00,北日本放送,knb,北日本放送,567,"KNB北日本放送
富山地方鉄道が経営が厳しいとして廃止の方針を示している鉄道線のうち本線の滑川・宇奈月温泉間について、きょうの県議会で新田知事は「通勤通学利用が一定程度ある」と述べました。

そのうえで路線の維持について沿線自治体と慎重に議論を進めたいとしました。

県議会の一般質問で、自民党の川上浩議員が「地鉄の本線も観光路線として存続を検討すべきではないか」と質したのに対し、新田知事は。

新田知事
「新黒部駅から宇奈月温泉駅間は観光客にもある程度利用されていますが、その間の駅においては、通勤通学などの生活利用も一定程度ありまして、そういう意味で立山線と本線の利用実態は、データから見るとかなり異なっていると私どもは理解しております」

地鉄は、本線の滑川・宇奈月温泉間と立山線の岩峅寺・立山間について沿線自治体から運営支援の意思表示がなければ、廃止を届け出る方針を示しています。

新田知事は本線について「沿線の滑川市、魚津市、黒部市で考え方が微妙に異なる」としたうえで、次のように述べました。

新田知事
「その残し方については、長い間に税金の投入も必要になるとしたら、もう少し慎重に考えていく必要があろうということをいまは申し上げたい」

このように述べ、沿線自治体と慎重に議論や検討を進めたいという考えを示しました。",[],[]
被災地に響く「はっけよい」伏木場所大相撲　老いも若きも裸一貫　地震という強大な敵からの復興へ（北日本放送）,https://news.yahoo.co.jp/articles/b022b975f9410cdb682b2ee2ed4a9af6547b87c9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-02143144-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:18:00+09:00,2025-09-12T20:29:54+09:00,北日本放送,knb,北日本放送,1607,"KNB北日本放送
今月7日、高岡市伏木地区で住民による相撲大会が開かれました。

能登半島地震の後、初めての開催です。

被災地・伏木に元気をと取り組む力士たちの姿を追いました。

今月7日、高岡市伏木地区で開かれた住民参加の相撲大会、「伏木場所大相撲」。素人相撲と侮るなかれ。

鋭い立ち合いからの寄り切り！鮮やかな下手投げ！まわしを取って、・・・豪快に投げ倒しました！

太嶋龍（同心部屋）
「しこ名は太嶋龍です。警察官です。優勝目指して頑張ります」

「がんばれ！がんばれ～！！」

ちびっこ力士たちも気合十分です。

年に一度の「伏木場所」は、相撲好きの住民でつくる伏木相撲愛好会が35年前に始めました。

今回は2年ぶり、能登半島地震の後、初めての開催です。

鯉の湖（火消部屋）
「（観客は）すっかり少なくなりましたね」

正剛山（南台部屋）
「特に小学生や幼稚園保育園児の参加は減ってます」

呼び出し「大関 桶ノ谷」
観客「ヨイショー」

堂々たる土俵入りを披露したのは、大関・桶ノ谷こと桶谷知生さん（39）です。

並々ならぬ思いでこの日を迎えました。

桶ノ谷（駅前部屋）
「（コロナ禍では）3年連続 開催できなくて。（去年は）地震が来て。台風の接近もそうですけど」

「伏木場所」はコロナ禍の影響で2020年から3年連続で中止。

能登半島地震があった去年は開催を目指していましたが、過去最強クラスと言われた台風10号の接近にともない断念しました。

力士たちが今立ち向かっているのは、「地震」という強大な敵からの復興です。

去年元日に発生した能登半島地震。桶谷さんの自宅も大きな被害を受けました。

桶谷さん
「いやあ見た瞬間ぼう然としました、あー沈んどると思って」

液状化で地盤が大きく傾き「大規模半壊」と判定。今年4月に公費解体されました。

伏木地区ではおよそ500世帯が被災し130世帯が地区の外に転居しました。

多くの家屋が解体され更地が目立ちます。

被災後、桶谷さんの心の支えになったのが、8年前に始めた伏木相撲でした。

桶谷さん
「こうやって人と顔合わせてやっとれば気もまぎれるし。街の中の人間が元気出してやっていけば、他の人にも波及していくんじゃないかと」

甚句「どすこい～、どすこい」

相撲で元気を届けたい。去年5月、相撲愛好会は桶谷さんの発案で復興イベントを開きました。

「フーフーして」「あむ」

人をつなぐ助け合いの輪。その輪は去年9月の本場所でもっと大きくなるはずでしたが、台風で無念の中止となりました。

業者「上棟式行います」
桶谷さん「お願いします」

桶谷さんは、再びの地震で液状化する不安や地域の衰退への懸念を感じながらも同じ場所で自宅を再建すると決めました。

桶谷さん
「生れた街やし、親兄弟もおるし。そもそも人がおらんと廃墟になる訳ですから、じゃあ自分から出ていくわいう選択はなかなか（できない）」

桶谷さん
「自宅を元に戻すのに一区切りついたかなと、スタートラインいうか」

仕切り直しとなった今年の「伏木場所大相撲」。

老いも・・・、若きも・・・、裸一貫。

力士たちのぶつかり合う姿に住民から歓声があがります。

男性
「楽しいですね。復興の象徴と言いますか。街の人たちが頑張ってここに集まってやる意気込みは、すごい共感できる」

女性
「家の前のタイルがひび割れしたりとか。行事がまた再開できたことはよかった。こっちも元気をもらいました」

桶ノ谷（桶谷さん）
「ようやくいうところですね。小さいことからちょっとずつやっていくほかないですし、こうやってイベント開くことで少しでも笑顔が増えてくれれば、それが復興につながるんじゃないかなと」

被災地は今、新たな「立ち合い」の時です。支えあう心とともに一歩を踏み出します。",[],[]
「GO FOR KOGEI」あすから　富山市岩瀬地区で北陸の工芸の魅力を発信するイベント（北日本放送）,https://news.yahoo.co.jp/articles/d6e9a0215e7752be026d784745aa2461308f2a02,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-03553265-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:14:01+09:00,2025-09-12T20:47:54+09:00,北日本放送,knb,北日本放送,975,"KNB北日本放送
北陸の工芸の魅力を発信するイベントが、あすから富山市の岩瀬地区で始まります。

店や公園などの空間を生かした作品が街のあちこちに展示されます。

稲わらで作られた巨大な猫。高さはおよそ2.3メートル、富山港展望台のあずまやにぴったりとおさまっています。

松本勇馬さん
「展示場所を見に来た時に、この猫がいるあずまや、休憩所が気に入りまして、ここに収まる作品を作ったらおもしろいなと思って。猫というのは小さい場所に入ってそこに居続けるというのが好きなので」

NPO法人や文化庁などが主催する「GO FOR KOGEI」。

国内外で活躍する作家の作品を伝統工芸が盛んな北陸を舞台に毎年、発信しています。

今年は、北前船の寄港地として栄えた富山市の岩瀬地区と金沢市であすから始まります。

岩瀬地区では11組の作品が店や蔵、公園といった風景の中に展示されています。

こちらのそばの店では陶芸家が店主と相談を重ねて制作したオリジナルの器でコース料理を味わえます。

「使う・触れる・食べる」体験でより深く工芸の価値を知ってもらおうという企画で、会期中ずっと楽しめます。

また、かつて銀行だったビルではガラスや刺繍など、4組の作家の多彩な表現を感じる作品が展示されています。

アーティスティックディレクター　東京藝術大学名誉教授　 秋元雄史さん
「岩瀬もそうですけれども、大変美しいところが残っているところなので街並みの美しさと、工芸の魅力というものの両方をお伝えできればなと、この展覧会組んでいます。今の時代の中で生きている工芸的なモノ作りとか考え方を皆さんに紹介していければいいなと思いますね」

今回参加した中で、唯一の富山県出身の作家、サエボーグさんです。

ラテックス製のボディスーツで家畜などのキャラクターに扮してパフォーマンスをしてきました。

サエボーグさん
「人間と家畜の歴史ってすごく長いので、人間は家畜を見て自分たちをデザインしなおしてきたと思うんですね。なのでこの私の作品を見て、もう一回自分の人生だったりとか、生命とかそういう考え方とかを、自分自身、デザインしなおすようなきっかけになる展示になってくれたらうれしい」

「GO FOR KOGEI」はあすから来月19日まで富山市岩瀬地区で開催されます。",[],[]
富山県内　土砂災害に注意　あす以降残暑厳しく　最高気温は平年より高くなる見込み（北日本放送）,https://news.yahoo.co.jp/articles/4880f773c232d021f74f6d9a0a4b388b1204ca86,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-08482184-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:11:00+09:00,2025-09-12T20:32:56+09:00,北日本放送,knb,北日本放送,415,"KNB北日本放送
きょうの県内は次第に雲が増えて雨が降りました。

今夜はじめごろにかけて雷を伴って強い雨の降る所がある見込みです。

一方、あす以降の最高気温は平年より高くなる見込みで厳しい残暑が続きそうです。

前線に向かって暖かく湿った空気が流れ込んでいる影響で県内は大気の状態が不安定となり夜のはじめごろにかけて雨が降りやすくなっています。

現在、土砂災害への警戒を呼び掛ける大雨警報が南砺市に出ています。

あす夕方6時までの24時間に降ると予想される雨の量は県東部・西部とも多いところで50ミリです。

気象台は今夜遅くにかけて県西部で土砂災害に警戒するよう呼び掛けると共に県内ではあさってにかけ土砂災害に十分注意するよう呼びかけています。

あす以降もスッキリしない天気となる日が多くなりますが、最高気温は平年より高く真夏日となる日もある見込みです。

特に来週水曜日は34度の予想でまだ厳しい暑さが続きそうです。",[],[]
北陸電力が再稼働めざす志賀原発　耐震設計目安の審議開始　周辺には震源として考慮する活断層多数（北日本放送）,https://news.yahoo.co.jp/articles/80b247349661306d88597ae51f3cc367aa8bc6c6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250912-07215132-knb-000-2-thumb.jpg?exp=10800,2025-09-12T20:10:00+09:00,2025-09-12T20:31:00+09:00,北日本放送,knb,北日本放送,481,"KNB北日本放送
北陸電力が再稼働をめざしている石川県の志賀原子力発電所をめぐる動きです。

原子力規制委員会の審査会合がきょう開かれ、原発施設の耐震設計の目安となる揺れ＝基準地震動の検討が本格的に始まりました。

基準地震動とは、原発施設がどのくらいの揺れに耐える必要があるか、耐震設計の目安となる揺れのことです。

基準地震動を策定するには、新規制基準では、原発周辺の活断層を震源とする「震源を特定して策定する地震動」と、「特定せず策定する地震動」の2つの観点から検討するよう求めています。

きょうの会合では、震源を特定せずに策定する地震動について審議し、原子力規制委員会は、「おおむね妥当な検討がなされている」と評価しました。

基準地震動の策定に向けては、今後、震源を特定しての地震動について審議することになりますが、原発周辺の地質構造の審議を行う必要があります。

志賀原発の周辺には、東側およそ1キロにある福浦断層など震源として考慮する活断層が多数あります。

能登半島地震を受けて海にある活断層の評価も論点として浮上していて、審議が続いています。",[],[]
