headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
大谷54号の衝撃写真でデジャブ発生「アレじゃん」「テレビつけたら…」　決定的瞬間で分かる正体（THE ANSWER）,https://news.yahoo.co.jp/articles/c9c0f71d9136724e94f50ee239e6635f63016060,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584765-theanswer-000-4-view.jpg?exp=10800,2025-09-27T22:03:00+09:00,2025-09-27T23:52:05+09:00,THE ANSWER,theanswer,THE ANSWER,781,"片手一本で…思い出す2年前のHR
54号2ランを放ったドジャースの大谷翔平【写真：ロイター】
米大リーグ・ドジャースの大谷翔平投手は25日（日本時間26日）、敵地ダイヤモンドバックス戦に「1番・DH」で先発出場し、4回にメジャー自己最多に並ぶ54号2ランを放った。この瞬間をとらえた写真を米メディアが公開。日本人ファンからはあるデジャブが生まれていた。
【画像】「アレじゃん」　大谷衝撃54号を横から捉えた異様な1枚
4-0で迎えた4回1死三塁、大谷は右腕クリスマットが投じた低めチェンジアップに反応した。打球は右中間にあるプールに飛び込む、飛距離406フィート（約123.7メートル）の54号となった。

　大リーグ専門局「MLBネットワーク」は本塁打の瞬間をとらえた写真を公式Xで公開。大谷の左手がバットから離れ、右手1本でスイングしているのがはっきりとわかる。

「オオタニが片手で406フィート（約124メートル）の打球を放った」という投稿には、日本ファンから「これ完全にタイミング崩された凡打のスイング写真なのよ」「意味分からんくて笑う」など驚きの声が上がっていたが、ある“既視感”の声もあった。

　それは2023年のワールド・ベースボール・クラシック（WBC）前に行った強化試合での一発だ。阪神・才木の低めフォークを片膝つきながら、右手一本ですくい上げて持って行った。
大谷の今季54号2ランを捉えた瞬間に“既視感”の声があがった（画像はMLBネットワーク公式Xのスクリーンショット）
既視感の正体を思い出したネット上のファンからは「片膝立ててホームラン打ったことあるから片手でも十分」「テレビつけたら丁度大谷が才木から打った時みたいなホームラン打ってた」「大谷のホームラン…才木のアレじゃん」との声が書き込まれていた。
THE ANSWER編集部",[],[]
ドジャースV翌日のLA紙に驚き「こんなに大きい写真」　トップ飾った1枚「大谷選手は下段」（THE ANSWER）,https://news.yahoo.co.jp/articles/b70894e04dfc9644ed638fd9155f654d87800902,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584704-theanswer-000-1-view.jpg?exp=10800,2025-09-27T21:03:00+09:00,2025-09-27T21:03:00+09:00,THE ANSWER,theanswer,THE ANSWER,626,"4年連続の地区優勝翌日、LAタイムズのトップ写真は山本由伸
ドジャースの山本由伸【写真：ロイター】
米大リーグのドジャースは25日（日本時間26日）のダイヤモンドバックス戦に8-0で快勝し、4年連続のナ・リーグ西地区優勝を決めた。翌朝の地元紙では、スポーツ面のトップを大谷翔平ではない日本人選手が飾り、日本のファンから「こんなに大きい写真」と驚きの声が寄せられている。
【画像】「こんなに大きい写真」　山本由伸がトップになった地区V翌日のLAタイムズスポーツ欄の画像
シャンパンファイトの中で、泡を操るかのような不思議な写真の主人公になっているのは山本由伸投手だ。ドジャースの快挙を伝える地元紙「ロサンゼルス・タイムズ」で、現地26日付スポーツ面のトップを大きな写真が飾った。大谷とロバーツ監督の写真は、その次の扱いだ。

　同紙のドジャース担当、ジャック・ハリス記者が自身のXに投稿した紙面の画像には、日本のファンからも「山本由伸がこんなに大きい写真！」「LAタイムズの1面中央を飾る山本君　大谷選手は下段に」と驚きの声が並んだ。
山本由伸がトップになった地区V翌日のLAタイムズスポーツ欄（画像はジャック・ハリス記者のXのスクリーンショット）
山本は優勝を決めた試合でも6回無失点の好投で、12勝目を挙げている。9月は相手を抑えながらも白星に恵まれない展開が続いたが、地元紙ではその“価値”をしっかり認識しているようだ。
THE ANSWER編集部",[],[]
「なんかイカつい人いる」　大相撲視聴者釘づけ…「どうしても目が行く」漂うオーラの正体は（THE ANSWER）,https://news.yahoo.co.jp/articles/a37861ef551f63aa7d0047a64ce25d767a7c4fae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584749-theanswer-000-2-view.jpg?exp=10800,2025-09-27T20:03:00+09:00,2025-09-27T21:43:25+09:00,THE ANSWER,theanswer,THE ANSWER,547,"大相撲秋場所
大相撲秋場所、土俵にあがった御嶽海【写真：スポーツ報知/アフロ】
大相撲秋場所は、東京・両国国技館で連日熱戦が繰り広げられている。13日目となった26日、ABEMA中継には、存在感抜群の人物が映りこみ、視聴者の間で話題となった。
【動画】「なんかイカつい人！」　赤いタオルで…大相撲中継に映った存在感抜群の人物
前頭十二枚目・御嶽海（出羽海）と前頭七枚目・欧勝馬（鳴戸）の一番。仕切りの最中や取組中、チラっと映ったのは総合格闘家でありプロレスラーとしても活動する関根“シュレック”秀樹だった。

　スキンヘッドに赤いタオルを首からかけ、ただならぬ雰囲気を醸し出している。関根は自身のXに「今日はここから」と力士の写真を添えて投稿。大相撲観戦を報告していた。

　視聴者の間でも話題となり、SNSなどに様々なコメントが並んだ。

「相撲観戦、関根シュレックさん目立ってる」
「なんかイカつい人いる！」
「えげつない存在感」
「どうしても目が行ってしまう」
「顔見えなくてもシュレックだって分かる」

　今場所では著名人の観戦が度々カメラに抜かれ、タレントのデヴィ夫人やアイドルグループV6のメンバーだった三宅健、タレントの勝俣州和らの姿が確認されている。
THE ANSWER編集部",[],[]
16歳・清水空跳が男子100mで銀　予選10秒14も決勝は10秒30　世界陸上出番なしから再出発【U20東アジア選手権】（THE ANSWER）,https://news.yahoo.co.jp/articles/ae8b0ba1376f8450417dede1202714510a4bb563,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584839-theanswer-000-1-view.jpg?exp=10800,2025-09-27T19:14:56+09:00,2025-09-27T19:14:56+09:00,THE ANSWER,theanswer,THE ANSWER,627,"U20東アジア選手権
清水空跳【写真：荒川祐史】
陸上のU20東アジア選手権が27日、香港で行われ、男子100メートル決勝で16歳の清水空跳（星稜高2年）は10秒30（追い風0.2メートル）をマークして銀メダルだった。リレーメンバーで代表入りした世界選手権東京大会は出番なし。今大会で再スタートを切った。
【動画】「速すぎる！！！」　清水空跳が100m「10秒00」記録した歴史的レース
清水がU20東アジア選手権で銀メダルを獲得した。中盤までは先頭を駆けたが、最後に自己ベスト10秒15の中国選手に競り負けた。予選は余裕のレース運びで10秒14（追い風1.4メートル）。約1時間半後の決勝では、タイトルに届かなかった。

　7月のインターハイで、10秒00のU18世界新＆高校新の衝撃タイムをマーク。今月の世界選手権東京大会にもリレーメンバーで名を連ねたが予選、決勝ともに出番はなかった。

　世界陸上後、自身のインスタグラムを更新。「世界という大舞台で走る事をひとつの目標にして陸上を続けている中、1回目のチャンスを逃してしまいました」と悔しさをつづった。

　大舞台の4×100メートルリレーはスタンドから目に焼き付けた。「大先輩方から学ぶ事が本当に多くあり、これからの陸上人生に大きな経験が積めたなという気がしました。　必ず世界にも通用する選手になって次は走りたい」。成長を誓っていた16歳が、新たな一歩を踏み出した。
THE ANSWER編集部",[],[]
ベッツがフリーマンが消えた…36歳ベテランが激白、今後のドジャースに「本当に必要なこと」（THE ANSWER）,https://news.yahoo.co.jp/articles/387466e77b03e2b50dc167bb3144b49467fdd5f3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584713-theanswer-000-3-view.jpg?exp=10800,2025-09-27T19:03:00+09:00,2025-09-27T23:15:10+09:00,THE ANSWER,theanswer,THE ANSWER,666,"地区V決定翌日…大変化のスタメンでマリナーズに快勝
ドジャースのミゲル・ロハス【写真：ロイター】
米大リーグのドジャースは26日（日本時間27日）、敵地シアトルでマリナーズと対戦し、3-2で勝利した。前日にアリゾナで4年連続の地区優勝を決めた直後とあり、スタメンからはムーキー・ベッツ内野手、フレディ・フリーマン内野手ら主力の名前が消えた中での勝利。出場した36歳のベテランは今後の戦いに「必要なことだった」と口にしている。
【画像】「ぴったり寄り添ってる」　大谷翔平が公開した長女＆デコピンの画像
ドジャースはこの試合「1番・DH」の大谷こそいつも通りながら、以下パヘス、コンフォート、テオスカー・ヘルナンデス、キム・ヘソン、ロハス、ラッシング、キケ・ヘルナンデス、ロートベルトと並ぶ打線で戦った。初回に1点を先制されたものの3回にキケ・ヘルナンデスの2ランで逆転。6回にも加点し逃げ切った。

　36歳のベテランながら「6番・二塁」で先発したロハスは試合後、地元局「スポーツネット・ロサンゼルス」のインタビューに対し「数人の選手を休ませた。フレディやムーキー、そして毎日プレーしている選手たちにとっては本当に必要なことだったと思う。今日は出場せずにリラックスすることが重要だと思うし、それでも我々にはまだ勝つチャンスがあった。それは良いことだ」と、休養が今後の戦いには必要だったと語っている。

　ドジャースのレギュラーシーズンは残り2試合。その後は30日（同10月1日）からプレーオフの激闘が待つ。
THE ANSWER編集部",[],[]
女子ゴルフ難病を抱える25歳ルーキーがプロ初優勝　支えになったのは1人の男性「特に今年は…」（THE ANSWER）,https://news.yahoo.co.jp/articles/b82385caa80fe6404740864cef6e698e07252d97,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584739-theanswer-000-1-view.jpg?exp=10800,2025-09-27T18:32:59+09:00,2025-09-27T18:32:59+09:00,THE ANSWER,theanswer,THE ANSWER,1733,"元天才少女の平塚新夢、8年前にはアマで優勝
平塚新夢【写真：スポーツ報知/アフロ】
国内女子ゴルフツアー下部に相当するステップ・アップ・ツアーの中国新聞ちゅーピーレディースカップ最終日が27日、広島・芸南CC（6555ヤード、パー72）で開催された。首位タイで出たルーキーの平塚新夢（ひらつか・あむ）が5バーディー、ボギーなしの67で回って通算13アンダーとし、2位に4打差をつけてプロ初優勝を飾った。25歳の平塚は、高校3年時の2017年5月にも同ツアーでアマチュア優勝しており、8年ぶり下部2勝目となった。かつての天才少女は、国指定の難病「成人発症スチル病」を患いながら、昨年11月のプロテストに通算7度目挑戦で合格。苦労が報われた25歳が、また新たな花を咲かせ始めている。なお、2位は通算9アンダーの小俣柚葉、大久保柚季で、トップ3をルーキーが独占する形になった。
【画像】「めっちゃ脚長」　平塚新夢の私服プライベートショット
最終18番パー5。平塚は2メートルのバーディーパットをあっさりと沈め、ニッコリと笑った。1番パー4から15メートルのチップインを決めたの皮切りに、5バーディー、ボギーなしでフィニッシュ。重圧がかかる優勝争いの中で見せた「完ぺきなラウンド」を本人はこう表現した。

「いろいろなご縁と運が重なりました。13番、1メートルのバーディーを決めたことがすごく大きいです。その後、4ホール連続で際どいパーパットを決めることができましたし、パッティングにつきると思います」

　3日間の総パット数は「自己ベスト」の75パットで、この日は22パット。8年前、明秀学園日立高3年時にも同ツアーの静ヒルズレディース 森ビルカップでも史上5人目のアマ優勝（アマ規定で賞金なし）を飾っているが、今回はプロとして賞金360万円を手にした。

　平塚は、中学で出場した世界ジュニアマッチプレー選手権で優勝。当時は「天才少女」と呼ばれ、高校時代も順調に実力を伸ばした。しかし、卒業後に18年に受けた1度目のプロテスト受験は1次予選通過も、群発頭痛で2次予選を欠場。その後、医師に「成人発症スチル病」と診断された。国内では、人口10万人のうち、3.7人が患う希少の難病だった。「力が入らず、関節痛で立ち上がったり、起き上がったりするのも大変でした」。症状を抑える薬の副作用で顔がパンパンに丸くなる「ムーンフェイス」にも悩んだ。
忙しいツアープロ生活の中でも「推し活」
筋力が減り、脂肪だけが増える症状もあり、体重が一気に10キロ以上増。だが、5人組ダンス＆ボーカルグループ・Da-iCEに対しての「推し活」があったことが心の支えになったという。プロテストに合格した直後、平塚はこう話していた。

「生きていた中で一番うれしいです。バカげているように思われるかもしれませんが、私はずっと好きな歌手に支えられてきました。病気になってから好きになったDa-iCEの花村想太さんです。試合の合間にライブやイベントに行っては励まされ、今日もDa-iCEの曲を聴いてここに来ました」

　現在も薬を飲みつつ、2か月おきに通院しているが、食事制限をするなどし、19年からは体重15キロ減。スリムになった体でキレのあるスイングも取り戻している。そして、忙しいツアープロ生活の中でも「推し活」は続けており、この広島にもそのために遠征していた。

「これまで2度、広島でイベントがあって昨年と今年の両方とも抽選に当たりました。広島にはそんないい思い出があります。特に今年は直接、花村さんに『プロテストに合格しました』と伝えられたことがうれしいです」

　まさに「縁のある地」で飾った優勝。平塚は大好きな花村にも届ける思いで言った。

「あきらめようと思ったことが何度か…。それでも続けられたのは両親や応援してくださる方、花村さん、皆さんのおかげです。これからも欲張らず、地道に努力を続けます」

　今季は、レギュラーツアーでも4試合出場で2試合予選通過。苦難を乗り越えた天才少女は、これからも「推し活」を楽しみつつ、プロゴルファーとして上を目指していく。
THE ANSWER編集部",[],[]
日本で訪れ「ここはカオスだった！！！」　滞在思い出「1/31」のツッコミ　豪女子が驚いた場所とは（THE ANSWER）,https://news.yahoo.co.jp/articles/45af4eef1bc74fdbe13a52bb470f8d6ac4100c23,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584639-theanswer-000-1-view.jpg?exp=10800,2025-09-27T18:03:00+09:00,2025-09-27T18:03:00+09:00,THE ANSWER,theanswer,THE ANSWER,496,"女子1万メートルで9位のローレン・ライアン
女子1万メートルに出場したローレン・ライアン（左）、右は日本の廣中璃梨佳【写真：ロイター】
国立競技場で行われた陸上の世界選手権東京大会は、9日間の熱戦を終えて21日に幕を閉じた。東京に集結した世界の超人たちは、競技場外も堪能。オーストラリアの女子長距離ランナーが「カオス」と驚いた場所とは──。
【画像】「ここはカオスだった！！！」　思わずツッコミ入った日本のお店
南半球からやってきたローレン・ライアンは大会初日の13日、女子1万メートルに出場。31分27秒78で入賞ラインにあと一歩に迫る9位に入った。

　2023年のオーストラリア選手権を制した27歳は日本時間26日、自身のインスタグラムのストーリー機能で競技場内も含め、東京滞在中の写真を31枚も投稿。その中で「ここはカオスだった！！！」と驚きのコメントを添えた場所があった。

　それは日本最大級の総合ディスカウントストア「ドン・キホーテ」の銀座本館。様々な人が集う“驚安の殿堂”に圧倒されたようだ。

　他にも浅草寺や明治神宮を訪れた写真も公開している。
THE ANSWER編集部",[],[]
日本人カップルの親切にカブス名物女性ファンが感激　贈り物は今永昇太の…「クールすぎる」の声（THE ANSWER）,https://news.yahoo.co.jp/articles/71834865adf5ffbfc4533e1cf5043ee46236f737,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584760-theanswer-000-3-view.jpg?exp=10800,2025-09-27T17:33:00+09:00,2025-09-27T17:44:40+09:00,THE ANSWER,theanswer,THE ANSWER,782,"熱狂的今永ファンのバーネロさん、日本ファンが持参の贈り物に感激
カブスの今永昇太【写真：ロイター】
米大リーグ・カブスの今永昇太投手の熱狂的ファンとして知られる女性と、日本のファンとの国際交流が話題となっている。手渡されたユニホームを喜ぶ姿に米国のファンから「なんて心温まる」「最高のファンだ」と賛辞が寄せられた。
【画像】「本当に親切ね」今永の熱狂的ファン、日本時代の青いユニホームを手に嬉しそうな実際の写真
青い生地に、独特のプリントが目立つユニホームを掲げているのはカブスの名物女性ファン、サム・バーネロさんだ。自身のXに「ショウタには最高のファンがいるの!!!」「今日、日本から素敵なカップルが来て、この素敵なベイスターズ（ショウタの元所属チーム）のユニホームと、他の素晴らしいショウタのグッズを届けてくれた」とつづり、日本のファンから今永グッズの差し入れを受けたと報告している。

　さらに「本当に親切ね。日本のこんなにたくさんの素晴らしいショウタのファンに出会えて、本当に幸せよ」「ありがとう」と心温まる交流の様子をつづると、米国のファンからも共感の声が多数寄せられた。

「これはクールすぎる」
「わあ、最高だ」
「なんて心温まることなの」
「本当に素晴らしい!!!!」
「美しいわ！」
「最高のファンだ！　サムも最高」
「Ohhhh!」
「ベイスターズの世界へようこそ、サム!!」
「サムほど、この親切を受けるに値する人はいないわ」

　大リーグ2年目の今永は今季、25試合に先発し9勝8敗、防御率3.73。昨季よりも勝ち星を減らしたものの、1イニング当たりに許した走者数を示す「WHIP」が0.99を記録するなどチームの柱として投げ続けた。30日（日本時間10月1日）から始まるポストシーズンでも活躍を期待されている。
THE ANSWER編集部",[],[]
ドジャース骨折正捕手の「最新情報」　PS早期復帰の可能性は…米記者伝えたロバーツ監督の言葉（THE ANSWER）,https://news.yahoo.co.jp/articles/6b7e1cbff9f68488d53f4904ee0e7fadc8110c25,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584600-theanswer-000-2-view.jpg?exp=10800,2025-09-27T17:03:00+09:00,2025-09-27T17:38:29+09:00,THE ANSWER,theanswer,THE ANSWER,790,"スミスのワイルドカードでの復帰は「願う」ではなく「期待」
ドジャースのウィル・スミス【写真：ロイター】
米大リーグのドジャースは4年連続のナ・リーグ西地区優勝を決め、30日（日本時間10月1日）に本拠地ロサンゼルスでワイルドカードシリーズが開幕する。ここに右手を骨折している正捕手のウィル・スミスが間に合う可能性が上がっているようだ。26日（日本時間27日）の試合前に、ロバーツ監督が口にした米記者が伝えた。
【画像】大谷翔平、ずぶ濡れ姿で真美子夫人＆デコピンと撮った家族3ショット
スミスは20日（同21日）に右手の亀裂骨折が判明。練習で黒い装具を装着している姿も公開されていた。今季110試合に出場して打率.296、17本塁打と打撃でも好成績を残しているが、3日（同4日）のパイレーツ戦で右手にファウルを受け負傷。一度は復帰したものの13日（同14日）にIL入りし、ポストシーズンに間に合うかどうか微妙なところだとされていた。

　ドジャース地元紙「ロサンゼルス・タイムズ」のジャック・ハリス記者は26日（同27日）、自身のXで「ドジャースの負傷状況についてのその他の最新情報」として「ロバーツ監督は、ウィル・スミスがワイルドカードラウンドに出場できることを「願っている」というより「期待している」と語った」と伝えており、指揮官は早期復帰の可能性を見出している様子だ。

　一方でスミスが出場できない場合は、ベン・ロートベットが正捕手になるだろうとも強調したという。

　その他、この日のマリナーズ戦ではマックス・マンシーとトミー・エドマンがスタメンから外れるが、マンシーは下半身を痛めており数日の療養機関が与えられていると同記者は伝えた。マンシーは「脚に打撲傷があるだけだ」と語ったという。エドマンは27日（同28日）の試合から復帰予定だという。
THE ANSWER編集部",[],[]
甲子園に現れた驚きの世界的超大物「日本のおもてなしをありがとう！」　関西文化を大満喫（THE ANSWER）,https://news.yahoo.co.jp/articles/ce3ef75715faf9e152456aebad6b7501882da551,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20250927-00584642-theanswer-000-1-view.jpg?exp=10800,2025-09-27T16:08:00+09:00,2025-09-27T16:08:00+09:00,THE ANSWER,theanswer,THE ANSWER,581,"米アップルのクックCEO、甲子園のアルプス席に登場
甲子園球場で阪神戦を観戦した超大物が話題【写真：AC】
甲子園球場で、プロ野球の阪神に熱い声援を送った世界的な超大物が話題だ。関西独特の文化を満喫する様子をXに投稿し「おもてなしを、本当にありがとうございます」とつづった。
【動画】「おもてなしを、本当にありがとう」　アップルのクックCEO、楽しそうな関西文化満喫の様子
26日に行われた中日戦のアルプススタンドに姿を見せたのは、米アップル社のティム・クックCEO（最高経営責任者）だ。ぎっしり埋まったスタンドにファンと一緒に座り、試合に拍手を送っている。

　自身のXに、この様子をとらえた動画を投稿し「京都でiPadを使って生徒たちと一緒に漫画を作ったり、Appleの梅田チームを訪問したり、たこ焼きを食べた後、阪神タイガースの試合を観戦した！」「日本のおもてなしを、本当にありがとうございます！」とつづった。

　昨季で現役引退した元投手で、阪神のベースボールアンバサダーを務める秋山拓巳氏が案内しており、秋山氏もXに「甲子園球場の前は関西の文化を味わいたいとのことでたこ焼きもご一緒させていただきました！　ハードな一日やったと思いますが最後までありがとうございました！　映像かっこよすぎるやろ」と意外な出会いに感謝している。
THE ANSWER編集部",[],[]
