headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【台風情報】どうなる三連休…　台風23号の現在地と今後　時速25kmで北上中　沖縄・奄美付近→九州南部付近→西日本〜東日本の太平洋側の順で進むか　最新進路は?【雨風シミュレーション・気象庁最新情報】（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/5830b19af522b0988479b2568a0aed004988c10e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220802-atv-000-2-view.jpg?exp=10800,2025-10-09T22:01:12+09:00,2025-10-09T22:09:29+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,3946,"青森テレビ
台風第23号（ナクリー）について、気象庁は10月9日（木）午後9時50分に「台風情報」を更新しました。
【9日午後22時に更新しました】最新進路と雨と風の予想シミュレーション（日本・本州版）を見る　10月9日（木）〜来週13日（月・祝）まで
以下、「台風23号」の最新情報の詳細になります。

台風情報を含む、気象情報は日々変わっていくため、今後も気象庁の最新の情報、天気予報には留意する必要があります。

※【雨と風の予想シミュレーション】は、関連リンクからご覧いただけます。

■【台風情報】台風第23号（ナクリー）の実況・予報
2025年10月08日21時50分　気象庁発表

♦09日21時の実況
種別    台風
大きさ    -
強さ    -
存在地域    南大東島の東南東約300km
中心位置    北緯24度40分 （24.7度）　東経133度55分 （133.9度）
進行方向、速さ    北西 20 km/h （12 kt）
中心気圧    1002 hPa
中心付近の最大風速    20 m/s （40 kt）
最大瞬間風速    30 m/s （60 kt）
15m/s以上の強風域    全域 220 km （120 NM）

♦10日09時の予報
種別    台風
強さ    -
存在地域    南大東島の東約100km
予報円の中心    北緯25度50分 （25.8度）　東経132度10分 （132.2度）
進行方向、速さ    北西 15 km/h （9 kt）
中心気圧    1000 hPa
中心付近の最大風速    20 m/s （40 kt）
最大瞬間風速    30 m/s （60 kt）
予報円の半径    85 km （45 NM）

♦10日21時の予報
種別    台風
強さ    -
存在地域    南大東島の北北西約120km
予報円の中心    北緯26度50分 （26.8度）　東経130度50分 （130.8度）
進行方向、速さ    北西 15 km/h （8 kt）
中心気圧    998 hPa
中心付近の最大風速    23 m/s （45 kt）
最大瞬間風速    35 m/s （65 kt）
予報円の半径    120 km （65 NM）
♦11日21時の予報
種別    台風
強さ    -
存在地域    奄美大島の東約100km
予報円の中心    北緯28度35分 （28.6度）　東経130度30分 （130.5度）
進行方向、速さ    北 ゆっくり
中心気圧    992 hPa
中心付近の最大風速    25 m/s （50 kt）
最大瞬間風速    35 m/s （70 kt）
予報円の半径    210 km （115 NM）

♦12日21時の予報
種別    台風
強さ    -
存在地域    紀伊半島沖
予報円の中心    北緯31度25分 （31.4度）　東経135度40分 （135.7度）
進行方向、速さ    東北東 25 km/h （13 kt）
中心気圧    990 hPa
中心付近の最大風速    30 m/s （55 kt）
最大瞬間風速    40 m/s （80 kt）
予報円の半径    300 km （160 NM）
暴風警戒域    全域 350 km （190 NM）

♦13日21時の予報
種別    台風
強さ    -
存在地域    日本の東
予報円の中心    北緯32度20分 （32.3度）　東経143度00分 （143.0度）
進行方向、速さ    東 30 km/h （16 kt）
中心気圧    990 hPa
中心付近の最大風速    30 m/s （55 kt）
最大瞬間風速    40 m/s （80 kt）
予報円の半径    370 km （200 NM）
暴風警戒域    全域 430 km （230 NM）

♦14日21時の予報
種別    台風
強さ    -
存在地域    日本の東
予報円の中心    北緯33度10分 （33.2度）　東経148度05分 （148.1度）
進行方向、速さ    東 20 km/h （11 kt）
中心気圧    992 hPa
中心付近の最大風速    25 m/s （50 kt）
最大瞬間風速    35 m/s （70 kt）
予報円の半径    460 km （250 NM）
■令和7年　台風第23号に関する情報　第9号
2025年10月09日17時16分　気象庁発表

台風第23号は11日から12日頃にかけて、沖縄地方、九州南部・奄美地方に接近するおそれがあります。奄美地方では11日は、暴風や高波に警戒し、九州南部・奄美地方では11日は、土砂災害、低い土地の浸水、河川の増水に注意・警戒してください。また、沖縄地方では11日にかけて、強風や高波に注意してください。

[気象概況]
　台風第23号は、9日15時には日本の南にあって、1時間におよそ25キロの速さで北西へ進んでいます。中心の気圧は1000ヘクトパスカル、中心付近の最大風速は20メートル、最大瞬間風速は30メートルとなっています。
　台風は11日にかけて、発達しながら沖縄の南を北西に進み、12日頃にかけて、沖縄地方、九州南部・奄美地方に接近するおそれがあります。台風に向かう暖かく湿った空気の影響で、奄美地方と沖縄地方では大気の状態が非常に不安定となるでしょう。
　12日以降、台風は東よりに進路を変えて本州の南の海上を進み、西日本や東日本に影響する可能性があります。

[波の予想]
奄美地方と沖縄地方では10日から11日にかけて、うねりを伴いしける所がある見込みです。
10日に予想される波の高さ
　　奄美地方　　　　　　4メートル　うねりを伴う
　　沖縄地方　　　　　　5メートル　うねりを伴う
11日に予想される波の高さ
　　奄美地方　　　　　　6メートル　うねりを伴う
　　沖縄地方　　　　　　5メートル　うねりを伴う

[雨の予想]
　九州南部・奄美地方と沖縄地方では、台風に向かう暖かく湿った空気の影響で、11日から12日頃にかけて大雨となるおそれがあります。
10日18時から11日18時までに予想される24時間降水量は多い所で、
　　奄美地方　　　　　　120ミリ

[風の予想]
奄美地方と沖縄地方では11日にかけて、非常に強い風の吹く所があるでしょう。
10日に予想される最大風速（最大瞬間風速）
　　奄美地方　　　　　　15メートル　（25メートル）
　　沖縄地方　　　　　　20メートル　（30メートル）
11日に予想される最大風速（最大瞬間風速）
　　奄美地方　　　　　　25メートル　（35メートル）
　　沖縄地方　　　　　　18メートル　（30メートル）
[防災事項]
　奄美地方では11日は、暴風や高波に警戒し、九州南部・奄美地方では11日は、土砂災害、低い土地の浸水、河川の増水に注意・警戒してください。沖縄地方では11日にかけて、強風や高波に注意してください。また、落雷や竜巻などの激しい突風に注意してください。発達した積乱雲の近づく兆しがある場合には、建物内に移動するなど、安全確保に努めてください。

[補足事項]
　今後発表する台風情報、防災気象情報に留意してください。
　次の「令和7年　台風第23号に関する情報（総合情報）」は、10日5時頃に発表する予定です。

■令和7年　台風第22号に関する情報　第63号
2025年10月09日16時54分　気象庁発表

伊豆諸島では、これまでの記録的な大雨で地盤が緩み、土砂災害の危険度が高い状態が続いている所があります。引き続き9日夜遅くにかけて土砂災害やうねりを伴う高波に警戒してください。

[気象概況]
非常に強い台風第22号は、9日15時には関東の南東にあって、1時間におよそ40キロの速さで東北東へ進んでいます。中心の気圧は955ヘクトパスカル、中心付近の最大風速は45メートル、最大瞬間風速は60メートルで中心から半径130キロ以内では風速25メートル以上の暴風となっています。
非常に強い台風第22号は、伊豆諸島から遠ざかり、9日は日本の東を東北東へ進む見込みです。

[波の予想]
伊豆諸島では9日は、うねりを伴う大しけとなり、10日は、うねりを伴いしけるでしょう。関東地方の海上では10日にかけて、うねりを伴いしけるでしょう。
9日に予想される波の高さ
　　関東地方　　　5メートル　うねりを伴う
　　伊豆諸島　　　8メートル　うねりを伴う
10日に予想される波の高さ
　　関東地方　　　4メートル　うねりを伴う
　　伊豆諸島　　　5メートル　うねりを伴う

[風の予想]
伊豆諸島と関東地方の海上では、9日夜のはじめ頃にかけて強い風が吹くでしょう。
9日に予想される最大風速（最大瞬間風速）
　　関東地方　　　18メートル　（30メートル）
　　伊豆諸島　　　18メートル　（30メートル）
[防災事項]
伊豆諸島では、これまでの記録的な大雨で地盤が緩み、土砂災害の危険度が高い状態が続いている所があります。引き続き9日夜遅くにかけて土砂災害やうねりを伴う高波に警戒してください。

[補足事項]
今後発表する防災気象情報に留意してください。
これで「令和7年　台風第22号に関する情報（総合情報）」は終了します。
青森テレビ",[],[]
「捜査のために急いでいて…」法定速度60キロの一般道を『109キロ』で走行　男性巡査長を所属長注意　青森県警（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/04a328e4fa998bfa495525463bb1214645fda367,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220728-atv-000-1-view.jpg?exp=10800,2025-10-09T21:20:52+09:00,2025-10-09T21:20:52+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,347,"青森テレビ
青森県の県南地方の警察署に勤務する男性巡査長が、捜査車両を運転中に法定速度を50キロ近く上回るスピードで運転したとして、所属長注意を受けていたことがわかりました。
【写真を見る】「捜査のために急いでいて…」法定速度60キロの一般道を『109キロ』で走行　男性巡査長を所属長注意　青森県警
県警によりますと県南地方の警察署に勤務する20代の男性巡査長は、2025年8月、捜査車両を運転中に法定速度60キロの一般道を50キロ近く上回る、109キロで走行したということです。速度違反の取り締まりで発覚しました。

巡査長は「捜査のために急いでいて速度を確認していなかった。大変申し訳なく思っている」と話しているということです。

県警は9月、この巡査長を所属長注意としました。
青森テレビ",[],[]
【詳報】「謝罪の気持ちでいっぱいですが…」無罪主張の33歳の最後の陳述は…　5歳女児虐待死事件　母親と交際の男の裁判員裁判「自分は水をかけたり水の入った浴槽に入れたりしていない」（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/f475c7af882058579254fc942881edb6a58dca6f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220674-atv-000-1-view.jpg?exp=10800,2025-10-09T21:20:52+09:00,2025-10-09T21:20:52+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,635,"青森テレビ
2024年1月、青森県八戸市で5歳の女の子を水で濡らしたうえ放置し、死亡させた罪に問われている33歳の男の裁判で、検察側は男に懲役15年を求刑しました。
【写真を見る】【詳報】「謝罪の気持ちでいっぱいですが…」無罪主張の33歳の最後の陳述は…　5歳女児虐待死事件　母親と交際の男の裁判員裁判「自分は水をかけたり水の入った浴槽に入れたりしていない」
起訴内容によりますと、関川亮 被告（33）は2024年1月、八戸市のアパートで交際していた女と共謀して女の娘の宮本望愛（のの）ちゃん（5）を水で濡れたまま、約4時間半にわたって放置し、死亡させた罪に問われています。

青森地裁で開かれた9日の裁判で、検察側は“濡らしせっかん”を主体的に考え、実行していた責任は重いなどとして、関川被告に懲役15年を求刑しました。

これに対して弁護側は、関川 被告は望愛ちゃんを洗い場に立たせたあとは濡らす機会はなかったなどとして、無罪を主張しました。

このあと、関川被告は最後の陳述で「遺族には、大切な子を結果的に奪う形になってしまい自分の安易な行動で罪の気持ち、重大さを感じている。謝罪の気持ちでいっぱいですが、自分は水をかけたり水の入った浴槽に入れたりしていない」と述べました。

裁判は、10月29日に判決が言い渡される予定です。

※今回の裁判の初公判・裁判2日目（証人尋問）・裁判3日目（被告人質問）・母親の裁判などは関連リンクからご覧いただけます。
青森テレビ",[],[]
【続報】男は容疑を認める供述　ベッドで寝る同室の入所者の男性の首を両手で…　青森県七戸町の障害者支援施設内で殺人未遂事件　57歳の男を逮捕・送検（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/fc72ec356442a9d55e48f0448f55d704003320fd,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220640-atv-000-1-view.jpg?exp=10800,2025-10-09T21:16:08+09:00,2025-10-09T21:16:08+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,421,"青森テレビ
青森県七戸町の障害者支援施設で、入所する男性の首を絞めて殺害しようとしたとして、57歳の男が逮捕された事件で、男は容疑を認めていることがわかりました。
【写真を見る】【続報】男は容疑を認める供述　ベッドで寝る同室の入所者の男性の首を両手で…　青森県七戸町の障害者支援施設内で殺人未遂事件　57歳の男を逮捕・送検
逮捕された57歳の男は、9日に検察庁に身柄を送られました。

男は10月3日の夜、入所する障害者支援施設で、ベッドで寝ていた同じ部屋の入所者の男性の首を両手で絞めて殺害しようとした疑いが持たれています。

施設の職員が3日後に「入所者同士でトラブルがあった」旨の通報を警察にしたことで事件が発覚し、警察は防犯カメラの映像などから容疑が固まったとして、男を7日に逮捕しました。

捜査関係者によりますと、調べに対し、男は容疑を認めているということです。

警察は、犯行の動機やいきさつをさらに調べる方針です。
青森テレビ",[],[]
「単調な運転だったため」北海道新幹線の運転士　青函トンネルに入った直後に一時的に意識が低下　正常な運転ができず大幅に減速　すべての運転士に注意呼びかけ再発防止に努めるとJR北海道（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/6104912ef09028d27bc3cc8a3961a209ff6f45ab,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220757-atv-000-1-view.jpg?exp=10800,2025-10-09T21:10:43+09:00,2025-10-09T21:10:43+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,455,"青森テレビ
9月末、北海道新幹線が青函トンネルを走行中に運転士の意識が一時的に低下し、正常な運転ができなくなっていたことが分かりました。
【写真を見る】「単調な運転だったため」北海道新幹線の運転士　青函トンネルに入った直後に一時的に意識が低下　正常な運転ができず大幅に減速　すべての運転士に注意呼びかけ再発防止に努めるとJR北海道
JR北海道によりますと、9月30日の夜、新函館北斗行き「はやぶさ39号」の運転士が新青森駅を出発したあと、青函トンネルに入った直後、一時的に意識が低下したということです。

このため、通常は160キロほどで走行するところ、約36キロまで減速しました。

異変に気付いた車掌が車内電話したところ、その音で意識が回復したということです。

乗客50人にけがなどはなく、はやぶさ39号は新函館北斗駅に定刻に到着しました。

運転士は「トンネル内で単調な運転だったため意識が低下した」と説明していて、JR北海道はすべての運転士に注意を呼びかけ、再発防止に努めるとしています。
青森テレビ",[],[]
青森県の「再生可能エネルギー共生税条例」　東北電力が参画する風力発電では現時点で4事業が課税対象「地元の理解をいただきながら共生区域にもっていきたい」（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/beafe09316716c282bee4124c2aa7324a7b3eca9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220718-atv-000-1-thumb.jpg?exp=10800,2025-10-09T21:10:43+09:00,2025-10-09T21:10:43+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,504,"青森テレビ
再生可能エネルギーの事業者に対する青森県の税条例についてです。東北電力が参画する風力発電では、現時点では4つの事業が課税対象であることがわかりました。
【写真を見る】青森県の「再生可能エネルギー共生税条例」　東北電力が参画する風力発電では現時点で4事業が課税対象「地元の理解をいただきながら共生区域にもっていきたい」
県の「再生可能エネルギー共生税条例」で対象となるのは、陸上に新たに設置する太陽光と風力発電です。

税率はエリアによって異なり、緑色の共生区域は非課税に対して、次いで税率が安いのは白色の調整地域で、黄色の保全地域と赤色の保護地域は3倍以上高くなります。

東北電力青森支店は9日の定例会見で、現時点では今別や野辺地など4つの事業が課税対象となっていて、今後、地域と協議しながら非課税となる共生区域を目指す方針を示しました。

東北電力青森支店　下屋敷聡　支店長
「計画としているところでは、これから協議を進めていく。地元の理解をいただきながら、共生区域にもっていきたい」

県が現時点で把握する陸上風力の発電計画は33あり、共生区域とならなければ課税対象となります。
青森テレビ",[],[]
女子児童にわいせつな行為か　近くに人がいる状態で…　57歳の塾経営者の男を不同意わいせつの疑いで逮捕　容疑を認める　青森県東北町（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/c87db1f533da871295ea65b454efde7fdba4e54d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220781-atv-000-1-view.jpg?exp=10800,2025-10-09T21:07:19+09:00,2025-10-09T21:07:19+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,377,"青森テレビ
2025年7月〜8月にかけて、青森県東北町の塾経営者の男が女子児童にわいせつな行為をしたとして、警察に逮捕されました。
▼「娘に謝罪したい。娘の手本となるような母親になっていきたい」ホテルで小学生の娘にわいせつな行為をした罪に問われている母親と知人の男の裁判　検察側は2人に懲役3年を求刑
不同意わいせつの疑いで逮捕されたのは、東北町の塾経営者の男（57）です。

男は、2025年7月19日頃〜8月22日頃にかけて、塾兼自宅で女子児童にわいせつな行為をした疑いがもたれています。

警察によりますと、男と児童は知人関係で、犯行時、近くに人がいる状態でわいせつな行為をしたとみられています。

事件は、児童の関係者が警察に通報して発覚しました。

警察の調べに対し、男は容疑を認めています。

警察は事件のいきさつを調べています。
青森テレビ",[],[]
日本郵便の不適切点呼問題　青森県弘前市の相馬郵便局・東通村の白糠郵便局に一部車両の使用停止処分　東北運輸局（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/f5bda5a2972113cb7617049ea1f6cd62d3ddce49,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220771-atv-000-1-view.jpg?exp=10800,2025-10-09T21:05:48+09:00,2025-10-09T21:05:48+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,302,"青森テレビ
郵便配達員に対する飲酒の有無などを確かめる点呼が不適切だった問題で、東北運輸局は、青森県内2つの郵便局に一部の車両の使用停止処分を出しました。
▼日本郵便の軽自動車の使用を一時停止　青森県内では東北町と六ヶ所村の2つの郵便局が行政処分の対象に
東北運輸局から8日付けで処分を受けたのは、弘前市の相馬郵便局と東通村の白糠郵便局です。

相馬郵便局は車1台113日間、白糠郵便局は車1台115日間の使用停止となります。

国土交通省の運輸支局は、10月1日に日本郵便の全国の111か所の郵便局で軽自動車の使用を一時停止し、県内では東北町と六ヶ所村の2つの郵便局が対象となっていました。
青森テレビ",[],[]
虐待を受けた子どもを保護するために…　「立ち入り調査」の対応力向上めざし　青森県警と児童相談所が合同訓練（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/21d5e65f19098fffbafc999ff6dd03de3bbbd378,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220763-atv-000-1-thumb.jpg?exp=10800,2025-10-09T21:05:48+09:00,2025-10-09T21:05:48+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,518,"青森テレビ
青森県警と児童相談所が連携して虐待を受けた子どもを保護するため、立ち入り調査の合同訓練が青森市で行われました。
【写真を見る】虐待を受けた子どもを保護するために…　「立ち入り調査」の対応力向上めざし　青森県警と児童相談所が合同訓練
県警察学校で9日、県警と県内6つの児童相談所が児童虐待防止の対応力向上を図るため、合同訓練を行いました。

訓練は家庭内で虐待の疑いがあることを想定し、任意の「立ち入り調査」と裁判所の許可状によって、強制的に家に立ち入る「臨検・捜索」が行われました。

立ち入り調査は任意のため、保護者に調査の必要性を説明し、理解を得ることがポイントとなります。

訓練では、なかなか保護者の協力が得られず対応は難航します。

訓練開始から30分。
警察官が保護者を落ち着かせながら、児童相談所の職員が子どもに聞き取りをし、保護することができました。

参加した警察官　吹切香大　巡査長
「児童相談所と一緒に立ち入り調査をしたことがなかったので。訓練でどのようなことをするかイメージできたので、今後の仕事に役立つと思う」

参加者は、実践的な訓練を通して対応の手順や連携の仕方を確認していました。
青森テレビ",[],[]
【2025】来春のセンバツ甲子園につながる「秋の高校野球・東北大会」が開幕!　青森県大会王者「八戸学院光星」“強打の光星”らしく初戦突破　青森山田は…【秋季東北地区高等学校野球大会】（ＡＴＶ青森テレビ）,https://news.yahoo.co.jp/articles/ea0a9fcea9ebee82e5537158f74a1dd9eeca010c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251009-22220466-atv-000-1-view.jpg?exp=10800,2025-10-09T21:05:48+09:00,2025-10-09T21:05:48+09:00,ＡＴＶ青森テレビ,atv,ＡＴＶ青森テレビ,578,"青森テレビ
センバツ甲子園につながる「秋の高校野球・東北大会」が開幕しました。
青森県大会王者の「八戸学院光星」は、岩手県代表の「一関学院」に快勝し、初戦突破です。
【全組合せ掲載・秋季東北地区高等学校野球大会】来春のセンバツ甲子園につながる「秋の高校野球・東北大会」組み合わせ決定!　八戸学院光星・青森山田・花巻東・仙台育英・金足農業…対戦相手は?【2025】
2年ぶりの選抜切符獲得に向けて、光星は投打で県大会王者の実力を発揮します。

まずは、先発の北口が一関学院を手玉に取ります。
初回に先頭から見逃しの三振を奪うと、4回までノーヒットピッチング!チームに勢いをもたらします。

力投を続けるエースの奮闘に打線もこたえます。1点リードの7回。ランナーを2人おいて3番・新谷!

主砲にスリーランホームランが飛び出すと、終盤の8回。今度は7番・佐々木!

“強打の光星”らしく、一発攻勢で畳みかけた光星が一関学院を5対1で下し、初戦突破です。

7回に3点本塁打　新谷翔磨　選手
「前の打席のチャンスに打てなくて、投手の北口が、がんばって抑えていた。自分も打ってチームに貢献しようと思っていた。自分の長所はバッティングなので、バッティングでチームに貢献したい」

同じく9日に初戦を迎えた「青森山田」は、4対6で「盛岡中央」に敗れました。
青森テレビ",[],[]
