headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
新潟市中央区西船見町の市道上で体長約1.5ｍのイノシシ目撃、西海岸公園方向へ走り去る【新潟】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/e276713263fabc6d27a6f67624e0e5b902546445,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000015-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T20:37:46+09:00,2025-10-14T20:37:46+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,191,"車で走行中に目撃
13日夜、新潟市中央区でイノシシの目撃情報がありました。

目撃されたのは、新潟市中央区西船見町の市道上です。警察によりますと、13日午後7時46分ごろ、目撃者が車で走行中に市道上で体長約1m50cmのイノシシ1頭が海岸方向から西海岸公園方向へ走り去った旨の通報がありました。

警察では、新潟市役所に通報するとともに目撃場所周辺のパトロールをして警戒しています。",[],[]
新潟市の飲食店でノロウイルスによる食中毒発生、下痢や嘔吐・腹痛などの症状訴え【新潟】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/faa5de78cb922c248c0d248ef72cf708cbd54c70,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000014-niigatatvv-000-3-view.jpg?exp=10800,2025-10-14T19:36:28+09:00,2025-10-14T19:41:54+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,411,"患者4人と施設従事者1人からノロウイルスを検出
新潟市の飲食店を利用したグループが下痢などの症状を訴えて治療をうけました。市は「ノロウイルス」による食中毒と断定し、この飲食店を10月14日の1日間を営業停止処分としました。

営業停止を受けたのは、新潟市中央区の「牡蠣の上にも3年 新潟駅前店」です。10月4日に利用した10グループ23人のうち4グループ7人が、6日から7日にかけて下痢や嘔吐・腹痛などの症状を訴えました。

検便の結果、患者4人と施設従事者1人からノロウイルスが検出、患者らの症状および潜伏期間がノロウイルスによるものと一致したことや、患者らの共通の食事が4日に飲食店で提供されたものに限られることなどから、新潟市保健所は「食中毒」と断定しました。患者らの症状は快方に向かっているということです。

新潟市保健所は、火を通す料理は十分に加熱することや、しっかり洗浄・殺菌を行うことなどを呼びかけています。",[],[]
【特集】住宅メーカーが破産「ただのウソだった」約1800万円返金なし 契約者の怒り【新潟・妙高市】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/32afac5fc9db005c768e0bcf8dd72a9500b6e4b6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000013-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T19:25:55+09:00,2025-10-14T19:25:55+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,3380,"地鎮祭後に「盤改良費が当初の2倍になると聞かされ・・・」
2024年12月、妙高市の住宅メーカー『Reve Bois Michel(レーヴ・ボワ・ミシェル)』が破産しました。契約金など1000万円以上を支払ったものの工事が行われなかったケースもあり、契約者から怒りの声が上がっています。
【動画】【特集】住宅メーカーが破産「ただのウソだった」約1800万円返金なし 契約者の怒り【新潟・妙高市】
■Aさん
「数千万円も取られてしまった。今後、子どももいるわけなので、やっていけるのかなっていう不安しかない。怒り、怒りしかないですよね。お金を早く返してくれという感じ。」

怒りを口にするのは、上越地方に住む30代のAさん。
Aさんは、妻と2人の子どもとアパートで暮らしています。

■Aさん
「子どもが2人いるのでアパートだと手狭になったっていうのもあって、一軒家を建てた。」

今ごろは、新築の住宅に家族で暮らしていたはずでした…。
2023年11月、仲介業者の紹介を受けて妙高市の住宅メーカー『Reve Bois Michel(レーヴ・ボワ・ミシェル)』と契約しました。

■Aさん
「一番(価格が)安かった。ほかの工務店と比べて。」

契約金額は、土地代を除く住宅部分で3000万円以上。工事の開始前に、契約金と着手金の約1800万円を支払いました。

■Aさんの妻
「来月になったら材料価格が上がってしまうので、『今月中に材料を頼まないと(価格が)上がってしまいます』と言われて、契約して(契約金を)支払った感じ。」


契約から約半年後の2024年5月、念願の地鎮祭を行いました。
しかしその後、地盤改良費が当初より多くかかることを知らされました。

■Aさん
「地盤改良費が当初の2倍になるというのを聞かされて。地盤調査12月ぐらいにしているのに、なんで今更という感じで憤りがありましたね。」


2024年6月―
Aさんが地盤改良の工事業者に問い合わせたところ『Reve Bois Michel』に未払いが発生し、取引が停止していたことが判明。さらに、インターネットで社屋も売却されていることを知りました。

■Aさん
「頭が真っ白でしたね。本当にどうなるんだって感じで。」

不審に思った2人は複数回にわたり事務所に出向き、社長に工事の着手状況を問い詰めました。

■Aさん
「北海道からレーブさんが(資材を)持ってくるつもりと言っていたが、それはどうするつもり？」

■Reve Bois Michel社長
「それはチャーター便で自分たちで持ってくる。」

■Aさん
「いま潰れそうだって言っているのに、本当に(費用を)みられるのかが心配です。それがだめだったら、家が建たないじゃないですか。そのへんも考えているのかなって。」

■Reve Bois Michel社長
「そのへんはないように。」

■Aさん
「そんなことできるんですか、実際。」


民間の調査会社・帝国データバンクによりますと、『Reve Bois Michel』は2013年9月に創業し、木造建築工事業のほかにインテリア雑貨の販売・枝豆の生産販売なども手がけていました。

しかし、資材価格高騰で採算が取れず2024年5月期には大幅な欠損となり、2024年12月に破産しました。負債総額は、2023年5月末時点で約1億9600万円に上ります。

■Aさん
「破産管財人から手紙がきたんですけど、それで知ったという感じ。もう倒産すると。もうその時点で思っていたので『ああ、とうとうきたか』みたいな感じですね。」


県内では、住宅メーカーの破産がほかにも―
新潟市の住宅メーカー『ニコハウス』も2025年5月に破産しました。帝国データバンクによると、新型コロナ禍による影響と他社との競合激化などにより経営が悪化。工事の前に約2000万円を支払ったにもかかわらず、土地が更地のままとなっている契約者もいます。

ニコハウスは、9月3日に1回目の債権者集会を開きました。参加者によると、破産管財人から会社運営の実態が明かされました。

■破産管財人
「去年9月に銀行のつなぎの融資が受けられなくなり、契約者から工事代金を前倒しして徴収して運用していたのが実態。」

ニコハウス側から返金されるかどうかの説明はありませんでした。
帝国データバンクによりますと、住宅メーカーなど建設業の倒産は2024年全国で1890件と過去最多に上りました。建築資材の価格の高止まりや人件費の高騰で、継続を断念するケースが多いといいます。


住宅メーカーによる支払いトラブルを防ぐには、どうしたらいいのでしょうか。
住宅の保険を提供する住宅保証機構の芝謙一さんは、「工事の進捗(しんちょく)状況を見ながら段階に分けて支払うことが重要」と話します。

■住宅保証機構 芝謙一営業推進部長
「発注者様と事業者様とよく話し合って、必要に応じた額を数回に分けて契約することが大事。」

さらに、施主が〝慎重に業者選び〟をすることの大切さも指摘します。

■住宅保証機構 芝謙一営業推進部長
「契約に関しては、かなり慎重にしないといけないと思っている。立地・価格だけにとらわれず、いろいろなことを考慮し契約することが大事。」

業者選びをする際は、業者側が施主の前払い金や追加工事費用の損害などの一部が保護される場合がある保険「住宅完成保証制度」に入っているかどうかも指標のひとつだと話します。

「住宅完成保証制度」は、全国で約310社・県内では8社が加入しています。

■住宅保証機構 芝謙一営業推進部長
「完成保証制度に登録している時点で、ある程度 財務状況が健全と言えるとは思う。(ただし)100%倒産しないとは言い切れないので、あまり過信しすぎないことが重要。」


妙高市の住宅メーカー『Reve Bois Michel』と契約し、マイホームを建設予定だったAさん。約1800万円を払ったまま工事は未着手で、返金の見通しは立っていません。

資材が高くなるため購入しておく必要があると聞かされて払ったという契約金について、あることが分かりました。

■Aさん
「調べたら資材も(価格が)上がっていない。実際に建材屋にも払われていなかった。ただのウソだったということが分かった。」

Aさんが裁判所で会社の通帳を確認したところ、着手金の支払いはすべて会社の運転資金に充てられていたといいます。

Aさんは2025年7月、建築能力がないにもかかわらず契約を締結したなどとして『Reve Bois Michel』の社長などを相手取り、支払った約1800万円の返金と年3%の損害金の支払いを求める訴訟を起こしました。

■Aさんの妻
「私たち的にも区切りがつかなくて、やっぱり訴訟を起こしたい。」
■Aさん
「悔しいから、負けたくないというのがありますね。」

『Reve Bois Michel』の代理人弁護士によると、2024年元日の能登半島地震で建築していた住宅の復旧費用を自社で立て替えていたことが経営不振の原因で、Aさんと契約した2023年11月下旬に建築できなかったことは予測できなかったと主張しています。

また、資材購入については事実関係を確認しているとしていますが、仮に契約違反があったとしても不法行為にはあたらないとして裁判で争う姿勢を見せています。

■Aさん
「その言い分は納得できないですね。だましていると誰もが思う。それを主張したい。」


先週、Aさんは3回目の債権者説明会に足を運びました。
説明会には10人が参加。Aさんによると、社長も姿を見せましたが個々の返金手続きについては説明がありませんでした。代理人弁護士を通じて社長に取材を申し込みましたが、「取材は控えたい」という回答がありました。

Aさんによると、債務整理をした結果、会社の資産は現時点で約220万円であることが分かったといいます。

■Aさん
「やはりお金がほとんど回収できなくて、債権者には戻ってこない感じ。夫婦と協力しながら家族のためもあるので、ちょっとでも返してもらえるよう訴訟を進めたい。」",[],[]
プロレスラーの鈴木敬喜選手「五泉は俺が守ってやる」地元・五泉市で1日警察署長【新潟】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/6d030921ee218c14427a5a5d5c5591f44d4370fe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000012-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T19:19:24+09:00,2025-10-14T19:19:24+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,382,"五泉署の1日警察署長に任命されたプロレスラー・鈴木敬喜選手
プロレスラーの鈴木敬喜選手が、地元・五泉市で1日警察署長を務めました。

五泉署の1日警察署長に任命されたのは、五泉市出身のプロレスラー・鈴木敬喜選手です。詐欺被害防止を呼びかけるイベントで、突如現れた特殊詐欺の犯人と対決。

■プロレスラー 鈴木敬喜選手
「五泉は俺が守ってやるから。」

華麗な技で応戦しますが、一時は押され気味に・・・。園児たちの声援を受け、再び反撃！最後は五泉市長と五泉警察署長も加わり、力を合わせて犯人を退治しました。

■プロレスラー 鈴木敬喜選手
「皆さんがだまされないように声を上げていきたいと思う。皆さんもぜひ防犯対策と自己防衛をがんばってしてほしい。」

県警によりますと、県内では8月末までに特殊詐欺の被害は167件確認され、被害額は6億6520万円に上っています。",[],[]
「着物で巡る 秋のにいがた庭園街道」15日開幕、日本庭園や伝統建築をめぐる奇跡の街道【新潟】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/c679287f3b0774140a21eb6fcb53b976bb468d92,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000011-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T19:12:31+09:00,2025-10-14T19:12:31+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,501,"村上市や関川村など県内9市町村にまたがる全長約150km「にいがた庭園街道」
村上市を起点に10月15日から着物で巡る『秋のにいがた庭園街道』が始まります。

村上市を起点に、日本庭園が連なる「にいがた庭園街道」。村上市や関川村など県内9市町村にまたがる全長約150kmの街道で、28カ所の日本庭園や寺院などの伝統建築を楽しむことができます。
【動画】「着物で巡る 秋のにいがた庭園街道」15日開幕、日本庭園や伝統建築をめぐる奇跡の街道【新潟】
14日は、国指定重要文化財・渡邉邸で開幕セレモニーが開かれ、着物を着た女性たちが庭園内を歩きました。

■出席者
「私、初めて着物を着て庭を見るが、すごく感動しています。」
■出席者
「これから紅葉が始まると写真の撮影にも良い機会が得られるかなと思います。」

■にいがた庭園ネットワーク 吉川真嗣代表
「新潟は庭園王国。この素晴らしい庭園が沢山あり、すごい屋敷がそこにあるのだと。さらに新潟の名だたる温泉地が集まっているという奇跡の街道。それを楽しんでいただきたい。」

『着物で巡る 秋のにいがた庭園街道』は、10月15日～11月15日まで開かれます。",[],[]
自衛隊機「車輪を出す操作が実施されず」滑走路逸脱は人的要因と推定【新潟】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/5291502cd1b33149d26a15988daec7880764415c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000010-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T19:12:24+09:00,2025-10-14T19:12:24+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,527,"航空自衛隊は「人的要因と推定される」と発表
9月、新潟空港で発生した航空自衛隊の救難捜索機が着陸時に滑走路から逸脱した事故について、航空自衛隊は「人的要因と推定される」と発表しました。
【動画】自衛隊機「車輪を出す操作が実施されず」滑走路逸脱は人的要因と推定【新潟】
■森田雄博航空幕僚長
「新潟空港並びに周辺住民の皆様にご心配をおかけしたこと、航空会社およびその利用者に多大なるご迷惑おけかしましたことを深くおわび申し上げます。」

9月19日、訓練飛行を終え新潟空港に着陸しようとしていた航空自衛隊の救難捜索機が滑走路から逸脱しました。このトラブルにより滑走路が約5時間に渡り閉鎖し、欠航が相次ぎました。

航空自衛隊は現在も調査中としながらも、搭乗員への聞き取りや機体やボイスレコーダーの確認などで事故時、車輪を出す操作が実施されていなかったことが分かったということです。

■森田雄博航空幕僚長
「今回の滑走路逸脱は人的な要因により、車輪を出さないまま着陸したことに起因すると推定している。」

また、事故後見合わせていた訓練について操縦者への基本事項の徹底や機体の特別点検を実施し、飛行の安全が確保されたとして14日から再開すると発表しました。",[],[]
標高1500m 雲上の秘湯「蓮華温泉」の紅葉が見ごろ【新潟・糸魚川市】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/86c8de933121af67ab72cd8e3f10f492417684de,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000009-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T19:12:18+09:00,2025-10-14T19:12:18+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,378,"営業は10月19日(日)まで
糸魚川市からホッと温まる話題が届きました。長野県と富山県境に近い標高1500mの『蓮華温泉』。市街地よりも最高気温が10℃ほど低く、木々は赤や黄色に染まってきています。
【動画】標高1500m 雲上の秘湯「蓮華温泉」の紅葉が見ごろ【新潟・糸魚川市】
そして、ロッジから登山道を登ること約15分。見えてきたのは絶景を見渡せる『仙気の湯』です。この時期、早朝などには雲海が広がることもあり〝雲上の秘湯〟とも呼ばれています。

■長野県から
「まず(ここまで)来るのが険しい。いま温泉に入った感じはすごく達成感がある。」

■白馬岳蓮華温泉ロッジ 田原伸男代表
「順調に色づいてくれて今が見ごろを迎えている。まもなく雪に閉ざされて真っ白な世界になる。ぜひ山々の美しい姿を見に来てもらえれば。」

営業は、10月19日(日)までです。",[],[]
この先「警報級の大雨」と「激しい寒暖差」に注意【気象予報士が解説｜新潟】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/5718b13d35c9a961de905fb295ef58a240d7fe02,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000008-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T19:05:27+09:00,2025-10-14T19:05:27+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,655,"今週のうちに厚手の布団の準備をしたほうがいいかも
14日(火)は、広く雨で空気がヒンヤリとしました。天気は下り坂でこの時間も広く雨が降っており、14日(火)夜いっぱいは各地とも雨の降りやすい状態が続きそうです。
【動画】この先「警報級の大雨」と「激しい寒暖差」に注意【気象予報士が解説｜新潟】
一方、15日(水)は天気が回復する見込みです。

◆15日(水)午前9時の予想天気図
本州付近は大陸に中心を持つ高気圧に覆われるでしょう。このため、県内は朝晩は雲が広がるところもありますが、日中はおおむね晴れる見込みです。

◆15日(水)の予想気温
最高気温は25℃前後のところが多く、今日より6℃くらい高くなるでしょう。
15日(水)は日差しもありますので、日中は過ごしやすい体感になりそうです。
最低気温は15日(水)朝と同じくらいで、15℃前後のところが多いでしょう。

ただ、爽やかな晴天は長続きしません。

◆週間予報
この先、晴れマークは15日(水)のみで、16日(木)以降は天気がぐずつく見通しです。そして、目先、16日(木)は【警報級の大雨】となる可能性があり注意・警戒が必要です。また、土日も雨脚が強まり荒れた天気になるところもあるでしょう。
そして、今週中は最高気温は平年より高く25℃以上の夏日のところもありそうです。

一方、来週になると朝晩・日中ともに気温が急降下するでしょう。とくに朝晩は厚手の上着が必要な寒さになりそうです。
厚手の布団も今週のうちに準備したほうがいいかもしれません。",[],[]
大好評で第3弾！お得な特典付き「ラーメンのカプセルトイ」販売開始【新潟】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/c10d0f9aca460fd50c5c9300ecf9f6af55e6d35e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000007-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T19:05:20+09:00,2025-10-14T19:05:20+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,943,"新潟市内の観光施設など10カ所に設置
人気企画の第3弾が14日から始まりました。全国トップクラスのラーメン消費量を誇る新潟市で、お得な特典が付いた『ラーメンのカプセルトイ』が販売されました。
【動画】大好評で第3弾！お得な特典付き「ラーメンのカプセルトイ」販売開始【新潟】
14日、JR新潟駅に新たに設置されたのは、大好評だった『ラーメン』のカプセルトイ第3弾です。
1世帯あたりのラーメン年間支出額で、現在3年連続全国2位の新潟市。ラーメンのカプセルトイは、新潟のラーメンをさらにPRしようと新潟市が2024年7月に始めた取り組みです。

■新潟市観光推進課 斎藤咲良さん
「第1弾・第2弾とすごく好評でまたやってほしいという声もあり、すごく盛り上がりを感じたので第3弾も計画した。」

出てくるのは、味別に選定された〝市内のラーメン店10種類のキーホルダー〟。裏面には『大盛り無料』や『トッピング1品無料』など店舗ごとにサービスが描かれていて、このキーホルダーを持っていくと期間中対象店舗で何度でも特典を利用できます。2024年7月の第1弾、12月の第2弾では約1万5000個が完売する人気ぶりでした。

■新潟市観光推進課 斎藤咲良さん
「新潟市に来た人に気軽に回していただいて、新潟のラーメンをもっと楽しんでもらえれば。」


こちらは、第3弾の対象店舗の1つ新潟市東区の『麺屋Aishin』。
濃厚なエビのビスクと担々麺を掛け合わせた大人気『海老寿久担々麺』を始め、麻婆麺など独創的かつ豊富なメニューが特徴の人気店です。

■麺屋Aishin 笠原義貴店主
「今回第3弾ということで、声をかけてもらい新潟のラーメンを盛り上げていくということで引き受けた。」

Aishinでは、カプセルトイのキーホルダーを見せると〝大盛りが無料〟に。店主の笠原さんは「普段ラーメンをそこまで食べない人にも足を運んでほしい」と期待をかけます。

■麺屋Aishin 笠原義貴店主
「普段行っているお店以外にも、こういうラーメンがあるんだなと知れるきっかけになればうれしいと思う。」

『ラーメンのカプセルトイ』第3弾は、新潟市内の観光施設など10カ所に設置され、無くなり次第終了ということです。",[],[]
クマ鈴やホイッスルなど「クマ対策グッズ」の売り上げ増加傾向、客層にも変化が【新潟】（UX新潟テレビ21）,https://news.yahoo.co.jp/articles/35d0447497b1d63ca01c18e594c7525522793537,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251014-00000006-niigatatvv-000-1-view.jpg?exp=10800,2025-10-14T19:05:13+09:00,2025-10-14T19:05:13+09:00,UX新潟テレビ21,niigatatvv,UX新潟テレビ21,863,"クマ対策の商品を買い求める客層にも変化
14日も県内各地でクマの目撃が相次いでいます。新潟市内のスポーツ用品店ではここ数年、クマに関連するグッズの売れ行きが伸びているということです。
【動画】クマ鈴やホイッスルなど「クマ対策グッズ」の売り上げ増加傾向、客層にも変化が【新潟】
■石井スポーツ新潟店 渡邉歩実さん
「鈴とスプレーとホイッスルを展開しています。この辺りが本当にメイン。」

新潟市内にあるスポーツ用品店では、約20種類のクマ鈴やクマスプレーなどが販売されています。

■石井スポーツ新潟店 渡邉歩実さん
「(音の)響きがいいけど重さがあるなというタイプだったり、軽量重視でちょっと響きが変わります。」

普段は音を出さず、ストッパーを外せば鳴らすことのできる『鈴』もあります。

■石井スポーツ新潟店 渡邉歩実さん
「小屋に入ったときとか音が気になるときに簡単に止められるように、この部分で簡単に調整ができるようになっています。」

また、鈴と一緒に『ホイッスル』を持つことも効果的だといいます。

■石井スポーツ新潟店 渡邉歩実さん
「クマに『自分たちがここにいるよ』と知らせるために、たまに(ホイッスルを)鳴らしたりとか鈴でさらに知らせて。」

こちらは『クマスプレー』。
唐辛子の成分が含まれいて、クマと遭遇した際に使用します。

■石井スポーツ新潟店 渡邉歩実さん
「肌に触れたりするだけでも、少し熱くなってヒリヒリするくらい強力なもの。」

こちらの店舗では、〝クマ対策グッズ〟の売り上げが4年前に比べて倍近くに。最近では、クマ対策の商品を買い求める客層にも変化があるといいます。

■石井スポーツ新潟店 渡邉歩実さん
「今までは登山だったりキャンプだったり、長期で山で過ごすというときに見に来られていた。それ以外にお客様によっては、畑仕事とかでちょっと山に入るからそれで持っていくとかが増えています。」

県内ではケガ人は今年度11人目で、県は警戒レベルが最も高い【クマ出没特別警報】を発表しています。",[],[]
