headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
クマ対策グッズ、売れ筋は「撃退スプレー」　唐辛子成分入り、品薄の店も（北國新聞社）,https://news.yahoo.co.jp/articles/70ec216cf9512f6ef4c8e8603d9d86763a17c4e1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-10-28T22:03:17+09:00,2025-10-28T22:03:17+09:00,北國新聞社,hokkoku,北國新聞社,305,"石川県内の店舗では、クマ対策グッズの売れ行きが好調だ。金沢市田上さくら3丁目のホームセンター「DCM金沢田上店」の売れ筋は唐辛子成分の入った撃退スプレー。値段は1万7千円ほどと安くはないものの、昨年の2倍ほど売れている。
【写真】能美市内で目撃されたクマ。対策グッズに関心が高まっている=今年6月9日、能美市湯谷町（住民提供）
登山道具などを扱う好日山荘金沢エムザ店では撃退スプレーは同様に昨年比2倍近く売れ、クマ鈴とともに品薄となっている。同金沢西インター店でも、例年は売れても6本程度というスプレーが既に20本売れた。担当者は「全国で相次ぐ被害のニュースを見て備える人が多くなったのではないか」と推測した。",[],[]
金沢美大同期生、喜寿の作品展　「第二の故郷」に２１人　企画も逝去の仲間の遺作展示（北國新聞社）,https://news.yahoo.co.jp/articles/fcd9039c6db3ac335e355eca508ea7eeae4214ad,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251028-02011822-hokkoku-000-1-view.jpg?exp=10800,2025-10-28T21:24:16+09:00,2025-10-28T21:24:16+09:00,北國新聞社,hokkoku,北國新聞社,652,"伊関さんの遺作（中央奥）を見ながら語り合う美大同期生の作家＝石川国際交流サロン
金沢美大を1971年に卒業した同期生が集う喜寿作品展「明日への七十七」（北國新聞社後援）は28日、金沢市の石川国際交流サロンで始まった。71年卒同期生の作品展は7年前の古希展からスタートしており、今回は物故者1人を含めて全国各地の21人から作品が寄せられた。久々に集合した同期生たちは「第二の故郷」での再会と、衰えない創作意欲を互いに喜び合った。

　この作品展のスタートを企画したのは、美大で商業デザインを専攻後、広告業に携わり、引退後は水彩画家となった伊関秀雄さん（兵庫県西宮市）。2016年に、他の卒業生と国際交流サロンで3人展を開催した折、会場を気に入って同期生作品展を企画、18年に13人で「古希展」を開いた。
　「次はここで喜寿展を」と決めていたが、間隔が空きすぎるとして、2022年に「明日への74」を開催し、今回の展示へとつなげた。しかし、企画者の伊関さんは今年1月に逝去、会場中央には遺作となる水彩画が飾られた。

　このほか、彫金人間国宝の中川衛さん（金沢市在住）の彫金をはじめ、漆器、木工芸、彫刻から能面、磁器、前衛的な造形まで多ジャンルの力作、近作がそろった。作者自らが工夫して展示し、互いの作風や近況を語り合った。
　世話役の千葉貞義さん（77）=同市若草町=は「喜寿になっても皆さんの創作のパワー、作品の質が保たれていることや、金沢に集まってくれることがうれしい」と話した。会期は11月9日まで。",[],[]
カラス撃退、「嫌いな音」装置で強化　金沢中心部、石川県が４基新設（北國新聞社）,https://news.yahoo.co.jp/articles/25445003d89d755fdc02ac7c30fbe091d37380c0,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251028-02011789-hokkoku-000-1-view.jpg?exp=10800,2025-10-28T21:12:17+09:00,2025-10-28T21:12:17+09:00,北國新聞社,hokkoku,北國新聞社,810,"カラス対策の音を鳴らしていることを伝える看板＝金沢市広坂２丁目
金沢市は石川県や国と連携し、市中心部で音によるカラスのふん害対策を強化した。カラスが嫌がる音を出す「特殊波動装置」を県が27日、4基新設し、市、国と合わせて22基に増やして追い払う。昨年の金沢経済同友会との意見交換会を受け、音を鳴らしていることを周知する看板を新たに装置付近に取り付け、住民や観光客に理解を呼び掛けながら取り組みに力を入れる。

　特殊波動装置の設置場所は、いしかわ四高記念公園と香林坊大和の間を通る仙石通りや、香林坊の国道157号沿い、木倉町となる。2021年度以降、市と国土交通省金沢河川国道事務所が設置を進め、今回、新たに県が取り付けた4基は仙石通り沿いに連なる。市は、いしかわ四高記念公園の入り口に鳥対策の釣り糸「テグス」を張る対策を講じたため、これまで設置していた4基を仙石通りに移設した。

　市によると、まちなかに飛来するカラスは、秋から冬にかけて金沢城公園をねぐらにし、夕方に同公園に戻る途中でふんを落とすケースが際立つ。音は日没前後のおおむね午後4〜8時に鳴らし、飲食店が並ぶ木倉町は利用客を考慮して午後11時〜翌午前0時に音を出す。装置の稼働期間は来年3月末まで。

　昨年開かれた、金沢経済同友会と村山卓市長との意見交換会では「追い払いのための音が、カラス対策と分かるよう明示してほしい」との要望が上がった。これを受けて市は、「音によるカラス対策実施中」と記し、カラスのイラストを添えた看板を作った。仙石通りの2カ所、国道157号の4カ所に取り付け、このうち国道沿いの2カ所は英語版として外国人観光客にもアピールする。看板のデザインや取り付け場所については景観に配慮した。

　カラス対策に関して市は今年度、対策費を引き上げ、8月からは、ねぐらとなる樹木に発光ダイオード（LED）ライトを照射する撃退作戦を始めている。",[],[]
小田和正さんツアー完走、金沢でイベント　ツアー写真、映像楽しむ　３１日から１１月２日まで（北國新聞社）,https://news.yahoo.co.jp/articles/b204c5be1c6319ae6cbfa57ce4e13376cf5de4dc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-10-28T21:06:18+09:00,2025-10-29T00:12:18+09:00,北國新聞社,hokkoku,北國新聞社,184,"明治安田生命保険金沢支社は31日、金沢市の明治安田ヴィレッジ金沢で、歌手小田和正さんの全国ツアー完走記念イベントを開く。ツアーを振り返る写真や映像を楽しめるほか、来場者には限定のステッカーを配布する。

　同社のCMに小田さんが楽曲を提供している縁で、同社は小田さんの全国ツアーに協賛している。イベントは11月2日までで、11、12月には大阪、広島、東京でも開催する。",[],[]
幸せ問う北斎、熱く　北國新聞赤羽ホールで宮本亞門さん演出舞台（北國新聞社）,https://news.yahoo.co.jp/articles/32755817a1a04fa6407f206c3016b70cf71e6aa7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-10-28T20:48:17+09:00,2025-10-29T00:12:18+09:00,北國新聞社,hokkoku,北國新聞社,475,"● 西岡德馬さん、timelesz寺西さん熱演

　江戸時代の浮世絵師・葛飾北斎の生きざまを描く舞台「新画狂人（がきょうじん）・北斎」の金沢公演（一般財団法人北國芸術振興財団、北國新聞社、一般財団法人石川県芸術文化協会など主催）は28日、金沢市の北國新聞赤羽ホールで行われ、北斎役を務めた主演・西岡德馬さんらの気迫に満ちた演技が満席の観客に「幸せとは何か」を問い掛けた。
【写真】 北斎を熱演した西岡さん=北國新聞赤羽ホール
2023年の舞台「画狂人・北斎」の内容を一新した新作で、前作に続き演出は宮本亞門さんが務めた。
　自身の表現をどこまでも追い求める北斎を西岡さんがエネルギッシュに演じた。北斎を慕いながらも対立する南町奉行・鳥居耀蔵の複雑な心情をtimelesz（タイムレス）の寺西拓人さんが繊細に表現し、北斎のよき理解者である娘・お栄の雛形あきこさんは前作に続き登場した。

　文化庁「演劇・音楽堂等における子供舞台芸術鑑賞体験支援事業」として行われ、無料招待の児童生徒らも鑑賞した。29日も上演される。チケットは完売し、満席となっている。",[],[]
能面着けてみた　「コント」狂言に挑戦　金沢・加賀宝生子ども塾の出前講座（北國新聞社）,https://news.yahoo.co.jp/articles/665753d27607812aa23a1dcf6db8877c516f3fe6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-10-28T20:12:19+09:00,2025-10-28T20:12:19+09:00,北國新聞社,hokkoku,北國新聞社,337,"加賀宝生子ども塾の出前講座は28日、金沢市中村町小で初めて開かれ、6年生43人は金沢能楽師会の指導で謡（うたい）や狂言などを体験し、伝統芸能の魅力に触れた。
【写真】能面を体験する児童=金沢市中村町小
能楽師の藪俊彦さん、渡邊茂人さん、佐野弘宜（こうき）さん、能村晶人さんの4人が講師として来校した。藪さん、渡邊さん、佐野さんは「羽衣」や「八島」を披露し、あでやかな装束を紹介。能面体験では、児童が般若などの面を着けて盛り上がった。

　狂言について能村さんは「古い時代のコントと思って」と述べ、児童は能村さんと共に柿を頰張る動きを表現した。
　能楽師を学校へ派遣する出前講座は、幼い時期から能楽に興味を持ってほしいと企画し、11月5日に中央小、同6日に三馬小でも開かれる。",[],[]
ミリスタ「ＮＰＢに最多４人を」　尾山神社で端保社長決意　（北國新聞社）,https://news.yahoo.co.jp/articles/305fb882bbdc36c786833ed72e228cbef84f28b2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251028-02011670-hokkoku-000-1-view.jpg?exp=10800,2025-10-28T19:36:20+09:00,2025-10-28T19:36:20+09:00,北國新聞社,hokkoku,北國新聞社,343,"お参りに訪れた石川ミリオンスターズの一行＝金沢市の尾山神社
プロ野球独立リーグ・日本海リーグの石川ミリオンスターズの端保聡社長、岡﨑太一監督らが28日、金沢市の尾山神社を訪れ、今シーズンの終了を報告し、来季のリーグ日本一を誓った。端保社長は、「1度のドラフトでNPB（日本野球機構）球団に過去最多を更新する4人を送り込めるよう努力したい」と決意を述べた。

　ドラフト会議で楽天から育成2位指名を受けた大坪梓恩（しおん）選手も同行。「金沢はこれまでの野球人生で一番成長できた場所。離れるのは寂しいが、一日でも早く支配下となり、ホームランバッターとして活躍したい」と力を込めた。
　この日、端保社長と岡﨑監督、大坪選手は市役所で新保博之副市長に今季の戦いぶり、ドラフト指名などを説明した。",[],[]
小松空港に巨大カボチャ　ハロウィーン仕様に装飾（北國新聞社）,https://news.yahoo.co.jp/articles/caed55243892c47892375508fe3ca48582a5c1f1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251028-02011662-hokkoku-000-2-view.jpg?exp=10800,2025-10-28T19:24:17+09:00,2025-10-29T00:12:18+09:00,北國新聞社,hokkoku,北國新聞社,167,"北國新聞
ハロウィーンに合わせた巨大カボチャの展示が小松空港で行われており、空港スタッフに見立てて装飾されたカボチャが利用客を楽しませている。

　北海道佐呂間町産のカボチャは日本航空の1階カウンター前に置かれており、大きさは高さ約50センチ、重さ23キロ。滑走路で航空機を誘導するスタッフに見えるよう装飾した。31日まで展示される。",[],[]
「ビリギャル」小林さん、七尾高で講演　「どんなことも前向きに」心の持ち方伝える（北國新聞社）,https://news.yahoo.co.jp/articles/2aaad3f7899dc3fe7d0fb6d8907f27be711095d3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-10-28T19:15:33+09:00,2025-10-29T00:12:18+09:00,北國新聞社,hokkoku,北國新聞社,333,"ベストセラー「学年ビリのギャルが1年で偏差値を40上げて慶応大学に現役合格した話」のモデルとなった小林さやかさんが28日、七尾高を訪れ、生徒や保護者ら約700人にポジティブな心の持ち方や挑戦する大切さなどを伝えた。
【写真】生徒と記念撮影する小林さん=七尾高
小林さんは「ポジティブに物事を捉えると行動が変わり、人生の幅が広がる」と述べ、ネガティブな出来事を前向きに捉えて視点を変える「リフレーミング」のやり方を紹介した。

　自身の受験の経験を通して、勉強などに取り組むモチベーションを高めるには「心が躍る目標を設定する必要がある」と伝えた。講演会後は、質問コーナーや記念撮影で生徒と交流した。
　講演会は、同校の創立126周年を記念して行われ、PTAが主催した。",[],[]
金大サクラマス弁当で復興支援　能登で養殖「のとらうと桜」　のり弁、ムニエル、卵とじ丼（北國新聞社）,https://news.yahoo.co.jp/articles/d1922c8455463856621bf607ad447d4876ab4e6b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-10-28T18:36:19+09:00,2025-10-29T00:12:18+09:00,北國新聞社,hokkoku,北國新聞社,467,"金大附属病院は11月、同大能登海洋水産センター（能登町）が養殖したサクラマス「のとらうと桜」を使った弁当を期間限定で販売する。能登半島地震の復興支援として売り上げの一部を義援金に充てる計画で、28日は同大宝町キャンパスで医学類の学生向けに先行販売された。
【写真】先行販売されたサクラマスの弁当=金大宝町キャンパス
同病院では昨年、同様の趣旨でのとらうと桜を使った料理を院内レストランで販売した。今回は外来患者や家族、病院職員向けに弁当を企画した。フライ入りののり弁、ムニエル弁当、卵とじ丼の3種で、11月12日から5週間、売店で販売する。いずれも税込み600円で、1日計60食を売る予定。

　先行販売では90食が用意され、医学生らが次々と買い求めた。学生向けに30日まで販売し、人気などを分析する。同病院の徳丸季聡栄養管理室長は「販売に合わせ、より栄養価が高まる食材の組み合わせも提案したい」と話した。
　のとらうと桜は、北陸三県の産学官金でつくる北陸未来共創フォーラムの水産分科会のプロジェクトとしてオーガニック養殖されている。",[],[]
中能登町春木で納屋全焼　けが人なし（北國新聞社）,https://news.yahoo.co.jp/articles/c73eb3f25b565f9ce1945d6319593641c57c948e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-10-28T18:00:36+09:00,2025-10-28T23:39:17+09:00,北國新聞社,hokkoku,北國新聞社,185,"28日午後5時2分ごろ、中能登町春木の北原哲夫さん所有の納屋から出火、木造平屋建ての建物を全焼し、約1時間半後に消し止めた。けが人はいなかった。
【写真】燃える建物=28日午後5時半、中能登町春木
七尾署や付近住民によると、納屋には木材などが置かれていたという。自宅にいた北原さんの家族が119番通報した。七尾鹿島消防本部と七尾署は29日に実況見分し、出火原因を調べる。",[],[]
