headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
李大統領　UAE派遣の韓国軍部隊員を激励「国威高める軍事外交官」（聯合ニュース）,https://news.yahoo.co.jp/articles/cd8d9b13605fb1f780425301a25ab46cbbea5990,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507320-yonh-000-1-view.jpg?exp=10800,2025-11-19T19:32:20+09:00,2025-11-19T19:32:20+09:00,聯合ニュース,yonh,聯合ニュース,575,"隊員らと握手する李大統領（中央）＝19日、アブダビ（聯合ニュース）
【アブダビ聯合ニュース】韓国の李在明（イ・ジェミョン）大統領は19日（現地時間）、国賓として訪問しているアラブ首長国連邦（UAE）の首都アブダビで同国に派遣されている韓国軍アーク部隊の隊員らを激励した。

　李大統領が隊員らを激励する行事はアブダビ市内のホテルで開かれ、約50人の隊員が出席した。李大統領と妻の金恵景（キム・ヘギョン）氏は隊員らと同じ軍服を着て出席した。

　李大統領はUAE大統領がアーク部隊を称賛し多くの期待も感じたとし、自らを「軍事外交官」と考えるべきだと語り、激励した。

　また「世界と中東の平和を守り、韓国の品格を高めるだけでなく、国民の暮らしと命を守る重要な仕事をしている」と指摘し、「与えられた任務を堂々と遂行していることを非常にありがたく思う」と謝意を伝えた。そのうえで、「皆さんが献身していることを国民は忘れないだろう」と強調した。

　アークはアラビア語で「兄弟」を意味する。同部隊は、平時はUAE特殊戦部隊の教育・訓練支援や合同訓練などの軍事交流活動を、有事の際にはUAEに滞在する韓国国民を保護する任務を担う。UAEが2010年に派遣を要請し、翌年に初めて派遣された。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
ソウルで野鳥から鳥インフル検出　2年10か月ぶり＝市は防疫強化（聯合ニュース）,https://news.yahoo.co.jp/articles/c3c0218404e9ae6b0d05350a56a735e1c6af2073,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507316-yonh-000-1-view.jpg?exp=10800,2025-11-19T18:50:16+09:00,2025-11-19T18:50:16+09:00,聯合ニュース,yonh,聯合ニュース,374,"ソウル市は野鳥が保護された地域（赤丸）から半径10キロ（緑線）の範囲の監視を強化している（ソウル市提供）＝（聯合ニュース）≪転載・転用禁止≫
【ソウル聯合ニュース】韓国・ソウル市は19日、市内で13日に保護された野鳥「ヒシクイ」から高病原性鳥インフルエンザウイルス（H5N1）が検出されたと発表した。

　市は野鳥がみつかった地域や生息地の消毒などを強化した。

　市民の通報を受け保護されたヒシクイはソウル市野生動物救助管理センターで治療を受けていたが、死亡した。

　国立野生動物疾病管理院に精密検査を依頼した結果、鳥インフルエンザウイルスが検出され、18日に最終確定した。

　ソウルでみつかった野鳥から鳥インフルが検出されたのは2023年1月以来、約2年10か月ぶり。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
李大統領　UAEと防衛産業などの協力強化表明＝「共に世界最強国へ」（聯合ニュース）,https://news.yahoo.co.jp/articles/4535d3534162773f787b8c2612c606e2cee7e469,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507311-yonh-000-1-view.jpg?exp=10800,2025-11-19T18:11:16+09:00,2025-11-19T18:11:16+09:00,聯合ニュース,yonh,聯合ニュース,902,"韓国・UAEビジネス・ラウンドテーブルに出席した李在明大統領（左から2人目）＝19日、アブダビ（聯合ニュース）
【アブダビ聯合ニュース】アラブ首長国連邦（UAE）を国賓として訪問している韓国の李在明（イ・ジェミョン）大統領は19日（現地時間）、同国の首都アブダビで開かれたビジネス・ラウンドテーブルに出席し、「クリーンエネルギーや防衛産業分野での協力を強化し、韓国とUAEが世界最強国に共に成長できるモメンタム（勢い）を確保したい」と呼びかけた。

　李大統領は韓国が建設し、両国協力の象徴となっているバラカ原発が正常に稼働しているのに加え、UAEへの部隊派遣、「韓国型パトリオット」と呼ばれる弾道ミサイル迎撃システム「天弓2」の輸出など防衛協力も目覚ましい成果を出していると評価。「UAEは建国100年となる2071年までに世界最高水準の国に飛躍することを確信している」として、「両国首脳はその最適のパートナーが韓国であるとの認識で一致した」と明らかにした。 

　エネルギー分野での協力に関しては、「UAEの太陽光発電と韓国の先端バッテリー技術を組み合わせた『エネルギー転換協力』は2050年のカーボンニュートラルの共同達成や新たなクリーン産業育成に大きく貢献するだろう」との見通しを示した。また、「（韓国は）核燃料や電気関連の現地工場建設を通じ、UAEの原発産業育成にも寄与できるだろう」とし、「互恵的な協力が実現することを期待する」と述べた。

　防衛産業を巡っては、「共同開発と現地生産などで協力水準を向上させ、第三国への共同進出にも取り組むべきだ」とし、「これにより、両国の協力がグローバルレベルに拡大することを望む」と述べた。

　人工知能（AI）中心の先端産業協力で未来の成長エンジンを共に創出することも重要だと強調した。

　また、「（文化などの）ソフトパワー協力で人と文化のつながりをさらに広げていくべきだ」として、「中東の文化強国であるUAEとの協力を通じ、Kカルチャーが中東全域に広がることを望む」と述べた。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
韓国　きょうのニュース（11月19日）（聯合ニュース）,https://news.yahoo.co.jp/articles/1b6cc121305c365da8642a255c138000f47a55ea,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507310-yonh-000-1-view.jpg?exp=10800,2025-11-19T18:00:00+09:00,2025-11-19T18:00:00+09:00,聯合ニュース,yonh,聯合ニュース,1051,"ガソリン価格の上昇が続いている。ガソリン価格を表示しているソウル市内のガソリンスタンド＝16日、ソウル（聯合ニュース）
◇止まらぬウォン安ドル高　石油元売り・航空・鉄鋼・免税店など打撃

　韓国の通貨ウォンが対ドルで下落している。19日午前11時45分時点で1ドル＝1465．00ウォン（約155円）までウォン安が進み、年平均の為替レートが過去最安値を記録する可能性が取り沙汰されており、石油元売りや航空、鉄鋼、免税店など多方面の企業が打撃を受けている。企業側は、原材料価格の上昇により営業利益が減少したことに加え、経済全般の不確実性が高まっており、一寸先も見通すのが難しい状況と頭を抱える。

◇韓米関税交渉　李大統領の強気で好条件引き出し

　韓米の関税交渉を巡り、韓国が米国に行う現金投資2000億ドル（約31兆700億円）について年間上限を200億ドルと取り決めたことに関し、李在明（イ・ジェミョン）大統領の指示があったことが分かった。大統領室の金容範（キム・ヨンボム）政策室長が出演したユーチューブのニュース番組で明らかにした。当初は「この程度であれば200億ドルを超えないだろう」という内容で合意する見通しだったが、李大統領が「相手の善意に期待して将来に影響することは決められない」とし、交渉で200億ドルと明示するよう指示したという。また李大統領が金正官（キム・ジョングァン）産業通商部長官や金容範氏に「崖から飛び降りる勇気のある人が勝つ」と述べ、強気の交渉を指示したと振り返った。

◇韓国・UAE首脳　「100年同行共同宣言」採択＝原発協力拡大へ

　李大統領は18日（現地時間）、国賓として訪問しているアラブ首長国連邦（UAE）の首都アブダビで同国のムハンマド大統領と会談した。両首脳は「韓国とUAEの100年同行のための新たな跳躍」と題した共同宣言文を採択した。

◇大学入試の国語の難問「正答なし」　哲学科教授が指摘

　13日に実施された2026学年度の大学修学能力試験（修能、日本の大学入学共通テストに相当）で出題された国語の問題について、浦項工科大の哲学科の教授が「選択肢に正答がないように思える」との考えを示したことが分かった。ドイツの哲学者カントが示した「人格の同一性」に関する見解について正しいものを選択肢から選ぶ問題で、EBS（韓国教育放送公社）や学習塾業界、受験生らが難問として挙げていた。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
［韓流］aespa　「辛ラーメン」のグローバルアンバサダーに（聯合ニュース）,https://news.yahoo.co.jp/articles/5f5157651f2d556df136323c56d75208d5d98368,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507308-yonh-000-1-view.jpg?exp=10800,2025-11-19T17:27:25+09:00,2025-11-19T17:27:25+09:00,聯合ニュース,yonh,聯合ニュース,593,"「辛ラーメン」のグローバルアンバサダーに抜てきされたaespa（農心提供）＝（聯合ニュース）≪転載・転用禁止≫
【ソウル聯合ニュース】韓国食品大手の農心は19日、同社の即席麺「辛ラーメン」のグローバルアンバサダーにガールズグループのaespa（エスパ）を抜てきしたと発表した。

　辛ラーメンがグローバルアンバサダーを起用するのはaespaが初めてで、辛ラーメンの味と価値を世界に向けてPRすることになる。

　農心は「音楽で世界のファンにエネルギーを伝えるaespaの姿が辛ラーメンのグローバルスローガン『Spicy　Happiness　In　Noodles』の価値に最もふさわしいと判断した」と説明した。

　同社はaespaとコラボレーションしてミュージックビデオ形式の辛ラーメンのグローバル広告も制作した。aespaは広告で「辛ラーメンダンス」も披露する。広告は米国、日本、中国、欧州、東南アジアなど主な輸出先を中心にオンライン上で公開される予定だ。

　また、aespaのメンバーの姿が印刷されたaespaスペシャルパッケージ製品も販売する。今月、中国で発売し、来月から韓国など世界で順次発売する。

　辛ラーメンと即席麺「辛ラーメン　トゥーンバ」にはaespaのメンバーのフォトカードを同封する予定だ。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
米工場での韓国人労働者拘束巡り「ホワイトハウスから謝罪あった」　現代自CEO（聯合ニュース）,https://news.yahoo.co.jp/articles/05ded4f35e3f9caa16ffdf2a9acbed7df2e12779,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507307-yonh-000-2-view.jpg?exp=10800,2025-11-19T17:14:54+09:00,2025-11-19T17:31:37+09:00,聯合ニュース,yonh,聯合ニュース,669,"現代自動車のホセ・ムニョスCEO（同社提供）＝（聯合ニュース）≪転載・転用禁止≫
【ソウル聯合ニュース】米ジョージア州にある現代自動車などの工場で多数の韓国人労働者が米移民当局に拘束された問題を巡り米ホワイトハウスが同社のホセ・ムニョス最高経営責任者（CEO）に謝罪の電話をしていたことが分かった。英BBCが19日（現地時間）、報じた。

　ムニョス氏はシンガポールで開かれたフォーラムでこのように述べ、ジョージア州知事からも電話があり、「何が起こったか分からない。これは州政府の管轄ではない」と言われたと伝えた。

　米移民当局は9月、米ジョージア州で建設中の現代自動車グループとLGエナジーソリューションの合弁会社の工場で韓国人労働者317人を不法移民として拘束。政府間の交渉により労働者らは1週間後に釈放され、チャーター機で韓国に帰国した。

　ムニョス氏はフォーラムのパネルディスカッションで「誰かが（移民当局に）電話をかけ、不法移民が工場にいると見せかけたようだ」とし、「それは絶対に事実ではない」と説明した。また、このような事態は「思いがけない災難」だったとしながらも、米国内での生産についての意思は変わらないと強調した。

　今回の問題を受けて韓米両政府は商用訪問とビザ（査証）に関するワーキンググループを発足させ、制度改善を議論している。

　トランプ米大統領も11日、同問題を取り上げ、米国が必要とする海外技術人材の入国を保障する必要性に言及した。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
止まらぬウォン安ドル高　石油元売り・航空・鉄鋼・免税店など打撃（聯合ニュース）,https://news.yahoo.co.jp/articles/da7789e5fb2baa6d9e9bb41e1bbc3800f1212012,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507303-yonh-000-2-view.jpg?exp=10800,2025-11-19T16:46:54+09:00,2025-11-19T17:31:38+09:00,聯合ニュース,yonh,聯合ニュース,2661,"11月6日、ハナ銀行本店のモニターに表示されたウォンの対ドルレート＝（聯合ニュース）
【ソウル聯合ニュース】韓国の通貨ウォンが対ドルで下落している。19日午前11時45分時点で1ドル＝1465．00ウォン（約155円）までウォン安が進み、年平均の為替レートが過去最安値を記録する可能性が取り沙汰されており、各企業も長期経営計画を再検討するなど非常事態に陥っている。企業側は、原材料価格の上昇により営業利益が減少したことに加え、経済全般の不確実性が高まっており、一寸先も見通すのが難しい状況と頭を抱える。

　◇石油元売りに「打撃」

　国内の石油元売り業界は年間10億バレル以上の原油の全量をドルで買い入れており、為替相場の影響を大きく受けている。

　SKイノベーションは先ごろ公表した四半期報告書で、9月末時点から10％ウォン安が進んだ場合、税引前利益が約1544億ウォン減少する影響があると分析した。

　ただ元売り各社は生産した石油製品の半分以上を輸出して為替レートによる差益を得ており、中長期的にも派生商品への投資などを通じたリスク回避に乗り出している。

　業界関係者は聯合ニュースの取材に対し、来年の経営計画は1ドル＝1400ウォン程度と仮定して策定しているが、毎月、前月の平均為替レートによって調整していると説明した。

　◇燃料費高騰の航空業界　旅行需要の低迷も悪材料

　航空業界もウォン安の影響を大きく受ける業種の一つだ。

　航空会社の営業費用の中で最も大きい約30％を占める燃油費をはじめ、航空機リース料、整備費、海外滞在費など固定費用は通常、ドルで支払われる。ウォン安が進めば海外旅行控えも生まれ、航空需要に否定的な影響を及ぼす。

　大韓航空の場合、今年7～9月期の純外貨負債は約48億ドルで、1ドルが10ウォン上がれば支払額が約480億ウォン増える「為替差損」が発生する。

　韓国航空各社はウォン安が続いていることで、現在策定中の来年の事業計画のうち、ウォン安への対応をさらに強化することを検討する方針だ。　

　一方、海運業界にとってウォン安ドル高は一部プラスの側面がある。海上運賃はドルで設定されているため、ドル高によりウォン換算で差益を得ることができる。ただ、燃料価格の高騰により、利益は半減する可能性がある。

　◇関税にウォン安で「泣き面に蜂」の鉄鋼業界

　鉄鉱石や製鉄用原料炭などを輸入する鉄鋼業界はウォン安に加え、米国が鉄鋼関税を強化したことで二重の苦しみを受けている。また世界経済の減速で鉄鋼需要が低迷し、負担はさらに増している。

　ただ、鉄鋼大手は鉄鋼製品を輸出して稼いだ外貨で主要原料を買い入れるなどして為替レート変動の影響を最小化しようと対応している。

　業界最大手ポスコの関係者は、為替リスクの監視を強化し、為替レートの変動が経営活動に及ぼすマイナス影響を最小化していると説明した。

　◇免税店で「価格逆転」現象　大型スーパーは輸入商品多角化で対応

　ウォン安・ドル高により、ドル建てで商品を販売する韓国免税店では一部商品の価格が百貨店より高くなる逆転現象が発生している。

　これに加え、ショッピングを中心とする団体観光が中心だった韓国旅行のパターンが体験型の個人観光に変化し、外国人観光客がグルメや文化体験に対する支出を増やしたことで免税店の客単価はさらに減少した。

　各免税店は観光客の負担を軽減するため割引やクーポン支給、為替補償などの特典を強化し、観光トレンドに合わせて体験イベントを強化しているが、為替の影響を相殺するのは難しい状況だ。

　ロッテ免税店と新世界免税店は昨年、現代免税店と新羅免税店は今年、それぞれ希望退職の募集に踏み切った。また、新羅免税店と新世界免税店は赤字が拡大していることから、仁川国際空港の免税事業権の一部を返納した。

　輸入食品を販売する大型スーパーも対策に奔走している。

　イーマートは仕入先と年間契約を結び、アーモンドや冷凍果物、オリーブオイルなどを比較的安定した価格で調達している。輸入肉はウォン安・ドル高により冷蔵肉の相場が上昇したため、冷凍肉を5～6か月分確保し、備蓄している。

　ロッテマートは米国産牛肉の価格上昇を受け、7月の事前契約でオーストラリア産牛肉の仕入れ量を前年比約20％増やした。

◇化粧品は輸出増で利益も　ファッション業界にも複合的影響　

　化粧品業界では、原材料の輸入でドル高とユーロ高による損失が予想される。

　化粧品会社の関係者は「ドルで取引されるグリセリンや脂肪酸、界面活性剤のほか、欧州から輸入する乳化剤は為替の変動に伴う影響を受ける恐れがあり、状況を注視している」と説明した。

　ウォン安は原材料輸入では打撃になるが、韓国コスメの人気で増加した輸出においてはプラスの影響もある。

　別の化粧品会社の関係者は、海外での売り上げ増加が原材料価格の上昇に伴う影響を相殺しているとし、長期的な影響を見守る必要があるとの見方を示した。　

　業界ではウォン安・ドル高基調が続いていることを受け、長期的な事業面の危機管理を進めている。化粧品大手、アモーレパシフィックの関係者は「調達先の多角化やグローバル事業の拡張などにより、為替変動のリスク管理を続けている」と明らかにした。

　ファッション業界も、輸入と輸出が同時に行われることで複合的な影響を受けている。

　生地を輸入する場合、ウォン安・ドル高によるコスト増は避けられない。

　アパレル大手、LFの関係者は「カシミヤやウールなど一部高級生地と副資材は供給元を分散し、買い入れ時期も分けたため短期的な影響は限定的」とした上で「ウォン安が長期化する場合は費用構造に影響が生じる恐れがあり、これに備えたリスク管理を続けている」と説明した。

　輸出を中心とするODM（相手先ブランドによる企画・生産）企業ではウォン安がプラスに作用する一方、原材料や物流費などが上昇するため効果は限定的とみられる。

　海外ブランドのODMを手掛けるハンセ実業の関係者は「輸出時に両替されたウォンの収益が増加するプラス効果があるが、原材料や物流費などドル建ての費用も上昇する」とし、「来年度の事業計画策定時に為替リスクを反映し、対応策を模索している」と述べた。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
韓国外務次官　日本と海洋境界巡る協議の再開必要と表明（聯合ニュース）,https://news.yahoo.co.jp/articles/b85db25acdf0d91538301456bf9bc8989d7d6abc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507302-yonh-000-2-view.jpg?exp=10800,2025-11-19T16:44:17+09:00,2025-11-19T17:30:21+09:00,聯合ニュース,yonh,聯合ニュース,413,"ソウルで開かれた「海洋法国際学術会議」＝19日、ソウル（聯合ニュース）
【ソウル聯合ニュース】韓国外交部の金珍我（キム・ジナ）第2次官は19日、「日本とも国連海洋法条約の体制の中で海洋境界問題などに関する対話を再開する必要がある」との考えを明らかにした。

　ソウルで開かれた「海洋法国際学術会議」の開会式で述べた。同会議は外交部が主催し、国際海洋法裁判所（ITLOS）などが主管した。

　韓国は中国と海洋の境界を定める局長級協議を毎年開いているが、日本とは歴史問題などによる関係悪化で2010年から協議が開かれていない。

　金氏の発言は、韓国と日本が済州島南沖の東シナ海海域を共同開発区域と定めた韓日大陸棚協定が今年6月以降、協定の終了を一方的に通知できる状況であることを踏まえ、境界画定協議の再開が望ましいという政府の認識を示したものとみられる。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
星野源　来年2月に2度目の来韓公演（聯合ニュース）,https://news.yahoo.co.jp/articles/c37b5a56a4a66a8172dd260e1fed4ebee18ae519,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507300-yonh-000-1-view.jpg?exp=10800,2025-11-19T16:32:32+09:00,2025-11-19T16:32:32+09:00,聯合ニュース,yonh,聯合ニュース,401,"星野源が来年2月に2度目の来韓公演を行う（アミューズ提供）＝（聯合ニュース）≪転載・転用禁止≫
【ソウル聯合ニュース】日本の歌手で俳優の星野源が来年2月6日に韓国の仁川・永宗島のインスパイアアリーナで単独ライブ「Gen　Hoshino　Live　in　Korea　""約束""」を開く。所属事務所のアミューズが19日、発表した。

　来韓公演は今年9月の初開催から5か月で再び開かれる。初の来韓公演の際、韓国のファンに対し「（韓国に）頻繁に来る」と約束したが、公演名はこれにちなんだもの。

　主催者側は「前回の公演で会場を埋め尽くしたファンの声援に応えるため2回目の来韓公演開催を発表した」とし、再び韓国のファンの関心も高まるだろうと期待を示した。

　星野源は今月14日に日本映画「平場の月」の主題歌「いきどまり」をリリースした。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
サムスン創業者の死去から38年で追悼式　総帥一族が参列（聯合ニュース）,https://news.yahoo.co.jp/articles/6b0f3f8dce1b5fcf18e22ece22e2edc573e39f0b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251119-00507295-yonh-000-2-view.jpg?exp=10800,2025-11-19T15:38:28+09:00,2025-11-19T16:28:37+09:00,聯合ニュース,yonh,聯合ニュース,513,"サムスングループの創業者、李秉喆氏の死去38年を迎え、京畿道・竜仁の墓地を訪れた総帥一族＝19日、竜仁（聯合ニュース）
【ソウル聯合ニュース】韓国・サムスングループの創業者である李秉チョル（イ・ビョンチョル）氏の死去38年を迎え、京畿道・竜仁の墓地で19日、追悼式が執り行われた。

　李秉チョル氏は李在鎔（イ・ジェヨン）サムスン電子会長の祖父。李在鎔氏の母親の洪羅喜（ホン・ラヒ）サムスンリウム美術館名誉館長や李氏の妹の李富真（イ・ブジン）ホテル新羅社長ら総帥一族が参列した。

　グループから独立した流通大手・新世界グループや食品大手・CJグループなどの関係者らは別の時間に墓地を訪れた。

　李在鎔会長は李在明（イ・ジェミョン）大統領のアラブ首長国連邦（UAE）訪問に合わせ、アブダビで開かれる韓国・UAEビジネスラウンドテーブルと日程が重なったため、追悼式を欠席した。

　李秉チョル氏は1938年に青果や乾物の輸出を手がける「三星商会」を設立。同社がサムスン物産に成長した。同氏が1953年に砂糖事業で始めた「第一製糖」はCJグループの母体だ。
Copyright YONHAPNEWS <転載、複製、AI学習禁止>",[],[]
