headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【セットリスト掲載】『バンドリ！』×『ガルクラ』、夢の対バンライブ！「RAISE MY CATHARSIS」公演レポート（ABEMA TIMES）,https://news.yahoo.co.jp/articles/d9b1abbc5458528e2ded64b1b4fea38226505804,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10213208-abemad-000-1-view.jpg?exp=10800,2025-12-07T23:51:16+09:00,2025-12-07T23:51:16+09:00,ABEMA TIMES,abema,ABEMA TIMES,1294,"RAISE A SUILEN×トゲナシトゲアリ「RAISE MY CATHARSIS」
12月7日、京王アリーナ TOKYOにて、 RAISE A SUILEN×トゲナシトゲアリ「RAISE MY CATHARSIS」が開催された。
【画像】「RAISE MY CATHARSIS」の写真＆解禁情報
本公演はメディアミックスプロジェクト『バンドリ！』に登場するバンド「RAISE A SUILEN」と、オリジナルアニメ『ガールズバンドクライ』から誕生し、劇中の主人公たちと連動するリアルバンド「トゲナシトゲアリ」の対バンライブとして開催。

　異なるバンド作品による対バンライブとして発表当初より注目を集めており、会場チケットは注釈付き指定席を含めソールドアウトとなっていた。

　本編では両バンドがそれぞれのオリジナル楽曲を存分に披露すると、アンコールパートでは両バンドのボーカルが交互に参加し「R・I・O・T」「爆ぜて咲く」をコラボ演奏するなど、本公演ならではのパフォーマンスも披露。満員御礼の会場は、熱気冷めやらぬまま幕を下ろした。
公演概要
◆公演名：RAISE A SUILEN×トゲナシトゲアリ「RAISE MY CATHARSIS」
◆日程 ：2025年12月7日（日） 開場 16:00/開演 17:30
◆会場 ：京王アリーナ TOKYO（武蔵野の森総合スポーツプラザ）
◆出演 ：RAISE A SUILEN、トゲナシトゲアリ
セットリスト
トゲナシトゲアリ
M1. 声なき魚
M2. 渇く、憂う
M3. 蝶に結いた赤い糸
M4. 空の箱
M5. 空白とカタルシス
M6. 闇に溶けてく
M7. 視界の隅 朽ちる音
M8. 名もなき何もかも
M9. もう何もいらない未来
M10. 命をくれよ
M11. arrow
M12. 荊の薔薇
M13. 雑踏、僕らの街
M14. 最期の祷り
M15. 爆ぜて咲く
M16. 運命の華

RAISE A SUILEN
M17. Beautiful Birthday
M18. ‘FIGHT’ ADDICT
M19. V.I.P MONSTER
M20. EXPOSE 'Burn out!!!'
-DJ play-
M21. JUST THE WAY I AM
-Solo session-
M22. HOWLING AMBITION
M23. OUTSIDER RODEO
-""REVELATION"" megamix show-
M24. SOUL SOLDIER
-Inst session-
M25. DRIVE US CRAZY
M26. HELL! or HELL?

RAISE A SUILEN×井芹仁菜 from トゲナシトゲアリ
EN1. R・I・O・T

トゲナシトゲアリ×レイヤ from RAISE A SUILEN
EN2. 爆ぜて咲く

※最期の祷りの「祷」は、正式には旧字体
（C）BanG Dream! Project （C）東映アニメーション
Photo ハタサトシ、冨田味我
アニメフリークス",[],[]
「日本にとってかなり厄介」日本が対するオランダを徹底分析！柿谷が危機感…注目は“背中でプレーできる”2人「無敵やん！」（ABEMA TIMES）,https://news.yahoo.co.jp/articles/bad4400088cf42d32c2bcbf989ebb3b7f4941fa5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10213216-abemav-000-1-view.jpg?exp=10800,2025-12-07T23:45:33+09:00,2025-12-07T23:45:33+09:00,ABEMA TIMES,abema,ABEMA TIMES,916,"柿谷曜一朗
12月7日放送の『ABEMAスポーツタイム』でFIFAワールドカップ2026（北中米W杯）を特集。先日行われたグループステージの組み合わせ抽選会をもとに、サッカー元日本代表たちが対戦国を分析した。
【映像】最もレベルが高いのは…各組のパワーランキング
日本時間12月6日、FIFAワールドカップ26の組み合わせ抽選会が行われ、日本代表（FIFAランキング18位）はオランダ代表（同7位）、チュニジア代表（同40位）、欧州プレーオフ勝者（ウクライナ代表/スウェーデン代表/ポーランド代表/アルバニア代表）と同居するグループFに組み込まれた。

データサイト『Opta』は、最もレベルの高いグループは前回王者のアルゼンチン代表が入ったグループJ、続いてフランス代表のいるグループI、3番目にグループFが入るなど、日本代表は厳しい戦いになると予想している。

そんなグループF最大のライバルは、前回大会ベスト8のオランダ代表。日本代表は2010年大会のグループステージでも対戦しており、通算成績は1分2敗と一度も勝てていない。

ゲストの柿谷曜一朗氏はオランダについて「メンバーもヤバないですか？オランダとの初戦で勝ち負けより、このオランダにどれだけ戦えるかで、その後の決勝トーナメント以降の日本代表が見えてくる」とコメント。初戦で当たる強豪との戦いがW杯での躍進の鍵を握ると語った。

各ポジションに欧州のトップリーグで戦う選手を揃えるオランダ代表。柿谷氏は中でも中盤に注目する。柿谷氏はフレンキー・デ・ヨング（バルセロナ）、タイアニ・ラインデルス（マンチェスター・シティ）をキーマンにあげ「僕の中では戦術を壊す2人。日本はこういうふうに守備をしましょうとちゃんとありますが、この2人には意味がない。相手を感じて背中でプレーできる。ターン、ドリブル、シュートも決められる。この2人が真ん中にいるのは日本にとってかなり厄介」と熱弁。

同じくゲストの柏木陽介氏は「無敵やん」と驚き、番組コメンテーターの槙野智章氏も「そういう相手に勝たないといけないね」と締め括った。
（ABEMAスポーツタイム）
ABEMA TIMES編集部",[],[]
BD溝口COOに緊急事態「一応、頭のCT撮った方が…」突如、スパーでアクシデント発生（ABEMA TIMES）,https://news.yahoo.co.jp/articles/11c3b1dd6ffb209f761d152555b6cf261f89f16c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10213207-abema-000-3-view.jpg?exp=10800,2025-12-07T22:03:15+09:00,2025-12-07T22:24:15+09:00,ABEMA TIMES,abema,ABEMA TIMES,1008,"溝口COOにアクシデント発生
ブレイキングダウンCOOの溝口勇児に、スパーリングの最中アクシデントが発生。駆けつけたドクターが「一応、頭のCT撮った方が」と緊急事態を告げる一幕があった。
【映像】溝口COOに危機的アクシデント発生「実際の様子」
12月7日、朝倉未来のYouTubeチャンネルで、1分1ラウンドの格闘技大会『BreakingDown18』（14日、さいたまスーパーアリーナ コミュニティアリーナ開催）最終オーディション、最新回の模様が公開された。

　今回、軍団対抗戦として「赤パンニキ」が率いるレッドパンティーズや、各地の喧嘩自慢が登場してきたが、トリを飾ったのはマッチョ軍団。朝倉が「マグロみたい」と話す大腿四頭筋を持つ“部長マッチョ”率いる筋骨隆々の男たちが、審査員たちに売り込みをかける。

　部長マッチョが、ブレイキングダウンについて「拳で夢を掴める場所…」という趣旨の話をした瞬間、溝口が「お前弱そうじゃん。俺の相手になんねえだろ」と煽る。すると、「それはやってみないとわからないじゃないですか」と部長マッチョも反論。

　そのやり取りを聞いていた朝倉は「確かに。今からやってみればいいんじゃないですか」と提案し、その場で組み対決へ。これまで5戦全勝という好成績を収める溝口に対し、意外にも善戦する部長マッチョ。決着しなかったことから溝口もスイッチが入り「こいつとスパーやっていい？」と言い出し、朝倉も笑いながら「おおー。チャンス掴んでるじゃん！」とエールを送る。

　そしてケージでのスパーがはじまると、溝口が頭を抱えて膝蹴りの連打で攻め込む。なんとか耐えきった部長マッチョも反撃を開始。両者のもみ合いから溝口がもろに後頭部から後ろに倒れ込むアクシデントも。これが、後の緊急事態の引き金となった。

　1分の試合が終わり、判定で勝利した溝口だったが、リングを降りてすぐに力なくしゃがみ込む。先ほどの頭を打った場面で、かなりのダメージを負ったようで「フラフラする」と、ドクターチェックへ。

「一番脳に残る後頭部からの落ち方してたから。最初アドレナリン出てたから大丈夫なんですけど、徐々に、徐々に。一応頭のCTも一回撮っておいた方が」

　ドクターストップがかかった溝口COOはオーディションを途中離脱。2026年の飯田戦までの復活なるか…気になるところだ。
ABEMA TIMES編集部",[],[]
「まだ高校生やろ」J1昇格PO準決勝で千葉の17歳MFが値千金の同点ゴール！「年間No.1ゴール」デビュー戦で圧巻ループシュート決め、決勝に導く（ABEMA TIMES）,https://news.yahoo.co.jp/articles/0132f69b28bfa66eeff16b4c355cfc1ddf71fdd9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10213199-abemav-000-1-view.jpg?exp=10800,2025-12-07T22:00:39+09:00,2025-12-07T22:00:39+09:00,ABEMA TIMES,abema,ABEMA TIMES,1093,"ジェフユナイテッド千葉　MF姫野誠
【明治安田J1昇格プレーオフ2025　準決勝】ジェフユナイテッド千葉 4－3 RB大宮アルディージャ（12月7日/フクダ電子アリーナ）
【映像】17歳高校生の圧巻スーパーループ弾
ジェフユナイテッド千葉の現役高校生MF姫野誠が、デビュー戦で値千金の同点ゴールを挙げた。“持ってる男”の一撃にファンたちが衝撃を受けている。

　千葉は12月7日、明治安田J1昇格プレーオフ2025の準決勝でRB大宮アルディージャと対戦。序盤から積極的に攻める千葉だったが、セットプレーからの失点を重ねて一時は0ー3と絶望的な状況に追い込まれた。

　すると60分、現役高校生である17歳の姫野が左サイドハーフとして登場。そこから2点を返して迎えた83分、中盤でボールをつなぎ、裏へと飛び出した姫野にボールが通る。村上陽介と下口稚葉に挟まれる格好となりながら、ボックス内まで運ぶと、最後は左足でループシュートを放つと、これがゴールネットを揺らした。

　圧巻の一撃に解説の清水範久氏は「いやーすごい。これはすごい。このループですよ。素晴らしい。飛んだコースも素晴らしいですし、何よりあそこでループという判断ができる冷静さ。体現できる技術。見事ですね」と大絶賛。

　またSNSのファンたちも「17歳姫野くんかっこいい！」「神童だわ」「ただのゴールじゃないんだよ姫野くんだよ！？！？！」「姫野くんのループ年間No. 1ゴールにしてもええ」「姫野そこでループ決めるか」「姫野凄すぎんだろ！！！」「姫野やばすぎだろ こいつまだ高校生やろ」「デビュー戦でこれかよ！すげえよ姫野！！」「姫野お前もう海外行けw」と大盛り上がりとなった。

　試合後のフラッシュインタビューで姫野は「いいボールを裏に出してくれたので、変な形のシュートですが決められて良かったです」とゴールシーンを振り返る。また17年ぶりとなるJ1昇格について、17歳の姫野は「あと1つ勝って、J1を決めたいと思います。このクラブにお世話になったので、もっと勝利に導けるように努力したい」と意気込みを語った。

　姫野のゴールで3ー3の同点とした千葉は、レギュレーション上の突破条件を満たすことに成功。さらに87分には河野貴志が逆転ゴールを奪うなど、後半一気に4ゴールを挙げて勝利した。

　千葉は、プレーオフ決勝で徳島ヴォルティスと対戦。J1昇格をかけた一戦は12月13日（土）13時5分にキックオフを迎える。
（ABEMA de DAZN/明治安田J1昇格プレーオフ2025 準決勝）
ABEMA TIMES編集部",[],[]
選手乱入！ 鹿島・鬼木達監督、“手荒すぎる祝福”でびしょ濡れ「切り込み隊長が好き」「ニコニコで水かけ笑」鈴木優磨の“言い訳”も話題（ABEMA TIMES）,https://news.yahoo.co.jp/articles/d284e935ae62319b53a52e95dd0e7a92b14054cb,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10213186-abemav-000-1-view.png?fmt=jpeg&q=85&exp=10800,2025-12-07T22:00:39+09:00,2025-12-07T22:00:39+09:00,ABEMA TIMES,abema,ABEMA TIMES,1229,"鈴木に水をかけられる鬼木監督
【明治安田J1リーグ】鹿島アントラーズ 2－1 横浜F・マリノス（12月6日/メルカリスタジアム）
【映像】選手乱入！冷水を浴びまくる鬼木監督
鹿島アントラーズの鬼木達監督が、選手たちから“手荒い祝福”を受けて水浸しに。話題となっている。

　鹿島は12月6日、明治安田J1リーグ第38節で横浜F・マリノスとホームで対戦。勝利すれば優勝が決まる大一番を2－1で制し、9年ぶり9度目のJ1リーグ優勝を飾った。

　FWレオ・セアラやFW鈴木優磨、DF植田直通の目にも涙が流れるなど、試合終了直後は感動的なシーンが多く見られた。そんな中でピッチ脇でのフラッシュインタビューに、鬼木監督が登場。スタジアムが大歓声となり、インタビュアーが「おめでとうございます！」と声をかけて話を始めようとしたその時、鬼木監督がビックリした表情で横を見た。

　すると、鈴木がペットボトルを持って乱入。そのまま水をかけると、MF知念慶など他の選手たちも一気に加わり、鬼木監督は文字通りのビショビショ状態となった。そのままの状態でインタビューに臨んだ指揮官は、寒そうな素ぶりを見せながら「もう最高です！」と嬉しそうに叫んだ。

　この乱入シャワー事件については、数時間後に『DAZN』が実施した優勝インタビューでも話題に。話を振られた鈴木は、「僕が（先に）行ったんですけど、知念が行けって。今だって。本当に苦渋の選択でした」とコメント。知念は「嘘つくなって（笑）。こいつが勝手に行きました（笑）」とつっこむと、鬼木監督は「（苦渋の選択に）そんな言葉知ってたんだ？ビチャビチャですよ。冬ですよ？」と笑っていた。
「何でも知念のせいにする鈴木w」の声も
ビショビショになる鬼木監督
この襲撃とインタビューの一部始終はファンの間で話題に。SNSでは「ビジャビシャになってるw」「鬼さんに水かけするゆーま可愛い笑」「鬼さん急に水ぶっかけられるｗ」「知念が鬼木監督にニコニコで水かけてる姿たまらん」「手荒すぎる祝福w」「切り込み隊長な優磨好き笑」「ボス、ヤンチャですいません」「鬼さん愛されてる」「何でも知念のせいにする鈴木w」「苦渋の選択なのにこの笑顔よ…」などと大盛り上がりとなった。

　現在51歳の鬼木監督は、MFだった現役時代に鹿島でプレー（1993〜1999年）。2000年に川崎フロンターレに移籍し、2007年から川崎の育成組織とトップチームでコーチを務めると、2017年にはトップチームの監督に就任。実に4度のJ1リーグ制覇を飾るなど黄金時代を築き上げた。

　2025年には満を辞して監督として鹿島に復帰すると、就任1年目ながらJ1リーグ制覇を成し遂げる。自身の記録を塗り替える歴代最多5度目の優勝にして、複数クラブでリーグ制覇を成し遂げた史上初の指揮官となった

（ABEMA de DAZN/明治安田J1リーグ）
ABEMA TIMES編集部",[],[]
「蹴り上げてるやん！」日本代表FW、“足裏ダブルタックル”で吹っ飛ぶ…「危なすぎる」「怪我させるなよ」一発退場の相手FWにファン怒り（ABEMA TIMES）,https://news.yahoo.co.jp/articles/9a4f6f3932adf793a08b719a453fcad62fe05ddc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10213183-abemav-000-2-view.png?fmt=jpeg&q=85&exp=10800,2025-12-07T21:30:38+09:00,2025-12-07T21:39:15+09:00,ABEMA TIMES,abema,ABEMA TIMES,1067,"危険タックルで吹っ飛ぶ浅野拓磨
【ラ・リーガ】オビエド 0－0 マジョルカ（日本時間12月6日/カルロス・タルティエレ競技場）
【映像】浅野が「足裏ダブルタックル」被害で吹っ飛んだ瞬間
マジョルカに所属する日本代表FWの浅野拓磨が、危険なタックルを受けてピッチ上で悶絶。一度はファウルで処理されたものの直後にVARが介入し、最終的にはレッドカードになったプレーにファンも怒りの声を上げている。

　マジョルカは日本時間12月6日、ラ・リーガ第15節でオビエドと敵地で対戦。ベンチスタートとなった浅野は、ゴールレスで迎えた80分に途中出場した。すると89分、オビエドのMFサンティ・カソルラが一発レッドカードで退場になる。

　さらに、迎えた90＋2分に問題のシーンを迎える。自陣の左サイドを突破されたマジョルカだったが、空中のボールをヘディングで掻き出す。ボックス外にボールがこぼれると浅野が反応し、一瞬の加速で距離を詰めて右足でクリアしようとした。そこへFWフェデリコ・ビニャスのスライディングが深く入る。浅野は空中でバランスを崩してピッチに叩きつけられると、そこから何度も転がって激しく痛がった。

　このプレーに主審は、すぐにホイッスルを鳴らしてプレーを止める。敵地は大きなどよめきが起こったが、このタイミングではカードは提示されず、マジョルカ・ボールでの再開が指示されていた。
VAR介入で判定が覆る
VAR確認を経てビニャスは退場処分に
しかし、直後にVAR（ビデオ・アシスタント・レフェリー）が介入。中継でもリプレイ映像が流れると、ビニャスは左足、続いて右足でいずれも足裏を見せたタックルを放っており、左足が浅野の足首、右足が膝付近にヒット。かなり危険なプレーだったことが発覚した。主審はOFR（オン・フィールド・レビュー）を実施して当該のシーンを確認すると、わずか22秒間の映像チェックでレッドカードの判定に切り替えた。これによりオビエドは、カソルラに続いてビニャスも退場となったのだ。

　この危険プレーには、日本のサッカーファンたちも怒り。SNSでは「浅野大丈夫か…？」「これはえぐい」「おい怪我させるなよ」「また浅野が怪我してしまう」「マジでひやっとしたな」「蹴り上げてるやん」「軽率かつ危なすぎる」などのコメントが目立った。

　足首を痛めた浅野だったが、すぐに立ち上がって試合終了までプレー。なお試合はスコアレスドローで終わっている。

（ABEMA de DAZN/ラ・リーガ）
ABEMA TIMES編集部",[],[]
「そりゃ怒る」鈴木優磨、マリノスDFと一触即発！「またばあちゃんに怒られるぞ」「腕がガッツリ入ってる」ファン騒然（ABEMA TIMES）,https://news.yahoo.co.jp/articles/f370f3c9ba6d26c0667ba3df02e82094cc1d1c81,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10213154-abemav-000-1-view.png?fmt=jpeg&q=85&exp=10800,2025-12-07T21:00:38+09:00,2025-12-07T21:00:38+09:00,ABEMA TIMES,abema,ABEMA TIMES,1148,"一触即発になる鈴木優磨とキニョーネス
【明治安田J1リーグ】鹿島アントラーズ 2－1 横浜F・マリノス（12月6日/メルカリスタジアム）
【映像】激しい接触→突き飛ばしで一触即発
鹿島アントラーズのFW鈴木優磨が、接触プレーから横浜F・マリノスのDFジェイソン・キニョーネスと一触即発に。優勝がかかる大事な試合で、早々にイエローカードをもらったことを受け、両チームのファンも騒然となった。

　鹿島は12月6日、明治安田J1リーグ第38節で横浜F・マリノスとホームで対戦。勝利すれば優勝が決まる大事な一戦で、鈴木は左サイドハーフとしてスタメン出場。すると1点リードで迎えた26分に、自身のプレーが引き金となって荒れた展開に発展した。

　左サイドでボールを受けた鈴木は縦に大きくボールを蹴り出して、マークについたDFジェイソン・キニョーネスを抜き去ろうとする。しかし、相手に腕を使いながらチャージされ、ボールを奪われた。それでも鈴木はすぐに立ち上がると、キニョーネスとボールの間に身体を入れようとした際に、右肘が相手の顔面に直撃。ここで主審のホイッスルが吹かれた。

　スタジアムが騒然とする中、鈴木は主審の判定に納得がいかず右手を振り翳して不満をアピール。するとその背後からキニョーネスが忍び寄り、鈴木を突き飛ばしたのだ。これで両者ヒートアップすると、そこへ横浜FMのMF喜田拓也が仲裁に入り、MF渡辺皓太やFWジョルディ・クルークスらも2人を引き剥がしに入った。
SNSでは様々な意見が飛び交う
激しく競り合う鈴木優磨とキニョーネス
主審は喧嘩両成敗として、両者にイエローカードを提示。鈴木とキニョーネスはお互いに手を差し伸べてその場は収まったが、この一部始終はSNS上で話題となった。ファンからは「そりゃ今日は燃えるよな」「いつも以上に気持ちが入ってるなー」「これくらい熱くプレーできないとだめ」「最初にやらかしてるのはキニョーネスだからな」「突き飛ばされて怒らない選手はいないだろ」など擁護する声が見られる。

　一方で「鈴木の腕がガッツリ入ってるやん」「あぶないよ鈴木」「そりゃキニョーネスも怒るやろ」「荒すぎ」「優勝かかってるとか関係なしに危ないプレー」といった批判的な声、そのほかにも「グランマに怒られるぞ」「またばぁちゃんに怒られるからやめておけ」「熱いのはいいけど冷静にな」など咎める声も目立った。

　結局、鹿島は2ー1で横浜FMを下し、9年ぶり9回目のJ1リーグ制覇を達成。フル出場した鈴木は試合後、横浜FMの選手たちとしっかりと握手を交わし、さらにチームメイトと抱き合って男泣きしていた。

（ABEMA de DAZN/明治安田J1リーグ）
ABEMA TIMES編集部",[],[]
「葬送のフリーレン」指折りの珍場面 シュタルク「おもらしみたい」な黄色いハンカチをフェルンが即拒否する流れが爆笑もの（ABEMA TIMES）,https://news.yahoo.co.jp/articles/f1d5b5331bd74cd0335649f2e8a067f6f1c62062,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10212585-abemad-000-1-view.jpg?exp=10800,2025-12-07T21:00:38+09:00,2025-12-07T21:00:38+09:00,ABEMA TIMES,abema,ABEMA TIMES,1005,"アニメ「葬送のフリーレン」8話場面カット
アニメ「葬送のフリーレン」は、シリアスなやりとりの中に時折混ざるシュールな笑いも魅力のひとつ。第8話では、シュタルク（CV：小林千晃）とフェルン（CV：市ノ瀬加那）が今後の戦いについて真剣に語り合っていたはずが、“おもらし”が流れを変えてしまった……!?
【映像】黄色くなったハンカチを即拒否するフェルン（5分18秒ごろ〜）
魔族のリュグナー（CV：諏訪部順一）たちを攻撃しようとしたせいで、フリーレン（CV：種崎敦美）が牢屋に入れられてしまった。フェルンとシュタルクは、食事をしながら、フリーレンを救うための方法を話し合った。

　シュタルクは、「特にあのリュグナーってやつ、とんでもなく強いぜ」「まだ手の震えが止まらねえよ」と魔族と対峙したときの印象を振り返った。手が震えるせいで飲み物をズボンにこぼしてしまい、「ほら、こぼしておもらしみたいになっちまった」「それほどの相手ってことだ」と吐露した。

　フェルンが「早く拭いてください」と白いハンカチを差し出すと、シュタルクは、それでズボンの股間部を拭いつつ、「こんなところでビビッてたら、師匠に合わせる顔がねえな。行くか！」と覚悟を決めた。黄色く汚れたハンカチを返そうとしたが、フェルンに「そのハンカチあげます」と冷たく拒否されてしまった。

　シリアスとコメディが入り混じるやりとりに、ネット上で「おもらしフキフキでワロタ」「色やめろ!!!おもらしすぎる！」「汚れたまんま返そうとすんなw」と反響が寄せられた。

　アニメ「葬送のフリーレン」は、「週刊少年サンデー」で連載中の原作・山田鐘人氏、作画・アベツカサ氏による同名漫画が原作。魔王が討伐された“その後”の世界を舞台に、1000年以上生きる魔法使いのフリーレンが “人を知るための旅”に出る物語だ。数々の賞を受賞するなど高い評価を得る原作コミックスは、累計発行部数3200万部を突破。2026年1月16日よりテレビアニメ第2期が放送されることが決定している。第2期の放送を記念して、12月18日には、公式ファンブック「フリーレン＆ヒンメルがわかる魔法」と「フェルン＆シュタルクがわかる魔法」が小学館から2冊同時発売される。

※種崎敦美の「崎」は、正式にはたつさきの字
（C）山田鐘人・アベツカサ/小学館/「葬送のフリーレン」製作委員会
アニメフリークス",[],[]
「北斗の拳」“ピプー”と顔がぐにゃぐにゃに！死にゆくザコ、たまらず「ひでぶー」少年心に刻まれたあの音（ABEMA TIMES）,https://news.yahoo.co.jp/articles/3fee3aeaab72588a5c089d7a47753e1a16ad9eb4,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10212882-abemad-000-1-view.jpg?exp=10800,2025-12-07T20:30:38+09:00,2025-12-07T20:30:38+09:00,ABEMA TIMES,abema,ABEMA TIMES,830,"アニメ「北斗の拳」
アニメ「北斗の拳」といえば、「ひでぶー」も良いけど、「ピプー」もね!? 第1話で、主人公・ケンシロウ（CV：神谷明）に秘孔を突かれた敵が爆散するときの独特な効果音が印象に残ったファンは多いはずだ。
【映像】ザコが秘孔を突かれ“ピプー”と爆散する瞬間（20分50秒ごろ〜）
アニメ「北斗の拳」第1話で、ケンシロウは、「あたたたたたた！」と敵の秘孔を激しく突く必殺技「北斗百裂拳」を繰り出した。相手は倒れたものの、それほどダメージを受けなかった様子だ。しかし、「貴様の拳など蚊ほども効かんわ！」と反撃に出ようとしたところで、異変が起きた。

　ケンシロウが「お前はもう死んでいる」と言い放った次の瞬間、敵の顔面がぐにゃっと歪んだ。そして、「おわだぐだでぃび、ひでぶー」と断末魔のセリフを残して爆散。凄惨な光景を目の当たりにした少年・バット（CV：鈴木三枝）は腰を抜かしてしまった。

　原作漫画で、「ひでぶ」と叫んで死ぬのはハート様だが、アニメ版では、このザコ敵が記念すべき初「ひでぶ」を飾っている。声優陣のアドリブもあって、「北斗の拳」にはほかにもユニークな断末魔の叫びが多数出てくるが、「北斗神拳」を食らった敵が爆散するときの「ピプー」という効果音がセットで記憶に残っているファンも多いことだろう。妙にポップな響きには、ショッキングな絵面を中和させる意図があったのかもしれない……？

　アニメ「北斗の拳」は、原作：武論尊氏、漫画：原哲夫氏により「週刊少年ジャンプ」で1983年〜1988年まで連載された大ヒット漫画が原作。暴力が支配する世界で、北斗神拳の伝承者・ケンシロウが愛と哀しみを背負い、救世主として成長していく物語だ。TVアニメや劇場版、脇役たちをフィーチャーした外伝が作られるなど社会現象と言えるブームを巻き起こし、今も熱い支持を集めている。

（C）武論尊・原哲夫/コアミックス・東映アニメーション 1987
アニメフリークス",[],[]
人気日本人美女レスラー、私服風衣装で“ヘソ出し”ルックが大反響！ 圧倒的オーラに「もっと出番増やして」の声（ABEMA TIMES）,https://news.yahoo.co.jp/articles/d64134ced44e20255fdff5d93cac4cfea77c579b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251207-10213163-abema-000-1-view.jpg?exp=10800,2025-12-07T20:00:40+09:00,2025-12-07T20:00:40+09:00,ABEMA TIMES,abema,ABEMA TIMES,532,"ジュリア
復活の狼煙をあげる日本人女子レスラーが“私服風衣装”で新境地を開拓。圧倒的ビジュアルでファンを驚かせている。
【画像】オーラ爆発！ 日本人美女の“ヘソ出し衣装”ショット
WWE女子スーパースターのジュリアが6日、自身のインスタグラムを更新。日本時間の同日に放送されたWWE「SMACKDOWN」にて披露した私服風の衣装で撮影されたポートレートショットを公開した。

　自身が保持していたWWE女子US王座を奪われた因縁の相手、チェルシー・グリーンを襲撃すべく登場したジュリアは、ショート丈のファー付きレザーライダースジャケットにラインストーンが散りばめられたパンツ、トーンを抑えた配色のメッシュヘアーという新ルックを披露。そのビジュアルで強烈なインパクトを残した。

　出番は少なかったものの、圧倒的オーラと印象的な“ヘソ出し”ルックにファンからは「“美しい狂気”が帰ってきた！嬉しい！」「本当にゴージャス」「素晴らしい新ルック！」「もっとWWEで出番が与えられるべき」とコメントが集まっていた。再びタイトル戦線に絡んでいけるか、今後の展開に注目だ。

Ⓒ2025 WWE, Inc. All Rights Reserved
ABEMA TIMES編集部",[],[]
