headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【津波】北海道と青森県・岩手県の太平洋沿岸に津波警報発表 (2025年12月8日午後11時23分)（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/f66262a6cedd9cd90d420318aa747c2f636bd40a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033296-nbnv-000-2-view.jpg?exp=10800,2025-12-08T23:26:02+09:00,2025-12-09T02:38:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,327,"メ～テレ（名古屋テレビ）
2025年12月8日午後11時23分、津波警報が発表されています。


標高の低いところでは津波が襲い、浸水被害が発生します。人は津波による流れに巻き込まれます。
津波は沿岸の地形等の影響により、局所的に予想より高くなる場合があります。ここなら安心と思わず、より高い場所を目指して避難してください。
また津波は長い時間くり返し襲ってきます。津波警報・注意報が解除されるまでは、避難を続けてください。

全国に発表されている情報は以下の通りです。
【津波警報】
北海道太平洋沿岸中部 青森県太平洋沿岸 岩手県
【津波注意報】
北海道太平洋沿岸東部 北海道太平洋沿岸西部 青森県日本海沿岸 宮城県 福島県


提供：ウェザーニューズ",[],[]
【地震】愛知県、岐阜県、三重県で震度1　青森県東方沖を震源とする最大震度6強の地震　津波警報発表（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/6b96568d8dbf263acdf921d1a834edc3449207c5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033295-nbnv-000-3-view.jpg?exp=10800,2025-12-08T23:22:01+09:00,2025-12-09T02:41:02+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,623,"メ～テレ（名古屋テレビ）
2025年12月8日午後11時15分ごろ、青森県東方沖を震源とする最大震度6強の地震が発生しました。
愛知県、岐阜県、三重県内で震度1の揺れが観測されています。



最大震度6強を観測したのは青森県です。
津波警報（津波警報あるいは津波注意報）を発表中です。

震源の深さは50km。地震の規模を示すマグニチュード（M）はM7.6と推定されます。

愛知県
【震度1】
 名古屋千種区 名古屋北区 名古屋昭和区 名古屋瑞穂区 名古屋熱田区 名古屋港区 名古屋守山区 知立市 愛西市 弥富市 愛知みよし市 東郷町 蟹江町 飛島村 東浦町

岐阜県
【震度1】
 中津川市 海津市 輪之内町

三重県
【震度1】
 桑名市 木曽岬町 川越町

全国で震度5弱以上を観測した地域は以下です。
【震度6強】
青森県：八戸市
【震度6弱】
青森県：おいらせ町 階上町
【震度5強】
青森県：野辺地町 七戸町 東北町 五戸町 青森南部町 むつ市 東通村
北海道：函館市
岩手県：軽米町 一戸町
【震度5弱】
青森県：三沢市 六戸町 横浜町 六ヶ所村 三戸町 五所川原市 つがる市 平内町 外ヶ浜町 鶴田町
北海道：新篠津村 千歳市 南幌町 苫小牧市 白老町 厚真町 安平町 むかわ町 新冠町 新ひだか町 浦河町 様似町 浦幌町 十勝大樹町
岩手県：盛岡市 二戸市 八幡平市 滝沢市 久慈市
宮城県：登米市

提供：ウェザーニューズ",[],[]
【津波】津波注意報発表。 (2025年12月8日午後11時17分)（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/56b944dd2d9a5e2c04d830bb08bdb3d186e74486,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033294-nbnv-000-1-view.jpg?exp=10800,2025-12-08T23:19:01+09:00,2025-12-08T23:19:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,186,"メ～テレ（名古屋テレビ）
2025年12月8日午後11時17分、津波注意報が発表されています。
海の中にいる人はただちに海から上がり、海岸から離れてください。
津波注意報が解除されるまで海にはいったり海岸に近づいたりしないでください。

全国に発表されている情報は以下の通りです。
【津波注意報】
北海道太平洋沿岸中部 青森県太平洋沿岸 岩手県


提供：ウェザーニューズ",[],[]
金属ごみを持ち去ろうとした女に注意…車を急発進し逃走　公務執行妨害容疑で逮捕　愛知・日進市（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/6286175e229a1e03f3f1eea80642a5d140da0d59,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033293-nbnv-000-2-view.jpg?exp=10800,2025-12-08T23:11:01+09:00,2025-12-08T23:14:02+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,375,"愛知県警愛知警察署
金属ごみを持ち去ろうとするのを注意した市役所職員に危険な行為をしたとして、49歳の女が逮捕されました。


　公務執行妨害の疑いで逮捕されたのは、愛知県瀬戸市の中国籍の女(49)です。

　警察によりますと、女は8日朝、愛知県日進市の路上にあるごみ集積所で金属ごみを持ち去ろうとし、日進市役所の男性職員(30)に注意されました。

　女はワゴン車に乗り込んで急発進し、止めようと立ちはだかった職員にぎりぎりまで接近して逃げたということです。

　男性職員にけがはありませんでした。

　日進市にはごみの持ち去りを禁止する条例があり、男性職員は違反行為の警戒をしていたということです。

　女はこれまでもごみを持ち去ろうとしていたことがあったといい、警察の調べに「私がやったことに間違いありません」と容疑を認めているということです。",[],[]
愛知・小牧市の20代姉妹がはしかに感染　名古屋の地下鉄など利用　県は予防接種を呼びかけ（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/6b2f2c55d136dabbc79d7aeff36032deb3ab415e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033292-nbnv-000-2-view.jpg?exp=10800,2025-12-08T21:35:01+09:00,2025-12-08T22:14:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,511,"愛知県庁
愛知県小牧市で、20代の姉妹がはしかに感染したことがわかりました。
他の人に感染させる恐れがある時期に、名古屋の地下鉄などを利用していたということです。


　愛知県によりますと、小牧市内に住む姉妹は3日に発熱し、市内の医療機関を受診しましたが、はしかとは診断されませんでした。

　その後、6日から7日にかけて咳や発疹などの症状が出て、市内の別の医療機関を受診したところ、8日になって、はしかに感染していることが確認され、入院したということです。

　2人は、はしかの予防接種を受けていませんでした。

　同居する家族には、今のところ感染は確認されていないということです。

　県によると、2人が他の人に感染させる恐れがある期間、姉が2日と3日に名鉄小牧線や名古屋市営地下鉄東山線・名城線などを利用し、名古屋市中区の商業施設に立ち寄っていました。また、妹も名古屋市中区の商業施設や名古屋市北区の飲食店を利用していたということです。

　愛知県内のはしかの感染は今年に入って18・19例目です。

　県は、はしかの予防接種を受けるほか、発熱や全身の発疹などの症状があったら医療機関を受診するよう呼びかけています。",[],[]
麻薬を粉ミルクに混ぜて中部空港から密輸しようとした疑い、ベトナム国籍の男を告発　名古屋税関（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/8fedb1b2f0121988b50e362b0d4e7a5a233306fa,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033291-nbnv-000-2-thumb.jpg?exp=10800,2025-12-08T20:33:01+09:00,2025-12-09T00:01:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,302,"メ～テレ（名古屋テレビ）
麻薬のケタミンを粉ミルクに混ぜて海外から不正に輸入しようとしたとして、岐阜県高山市のベトナム国籍の男が告発されました。


　関税法違反の疑いで岐阜地検に告発されたのは、岐阜県高山市に住む自称解体作業員のベトナム国籍の男(24)です。

　名古屋税関によりますと、男は今年10月、他の者と共謀し、粉ミルクにケタミンを混入させて、イギリスからの国際宅配便で中部空港から輸入しようとした疑いがもたれています。

　宅配便の宛先は高山市内の自宅となっていて、空港の税関職員による貨物検査で
発見されたということです。

　男は在留資格が切れており、不法残留となっているということです。",[],[]
教師グループによる盗撮事件　横浜市の元小学校教師の男　7回目の逮捕（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/a1f4704f0447f84fa740afd191f114a33e0901c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033290-nbnv-000-1-thumb.jpg?exp=10800,2025-12-08T19:17:01+09:00,2025-12-08T19:17:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,321,"メ～テレ（名古屋テレビ）
教師グループによる盗撮事件で横浜市の元小学校教師の男が7回目の逮捕です。


　不同意わいせつなどの疑いで再逮捕されたのは横浜市の元小学校教師、小瀬村史也容疑者（37）です。

　警察によりますと、小瀬村容疑者は去年から今年にかけて神奈川県内の施設で、13歳未満の女児に小瀬村容疑者の身体を触らせるわいせつな行為をさせ、その様子を撮影し児童ポルノを製造したなどの疑いが持たれています。

　小瀬村容疑者は「一部覚えていない部分もあるがわいせつな行為をし撮影したことには間違いない」などと供述しています。

　小瀬村容疑者は今回で7回目の逮捕となり女児の下着を盗撮したなどの罪で6回起訴されすでに裁判が始まっています。",[],[]
面会中の人物を通じていとこに証拠隠滅を依頼か　証拠隠滅教唆の疑い　男を再逮捕（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/b55c7f79165b7b65a7bec1b95c172f9360122d75,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033289-nbnv-000-1-thumb.jpg?exp=10800,2025-12-08T19:13:01+09:00,2025-12-08T19:13:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,321,"メ～テレ（名古屋テレビ）
麻薬取締法違反事件の容疑者の男が、いとこに証拠隠滅を図る依頼をしたとして再逮捕されました。


　証拠隠滅教唆の疑いで再逮捕されたのは、野口隆希容疑者（25）です。

　警察によりますと麻薬取締法違反事件で逮捕・勾留されていた野口容疑者は7月、愛知県内の留置施設で面会中の人物を通じていとこの裕樹容疑者（26）に証拠隠滅を依頼し、実行させた疑いが持たれています。

　裕樹容疑者は証拠隠滅の疑いで逮捕されました。

　この事件の翌日野口容疑者はコカインを使用した疑いで再逮捕されていますが、裕樹容疑者を使って事情を知らずにコカインを服用したように装ったとみられています。

　警察は2人の認否を明らかにしていません。",[],[]
川で友人を溺死させた疑いで書類送検された少年3人を不起訴処分　津地検（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/05018a939c2428c6707a8674d988c759ed47a683,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033288-nbnv-000-1-view.jpg?exp=10800,2025-12-08T18:16:01+09:00,2025-12-08T18:16:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,320,"津地検
三重県桑名市の揖斐川で友人の当時17歳の男子高校生を溺死させたとして、書類送検された少年3人について、津地方検察庁は不起訴処分としました。


　警察によりますと2024年4月、桑名市の揖斐川で友人3人と川に飛び込んで遊んでいた桑名市の男子高校生（当時17歳）が溺れて死亡しました。

　この事案をめぐって遺族からの告訴を受けた警察が、男子高校生を溺死させたとして、2024年11月、友人の少年3人を過失致死の疑いで、書類送検していましたが、津地検は、8日付で3人を不起訴処分（嫌疑不十分）としました。

　不起訴の理由について、津地検は「関係各証拠を精査した結果犯罪の成立（過失や違法性）を認定することは困難だった」としています。",[],[]
東邦ガスの養殖サーモン「知多クールサーモン」来年は出荷量倍増へ　水槽の稼働増やし対応（メ〜テレ（名古屋テレビ））,https://news.yahoo.co.jp/articles/53ea46c646d5e1189625a86ac2b89a608cdfad01,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-90033286-nbnv-000-1-thumb.jpg?exp=10800,2025-12-08T17:18:01+09:00,2025-12-08T17:18:01+09:00,メ〜テレ（名古屋テレビ）,nbn,メ?テレ（名古屋テレビ）,499,"メ～テレ（名古屋テレビ）
東邦ガスが今年から出荷を始めた養殖サーモン。来年は今年の倍以上の出荷量を目指します。


　東邦ガスは愛知県知多市の工場内で、ガスの製造過程で生じる冷たい海水を利用し、サーモンの養殖を事業として行っています。

　「知多クールサーモン」のブランド名で、今年は20トンが愛知県などの市場に出荷されました。

　来年の出荷量は今年の倍以上の40トンから60トンを目指します。

　来年5月ごろの出荷に向け、水槽の稼働をこれまでの5基から7基に増やし、約3万5000匹のサーモンを養殖しています。

「出荷量が増えることで、より多くの人に届けることができると思っています。養殖特有の匂いがなくさっぱりとした脂乗りで食べやすいとの声をもらった。始めたばかりの取り組みなので地域の人に『知多クールサーモン』を認知してもらい、実際に食べてもらえる機会を増やしていきたい」（東邦ガス 事業開発部 木村徳博 次長）

　海水の温度が高い夏場では、サーモンの養殖が難しいと言われていますが、東邦ガスは、夏に海水をさらに冷やす設備を導入し、夏以降もサーモンを出荷していく予定だということです。",[],[]
