headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
【青森県で震度6強】高市首相、首相官邸入り（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/3d93ce8f5bebfc50b452f4eebecca5c44390bbaf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-08T23:59:00+09:00,2025-12-08T23:59:00+09:00,日テレNEWS NNN,nnn,日テレNEWS,127,"高市総理大臣は午後11時50分すぎに総理大臣官邸に入りました。

高市総理は「ただちに国民に対して津波避難の情報を適時的確におこなうこと」「早急に被害状況を把握すること」「人命第一で政府一体となって災害応急対策にとりくむことを指示しました」と述べました。",[],[]
【青森県で震度6強】東通原発、女川原発で状況を確認中（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/1b380982051484fc9906137728d21626d687341e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-08T23:57:01+09:00,2025-12-09T00:09:31+09:00,日テレNEWS NNN,nnn,日テレNEWS,236,"今回の地震による原発の状況です。

東北電力によりますと、青森県東通村にある東通原子力発電所と宮城県女川町と石巻市にまたがる女川原子力発電所について、地震による異常がないか、現在状況を確認中だということです。
【緊急ライブ】青森で震度6強の地震 　青森・岩手・北海道に津波警報
青森県六ヶ所村にある日本原燃の原子力施設についても、現在状況を確認中だということです。

また、北海道電力によりますと、北海道泊村にある原子力発電所についても、現在状況を確認中だということです。",[],[]
青森・むつ小川原港で0.4メートルの津波観測（23:48）（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/c364abff1b5d9908d467f48f38e6e610ba519b2c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-01422553-nnn-000-4-thumb.jpg?exp=10800,2025-12-08T23:55:00+09:00,2025-12-09T00:15:37+09:00,日テレNEWS NNN,nnn,日テレNEWS,313,"日テレNEWS NNN
気象庁によりますと午後11時48分までに観測された津波の時刻と高さは次の通りです。
【緊急ライブ】青森で震度6強の地震 　青森・岩手・北海道に津波警報
青森・むつ小川原港では午後11時43分に0.4メートル。

北海道・室蘭港では現在、欠測しています。つまり、正常に観測できていません。

青森・むつ市関根浜では現在、欠測しています。つまり、正常に観測できていません。

場所によっては検潮所で観測される津波よりも大きな津波が到達する可能性もあります。

今後、津波の高さはさらに高くなることも考えられます。

津波による潮位変化が観測されてから最大波が観測されるまでに数時間以上かかることがあります。",[],[]
【青森県で震度6強】政府、官邸対策室を設置　総理官邸に赤間防災担当相が入り情報収集（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/cf66f18d1640b37232b1e048c840390581a93645,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-08T23:52:01+09:00,2025-12-09T00:03:35+09:00,日テレNEWS NNN,nnn,日テレNEWS,215,"政府の対応です。

青森での地震を受けて政府は総理官邸の危機管理センターに午後11時16分に官邸対策室を設置して情報収集にあたっています。
【緊急ライブ】青森で震度6強の地震 　青森・岩手・北海道に津波警報
高市総理大臣も赤坂宿舎からまもなく総理官邸に入り対応にあたる予定です。

総理官邸には赤間防災担当相が入り情報収集をおこなっています。

木原官房長官がこのあと記者会見を開き被害の状況や政府の対応について説明する予定です。",[],[]
青森・東通原発は状況確認中（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/eb06955664965d3c96c4357c2323bcae8cc0b931,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-08T23:50:00+09:00,2025-12-09T00:06:30+09:00,日テレNEWS NNN,nnn,日テレNEWS,81,"原発の状況です。東北電力によりますと、青森県東通村の東通原発は、状況を確認中だということです。
【緊急ライブ】青森で震度6強の地震 　青森・岩手・北海道に津波警報",[],[]
青森東方沖30キロで第1波を観測（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/ceeffb6b5a57699633a672391ed14daac938496d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-04116618-nnn-000-6-thumb.jpg?exp=10800,2025-12-08T23:47:01+09:00,2025-12-09T00:13:36+09:00,日テレNEWS NNN,nnn,日テレNEWS,166,"日テレNEWS NNN
気象庁によりますと午後11時37分までに沖合で観測された津波は次の通りです。

青森東方沖30キロ（A）では午後11時19分に第1波を観測した後、午後11時37分現在、高さは観測中。
【緊急ライブ】青森で震度6強の地震 　青森・岩手・北海道に津波警報
沖合での観測値であり、沿岸では津波はさらに高くなります。",[],[]
青森県で震度6強　東北新幹線・北陸新幹線の一部区間で運転見合わせ（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/1c3d7eee2137569d9ac7e316fd12c8d0681fbefc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251208-01752263-nnn-000-3-thumb.jpg?exp=10800,2025-12-08T23:40:00+09:00,2025-12-09T00:02:44+09:00,日テレNEWS NNN,nnn,日テレNEWS,200,"日テレNEWS NNN
JR東日本によりますと青森県で震度6強を観測した地震の影響で、東北新幹線は福島駅から新青森駅の上下線、北陸新幹線は軽井沢駅から東京駅間の上り線で運転を見合わせています。
【緊急ライブ】青森・岩手・北海道に津波警報　青森で震度6強の地震── （日テレNEWS LIVE）
東北新幹線は運転再開見込みはたっていませんが、北陸新幹線は午前0時40分に運転再開見込みだということです。",[],[]
北海道・東北地方で震度6強　青森太平洋沿岸などに津波警報（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/4e2d58a228bf155caca269f3d852be5c56cbbe28,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-08T23:38:01+09:00,2025-12-08T23:47:34+09:00,日テレNEWS NNN,nnn,日テレNEWS,469,"速報です。午後11時すぎ、北海道・東北地方で震度6強の地震がありました。

この地震で気象庁は、青森太平洋沿岸、岩手県、北海道太平洋中部に津波警報を発表しました。沿岸部や川沿いにいる人は、ただちに高台や避難ビルなど安全な場所へ避難してください。
【緊急ライブ】青森で震度6強の地震 　青森・岩手・北海道に津波警報
気象庁によりますときょう午後11時ごろ北海道・東北地方で震度6強の地震がありました。

この地震で気象庁は、青森太平洋沿岸、岩手県、北海道太平洋中部に津波警報を発表しました。

津波注意報から警報に変わっています。沿岸部や川沿いにいる人は、ただちに高台や避難ビルなど安全な場所へ避難してください。

予想される高さは3メートルです。

また、津波注意報が出ているのは北海道太平洋西部、北海道太平洋東部、宮城県、青森日本海沿岸、福島県です。

震源は青森県東方沖、地震の大きさはマグニチュード7.6、震源の深さは50キロと推定されます。

気象庁はこのあと、午前1時15分から会見を行い、津波の注意事項について説明を行います。",[],[]
一時運転見合わせの上越新幹線と北陸新幹線、午後10時半すぎに運転再開（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/655677d6742cb3e226b3b527ad2cb362638418ae,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-08T23:36:00+09:00,2025-12-08T23:36:00+09:00,日テレNEWS NNN,nnn,日テレNEWS,310,"埼玉県の熊谷駅構内で人が線路に降りる様子が確認された影響で上越新幹線と北陸新幹線が一部区間で運転を見合わせていましたが、午後10時半すぎに運転を再開したということです。

JR東日本によりますと、午後8時ごろ、埼玉県の熊谷駅構内のホームの監視カメラに人が線路に降りる様子が確認されました。

その影響で、一時、上越新幹線は東京駅から越後湯沢駅まで、北陸新幹線は東京駅から長野駅まで、それぞれ上下線で運転を見合わせていましたが、午後10時半すぎに上下線ともに運転を再開したということです。

ただ、一部区間では速度を落として運転しています。

ホームに立ち入ったとみられる人については、まだ見つかっていないということです。",[],[]
NHK次期会長に任命決定の井上樹彦氏「総力戦で立ち向かっていきたい」（日テレNEWS NNN）,https://news.yahoo.co.jp/articles/ed833b01ca3cd6246d3f9ee3629084040070509d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-08T23:33:00+09:00,2025-12-08T23:33:00+09:00,日テレNEWS NNN,nnn,日テレNEWS,208,"NHKは経営委員会で次の会長に、現在NHKの副会長をつとめる井上樹彦氏を任命することを決定しました。

井上氏は福岡県出身の68歳で1980年にNHKに入局、政治部長や編成局長を歴任し、2023年から現在まで副会長をつとめています。NHK内部出身者の会長はおよそ18年ぶりで、任期は来年1月25日からの3年間です。

井上氏は「経営陣を一つのチームととらえ、難題に総力戦で立ち向かっていきたい」とコメントしています。",[],[]
