headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
幼い頃から虐待を受けガリガリに…保護犬2匹を待っていたのは頼りがいある“先輩犬”　お散歩も優しくリード　（福井テレビ）,https://news.yahoo.co.jp/articles/8a6a046b28322b3e4c3e6cad5d38a8c31901103f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014778-ftb-000-1-thumb.jpg?exp=10800,2025-12-12T19:15:02+09:00,2025-12-12T19:15:02+09:00,福井テレビ,ftb,福井テレビ,543,"福井テレビ
愛LOVEアニマルのコーナーでは今回、面倒見のいい先輩犬と3匹の元保護犬を紹介します。優しい先輩犬と飼い主の愛情で、保護されたワンコたちも少しずつ心を開いているようです。
　　
福井市の羽生田さんのお宅では、4匹のワンコが暮らしています。

一番の先輩は、シェットランドシープドッグの天馬くん。生後2カ月で迎えました。
　　
そして、天馬くんの弟分として3カ月ほど前に迎えたのが、元保護犬の星絆くんです。
　
天馬くんは、遊び相手ができてとっても嬉しそう。
　
10月に迎えたばかりなのが、元保護犬のひなたちゃんときらりちゃんです。2匹は幼い頃からひどい虐待を受けて育ち、特にきらりちゃんはガリガリに痩せていました。
　　
いまでは、羽生田さんのお世話の甲斐あって、食べる量も少しずつ増えています。

4匹揃ってのお散歩では、先輩として“手本”を見せる天馬くん。星絆くんのリードをくわえ、しっかり指導しています。
　
ひなたちゃんもきらりちゃんも元気いっぱい！羽生田さんの畑をドッグラン代わりに走り回ります。
　
「遊ぼう」と誘われ、うれしそうなひなたちゃん。きらりちゃんも穴を掘って大騒ぎ。
　
新しい家族の元で、傷ついたワンコたちも少しずつ心を開いています。
福井テレビ",[],[]
「センターコートに立ち日本一に」　春高バレー男女代表・工大福井高校が意気込み　1月5日開幕（福井テレビ）,https://news.yahoo.co.jp/articles/38e3fb4aaaf183b2868260baf3b956836fcf8335,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014785-ftb-000-1-view.jpg?exp=10800,2025-12-12T18:50:01+09:00,2025-12-12T18:50:01+09:00,福井テレビ,ftb,福井テレビ,426,"福井テレビ
1月に東京で行われる春の高校バレーに県代表として出場する福井工大付属福井高校の男女それぞれのチームのキャプテンらが12日に福井テレビを訪れ、大会への意気込みを語りました。
　　　　　　　　　
福井テレビを訪れたのは、工大福井バレーボール部の男子の副キャプテン代継羽陽選手と女子のキャプテン白鳥沙和選手です。
　　
男子の代継副キャプテンは「自分にとって最後の年なので、自分の代で勝てるようにしっかり練習に励みたい。センターコートに立って、勝って日本一になることが目標」と語り、女子の白鳥キャプテンは「一試合目は、みんな緊張して固くなると思うが、リラックスして自分たちのプレーをしたい。一戦一戦楽しみながら戦いたい」と力強く意気込みを語りました。
　　
春の高校バレーは1月5日から東京体育館で行われ、工大福井は、男子が2回戦からの登場で福島県の郡山北工業と岡山県の岡山東商業の勝者と、女子は1回戦で群馬県の高崎女子と対戦します。
福井テレビ",[],[]
おおい町長選挙に現職の中塚寛氏が4選目指し立候補を表明　来年3月24日告示、29日投開票（福井テレビ）,https://news.yahoo.co.jp/articles/3dd8f281b634353a877a7b45b0a2fb347258d676,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014789-ftb-000-1-view.jpg?exp=10800,2025-12-12T18:45:02+09:00,2025-12-12T18:45:02+09:00,福井テレビ,ftb,福井テレビ,247,"福井テレビ
任期満了に伴う来年3月のおおい町長選挙に、現職の中塚寛町長が立候補する意向を表明しました。
　　
おおい町の中塚寛町長は12日に開かれた町議会の一般質問で「広くおおい町の各界・各層の賛同と支援をいただけるなら4期目の町政運営にチャレンジしたい」と答弁し、来年3月の町長選挙に立候補する考えを表明しました。
　　
中塚氏は66歳で2014年に初当選し、現在3期目です。
　
おおい町長選挙は来年3月24日告示、29日投開票で、今のところ中塚氏以外に出馬の動きはありません。
福井テレビ",[],[]
【福井県知事選挙】越前市長の山田賢一氏が出馬に向け週明けにも市議会に説明へ（福井テレビ）,https://news.yahoo.co.jp/articles/c5bc0f852c89c8148fa8d151f691a8b9bf8cbea9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014787-ftb-000-3-view.jpg?exp=10800,2025-12-12T18:15:01+09:00,2025-12-12T19:19:01+09:00,福井テレビ,ftb,福井テレビ,340,"福井テレビ
杉本前知事の辞職に伴い1月に行われる福井県知事選挙に、越前市長の山田賢一氏が出馬に向け、週明けにも越前市議会に説明することが分かりました。
　
県議会の最大会派・自民党福井県議会は10日、知事選挙に越前市長の山田氏を擁立することを決め、会派の会長らが山田氏に立候補を要請しました。
　
関係者によりますと、山田氏は出馬に向けて、週明けにも越前市議会の全議員に説明する予定です。
　
山田氏は越前市出身の67歳で、京都大学を卒業後、県の総務部長や副知事などを歴任。2021年の越前市長選に初当選し、今年10月に無投票で再選を果たしました。
　
知事選挙は来年1月8日告示、25日投開票です。
　
知事選挙には現時点で共産党の金元幸枝氏が出馬を表明しています。
福井テレビ",[],[]
来年度の認可着工は困難　北陸新幹線「敦賀－新大阪」　与党PTで自民党渡海氏「去年より前に進むのは難しい」　維新はルート8案を提示（福井テレビ）,https://news.yahoo.co.jp/articles/3950cd879edd6806632697d5fea201e01ba507f6,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014779-ftb-000-1-view.jpg?exp=10800,2025-12-12T17:31:01+09:00,2025-12-12T17:31:01+09:00,福井テレビ,ftb,福井テレビ,724,"福井テレビ
自民党と日本維新の会は12日、新たに編成した与党整備新幹線建設推進プロジェクトチームの初会合を開きました。北陸新幹線・敦賀ー新大阪間については維新の提案でルートの再検証が浮上する中、来年度中の認可着工は見送られることが確実となりました。
　
一方、プロジェクトチームの下に北陸新幹線の整備委員会を設置することで合意し、敦賀ー新大阪間のルートなどを議論することになりました。
　
自民党と日本維新の会は12日に国会内で、高市政権が発足してから新たに編成されたメンバーによる与党整備新幹線建設推進プロジェクトチームの初会合を開きました。
　
このうち、北陸新幹線・敦賀ー新大阪間について日本維新の会から党内でまとめた8つの延伸ルート案が自民党に提示されました。
　
今後、プロジェクトチームの下に整備委員会を設置し、その中でルート案を検討することで合意しました。
　
終了後、共同座長を務める自民党の渡海紀三朗氏は敦賀ー新大阪間について「これから議論が始まるわけですから、具体的に去年より前に進むと言う風にはなかなか難しい」と述べ、福井県側が強く求めている来年度の認可・着工は困難との考えを示しました。
　
一方、共同座長を務める日本維新の会の前原誠司氏は「どのルートについてもニュートラルで議論していきたい。我々の考え方も対等に議論の俎上に載せていただくという意味でお願いした」と述べ、委員会で検証・議論することを求めました。
　
ただ、公明党との連立時代に小浜ー京都ルートを決定した自民党の渡海氏は、維新側が提案する延伸案の扱いについて明言を避けました。
　　
北陸新幹線の整備委員会は週明け15日に初回の会議が開かれます。
福井テレビ",[],[]
「レベル4」自動運転の“移動サービス”普及なるか　永平寺町で国が実証実験も「生活の足としては物足りない」住民の声　観光での利用策も模索　（福井テレビ）,https://news.yahoo.co.jp/articles/c1ecc93a8b1d8a92bba29a42efa22ebc8501e925,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014784-ftb-000-2-thumb.jpg?exp=10800,2025-12-12T17:30:02+09:00,2025-12-12T18:45:02+09:00,福井テレビ,ftb,福井テレビ,1415,"福井テレビ
永平寺町の道路では7年前から、国が車両の自動運転の普及を目指して実証実験を行っています。これに合わせて永平寺町は、自動運転をより多くの人に利用してもらおうと取り組みを進めているものの、課題もあるようです。自動運転車を使った移動サービスの現状を取材しました。
　
大本山永平寺につながる遊歩道。2018年から、この道で自動運転の普及を目指した国の実証実験が行われていて、2020年からはその一環として永平寺町は「住民の足になれば」と、地域資源を活用した事業を行うまちづくり会社と共同で、自動運転車での移動サービスを始めました。
　
永平寺町総合政策課の山村徹さんは「自動運転をきっかけに町外からも色んな人が来たり、全国のメディアに取り上げられたり、移動以外の部分も含めて地域に色んな効果を生んでいる」と話します。
　
しかし課題も。
　
今年は11月30日に最後の運行が行われ冬の運休に入りましたが、2020年のサービス開始以降、利用者の数が伸びていないのです。
　
山村さんは「停留所から病院や買い物に行く移動手段がなく、現状では住民が生活の足に使うには物足りないという声が上がっている」とします。
　　　
実は、移動サービスを行っているのは、遊歩道約6キロのうち、わずか2キロ。特定の条件下ですべての運転操作を自動で行う「レベル4」の自動運転区間だけです。
　　
残る4キロの区間は、他の道路と交差する地点の安全性など技術的な課題があり、運転の一部しか自動にならない「レベル2」に留まっているからです。
　
「レベル4で全線の6キロを走れるような車両の開発を、運行を担うまちづくり会社が国と相談している」と山村さん。
　　
そうした中、今年は利用者を増やそうと7月に新たなサービスを始めました。映像で、乗客に永平寺町の名所を紹介するサービスです。
　　
山村さんは今後について「自動運転が移動手段としてだけでなく、自動運転に乗ることで得られるサービスそのものが目的になるような取り組みをしたい。自動運転の車内でサービスを受け、移動もできていたという状況に持っていけたら」と話します。
　　
実際に、利用客からは「移動時間が気にならない」「観光情報が分かりやすい」といった声が聞かれたといいます。
　　
同時に、安全性の向上に向けても改良が進められていて、2023年には、自動運転車が道に停められた自転車に接触する事故もありましたが、車に搭載されているＡＩカメラの学習量を増やして再発防止に努めたということです。
　　
国は「レベル4」自動運転の移動サービスを普及させ、ドライバー不足などの社会課題の解決を目指しています。
　
そのためにも町は、より多くの人に選ばれる移動サービスを展開したいと考えています。
　　
「永平寺町で作ったモデルが全国の他の地域に波及し、他の地域に役立つものになるよう、国と一緒にこれからも取り組んでいきたい」（山村さん）
　
この移動サービスは、2026年3月に再開する予定で、国や町は技術開発とサービスの双方に目を向け、来年も自動運転がもつ可能性を探ります。
　　　
現在、国から「レベル4」自動運転の許認可が下りているのは、全国で永平寺町を含めた9つの地域のみ。自動運転の移動サービスを全国に広げるには、現在行われている実証実験を通して先行事例を作っていくことが大切です。
福井テレビ",[],[]
【速報】国道8号の車線規制が全面解除　大型トレーラー単独事故で信号機が倒壊　約9時間半にわたり「問屋団地口－米松」間で車線規制（福井テレビ）,https://news.yahoo.co.jp/articles/89274b64e22a92c1d52aaba79a7dcf772b8178c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014788-ftb-000-2-view.jpg?exp=10800,2025-12-12T16:50:01+09:00,2025-12-12T16:56:02+09:00,福井テレビ,ftb,福井テレビ,261,"福井テレビ
大型トレーラーの単独事故による影響で、福井市の国道8号「問屋団地口－米松」間で車線規制が行われていましたが、午後4時にすべて解除されました。
　
事故は、福井市の国道8号の南四ツ居交差点で12日未明、荷物を搬送中の大型トレーラーが国道8号を金沢方面に北進していたところ、交差点の北西角の信号機や付近の道路標識などに接触し、信号機が倒壊しました。
　
「問屋団地口－米松」間では午前6時40分頃から北進車線が通行止めとなり、その後も車線規制が続いていましたが、事故処理が終わったとして解除されました。
福井テレビ",[],[]
北陸新幹線「東京ー福井間」が“最速”の2時間40分台に　富山発の敦賀行き「つるぎ」は午後9時台を増便　JR西日本の3月ダイヤ改正（福井テレビ）,https://news.yahoo.co.jp/articles/4403c95e4ec6c51e1817fca1a1d318c955040547,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014781-ftb-000-1-view.jpg?exp=10800,2025-12-12T16:31:01+09:00,2025-12-12T16:31:01+09:00,福井テレビ,ftb,福井テレビ,344,"北陸新幹線「かがやき」
JR西日本金沢支社は12日、来年春のダイヤ改正を発表しました。北陸新幹線「かがやき」で東京ー福井間の最速の便の所要時間が初の2時間40分台になります。このダイヤ改正は、来年3月14日です。
　　
ダイヤ改正のうち、北陸新幹線「かがやき」で東京を朝7時台に出発する便の福井までの所要時間は、現行の2時間51分から2分間短縮され、初の2時間40分台となります。東京ー敦賀間は3時間8分から3時間6分へと短縮します。
　　　
また、東京から敦賀方面の最終便「かがやき」は、東京の出発時間がこれまでより4分遅い午後8時になります。
　　
一方、通勤通学客の利便性を高めるため、北陸新幹線「つるぎ」は平日は毎日、富山駅発敦賀駅行きの午後9時台の列車を増便します。
福井テレビ",[],[]
レッドソックスの吉田正尚選手が地元・福井で子供たちに野球指導　WBC出場へ意欲語る（福井テレビ）,https://news.yahoo.co.jp/articles/7c370429a72b2674cc704aebc4c0143b76f8bc8f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014782-ftb-000-1-view.jpg?exp=10800,2025-12-12T16:00:02+09:00,2025-12-12T16:00:02+09:00,福井テレビ,ftb,福井テレビ,1060,"バッティングを披露する吉田選手
福井市出身でメジャーリーグのボストン・レッドソックスに所属する吉田正尚選手が、11日に永平寺町で開かれた野球教室にゲストとして招かれ、小学生たちと触れあいました。また、来年3月のワールドベースボールクラシックの出場への意欲も示しました。
福井市出身の山田修義選手、山崎颯一郎投手、杉本裕太郎選手ら5人
永平寺町で開かれた野球教室にゲストとして登場したのは、ボストン・レッドソックスの吉田正尚選手や、オリックス時代の吉田選手のチームメートである福井市出身の山田修義選手、山崎颯一郎投手、杉本裕太郎選手ら5人です。
　　
この野球教室は、去年に続いて2回目の開催で、永平寺町を中心に県内の野球チームに所属する小学生30人余りが参加し、吉田選手らは、実演を交えながら子どもたちにバッティングやピッチングのアドバイスをしました。
　
山崎颯一郎投手：
「キャッチボールの時からグローブを残すような意識をもって投げるといい」
　
子供たちは「かっこいい。教わったことを生かしてチームのエースになって活躍したい」などと話していました。
　
吉田選手から褒められた児童は「嬉しい。言われた通りにセンター方向を意識したい。この体験を忘れずもっと真剣に練習していきたい」と意欲を燃やしていました。
目を輝かせる子供たち
最後は、吉田選手がバッティングを披露すると、子供たちは「えぐい。ボールが割れる！」「打球の伸び具合が凄い」と驚いていました。
　　　
メジャー3年目のシーズンを終えた吉田選手。今年は右肩のけがの影響で出遅れ、55試合の出場にとどまりましたが、自身メジャー初のポストシーズンで逆転のタイムリーヒットを放つなど活躍を見せました。
　
吉田選手は今シーズンを振り返り「けがもあってトータルで見ると思うようなシーズンではなかったが、後半のような活躍をしっかり一年間戦えるように、またオフから準備したい」と来季への意欲を語りました。
　　　
また、来年3月に開かれる国際大会「ワールドベースボールクラシック」については「まだ特に動きはないが…もちろん国を代表して戦うわけなので、いい準備ができたら。ただ、どうなるかは全く分からない」と話しました。
　　
最後にメジャーリーグ4年目のシーズンに向けて「来年4年目になるが、1年間けがなく戦えるようにしたい。少しでも元気を与えられるようなニュースを届けていきたい」と語りました。
　　
来シーズンも、吉田正尚選手の活躍に期待がかかります。
福井テレビ",[],[]
国道8号の大型トレーラー事故　「問屋団地口－米松」間で片側車線規制が続く　信号機や道路標識が倒壊　（午前11時15分現在）（福井テレビ）,https://news.yahoo.co.jp/articles/6e00ad5d83d3b30fcc5662ca19e38753aa20370d,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251212-90014783-ftb-000-2-thumb.jpg?exp=10800,2025-12-12T12:01:01+09:00,2025-12-12T12:08:01+09:00,福井テレビ,ftb,福井テレビ,378,"福井テレビ
12日未明、福井市内で大型トレーラーが事故を起こし、信号機などが倒壊しました。事故の影響で一時、福井市の国道8号、金沢方面が通行止めとなり、午前11時15分現在も一車線規制となっています。
　　
事故があったのは、福井市の国道8号の南四ツ居交差点です。
　
警察によりますと、12日未明、荷物を搬送中の大型トレーラーが国道8号を金沢方面に北進していたところ、交差点の北西角の信号機や付近の道路標識などに接触し、信号機が倒壊しました。
　
また、倒壊した信号機と電線でつながっていた反対車線側の信号機も傾きました。
　
運転手にけがはありませんした。
　
この事故の影響で、国道8号は一時、金沢方面行きが全面通行止めとなり、午前11時15分現在も問屋団地口交差点から米松交差点の区間で金沢方面、敦賀方面ともに一車線規制となっています。
福井テレビ",[],[]
