headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
ベストイレブンは24日発表　J3優秀選手にヴァンラーレから7人（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/a55effce99df6d5f684af396704be728588905d8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000014-aba-000-1-view.jpg?exp=10800,2025-12-17T19:55:53+09:00,2025-12-17T19:55:53+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,207,"写真：青森朝日放送
J3の優秀選手が発表され、ヴァンラーレ八戸から7人が選出されました。

J3優秀選手賞に選ばれたのは

ゴールキーパーの大西勝俉選手、
ディフェンダーの蓑田広大選手、白井達也選手、
ミッドフィルダーの佐藤碧選手、音泉翔眞選手、永田一真選手、
フォワードの澤上竜二選手

の7人です。

24日のJ3リーグアウォーズで、他のクラブも合わせた37人の優秀選手の中から、ベストイレブンが発表されます。",[],[]
9年連続22回目の春校バレー　青森西　粘り強さ武器にベスト8を目指す（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/fcd7386f18871e1878d61a6f55daec74dd8caf8f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000015-aba-000-1-thumb.jpg?exp=10800,2025-12-17T19:55:40+09:00,2025-12-17T19:55:40+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,465,"青森朝日放送
来月行われる「春の高校バレー」に出場する青森西高校女子バレーボール部が、意気込みを語りました。

きのうは、白取和也監督や三浦萌玖キャプテンたちが青森朝日放送を訪れました。青森西の春の高校バレー出場は9年連続、22回目。学年の垣根を越えたチームワークの良さが強さの秘訣です。

【青森西高校女子バレーボール部　三浦萌玖主将】
「3年生が（下級生に）積極的に声を掛けることで、後輩たちからも、自分たちに、自分から質問したりとか相談したりしてくれて、そういうところでも絆が深まって、チームの仲の良さにつながったのかなと思います」

一方で、全国と比べると平均身長が低いチームだと話す三浦キャプテン。その分レシーブを強化し、粘り強さを武器に、歴代最高タイであるベスト8を目指します。

【青森西高校女子バレーボール部　三浦萌玖主将】
「絶対どこよりも拾って、どのチームよりも拾って、最後決めきれるように、頑張っていきます」

春の高校バレーは来月5日に東京で開幕。青森西の初戦の相手は、東京代表・文京学院大学女子高校です。",[],[]
八戸・市川沖　養殖試験のカキ　3千個超すべてが行方不明に（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/aa83e20c2abe63e7e533eb5d8ff4ef19aa2d6ec8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000017-aba-000-1-thumb.jpg?exp=10800,2025-12-17T19:55:22+09:00,2025-12-17T19:55:22+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,397,"青森朝日放送
八戸市の市川沖で行われているカキの養殖試験で3千350個ほどのカキの種苗すべてが養殖場所からなくなっていることが分かりました。

【八戸市　熊谷市長】
「これまで順調に推移をしておりまして出荷サイズまで成長してきたカキもあったことから私としても非常に残念に思っています」

カキの養殖試験は八戸市の「市川漁協」と「八戸みなと漁協」が去年から取り組んでいるものです。

先月21日、関係者が養殖施設の様子を見に行ったものの目視で確認できず、その後養殖施設を探しましたが見つからなかったということです。

養殖場所は、市川沖の海域で海面付近に設置したロープにカキの種苗を入れたバスケットをつるし、海中で養殖していました。

養殖施設が破損し種苗が流出した可能性があるとしていますが原因は分かっていません。

カキも見つかっておらず漁協がダイバーによる調査を検討しているということです。",[],[]
地震への備え日頃から　冬ならではの3つのポイント（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/db613e2f131c8460e690533a6350ae89c489b20a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000018-aba-000-2-thumb.jpg?exp=10800,2025-12-17T19:55:13+09:00,2025-12-17T20:29:32+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,667,"青森朝日放送
特別な注意を呼び掛ける期間は終了しましたが、大きな地震は突発的に起こる可能性もあり日頃から地震や津波への備えが必要です。

冬ならではの対策として3つポイントがあります。

【弘前医療福祉大学短期大学部　立岡伸章教授】
「青森は冬ならではの対策が必要になってくると思います」

そう話すのは弘前医療福祉大学短期大学部の立岡伸章教授です。

【弘前医療福祉大学短期大学部　立岡伸章教授】
「特に屋外に逃げた場合では、低体温症とかも考えられますので」「カイロであったりダウンジャケットであったり、そういった暖を取るものをしっかりと準備しておくことがいいと思います」

1つ目は寒さ対策。

防寒対策のグッズを避難する際にどのように持ち運ぶか想定しておく必要があります。

【弘前医療福祉大学短期大学部　立岡伸章教授】
「あと雪の関係ですね。足元滑りますのでしっかりとしたスノーブーツ、履き慣れたもの、そういったものを履いて避難する」

2つ目は足元対策。

スムーズに避難するために冬場の路面に適した履物を選択する必要があります。また避難所の生活では内履きがあると良いでしょう。

【弘前医療福祉大学短期大学部　立岡伸章教授】
「屋根から雪がもしかしたら地震の揺れによって落雪する可能性もありますので避難経路を考えなくちゃいけない。こういったものをしっかりと考えてほしいなと思いますね」

3つ目は避難経路。

想定したルートが雪の影響で通れないことも想定されます。雪を考慮したルートを複数把握しておくことが必要になります。",[],[]
旧むつ松木屋ビル外壁崩落　所有者に安全措置を求める（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/2f2e913163f7bd9eb28d7e6064532c194868abea,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000019-aba-000-1-thumb.jpg?exp=10800,2025-12-17T19:55:04+09:00,2025-12-17T19:55:04+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,181,"青森朝日放送
県はこのまま放置されれば外壁がさらに崩れ落ち通行人に被害が及ぶ危険性があるとして、（旧松木屋）ビルの所有者に対して落下の防止と通行人の安全を確保するための措置を講じるよう、きのう付で勧告書を出しました。

24日までに必要な措置を講じるよう求めていて、期限までに対策が実施されない場合は、より拘束力の強い「命令」を出すこともあり得るということです。",[],[]
震災から復旧の歩み　八戸港八太郎岸壁　応急復旧工事進む（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/fdda4b7f772fa3d10734c01878b32ebaa92d2f17,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000012-aba-000-1-thumb.jpg?exp=10800,2025-12-17T19:54:35+09:00,2025-12-17T19:54:35+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,396,"青森朝日放送
海外から輸入される石炭といった鉱石などを荷揚げする八戸港の八太郎岸壁では段差やひび割れが発生し、応急の復旧工事が続いています。

八戸港八太郎地区1号ふ頭の通称E岸壁では、おとといから作業員20人ほどが専用の重機を用いて急ピッチで工事を進めています。

8日の地震でおよそ150メートルに渡るひび割れや最大14センチほどの段差、さらに溝なども発生し、船からの荷揚げ作業ができない状態が続いています。

【八戸港湾・空港整備事務所　鮎貝基和副所長】
「今直しているE岸壁についてはばら積み貨物石炭とかの鉱石類を扱っております」「八戸港は重要な港ですので利用者の方に迷惑掛からないように早期に応急復旧を進めていきたい」

復旧工事はあさってまで続き、その後、順次利用が再開される見込みです。

またこのほか、同様の被害を受けた4号ふ頭についても準備が整い次第復旧作業に入る予定です。",[],[]
NTT名乗り「鉄塔が倒れる」　八戸市内で個人情報を聞き出す不審電話（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/f047063221382c9a4b40dcc0b3ba3fe333a860a7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000013-aba-000-3-thumb.jpg?exp=10800,2025-12-17T19:54:14+09:00,2025-12-17T20:29:06+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,242,"青森朝日放送
（地震の影響で損傷した八戸市にある）NTTの鉄塔を巡りNTTを名乗る不審な電話が確認されています。市が注意警戒を呼び掛けています。

補修作業に向けて足場の設置が進むNTT青森八戸ビルの鉄塔。そうした中、市内では。

「鉄塔が倒れる。2時間後に電話が使えなくなる」

NTTを名乗ってこう話し、個人情報を聞き出す電話が確認されています。

NTTはこのような電話はすることはないとしていて、市では不審な電話は相手にせず個人情報は絶対に教えないよう注意を呼び掛けています。",[],[]
商工会議所と八戸港振興協会が要望　早期再建やインフラの早期復旧を（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/e91c8650651cc66ea2fdff062a58cf4a06ea2ffe,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000008-aba-000-3-thumb.jpg?exp=10800,2025-12-17T19:53:59+09:00,2025-12-17T20:33:16+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,255,"青森朝日放送
八戸商工会議所の武輪俊彦会頭と八戸港振興協会の澤藤孝之会長が市役所を訪れ、被災した事業所の早期再建など3項目に関する緊急要望書を熊谷市長に手渡しました。

今回の地震で飲食店では商品などが破損する被害に加え、忘年会などの会合を自粛する動きもあり、売り上げの確保に不安が広がっています。

また八戸港では岸壁へのダメージが大きく港湾機能に影響がでています。

【八戸商工会議所　武輪俊彦会頭】
「融資だけではなく補助金という形で支援をしていただき事業が継続できるようにお願いできればと思っています」",[],[]
水道設備に被害　全館で水使えず　八戸グランドホテル「全館休館」へ（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/beff7b280edee5ff90431bd732552d70ced7f65b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000009-aba-000-1-thumb.jpg?exp=10800,2025-12-17T19:53:49+09:00,2025-12-17T19:53:49+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,208,"青森朝日放送
老舗ホテル八戸グランドホテルはあすから全館で休館することを発表しました。地震の影響により水道設備等に不具合が確認されたため、あす以降、全館で水道を止めて緊急点検を行います。

地震発生の翌日にレストランとバーは休業しましたが、宿泊や宴会の対応は継続していました。

営業再開の時期は未定ですが、修繕工事の進捗状況に応じて、順次営業を再開するとしています。

テイクアウトやパンの販売は通常通り行います。",[],[]
地震の影響は観光にも　“宿泊キャンセル”　閑散　リニューアルした「種差海岸駅」（ABA青森朝日放送）,https://news.yahoo.co.jp/articles/9c8bb951f16bf8bbe13257efeecc87bb7b1fb003,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251217-00000010-aba-000-1-thumb.jpg?exp=10800,2025-12-17T19:53:36+09:00,2025-12-17T19:53:36+09:00,ABA青森朝日放送,aba,ABA青森朝日放送,655,"青森朝日放送
八戸線運休の影響は観光にも。三陸復興国立公園の北端に位置する八戸市の種差海岸。冬の観光に力を入れ始めた矢先でした。

【種差観光協会　柳沢卓美会長】
「八戸線を使って多くの人が来てくれるのを期待していたので、電車使えなくなったのでちょっと今本当にがっかりしているところです」

JRや県が主体となって1日から「青森県・函館観光キャンペーン」がスタート。

キャンペーンの開始に合わせ、種差海岸駅の駅舎も大幅にリニューアルしたばかりでしたが…。

肝心の八戸線は運休が続き、新しくなった駅の周辺に人の姿はありません。

【種差観光協会　柳沢卓美会長】
「宿泊のお客さんもキャンセルした人がいると聞いていますのですごく残念に思っています」

種差海岸駅にほど近い民宿では…。

【民宿石橋　石橋英子さん】
「現にうちも常連さんで冬に行きたいという人が一人二人いたんですけれど、結局その人達は来られなくなっているし」「完全復旧は一日でも早くしてほしい」

JR八戸線は22日から鮫・久慈間で運行を再開し、八戸・鮫間では代行バスを運行します。しかし、観光面についてはこんな懸念も…。

【種差観光協会　柳沢卓美会長】
「まだ時間帯、ダイヤがわからないので、電車で来て食事やお酒飲んだりして電車で帰れる時間帯であればいいんですけれど」「年内に復旧してもらえれば助かります」

元旦には初日の出を見ようと多くの人でにぎわう種差海岸。関係者たちは年内の再開を望んでいますが、まだ全線復旧のめどは立っていません。",[],[]
