headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
中川氏が出馬表明　玉城町長選、元町職員（伊勢新聞）,https://news.yahoo.co.jp/articles/84440080e89be4c9c143f536f74bddb51ed9b8cc,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251223-00010012-isenp-000-1-view.jpg?exp=10800,2025-12-23T08:02:25+09:00,2025-12-23T08:02:25+09:00,伊勢新聞,isenp,伊勢新聞,534,"【玉城町長選への出馬を表明した中川氏＝伊勢市役所で】
【度会郡】元玉城町職員の中川泰成氏(52)＝同町勝田＝が22日、任期満了に伴う来年3月24日告示、29日投開票の玉城町長選に無所属で立候補すると表明した。町長選への出馬表明は、元町議でNPO法人理事の津田久美子氏(53)＝同町田丸＝に続き、2人目。現職の辻村修一町長は、立候補しない意向を明らかにしている。

　伊勢市役所で記者会見した中川氏は、「役場職員として働く中で『まちづくりをしたい』という思いがあった」と話し、「まちが停滞することなく、新しい時代に合わせてより正しく変化することが玉城町の発展に必要不可欠。『まちの営業本部長』として率先実行していきたいという強い思いから立候補を決意した」と説明した。

　重点的な取り組みとして、子ども・子育て応援▽教育・スポーツの充実▽窓口のデジタル化など行政サービスの質向上▽地域産業のさらなる活性化▽防災減災対策の強化｜などを挙げ、「これまで役場職員として培った30年間の知識や経験を生かし、確かな実行につなげていきたい」と強調した。

　中川氏は名城大学卒業。平成8年に町役場へ入り、まちづくり推進課長や地域づくり推進室長などを務めた。12月15日付で退職した。",[],[]
津市長、今年の一字は「創」　市政十大ニュースも発表（伊勢新聞）,https://news.yahoo.co.jp/articles/6f4aeae9aa73bfa344daa3aa2dc6983267768cdf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251223-00010011-isenp-000-1-view.jpg?exp=10800,2025-12-23T08:02:12+09:00,2025-12-23T08:02:12+09:00,伊勢新聞,isenp,伊勢新聞,498,"【今年の一字「創」を掲げる前葉市長＝津市役所で】
【津】津市の前葉泰幸市長は22日、今年最後の定例記者会見に臨み、今年の一字を「創」とした。市長が選ぶ市政十大ニュースも示し、香良洲高台防災公園や新津興橋の完成などを挙げた。前葉市長は「新しい時代を創り出すスタートとして『創』とした」と説明した。

　前葉市長は来年合併20周年となるのを前に、さまざまな大型事業などに使われた合併特例債が最終年度となる一方、新たな財源として国の地方創生第二世代交付金を使い、子ども政策や文化事業などを進めることができたと強調。

　「新たな20年を一足先に創り出す年だった」と振り返り、「未来に向けスタートを切りたい」と今後に意欲を述べた。

　市長が選ぶ十大ニュースは次の通り。

　①香良洲高台防災公園の完成②新・津興橋が開通③津市の地方創生2・0始動④「こどもまんなか社会実現会議」スタート⑤津駅周辺　未来のビジョン策定⑥大門・丸之内地区土地・建物の活用へ　新システム開始⑦「奇跡の名松線」全線開業90周年⑧地域計画100地区で策定完了⑨SG第72回ボートレースダービー開催⑩ありがとう！　高速船フェニックス",[],[]
ハンドベルの演奏楽しむ　四日市で高校生とお年寄り交流（伊勢新聞）,https://news.yahoo.co.jp/articles/77b390d75540f2128e3557794a671c778069743b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251223-00010010-isenp-000-1-view.jpg?exp=10800,2025-12-23T08:02:08+09:00,2025-12-23T08:02:08+09:00,伊勢新聞,isenp,伊勢新聞,287,"【高校生（右と左）と一緒にハンドベルを鳴らすお年寄り＝いなべ市藤原町市場の「わっ！デイサービス　ふわり」で】
【いなべ】四日市市の向陽台高校古川学園キャンパスで学ぶ2、3年生7人が22日、いなべ市藤原町市場の通所介護施設「わっ！デイサービス　ふわり」を訪れ、お年寄りと交流した。クリスマスを前に、ハンドベルの演奏を一緒に楽しんだ。

　床にはキャンドルが並べられ、明かりがともされた。生徒たちはサンタクロースの帽子や衣装を身に付け、クリスマスムードを盛り上げた。デイサービスを利用するお年寄り十人と施設の職員らとともに輪になって、「ドレミの歌」や「きよしこの夜」を演奏した。",[],[]
表紙に「お木曳」コラボ学習帳作成　伊勢市、小中学生らに配布（伊勢新聞）,https://news.yahoo.co.jp/articles/baedadc9442ee1fe898b009bbec89229757b8092,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251223-00010009-isenp-000-1-view.jpg?exp=10800,2025-12-23T08:01:54+09:00,2025-12-23T08:01:54+09:00,伊勢新聞,isenp,伊勢新聞,525,"【お木曳の写真を表紙にした「伊勢ぶんか学習帳」を紹介する市の担当者＝伊勢市役所で】
【伊勢】三重県伊勢市は、伊勢神宮の式年遷宮に向けた民俗行事「お木曳（きひき）」の写真を表紙にしたノート「伊勢ぶんか学習帳」をつくった。「ジャポニカ学習帳」で知られるショウワノートとのコラボ第3弾。3万部を作成し、市内の全小中学生や行事を担う各奉曳団などに配布するほか、来春開館する市歴史博物館で販売する予定。

　遷宮のご用材を、市民らが神宮へ運び入れる「お木曳」。来年に行事が始まることから、行事について知ってもらおうと企画した。

　B5版5ミリ方眼ノートの表紙に、ご用材を奉曳（ほうえい）車に載せて町を練る「陸曳」、裏表紙には五十鈴川をそりを引いてさかのぼる「川曳」の写真を採用。見返しでは、お木曳の歴史や、行事で使うお木曳車や木遣り唄などを紹介している。

　市文化政策課の担当者は「お木曳は、20年に一度の伝統行事。行事について知ってもらい、実際に参加してもらいたい。伝統継承の一助になれば」と話していた。

　伊勢ぶんか学習帳の作成は、子どもたちに地域の歴史文化に親しんでもらおうと、一昨年から開始。これまでに、伊勢うどんと朝熊登山鉄道を題材に作成した。",[],[]
パールズが5戦全勝で9連覇　15人制ラグビー女子関西大会（伊勢新聞）,https://news.yahoo.co.jp/articles/3c7e9b0264ff400b5a7eee0d22281f7560b8fe03,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-23T08:01:48+09:00,2025-12-23T08:01:48+09:00,伊勢新聞,isenp,伊勢新聞,118,"15人制ラグビーの女子関西大会は21日、全日程を終え、三重四日市市拠点のパールズが5戦全勝で9連覇した。

　来年1月17日に、神戸総合運動公園ユニバー記念競技場で開かれる全国女子選手権大会準決勝に進み、関東大会準優勝チームと対戦する。",[],[]
団体戦男子は四中工、女子は四商が制す　柔道三重県高校新人大会（伊勢新聞）,https://news.yahoo.co.jp/articles/a6d4d1942a805c37539a84ee6bd7ea7074bede7e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-23T08:01:33+09:00,2025-12-23T08:01:33+09:00,伊勢新聞,isenp,伊勢新聞,138,"全国高校選手権大会の予選を兼ねる柔道の県高校新人大会は20、21日、名張市蔵持町のベルウイング武道交流館で男女団体戦と男女個人戦が行われ、男子個人81キロ級で今年夏の全国高校総体ベスト8の広瀬瑠海（名張）らが優勝した。

　団体戦は男子が四日市中央工、女子は四日市商が制した。",[],[]
西川（亀山）が2年男子94キロ超級制す　重量挙げ県高校学年別大会（伊勢新聞）,https://news.yahoo.co.jp/articles/effee4a1f95e3e726bfd8cf61216ac6c6418d389,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-23T08:01:20+09:00,2025-12-23T08:01:20+09:00,伊勢新聞,isenp,伊勢新聞,134,"重量挙げの三重県高校学年別記録会が20、21の両日、四日市市菅原町の四日市中央工高校で開かれた。

　全国高校選抜、東海高校選抜の予選会も兼ねて行われた。

　2年男子94キロ超級は、今年秋の国民スポーツ大会少年男子102キロ級トータル6位の西川恭平（亀山）が制した。",[],[]
物価高やクマ対策を　三重県議会各会派が県に要望、来年度当初予算（伊勢新聞）,https://news.yahoo.co.jp/articles/31aa9727fd0a82202a426f511f6763f8639220ff,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251223-00010005-isenp-000-1-view.jpg?exp=10800,2025-12-23T08:01:06+09:00,2025-12-23T08:01:06+09:00,伊勢新聞,isenp,伊勢新聞,561,"【要望書を受け取る一見知事（右）＝三重県庁で】
三重県議会の会派や政党の県内組織は22日、来年度当初予算の編成に向けた要望書を県に提出した。物価高に苦しむ事業所への支援や医師不足に陥る地域への対応、防災対策の推進などを求めた。

　県議会の最大会派「新政みえ」（19人）は人手不足の解消に取り組む事業所への支援や医師の偏在解消、出没が相次ぐクマの対策強化などを要望。夜間中学の分校を北勢に設けるよう求めた。

　第二会派の自由民主党（16人）と自民系会派の草莽（3人）、自民党県連は「高市政権の積極財政に基づく県独自の経済対策」を要望。巨大地震に備えたインフラの老朽化対策なども求めた。

　自民党県議団（5人）は医師や薬剤師の偏在解消に加え、介護人材の確保、主要幹線道路の整備促進、公共交通の充実を要望。衛生管理やプライバシーの確保など、避難所の環境改善も求めた。

　県議会の一人会派「共産党」と共産党県委員会は賃上げの直接支援や部落差別解消条例（仮称）の制定中止などを要望。消費税率の引き下げやインボイス制度の廃止を国に求めるよう要請した。

　この日、各会派の代表らが県庁を訪れ、一見勝之知事に要望書を手渡した。一見知事は病院経営について「そろそろ限界が近づいている」などと述べ、保健制度を見直す必要性に言及した。",[],[]
津市の農林水産物をPR　三重テラスで「つデイ」（伊勢新聞）,https://news.yahoo.co.jp/articles/f937d27f364bfa6303d9712a473eef8f6007d86a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20251223-00010004-isenp-000-1-view.jpg?exp=10800,2025-12-23T08:00:56+09:00,2025-12-23T08:00:56+09:00,伊勢新聞,isenp,伊勢新聞,1029,"【来場者と話をする生産者ら＝東京都中央区日本橋室町の三重テラスで】
津市の魅力を首都圏で発信する「つデイ」が19、20日の両日、東京都中央区日本橋室町の三重テラスで開かれた。津市の農林水産物の魅力を首都圏の人らに知ってもおうと津市と農林水産物の振興に取り組む市内の生産者や飲食店でつくる津市農林水産物利用促進協議会が企画し、延べ300人が来場した。

　津市の採れたての特大スイーツキウイや愛宕梨といった農産物や加工食品、マコモの葉で編んだしめ縄などの販売や試食を行い、生産者たちがそれぞれの農産物の魅力を伝えた。

　また、両日とも先着で行った津市の木材に絵を描くマグネット作り体験や津市の木から抽出したアロマオイルでキャンドル作り体験は盛況で、参加者は思い思いに絵を描いて楽しんでいた。

　都内在住の50代の女性は「津市でキウイがつくられていることに驚きました。食べたら、とっても甘くて美味しかったです」と話していた。

　津産津消推進店で津市高野尾町の前川果樹園代表・前川温さんは「津市の農産物を首都圏の消費者にPRできる絶好の機会。リピーターの方にもお越しいただけるようになりました」と話した。
【来場者と話をする生産者ら＝東京都中央区日本橋室町の三重テラスで】津市の農林水産物をPR　三重テラスで「つデイ」
　津市の魅力を首都圏で発信する「つデイ」が19、20日の両日、東京都中央区日本橋室町の三重テラスで開かれた。津市の農林水産物の魅力を首都圏の人らに知ってもおうと津市と農林水産物の振興に取り組む市内の生産者や飲食店でつくる津市農林水産物利用促進協議会が企画し、延べ300人が来場した。

　津市の採れたての特大スイーツキウイや愛宕梨といった農産物や加工食品、マコモの葉で編んだしめ縄などの販売や試食を行い、生産者たちがそれぞれの農産物の魅力を伝えた。

　また、両日とも先着で行った津市の木材に絵を描くマグネット作り体験や津市の木から抽出したアロマオイルでキャンドル作り体験は盛況で、参加者は思い思いに絵を描いて楽しんでいた。

　都内在住の50代の女性は「津市でキウイがつくられていることに驚きました。食べたら、とっても甘くて美味しかったです」と話していた。

　津産津消推進店で津市高野尾町の前川果樹園代表・前川温さんは「津市の農産物を首都圏の消費者にPRできる絶好の機会。リピーターの方にもお越しいただけるようになりました」と話した。",[],[]
児童生徒23人計158万8665円未支給　鈴鹿市、就学援助の認定基準額を誤算定（伊勢新聞）,https://news.yahoo.co.jp/articles/30b708c2d03613fe3fd0dd58939bf38c04479a6c,https://newsatcl-pctr.c.yimg.jp/t/amd-img/default.jpg?exp=10800,2025-12-23T08:00:43+09:00,2025-12-23T08:00:43+09:00,伊勢新聞,isenp,伊勢新聞,273,"【鈴鹿】三重県鈴鹿市は22日、令和6年度就学援助の所得審査で16世帯の認定基準額算定を誤り、児童生徒23人の計158万8665円が未支給だったと発表した。

　内訳は令和7年度小学校入学予定者2人、令和6年度時点の小学生11人と中学生10人。

　申請時期や学年により支給額に違いはあるが、各世帯の未支給額は1万1021円―20万6円。対象者には電話で謝罪し、令和8年1月に支給する。

　市教委によると所得審査システムの設定ミスが原因。令和7年4月中旬に判明し、対象者の調査を進めてきた。

　今後はチェック体制の強化を図り、再発防止に務める。",[],[]
