headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
日本、UAEから3ゴール奪い2連勝！大関友翔が2試合連続得点を記録｜AFC U23アジアカップ（DAZN News）,https://news.yahoo.co.jp/articles/aadfa6d4efee10832739495cb572ab58e7dd1949,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010010-dazn-000-3-view.jpg?exp=10800,2026-01-10T22:38:09+09:00,2026-01-10T22:52:53+09:00,DAZN News,dazn,DAZN News,1052,"大関友翔(C)AFC
【AFC U23アジアカップ】1月10日、AFC U23アジアカップ サウジアラビア2026のグループステージ第2節、日本 vs UAEの一戦がキング・アブドゥラー・スポーツシティ・スタジアムで行われた。
【動画】巧みな身のこなしから圧巻の右足ゴラッソ
日本は勝利した第1節のシリア戦に引き続き4-1-2-3のフォーメーションを採用。GKは荒木琉偉、最終ラインは右から森壮一朗、永野修都、市原吏音、関富貫太。アンカーに石渡ネルソンが入り、インサイドハーフは大関友翔と川合徳孟、前線は右から久米遥太、ンワディケ ウチェブライアン世雄、横山夢樹という並びになり、シリア戦からは4人が入れ替わった。一方のUAEは、勝利した第1節からメンバーを大幅に入れ替えてこの試合に臨んでいる。

開始3分、ペナルティーエリア内でルーズボールを収めた大関が前を向いたところで相手選手に足をかけられて倒れ、日本にPKのチャンスが訪れる。キッカーを務めたブライアンはGKの逆を突いて冷静に沈め、開始5分で日本が先制に成功する。

UAEが守備時に5-4-1のような布陣になって自陣に引きこもる戦術を採用したこともあり、前半は日本が主導権を握る展開に。何度も両サイドからの切り崩しを図り、大関や市原がシュートを放つ場面を作る。

20分過ぎからはやや膠着状態になったが、37分に日本が追加点を奪う。左サイドのやや高い位置にボールを運んだ関富が内側にパス。これを受けた大関が2試合連続弾となるミドルシュートをゴール右隅に突き刺した。

2点リードで前半を折り返した日本は、後半から河合に代えて佐藤龍之介、久米に代えて古谷柊介を投入し後半を迎える。

お互いに攻め手を欠く中、63分にUAEがカウンターを発動させると、ペナルティーエリア内で永野が相手FWともつれながら倒れる。主審は永野のファウルを取りUAEにPKが与えられたが、VARの介入によってオンフィールドレビューが行われた結果、ノーファウルに判定が覆る。

終盤に入ると日本が相手陣内深くに攻め込む場面が増加。82分、日本のCKのボールが逆サイドに流れ、古谷が頭で合わせる。相手GKがかき出したもののVARのチェックが入り、ラインを超えていたとして得点が認められる。

試合はそのままタイムアップを迎え、3-0で日本が勝利を収めた。これで2連勝となった日本は、グループステージ第3節でカタールと対戦。日本時間1月14日（水）1時30分キックオフとなる。",[],[]
【移籍情報】J1復帰の千葉、MF田口泰士が左反復性肩関節脱臼で手術…昨季リーグ29試合に出場 | Jリーグ（DAZN News）,https://news.yahoo.co.jp/articles/2b49d09b0362dc0c3225769cc531daaa5648c35b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010009-dazn-000-1-view.jpg?exp=10800,2026-01-10T19:18:30+09:00,2026-01-10T19:18:30+09:00,DAZN News,dazn,DAZN News,286,"MF田口泰士(C)Getty Images
ジェフユナイテッド市原・千葉は10日、MF田口泰士が左反復性肩関節脱臼で手術し、成功したことを発表した。

現在34歳の田口は、2009年に名古屋グランパスでデビュー。2018年に完全移籍したジュビロ磐田で1シーズンプレーした後、2020年に千葉入りした。千葉では加入後からレギュラーとして活躍。昨シーズンは明治安田J2リーグで29試合に出場した。

千葉は昨季、J2リーグで3位フィニッシュから昇格プレーオフを制し、17年ぶりにJ1へ復帰。2月7日に行われる明治安田百年構想リーグの開幕節では、浦和レッズとのホーム戦を迎える。",[],[]
キエーザは本当にユヴェントスに必要か？今冬の移籍話に伊解説陣が見解「かつての彼がフラッシュバック」ローマ行きうわさのラスパドーリは？ ｜ セリエA（DAZN News）,https://news.yahoo.co.jp/articles/121e5a42bd2d4e3c12570509afe5321dec64f3f9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010008-dazn-000-1-view.jpg?exp=10800,2026-01-10T18:29:14+09:00,2026-01-10T18:29:14+09:00,DAZN News,dazn,DAZN News,1584,"2024年夏にユヴェントスを退団したFWフェデリコ・キエーザ(C)Getty images
【欧州・海外サッカー 最新ニュース】今冬の移籍市場を賑わせている元イタリア代表FWフェデリコ・キエーザのユヴェントス復帰案などについて、アレッサンドロ・マトリ氏ら『DAZN（ダゾーン）イタリア』の解説陣が見解を示した。
今月2日に解禁した冬の移籍市場においては、2024年夏にユヴェントスを退団してリヴァプールへ移籍したフェデリコ・キエーザのユーヴェ復帰の可能性が囁かれている。そんな中、『ダゾーン・イタリア』の解説陣が番組「4-3-2-1」において「キエーザは本当にユーヴェに必要なのか」を分析した。

リッカルド・マンチーニ記者は、ルチアーノ・スパレッティが検討している4-2-3-1のシステムにおいて「キエーザのような選手が本当に必要だ」と主張する。「フェデリコ・キエーザなので当然機能するだろう。そして4-2-3-1がスパレッティのチームの未来であることは確かなので彼は必要だ」と述べた。

エドアルド・テストーニ記者もキエーザはユーヴェに必要であるとの意見に賛同した。

「昨シーズンより出場機会が増え、直近の4-2-3-1のシステムにおいて、かつてのキエーザの姿がフラッシュバックした。私はあり得ると考える。サイドは、（ケナン）ユルディズ、（フランシスコ）コンセイソン、（エドン）ジェグロヴァに加えてキエーザで完成できる。彼にとっても極めて重要な仕事をしたチームへの復帰となるだろう」

一方、ユーヴェOBのマトリ氏は10番のユルディズとポジションが重なることから「必要ない」との意見を述べた。

「そのポジションにはすでにユーヴェにとって極めて重要な選手がいる。キエーザを獲得してユルディズの控えにするのは無駄に映る。その資金で別のポジションをカバーし、優れたクオリティを持った選手を獲得するべきだ」

ダリオ・マストロヤンニ記者もマトリ氏と同様に、ユヴェントスによるキエーザの獲得に反対しているが、12年ぶりのFIFAワールドカップ出場を目指すイタリア代表へ復帰するために、セリエAの他のクラブへの移籍が良いと考えている。

「彼は特殊な状況の中でユヴェントスを去った。そして復帰することで戦術面でも誤解が生じるかもしれない。左サイドには不動のユルディズがいるからだ。そして右サイドに関しては、キエーザ自身がまさにユヴェントスにおいてプレーで苦戦していた。ただキエーザはイタリア代表復帰を見据えてイタリア国内に必要な選手だ。彼がセリエAにいることは重要だ」
ラスパドーリのローマ移籍は？
続いてイタリアの解説陣は、ジャン・ピエロ・ガスペリーニ率いるローマへの加入の可能性が高まるアトレティコ・マドリードのFWジャコモ・ラスパドーリについて「ローマに転換点をもたらすか」を論じた。

マトリ氏は「ローマを転換させる選手とならなくても、彼の信頼性、得点力を踏まえれば、すぐにトップチームに呼びたい選手だ」と主張した。マストロヤンニ記者も同様に「ローマを転換させられなくてもガスペリーニにとって役立つ選手だ。彼は戦術面においても貢献できる」とローマ行きに太鼓判を押した。

続くマンチーニ記者も「ローマは彼のような選手を必要としているので大いに貢献してくれるだろう」との考えを示したほか、テストーニ記者は「転換点をもたらせなくても、あのポジションで右利きの11番はローマに欠けている選手だ」と適材適所となる可能性を示唆した。

試合情報
ローマ vs サッスオーロ
試合日時：2026年1月11日（日）日本時間2:00
会場：スタディオ・オリンピコ

ユヴェントス vs クレモネーゼ
試合日時：2026年1月13日（火）日本時間4:45
会場：アリアンツスタジアム",[],[]
インテルとナポリのスクデット対決、キヴ監督が考える試合で際立つクオリティは？両クラブOBも次戦を分析｜ セリエA（DAZN News）,https://news.yahoo.co.jp/articles/b517f89fb10c226798293e3b3fb956ce3df11550,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010007-dazn-000-1-view.jpg?exp=10800,2026-01-10T17:40:02+09:00,2026-01-10T17:40:02+09:00,DAZN News,dazn,DAZN News,1544,"インテルのクリスティアン・キヴ監督が語った(C)Getty images
【欧州・海外サッカー 最新ニュース】インテルのクリスティアン・キヴ監督が、日本時間1月8日のパルマ戦終了後、『DAZN（ダゾーン）』のインタビューで語り、次節のナポリとの上位対決に言及したほか、イタリアの解説陣も見解を示した。
【動画】パルマ vs インテル  第19節
昨シーズン限りでシモーネ・インザーギが退任し、今シーズンはクラブOBのクリスティアン・キヴを招聘して再出発したインテル。近年、“セリエA最強の戦力”と謳われるミラノのチームは日本時間8日、指揮官の古巣であるパルマに2-0と勝利し、合計42ポイント（消化試合が1試合少ない）で冬の王者に輝いた。

セリエA前半戦を終えてインテルの背後には、ミランが3ポイント差、ナポリが4ポイント差、ユヴェントスとローマが6ポイント差で控えるが、インテルは日本時間12日に行われるセリエA第20節において、アントニオ・コンテ率いる3位ナポリとの直接対決に挑む。

『ダゾーン・イタリア』の番組「Vamos!」に出演したナポリOBのチーロ・フェラーラ氏は、インテル指揮官に対して「お互いにどのようなクオリティで相手を困難に陥れることができるか。どのクオリティが試合で際立つか」を尋ねた。キヴは「ナポリ戦が重要であることは当然分かっている」と明かしつつ、インテンシティや個の力がお互いの武器であると指摘した。

「両チーム共にインテンシティが高く、個の力が強いのである種のプレーができる。ナポリには賛辞を送りたい。ただ同様にミランやユヴェントス、それからコモやローマも称えなければならないね。リーグ戦とはピッチにおいて95～100分間で戦うものだ。われわれもナポリも、お互いがセリエA内外で重要な価値を持つチームであると認識している」
カルチョはピッチが語る
そんなインテル指揮官の発言を受け、OBのエルナネス氏が12日にミラノで行われる次戦を前に見解を示している。

「前回の対戦（ナポリが3-1で勝利）の時もインテルの方がナポリよりも落ち着いて試合に臨めていたが敗れた。私はこれまでもインテルがセリエAで最も優れたトップチームであると考えていたが波がある時があった。だが現在はよりバランスを見出したように見える」

エルナネス氏はキヴ率いるインテルの分析を続けた。

「1つ注目したい点がある。インテルは試合においてスタッツで相手を圧倒することが多い。だがボール支配率が最も低かったコモ戦において最終的に4-0で勝利したんだ。すなわちインテルの覇権は必ずしもゴールに直結しないことを示している」

「インテルはスタッツが下回っていた試合の方がより決定的で結果を残せた。カルチョにおいてはスタッツが物を言うのではなく、ピッチが語るんだ。インテルは4ポイントの差があるからと言って余裕を見せるような落とし穴にはまってはならない。特にコンテが相手ならね」

ナポリOBのフェラーラ氏も、今後のスクデット争いの行方を占う一戦についてコメント。「どちらもモチベーションは極めて高く、コンテもキヴもモチベーションの面で準備はそれほど必要ないだろう。技術面について準備は必要だが、モチベーションは自然と準備できるはずだ」と指摘した。

また「インテルは前回の対戦と比較して自らの強さを自覚しているのではないだろうか。リーグ戦で6連勝し、ローテーションも機能している。だがナポリは複数のケガ人がいて選手層が薄い」とベンチメンバーにも目を向けた。

試合情報
インテル vs ナポリ
試合日時：2026年1月12日（月）日本時間4:45
会場：スタディオ・ジュゼッペ・メアッツァ",[],[]
格下相手に窮地のミラン、土壇場のDFの小細工でPK阻止に成功？「非現実的なシーン。あからさまに…」と伊紙 ｜ セリエA（DAZN News）,https://news.yahoo.co.jp/articles/dc4f476e76b74802e4dc3af5716a3b56a3cfb740,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010006-dazn-000-1-view.jpg?exp=10800,2026-01-10T17:20:02+09:00,2026-01-10T17:20:02+09:00,DAZN News,dazn,DAZN News,1360,"PK直前の小細工で注目を集めたミランのDFストラヒニャ・パヴロヴィッチ(C)Getty images
【欧州・海外サッカー 最新ニュース】マッシミリアーノ・アッレグリ監督が率いる2位ミランは、日本時間9日に行われたジェノア戦を1-1と引き分けたが、DFストラヒニャ・パヴロヴィッチの行動が物議を醸している。
【動画】ミラン vs ジェノア  第19節
直近のリーグ戦において16試合無敗でポイントを積み重ねるミラン。首位ナポリを追走する中、ミッドウィークに行われたセリエA第19節でダニエレ・デ・ロッシ率いるジェノアとホームで対戦した。

28分にミラン下部組織出身のロレンツォ・コロンボにジェノアの先制点を許したアッレグリのチームは、無得点のまま後半アディショナルタイムに突入。92分にエースのラファエウ・レオンのゴールで同点に追いついたが、試合終了間際の99分、ダヴィデ・バルテザーギがPKを献上して窮地に陥った。だがジェノアのキッカーを務めたニコラエ・スタンチュがシュートを枠外へ打ち上げため、ミランは土壇場で敗戦を免れた。

ところがPK直前のミランDFストラヒニャ・パヴロヴィッチの行動が物議を醸している。イタリア紙『La Gazzetta dello Sport』は、「ミラン戦のスタンチュと星空へのPK？　（元トリノのリッカルド）マスペロのようなパヴロヴィッチの小細工を見て欲しい」との見出しでPK失敗の背景を報道した。

「パヴロヴィッチは（PK判定を巡って）口論が続く中、ペナルティーマークへ向かい、左足で4回、右足で2回と文字通り6回“耕した”」と指摘。ミランDFが混乱に紛れてペナルティーマーク付近に穴を掘っていたことを伝えた。

過去には、2001年10月のトリノダービー（3-3）でトリノのマスペロがユヴェントスのPK直前に同様の行為をし、ユヴェントスのPK成功を阻止した例がある。だが元トリノMFが「足でこっそり穴を掘った」のに対し、「セルビア人DFはあからさまに行動し、図々しさにも限度がある」とイタリア紙はコメントしている。

また「ボールを抱えたスタンチュが気付きながらも何も言わずに観察していた」ことも「非現実的なシーンだった」と指摘。「（スタンチュは）パヴロヴィッチによって荒らされたペナルティーマーク上にボールを置くと観客席へと送り込み、（パヴロヴィッチの）“ミッション”が完了した」とつづった。
PK判定が間違っていた？
なおパヴロヴィッチは反スポーツ的行為として警告を受けたが、『DAZN（ダゾーン）イタリア』で解説を務める元セリエA審判員のルカ・マレッリ氏は、ジェノアのPK自体が「与えられるべきではなかった」との見解を示している。

元審判員は「VARの介入が難しく、複雑なケース」であることを前置きした上で、バルテザーギはエリア内でミカエル・エギル・エラートソンと接触した際、「左足を地面につけて止めていた」と説明。そこへ「動いてきたエラートソンが左足に当たりに行った」とし、ジェノアMFがぶつかりに行った側との見方を明かした。

試合情報
フィオレンティーナ vs ミラン
試合日時：2026年1月11日（日）日本時間23:00
会場：スタディオ・アルテミオ・フランキ",[],[]
【D1ピックアップマッチ】好調・浦安DRが秩父宮で横浜Eに勝利。D1初の連勝を飾る｜リーグワン（DAZN News）,https://news.yahoo.co.jp/articles/34f1e75521abeeb22865e734d2769163e4cb7b5f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010005-dazn-000-1-view.jpg?exp=10800,2026-01-10T16:22:35+09:00,2026-01-10T16:22:35+09:00,DAZN News,dazn,DAZN News,1092,"プレーヤー・オブ・ザ・マッチに輝く活躍を果たした浦安DRのサム・ケレビ©JRLO
【D1ピックアップマッチ】NTTジャパンラグビー リーグワン ディビジョン1の第4節で、浦安D-Rocksと横浜キヤノンイーグルスが秩父宮ラグビー場で対戦した。
開幕から3試合を終えて、2勝1敗とよいスタートを切った浦安D-Rocksと3連敗と苦しい出だしとなった横浜キヤノンイーグルスが、秩父宮ラグビー場で対戦した。

強い風が吹きつける中でキックオフしたゲームは、風上に立ったホストチーム・浦安DRが主導権を握る。前半3分、田村煕のペナルティーゴールで先制すると、そのあとも攻撃を重ねていき、前半13分にも田村煕のペナルティーゴールでリードを6点に広げた。

今季の好調ぶりを示すようにこの試合でも先手を奪った浦安DRは、前半14分に最初のトライを奪う。相手のパスをインターセプトしたサム・ケレビがピッチ中央を独走。自陣から一気に運び、この試合初のトライを挙げた。さらに前半18分には素早いパス回しからタナ・トゥハカライナが、前半29分にはグラウンドを大きく使った展開からケレブ・カヴバティがトライ。両ウイングが持ち味を発揮し、リードを23点に広げた。

苦しい展開が続いた横浜Eであったが、前半31分に石田吉平が反撃のトライを挙げると、風上に立った後半は積極的な攻撃を見せる。立ち上がり早々の後半5分にリアキマタギ・モリが豪快にトライ。その直後の後半8分に浦安DRにもトライを許すも、後半13分にキャプテンのジェシー・クリエルが3トライ目を奪い、点差を詰めた。

その後、田村優のペナルティーゴールで6点差に詰め寄ってからは、逆転につながるトライを目指し、果敢に攻め続ける横浜Eであったが、浦安DRの集中した守備は堅く、粘り強く、あと一歩届かない場面が続出。結局、28-22になって以降はスコアは動かず、浦安DRが逃げ切りに成功した。

連勝を達成した浦安DRのグラハム・ラウンツリー ヘッドコーチは「結果には非常に満足しています。前半は風をうまく使いながら、高いレベルでポゼッションできていましたし、後半はゴール前で粘り強いディフェンスができ、試合をしっかりマネジメントできたことが、勝利につながったと思います」と笑顔で振り返った。

その一方、開幕4連敗となってしまった横浜Eのレオン・マクドナルド ヘッドコーチは「成長を見られた部分もありました」と改善の兆しを認めながらも「非常に惜しい結果で、正直がっかりしています。自分たちで自分たちを苦しめてしまった場面もありました」と反省を口にした。",[],[]
緊急事態のローマ、ガスペリーニ監督が格下との対戦を警戒「ミランやナポリが負けそうになったのを見ただろう」｜ セリエA（DAZN News）,https://news.yahoo.co.jp/articles/90207ddf74678fd7c33710db17154cda7adf037f,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010004-dazn-000-1-view.jpg?exp=10800,2026-01-10T12:22:46+09:00,2026-01-10T12:22:46+09:00,DAZN News,dazn,DAZN News,1168,"11日のサッスオーロ戦を前にローマのジャン・ピエロ・ガスペリーニ監督が語った(C)Getty images
【欧州・海外サッカー 最新ニュース】ローマのジャン・ピエロ・ガスペリーニ監督が、日本時間1月11日2：00に予定されているセリエA第20節ローマ対サッスオーロ戦へ向けて前日会見に出席し、意気込みなどを語った。
【動画】レッチェ vs ローマ  第19節 セリエA | ハイライト
今シーズン、ジャン・ピエロ・ガスペリーニの下で再出発した5位ローマは、セリエA前半戦を終えて36ポイントを獲得。同ポイントで4位につけるユヴェントスなどと上位争いを繰り広げている。先週末は指揮官の古巣アタランタに0-1と敗れたローマ。だがミッドウィークに行われたレッチェ戦で2-0と勝利し、日本時間11日に11位サッスオーロをホームに迎える。

次戦ではブライアン・クリスタンテが出場停止となるほか、アルテム・ドフビクらをケガなどで欠く緊急事態のローマ。指揮官のガスペリーニが記者会見の席でファビオ・グロッソが率いる昇格組に対して警戒感を強めた。

「明日はプリマヴェーラの選手が5人ベンチに座ることになる。サッスオーロは落とし穴となるかもしれない。ユヴェントスに敗れたとはいえ、良いシーズンを送っているチームだ。ミランがジェノアに、ナポリがヴェローナに負けそうになったのを見ただろう。ユヴェントスはレッチェと引き分けている」

「われわれはこれまで、こうした試合に強いチームの1つだったと言えるが、リーグ戦が拮抗していることは明らかだ。あらゆる試合で最善のプレーをしなければならない。多くの欠場者がいたにもかかわらず、レッチェで力強い答えを出せたことは良かったと思っている」

ローマは今冬の移籍市場において、アトレティコ・マドリードに所属するイタリア代表FWジャコモ・ラスパドーリへの関心が囁かれている。だがガスペリーニは「私がメルカートについて語るのを聞いたことがあるかね？」と質問を一蹴。「君たち（記者）はすでに多くの情報を持っているじゃないか。君たちが私からニュースを得ることはないだろう。私がメルカートのうわさ話を膨らませることは決してない。私は明日、ピッチに立つローマの選手たちのことしか語らない」と強調した。

一方でローマ指揮官は、米国資本のクラブの経営陣がイタリアに滞在し、チームを見守っている状況を歓迎した。

「経営陣が初めて継続してここにいることは素晴らしい兆しだ。おそらくこれまでに獲得した36ポイント以上の価値がある。チームの状況を直接的にコントロールしようという意思があるということだからね」

試合情報
ローマ vs サッスオーロ
試合日時：2026年1月11日（日）日本時間2:00
会場：スタディオ・オリンピコ",[],[]
【プレビュー】首位インテルがナポリとのビッグマッチへ | セリエA第20節（DAZN News）,https://news.yahoo.co.jp/articles/d9ae0a7630a302ad100148241acfe8c78d440b73,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010003-dazn-000-1-view.jpg?exp=10800,2026-01-10T11:50:47+09:00,2026-01-10T11:50:47+09:00,DAZN News,dazn,DAZN News,1718,"インテル (C)Getty Images
2025-26シーズンのセリエA第20節が日本時間10日～13日にかけて開催される。

ローマvsサッスオーロ
週半ばの対照的な結果の後、ローマとサッスオーロは土曜日の夜にスタディオ・オリンピコでセリエAの対戦に臨む。ジャロロッシは2026年初勝利を挙げ、トップ4進出への軌道に戻ったが、サッスオーロはホームでユヴェントスに大敗した。

一時はセリエA首位にも立ったローマ。その後低迷しナポリ、カリアリ、ユヴェントスに敗れトップ4から脱落した。しかし、待望のチャンピオンズリーグ復帰への希望は依然として大きく残っており、ジャロロッシの中間時点での獲得ポイントは36で、昨シーズンのこの時点より13ポイント多い。また、エヴァン・ファーガソンが調子を上げ、獲得噂のジョシュア・ザークツィーが不要なほどの存在感を発揮し始めている。

サッスオーロは現在12位。前回の国際試合中断以降の唯一の勝利は、危機に瀕しているクラブ、フィオレンティーナに対する3-1の勝利のままで、厳しい状況となっている。

フィオレンティーナvsミラン
ACミランは週半ばにホームで引き分けに終わったため、日曜日にセリエAで苦戦中のフィオレンティーナと対戦する際には、タイトル獲得のライバルにプレッシャーをかけ続けなければならない。ロッソネリは幸運にもジェノア戦で勝ち点1を獲得し、リーグ首位のインテルと3ポイント差に迫ったが、一方ヴィオラはラツィオ戦でロスタイムの同点ゴールを喫し、4戦中3勝目を逃した。

ここまで厳しいリーグ戦の中間点を迎えたフィオレンティーナは、 セリエAの順位表で下から2番目に位置し、勝ち点はわずか13で、残留圏から3ポイント差となっている。しかし、最近になって復活の兆しが見え始め、ヴィオラは長い勝利なしの状態から脱して2週間の間に2勝を挙げ、水曜の夜には3勝目を挙げる寸前までいっていた。

ミランは最近フランキで苦戦しているものの、サン・シーロでの直近の対戦では、今シーズン序盤にラファエル・レオンが2得点を挙げ、勝利を収めている。さらに、スクデット奪還を目指すマックス・アッレグリ監督率いるチームは、開幕戦でリーグ戦に敗れたのが最後で、アウェー戦で負けていない唯一のチームだ。アウェー戦では5勝3引き分けの記録があり、トスカーナへの遠征に不安はほとんどないだろう。加えてレオンも好調で、次第に新加入のニクラス・フュルクルクがコンディションを上げていけば前線の脅威は増していくはずだ。

インテルvsナポリ
セリエAの日曜夜の試合で、タイトルを争うライバルのインテルとナポリがサン・シーロで大激突する。今シーズン初めにナポリで行われた両チームの対戦ではスクデット獲得チームが勝利したが、順位表ではインテルが南のチームに4ポイント差でリードしている。

ダービー・デッラ・マドンニーナで敗れて以来、リーグ戦6連勝中と好調のインテルは、ACミランとの直近の敗戦にもうまく対応した。ネラッズーリはチャンピオンズリーグとスーペルコッパ・イタリアーナの両方で失敗したかもしれないが、イタリアのトップリーグではここ数週間完璧な成績を残している。2026年シーズンの開幕戦でボローニャを破ったクリスティアン・キヴ監督率いるチームは、水曜日の夜にマルクス・テュラムとフェデリコ・ディマルコの両選手が得点を挙げ、古巣パルマを下した。

セリエAで14勝4敗を記録した彼らは、熾烈な優勝争いで市内のライバルチームに3ポイント差でリードしており、ディフェンディングチャンピオンのナポリとは4ポイント差で続いている。ビッグマッチへの不安はあるが、それは日曜日に試されること。

アントニオ・コンテ監督率いるナポリは今シーズンの前回対戦でも10月にマラドーナ・スタジアムで3-1で勝利しており、元インテル監督はその結果を再現することを切望しているだろう。セリエAの覇権をめぐる魅力的な争いでミランの両クラブに追われ、ユヴェントスとローマも依然としてそのすぐ後ろにいるナポリは、差がこれ以上広がるのを阻止する必要がある。",[],[]
久保建英、ソシエダの劇的勝利を牽引！監督マタラッツォ「89分に追いつかれた後のタケの姿勢が良かった。私たちは勝ちたかったんだ」（DAZN News）,https://news.yahoo.co.jp/articles/3cc3c3c8587220c3dfaad2fcd5c7bd57f5b04712,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010002-dazn-000-2-view.jpg?exp=10800,2026-01-10T11:42:43+09:00,2026-01-11T02:12:05+09:00,DAZN News,dazn,DAZN News,910,"いつも通り2人がマークにつく久保建英(C)Getty Images
9日のラ・リーガ第19節、レアル・ソシエダは敵地コリセウム・アルフォンソ・ペレスでのヘタフェ戦に2-1で勝利した。ペッレグリーノ・マタラッツォ監督は試合後、決勝点を導くなど活躍したMF久保建英の姿勢を称賛している。

36分にMFブライス・メンデスがミドルシュートから先制点を決めたソシエダ。しかし追加点を決め切れずにいると、90分にFWフアンミのゴールを許して、同点に追いつかれた。

残り時間は少なく、このままドローになると思われた。だがソシエダは久保を中心に決勝点を目指した。日本人FWは枠をわずかに外れるミドルをシュートを放ち、反撃の狼煙を上げると、その後もドリブルやボールキープなど、気持ちのこもったプレーを見せてチームを引っ張った。そして96分、自ら獲得した右CKからドラマを起こしている。

CKキッカーの久保がファーにクロスを送ると、飛び出したGKダビド・ソリアが触れなかったボールを、DFジョン・アランブルがヘディングで枠内に押し込んだ。久保は2試合連続のアシストで、今季成績を2得点3アシストに伸ばしている。

ソシエダ指揮官就任から2試合目で初勝利を飾ったマタラッツォ監督は試合後、久保が1-1とされた後に見せた気持ちのこもったプレーを評価。『DAZN』とのインタビューで、次のように語っていた。

「1-1とされた後の久保の姿勢は見ていて素晴らしかった。私たちは勝利を求めた。そして、実際に勝利をつかんだんだ」

マタラッツォ監督はその後に出席した記者会見で、チーム全体のあきらめない姿勢を称賛していた。

「終盤にチームが見せたリアクション、デュエルの勝利、ファウルの獲得にとても満足している。それこそがチームのアイデンティティーであり、今後に向けて非常に大切なものとなるだろう」

「そう、あれこそ勝利への欲求だった。運は努力してつかむものだ。それが私の手にした感覚だよ」

久保は以前、「僕がソシエダを引っ張っていきたい」と話していたが、この試合の後半アディショナルタイムでは、それを体現したかのようなプレーを見せていた。",[],[]
【移籍情報】レアル・ソシエダ史上最高額の選手、サディクがバレンシアに完全移籍「バレンシアの試合はほぼ全部見ていた。ここがホームだ」（DAZN News）,https://news.yahoo.co.jp/articles/e46420d85e84ab73a93365251abb3d73d08c6cf2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260110-00010001-dazn-000-1-view.jpg?exp=10800,2026-01-10T07:00:10+09:00,2026-01-10T07:00:10+09:00,DAZN News,dazn,DAZN News,630,"ウマル・サディク(C)Getty Images
レアル・ソシエダに所属していたナイジェリア人FWウマル・サディク（28）がバレンシアに完全移籍した。

サディクは2022年夏、アルメリアからソシエダに移籍。ソシエダはクラブ史上最高額となる移籍金2000万ユーロを支払って獲得した。

鳴り物入りでソシエダ加入を果たしたサディクだが、その直後に前十字靭帯断裂の重傷を負い、8カ月後に復帰するも期待されたような活躍を見せられず。最終的にソシエダでは、公式戦57試合で6得点を決めるにとどまった。

サディクはその一方、昨季後半戦にレンタルで加入したバレンシアでは19試合6得点と躍動。現在、残留争いに巻き込まれているバレンシアはそんな同選手を求めて、推定移籍金500万ユーロ+インセンティブという条件で、完全移籍での獲得を決めている。

サディクはバレンシア復帰後、その喜びを表している。

「何よりも、ここに戻ってこられて本当に幸せだ。バレンシアを代表できることが自分の喜びなんだよ。昨季、ここがホームのように感じられたし、だから戻ってこようと思った。バレンシアがあきらめずに獲得を目指し続けたことで、今、僕はここにいるんだ」

「バレンシアの試合を見ていたか？　ほとんどすべての試合を見ていた。自由にできる時間には、できるだけ見るようにしていたよ」

「（バレンシア監督カルロス・）コルベランは最高の自分を引き出してくれる。昨季、僕を信頼してくれた監督なんだ」",[],[]
