headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
インフル集団発生、宜野湾の児童関係施設で52人（琉球新報）,https://news.yahoo.co.jp/articles/74cbd3317d4a7ff09e3c771f3fa5512a0a689d28,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000013-ryu-000-1-view.jpg?exp=10800,2026-01-23T18:01:27+09:00,2026-01-23T18:01:27+09:00,琉球新報,ryu,琉球新報,347,"イメージ
沖縄県は23日、宜野湾市の児童関係施設でのインフルエンザの集団発生を発表した。13～19日に職員7人を含む患者52人を確認した。インフルエンザA型への感染だったが、一方でB型が増加傾向にあるといい、県地域保健課は「A型に感染した人が、今度はB型にかかる可能性もある」として感染対策の徹底を呼びかけている。

　45の定点医療機関から12～18日に報告された新規感染者数は定点当たり19・78人だった。患者の報告数は計890人で、内訳はA型659人、B型107人、不明124人。県は昨年10月10日からインフルエンザ注意報の発令を継続しているが、当初は大半がA型だった。

　また、沖縄本島の計10校が学級閉鎖などの措置をしている。
The Ryukyu Shimpo Co., Ltd",[],[]
【速報】「糸満の漁具」国の民俗文化財へ　沖縄2件目　行商の道具も（琉球新報）,https://news.yahoo.co.jp/articles/ccd6f02b6079821aea548e880f0cfbfeec678e21,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000012-ryu-000-3-view.jpg?exp=10800,2026-01-23T17:41:23+09:00,2026-01-23T18:11:29+09:00,琉球新報,ryu,琉球新報,592,"糸満の漁労用具（糸満市教育委員会提供）
国の文化審議会（島谷弘幸会長）は23日、沖縄県糸満市が所有する「糸満の漁労用具」を国登録有形民俗文化財に登録するよう、文部科学大臣に答申した。登録されれば、県内の登録有形民俗文化財は2007年に登録された竹富島の生活用具に続き2件目となる。
【写真】1伝統的な水中めがね「ミーカガン」
県教育庁文化財課によると、登録対象となる漁労用具は計887点。1950年代から80年代にかけて糸満市で収集されたもので、各種の漁具のほか、仕事着や漁具の製作・修理用具、行商に用いられた販売用具などで構成されている。個人や市民団体によって収集・製作され、現在は同市西崎町の「海のふるさと公園展示館」に保管・展示されている。

　文化審議会は、漁業用具に加え、女性が行商に使用した販売用具なども含まれている点に注目し、地域の漁業の姿や変遷を具体的に示す資料群であると評価した。国登録有形民俗文化財に登録されると、保存や活用に必要な費用の一部に補助が受けられるほか、国から技術的な助言を受けることができる。

　糸満市の當銘真栄市長は、今回の答申について「糸満市では初の国登録有形民俗文化財の誕生となるため、大変喜ばしく思う。市としてより一層文化財の保全をし、県と協力しながら周知啓発や活用に努める」と語った。
The Ryukyu Shimpo Co., Ltd",[],[]
【速報】久高・元那覇市議長に懲役2年8月判決　那覇地裁「誠に浅ましく言語道断」（琉球新報）,https://news.yahoo.co.jp/articles/5dcad929630fe8b32f6c7c0436cc8b329a54edb5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000011-ryu-000-2-view.jpg?exp=10800,2026-01-23T14:12:21+09:00,2026-01-23T18:13:15+09:00,琉球新報,ryu,琉球新報,447,"那覇地裁（資料写真）
那覇市有地の所有権を巡る贈収賄事件で、現金5千万円を賄賂として受け取ったとして収賄罪に問われた元那覇市議会議長の久高友弘被告（77）の判決公判で、那覇地裁（小畑和彦裁判長）は23日、懲役2年8月、追徴金5000万円（求刑懲役4年、追徴金4000万円）を言い渡した。
旭琉会系暴力団総長ら逮捕　米軍基地工事などに労働者を派遣か　沖縄県警
小畑裁判長は判決で、被告が贈賄側から受領した5000万円について「賄賂を要求したことが認められる」と指摘した。

　被告は公判などでの供述で、賄賂目的での現金受領を否定していたが、小畑裁判長は「信用性が乏しい」として主張を退けた。その上で、小畑裁判長は、被告が市議会議長の立場を利用して犯行に及んだとして「誠に浅ましく言語道断」とし、「政治倫理に著しく反する」とした。

　被告が市議会議長室で現金を受領したり、議会工作を図ったことなどで、市議会の信用が「深く損なわれた」と断じた。
The Ryukyu Shimpo Co., Ltd",[],[]
【速報】衆議院が解散　2月8日投開票へ（琉球新報）,https://news.yahoo.co.jp/articles/4220c53b2537821c6e498ec581a4ecf53d15bf4a,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000010-ryu-000-2-view.jpg?exp=10800,2026-01-23T13:20:52+09:00,2026-01-23T13:27:33+09:00,琉球新報,ryu,琉球新報,163,"国会議事堂
高市早苗首相は23日、衆議院を解散した。同日午後、通常国会の冒頭に衆議院本会議が開催され、解散詔書を額賀福志郎議長が読み上げて解散を宣言した。

　465議席を選ぶ総選挙は27日に公示、投開票は2月8日を予定している。解散から投開票までは16日間と戦後最短だ。
The Ryukyu Shimpo Co., Ltd",[],[]
運転中に女性と衝突も逃走　ひき逃げ容疑で男逮捕　八重山署（琉球新報）,https://news.yahoo.co.jp/articles/38ee9d66188ae21c874007390418c7cbbf279acf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000009-ryu-000-1-view.jpg?exp=10800,2026-01-23T12:31:56+09:00,2026-01-23T12:31:56+09:00,琉球新報,ryu,琉球新報,303,"パトカー（資料写真）
沖縄県の八重山署は21日、石垣市石垣のコンビニエンスストアの駐車場で、軽自動車を運転中に前方を歩いていた30代の女性＝同市＝の体に車を衝突させ、けがを負わせたにもかかわらず現場から逃走したとして、道交法違反（救護義務違反・事故不申告）容疑で同市の職業不詳の容疑者（46）を逮捕した。黙秘している。
自動運転バス、沖縄・多良間島で街路樹に衝突
女性は転倒し、臀部（でんぶ）打撲のけがを負って市内の病院に搬送されたが、命に別条はないという。

　逮捕容疑は21日午前4時ごろ、石垣市のコンビニ駐車場で車を運転し女性をひき逃げした疑い。
The Ryukyu Shimpo Co., Ltd",[],[]
旭琉会ナンバー4らを逮捕　米軍基地工事などに労働者を派遣か　沖縄県警（琉球新報）,https://news.yahoo.co.jp/articles/540e4d73b25100b91324a69d8a8d6a0253d86ee1,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000008-ryu-000-3-view.jpg?exp=10800,2026-01-23T12:21:25+09:00,2026-01-23T17:21:18+09:00,琉球新報,ryu,琉球新報,583,"沖縄県警本部（資料写真）
沖縄県警組織犯罪対策課は22日、米軍嘉手納基地内など県内114カ所の工事現場で、労働者派遣法で禁止される建設業務での労働者派遣を行ったとして、同法違反容疑で指定暴力団旭琉会四代目富永一家の総長（64）＝豊見城市＝ら、男女6人を逮捕した。64歳の容疑者は同会のナンバー4に当たる組織委員長。県警は捜査に支障があるとして、認否を明らかにしていない。
「やくざ」の時代から半グレ、トクリュウの台頭へ　旭琉会の一本化＜沖縄の闇社会80年史＞
摘発の対象は、米軍や沖縄防衛局が発注した嘉手納基地、キャンプ・ハンセンなど6基地内の施設工事と、県や嘉手納町、沖縄、うるま、宜野湾、南城の4市発注の公共工事への労働者派遣。大手ゼネコンを介して建設会社が下請けし、派遣会社が現場に労働者を供給していた。

　他に逮捕されたのは、旭琉会構成員で二代目沖島一家の45歳の男＝南城市、四代目富永一家の73歳の男＝那覇市、丸宏一家の43歳の男＝同市＝と、自称自営業の59歳の男＝宜野湾市、45歳の容疑者の妻で事務員の28歳の女の5容疑者。

　逮捕容疑は2023年4月から25年7月にかけて、共謀の上、自身らが経営に携わる本島南部の労働者派遣会社で、建設労働者25人を計819回にわたって工事現場に派遣した疑い。
The Ryukyu Shimpo Co., Ltd",[],[]
薬物巡り相次ぐ中学生の摘発　沖縄県教育長の見解は？　「ゾンビたばこ」で初逮捕も（琉球新報）,https://news.yahoo.co.jp/articles/57522e53837923760cada78a29989221bb0dd440,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000007-ryu-000-1-view.jpg?exp=10800,2026-01-23T12:01:31+09:00,2026-01-23T12:01:31+09:00,琉球新報,ryu,琉球新報,415,"学校　校舎（イメージ）
沖縄県内で指定薬物「エトミデート」や大麻の所持・使用疑いで中学生の逮捕が相次いで発覚したことを受け、半嶺満県教育長は22日、「大きな衝撃を受けており、強い危機感がある」とコメントした。
【動画あり】「ゾンビたばこ」トクリュウのトップ逮捕、未成年も関与か
県教育委員会は大麻などの薬物について、有害性がないなどの誤った情報の拡散や、SNSを通じて購入しやすくなるなど、児童生徒を取り巻く環境が厳しくなっているとした。

　県警によると、2025年の薬物事犯での10代の摘発は65人（暫定値、前年比6人増）と過去5年で最多。中学生は3人だった。エトミデート関連で県内で初めて中学生が12月下旬に逮捕されるなど、未成年者の摘発が続いている。

　県教委は今回の事案を受け、薬物乱用防止に向けた緊急の特設授業や集会などを本年度中に開催するよう各学校に周知する。
The Ryukyu Shimpo Co., Ltd",[],[]
【衆院選】解散前から選挙ポスター掲示板設置　選管「今回は特に時間ない」（琉球新報）,https://news.yahoo.co.jp/articles/078a69c40ddfb0985edce344bc5a42011085e4c8,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000006-ryu-000-1-view.jpg?exp=10800,2026-01-23T12:01:27+09:00,2026-01-23T12:01:27+09:00,琉球新報,ryu,琉球新報,309,"衆院選に向け、設置される選挙ポスターの掲示板＝２２日午後、那覇市古島（小川昌宏撮影）
27日公示、2月8日投開票の衆院選に向け、選挙ポスターの掲示板設置が始まった。那覇市内では衆院解散前の22日からスタート。寒空の下、作業員が公示日に間に合わせようと、手際良く設置した。
【衆院選】沖縄・竹富町は投票日を2日繰り上げ
那覇市選挙管理委員会によると、市内は371カ所に設置。作成や設置を担う那覇鋼材（豊見城市）が掲示板作成を本格的に始めたのは、高市早苗首相の記者会見翌日の20日。担当者は「今回は特に時間が短いと感じるが、公示までに設置できるように頑張る」と話した。
The Ryukyu Shimpo Co., Ltd",[],[]
【衆院選・沖縄2区】比嘉隆氏が出馬表明　無所属で（琉球新報）,https://news.yahoo.co.jp/articles/589d84312b681e9ffd83184fa16eaa61eb75aa70,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000005-ryu-000-1-view.jpg?exp=10800,2026-01-23T11:32:27+09:00,2026-01-23T11:32:27+09:00,琉球新報,ryu,琉球新報,253,"比嘉隆氏
2月8日投開票の衆院選に向け、新人で会社代表の比嘉隆氏（48）が22日、県庁記者クラブで会見し、無所属で沖縄2区に立候補すると表明した。

　比嘉氏は「コロナ・レプリコンワクチン中止、ワクチン後遺症対策省をつくる」などと訴えた。

　比嘉氏は1977年7月24日生まれ。宜野湾市出身。沖縄国際大卒。会社代表。2022年の宜野湾市議選、24年の県議選、宜野湾市長選、衆院選、25年の参院選に立候補し、いずれも落選した。

（’26衆院選取材班）
The Ryukyu Shimpo Co., Ltd",[],[]
「ハイサイおじさんTシャツ」を発売　故赤塚不二夫さん手がけたキャラ（琉球新報）,https://news.yahoo.co.jp/articles/e315b3e5af3a1134d07b639d991ecb63afe659a9,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260123-00000004-ryu-000-2-view.jpg?exp=10800,2026-01-23T10:51:57+09:00,2026-01-23T17:26:03+09:00,琉球新報,ryu,琉球新報,350,"経済短信　ハイサイおじさんTシャツ
沖縄物産企業連合は喜納昌吉さんが1977年にリリースしたシングル盤「ハイサイおじさん」のジャケットデザインを復刻した「ハイサイおじさんTシャツ」を24日に発売する。「おじさん」は漫画家の故・赤塚不二夫さんがデザインしたことで知られる。
12年ぶり「ジンベエジェット」　3機目は緑
物産企業連合の店舗「沖縄宝島」などで扱う一般販売用は「ミルクホワイト」と「スミ」の2色展開で税込み4600円。ネット通販は「ライトピンク」と「ロイヤルブルー」の2色で同3980円。

　物産企業連合の徳田安史商品開発課課長補佐＝写真右＝は「昭和チックな明るさが出ているデザインだ。沖縄のキャラクターとして広げていきたい」と話した。
The Ryukyu Shimpo Co., Ltd",[],[]
