headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
選挙期間中にデマや誹謗中傷の拡散の対応を検討　宮城県が有識者会議（khb東日本放送）,https://news.yahoo.co.jp/articles/42688fc9bb3aeb176eb82e9e06bea8b1ccaf849b,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717250-khbv-000-1-thumb.jpg?exp=10800,2026-02-16T19:00:10+09:00,2026-02-16T19:00:10+09:00,khb東日本放送,khbv,khb東日本放送,476,"khb東日本放送
選挙期間中にＳＮＳ上で拡散するデマや誹謗中傷への対応策を検討する、宮城県の有識者会議が立ち上がりました。
構成メンバーは大学教授や弁護士、ファクトチェック組織の代表者などです。

　２０２５年１０月の宮城県知事選挙では現職の村井知事が当選しましたが、選挙期間中にＳＮＳ上では村井知事への誹謗中傷のほか、県の政策への誤った情報が飛び交いました。

　公正な選挙が脅かされたとして村井知事は当選後、県の立場でもファクトチェック対策などを強化する考えを表明していました。

　１６日に開催された検討会の初会合では、選挙期間中のデマや誹謗中傷などに対処するための具体的な方策を確立していく方針が確認されました。

　ただし行政が情報の真偽を判定することは表現の自由の観点から好ましくないとして、県の役割はＳＮＳの運営者などへの情報提供にとどめるなど、最終的には民間が主体となるような環境整備に努めるとしています。

　検討会は地元メディアへの聞き取り調査などを経て、８月以降に開く会議で対応案を取りまとめることにしています。
khb東日本放送",[],[]
楽天イーグルス沖縄キャンプ　シート打撃登板の前田健太が納得のピッチング（khb東日本放送）,https://news.yahoo.co.jp/articles/96806cfc5edc9ec4033afcc80a24d91c60bb69ac,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717245-khbv-000-1-thumb.jpg?exp=10800,2026-02-16T18:55:25+09:00,2026-02-16T18:55:25+09:00,khb東日本放送,khbv,khb東日本放送,612,"khb東日本放送
楽天イーグルスの沖縄キャンプ、１６日はシート打撃に前田健太が登場し、ヒット性の当たりはゼロと本人も納得のピッチングでした。野手では仙台育英出身の入江大樹が猛アピール中です。
このキャンプで初めて実戦形式のシート打撃に登場した前田健太は、１人目の吉野を変化球で三振に仕留めると続く鈴木大地のピッチャーライナーを直接キャッチ。

　打者７人に対し、ヒット性の当たりはゼロ。最速は１５１キロで、全球種しっかり投げられたと手応ええを口にしました。

　前田健太投手「初の実戦というところで、まだ力みがあったりばらついたりしましたけど、最初の登板としてはすごく良かったかなと思います」

　１５日までの対外試合３試合全てでヒットを放ち猛アピール中の仙台育英出身プロ６年目入江大樹は、本職がショートですが１５日の試合ではファーストで出場し、キャンプでは外野の練習にも取り組んでいます。

　入江大樹選手「バッティングが良かった時にどこでも出れるようにっていう準備だと思ってる。自分ができることを全部やろうと思ってやってます」

　プロ５年間での１軍出場はわずか９試合。

結果を残し続けるしかないと１６日のバッティング練習でも快音を響かせた入江が、初めての開幕１軍入りを目指しています。

　入江大樹選手「１軍でやれるような実力も少しずつついてきていると思っている。１軍で結果残せるように頑張ります」
khb東日本放送",[],[]
２月はなぜ短い？　２０２６年２月のカレンダー配列は何年ぶり？（khb東日本放送）,https://news.yahoo.co.jp/articles/b7bad041fba05f8b7efec70604ecf31a967bcc39,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717238-khbv-000-1-thumb.jpg?exp=10800,2026-02-16T18:51:44+09:00,2026-02-16T18:51:44+09:00,khb東日本放送,khbv,khb東日本放送,948,"khb東日本放送
２月ももう半ばですが、カレンダーを見ていると２月は２８日まで。あっという間に過ぎる２月の短さを、感じている人も多いのではないでしょうか。
暦の成り立ちに詳しい国立天文台の広報室長、山岡均准教授になぜ２月が短いかを聞いてみました。

　国立天文台山岡均准教授「古いローマの暦が、３月が年の初めになっていて２月が年の終わりなんですね。ですので毎月の長さを３０日３１日にした時に、最後でちょっと短めにして調節して１年３６５日、もしくは３６６日になるようにしたのが２月が短い理由になりますね」

　３月が年の始まりで最後の２月に１年分の帳尻を合わせる必要があったため、２８日や２９日にした。紀元前４６年に決まったルールが今につながっています。

　地球が太陽の周りを１回りする１年を正確に出すと３６５．２４２２日、約３６５日と６時間になります。この端数分の調整が４年に１度のうるう年に当たります。

　しかしこの先、西暦２１００年、２２００年、２３００年は更に細かな調整が必要でこの年は４年に１度の年に当たりますが、うるう年にはならないということです。

　続いて、２０２６年２月のカレンダーは１日が日曜日から始まり２８日が土曜日までのぴったり４週で終わるある種、気持ちの良い収まりの良い配列になっています。

　一部インターネット上では、このカレンダーにぴったりと収まる配列が実に８２３年ぶりという情報が出回っています。

　このことについても山岡准教授に聞いてみました。

　国立天文台山岡均准教授「なぜ８２３年という数字が出てきたかも含めて、デマなんですね。うるう年を３回挟んで１１年、それで１４日ずれるので２週間分ずれるなので１１年から６年周期ということは、そういう意味があるんですね」

　山岡准教授によると、２０２６年２月と同じカレンダーの配列になるのは６年から１１年周期で巡ってくるということです。

　過去には２００９年、２０１５年とそして２０２６年となります。次回は、１１年後の２０３７年に巡ってきます。

　天体のロマンを感じ８２３年ぶりというデマの情報をネット上に出している人が多くいたのでしょうが、これは間違った情報ですのでお気を付けください。
khb東日本放送",[],[]
ＡＩのノウハウを地域産業に展開　宮城県などによる事業の報告会（khb東日本放送）,https://news.yahoo.co.jp/articles/dd3712261d419e8229b25d49b44d0a90b80d0df3,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717220-khbv-000-37657046-thumb.jpg?exp=10800,2026-02-16T18:30:50+09:00,2026-02-16T18:30:59+09:00,khb東日本放送,khbv,khb東日本放送,442,"khb東日本放送
ＡＩ活用のノウハウを企業に展開しようと、宮城県などによる育成事業の成果が報告されました。
県とトヨタ自動車東日本などは、地域の生産現場にＡＩ活用のノウハウを広げるため、約１年をかけて育成事業を行ってきました。

　大和町で半導体製造装置のケーブルなどを生産する会社では、若手社員２名を中心に技術指導などを受けて工場に導入した機器について報告しました。

　目視だった製品の検査を、カメラで撮影した画像をＡＩに判定させることでミスを減らすだけではなく、時間も７０％以上短縮することができたということです。

　更に作業員からフィードバックをもらい、ボタンの配置や検査画面のレイアウトにこだわったことなども報告されました。

　ササキ佐々木啓二社長「実践している皆さんに背中を押していただいたり、具体的な技術を教えていただくことでよりリアルな現場に沿った形に作りこんでいくことができましたので、こういう事業がどんどん製造業の中で広がっていたたら面白い」
khb東日本放送",[],[]
宮城県の県内総生産　２０２３年度で１０兆円余りと過去最多に（khb東日本放送）,https://news.yahoo.co.jp/articles/2e97f3f54500489db19f26a38e1b7ce693d3809e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717211-khbv-000-37656917-thumb.jpg?exp=10800,2026-02-16T18:25:14+09:00,2026-02-16T18:27:17+09:00,khb東日本放送,khbv,khb東日本放送,485,"khb東日本放送
経済の規模を示す宮城県の２０２３年度の県内総生産が、名目で１０兆５０９億円となり過去最大となりました。
県が発表した２０２３年度の県民経済計算によりますと、県内総生産は名目で１０兆５０９億円、物価変動分を除いた実質で９兆６５８５億円となり、統計として比較可能な２０１１年度以降で最大となりました。

　経済成長率は名目で５．０％の増加、物価変動の影響分を除いた実質でも１．７％増え、名目は２年ぶり実質では３年連続のプラス成長となりました。

　県によりますとコロナ禍からの経済正常化があり、震災復興による建設業の需要は落ち着いた一方で、企業誘致などによる製造業の伸びが県内経済を大きく支えたということです。

　村井知事「２０年前に知事を就任しまして富県宮城を掲げました。県民の皆様にお約束をしたことが実現できたということで、大変うれしく思っております。１０兆円維持するだけでもかなり大変だろうと思います。人口が減る中においても、付加価値が上がっていけるような産業を育てていく、あるいは誘致をするこれはこれから大きな課題だと思います」
khb東日本放送",[],[]
料理人が生産実習を生かし特別メニューを考案　仙台の食材をアピール（khb東日本放送）,https://news.yahoo.co.jp/articles/93891456eb4755edcfd23f5b8256dc984e33d062,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717206-khbv-000-1-thumb.jpg?exp=10800,2026-02-16T18:15:03+09:00,2026-02-16T18:15:03+09:00,khb東日本放送,khbv,khb東日本放送,536,"khb東日本放送
料理人たちが、食材の生産現場で実習した経験を生かして考案した特別メニューが誕生しました。
仙台地域の食材の魅力をより広くアピールしようという宮城県の取り組みで、仙台市６つの飲食店の料理人が実際に食材の種まきや収穫に携わったうえでメニューを考案しました。

　生産者なども参加して発表会が開催され、９種類のメニューがお披露目されました。

　宮城県産野菜と仙台牛の焼きすきは、仙台ロイヤルパークホテルで鉄板焼きを手掛けるシェフが考案しました。ちょっと意外な食材のトマトも使い、新たな定番化にチャレンジします。

　川村彩音記者「お肉の甘みとうま味が野菜の酸味ともすごくマッチしています。とても上品な味わいでおいしいです」

　春菊ジェノベーゼのパスタは、華やかな見た目に春菊の香りがアクセントです。

　料理人「春菊の香りを生かそうと思って。県外からのお客様がよく来られるので、皆さんに食べていただいて」

　生産者「うちで春菊作ってるんですけど、普通はせいぜい鍋くらいで。春菊の味が生かされていて、今までにない魅力が出ている気がしてとても新鮮な感じがします」

　コラボメニューは２月２１日から３月２０日ごろまで、各店舗で提供されます。
khb東日本放送",[],[]
高校生が未来に向けて東北の課題解決プランを発表（khb東日本放送）,https://news.yahoo.co.jp/articles/1dfd3d018644a774f5e9b1d382ecb177531b4165,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717203-khbv-000-1-thumb.jpg?exp=10800,2026-02-16T18:12:15+09:00,2026-02-16T18:12:15+09:00,khb東日本放送,khbv,khb東日本放送,575,"khb東日本放送
高校生たちが未来に向けて、東北の課題を解決するプランを発表する催しが東北大学で開催されました。
ＪＴＢが主催した第２回東北ＭＩＲＡＩ会議には、東北各地の８つの高校から参加した１０チームが「地域の課題、地域の魅力から東北の未来を創造する」というテーマでそれぞれ発表し、東北大学の教授などから講評を受けます。

　このうち宮城野高校の生徒たちは、多賀城市についてプレゼンし、魅力的なカフェを生かすため食のイベントを開催して地域の食べ物を売り込むプランを発表しました。

　「私たちは、実際に足を運んで感じた多賀城のおいしいを集めたカフェのグルメマップを製作しました」

　更にＳＮＳで広く情報発信することが必要だとして、積極的なフォロワー獲得が地域課題の解決につながると強調しました。

　ＯＮＥ　ＴＯＨＯＫＵ　ＨＵＢ手島慧代表理事「自分がここ良いなとか好きだって分からないと人に伝えるって難しいと思うので、まずは自分が知るってことが大事だと思うのですごい素晴らしいと思った」

　た石巻高校の生徒たちはＯＢが作った防災アプリを紹介し、震災の教訓を未来に伝え防災の文化を伝承していくことが重要などと発表しました。

　参加者たちはそれぞれの地域の特色を生かしながら、高校生らしい視点で課題解決の方策を模索していました。
khb東日本放送",[],[]
フカヒレの天日干し最盛期　サメの水揚げ日本一の宮城・気仙沼市（khb東日本放送）,https://news.yahoo.co.jp/articles/135d71b062961077679033c249633121057189b7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717200-khbv-000-1-thumb.jpg?exp=10800,2026-02-16T18:09:37+09:00,2026-02-16T18:09:37+09:00,khb東日本放送,khbv,khb東日本放送,373,"khb東日本放送
サメの水揚げ日本一の宮城県気仙沼市で、特産のフカヒレの天日干しが最盛期を迎えています。
気仙沼市の水産加工会社では、フカヒレの天日干しが進められていて約３カ月間寒風にさらし、うまみを凝縮させていきます。網の上には、気仙沼港に水揚げされたアオザメやヨシキリザメの尾びれ約５０００枚が並んでいます。

　今シーズンは寒さに加えて雪の少ない晴れた日が多かったことから、乾燥には良い条件がそろっているということです。

　特に内陸から吹き下ろす冷たい風が当たることで、フカヒレ特有の黄金色がより鮮やかに仕上がることが期待されます。

　中華高橋水産戸羽悦郎さん「寒い時期に集中して干したので、最強の物ができるんじゃないですかね」

　天日干しは３月下旬まで続き、約３万枚が首都圏のホテルや中国料理店などに出荷されます。
khb東日本放送",[],[]
郷土芸能を引き継ぐ伝承式　６年生から５年生へ　宮城・石巻市の広渕小学校（khb東日本放送）,https://news.yahoo.co.jp/articles/a3ccf12bbbc55fdc4f97a48948f03c80bebd1b58,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717199-khbv-000-1-thumb.jpg?exp=10800,2026-02-16T18:07:01+09:00,2026-02-16T18:07:01+09:00,khb東日本放送,khbv,khb東日本放送,418,"khb東日本放送
宮城県石巻市の広渕小学校で、郷土芸能の河南鹿嶋ばやしを学んできた６年生が笛やばちなどを５年生に引き継ぐ伝承式が行われました。
河南鹿嶋ばやしは石巻市広渕地区に江戸時代から伝わる郷土芸能で、市の無形民俗文化財に指定されています。

　広渕小学校では、３０年ほど前から６年生が中心になって練習を重ねて地元の祭りなどで演奏してきました。

　１６日に６年生３３人が、保護者や下級生たちの前で最後の演奏を披露しこれまでの練習の成果を存分に発揮した後、演奏に使ってきた笛やばちなどを５年生に引き継ぎました。

　６年生「すごく続いてる伝統なので、しっかり引き継いでほしいと思います」

　５年生「自分たちの手で伝統を引き継いでいけるうれしさを持って、これからもつないでいいけたらなと思います」

　先輩たちからバトンを受け着いた５年生は、まずは４月に開催予定の地元の祭りへ向けて練習を重ねていくということです。
khb東日本放送",[],[]
作業小屋と母屋が全焼　けが人は無し　宮城・栗原市（khb東日本放送）,https://news.yahoo.co.jp/articles/2428339905d950a61c7fa488d7c98150045c4400,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260216-11717161-khbv-000-37654340-thumb.jpg?exp=10800,2026-02-16T16:41:37+09:00,2026-02-16T16:41:59+09:00,khb東日本放送,khbv,khb東日本放送,237,"khb東日本放送
１６日午後、宮城県栗原市で作業小屋と空き家の母屋が焼けました。けが人はいませんでした。
１６日午後１時５０分ごろ、栗原市高清水観音堂にある住宅の敷地内で「小屋が燃えている」と消防に通報がありました。

　消防がポンプ車など８台を出して消火に当たり火は約１時間半後に消し止められましたが、作業小屋と隣接する母屋の計２棟が焼けました。

　この住宅は空き家とみられていて、けが人はいないということです。

　警察は火が出た原因を調べています。
khb東日本放送",[],[]
