headline,mainEntityOfPage,image,datePublished,dateModified,author,media_en,media_jp,str_count,body,images,external_links
50歳の美魔女女優がランジェリーモデル抜てき「薄目で見てくださーい」　夫は人気俳優（よろず～ニュース）,https://news.yahoo.co.jp/articles/d7e93abbbb59695bf770485a5756ccbe4c646ec2,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718084-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T21:20:40+09:00,2026-02-19T21:20:40+09:00,よろず～ニュース,yorozuns,よろず～ニュース,562,"宮下今日子（2023年撮影）
女優の宮下今日子（50）がこのほど、ランジェリーブランド「ランジェリーク」の着用モデルをつとめた。同ブランドの公式サイトなどでイメージ写真が公開された。
【写真】50歳とは思えない美スタイル&美貌！ランジェリーモデルとなった宮下今日子
宮下は2002年に俳優の八嶋智人と結婚。女優業だけでなく、身長173センチのスタイルと美貌を生かしたモデル業もこなしている。着用したイメージ写真でも、50歳を迎えてもなお、美スタイルを保った女性らしい曲線美を披露。オトナの色気を演出した。

　同ブランドを愛用しているという宮下。好きなポイントとして「とにかくレースが美しい…！改めて写真でもレースを客観的に見て、こんなに綺麗なんだなぁとうっとりしました。どの角度から見ても綺麗ですし、肌に乗った時の感じもまた綺麗。計算され尽くしたデザインによって、着心地がいいのに、身体のラインが美しく見えるというところも魅力です」とブランド愛を語っている。

　自身のX（旧ツイッター）では「まさか50歳でランジェリーのモデルさせてもらうなんて考えてもみなかったけど、大好きなランジェリークさんのありがたくやらせていただきました 薄目で見てくださーい」とアピールしている。

（よろず～ニュース編集部）
よろず〜ニュース",[],[]
ウルトラマン女優23歳が見事な“縦ヘソ”&くびれ開放！　村山優香「FLASH」に登場（よろず～ニュース）,https://news.yahoo.co.jp/articles/30ff9d989b1b1cc255356fe9d12b6e8ba2974355,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718082-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T21:00:49+09:00,2026-02-19T21:00:49+09:00,よろず～ニュース,yorozuns,よろず～ニュース,489,"「FLASH」（26年2月17日発売号）に登場した村山優香ⓒ光文社／週刊FLASH（写真・友野雄）
女優の村山優香（23）が、17日発売の写真週刊誌「FLASH」（光文社）に登場した。
【写真】見事な“縦ヘソ”！曲線美も相まって素晴らしいスタイルです
村山は2022年に人気特撮シリーズ「ウルトラマンデッカー」のヒロイン・キリノイチカ役に出演し、注目をあびた。同年からグラビアにも挑戦し、そのスタイルの良さで人気を集めている。

　同号では王道のランジェリーグラビアを展開。女性らしい曲線美やくびれが際立つ美スタイルを披露している。

　自身のX（旧ツイッター）では「本日発売 週刊FLASH 本誌とデジタル写真集みてくれた?」とアピール。「幼い頃からおばあちゃんに褒めちぎられてた縦ヘソ」と題して、縦に割れたおへそが印象的な水着でのオフショット写真も投稿した。

　同号はえなこが表紙と巻頭グラビアを飾っている。村山の他にも、橋本梨菜、成海有紗、あまつまりな、南琴奈、南雲るい、Benjamin パクチー、相沢菜々子が登場する。

（よろず～ニュース編集部）
よろず〜ニュース",[],[]
19年の結婚生活に終止符打った大物女優に米リゾート企業の会長が接近？離婚→早くもロマンスの噂（よろず～ニュース）,https://news.yahoo.co.jp/articles/0293068a319bf0ed171d7aab6e8c1785298bf23e,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718079-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T20:40:05+09:00,2026-02-19T20:40:05+09:00,よろず～ニュース,yorozuns,よろず～ニュース,554,"キース・アーバンと離婚したニコール・キッドマン
女優のニコール・キッドマン（58）が、MGMリゾーツ・インターナショナル会長のポール・セーラム氏（62）から「ロマンティックな関心」を寄せられているという。1月、ニコールはミュージシャンのキース・アーバン（58）と離婚。これを受け、セーラム氏が自身の周囲に対し、ニコールと交際したい意向を示しているとTMZが伝えている。
【写真】離婚ほやほや　イケメンミュージシャンの元夫と仲むつまじかった頃
一方で現時点で2人が交際している事実はなく、あくまで関心段階にとどまっていると複数の関係者は強調する。共通の友人を通じてグループの場で2度顔を合わせたことはあるものの、2人きりで過ごしたことはないとされる。

　ニコールは現在独身で、積極的に交際相手を探している状況ではないという。セーラム氏は2018年にMGMの取締役に就任し、2020年から会長を務める実力派経営者。2021年に元妻ナヴィンさんと離婚し、4人の娘がいる。

　ニコールとキースは5カ月前に19年間の結婚生活を経て別居を発表、2人の間にはサンデー・ローズ（17）とフェイス・マーガレット（15）の娘がいる。

（BANG Media International／よろず～ニュース）
よろず〜ニュース",[],[]
朝ドラ出演モデル「すっぴん」韓国で美容品爆買い　ピンク髪に白コーデ　ファン「雰囲気あって素敵」（よろず～ニュース）,https://news.yahoo.co.jp/articles/8b4c011d037ced5e9ff256c78ff3f2bc590b2c21,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718073-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T20:20:12+09:00,2026-02-19T20:20:12+09:00,よろず～ニュース,yorozuns,よろず～ニュース,504,"みりちゃむ
みりちゃむことモデルの大木美里亜が17日、自身のインスタグラムを更新。訪れた韓国での様子を投稿し、反響を呼んでいる。
【写真】白でまとめたコーデにピンクの髪がオシャレ　すっぴん＆爆買い報告の人気モデル
16日に「初の韓国に来ております　寒がりの私には向いてない時期に来てしまった笑」と記していた、みりちゃむ。白のマフラーをぐるぐる巻きにし、目と鼻がのぞくだけの帽子をかぶった“防寒対策”ばっちりのスタイルで街角に立つ姿を投稿した。

　翌17日にはベンチでくつろぐショットをアップ。ピンク系の髪がのぞくキャップをかぶって、アウター、パンツと白でまとめたコーデに、ブルーのバッグをかけている。「美容品爆買いしたァ　韓国でもすっぴんで出歩いてましたっ」と報告した。

　みりちゃむは2002年生まれ。24年後期のNHK連続テレビ小説「おむすび」に真島瑠梨(ルーリー)役で出演。活躍の幅を広げている。ファンからは「綺麗すぎ」「すっぴんで歩けるのはいいですね！」「雰囲気あって素敵」「すっぴんでも可愛い」「ちゃんと帰って来てよー」などの声が寄せられていた。

（よろず～ニュース編集部）
よろず〜ニュース",[],[]
もうすぐハタチのグラドルが爽やかに美ボディ披露　笑顔まぶしい松島かのんが全力応援（よろず～ニュース）,https://news.yahoo.co.jp/articles/4d6de9f4043fc08313cc2b322c2174c0fd84b5cf,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718067-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T20:00:21+09:00,2026-02-19T20:00:21+09:00,よろず～ニュース,yorozuns,よろず～ニュース,472,"松島かのん 「週刊SPA!」（扶桑社）2026年2月24日・3月3日合併号より＝撮影／高橋慶佑 ヘアメイク／小笠原菜瑠 スタイリング／田中陽子
グラビアアイドルで女優としても活動する松島かのんが、 17日発売の「週刊SPA!」（扶桑社）2月24日・3月3日合併号の人気企画「推し撮」に登場した。
【写真】笑顔のチア姿がまぶしすぎます！
4月には20歳の誕生日を迎える松島。大人の魅力が増しているが、今回は学生気分に浸って、マネジャーに扮している。フレッシュなチアガール姿で全力応援したり、水着姿で美ボディを披露。B78、W58、H83のボディを惜しみなく披露し、爽やかな色香を振りまいている。

　松島は2006年、愛媛県生まれ。ヤングジャンプ「制コレ22」で準グランプリを受賞。グラビアの他、ショートドラマの主演やイメージガールも務める。20歳の誕生日に2 nd写真集（ワニブックス）を発売。

　ほかにも大人気コスプレイヤーの伊織もえ、グラビアアイドルで現役看護師の真田まことが登場している。

（よろず～ニュース編集部）
よろず〜ニュース",[],[]
小野田紀美氏の“男前”対応をネット称賛「潔さ」「らしい」　立ち位置は“出世”紫ドレスに「素敵でした～♡♡」の声（よろず～ニュース）,https://news.yahoo.co.jp/articles/7e0f72842bcd9e56009ef74c41592ab7321c8410,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718061-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T19:52:05+09:00,2026-02-19T19:52:05+09:00,よろず～ニュース,yorozuns,よろず～ニュース,725,"小野田紀美氏（提供・共同通信社）
小野田紀美経済安全保障担当相が19日、自身のX（旧ツイッター）を更新し、支援者らへの「お願い」を公表した。
【写真】落ち着いた紫ドレスもステキ！立ち位置は最前列に“出世”
【お願い】と題してコメントを掲載。「この度、経済安全保障担当大臣等の再任が決定致しましたが、お花や祝電等は辞退させて頂きたく存じます。」と伝えた。18日に新たに高市内閣が発足し、小野田氏は引き続き経済安全保障担当相に任命されていた。「応援していただけるお気持ちが何より有難いので、小野田に対するお花や物品や祝電等はどうぞお考え頂きませんよう宜しくお願いいたします」と感謝を伝えた上で“お気持ちだけ”受け取ることを強調した。

　継続とはいえ大臣に就任しただけに、お祝いの花などが届くのは通常の習慣とみられるが、あえて物品は断るという“男前”な対応。フォロワーからは花の画像を添えたコメントや「頑張ってください」という激励コメントが多数寄せられた。「お花や祝電よりも『仕事の結果』で応えようとするその潔さこそ、私たちが小野田さんに期待している姿そのものです」「気持ち以外の形あるものを受け取らないスタンスがなんでですかね、小野田先生らしいなぁってほっこりします」と小野田氏の徹底したスタンスを称賛する声もあった。

　また「今回の紫のドレスも凄く良かったです」「ドレス姿も髪型も素敵でした～♡♡」と集合写真を撮影した際のドレスにも賛辞が寄せられていた。前回の内閣発足時は全身シルバーのドレスが話題となったが、今回は落ち着いた印象。ただ、立ち位置は高市首相の隣で、前回よりしっかりと“出世”していた。

（よろず～ニュース編集部）
よろず〜ニュース",[],[]
「マンダロリアン」vs「ワイルド・スピード」女優もこなすトップクラスの格闘家2人　総合格闘技で対決へ（よろず～ニュース）,https://news.yahoo.co.jp/articles/ffbab627c7b25c7468ee7ce1c3fdffe0df4928c5,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718048-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T19:30:14+09:00,2026-02-19T19:30:14+09:00,よろず～ニュース,yorozuns,よろず～ニュース,474,"ロンダ・ラウジーと総合格闘技で対戦するジーナ・カラーノ
ともに格闘家で女優のジーナ・カラーノ（43）とロンダ・ラウジー（39）が、総合格闘技（MMA）で対戦する。ジーナは「マンダロリアン」、ロンダは「ワイルド・スピード SKY MISSION」など、それぞれ一時は女優業にも進出していた2人が、5月16日にロサンゼルスで行われる復帰戦に挑む姿はネットフリックス初のMMA中継として配信される予定だ。
【写真】第２子妊娠中　ふっくらしたお腹のロンダ・ラウジー
ジーナはネットフリックスにこう話す。「ロンダが来て、復帰するとしたら対戦相手は1人だけと言ってくれたの。私たちの対戦を実現させることが夢だったと」「とても光栄なこと。勝利でこの試合を終えることになるけど、簡単ではないだろうし、それは大歓迎」

　一方、プロレスラーのロンダも「これを発表できることを心待ちにしていた」「私とジーナは女性格闘スポーツの歴史上最大の試合をするつもり」とコメントしている。

（BANG Media International／よろず～ニュース）
よろず〜ニュース",[],[]
人気アイドルと男性の仲良し2ショットが流出→“まさか”の真実明らかに　運営が発表「食事の際に…」（よろず～ニュース）,https://news.yahoo.co.jp/articles/1b9320d5002c5b0277cd417761e53fed27564ec7,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718031-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T19:10:21+09:00,2026-02-19T19:10:21+09:00,よろず～ニュース,yorozuns,よろず～ニュース,874,"≒JOYの（前列左から）大信田美月、天野香乃愛、江角怜音、市原愛弓、村山結香（後列左から）小澤愛実、逢田珠里依、山野愛月、山田杏佳、藤沢莉子、高橋舞
アイドルグループ「≒JOY（ニアリーイコールジョイ）」が18日、公式サイトを更新。メンバーの藤沢莉子に対するネット上の憶測について、異例となる声明を出した。
【写真】実兄との家族写真が流出した≒JOYの藤沢莉子
公式サイトでは文書を公開。「弊社は、弊社の運営するアイドルグループやそのメンバーへの誹謗中傷や根拠のない噂の流布などの言動については、かねてよりお控えいただくよう、お願いと注意喚起を行っておりました」と切り出し、「依然として、SNS等を中心に、そのような投稿や書き込みは後を絶ちません。真偽不明な噂話等をあたかも真実であるかのように拡散しているケースが確認されております」と記した。

　続けて「現在、≒JOYのメンバー藤沢莉子に関し、あたかも当該メンバーが、特定の恋愛関係にある男性と飲酒を伴う食事を共にしていることを示すような画像付きの投稿がなされていることが確認されております」と個人名を挙げて掲出。そして「当該投稿について、メンバー本人に確認したところ、上記画像に写っている人物は、メンバー本人の兄であり、家族で食事をした際に撮影した画像であること、及び、当該画像は、メンバー本人の兄が自身のストーリーで投稿したものであることが判明しました」と明かし、「皆様におかれましては上記投稿を不用意に拡散されないようにお願いいたします」と注意喚起した。

　今後については「弊社といたしましては、引き続き、悪質な投稿については、顧問弁護士に相談の上、必要な法的措置を検討・実施して参ります」と警告。最後には「皆様におかれましては、引き続き、ルールを守り、弊社所属タレントを応援していただきますよう、お願いいたします」と締めた。

　≒JOYは12人組の女性アイドルグループ。タレントの指原莉乃プロデュースにより、2022年3月に発足した。

（よろず～ニュース編集部）
よろず〜ニュース",[],[]
インリン50歳になっちゃった！衰え知らずの美スタイル、ネットも驚愕「ぜんぜん見えない」（よろず～ニュース）,https://news.yahoo.co.jp/articles/67fd35a03c272b6c303c2176282f3ec6feeafc72,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718017-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T18:50:19+09:00,2026-02-19T18:50:19+09:00,よろず～ニュース,yorozuns,よろず～ニュース,444,"インリン
「M字開脚」で一世を風靡（ふうび）し、「インリン・オブ・ジョイトイ」名義で活躍したタレントのインリンが16日、自身のインスタグラムを更新し、15日に50歳の誕生日を迎えたことを報告した。
【写真】美脚がスラリ　衰え知らずのインリン様
大粒のいちごが乗ったホールケーキに「50」のろうそくを立てた動画を掲載。「昨日50歳になりました　50代突入です」とコメントした。動画ではろうそくを吹き消す様子も公開し「50歳になりました～」と笑顔。「40代は子育てがメインだったんですけど、50代はもっと自分の時間が持てたらいいなと思います」と思いを語った。

　インスタには2025年に撮影したグラビアのオフショットや、2023年の海での大胆姿なども掲載。フォロワーは近影に「50歳!?ぜんぜんみえない!!」「インリン50ジョイトイ」「50歳!?見えん。そして僕より年上…!!」「可愛い過ぎる50歳」と若々しい見た目に驚く声が寄せられていた。

（よろず～ニュース編集部）
よろず〜ニュース",[],[]
愛知のご当地ステーキが大阪市内初上陸　「ステーキのあさくま」初の都市型立地に対応したビジネスランチ特化型（よろず～ニュース）,https://news.yahoo.co.jp/articles/f1e2098bbe81016f1da0adc0216f1e7080822366,https://newsatcl-pctr.c.yimg.jp/t/amd-img/20260219-11718004-yorozuns-000-1-view.jpg?exp=10800,2026-02-19T18:31:44+09:00,2026-02-19T18:31:44+09:00,よろず～ニュース,yorozuns,よろず～ニュース,1384,"ステーキのあさくま・西梅田ハービスプラザ店にやってきました
愛知県など東海地方のご当地ステーキレストランとして知られる「ステーキのあさくま」。そんなあさくまがこのたび大阪市内初出店。2月20日に「ステーキのあさくま 西梅田ハービスプラザ店」をオープンする。
【写真】名物のサラダバー
筆者は2月17日に開催されたレセプションに参加。シンガーソングライター、インフルエンサーでフードフェス「全肉祭」のステージプロデューサーを担当するすみれさんと共にさまざまなメニューを実食した。

あさくまは1948年創業。1973年からステーキレストランを展開し、これまで東海、関東のロードサイドに出店してきたが、 この西梅田ハービスプラザ店は、初の都市型立地に対応したビジネスランチ特化型のモデル店ということ。従来10分～15分かかっていた提供時間を短縮し、かつ安価なビジネスランチメニューを開発。ステーキやハンバーグに合うワインも、19種類と豊富な品揃えだ。

あさくまと言えばサラダバーも名物。野菜類からパン、ご飯類、デザート類はもちろん、麻婆豆腐やもつ煮込みなど気になる惣菜まで充実しているので、思い思いにチョイスして、ハウスワイン「ASAKUMA WINE」の赤と共に楽しみつつステーキが到着するのを待った。

「野菜の種類が豊富なのは女性として嬉しいポイント。赤ワインもスッキリ飲みやすいタイプで、野菜や海鮮類にも無理なくあわせられました」（すみれさん）

招待客でやや混雑していたもののステーキの到着はオーダーから15分程度。スピーディーだが、好みの焼き加減を選ぶこともでき、丁寧な仕上がり。筆者はミディアムレアでいただいたが、ナイフを入れればほどよく肉汁が染み出し、歯ごたえ、味わいもとても程よい塩梅だった。

「180g、3080円（税込）とリーズナブルなのに、とてもしっかりお肉の味がする本格的なステーキでびっくりしました。今回はお腹いっぱいで食べられませんでしたが、一番の人気メニューだと言うあさくまハンバーグも気になります」（すみれさん）

あさくまはステーキが最大の魅力だとは思うが、ハンバーグやサラダバーも外しがたい要素の一つ。特に西梅田ハービスプラザ店ではサラダバー単体を1518円（税込）でオーダーできるので、ライトユーザーからフルコース感覚で楽しみたい人まで、多様なスタイルで利用できそうだ。愛知県・東海の人々に長年愛されたその魅力に、ぜひ触れていただきたい。

ステーキのあさくま 西梅田ハービスプラザ店　店舗概要

所在地：大阪府大阪市北区梅田2-5-25 ハービスPLAZA 地下2階

営業時間：午前11時～午後10時30分（ラストオーダー午後9時30分）

※ランチメニューは平日午後3時まで※土日祝は終日グランドメニューを提供

定休日：施設休館日に準じる

□　□

すみれさんプロフィール

大阪府出身、シンガーソングライター、株式会社SYC PROJECT代表

2012年からシンガーソングライター活動開始。10年以上、毎日配信を継続しているライバーとしても注目される。近年はフードフェス「全肉祭」ステージやアイドルグループ「異次元ポケットドール」のプロデュースも担当。

（よろず～ニュース特約・中将タカノリ）
よろず〜ニュース",[],[]
